,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,door,refrigerator,bathtub,shirt,bib,pants,sock,glove,blanket,pillow,towel,napkin,toy,tray,box,book,paper,hat,spoon,crayon,balloon,ball,egg,orange,apple,plant,plate,bowl,bottle,cup,bucket,can
hair,0.0,0.8377388715744019,0.8718893527984619,0.9528423547744751,0.9899401068687439,1.1791441440582275,1.0383636951446533,0.8855136632919312,0.8369930386543274,0.8837304711341858,0.8990777730941772,0.9851277470588684,0.8779535293579102,1.0394532680511475,0.7061724662780762,0.8267835974693298,0.6672800779342651,0.7089638710021973,1.1541451215744019,0.932878315448761,1.0164155960083008,1.0569454431533813,1.2682664394378662,1.1512154340744019,1.128572940826416,1.137186050415039,0.9950141310691833,1.1280591487884521,1.06479012966156,1.2869393825531006,1.2539578676223755,1.2294306755065918,1.1315667629241943,1.1328006982803345,1.1493899822235107,1.1532014608383179,1.0022152662277222,1.2574471235275269,1.1701973676681519,1.1562503576278687,1.3167213201522827,1.239094614982605,1.1019048690795898
arm,0.8377388715744019,0.0,0.495871901512146,0.7590838670730591,0.8903825879096985,1.1865251064300537,1.041973352432251,0.7987639904022217,0.8696469068527222,0.8731509447097778,0.9413169622421265,1.0261088609695435,0.8974713683128357,0.9510952234268188,0.6013461351394653,0.7573037147521973,0.6993098258972168,0.6763054132461548,0.9505965709686279,0.8634867072105408,0.877334713935852,0.8764909505844116,1.0239286422729492,1.1269711256027222,1.0081217288970947,1.0392400026321411,0.9974002242088318,0.9285299777984619,1.2972053289413452,1.2120604515075684,1.1184806823730469,1.346529483795166,1.206662893295288,1.253983736038208,1.188302993774414,1.212286114692688,1.1566722393035889,1.1121870279312134,1.114349603652954,1.0669527053833008,1.1600230932235718,1.106602430343628,1.0210239887237549
hand,0.8718893527984619,0.495871901512146,0.0,0.2506144046783447,0.4281620383262634,1.1798195838928223,1.1505324840545654,1.065064787864685,1.1815354824066162,1.1828200817108154,1.0546419620513916,1.0490360260009766,1.1054365634918213,1.1451735496520996,0.9672267436981201,0.9081120491027832,0.8944165110588074,0.775734007358551,0.7716036438941956,1.1594700813293457,1.1249408721923828,1.0130006074905396,1.0600481033325195,1.0374095439910889,1.0623326301574707,1.0423650741577148,0.9696264863014221,1.0154469013214111,1.1141400337219238,1.1085050106048584,1.011758804321289,1.1756139993667603,0.9959160089492798,1.0493206977844238,1.0159684419631958,0.9946622848510742,1.1027324199676514,1.0342633724212646,1.0793101787567139,1.0775562524795532,1.0763314962387085,1.1510515213012695,1.1434085369110107
finger,0.9528423547744751,0.7590838670730591,0.2506144046783447,0.0,0.11106133460998535,1.2079013586044312,1.3253809213638306,1.2912338972091675,1.3132612705230713,1.3356165885925293,1.1301568746566772,1.1960806846618652,1.2775382995605469,1.254683256149292,1.1421960592269897,1.185638666152954,0.9884693026542664,0.9434797167778015,0.9401776194572449,1.312038779258728,1.2232692241668701,1.207381248474121,1.1534231901168823,1.1835273504257202,1.2597568035125732,1.2491462230682373,1.1428862810134888,1.1653344631195068,0.933958113193512,0.8330647945404053,0.6712408661842346,0.8684146404266357,0.886666476726532,0.7589194774627686,0.8346684575080872,0.8462487459182739,1.0603365898132324,1.008777141571045,1.2082319259643555,1.0304385423660278,1.0793269872665405,1.2966331243515015,1.123366355895996
toe,0.9899401068687439,0.8903825879096985,0.4281620383262634,0.11106133460998535,0.0,1.1701622009277344,1.3683185577392578,1.3612772226333618,1.346114993095398,1.3647966384887695,1.1866332292556763,1.2546131610870361,1.324442982673645,1.2635226249694824,1.1772358417510986,1.2555822134017944,1.0392484664916992,0.9425325989723206,0.9652454257011414,1.3381080627441406,1.2480515241622925,1.256427526473999,1.140916109085083,1.228952169418335,1.2840125560760498,1.311218023300171,1.2487918138504028,1.210605263710022,0.7763213515281677,0.7612892985343933,0.6342513561248779,0.7439799308776855,0.8272905349731445,0.6103113293647766,0.743531346321106,0.8099457025527954,1.0695617198944092,0.9922527074813843,1.220253825187683,0.9669591784477234,1.0511053800582886,1.304242491722107,1.1452656984329224
lamp,1.1791441440582275,1.1865251064300537,1.1798195838928223,1.2079013586044312,1.1701622009277344,0.0,0.9125832319259644,1.059873104095459,1.0869804620742798,1.0454546213150024,0.7306398153305054,0.8751806020736694,0.9877821803092957,1.1606521606445312,1.1555836200714111,1.141981840133667,1.3075180053710938,1.2341686487197876,1.069166660308838,1.064730167388916,1.0285285711288452,1.0793721675872803,0.9014571309089661,0.9180221557617188,1.0632374286651611,1.034022331237793,0.9666504263877869,0.9907971024513245,0.8216342926025391,0.8859118819236755,0.9457001090049744,0.7586176991462708,0.7844769954681396,0.887867271900177,0.8887532949447632,0.8944122195243835,0.7301799654960632,0.9068242311477661,0.8750162720680237,0.93656986951828,0.8543306589126587,0.9381586909294128,1.0255155563354492
chair,1.0383636951446533,1.041973352432251,1.1505324840545654,1.3253809213638306,1.3683185577392578,0.9125832319259644,0.0,0.6707466840744019,0.6867692470550537,0.7299603819847107,0.8463817834854126,0.7903953790664673,0.7247058749198914,0.6470680236816406,0.8922656774520874,0.7793450355529785,0.9640017151832581,0.9858601093292236,1.0199003219604492,0.7300326824188232,0.6920486092567444,0.756059467792511,0.8609563112258911,0.7815274000167847,0.689352810382843,0.6189020276069641,0.873493492603302,0.8615844249725342,1.0175564289093018,1.1963998079299927,1.29396390914917,1.2768056392669678,1.1985008716583252,1.2938278913497925,1.247875690460205,1.2218866348266602,0.9696353077888489,0.9914137721061707,0.8264684081077576,0.9730793237686157,0.8483775854110718,0.7075313329696655,0.8934310674667358
table,0.8855136632919312,0.7987639904022217,1.065064787864685,1.2912338972091675,1.3612772226333618,1.059873104095459,0.6707466840744019,0.0,0.5901526808738708,0.5698583126068115,0.9381901621818542,0.9331426620483398,0.7080916166305542,0.7796469330787659,0.689620852470398,0.718326210975647,0.7841461896896362,0.9372832179069519,1.0926423072814941,0.7734043002128601,0.9048997759819031,0.8235825896263123,0.9724388718605042,0.7618826031684875,0.6680076122283936,0.81977379322052,0.7265245914459229,0.7737263441085815,1.2150388956069946,1.256206750869751,1.34621262550354,1.252159833908081,1.1559371948242188,1.2587180137634277,1.22727370262146,1.1641982793807983,1.074173927307129,0.785185694694519,0.7474995851516724,1.0850468873977661,0.9413361549377441,0.7648597955703735,0.916694700717926
couch,0.8369930386543274,0.8696469068527222,1.1815354824066162,1.3132612705230713,1.346114993095398,1.0869804620742798,0.6867692470550537,0.5901526808738708,0.0,0.09286713600158691,0.7831031680107117,0.8707309365272522,0.7718560695648193,0.666548490524292,0.6868798732757568,0.6677672266960144,0.6343755722045898,0.8259975910186768,1.054901361465454,0.24664485454559326,0.35312891006469727,0.6710986495018005,1.0442475080490112,0.9835416078567505,0.907571017742157,0.8843792080879211,0.8304085731506348,0.9697474241256714,1.3497923612594604,1.4099433422088623,1.3693156242370605,1.353713035583496,1.2892661094665527,1.3370980024337769,1.2842597961425781,1.2864868640899658,1.0536596775054932,1.2398419380187988,1.099229097366333,1.2833898067474365,1.20987868309021,1.0360971689224243,1.0746243000030518
bed,0.8837304711341858,0.8731509447097778,1.1828200817108154,1.3356165885925293,1.3647966384887695,1.0454546213150024,0.7299603819847107,0.5698583126068115,0.09286713600158691,0.0,0.8242247700691223,0.8445429801940918,0.8051095008850098,0.6174466609954834,0.6955419778823853,0.6742400527000427,0.6586687564849854,0.8160185813903809,1.0349987745285034,0.18958961963653564,0.30209124088287354,0.6389025449752808,0.9900235533714294,0.9397146105766296,0.8556177020072937,0.8733856081962585,0.8248581290245056,0.9029489159584045,1.346361517906189,1.399633526802063,1.3578858375549316,1.339518427848816,1.2531280517578125,1.3224155902862549,1.2618064880371094,1.2925031185150146,1.133300542831421,1.1962876319885254,1.0698353052139282,1.2806668281555176,1.1970624923706055,1.0040700435638428,1.0680599212646484
