,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.239062,0.7229739,0.9739763,1.2361244,1.03398,1.1077771,1.1436422,0.7237836,0.67449385,1.2356005,0.841031,0.96512973,1.0354954,0.78346074,0.81971735,1.1410428,1.3087867,1.2427094,1.1372551,1.0771072,0.99898976,1.1285456,0.8301996,1.1436346,1.1951045,1.1583647,0.7987768,0.95395863,0.9615213,1.1777749,1.1249802,1.0500432,0.9701348,0.89220095,0.88994795,0.79241216,0.7283201,1.1518166,0.74549365,1.2831678,0.99676716,0.5512003,1.0406978,1.1851391,1.0394896,0.77466357,1.0887579,1.1110744,0.7985654,0.87126607,1.1947708,0.89791346,0.92128617,1.0741382,1.1062263,0.63575923,0.94181794,1.199115,1.0187255,1.0115151,0.9022688,1.0342236,0.97061193,1.1706376,0.75162464,1.0120052,0.86735576,0.9632457,0.7344549,1.1538485,0.84015906,1.2902772,1.012725,1.0269183,1.0170156,1.0062,0.8359164,0.9861003,1.2211102,1.2986689,1.2479776,1.0776514,1.2230809,1.2114794,0.8038069,0.827348,0.9127379,1.1238995,1.1310154,1.0287879,1.1379876,0.90777004,1.0375204,1.124505,1.1790293,1.0116061,1.1025172,1.0113636,0.93227917,1.1117983,0.89883363,0.756537,1.06994,1.1266973,1.0955211,0.9629801,1.1981964,0.8095203,1.2259709,1.1427422,1.0098484,1.1055169,1.1610173,1.1554683,1.1114622,0.745029,0.7495739,1.1897936,1.1615547,1.1804112,1.2085229,1.1951721,0.96799767,0.8951457,0.9476807,1.15957,1.1781616,1.2144591,0.93962616,0.9093674
apple,1.239062,0.0,1.4505086,0.69625163,0.5889938,0.77249205,1.1967411,1.2130699,1.1646978,1.519411,0.48014116,1.4570918,1.3388748,0.5827706,1.4827207,1.1959332,0.75457215,0.52560914,0.490721,1.0575689,0.5484373,1.1419612,1.1534972,0.8735,0.9640352,0.79137045,0.36507952,1.2155986,1.4064655,0.66037244,0.8052014,1.2556298,1.3216082,1.1053321,0.8344969,0.89160883,1.4472734,1.2542938,0.28035772,1.4944179,0.52184767,1.1016303,1.4143456,1.170913,1.2340951,1.2077819,1.487017,0.69652677,0.4421996,1.2744184,1.2192159,0.768615,0.6097979,0.97655386,0.58520377,0.95584774,0.8019346,1.3503497,0.5319496,1.2373941,0.60310817,1.1825839,0.96899915,1.2994419,0.5351436,1.3124692,1.240754,1.4617832,1.2017045,1.4305947,0.93441135,1.3782438,0.64947456,1.2395175,1.0391475,1.1359094,1.1289785,1.4881668,1.0909637,0.2720567,0.49541318,0.4348027,0.89800835,0.37157607,1.2550259,1.4065728,1.4085348,1.2414489,0.46994805,0.51602215,0.59323454,0.8203822,1.2998285,0.9230428,0.63878113,0.5354891,1.1673417,0.87810624,1.3882873,0.88618785,1.2515633,1.008578,1.4374986,0.9048948,1.1771115,0.58115596,1.3736926,0.9744427,1.2790419,0.3383975,0.66899323,1.1801522,1.0839174,1.1752472,0.23356658,0.99003017,1.45465,1.5014038,0.52839035,0.54774415,0.42952204,0.46334374,0.60108316,1.0407954,1.3874615,1.1323092,0.82054114,0.98442066,0.3497182,1.3596771,1.2882358
arm,0.7229739,1.4505086,0.0,1.2257483,1.42029,1.3486203,1.1908038,1.0453507,0.68054307,0.50175256,1.374844,0.71970534,0.77052283,1.3534241,0.5864515,0.73902977,1.3583388,1.4771699,1.5006294,1.2560301,1.2783731,1.067429,1.2006427,1.2468629,1.3175826,1.3391552,1.3597581,0.71102977,0.76838285,1.2138557,1.3143033,0.87059677,0.8990424,0.95714784,1.1390365,1.0926594,0.5203737,0.53977555,1.4317347,0.70390725,1.4764471,1.006795,0.49538738,1.0034628,0.95848304,1.0477979,0.606103,1.0063401,1.183485,0.6269623,0.7173307,0.9218073,1.0753634,1.2337327,1.1766332,1.1994462,1.2864162,0.8315327,1.1504836,0.785955,1.2715884,0.7594673,1.0052269,0.41985404,1.4318681,0.5348566,0.84323514,0.3644482,0.9529624,0.44193435,1.2705355,0.82587564,1.4576068,0.62379706,0.63738704,1.0276964,1.1237835,0.6133621,0.8860327,1.3606652,1.3634287,1.3105154,1.0899968,1.3819749,1.086461,0.5511121,0.5028131,1.0313687,1.3280618,1.2738441,1.1569351,1.179317,0.82268465,1.3567449,1.4349259,1.3046277,1.1761606,1.2385925,0.847471,1.1731412,0.8764598,1.2242444,0.42741042,1.1930002,0.80010617,1.4259205,0.73381203,1.2792721,0.8017919,1.385488,1.3478227,0.794603,1.2404292,1.0494443,1.3957019,1.1616169,0.4389798,0.67031896,1.4403348,1.0742161,1.2743993,1.2055824,1.3061652,1.2189314,0.82969964,1.0225877,1.254623,1.2272813,1.3640383,0.86505455,0.7441575
ball,0.9739763,0.69625163,1.2257483,0.0,0.51340276,0.8424546,0.97716725,1.3029704,1.0999275,1.1964025,1.047706,1.2549447,1.1608758,1.029052,1.1823375,1.0800374,1.0426157,0.9872967,0.74432474,0.9395383,0.75530905,1.1048332,1.016652,0.7230928,1.0519592,0.99107563,0.85727537,1.1960576,1.2782001,0.8371427,0.8187728,1.2062708,1.053565,1.1001568,0.8893783,0.72882044,1.207787,1.113411,0.94461155,1.2231965,0.9010898,0.79272413,1.1036443,0.97022206,1.2397162,1.0919095,1.166441,1.0016677,0.49478436,1.1676625,1.0075743,0.99292314,0.95119125,0.89491117,1.021579,1.0710058,0.6082052,1.0141311,1.0071882,1.0514364,0.6044751,0.9868798,0.81742674,1.1068767,0.7974777,1.1152022,1.2628314,1.2298251,0.98331356,1.1867793,1.0716717,1.2607894,0.839558,1.1355227,1.1114057,0.6890945,0.97605944,0.9957608,0.73178357,0.87839997,1.0884358,1.0684965,0.97514904,0.56028664,1.1348416,1.2211463,1.2247348,1.0569842,1.014633,1.0306512,0.7873357,1.0635718,1.0552304,0.9341352,0.7962451,0.6208701,1.0491242,1.031875,1.199374,1.082491,1.1405169,0.92131597,1.173084,0.93913037,1.1645567,0.99638975,1.1712421,1.0951823,1.0870597,0.9745684,0.7956332,1.1775265,1.0366879,0.8852369,0.75026655,1.1160253,1.2054033,1.1342384,0.72938114,0.9601924,1.0224277,0.9660674,1.1133691,0.7031021,1.0061358,0.972963,0.95120955,1.0886878,1.0031457,1.2390509,1.2436124
balloon,1.2361244,0.5889938,1.42029,0.51340276,0.0,0.7862674,0.960338,0.9868227,1.2140614,1.3237649,0.69367886,1.387855,1.2044909,0.70401925,1.3031461,1.061603,0.89125,0.6916251,0.5991522,0.94022727,0.81011176,1.0761127,0.97923124,0.8757208,0.9444028,0.80795944,0.717462,1.0941871,1.2403989,0.84244955,0.56997424,1.1633298,1.1276023,1.1573634,1.025794,0.91908556,1.3162848,1.2675985,0.60357714,1.3000224,0.65933204,0.8625965,1.3297102,1.0469402,1.0790204,1.1163249,1.326452,1.0710388,0.55212283,1.1931273,1.193366,0.9801246,0.95686597,0.97673386,0.99474096,0.9753976,0.77351636,1.1175241,0.9196332,1.2354016,0.6422734,1.1905811,0.9579546,1.3143778,0.6874069,1.2204442,1.164466,1.4469025,1.1847984,1.4387007,0.94569963,1.2045217,0.42018223,1.2425187,1.248573,0.76377213,0.97773397,1.261411,0.98551214,0.53316355,0.81611943,0.75434434,1.0328703,0.45909607,1.1659799,1.3809731,1.4080207,1.0646708,0.71593654,0.7533864,0.9127643,0.83022267,1.0651236,0.8415921,0.6577307,0.6210801,1.1523917,0.93564975,1.2810634,1.0457683,1.1891737,0.9819249,1.3522576,0.9555038,1.2725787,0.825209,1.2329564,0.9362079,1.0448091,0.7156958,0.66233146,1.1056892,0.9611131,0.8412672,0.63983554,0.9992431,1.3841119,1.222899,0.59808165,0.90744656,0.7218557,0.75472724,0.91197115,0.75249636,1.1334019,0.9677137,0.8315887,0.89704865,0.6426681,1.1444736,1.1530837
banana,1.03398,0.77249205,1.3486203,0.8424546,0.7862674,0.0,0.9504974,1.264764,1.0835311,1.3321531,0.94873935,1.3470805,1.2084179,0.8099425,1.2197163,1.1719978,0.9515456,0.88353544,0.6491269,0.92689455,0.38943994,1.3179686,0.94758457,0.7215332,0.9324684,0.9343424,0.6901846,1.1706156,1.3446339,0.72813296,0.66899383,1.1538135,1.1019418,1.040879,0.744528,0.7252166,1.324182,1.1043208,0.8010237,1.2505112,0.7584442,0.8085585,1.1836822,0.9450865,1.1577206,1.188303,1.3472092,1.0524228,0.73866093,1.1013242,1.1874516,0.9945854,0.9434725,0.8704199,0.8941176,0.86123836,0.6473516,1.1503487,0.86941946,1.0004177,0.7220288,1.1921268,0.7742784,1.1794317,0.7148138,1.1501714,1.1159892,1.385417,1.08924,1.4303689,0.7681881,1.2089908,0.69482344,1.2544801,1.0385085,1.0892572,0.98285794,1.0785406,0.86078465,0.89243686,0.9544241,0.97712576,0.92369425,0.5849044,1.1618025,1.3403951,1.4305942,1.1256826,0.87340254,0.86370444,0.83928615,0.9841735,1.083351,0.82549834,0.63007426,0.56390154,0.96495694,0.9926279,1.2497773,0.89282703,1.2191309,0.75732774,1.4395094,0.88424647,1.2286928,0.6509577,1.3255498,0.9178063,1.071995,0.8124409,0.7953786,1.2351158,0.7894541,0.7838591,0.794712,1.0057833,1.3750566,1.2670307,0.6748587,0.98330945,0.8425963,0.83965856,0.864455,0.7846396,1.058574,1.0503654,0.9436048,1.157442,0.8795302,1.2553288,1.205103
basket,1.1077771,1.1967411,1.1908038,0.97716725,0.960338,0.9504974,0.0,0.88983184,1.1765704,0.85199684,1.1135874,0.7342365,0.8554533,1.173504,0.80452764,1.0708318,0.8094163,0.89217526,0.8896794,0.41433167,1.190023,0.89389634,0.5925546,0.95856065,0.5837547,0.970401,1.2131373,1.1828097,0.80114305,1.2350109,1.127071,0.9002983,0.6984217,1.0844954,1.0967952,1.0006709,0.88322616,1.1956434,1.267095,0.70220965,0.81905764,0.93360525,1.169019,0.8121607,0.9449272,0.8891487,0.9004529,1.3473116,1.2523904,1.2422637,1.1551471,1.3258469,1.3568106,0.8580862,1.2747263,1.0970757,1.0509905,0.75924134,1.3393881,0.82359755,1.0569551,1.1767051,1.0727116,1.162058,1.1059126,1.2022352,0.94425744,1.0229465,0.8292929,1.1015677,0.9875111,0.86288786,1.0955975,1.068061,1.0885702,0.87375563,0.79489183,0.7603255,1.0013187,1.2613151,1.2231761,1.2695508,1.2147647,1.0688032,0.78692645,0.9362066,1.0882523,0.8301683,1.2767386,1.2602714,1.2690048,0.9464606,0.66272014,0.83845043,1.0468311,0.99177635,0.45012176,0.8590136,0.7833244,1.0054744,0.87293285,0.87806475,1.0787721,0.898255,0.9833361,0.9848642,1.0119596,0.796559,0.86866105,1.2124403,1.1156425,0.9696111,0.8893367,0.9480213,1.1761146,0.8863411,1.0473113,0.70622104,0.93827426,1.3677166,1.298317,1.2013149,1.1846161,0.627534,0.65406764,0.97144943,0.9733045,0.80625296,1.2882129,1.0093209,1.0575024
bathtub,1.1436422,1.2130699,1.0453507,1.3029704,0.9868227,1.264764,0.88983184,0.0,1.0751907,0.8754183,0.7192617,0.64462364,1.0454988,0.9245742,0.87099445,0.9522223,0.71508163,0.9628424,0.9277475,0.822219,1.3816711,0.6767255,0.8962783,1.2123404,0.65984374,0.8190841,1.2189025,0.73005724,0.5382554,1.0682977,0.9229928,0.71458536,0.8685139,1.0317209,1.139803,1.1834185,0.7904196,1.2312121,0.99251086,0.75930923,0.96992815,1.094495,1.1137787,1.1011885,0.573494,0.46366656,1.0521952,1.1646751,1.3302928,1.0439172,1.1372958,1.2020543,1.0847923,1.0872252,1.163569,0.8211991,1.1686046,1.062428,1.2452838,1.1425208,1.3090901,1.1749477,1.2021714,1.2076168,1.223572,1.1209414,0.743315,1.0604557,1.0611143,0.98108476,0.9125113,0.7340956,0.7901605,1.013749,1.2171133,0.95291364,1.0467963,1.1559196,1.252058,1.1167033,0.97026163,0.98278147,1.2036412,1.1724889,0.6854055,1.0182303,0.9740925,0.8306485,0.91336584,0.9155119,1.2559816,0.6727471,0.94937724,0.88240343,0.8788913,1.2206204,0.98292965,0.7823732,0.8546166,0.8548267,0.989649,1.0239642,1.0403875,1.0989425,0.917925,1.086965,0.7195128,0.5507728,0.985227,1.0931227,1.1272829,0.8685556,0.8711973,0.9951245,1.2091267,0.99700737,1.0303099,0.9530835,0.9575084,1.2993221,1.1468457,1.2598574,1.011512,1.1530318,1.0033318,0.97500384,0.96074486,0.6533479,1.0517951,0.62181765,0.9207197
bear,0.7237836,1.1646978,0.68054307,1.0999275,1.2140614,1.0835311,1.1765704,1.0751907,0.0,0.75215167,1.1869574,0.99046713,0.8307168,1.1330409,0.6680882,0.88461024,1.2227229,1.3533802,1.2414556,1.231242,1.1004063,1.1459343,1.1913809,1.1355155,1.2028837,1.2042277,1.1350275,0.59083307,1.0019349,1.0839942,1.0444502,1.091093,1.1494558,0.9439543,1.0564392,0.9148739,0.83411103,0.6947698,1.1656172,0.9074366,1.3356076,1.0216447,0.6761768,1.08368,1.1196731,1.253359,0.7483138,0.97061485,1.0446279,0.44790012,0.9404896,1.0877926,0.96075225,1.2489206,1.1102757,1.1472597,1.1076522,1.0648335,1.0270603,0.87611914,1.0948792,0.9164196,1.0240381,0.9196632,1.2015722,0.6260209,0.8229376,0.6843343,1.0943652,0.6820322,1.1772075,1.0021449,1.207758,0.8968305,0.99671936,1.0360435,1.0913616,0.77522993,0.94757456,1.110771,1.1206312,1.1376951,1.0834154,1.2127874,1.1403618,0.7242735,0.7313611,1.130881,1.0642253,1.1402166,0.94935787,1.1021892,0.93494385,1.2667996,1.1826178,1.1402942,1.1598122,1.1571313,1.0708302,0.99758804,0.92783815,1.1527635,0.7524437,1.0531179,0.905944,1.2663579,0.9505944,1.2331454,0.82593244,1.1423768,1.2193705,0.84746206,1.1807075,0.9972606,1.1893013,1.135906,0.7353932,0.975337,1.2003704,1.0887802,1.055927,1.1893795,1.0500758,1.1477685,1.0489707,0.9836488,1.1148336,1.2183622,1.0936118,1.0441632,0.76835144
bed,0.67449385,1.519411,0.50175256,1.1964025,1.3237649,1.3321531,0.85199684,0.8754183,0.75215167,0.0,1.4059763,0.36854565,0.67601573,1.5025418,0.19884223,0.60879636,1.233453,1.5033528,1.4153355,1.0310105,1.4627237,1.0592602,1.075829,1.1934911,1.1346909,1.1989778,1.5762117,0.6880698,0.42042255,1.3931454,1.3473152,0.70877945,0.76886654,1.1934075,1.2305384,1.1801562,0.14256155,0.6984519,1.5544224,0.22509241,1.4907712,1.0669386,0.48962075,0.73667586,0.84930986,0.95962274,0.4615062,1.2219381,1.3340384,0.72413635,0.61920905,1.4291952,1.2249465,1.1747338,1.3925055,1.4221065,1.2730154,0.7727666,1.289827,0.79033595,1.3449707,0.7077187,1.2058711,0.9042151,1.3617988,0.66628295,0.9452718,0.48490143,0.9230205,0.38404214,1.4015467,0.55028474,1.4989197,0.84215635,1.0316731,1.0532928,0.9967341,0.6570678,0.9659235,1.3823926,1.4691558,1.5076022,1.0997205,1.4749727,0.9646639,0.39065957,0.5161644,0.87851816,1.5175574,1.5537741,1.297626,0.94282234,0.54404384,1.315333,1.4219205,1.3990128,0.9435657,1.1721191,0.6396192,1.2333975,0.9161535,1.2426512,0.42701036,1.2122154,0.9224372,1.4632399,0.58345854,1.2288991,0.5807281,1.5278255,1.3992819,0.9446207,1.3503914,1.1067564,1.5590085,1.1037967,0.42555875,0.35195518,1.364489,1.3583688,1.3898327,1.4414146,1.4056876,0.9098775,0.6439642,0.9462791,1.1961238,1.1708195,1.45291,0.69289297,0.62329715
belt,1.2356005,0.48014116,1.374844,1.047706,0.69367886,0.94873935,1.1135874,0.7192617,1.1869574,1.4059763,0.0,1.1857249,1.2206995,0.4305719,1.3150413,1.0673215,0.5390241,0.5660142,0.57899296,0.96869165,0.8980206,0.9566353,1.058327,1.0101231,0.7734029,0.8307222,0.613987,0.9377872,1.0644536,0.6896186,0.8235136,1.1246104,1.1536937,0.9521945,0.94389075,1.0174316,1.2705241,1.4151735,0.27118194,1.3772993,0.6545562,1.1807572,1.3228676,1.2399046,1.0110164,0.90503013,1.3566813,0.8659635,0.86777985,1.220232,1.2731273,0.85226226,0.6975883,1.0704341,0.56355375,0.7474325,0.9365679,1.4220175,0.64161515,1.1561373,0.89985377,1.2373616,1.2196448,1.3271418,0.63683033,1.3037665,1.0425664,1.3790829,1.30814,1.2973502,0.911797,1.252345,0.5938034,1.2231777,1.1422945,1.2355614,1.1054934,1.4957378,1.3955646,0.45480448,0.39137006,0.1720401,1.0162965,0.6583586,1.1122843,1.3335747,1.2706445,1.1541331,0.3064388,0.32176375,0.75393045,0.6417165,1.3191304,0.917533,0.6570422,0.8875909,1.0311334,0.6996888,1.2813278,0.90653396,1.1105019,0.95372313,1.364644,0.86805546,0.859862,0.6795455,1.3092164,0.85277474,1.340582,0.30645287,0.8757851,0.9392016,0.9945711,1.1776288,0.5385375,1.0277971,1.4067922,1.4610124,0.6231904,0.69165546,0.6508278,0.69443536,0.5844474,1.2339883,1.4525037,1.1019098,0.8687179,0.82242554,0.31857026,1.1402557,1.1393603
bench,0.841031,1.4570918,0.71970534,1.2549447,1.387855,1.3470805,0.7342365,0.64462364,0.99046713,0.36854565,1.1857249,0.0,0.8523839,1.2715516,0.45314926,0.9116509,1.0278225,1.2724108,1.3159778,0.92806077,1.4235666,0.8210294,0.9433433,1.2825487,0.87470174,1.1096251,1.4275376,0.7703178,0.23129678,1.2070892,1.3324703,0.6596643,0.5482524,0.8945229,1.1426675,1.2445879,0.27159232,0.96507275,1.4170167,0.37863922,1.3293401,1.185314,0.64979196,0.9545872,0.73765755,0.5966384,0.6398977,1.1545422,1.3555586,1.0548522,0.871537,1.2916825,1.2174549,1.0662993,1.157168,1.2346597,1.319403,0.8772652,1.2719741,0.7532586,1.4029181,0.89056027,1.2037926,0.95250195,1.3100196,0.9682335,0.9088451,0.6556476,0.86701953,0.4805491,1.3040764,0.5093294,1.387139,0.8613594,1.0478839,1.0131557,1.0613887,0.7667309,1.0753667,1.3939884,1.1877551,1.2647003,1.1285653,1.418277,0.8069856,0.6797431,0.51438546,0.9062537,1.358178,1.3374696,1.131347,0.8264184,0.69048643,1.0663333,1.3736194,1.3912139,0.7335464,1.0198307,0.6899735,0.9410082,0.7656102,1.1926408,0.64840055,1.0533072,0.7498466,1.2421238,0.69777465,1.0014545,0.85871756,1.3227416,1.3018657,0.8873082,1.2381268,1.1067505,1.4922539,1.0066866,0.68008965,0.55243546,1.3255966,1.3141825,1.3347307,1.3486065,1.127537,1.0475155,0.8298993,1.0656338,1.2351527,0.99783325,1.2965138,0.63774985,0.8766508
bib,0.96512973,1.3388748,0.77052283,1.1608758,1.2044909,1.2084179,0.8554533,1.0454988,0.8307168,0.67601573,1.2206995,0.8523839,0.0,1.2829486,0.6300383,0.8930014,1.2558008,1.3393685,1.3113996,1.1397882,1.3418431,1.0906516,1.0765802,1.130363,1.2467488,1.1335565,1.3632858,0.8535187,0.9342953,1.2958577,1.1992264,0.9708956,0.89901257,1.0923576,1.2758505,1.1285977,0.7942989,0.7222601,1.3783112,0.7493506,1.3196374,1.0255804,0.69421935,0.6370252,1.0303513,1.2278752,0.32004762,1.0753196,1.3438911,0.73331475,0.8376155,1.1485655,1.1230053,1.0446267,1.2743639,1.2101637,1.1912264,0.8148415,1.1510315,0.73513275,1.1733353,0.8371396,1.0118299,0.74120903,1.1549501,0.859159,0.8900864,0.5577309,0.94999146,0.77169377,1.1951455,0.9900879,1.2990334,0.83693135,0.8425836,0.89402664,1.0211976,0.5667236,0.9351068,1.248941,1.2473743,1.1741744,0.94523996,1.390971,1.0990937,0.42633736,0.7579096,0.9500248,1.3109088,1.3200984,1.1178021,1.1241418,0.83717036,1.1263698,1.302402,1.328032,0.92981213,1.2424122,0.8899658,1.1114621,0.6805153,1.1325005,0.5463854,1.0919083,0.9198616,1.2829838,0.90327835,1.2669091,0.8381127,1.2970719,1.1679502,0.8425679,1.1053427,0.9677102,1.2695122,1.007502,0.5507957,0.69350696,1.2765315,1.228483,1.2148314,1.2070208,1.2635121,0.9473517,0.8000416,0.9487002,1.0824392,1.1657214,1.2511599,0.8676555,0.66461164
bird,1.0354954,0.5827706,1.3534241,1.029052,0.70401925,0.8099425,1.173504,0.9245742,1.1330409,1.5025418,0.4305719,1.2715516,1.2829486,0.0,1.367048,1.1575265,0.6234602,0.53557795,0.6412629,1.0002221,0.75886506,0.93662053,1.0921223,0.91703224,0.8603406,0.70462257,0.5794761,0.9961572,1.2304541,0.75152194,0.74145484,1.2980599,1.2248647,0.7948879,0.89333534,0.99070036,1.4127097,1.3180743,0.35156262,1.4461023,0.64368355,1.1023259,1.2304785,1.2249134,1.1768965,0.9996702,1.4262767,0.97402906,0.86530006,1.2039373,1.3510109,0.80176854,0.79236996,0.8930754,0.6829666,0.58210087,0.79167366,1.3958309,0.79335994,1.1155083,0.8528142,1.3284115,1.1185807,1.2929624,0.69215196,1.266892,0.9964893,1.4559721,1.2496035,1.450752,0.6154107,1.2186565,0.5372833,1.2805161,1.1551245,1.1890831,1.1050351,1.3880571,1.2569447,0.5653576,0.45694292,0.4004926,1.0198694,0.707726,1.1447976,1.4633514,1.4376758,1.1504275,0.35913968,0.36641967,0.82627684,0.68943065,1.2686682,0.76089084,0.61864066,0.80388224,0.96889764,0.7070926,1.3587464,0.7765492,1.1740497,0.8257353,1.4824226,0.6962224,1.0779808,0.4752863,1.4006097,0.78868544,1.3568099,0.39916325,0.73710406,0.9957529,0.7710767,0.9919611,0.58900106,0.94198936,1.4732311,1.4692601,0.70957696,0.7747663,0.63430065,0.56636196,0.4809456,1.1742607,1.410931,1.065234,0.73507565,0.78024423,0.38310778,1.2514088,1.2163503
blanket,0.78346074,1.4827207,0.5864515,1.1823375,1.3031461,1.2197163,0.80452764,0.87099445,0.6680882,0.19884223,1.3150413,0.45314926,0.6300383,1.367048,0.0,0.81764555,1.1742045,1.4742539,1.3377646,1.0892012,1.2971979,1.0824608,1.1234717,1.2303301,1.1279185,1.1815276,1.438221,0.6037328,0.5328032,1.3098822,1.255993,0.79838717,0.80148125,1.1113763,1.1792903,1.1527195,0.24524415,0.82463914,1.4964637,0.52843356,1.4648526,1.0466084,0.49916697,0.77446914,0.92029804,1.014762,0.5168404,1.184364,1.3225963,0.74616265,0.8244956,1.2600915,1.1870719,1.1491185,1.2646778,1.324116,1.2577193,0.91775614,1.3011127,0.5235737,1.294058,0.875119,1.0731591,0.8406404,1.3163099,0.7796808,0.8752303,0.512059,0.9843373,0.47418964,1.3483422,0.79320604,1.4130505,0.8638108,0.9735281,0.9746732,1.0518278,0.576876,0.9759618,1.3664501,1.2939466,1.3745363,1.099241,1.3664603,0.96704835,0.43530917,0.581877,0.9213762,1.4354357,1.4490433,1.2151548,0.6411607,0.5637376,1.2115113,1.3370264,1.2675004,0.92496645,1.1593333,0.8450888,1.0892434,0.7353767,1.2361159,0.56565136,1.1094711,0.8156094,1.4634044,0.7373823,1.1793554,0.827892,1.3946587,1.2779711,0.87615263,1.2669643,1.059359,1.5007236,1.0946292,0.59263784,0.6093219,1.2942619,1.3062842,1.3140607,1.4339436,1.1654018,1.0262724,0.82235795,0.95730484,1.1999066,1.1944792,1.3750412,0.8112562,0.65858257
boat,0.81971735,1.1959332,0.73902977,1.0800374,1.061603,1.1719978,1.0708318,0.9522223,0.88461024,0.60879636,1.0673215,0.9116509,0.8930014,1.1575265,0.81764555,0.0,1.1383203,1.2653296,1.2022513,1.0006295,1.2914157,1.1042247,1.1114632,0.9855246,1.1566207,1.1174684,1.317588,0.9187785,0.90048283,1.2875261,1.1877749,0.92746085,1.0031098,1.178735,1.2012377,0.9549337,0.76976335,0.76584554,1.1204659,0.6456696,1.228419,1.1192522,0.7586525,0.85791147,0.9676909,1.0518973,0.7513375,1.1591295,1.2010365,0.6661173,0.8094407,1.2023072,1.0630916,1.0710068,1.2032876,1.1743239,1.0823808,0.908484,1.0465728,0.98643917,1.167553,0.88357115,1.1893696,0.94312257,1.139201,0.49293113,1.1658328,0.78639936,0.96236897,0.7474899,1.1605853,0.7607328,1.1924686,0.8166639,0.95398366,1.1439726,1.0279928,0.8754144,1.0696609,1.0510124,1.2469866,1.189683,1.0909802,1.2667544,1.1259259,0.75608784,0.8636452,1.0104073,1.1320322,1.149462,1.1947044,1.1510127,0.9757264,1.2173083,1.1749213,1.2563492,1.0928192,1.1193635,0.88618743,1.2376802,1.0382799,1.1240131,0.7276714,1.0524541,0.93870354,1.19744,0.8843986,1.1621734,0.717333,1.1416011,1.2704723,1.0482644,1.2504008,1.0819981,1.1884838,1.0945321,0.70910096,0.7244303,1.1827438,1.0387456,1.1378564,1.0562181,1.2571745,0.8793298,0.7393209,0.9486434,1.0310663,1.0495622,1.1018417,0.88365686,0.72571033
book,1.1410428,0.75457215,1.3583388,1.0426157,0.89125,0.9515456,0.8094163,0.71508163,1.2227229,1.233453,0.5390241,1.0278225,1.2558008,0.6234602,1.1742045,1.1383203,0.0,0.52176046,0.5451414,0.50614977,0.89943886,0.7791779,0.9115342,1.0492693,0.6349208,0.6745359,0.814402,1.2453567,1.0353653,0.82693064,0.9315013,1.2115827,0.88061076,0.8685185,0.74298966,1.0134807,1.1872494,1.4118755,0.55621684,1.0863408,0.66385084,1.0364724,1.3250206,1.065011,1.1417593,0.7587277,1.3308485,0.97728467,0.95584077,1.3589679,1.2839069,1.0836937,0.76185596,0.94910926,0.80060726,0.74965495,0.8497386,1.2706239,0.9160167,1.0903361,0.8286642,1.2789135,1.1385548,1.3375611,0.81231415,1.3681257,1.0039737,1.3822608,1.1106707,1.3253255,0.770846,1.1239709,0.8040044,1.2450663,1.1026958,1.1997126,0.9826802,1.2753608,1.3579757,0.79100025,0.73290604,0.7306521,1.0793375,0.82230115,1.0828013,1.3263394,1.3650053,0.60098094,0.5540369,0.6274003,0.92348886,0.63680494,1.0487192,0.9138429,0.50886357,0.8740222,0.8018028,0.49045885,1.0718558,0.8625785,1.2507857,0.7101215,1.41304,0.810725,0.99589497,0.8014803,1.3161004,0.7238561,1.2363125,0.6517786,0.8771181,0.91576225,0.8377555,1.2311995,0.7817475,1.0686623,1.4156665,1.0916132,0.601148,0.9538115,0.8900096,0.8248963,0.73464704,0.910574,1.0241021,1.1194253,0.8208563,0.7637054,0.6814359,1.1487526,1.3084148
