,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.97524345,1.5663242,0.8236747,0.43592024,1.4650865,1.4847128,1.2443836,1.0637801,0.7346485,0.94395816,0.5635152,1.4215539,0.96976286,0.6437453,0.82911336,0.49335325,0.8265139,1.2979977,1.5262103,1.2999891,1.000631,1.3787656,1.2833266,0.9475218,1.5207715,0.87075543,1.4715084,0.57389396,0.9090832,1.0270404,0.83749163,0.8107828,1.0021375,0.906345,1.3270918,0.74998397,0.6203059,1.5819342,0.578258,1.4416585,1.1045588,0.5506818,0.88732886,0.84237206,0.99530816,0.84138304,1.3107893,1.4111271,0.6366628,0.9251306,1.141942,0.7823436,1.3321652,1.2026253,1.3254573,1.246235,1.092517,0.6881932,1.4313344,0.7386515,1.248537,0.9355572,0.64172065,0.72685766,1.3771086,0.8646104,0.8587634,0.60095054,0.96885294,0.68350923,1.187512,0.67046285,1.1667349,0.7990188,1.3042538,1.0235821,0.4049154,0.69273794,1.4966928,1.4144256,1.4133185,1.2629967,1.5006864,0.94876796,0.68684137,0.68258137,0.78514194,1.5566278,1.5290911,1.3057941,1.0923665,1.1490222,1.1791189,1.2998129,0.8480416,0.9252739,1.0407069,1.2309248,1.2425342,0.8353879,0.96908534,0.99096596,0.87726814,0.5919204,0.98643017,0.8967729,1.136299,0.65437466,1.1319354,0.68729526,1.5399319,0.9395603,1.3733488,0.89723134,1.0527203,1.3653319,0.9943749,1.1480523,1.405767,0.909606,0.6503581,0.6304189,1.1816522,1.2754078,1.0259911,0.8775543,1.4323322,1.0639932,0.85932326,0.95264107,1.4480157,0.91777575
ankle,0.97524345,0.0,1.0618212,0.90186787,1.0011601,1.0304751,0.98746586,1.0532033,0.8551949,1.1540647,0.9795894,0.9381668,1.0071478,1.0901512,0.83879256,0.988805,0.9144385,1.0925726,1.0108169,1.054786,1.0509244,0.99549866,1.0046158,1.020726,0.9638027,1.0258636,1.1836197,1.0904157,1.0669789,1.0279496,0.9056824,1.1476574,1.0802566,1.1162318,1.00755,1.0103953,1.1301944,1.1531446,1.0689877,1.0450118,0.9819377,1.047669,1.0217212,0.63674045,1.145578,1.0791801,1.0094303,0.9812711,1.0604404,0.92546475,1.1731555,0.96558166,1.0502186,1.1488433,0.925676,0.95541996,0.98254335,1.0647459,1.1812472,1.0931216,0.650282,1.0257106,1.1790664,1.1837674,0.9354273,0.89536595,1.1410835,1.0986636,0.94747645,1.0668688,0.93126357,1.0263634,1.1238244,0.8911334,1.1371887,1.1996727,1.0019709,0.7345123,0.9715962,1.0499904,0.98984647,0.913954,0.9674301,1.0782148,0.9089562,0.78706014,0.96474147,1.1278456,1.0518321,1.062328,1.1330216,1.0189352,1.0577835,0.90579915,1.0670379,0.7054539,0.82776934,0.9841743,0.96573824,1.0475932,1.1040063,0.91371834,1.1569711,1.0781361,0.9960306,0.73184776,0.8212246,0.8844548,1.0660547,1.1351881,1.113088,0.93068,1.1428369,1.0039976,0.6357226,1.0878129,1.0068264,0.86666536,0.93835586,1.0625105,1.1201205,0.9839442,1.1648155,0.88565946,0.93680775,0.9290503,1.0728788,0.97283757,0.84868443,1.1560385,1.0407206,1.0350122,1.1079459
apple,1.5663242,1.0618212,0.0,1.1925995,1.4268203,0.17322606,0.36650813,0.4662677,1.2198102,1.4113371,1.0648919,1.5089276,0.6113115,1.2450505,1.4548123,1.0166016,1.4974327,1.2661152,1.0005625,0.3730539,0.8173791,1.2404983,0.63059914,0.9002784,0.993097,0.58958924,1.2286882,0.22082883,1.2640443,1.3950326,1.0015764,1.3838822,1.2356404,1.0561332,1.1974751,0.3620937,1.3533242,1.2445512,0.31418836,1.6011013,0.72891057,0.90927607,1.2635789,1.1638544,1.3908653,1.2843325,1.2559205,0.5885283,0.3898282,1.2777946,1.1110607,0.63819826,1.2506571,0.49324238,0.6226651,0.49273074,0.9022129,0.7319062,1.417202,0.31280637,1.1242201,0.604673,1.1760992,1.2929652,1.1538233,0.53682065,1.1002927,1.3203461,1.5197914,1.2775767,1.3622541,0.9627669,1.467191,0.8686117,1.2558128,0.5570165,1.1994369,1.433434,1.1008,0.13256681,0.65648514,0.5352708,0.48927963,0.09391922,1.378259,1.4153296,1.394117,1.2897506,0.35547316,0.39538407,0.47575617,0.9576868,0.7436433,0.6547131,0.8576552,1.276295,0.89000666,1.2914745,0.89489263,0.58028746,1.4535518,0.72318375,1.154837,1.2972031,1.4741776,0.88173664,1.3029279,0.91446716,1.4195384,1.1810087,1.3386991,0.21149457,1.0886471,0.50851643,1.095046,0.96270573,0.66322094,1.0960687,0.8707485,0.40888202,1.2194285,1.4335089,1.5058708,1.0688946,0.43563044,0.74967337,1.3092055,0.5436523,0.8559692,1.296107,1.2937006,0.20988584,1.2477491
applesauce,0.8236747,0.90186787,1.1925995,0.0,0.99622464,1.1963488,1.2000793,1.1224734,0.9612322,0.88677245,1.0350078,0.8333513,1.0410776,0.66543174,0.7060395,0.9088149,0.76309943,1.0033089,0.85150933,1.076219,1.0153147,0.86542153,1.1404606,0.8803005,1.080468,1.0225847,0.94094425,1.1481833,0.8682686,0.86467105,1.0903159,0.9349842,1.0930642,0.9429056,0.9713303,1.1608739,0.8552425,0.87212276,1.1955624,0.8052747,1.008081,0.88744855,0.9702892,1.1052594,0.97066313,0.94994235,1.0497936,0.9901293,1.2239649,1.0293559,1.056857,1.1340405,0.8677198,1.1228285,1.1069754,0.9839547,1.0624502,1.0648292,0.9451121,1.1503273,1.081729,0.9827737,1.0690575,0.95051277,1.021407,1.2444425,1.1112249,1.0799785,0.8511945,0.9972016,0.92002594,1.0682542,0.9511095,1.1657621,0.9763148,1.0866767,0.98403305,0.9095062,0.8863579,1.1766763,1.0592293,0.98427635,1.1763827,1.1948321,0.86684954,0.940844,0.93089664,0.76967263,1.1293563,1.1069839,1.0852327,0.8639438,1.0246562,1.119564,0.99260306,1.0394388,1.058072,0.8635089,1.0138816,1.2113805,0.8739007,1.0968521,1.0446823,1.0680878,0.9171233,0.97808486,0.8106775,1.0947652,0.9824671,0.9791088,1.0290637,1.153144,1.0272189,1.1187032,1.0424128,0.9162944,1.1374776,1.2201533,1.1763154,1.0831649,0.9514142,0.93658906,0.78234434,1.0175092,1.1501527,0.9851398,1.0380694,1.0719745,1.0638773,0.846105,0.9845942,1.1696236,0.95054096
arm,0.43592024,1.0011601,1.4268203,0.99622464,0.0,1.342596,1.462668,1.3137516,1.1423291,0.86400366,0.941466,0.60742086,1.3584603,1.0909597,0.5680814,1.0115124,0.6008019,0.72855926,1.2391747,1.3644617,1.1914036,0.9447016,1.4159715,1.2299587,1.1691381,1.4805894,0.8969985,1.4397638,0.73712134,0.96281064,1.0668558,0.98008394,0.7587675,0.9283965,0.95531267,1.3117676,0.7630719,0.84279907,1.4704424,0.6666658,1.245799,1.2941257,0.8246931,0.9363641,0.9275087,1.0240723,0.86167246,1.3554668,1.3990748,0.56856227,0.7851547,1.0340506,0.8132541,1.4418101,1.3798714,1.3673177,1.2900907,1.4072919,0.723269,1.309882,0.656174,1.334895,0.7776261,0.6200036,0.55226046,1.3580923,0.91332245,0.9256038,0.6828357,0.78927,0.57550395,1.1567221,0.80093694,1.2220815,0.7836936,1.3633473,0.87647724,0.42781097,0.78021365,1.3374069,1.4417851,1.4298925,1.2585348,1.3973558,1.0850496,0.6338289,0.65232944,0.7425102,1.450936,1.4046133,1.3598428,1.2703859,1.1018555,1.3247955,1.3319385,0.81270444,0.9682814,0.93476945,1.2725165,1.3015156,0.8707415,1.1574672,0.92441154,0.89898497,0.4104588,1.0523835,0.89181787,1.2337186,0.67615366,1.0823618,0.616699,1.4364322,1.0318052,1.4543157,0.80259526,1.1559522,1.4195065,1.0846733,1.1736048,1.3539755,0.9536787,0.39267814,0.5031198,1.0605818,1.2120116,1.1000308,0.82261497,1.4495504,1.1841226,0.8145183,1.0696231,1.3885343,0.8433447
ball,1.4650865,1.0304751,0.17322606,1.1963488,1.342596,0.0,0.32669556,0.5322428,1.1986709,1.3143581,1.110556,1.370541,0.80015874,1.3437912,1.3386335,0.9738131,1.3605242,1.2120125,0.9392432,0.43866146,0.81327313,1.1218338,0.6858134,0.8514285,1.051593,0.6906916,1.1413324,0.4197737,1.2795138,1.4259702,0.846374,1.3734838,1.2302594,1.0017484,1.1851939,0.49220884,1.3682187,1.2849879,0.41639197,1.4911983,0.73403645,0.99159265,1.2592578,1.1033773,1.3426557,1.256663,1.2469438,0.79728377,0.35811633,1.2605629,1.1381934,0.8775928,1.1219312,0.68352437,0.6984885,0.76584744,0.9548733,0.8125417,1.3214374,0.556027,1.212601,0.5476277,1.1580942,1.1874119,1.2204317,0.6472447,0.98406106,1.1729624,1.4786757,1.1964178,1.3246206,1.0365808,1.4259195,0.8238399,1.2307279,0.55286515,1.1165625,1.3621898,0.99204606,0.23317492,0.7736589,0.7500155,0.701126,0.21293926,1.3512704,1.3738695,1.3833524,1.1608484,0.5027422,0.5336338,0.5421506,1.0915152,0.7926443,0.7417795,0.87243927,1.1825423,0.99584067,1.2257774,0.9023833,0.56793475,1.3832934,0.8596002,1.138388,1.1906742,1.4106376,1.0296532,1.3079021,1.0060247,1.330015,1.1781366,1.2201296,0.42706847,1.044799,0.5188827,1.1171093,0.9817164,0.74046683,0.9813174,0.891165,0.45946646,1.197613,1.3291535,1.3908985,0.94431806,0.68858474,0.7062014,1.1763878,0.6777228,0.66909444,1.2343905,1.278522,0.46506488,1.2099221
balloon,1.4847128,0.98746586,0.36650813,1.2000793,1.462668,0.32669556,0.0,0.6679749,1.0394431,1.0933522,1.0580225,1.5034549,0.6298741,1.1935465,1.371298,0.94694847,1.3830829,1.2855084,0.8151797,0.64327085,0.7385156,1.107864,0.6392154,0.8071457,0.9427039,0.5684395,1.195887,0.40310776,1.3268204,1.224755,0.6517747,1.2853296,1.2665943,0.915235,1.1114982,0.59130865,1.4242208,1.3316185,0.49166542,1.5809038,0.7184918,0.864342,1.2817299,1.0854642,1.2702785,1.1174402,1.2818335,0.6185173,0.4385605,1.3831108,1.2415031,0.80584943,1.222837,0.5364771,0.8200476,0.6733881,0.8236157,0.6469729,1.264991,0.6504824,1.110914,0.48596275,1.2745996,1.3343129,1.2162197,0.59596145,1.0775771,1.0557904,1.4578464,1.1457857,1.4516411,0.89924365,1.4572387,0.60849386,1.2709941,0.63820076,1.0323634,1.2916167,1.0974743,0.5006962,0.7274462,0.6439845,0.6341224,0.4093212,1.2642443,1.3840377,1.4445817,1.1574165,0.56830275,0.61087555,0.5665215,0.87041026,0.82131225,0.8563479,0.7362144,1.2027707,0.8616516,1.1072075,0.8503759,0.57435936,1.3411485,0.96398807,1.2113203,1.1014353,1.5308274,0.88731635,1.2548629,0.84894526,1.4130672,0.98440236,1.3157419,0.4917047,0.9743964,0.5748802,1.0723984,0.8697145,0.5741173,0.8372476,0.8506998,0.47498822,1.2358545,1.4780589,1.4798079,0.7832658,0.693498,0.736071,1.1406624,0.71042275,0.7296061,1.1271715,1.2240133,0.6057004,1.2005762
banana,1.2443836,1.0532033,0.4662677,1.1224734,1.3137516,0.5322428,0.6679749,0.0,1.0551753,1.2136484,1.0542396,1.2986842,0.83033407,1.2452095,1.277705,0.84749776,1.1511141,1.2228794,0.9601745,0.73677546,0.7767282,1.0646178,0.68410885,0.9427862,0.7923878,0.8876339,1.1025494,0.55286646,1.2011106,1.4079657,0.95981866,1.3274245,1.25045,1.1225853,1.106149,0.43987155,1.347451,0.90085524,0.64573956,1.3649151,0.8803206,0.7385841,1.1090199,1.1469958,1.3759823,1.2308499,1.2287111,0.8540541,0.3074749,1.2380729,1.147552,0.9031402,1.1120757,0.67308134,0.74408615,0.7713763,0.8285878,0.70111847,1.2295501,0.7289289,1.130145,0.62760234,1.2140019,1.0721372,1.1796974,0.85879683,1.1450839,1.0822163,1.3903456,1.19656,1.2605624,0.9826584,1.3487461,0.92793214,1.1982185,0.6154851,1.1571031,1.2453578,0.94995093,0.6479318,0.81650925,0.88669986,0.8209665,0.43975747,1.3058041,1.361033,1.3095868,1.1652484,0.665427,0.6771695,0.27220237,0.99281985,0.76737016,0.8451356,0.6794225,1.1953866,0.8780154,1.3320212,0.919892,0.638147,1.3458011,0.89790434,1.1888924,1.1658664,1.3876723,0.9233721,1.3028917,0.94169855,1.3350558,1.1171914,1.1616977,0.65269756,1.02434,0.69959944,1.1215885,0.7363942,0.6941583,0.98452127,0.8654755,0.5633838,1.2822832,1.2939944,1.2680719,0.97765815,0.7512897,0.81672716,1.216888,0.81451625,0.7520617,0.957548,1.3127247,0.6489668,1.266536
basket,1.0637801,0.8551949,1.2198102,0.9612322,1.1423291,1.1986709,1.0394431,1.0551753,0.0,1.0573325,0.9254969,0.98468536,1.0821067,0.9279125,1.0372007,0.98225737,0.8342552,1.0309246,0.69686633,0.993603,0.77401364,0.79579866,0.715685,0.73600566,0.95369816,0.9744702,0.95898193,1.186777,1.058079,0.89581054,0.7245855,0.9736,1.069205,1.0265049,0.82492316,1.2287465,1.1592815,0.9553727,1.0930375,0.837527,0.77960825,0.99922866,1.0065696,0.9501767,1.053308,0.87051433,1.1610973,1.1964141,1.1329199,1.0979551,1.2637986,1.3699391,1.0575087,1.1090024,0.8186933,1.2425458,0.821297,1.070821,0.92705655,1.2135715,0.99417084,1.0260638,1.1782119,0.896998,1.279541,1.0771117,1.0789263,0.8585577,1.0835328,0.9284972,1.2908252,0.91235995,0.99553764,0.55523264,0.91358536,0.94962287,0.8479872,1.0574387,0.8075271,1.1990755,0.8247405,1.0864284,1.3337206,1.1299719,0.7773473,1.072281,1.249374,1.0243578,1.0848312,1.0771502,1.0496395,0.9475158,0.7914153,0.79691446,0.6831242,0.92567044,0.9975352,0.7002465,0.77452034,1.1021767,0.9361608,0.96867406,1.0481476,0.88148016,1.188385,1.0065513,0.9742098,0.85382247,1.1186588,0.8002478,1.1436046,1.1630642,1.0634909,0.96190685,1.0021878,0.99910897,0.9128425,0.87636137,0.7028161,1.0843585,1.1820353,1.1275398,1.0801897,0.698609,1.3620273,1.0901212,0.90237117,0.91495985,0.91253257,0.83965933,0.8845247,1.2107823,0.91529703
bathtub,0.7346485,1.1540647,1.4113371,0.88677245,0.86400366,1.3143581,1.0933522,1.2136484,1.0573325,0.0,0.9601756,0.72064155,1.0722678,0.9562942,0.81385386,0.74631256,0.77891314,0.7532745,1.0383786,1.3062578,0.87288624,0.88210475,1.1626582,1.0550009,1.0595887,1.1603165,0.730219,1.2666267,0.7847561,0.7191429,0.9554723,0.70589983,0.87294716,0.90095294,0.8819258,1.2763699,0.8051168,0.9765699,1.3287114,0.6855691,1.1436034,0.92922884,0.9911639,1.1103119,0.60216427,0.6355909,1.0455616,1.1679006,1.2276492,0.87255204,1.0636401,1.1245029,0.8055586,1.2214223,1.4073262,1.2589154,1.0381439,1.2356615,0.7566742,1.3565633,1.1349461,1.228906,1.0964086,0.9586286,0.939858,1.4223697,0.88791263,0.7074751,0.9158198,0.8754296,0.89952826,1.1197436,0.71103084,1.0126117,1.0075034,1.2160131,0.87497157,0.84727716,1.0629895,1.323321,1.2473081,1.2690947,1.2409438,1.3059354,0.83372235,0.8949641,0.8644509,0.79348385,1.248314,1.2405362,1.1935238,0.9639633,1.1494172,1.4113022,0.80252266,1.0183277,1.1359407,0.9991736,1.1123735,1.2809526,0.6882298,1.3299758,1.1441568,0.95547664,0.87793773,1.2441404,1.0223463,1.0799549,0.5928961,0.5299969,0.71156645,1.3743114,0.7510536,1.2236384,1.1573542,0.8455574,1.0826325,0.91108596,1.1231297,1.283746,0.9858587,0.84656346,0.6400037,0.9755414,1.3193855,1.0259047,0.97119856,1.3519953,1.1599109,0.5169617,0.95757365,1.412523,0.83273554
bear,0.94395816,0.9795894,1.0648919,1.0350078,0.941466,1.110556,1.0580225,1.0542396,0.9254969,0.9601756,0.0,0.8387878,1.0075645,1.1571323,0.96399236,0.66578746,0.8100441,0.87320495,1.1611569,1.0875003,1.175234,1.1076218,1.1318874,1.2889134,1.0650295,1.0457065,0.818964,1.002352,0.49108702,0.97023934,0.8799715,0.8608419,0.6055341,1.0658528,0.9432728,1.1007032,0.9274374,1.1662327,1.0790199,0.9439129,1.215019,1.1417994,0.7809539,1.0775667,0.88461804,1.1497346,1.1065084,0.9387176,1.1592449,0.5695982,1.0227039,1.1220717,0.9744259,1.0593387,0.9728864,1.052674,1.1558446,1.0978098,1.1463493,1.0090591,1.0742093,1.2369627,1.0559173,1.0173697,1.0787106,1.0748309,0.930225,1.0144565,0.8041575,1.1365882,0.9276065,1.2002861,1.030511,0.8259577,1.1187801,1.1961532,1.1448058,0.9919239,1.0724444,1.0217614,1.0675789,0.96572214,1.0787514,0.9938411,0.9586041,0.88855785,0.88936174,1.044711,1.0270066,1.0425621,1.1323113,0.98687553,1.005425,0.9523815,1.2266426,1.0658501,1.1052073,0.9758113,1.1976956,1.1500034,0.96506506,1.0165081,1.0647397,1.0591689,0.8286725,1.0937059,0.87269485,1.1412675,0.9366341,1.1339867,1.0136421,1.0337954,0.8674276,1.1729869,1.0980105,1.2017024,1.1589323,1.0824324,0.9817257,1.2359186,1.1089891,0.8861924,1.0295392,1.076552,1.0938487,1.0069354,1.087963,0.9949789,1.2652311,1.1977516,1.1286424,0.9976052,0.702251
bed,0.5635152,0.9381668,1.5089276,0.8333513,0.60742086,1.370541,1.5034549,1.2986842,0.98468536,0.72064155,0.8387878,0.0,1.4871664,0.9183617,0.42498887,0.8696927,0.23769748,0.5594228,1.1169403,1.4329822,1.2923374,0.8052877,1.4300902,1.3025795,1.1795812,1.4815176,0.7669451,1.4642292,0.64703447,0.810946,1.0116479,0.71974325,0.8528895,0.8813335,1.0552864,1.3342168,0.47227967,0.786675,1.5412127,0.1712687,1.3782058,1.2013413,0.70369196,0.72481143,0.7557652,0.93793744,0.8716643,1.3575114,1.4303893,0.61301374,0.7140529,1.340284,0.68175983,1.4758688,1.3712435,1.4360453,1.4387724,1.3264661,0.7998966,1.3433177,1.0750495,1.3997495,0.7506146,0.74349195,0.938815,1.335039,0.8062423,0.9400754,0.6264363,0.9301621,0.60479677,1.402451,0.52522063,1.2514461,0.87683356,1.3914846,1.0320902,0.6703261,0.82321227,1.3696265,1.4926391,1.5185994,1.2961329,1.4088845,0.88525736,0.4879098,0.6497818,0.7133938,1.4861684,1.4213809,1.4440817,1.0603294,1.1843672,1.355662,1.3099802,0.6407968,1.1821722,0.95217055,1.2538514,1.4345003,0.756521,1.2522644,0.9520866,0.989554,0.50065017,1.299036,0.9598298,1.4901923,0.5477132,1.1684544,0.5259336,1.5340745,0.967959,1.4258467,1.1725483,1.0905336,1.5928072,1.1205157,1.3223238,1.5066125,0.8030126,0.5356608,0.39119178,1.1388184,1.4369024,1.1982388,0.8932322,1.5076594,1.0153455,0.868423,1.0411509,1.4739095,0.6925782
belt,1.4215539,1.0071478,0.6113115,1.0410776,1.3584603,0.80015874,0.6298741,0.83033407,1.0821067,1.0722678,1.0075645,1.4871664,0.0,0.69701505,1.3645859,0.900493,1.3765525,1.2436495,0.85790014,0.7680447,0.92490417,1.3167322,0.77792805,0.99671495,0.876068,0.39412755,1.1804388,0.5082487,1.1606635,0.8724188,1.0249449,1.1745787,1.00832,0.8735658,0.9620653,0.747756,1.0355672,1.1878041,0.39613634,1.4719336,0.93089736,0.7447396,1.2891183,1.2199304,1.2126857,0.91457844,1.154947,0.50352514,0.7991799,1.2198255,1.2336208,0.63060534,1.3387631,0.42880505,0.95196104,0.4114219,0.5722231,0.6482873,1.3704144,0.6471499,0.9762567,0.9264238,1.355474,1.35809,1.0921761,0.75176656,1.1575341,1.1083031,1.1854633,1.296427,1.1102111,0.57500744,1.2693753,0.8232572,1.1893922,0.7401274,1.2820966,1.3335359,1.2404214,0.6907201,0.6216315,0.34516698,0.7250537,0.7115259,1.0760909,1.2537909,1.0792279,1.1565313,0.26510167,0.3089288,0.7453598,0.5091926,0.8031815,0.9966663,0.7742268,1.3460388,0.97916245,1.1105974,0.94432193,0.84174,1.2820132,0.9200131,1.2685688,1.0573683,1.3726528,0.58952916,0.8943648,0.69817877,1.4592011,0.7959893,1.3644385,0.3655241,1.0289288,0.8295384,0.9764965,1.0084106,0.4455858,1.1791698,1.0161375,0.8012634,0.9813798,1.4095469,1.424784,1.0114447,0.5915425,0.952689,1.2160718,0.6226426,1.2210909,1.2009261,1.0090162,0.49386448,1.2093631
bench,0.96976286,1.0901512,1.2450505,0.66543174,1.0909597,1.3437912,1.1935465,1.2452095,0.9279125,0.9562942,1.1571323,0.9183617,0.69701505,0.0,1.0301569,1.1103966,0.9751149,1.0190852,0.84529376,1.1210232,1.0720185,1.0075314,1.0904534,0.89644027,1.0655179,0.7540621,1.1530399,1.1137894,1.0215056,0.43330318,1.1384808,0.6919528,1.1067995,0.6820433,0.9780317,1.20656,0.4782238,0.76130104,1.0906758,0.7141546,1.0533761,0.871825,1.007356,1.0846819,0.8017473,0.6838099,0.8828606,0.85504705,1.256633,1.2134776,1.064951,1.0113411,1.1804547,0.92260295,1.228576,0.7860569,0.919505,0.9467123,0.8188695,1.1237818,1.022796,1.1663889,1.0907356,1.043141,1.0606519,1.1244671,0.98457074,1.079259,0.77471316,1.0057504,0.8667867,0.76768494,0.6767432,1.104856,0.78396904,1.0366147,1.1177582,1.0683736,1.0991639,1.250373,0.92495877,0.81076556,1.0578464,1.2749283,0.6267189,0.949319,0.8133896,0.957005,0.9609745,0.93126744,1.1606092,0.49254203,1.0392427,1.221193,0.9707389,0.99671865,1.0942035,0.8006229,0.93068683,1.1253815,0.8009869,1.0908277,1.0636629,1.05359,1.0357841,0.8182368,0.77998614,0.9460212,1.0375018,0.74576974,1.10482,1.0638187,1.1277815,1.0015333,0.9974366,0.9734102,0.94700044,1.2130954,1.257858,1.184724,0.5732827,1.0974592,0.8490863,1.1418842,1.0572803,1.2701824,1.0329726,0.9678826,1.2085501,0.98448575,0.6522685,1.0700344,0.96710134
bib,0.6437453,0.83879256,1.4548123,0.7060395,0.5680814,1.3386335,1.371298,1.277705,1.0372007,0.81385386,0.96399236,0.42498887,1.3645859,1.0301569,0.0,0.91609794,0.4069615,0.73033077,0.9695972,1.3963435,1.1976497,0.7331699,1.4238067,1.153175,1.1587689,1.4669298,0.84899396,1.4463072,0.7614423,1.0261128,1.0652555,1.0275445,0.85752946,0.8909138,1.0180483,1.3358741,0.8090449,0.81867164,1.4862975,0.5637749,1.247053,1.1841252,0.8080933,0.6860605,0.98349607,1.1158575,0.8957495,1.2993474,1.3261596,0.65110576,0.7040691,1.1361103,0.7669301,1.4248487,1.3670225,1.4087662,1.3557671,1.2578354,0.78158796,1.3581167,0.8821279,1.12467,0.7521819,0.7036246,0.73308074,1.2568142,0.9723449,1.0142466,0.67095846,0.87873995,0.65361524,1.2826694,0.8662201,1.2459278,0.8430277,1.3475959,0.8874172,0.55056417,0.81477284,1.3742619,1.4144789,1.3592038,1.2381465,1.4244628,1.0882249,0.37108815,0.7018577,0.68620145,1.4723629,1.42483,1.3429468,1.1831568,1.1409856,1.3640432,1.2777588,0.65018684,1.0912386,0.9087992,1.2607806,1.3562648,0.9323648,1.2535605,0.8763874,0.9398852,0.38267857,1.1182601,0.87645864,1.4031202,0.77875847,1.1864319,0.6590326,1.4873471,0.95445484,1.4158446,0.9648286,1.0389782,1.4837706,1.138816,1.2775338,1.3780634,0.944374,0.45086837,0.47779208,1.0812593,1.3038971,1.0724318,0.85744864,1.4382074,0.9472078,0.7848635,1.230103,1.4599311,0.9155587
bird,0.82911336,0.988805,1.0166016,0.9088149,1.0115124,0.9738131,0.94694847,0.84749776,0.98225737,0.74631256,0.66578746,0.8696927,0.900493,1.1103966,0.91609794,0.0,0.7121054,0.98559153,1.0014719,1.0580926,1.1111994,1.0486017,1.0630274,1.2407229,1.013447,1.0293264,0.9087096,0.95297736,0.72038203,1.0125886,0.91169685,1.008756,0.9248097,0.96327823,0.90057355,1.0235308,1.0109861,0.9048307,0.89591163,0.9368885,1.2627859,0.96684414,0.92835635,1.1027055,1.0067455,1.0066544,1.1643275,0.9304534,1.067357,0.8285686,1.1122125,1.1275964,1.0028538,0.9951345,1.0212063,1.0327091,0.959834,0.924907,1.0545286,1.0305842,1.0675814,1.0928249,1.1719322,0.99034125,1.0825295,1.1727121,1.0517367,0.87843245,0.9320531,1.1955347,1.0197424,1.0266223,0.9944288,0.8975321,1.1768129,1.077278,1.1644927,0.9605431,1.019563,0.9324914,1.0247838,1.0025427,1.0908381,0.9288232,1.0529057,0.9985298,1.0173603,0.9313756,0.818863,0.8234289,0.9930555,0.8530664,0.99268824,1.0716199,1.0613464,1.0798126,1.1231595,1.1272439,1.208113,1.1531181,1.0773765,0.99454916,1.1838741,0.9195011,1.0125768,0.9254278,1.0691855,1.1064312,0.99818414,1.038004,1.0377208,0.9402631,0.88546443,1.0936329,1.0879695,1.0265688,0.9558947,0.9892932,1.0289221,1.1844562,1.1362171,1.0435416,1.0222577,1.1035439,1.1317577,0.91997343,0.9967687,1.0349655,1.0705729,1.0638993,1.069004,0.9865778,0.93942267
blanket,0.49335325,0.9144385,1.4974327,0.76309943,0.6008019,1.3605242,1.3830829,1.1511141,0.8342552,0.77891314,0.8100441,0.23769748,1.3765525,0.9751149,0.4069615,0.7121054,0.0,0.7684443,0.99725825,1.4466522,1.2224002,0.8373865,1.2434841,1.2159017,1.0611913,1.4817296,0.8650071,1.4238693,0.6877581,0.9529629,0.97526675,0.9439344,0.8683039,0.86731637,1.0341429,1.2828267,0.679351,0.6597266,1.4896004,0.48316073,1.3597867,1.1620805,0.6763841,0.80408406,0.9913688,1.0038627,0.92355645,1.3584595,1.3590252,0.689443,0.8911207,1.3311896,0.7494236,1.3602351,1.3139914,1.3928252,1.3585285,1.1599947,0.8412105,1.3616511,0.9082337,1.2321372,0.92311376,0.6487197,0.96032244,1.3419517,0.956274,0.92351,0.57668424,0.9778358,0.6831585,1.3115582,0.80943424,1.1712894,0.8522786,1.276665,1.0400424,0.5796457,0.7088537,1.3933979,1.2818002,1.4587595,1.3263267,1.4055467,0.962921,0.57590544,0.7300805,0.60422003,1.44486,1.3801746,1.3335228,0.88256,0.9602549,1.3123974,1.1645014,0.65709573,1.0224812,0.8683162,1.1546485,1.3625734,0.9383604,1.2057617,1.0621831,0.89501476,0.6041218,1.124271,0.9152326,1.4126993,0.7806718,1.1721728,0.726727,1.4860175,0.9277385,1.4010811,1.0386603,1.0564787,1.471472,1.1067126,1.2694001,1.389913,0.94087183,0.6577304,0.55141747,1.0637254,1.4075668,1.1526244,0.8363165,1.3685695,0.96806586,0.79700696,1.1655072,1.4506307,0.89293236
