subject_id,age,pred,ci_lo,ci_hi
overall,10.0,0.7698114249347272,0.7067716308631954,0.8363793551541524
overall,10.240506329113924,0.7686175424323827,0.7105069647811744,0.8284315559239035
overall,10.481012658227849,0.7673193963022235,0.7139338845091954,0.820525526940482
overall,10.721518987341772,0.7659205121931191,0.7170587358438179,0.813095605115322
overall,10.962025316455696,0.7644244157539415,0.7198878645816043,0.8059903920444054
overall,11.20253164556962,0.762834632633559,0.7214499268250368,0.7968489321205118
overall,11.443037974683545,0.761154688480844,0.7209062022424266,0.7927095636516068
overall,11.683544303797468,0.7593881089446658,0.7204477526282436,0.7889877293343852
overall,11.924050632911392,0.7575384196738951,0.7214078302989483,0.7864100421380804
overall,12.164556962025316,0.7556091463174021,0.7212434849689277,0.781999894015917
overall,12.405063291139241,0.7536038145240573,0.7208498879449942,0.7788734416875355
overall,12.645569620253164,0.7515259499427319,0.7195650259327794,0.776719432420325
overall,12.88607594936709,0.7493790782222947,0.7184334589555488,0.7738759696187361
overall,13.126582278481013,0.7471667250116175,0.7174188476750671,0.7723499500389646
overall,13.367088607594937,0.7448924159595701,0.7165125748470532,0.7704649076713306
overall,13.60759493670886,0.742559676715023,0.7148421057915243,0.7690094794020861
overall,13.848101265822784,0.7401720329268467,0.7134192123385777,0.7677265843539937
overall,14.08860759493671,0.7377330102439114,0.7095629411277508,0.7658756602912674
overall,14.329113924050633,0.7352461343150877,0.7062664955063795,0.7630232182580925
overall,14.569620253164558,0.732714930789246,0.7051843898810414,0.7605586806426813
overall,14.810126582278482,0.7301429253152567,0.7018616241680207,0.758109993061585
overall,15.050632911392405,0.72753364354199,0.6977271542225317,0.7553260910515351
overall,15.291139240506329,0.7248906111183167,0.6936556623875545,0.7524434600505681
overall,15.531645569620252,0.7222173536931068,0.6896527084892772,0.7494679749091112
overall,15.772151898734178,0.7195173969152311,0.6866507635344364,0.7464055104775931
overall,16.0126582278481,0.7167942664335596,0.6839678311709781,0.7432367466724085
overall,16.253164556962027,0.714051487896963,0.6814442776589444,0.7399884391099905
overall,16.49367088607595,0.7112925869543117,0.6790692809345048,0.736669967888966
overall,16.734177215189874,0.7085210892544761,0.6768234300851668,0.7331702266325675
overall,16.974683544303797,0.7057405204463263,0.6747003518365865,0.72992252484818
overall,17.21518987341772,0.7029544061787333,0.6726946525509632,0.727969550940014
overall,17.455696202531644,0.7001662721005669,0.6707526580613481,0.7242887906534309
overall,17.696202531645568,0.697379643860698,0.6666934322880939,0.7214531796045613
overall,17.936708860759495,0.6945980471079963,0.6632546032189611,0.7178829249620728
overall,18.17721518987342,0.6918250074913331,0.6613717218428365,0.7147686685305573
overall,18.417721518987342,0.6890640506595784,0.6611913097337486,0.7123400332150598
overall,18.658227848101266,0.6863187022616025,0.6577685761943214,0.7103700450332514
overall,18.89873417721519,0.6835924879462759,0.6557513522651441,0.7087384470079426
overall,19.139240506329116,0.6808889333624691,0.6516734815959703,0.7073732299731392
overall,19.379746835443036,0.6782115641590524,0.6477797133985899,0.7057353012451122
overall,19.620253164556964,0.6755639059848962,0.644889221587274,0.7040225081613469
overall,19.860759493670887,0.672949484488871,0.6413599714137906,0.7022454091415349
overall,20.10126582278481,0.6703718253198471,0.6379231262368007,0.7007815621047211
overall,20.341772151898734,0.6678344541266951,0.6345869785413807,0.699262705751845
overall,20.582278481012658,0.6653408965582851,0.6313807974780803,0.6975915213075657
overall,20.822784810126585,0.6628946782634879,0.6295700439070194,0.695748953169984
overall,21.063291139240505,0.6604993248911735,0.6286253277138198,0.6937568694706515
overall,21.303797468354432,0.6581583620902126,0.6248564589947158,0.6929966415186701
overall,21.544303797468356,0.6558753155094754,0.6212939202296066,0.691168888059474
overall,21.78481012658228,0.6536537107978326,0.6179936842481815,0.6891842968154438
overall,22.025316455696203,0.6514970736041543,0.6157091473410636,0.6870710135933107
overall,22.265822784810126,0.6494089295773112,0.6136960715283035,0.6848453552264093
overall,22.506329113924053,0.6473928043661734,0.6105191946356932,0.6836349839044338
overall,22.746835443037973,0.6454522236196115,0.6087751594493193,0.6823196158628201
overall,22.9873417721519,0.643590712986496,0.6063346298140362,0.6795853927861415
overall,23.22784810126582,0.641811798115697,0.6049734366104156,0.6767430118145601
overall,23.468354430379748,0.6401190046560851,0.6035291873844164,0.6737768091833796
overall,23.70886075949367,0.6385158582565309,0.6017309773729652,0.6710601029732846
overall,23.949367088607595,0.6370058845659042,0.5999345302868362,0.6702384186931393
overall,24.18987341772152,0.6355926092330761,0.5983908450789798,0.6694417715976331
overall,24.430379746835442,0.6342795579069167,0.5970991585879688,0.6686940939900192
overall,24.67088607594937,0.6330702562362963,0.5959613135078915,0.6679486194415261
overall,24.91139240506329,0.6319682298700855,0.5926105016522114,0.6672777144191401
overall,25.151898734177216,0.6309770044571548,0.5893024620133892,0.6666283748681315
