,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9761109,0.99268085,1.1493428,0.9906153,1.0393038,0.80972445,0.8891932,1.175501,0.9997671,1.1694306,0.66609454,1.2365354,1.2206956,0.09768534,1.18249,1.1617082,0.9011232,0.9655591,0.921912,0.9033199,0.88948804,0.9081521,1.0518537,0.09547305,0.7936185,0.97740835,1.0897226,1.0300734,1.1550182,1.0517302,1.1200854,1.2241656,0.9436139,1.0578736,1.0974587,1.225903,1.0873842,0.70743537,1.2145016,0.96190184,0.96710396,0.88489807,0.90021086,1.0684478,1.0999224,0.85250664,1.2882996,1.1000959,1.08669,1.0341101,1.0842023,1.2256937,1.2308757,1.0633483,0.41367424,0.9126694,1.1351206,0.84034497,0.13825154,1.1442105,0.9523129,0.82359564,1.0761167,1.0495449,1.2438654,1.1481597,1.2820153,0.89589936,0.9183085,0.9141215,1.2084304,1.1550778,1.0273973,0.72480774,0.93860173,1.0694289,0.86624634,0.9753977,1.1681255,1.0392252,1.036906,1.1212833,1.2428569,1.0070009,0.8137264,0.8414324,1.1953961,0.92994714,1.1204507,0.9405553,1.2776647,0.9783417,1.177295,0.7661409,0.8110713,0.9432744,0.8658182,0.89571136,1.130516,0.95251703,0.83195305,0.92727655,0.8771088,0.97845674,1.0900757,0.5654901,0.6765207,1.1248107,1.0932703,0.87280166,1.2698112,0.56535745,1.2215708,1.0496913,0.9514177,0.7211807,0.85122496,1.2067199,0.7701007,0.9698254,1.057308,0.9851871,0.84043723,0.89654857,0.8981287,1.0323088,1.2555866,0.98909926,1.2777538,0.9077765,1.0267283,1.0253843,1.173259,0.88065684,0.83622533,0.92166924,1.1605469,1.0661463,0.9764564,0.9662983,1.150423
ankle,0.9761109,0.0,0.84842134,0.798169,0.9230149,0.9310225,0.8957456,1.0906107,1.2253077,1.0517762,1.259981,0.7944625,1.1818972,1.059436,0.9256319,1.1227224,1.1804832,1.0548334,1.0652131,1.0009583,1.1875263,0.8270757,0.9532328,1.010079,0.9158536,0.9082131,1.1539445,0.5240137,1.093251,1.1383454,1.1154606,1.2521234,1.0131378,0.9443593,1.1013576,1.11768,1.1450648,0.9799558,0.79406106,1.339979,0.99535257,0.8991375,0.8523622,1.2124145,1.0579424,1.2023376,0.976829,0.9271616,0.8227248,0.7393122,1.0416749,0.77088094,1.1557243,0.5265947,1.1504595,0.95227504,1.0728588,0.87848806,0.91455865,0.9433543,1.2233381,0.8564709,0.8254335,1.3337364,0.9317852,1.1960249,0.98028815,0.6938448,0.8043584,1.0962353,1.1295543,1.0892301,1.1019881,0.96341586,0.8041985,1.0692211,1.0975589,0.9680185,0.72981435,1.0320054,0.9113273,1.1638618,0.8384206,1.0416121,0.8082484,0.76912165,0.9011104,0.7417177,0.8528192,1.1970924,1.02319,0.9878909,0.95440394,1.2583921,0.7547214,0.71276045,1.077286,1.0255,0.7879883,1.2282776,1.1997523,0.96557355,1.1378233,0.964939,0.71182257,1.0503953,0.98558515,0.8624629,1.2827564,1.2101867,0.98008156,1.1047366,0.8703385,1.0323313,0.8550199,0.64495754,0.7892927,0.97890854,1.1784996,0.61416835,1.2600055,0.9488361,0.6853101,0.77568746,0.7053818,0.8301115,1.201836,1.1139692,1.1834282,1.3347927,0.96085256,0.4646464,1.0301139,1.123109,0.82517934,0.98527926,1.1210409,1.2254804,1.203735,1.0230553,0.76333106,1.2758151
apple,0.99268085,0.84842134,0.0,1.410959,0.51808137,0.49470907,0.5818239,0.8206389,1.4795768,1.0552689,1.5458612,0.48009545,1.5341687,1.3248913,0.957908,1.5213072,1.2125082,0.94267994,0.34658277,0.6161256,1.2142901,0.32846177,0.90067446,0.90100974,0.7126227,0.6076662,1.0479999,0.9266593,1.0628462,1.4683394,0.95665485,1.2983003,1.3669014,0.67990386,1.0664186,1.1971511,1.4370606,1.2030666,0.27281767,1.5127425,0.49433178,0.7757082,0.8410131,1.4278735,1.1632152,1.3024819,1.050268,1.4271564,0.9420711,0.4909129,1.2442837,0.7010664,1.180597,0.9433569,1.1948903,0.8159697,0.85594785,1.1734116,0.49182367,0.84935707,1.2588406,0.63254756,1.2273009,1.2920051,0.38389808,1.2200454,0.9993747,1.2834938,0.4539231,1.1788743,1.2508364,1.3872232,1.0268724,1.4062302,0.6972426,1.0211897,1.0407726,1.1674978,0.49529213,1.2318014,1.3586411,1.1563058,0.91253453,1.240925,0.22282332,0.8718711,0.9055501,0.59607583,0.18720281,1.3654392,1.0642136,1.4337196,1.3187038,1.477603,0.42568827,0.45018107,0.6014923,1.1554751,1.0589789,1.1960319,1.1454513,0.7706599,1.2259201,0.3408656,0.42839384,1.1743805,0.8694577,0.55994964,1.3262305,1.2851422,1.1830618,1.3588555,0.7358223,1.3898768,1.321065,1.0425203,0.75848484,0.82387084,1.3973079,0.32030392,1.2762736,0.45720625,0.95514363,0.6358129,0.79801464,0.23303044,1.3368354,1.4392781,1.2383819,1.5235323,0.49116194,0.62334764,0.578279,1.3866446,1.04117,0.7750504,1.1868414,1.2574251,1.2446969,0.92775697,0.28329659,1.3508492
arm,1.1493428,0.798169,1.410959,0.0,1.3355544,1.3326802,1.3921967,1.3700659,0.82917666,0.98080397,0.46195453,1.3649559,0.47743398,0.64831215,1.1596295,0.5193623,0.7847266,1.2486567,1.4653767,1.4637468,1.1475958,1.3987609,1.2723876,1.5192107,1.3558758,1.4760762,1.2574263,0.6818054,0.96715885,0.8140465,1.3737063,0.69868493,0.5080317,1.3596823,0.817986,0.9948484,0.41389477,0.8897204,1.4069102,0.7678762,1.5540923,1.3907248,1.2631893,0.70652103,1.083547,0.97815937,1.1166631,0.56687176,0.932793,1.3045374,0.69991773,1.0863839,0.5648049,0.6570674,0.9526985,1.1189964,1.3302107,0.7561726,1.4463389,1.3609898,0.9447372,1.1134739,0.68594337,0.773427,1.4026916,0.5780526,1.0150009,0.3190149,1.3213948,1.1703967,0.901619,0.4500754,1.2187153,0.46768105,1.3009919,1.2045617,1.2068682,0.9836593,1.245187,1.1628678,0.6010937,1.0737168,0.86628807,0.69284344,1.2274063,1.3043932,1.3625395,1.0828384,1.3211741,0.92883265,1.064566,0.46818513,0.5249216,0.7004075,1.3605939,1.2705355,1.3346696,0.8871214,0.89802283,0.9016547,1.1258296,1.4704245,1.032828,1.3876028,1.2420337,1.1076703,1.2858137,1.4059937,0.9826513,0.8379849,0.96861684,0.52090013,1.2683681,0.30888706,0.70247835,0.77694607,1.4224014,1.3622777,0.63630986,1.3693817,0.8212856,1.4299026,0.92347556,1.4402173,1.2232108,1.4355639,0.956995,0.40701246,0.9404409,0.5635507,1.4525733,0.92668056,1.1025829,0.60736716,1.2391536,1.4000638,1.1550487,0.7946951,0.9931994,1.2237659,1.1536055,0.8537754
ball,0.9906153,0.9230149,0.51808137,1.3355544,0.0,0.07229072,0.7765436,1.0168674,1.2802823,1.1401078,1.3765179,0.9167245,1.3488691,1.166615,0.8983161,1.3377883,1.1488057,0.92311287,0.7498882,0.7845888,1.1223148,0.7297196,1.0463513,0.8121014,0.8280753,0.885483,0.9860142,1.1219256,1.2271063,1.3512716,0.7185297,1.2718616,1.3483262,0.86804235,1.1867754,1.0031577,1.3116902,1.2527716,0.69034404,1.388077,0.6789544,0.71159077,1.016167,1.1826094,0.9620167,1.2448735,1.0301191,1.2786933,1.0896763,0.46337295,1.1795475,0.79268897,1.1599693,1.0197253,1.1590794,0.8595634,0.8740932,1.0136253,0.78294396,0.79364914,0.96237594,0.88157105,1.0360299,1.2691982,0.6721461,1.2756144,0.9106063,1.2539834,0.68110144,1.0021553,1.0056763,1.3737708,0.89329326,1.3672411,0.8546165,1.1113499,0.9273591,1.0076847,0.47344863,1.104723,1.0738504,0.9695719,0.9187608,1.1484195,0.5136353,0.8691333,0.7763034,0.8846172,0.54160756,1.3073425,1.0450605,1.2723616,1.33621,1.2453158,0.7667563,0.8241612,0.9095822,0.90515053,1.2212492,1.1376683,1.1031429,0.78058296,0.93014663,0.74262965,0.46612316,1.0280871,0.9590889,0.7437148,1.3056381,1.1996169,0.9568574,1.3595694,0.8022634,1.385755,1.074901,1.1901401,0.94056946,0.9786826,1.3103313,0.68102646,1.2381996,0.7029906,0.7948221,0.76547635,0.9139402,0.53780144,1.1146482,1.3663508,1.1146629,1.316165,0.53100604,0.75917685,0.9770687,1.2313923,0.9685813,0.48123264,1.0748,1.1569006,1.066546,1.0666883,0.7569592,1.3118033
balloon,1.0393038,0.9310225,0.49470907,1.3326802,0.07229072,0.0,0.7936424,0.9740835,1.2155324,1.0955423,1.3771713,0.9148711,1.3400365,1.163353,0.9430446,1.3848752,1.1141553,0.9194056,0.6960742,0.7498528,1.0917808,0.73687506,1.003946,0.7428214,0.8648958,0.81409174,0.977919,1.1649871,1.185169,1.2911239,0.6928927,1.2693352,1.3416077,0.8062225,1.1627187,1.0064334,1.3052833,1.2606579,0.6881352,1.3554823,0.61872524,0.7256364,0.99549943,1.2090023,1.0047207,1.2246583,1.0403509,1.3073157,1.152052,0.48277396,1.2166628,0.8518592,1.1696749,1.0808756,1.1389809,0.93434435,0.809535,1.0033233,0.7571229,0.85706925,0.9341134,0.9710772,1.1553471,1.2604996,0.7185695,1.285246,0.8672626,1.2959206,0.7206228,1.0072933,1.0391781,1.3688147,0.8564867,1.3966919,0.8437311,1.0228064,0.879299,1.0501403,0.5079421,1.0487363,1.1870079,0.95607966,0.95723754,1.1227964,0.5217891,0.90706563,0.73813605,0.9308336,0.5572255,1.2236686,1.0767924,1.3072164,1.3421011,1.2384814,0.7633833,0.8025502,0.8251851,0.97415704,1.25821,1.127552,1.0490026,0.7935786,0.9477062,0.71851516,0.5049488,1.046434,1.0049535,0.7276097,1.2730994,1.1976008,0.98844564,1.3540449,0.83667165,1.3891976,1.155208,1.2191408,0.8950874,0.8779489,1.2664192,0.74681664,1.2493539,0.6612728,0.88290024,0.76961577,0.94014525,0.5160783,1.0917758,1.3691978,1.1430264,1.3054905,0.5078477,0.8548041,0.9714454,1.2665651,0.9830312,0.5636509,1.0723499,1.1088158,1.080787,0.99789536,0.79348993,1.2666705
banana,0.80972445,0.8957456,0.5818239,1.3921967,0.7765436,0.7936424,0.0,0.87491024,1.2925308,0.9456291,1.440883,0.69706154,1.4327166,1.2353967,0.8127303,1.3327116,1.1874217,0.8282614,0.76626325,0.6897474,0.96274996,0.6182447,0.95784825,0.87992436,0.6575401,0.7829544,0.9551585,1.0447763,1.0943397,1.310744,0.88837695,1.2690398,1.3434776,0.8640959,1.1042477,1.058543,1.4545428,0.99466896,0.5709286,1.3424318,0.7439461,0.8177672,0.79736036,1.3385851,1.0997158,1.2618237,0.9921203,1.299982,0.99114865,0.8150366,1.1439129,0.9153663,1.2890388,1.060086,1.1418884,0.68920535,0.94914645,1.168854,0.69256425,0.46732354,1.226757,0.8060025,1.0260499,1.2159432,0.71982497,1.3177545,0.9375462,1.238878,0.6415454,0.96823704,1.1945128,1.3139775,0.8019918,1.2234085,0.6616435,1.1131663,1.0470872,1.0358601,0.66462934,1.1009154,1.1284777,1.052016,0.99337727,1.1782204,0.7714046,0.6250993,0.8592837,0.92527664,0.58796805,1.0806131,0.8651055,1.3359989,1.2530397,1.240886,0.6572523,0.69109917,0.82343745,1.0944972,1.0624938,1.131175,1.0920168,0.5583726,1.1719903,0.64998436,0.6894486,0.9314664,0.7976212,0.7241012,1.2125359,1.2147086,1.1169394,1.276735,0.5756048,1.3440435,1.1008792,0.9988085,0.74313754,0.8716042,1.2630906,0.52897054,1.0954835,0.6567274,0.9078368,0.58770454,0.87378234,0.674183,1.1837952,1.371641,1.0679642,1.3810804,0.6664919,0.890013,0.95752203,1.155364,0.85169756,0.5426656,0.9188066,1.2112625,1.1787761,1.0404292,0.69296914,1.3107538
basket,0.8891932,1.0906107,0.8206389,1.3700659,1.0168674,0.9740835,0.87491024,0.0,1.038995,1.1234634,1.1569419,0.5916047,1.0643063,1.3165406,0.91655463,1.2932627,1.3114438,0.67689514,0.7027555,0.47944522,0.4935751,0.6848547,0.66313106,0.57913435,0.7941407,0.43445837,0.9910278,1.1892915,1.0253286,0.8263233,0.89974296,1.0601957,1.3053176,0.773381,0.79569006,0.89510643,1.2144073,0.72708595,0.6936002,0.9263679,0.57266635,0.8425805,0.73153806,1.2980883,1.0480511,0.9372475,0.56327105,1.2857587,1.1880748,1.0527042,1.1691079,1.1314855,1.3507817,1.3332199,0.9818795,0.8993782,0.99524367,1.1463442,0.7082863,0.83051765,1.1495943,1.0867223,1.1905742,1.1982507,0.8762664,1.3548517,0.93686223,1.4371383,0.9984094,0.99135125,1.2552037,1.4078126,0.829114,1.3020977,0.7540583,0.54127216,1.001438,0.99537504,0.96575695,0.8365185,1.2798923,1.0538267,1.1668069,1.1247525,0.968577,0.7662131,0.77609885,1.1491996,0.85781085,0.8917636,0.93577915,1.3496726,1.1983238,1.0906745,0.73145485,0.72162473,0.787211,1.2761464,0.76232743,0.9298984,1.0007064,0.61465955,1.2288327,0.7601664,0.9898709,0.8416413,0.51713306,0.7102379,0.8407788,1.0594522,1.2397676,1.2786427,0.91255057,1.413593,1.2132144,1.0728564,0.5123564,0.5263152,1.1972461,0.738505,1.0037494,0.89188474,1.0762274,0.7576754,0.9178866,0.829512,1.01507,1.3903348,1.2243333,1.2275007,0.69075394,1.1171327,0.9009339,1.2159901,0.698361,0.9222988,0.64474297,1.2238712,1.1854142,0.7355138,1.0054982,1.1176125
bathtub,1.175501,1.2253077,1.4795768,0.82917666,1.2802823,1.2155324,1.2925308,1.038995,0.0,0.96339965,0.56106704,1.2788482,0.4419002,0.9646931,1.1770945,0.7214638,0.8514744,0.9196463,1.3045449,1.0061846,0.7059449,1.4146453,0.9639883,0.93274033,1.2931393,1.0759124,0.8467879,1.1855835,0.8510086,0.44076073,0.9503516,0.8310343,0.85950196,1.1152655,0.99979967,0.8953137,0.6576796,1.061063,1.3973651,0.510308,1.2262764,1.2205238,1.0101037,0.9057536,1.0833466,0.5818069,0.7048787,0.8845446,1.2147498,1.2804439,0.9776449,1.2350103,0.9775944,1.1492099,0.8478602,1.2510905,1.0817933,1.008457,1.235689,1.2474351,0.9011691,1.2633175,1.1054641,0.81556284,1.3512428,0.98919445,1.009054,0.9847185,1.4070653,0.7510249,1.0479693,0.84408724,0.9705304,0.9223271,1.1466466,0.7734839,0.6084621,1.0524315,1.3126743,0.771862,0.9939597,0.95026565,1.2053896,0.84809256,1.4604148,1.0574665,1.0276469,1.2771677,1.4431663,0.487355,1.1054566,0.9042556,0.92947453,0.67204016,1.2902964,1.2786973,1.1251574,1.107896,0.8770725,0.83948636,0.8872694,1.0386591,1.0242412,1.2604275,1.4061217,1.0208542,1.0018195,1.3595402,0.74953115,0.7216125,1.0499098,0.89452046,1.2177594,0.89170504,1.0727078,1.101089,1.0981103,0.6988094,0.5039298,1.5022769,0.860329,1.2328985,1.1814601,1.0918766,1.1033883,1.4639485,0.91314316,0.880513,0.81549716,0.58304745,1.1683779,1.389135,1.1097646,0.8299321,1.0038736,1.2744813,0.8133172,0.8205463,0.8664337,0.9690105,1.4373107,0.49440718
bear,0.9997671,1.0517762,1.0552689,0.98080397,1.1401078,1.0955423,0.9456291,1.1234634,0.96339965,0.0,0.94423246,0.98833126,1.1002873,0.9908116,1.0192125,1.0195893,0.8205453,1.1579518,1.0662723,1.189761,1.2366846,1.1125816,1.0123338,1.1698178,0.9945376,1.1088955,0.8752487,0.97224146,0.4573915,1.1483257,1.1112185,1.0374967,0.89473385,0.85867065,0.7585311,1.1080105,1.0452839,0.939834,1.0668976,1.057487,1.1501964,1.1278863,1.0144048,1.0207736,1.3243186,1.1340321,1.2335508,1.0345436,1.0032942,1.2792051,0.7465426,0.93446803,0.98562634,0.9598181,0.8442726,0.9316895,1.0027943,1.0754043,0.9671387,1.0203292,1.0939381,0.9724172,1.1160859,0.71844625,1.0054796,0.90559185,1.0218903,0.9510681,1.0683842,1.0977083,0.9886587,0.85777634,1.0142452,0.8092291,1.1240431,1.096061,0.9634902,1.1765602,1.151526,1.1283638,1.0420355,1.0846295,0.99621445,0.97303027,1.0876042,1.2981212,0.96071243,0.9575209,1.1494585,0.93392926,0.8085072,0.9332222,0.909598,1.0729762,1.0975169,1.1011859,0.98303086,1.0706838,1.166404,0.8961144,0.9737836,1.2753626,1.0239048,1.0098685,1.2232044,1.1859846,1.1848824,1.038108,1.0885991,0.81036496,1.0808141,0.9011749,1.0653762,0.8901303,1.0572023,0.8365967,1.133078,1.098652,0.8360399,1.11594,0.7553035,1.0830431,1.1166224,1.1146777,0.76370305,1.0587442,1.1963829,0.92785853,1.0114278,1.0530759,1.1305896,1.1201953,0.8937974,0.9235319,1.2889472,1.2671187,1.2754675,0.891438,1.1459422,1.0872777,1.0073619,0.87795454
bed,1.1694306,1.259981,1.5458612,0.46195453,1.3765179,1.3771713,1.440883,1.1569419,0.56106704,0.94423246,0.0,1.4797143,0.23346877,0.72453064,1.1793188,0.33273995,0.70811445,1.1469636,1.4285767,1.4274774,0.9676417,1.4792042,1.260934,1.3642166,1.3946269,1.4492033,1.0374328,1.1764814,0.78589106,0.58111674,1.2103498,0.71455336,0.5412978,1.293194,0.84175265,0.9594708,0.20477408,0.8722558,1.6076702,0.45198596,1.5318354,1.2556888,1.2653211,0.55284023,1.0267334,0.85925496,1.1578909,0.63272023,1.1434646,1.4178534,0.56286776,1.3021461,0.6875976,1.104564,0.84061944,1.1632333,1.3030859,1.0133612,1.5107548,1.3516873,0.9058674,1.3119802,0.82891655,0.5202459,1.5049716,0.67612624,0.96826434,0.74591947,1.4869921,1.0279785,0.81975555,0.43693054,1.1284262,0.5183562,1.4827707,1.1202797,1.0616105,0.96156794,1.423826,1.0494785,0.7303995,0.9601122,1.1426975,0.7232686,1.4723032,1.348682,1.2750671,1.362897,1.516225,0.79982126,0.94737303,0.4942788,0.58501923,0.60975206,1.5521717,1.4839048,1.2377918,0.97216326,0.8984743,0.7034507,1.0096844,1.4525636,0.91434866,1.3750811,1.4963858,1.0200413,1.3016801,1.4261153,0.75084597,0.54635537,1.0254456,0.6132926,1.4087975,0.45811987,0.7986742,1.0985605,1.4827697,1.2389646,0.49858165,1.5728992,0.45802498,1.440831,1.0670682,1.5704216,1.3582367,1.5716846,0.7278288,0.4342804,0.818607,0.29245836,1.4348406,1.3873204,1.1053433,0.70688415,1.1617339,1.3550091,1.0347071,0.6873378,0.84671795,1.1592311,1.4196103,0.69532096
belt,0.66609454,0.7944625,0.48009545,1.3649559,0.9167245,0.9148711,0.69706154,0.5916047,1.2788482,0.98833126,1.4797143,0.0,1.402879,1.2942114,0.7213252,1.4271641,1.3078249,0.7901976,0.55525994,0.5753585,0.91278166,0.56749296,0.63661295,0.8406782,0.5010512,0.40030634,1.0704136,0.78573024,0.93636787,1.1732944,1.1125675,1.2785501,1.3833953,0.6016381,0.84977144,1.2258056,1.4541771,1.0527495,0.28709358,1.4382968,0.65468395,1.0124784,0.5301863,1.4497738,1.2829171,1.1942017,0.680035,1.3796372,0.84109575,0.9179328,1.196877,0.8023381,1.3883351,0.9238265,1.0808473,0.68803346,0.9998292,1.2395688,0.51039225,0.6227841,1.2987618,0.63865185,1.123009,1.2808051,0.53368187,1.3485879,1.1653978,1.2526524,0.58418804,1.1076771,1.2779644,1.4342189,1.2178648,1.2218608,0.5758784,0.7488335,0.9882194,1.2303354,0.8699386,1.0937533,1.2761674,1.2124051,0.8893571,1.3264464,0.5333589,0.7361878,0.84374034,0.7261267,0.600078,1.1586092,1.1334307,1.4302483,1.1489034,1.3555486,0.41797382,0.45713586,0.6038598,1.1826911,0.6411552,1.211776,1.1084735,0.67357624,1.30129,0.58068895,0.86182386,1.1413864,0.53816855,0.60357684,1.2087963,1.1789039,1.2009379,1.3874396,0.56654435,1.379327,1.2554578,0.71823037,0.46346605,0.5842313,1.3027542,0.39550996,1.1451557,0.8454077,1.0074608,0.64046746,0.66623855,0.5218194,1.298523,1.45857,1.3128322,1.5508547,0.72924113,0.72227585,0.598557,1.1858511,0.8548885,0.9949862,1.0485041,1.2816696,1.2954373,0.76630217,0.52448875,1.2645125
bench,1.2365354,1.1818972,1.5341687,0.47743398,1.3488691,1.3400365,1.4327166,1.0643063,0.4419002,1.1002873,0.23346877,1.402879,0.0,0.77722985,1.2184339,0.41600972,0.8244425,1.0635799,1.4397354,1.2550949,0.7229351,1.477313,1.1213608,1.1927141,1.4384654,1.2206618,1.0866871,1.0743432,0.9715754,0.28437448,1.2512686,0.7597984,0.64945054,1.3089259,0.9167952,0.9585417,0.11732125,0.92712116,1.5491974,0.3854636,1.4038343,1.2807256,1.0932498,0.58066255,0.9321064,0.7770692,0.8832584,0.64816403,1.1210362,1.3745278,0.8504823,1.285893,0.8029018,1.0608,0.92481893,1.2704625,1.2814314,0.95114684,1.5208118,1.4006009,0.83079255,1.3164845,0.70957744,0.7557862,1.4767926,0.7765031,1.0288457,0.73506546,1.4331101,0.99445283,0.87078094,0.57501584,1.0729531,0.60705674,1.3684485,0.96928954,1.0326004,0.9620097,1.3856586,0.96608156,0.64941204,0.9411019,1.1432877,0.7375892,1.501489,1.2280372,1.3036199,1.343491,1.4734399,0.6528472,1.156547,0.55317605,0.6006791,0.6104405,1.5018063,1.4311335,1.2876441,0.9412986,0.7173817,0.892308,0.9536561,1.3045347,0.9290539,1.4364927,1.4167417,0.85887146,1.1499053,1.3599942,0.6775632,0.81029755,0.9574037,0.6927576,1.3723114,0.5732529,0.7416524,1.055696,1.2992175,1.0974807,0.52445006,1.4998959,0.80232227,1.4639506,0.9412407,1.4597332,1.3248484,1.5477442,0.6776937,0.5264543,0.86148727,0.3018772,1.3604699,1.2918735,1.2164983,0.70767474,1.0490737,1.2462069,0.87635845,0.73806727,0.84739965,0.94614255,1.4265096,0.7195698
bib,1.2206956,1.059436,1.3248913,0.64831215,1.166615,1.163353,1.2353967,1.3165406,0.9646931,0.9908116,0.72453064,1.2942114,0.77722985,0.0,1.233165,0.49699664,0.8241222,1.2092681,1.3325338,1.3654932,1.0539721,1.3786024,1.3161793,1.2822896,1.35521,1.4467587,1.1976427,0.9694056,0.98335546,0.9321733,1.2094647,0.8534423,0.6745748,1.2596413,1.0552584,1.029477,0.69543445,1.0143815,1.4133421,0.8202454,1.3661497,1.2289789,1.1994392,0.7805642,0.6147668,1.043305,1.2461096,0.50021607,0.94390464,1.0898771,0.814869,1.1108698,0.6338256,0.87378937,0.91797036,1.2592833,1.1575214,0.8307774,1.4436111,1.2697983,0.8961357,1.0665706,0.8313449,0.8500386,1.3104864,0.73233855,0.8184755,0.60688746,1.125103,1.1278837,0.9109231,0.5709108,1.0922335,0.64330286,1.382535,1.2516518,1.1306658,1.0102671,1.1831744,1.0725963,0.6220106,1.005863,0.84975255,0.8302359,1.1954087,1.2107362,1.2035285,1.1026655,1.269187,1.0069914,1.0003327,0.4221419,0.7119659,0.712723,1.3977056,1.3467908,1.2115905,0.96064353,1.0358647,0.8999862,1.0921292,1.34218,0.99047667,1.3275558,1.1476611,0.8719778,1.309286,1.2898233,0.9071001,0.87705,1.0209353,0.59987265,1.2669227,0.4763837,0.8239015,0.94120824,1.422561,1.4218338,0.8139405,1.3490077,0.92506856,1.2442651,0.9747685,1.3922303,1.2628851,1.2566987,0.7414689,0.4816618,0.8705733,0.62920386,1.3813477,1.1022754,1.1860626,0.74554765,1.0984596,1.0307989,1.1107315,0.5471624,0.9391425,1.2602537,1.1967849,0.9379219
bird,0.09768534,0.9256319,0.957908,1.1596295,0.8983161,0.9430446,0.8127303,0.91655463,1.1770945,1.0192125,1.1793188,0.7213252,1.2184339,1.233165,0.0,1.2011296,1.1943755,0.914552,0.9277049,0.91859186,0.91881484,0.87042093,0.8934014,0.9819958,0.14734948,0.76912284,0.97951007,1.1268274,1.060833,1.1313267,1.0278172,1.1072627,1.240062,0.9691739,1.1063817,1.1150674,1.2074358,1.1595478,0.75610113,1.2080983,0.9069078,0.8648377,0.9224608,0.8984848,1.0179358,1.0970029,0.85915464,1.3023505,1.1325431,1.0187631,1.0879167,1.0807189,1.2214446,1.2530859,1.0800825,0.44668448,0.9074625,1.1608338,0.8780724,0.18530631,1.1008043,0.99201286,0.7827186,1.118594,1.0526676,1.2423452,1.1414416,1.3068135,0.8479704,0.8628932,0.9524686,1.2072035,1.0821961,1.0393156,0.7574277,0.9655436,1.05162,0.8526878,0.90837675,1.1413567,1.0383284,0.98620427,1.1640021,1.2469838,0.99201435,0.7707668,0.7990658,1.2040682,0.90646595,1.1187482,0.9329239,1.2924192,0.9557257,1.2073274,0.8039087,0.8354951,0.96201974,0.8773119,0.8889596,1.1673648,0.9473296,0.8257762,0.9424998,0.8698008,0.9154789,1.0408211,0.58733535,0.67065614,1.0845361,1.1663786,0.85094917,1.2920488,0.6024854,1.2180969,1.04287,0.9836771,0.70952064,0.82178617,1.2043282,0.7640083,1.014943,1.0096154,0.90183467,0.8473592,0.90152967,0.88771147,1.0327932,1.262212,0.99198663,1.2548194,0.8872977,1.0282346,1.0488929,1.2289186,0.8415325,0.7601517,0.910772,1.1685817,1.1165049,0.9133433,0.97000754,1.1916157
blanket,1.18249,1.1227224,1.5213072,0.5193623,1.3377883,1.3848752,1.3327116,1.2932627,0.7214638,1.0195893,0.33273995,1.4271641,0.41600972,0.49699664,1.2011296,0.0,0.7808276,1.2168152,1.5118291,1.4719777,1.0217327,1.5238798,1.3193505,1.3899063,1.420868,1.5521902,1.1751704,1.0550894,0.8382441,0.69847095,1.2930058,0.8144717,0.56985337,1.3459965,0.9072754,0.98909634,0.39835185,0.87950987,1.5880144,0.5483489,1.6134202,1.2199721,1.202378,0.61340636,0.75701666,0.9764769,1.2313759,0.40060407,1.0265472,1.2617891,0.6371496,1.2469277,0.70461655,0.9619946,0.87769705,1.198189,1.2863084,0.84317124,1.5823683,1.306463,0.931009,1.254951,0.56003046,0.74757457,1.4601586,0.73731124,0.94128996,0.60623294,1.273617,1.046424,0.83785313,0.44082493,1.1746945,0.4529333,1.4885137,1.3000393,1.1219397,0.91124225,1.3626375,1.0101064,0.41804194,1.0058146,1.0374147,0.6966367,1.3846424,1.0915873,1.2557721,1.2789898,1.4896476,0.8838629,0.98580045,0.31624484,0.57689124,0.6243652,1.5589751,1.49455,1.3008325,0.9440077,0.7299224,0.8000401,1.0684264,1.4037576,0.90943927,1.4282005,1.3629422,0.7284205,1.3900375,1.4067135,0.8589827,0.75599885,0.9654341,0.5256483,1.3202918,0.47364867,0.6143762,0.96404874,1.4883094,1.4224353,0.6126774,1.42875,0.72718644,1.4072216,0.8383167,1.553035,1.3233101,1.5083036,0.6464624,0.45205355,0.85088587,0.4086504,1.5281105,1.2359846,1.2170129,0.6239711,0.8107146,1.1437616,1.0512619,0.7430768,0.90290576,1.2433975,1.3735791,0.8058542
