,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2462189,0.93838346,0.9788011,1.0693223,0.62129855,1.1788285,0.93640906,0.73509383,1.3081957,0.8062986,0.66307354,0.5369108,0.74522877,0.9023937,1.3541232,1.2614834,0.8002676,1.193796,1.342544,1.272481,1.3502837,0.688682,0.88272065,0.88375413,1.051258,1.1395693,0.875527,1.0377083,1.0614493,0.8545409,0.91984177,1.299909,0.7989883,1.3781371,0.6569885,0.87931526,0.9978859,0.972553,0.9099189,1.1641455,1.226837,1.3360932,0.7887449,1.2822537,0.8961311,1.2861328,1.3321952,0.46902096,0.6744745,1.4136324,0.8037015,1.0486835,0.9494804,0.8693229,1.0131332,0.98412496,1.0277085,0.95799035,0.9237466,0.98448294,1.2454884,1.0779108,1.2288356,0.71075016,1.128468,0.68154657,0.74353695,0.6174598,1.1020904,1.2252407,1.335309,1.2347676,1.1531358,1.4036344,1.0400642,1.2820375,0.794767,0.8119973,0.96728504,0.73401594,1.2375433,1.1955923,1.103828,0.8487765,0.6830544,1.214936,1.1993065,0.54531753,1.0357635,1.1222911,1.3955872,0.9724423,1.1922936,0.9319536,0.90485895,0.8919833,0.80444235,1.1093276,1.2359984,0.9583706,0.8828407,1.3403332,0.9066646,1.107329,0.7981888,1.0847063,1.1896744,1.1144037,0.7037535,0.88685256,0.76229084,1.0862772,1.3273644,1.1543074,0.9007328,1.1778371,0.8359003,0.8031392,0.6864413,0.77961105,1.2364422,1.2910302,0.9271115
apple,1.2462189,0.0,1.4657569,0.64220023,0.45112115,1.016876,1.0238011,1.4831604,1.5766578,0.66524106,1.5905416,1.4261727,1.1837833,1.4512724,1.1463346,0.4374451,0.80497026,1.4729265,0.58288234,0.8992135,0.8392675,0.687839,1.2233943,0.76120615,1.3588752,1.4352626,0.6080879,1.4400274,1.0715362,0.6083538,1.5538329,1.1255637,0.3464576,1.5286665,0.6658884,1.3669422,0.9018479,1.2609327,1.3680317,1.3483822,0.8590404,0.53862315,0.67375684,1.1949365,0.75574803,0.6767738,0.43604934,0.7320862,0.9139177,1.3283405,0.52227104,1.2893945,1.0685241,0.6984427,1.2010783,1.192042,0.8696563,1.1870275,1.2217797,1.1624794,1.4245799,0.7568032,1.3017331,0.8339122,1.2029213,0.95324755,1.0074155,1.2757045,1.3389318,0.8528809,0.42828274,0.3753816,0.8438033,1.1230147,0.59152913,0.51486444,0.7995372,0.9875144,1.4703101,1.4321216,1.2348737,0.7802522,0.7998622,0.49582213,1.3349388,1.3073418,0.71023864,0.66305804,0.96267474,0.9626601,0.81201273,0.41000462,1.3741205,0.6115955,1.0882641,1.0653018,1.448124,1.2121649,1.1672726,0.710342,1.3523794,1.1115283,0.5095588,1.2878056,1.1000574,1.1682048,0.94341356,0.76340353,0.6263037,1.4158967,1.2856985,1.5966249,0.37128222,0.57814014,0.5793837,1.2846988,0.8802195,0.6063605,1.3579109,1.0185753,1.1622232,1.1867437,0.5813008,1.3752396
arm,0.93838346,1.4657569,0.0,1.2948,1.3436633,0.85202265,1.288759,0.5211851,0.602239,1.2685748,0.59273994,0.73190653,1.0806355,0.77003,1.0164459,1.4042513,1.2159102,0.7807386,1.2277279,1.2143629,1.1938177,1.3556089,1.0243624,1.1799473,0.69308656,0.68124044,1.3654172,0.80091554,0.9534992,1.28441,0.53835565,0.9762456,1.4525788,0.61313045,1.295366,0.67789745,1.1415253,0.9125338,0.7492516,0.60264754,0.9292957,1.3170185,1.172093,0.84069794,0.9694464,1.3089588,1.3857138,1.3110842,1.3340647,0.94760925,1.3878176,0.7035414,0.8689394,1.2931123,0.8518028,0.49217248,1.1137477,0.8633789,0.8097105,0.86188316,0.5108948,1.2715229,0.7436994,1.2356122,0.7603324,0.8690671,0.8153618,0.64801294,0.85765207,0.9760568,1.4089882,1.3069105,1.2202977,0.9821484,1.2497783,1.337121,1.2529746,1.0915287,0.51307416,0.54843557,0.8120773,1.2291213,1.1561468,1.3069307,0.85999894,0.95141035,1.342634,1.1658508,1.1325289,1.1892192,1.3443496,1.3408953,0.839843,1.3806028,0.9984061,1.0667783,0.49877107,0.9464152,0.6293202,1.2082582,0.5650744,0.95557976,1.3869493,0.8706354,0.69550323,0.9351225,0.9652718,1.3040575,1.2518601,0.88154614,0.7115164,0.5492765,1.5268366,1.115373,1.3450887,0.7291958,1.1887574,1.4739594,0.66266584,1.1151328,0.90445584,1.0184847,1.3083253,0.8298582
ball,0.9788011,0.64220023,1.2948,0.0,0.16628206,0.9088132,1.0094253,1.315635,1.1735406,1.0548853,1.2349992,0.9221957,0.89053273,0.9895977,0.86435443,0.8378204,0.99963695,0.9750275,0.95368785,1.2050064,0.9345091,1.040893,1.1554822,0.92198724,1.3313224,1.2771158,0.7503962,1.2688011,1.1151059,0.77071255,1.237564,1.0249239,0.9353511,1.1289556,0.9695119,1.1054558,0.62822175,1.1769029,1.0975988,1.08876,0.9594081,0.48268545,1.0368813,1.0966393,1.0297159,0.9503832,0.99950296,1.1245601,0.7760863,1.0346857,1.038011,0.8878723,1.1480428,0.5043678,1.0908926,1.187494,0.59551746,1.0883417,1.1434402,0.76958096,1.2634572,1.0947556,1.2684917,0.8862219,1.1575152,1.0551599,1.0237983,0.93561673,1.0344625,1.0537089,0.7694367,0.964267,1.1146877,0.93714756,1.033394,0.89829755,1.0116737,0.97028065,1.1245066,1.2758682,0.8884209,1.0220871,0.9127696,0.9454545,0.9440241,0.9975313,1.0320088,1.1326429,0.7264524,0.8222915,0.86251616,0.98865765,1.229234,0.9300768,0.9543265,0.91101885,1.1914039,0.84225464,1.2474431,0.91188604,1.2126541,0.7943728,1.0188775,1.0775523,0.9669756,1.0242423,1.0300804,0.90553963,0.987768,1.1460832,1.1200246,1.1552274,0.60948783,0.97703433,0.85944563,1.0173573,1.130352,0.27635014,0.9480034,1.0070729,1.1782622,1.2107772,1.0658773,1.2718749
balloon,1.0693223,0.45112115,1.3436633,0.16628206,0.0,0.80593246,0.95851916,1.2625713,1.2951765,0.9255275,1.3138486,1.02968,1.051477,1.1101346,0.9023164,0.7143278,0.9148502,1.0814238,0.89181614,1.1042279,0.8445257,0.92269856,1.2387763,0.8315183,1.3534951,1.2905744,0.7043637,1.3094302,1.0431008,0.7405411,1.321876,1.0758941,0.79154515,1.2418909,0.8480184,1.1971886,0.7084861,1.2044966,1.1727064,1.129591,0.86130464,0.5467401,1.059005,1.2293694,1.076584,0.9336718,0.89400357,1.0134941,0.85200316,1.1459429,0.9718718,0.9445314,1.105294,0.5114153,1.2299318,1.203999,0.651811,1.0945101,1.2207371,0.79769194,1.29192,0.9844388,1.1909888,0.8222368,1.118916,0.99933237,0.90976477,0.9621191,1.1402144,1.0536801,0.73533356,0.9471166,1.0363939,1.0034804,1.0223756,0.7226393,0.9492856,0.911005,1.256643,1.3376645,0.97141224,0.86196077,0.8429907,0.8113545,1.0169693,1.0747933,0.9508852,0.97945684,0.826233,0.82988894,0.82762873,0.90067726,1.2600377,0.8579917,1.017642,0.84356964,1.2912105,0.92909986,1.1432451,0.96928513,1.1582993,0.7889892,0.97434735,1.1577339,0.9524341,1.0986345,0.99297726,0.8965315,0.974482,1.2391582,1.1900635,1.2188455,0.5769714,1.0060931,0.8488504,1.0089877,1.0355963,0.3326472,1.0123994,0.98652095,1.1236017,1.149905,1.0119915,1.2489059
banana,0.62129855,1.016876,0.85202265,0.9088132,0.80593246,0.0,1.3008764,0.8756801,0.90000117,1.3059287,0.94087315,0.7284326,0.85133,0.9242361,0.93958485,1.2072641,1.168258,0.842091,0.9965951,1.4156439,1.223928,1.4019413,1.0286502,0.9225377,1.1088486,1.2203671,1.158361,1.0354415,0.9448656,0.97130543,0.9354612,0.8591169,1.2146562,0.90522593,1.3345134,0.92624044,0.83735764,1.1684178,1.078239,0.85624504,0.96242017,1.1879828,1.2574143,0.9899017,1.1625228,1.2256036,1.3083887,1.3510739,0.80563223,0.84250724,1.3806524,0.6246655,1.054592,0.82197046,1.0599953,0.8711123,0.83626753,0.89840436,0.87834144,0.698978,0.93806183,1.2343512,1.0417764,1.2200441,0.5725721,0.97177696,0.21545261,0.5476576,0.89382607,1.0538238,1.1533786,1.2882218,1.3427088,0.9958624,1.3128142,0.99680907,1.3518947,0.83304286,0.85010666,0.95976293,0.82846594,1.085427,1.0298585,0.8989235,1.0813891,0.87562025,1.2390096,1.0556129,0.7466891,1.0825444,1.2232167,1.2908608,1.1664237,1.24646,0.96131575,0.63129413,0.9193864,0.94473416,0.9296551,1.1553277,0.81892985,0.7087321,1.3608983,0.9904307,0.9206712,0.8596703,0.9240508,1.249526,1.2385571,0.99588394,0.79489875,0.81433064,0.9974571,1.2829633,1.2083002,0.623489,1.2704203,0.7102126,0.65086865,0.8004919,0.91905963,1.2966467,1.3093933,1.1462775
basket,1.1788285,1.0238011,1.288759,1.0094253,0.95851916,1.3008764,0.0,0.9288637,1.0993303,0.56316996,0.99783,1.2406752,1.0904897,1.1062777,0.76850414,0.70726055,0.5023874,0.7950778,1.0802555,0.6131817,0.4603225,0.32283568,1.1483206,1.0075097,1.1041481,0.69965714,0.8564724,1.023766,0.86302376,1.0142741,1.109368,0.9437337,0.7406069,0.9795285,0.51953995,1.1611376,1.1002674,0.9391982,0.88238966,1.2453654,1.1302086,1.0309505,1.1619221,1.2638558,1.1991932,0.920886,0.8382627,0.6215826,1.006402,1.1204014,0.8417834,1.2477438,1.0901308,0.8946336,1.2519201,1.2732337,1.1061838,1.1298407,1.1910567,1.1305926,1.1303407,0.700594,0.89280695,0.7344509,1.3291212,1.0891894,1.25722,1.3511281,1.1121458,1.2694752,1.0343423,1.0797268,0.66484445,0.9592407,1.0194061,0.7668725,0.5360019,1.1162843,1.3009008,1.1654912,1.0754226,0.8399034,0.8859729,0.9403402,0.82542276,1.0893183,0.7377951,0.84944814,1.1207919,0.6230932,0.62747747,0.98343796,0.83760357,0.86811733,1.093773,0.9849981,1.2658982,0.91830724,1.2205949,1.1026993,0.9589892,1.2597796,0.8082025,1.1116275,1.1074779,1.0839624,0.9571538,0.77094066,0.96010005,0.95038533,1.1958615,1.0289912,0.8475797,1.1107697,1.0663484,1.0979998,0.63236344,0.87857133,1.0102311,1.1266382,1.1271678,0.59827477,0.79750323,1.0006995
bathtub,0.93640906,1.4831604,0.5211851,1.315635,1.2625713,0.8756801,0.9288637,0.0,0.49186784,1.1484317,0.47947747,0.7695297,1.0452619,0.7181257,0.80301404,1.3702421,0.8963382,0.582814,1.2864723,1.0657653,1.0576159,1.1749322,0.95328826,1.1068239,0.6440013,0.5339453,1.3000004,0.6330749,0.9824317,1.2183449,0.5559344,0.9649192,1.4285543,0.57699454,1.1983489,0.7802554,1.264228,0.717824,0.5994127,0.8448891,0.95205295,1.3580562,1.4017198,1.0151819,1.3185225,1.2590944,1.4422278,1.1088061,1.2807546,0.87112284,1.4337358,0.91897523,0.81799793,1.2528907,1.0351955,0.85344887,1.1176679,0.8880103,0.90471876,0.8239075,0.6098318,1.1037855,0.59336406,1.0799793,0.7657147,1.0319885,0.8402051,0.7630857,0.8007838,1.2083707,1.4187232,1.4453461,0.9961733,1.0607297,1.3964169,1.1557715,1.1697094,1.0223837,0.7665223,0.6211512,0.6746266,1.1069808,1.1584628,1.3203491,0.7004928,0.804013,1.3241898,0.78892833,1.1771748,1.1759087,1.1612954,1.4482074,0.6744078,1.3963704,1.0385835,1.0317265,0.7342174,0.9576776,0.75560534,1.4076474,0.10341358,0.92609394,1.4726133,0.77497244,0.836559,0.9452907,0.98405576,1.2633383,1.3821653,0.8012961,0.8562261,0.39352012,1.4777554,1.4343809,1.4743333,0.8603449,0.93642014,1.4298675,0.6090849,1.0789679,0.8686333,0.8841199,1.3682157,0.6118679
bed,0.73509383,1.5766578,0.602239,1.1735406,1.2951765,0.90000117,1.0993303,0.49186784,0.0,1.3998504,0.10825503,0.3608135,0.8712482,0.25588846,0.95368373,1.5048704,1.2604709,0.55056,1.4746188,1.3250692,1.1550457,1.4140998,0.7086381,1.307903,0.6172992,0.54246396,1.3196242,0.4358006,1.1130031,1.3621163,0.25603878,1.1314406,1.5381942,0.14072633,1.3125832,0.59003615,1.1783004,0.78824425,0.7165546,0.63311493,1.2962127,1.3871754,1.3655391,0.77158284,1.3265926,1.4003761,1.4731405,1.443721,1.1964978,0.6554077,1.5568852,0.90888745,0.8671067,1.434663,0.80072933,1.0630363,1.0540091,0.7817961,0.76756084,0.7757871,0.60832375,1.3525498,0.8085921,1.2790973,0.688478,1.2200963,0.93124396,0.66971594,0.546542,1.1989925,1.4954091,1.4188981,1.3068662,1.0034065,1.4464176,1.3017917,1.3275635,1.0718142,0.42141736,0.61669695,0.7713194,1.374709,1.4151888,1.4588077,0.6026872,0.53082466,1.4109452,1.1853715,0.973362,1.097397,1.2572992,1.4958427,0.67900956,1.4553816,0.9425137,1.1362193,0.47462356,0.96121216,0.94337153,1.3774709,0.68470263,0.7960906,1.561274,0.58546656,1.0446155,0.98221713,1.2140691,1.3624367,1.3531994,0.7583931,0.61262095,0.28724217,1.4992163,1.4938278,1.4714613,0.9569621,1.2542051,1.310246,0.6455644,0.89619017,0.833183,1.0386147,1.4000503,0.5397143
belt,1.3081957,0.66524106,1.2685748,1.0548853,0.9255275,1.3059287,0.56316996,1.1484317,1.3998504,0.0,1.334492,1.3996649,1.1819522,1.3612211,0.9813611,0.622409,0.5518774,1.3240886,0.84629947,0.5517626,0.73689824,0.27390242,1.167906,0.9187715,1.0048847,1.0707221,0.8172291,1.2527001,0.9844495,0.93213964,1.3820453,1.1622,0.38809168,1.390023,0.609601,1.3195562,1.1734413,1.055796,1.1138736,1.2996314,0.8646191,0.85890186,0.8737205,1.2789886,0.9658808,0.6593192,0.52292985,0.388426,1.014927,1.3705944,0.4379846,1.3070664,0.9438662,0.967424,1.27227,1.1855367,1.1011317,1.1950462,1.1883878,1.3403883,1.2200873,0.4834224,1.0702336,0.6838581,1.3158028,0.99301356,1.2269206,1.4761851,1.3670692,1.1073236,0.86319125,0.7046155,0.546561,0.91515595,0.73208666,0.60977495,0.6389689,1.0878603,1.4386263,1.2107813,1.2821419,0.56538415,0.7200033,0.7206276,0.9429028,1.3002465,0.62646335,0.5435729,1.3229644,0.86477137,0.5919418,0.6476919,1.1911087,0.750363,1.1979253,1.0497816,1.375461,1.0627563,1.0296357,0.94418854,1.0644453,1.1794969,0.48421574,1.2181463,1.0620527,1.1723112,1.034481,0.74609977,0.82822466,1.2522966,1.3038453,1.446907,0.6796588,0.7845882,0.8567468,1.2599326,0.52273315,1.0144061,1.2977538,1.0596058,1.0612025,0.834226,0.4886477,1.0458819
bench,0.8062986,1.5905416,0.59273994,1.2349992,1.3138486,0.94087315,0.99783,0.47947747,0.10825503,1.334492,0.0,0.5187774,0.92106694,0.41790468,0.9307361,1.4425063,1.1966667,0.5338797,1.4769971,1.2640892,1.0766381,1.3243552,0.8028594,1.2537858,0.6732803,0.42043954,1.3331482,0.42430794,1.0054389,1.3672631,0.18136579,1.0791305,1.5004771,0.23072952,1.23879,0.6430229,1.2192726,0.7368233,0.5822486,0.7005374,1.2722272,1.3908184,1.3401587,0.8540486,1.2986387,1.3974882,1.4661319,1.372045,1.2740494,0.7609043,1.5498866,0.92945296,0.8676486,1.3914676,0.87575155,1.042615,1.1027317,0.7652583,0.8508898,0.8154643,0.58744705,1.3112192,0.6904702,1.2169385,0.68460107,1.1817355,0.98396945,0.732394,0.57226056,1.1924353,1.5031853,1.3969644,1.2779195,1.0127256,1.3964725,1.2775471,1.2537744,1.0931976,0.50032955,0.58259386,0.79185796,1.3222636,1.3346663,1.4262965,0.6400068,0.62579393,1.3438988,1.1831572,1.0334547,1.0641574,1.2182765,1.4856739,0.64725745,1.4505681,0.910869,1.1174935,0.5281035,1.024686,0.9814856,1.3573978,0.65494895,0.8556566,1.502764,0.6736,1.0253819,1.0075947,1.2058462,1.3652669,1.3289309,0.71653146,0.65850365,0.28042722,1.5056324,1.4551457,1.4394068,0.96156484,1.2148013,1.353906,0.6690954,1.0024804,0.85240424,0.8836863,1.3614733,0.5534687
bib,0.66307354,1.4261727,0.73190653,0.9221957,1.02968,0.7284326,1.2406752,0.7695297,0.3608135,1.3996649,0.5187774,0.0,0.8759473,0.22358948,0.92059875,1.49733,1.3504686,0.6673285,1.2958522,1.405893,1.2398726,1.4433103,0.8084085,1.1816686,0.74073493,0.9651991,1.2005656,0.77917254,1.1277058,1.1979487,0.6017409,1.0380962,1.5068287,0.5288935,1.4312409,0.6095026,0.908036,1.1048223,0.9481834,0.48768294,1.163025,1.295846,1.3140519,0.83293843,1.276464,1.3047099,1.4600581,1.5344901,0.93778783,0.6037358,1.5207512,0.63223374,0.9779944,1.1456909,0.8791154,0.9675218,0.77475923,0.9318869,0.72960997,0.71084845,0.66759616,1.4643791,1.1006976,1.3906062,0.80871904,1.0935444,0.73463255,0.50897074,0.7207638,1.1170775,1.3276799,1.4241438,1.410993,0.86672115,1.4006534,1.2317009,1.4587941,0.87861454,0.35513747,0.74570346,0.72228307,1.3127453,1.3796599,1.2851214,0.6075076,0.40933013,1.3825701,1.3420179,0.7223991,1.0304202,1.330066,1.4281657,0.990252,1.401123,0.83518994,0.9314399,0.5008277,0.78197706,0.8967728,1.3318825,0.9119362,0.7066287,1.5118796,0.686602,0.9096054,0.94812554,1.1457553,1.3694919,1.2892814,0.83977294,0.6793685,0.49892306,1.3775874,1.4304757,1.2832665,0.7919615,1.3465338,1.0027184,0.6711179,0.8343503,0.8626491,1.3097208,1.3627342,0.8573019
bird,0.5369108,1.1837833,1.0806355,0.89053273,1.051477,0.85133,1.0904897,1.0452619,0.8712482,1.1819522,0.92106694,0.8759473,0.0,0.86902356,1.0313846,1.296238,1.2856929,0.9084422,1.1181109,1.1777177,1.2174547,1.2079175,0.6167991,0.9653209,0.8854164,1.1477295,1.0788194,0.96233803,1.0790355,1.1041335,0.9200539,0.98361754,1.1498204,0.91139805,1.3303826,0.82939756,0.8464178,1.0747893,1.0097522,1.0367357,1.2038405,1.0460372,1.1339431,0.84516513,1.1875137,0.97639394,1.2431034,1.2127602,0.63096964,0.6854232,1.1973608,0.7679446,1.1094912,0.9752321,0.8931537,1.1242418,0.95682883,0.9098103,0.92523384,0.93352705,0.9231515,1.1806625,1.0396318,1.1635324,0.8872939,1.1832438,0.89133734,0.806757,0.6600327,1.1659788,1.157614,1.247007,1.2602493,1.0046124,1.2274054,0.97122985,1.2316409,0.8466922,0.8697747,0.91853607,0.90850383,1.1328889,1.1313804,1.13037,0.99617696,0.9261559,1.0853089,1.1902307,0.77709794,1.097714,1.177273,1.2786402,1.0358514,1.1187898,0.9009581,0.762716,0.94937944,0.9511784,1.07789,0.9774164,1.0956163,0.8226583,1.1185331,0.8760008,1.098018,0.8438941,1.146064,1.155652,1.013223,0.73426604,0.965846,0.97219425,0.9734007,1.2362096,1.0138863,0.89331645,1.1958678,0.8380704,1.0031434,0.7647547,0.73551637,1.0600188,1.064464,1.0452563
blanket,0.74522877,1.4512724,0.77003,0.9895977,1.1101346,0.9242361,1.1062777,0.7181257,0.25588846,1.3612211,0.41790468,0.22358948,0.86902356,0.0,0.98896015,1.4604508,1.2841141,0.69272506,1.2874616,1.260569,1.1556113,1.3406924,0.8489561,1.2272474,0.702268,0.7645992,1.2328606,0.66975987,1.1297421,1.2229351,0.51042545,1.0675759,1.448199,0.49824166,1.3150022,0.6336011,1.0418937,0.9629036,0.8571062,0.61526895,1.1916965,1.3088845,1.2818092,0.84505904,1.2523711,1.3252276,1.3862419,1.4364523,1.0540237,0.7028776,1.4376123,0.7840547,0.9297847,1.295254,0.8563977,1.0768448,0.8633473,0.90375423,0.8234313,0.88431764,0.6546495,1.3454766,1.0044664,1.3167412,0.7827077,1.1747589,0.9640109,0.6665468,0.69263124,1.1340064,1.30877,1.3728976,1.2878939,0.91161126,1.3511682,1.2400761,1.3388536,0.9825514,0.4636755,0.7001734,0.8531299,1.3234167,1.3726823,1.3379332,0.43637455,0.42643464,1.3524085,1.2845213,0.86989635,0.9845907,1.2517328,1.3804398,0.83426064,1.3797609,0.83533764,1.0837609,0.5758291,0.8355025,0.99070567,1.288275,0.88211334,0.8425503,1.4264044,0.7015075,0.955528,0.9916524,1.2249242,1.3201562,1.2562226,0.763744,0.6991695,0.48812312,1.354429,1.377903,1.2979214,0.9850608,1.2124735,1.1137661,0.78563905,0.8758062,0.89144504,1.1072445,1.3283035,0.7381134
book,0.9023937,1.1463346,1.0164459,0.86435443,0.9023164,0.93958485,0.76850414,0.80301404,0.95368373,0.9813611,0.9307361,0.92059875,1.0313846,0.98896015,0.0,1.0449502,0.87399536,0.33884203,1.2325364,1.2122332,0.88186616,0.9875636,1.0255857,0.89933443,1.2468565,0.9810977,0.8491973,1.024909,0.8927004,1.1160235,1.0077062,0.81882894,1.0008605,0.8856844,0.9311756,1.0639871,0.87299603,1.0082504,0.76208866,1.0421852,1.0732692,1.0717176,1.3283458,1.1054713,1.2059371,1.0213759,1.189648,0.9249157,0.75759935,0.88372386,1.2507751,0.9780562,1.1073176,0.511855,1.1106277,0.96331847,1.0809612,1.0349507,1.0691962,0.9000872,1.0800127,0.9035603,0.95089006,0.92460775,1.1328716,1.0591651,1.0759159,1.0382041,1.0229204,1.1134958,1.2159497,1.2796458,1.0159894,0.94834703,1.2870497,0.9202634,0.77252954,0.9623987,1.0968058,1.1388998,0.23202145,0.76704586,0.7237124,1.1119996,0.9151415,0.8771343,0.9443544,0.94616425,1.0825703,0.8120422,0.70670354,1.2411919,1.0001925,1.174947,1.0489848,0.7232524,1.1216013,0.84857416,1.0374864,1.1610405,0.7734083,0.90170354,1.2460574,0.9536963,1.0456287,1.0572073,1.1590223,1.0274116,1.2459747,0.9393081,1.1314334,0.7853222,1.0269531,1.2867544,1.1609776,0.7190628,1.0321448,0.72576183,0.4340074,0.97400564,1.0614339,1.0957447,1.2165132,1.0768316
bottle,1.3541232,0.4374451,1.4042513,0.8378204,0.7143278,1.2072641,0.70726055,1.3702421,1.5048704,0.622409,1.4425063,1.49733,1.296238,1.4604508,1.0449502,0.0,0.5435386,1.2991068,0.8938785,0.6320597,0.47734797,0.46912467,1.2415968,1.0631499,1.3807437,1.0833762,0.6677603,1.2566537,0.9990002,0.79885536,1.4040642,1.1318283,0.38241172,1.3652121,0.33364433,1.3496926,0.96434253,0.98117274,1.3359061,1.2905085,1.0307813,0.68969214,0.8875348,1.2695068,0.95625174,0.8036879,0.33529198,0.56293017,1.0973276,1.2767167,0.50548106,1.3468883,1.1816056,0.91360027,1.2652875,1.3699224,1.0435997,1.0821837,1.2258463,1.0767219,1.4522169,0.5896374,1.0066344,0.53068405,1.2645245,1.0811439,1.2081357,1.3815253,1.2777503,1.0857859,0.6364033,0.4689299,0.5823129,1.1598806,0.7445283,0.7847607,0.3997718,1.1413943,1.4653349,1.4527186,1.2633586,0.7478658,0.78144723,0.80996126,1.2466174,1.3413681,0.38877237,0.65791667,1.0583375,0.6896067,0.6594897,0.53309876,1.0364699,0.5423697,1.1953568,1.1075083,1.4158263,1.1917484,1.3005025,0.73853046,1.2651904,1.179104,0.6308011,1.2572577,1.0548419,1.2201272,0.937467,0.59521645,0.8831306,1.2626439,1.3041389,1.363777,0.670114,0.7776259,0.8061632,1.2154448,0.636547,0.72197163,1.2688828,1.1040524,1.2245768,0.75546396,0.7193163,1.1287173
bowl,1.2614834,0.80497026,1.2159102,0.99963695,0.9148502,1.168258,0.5023874,0.8963382,1.2604709,0.5518774,1.1966667,1.3504686,1.2856929,1.2841141,0.87399536,0.5435386,0.0,1.0451711,0.8275186,0.60507834,0.44093907,0.5624928,1.2063682,1.0167195,1.1361079,0.84464955,0.80206597,1.1633623,0.939286,0.7704313,1.2521406,0.9924612,0.73148555,1.1466485,0.4497193,1.2205276,1.0709928,0.97199905,1.0472654,1.3726382,0.8864256,0.85173845,1.0852174,1.3071893,1.0722845,0.8297311,0.6651389,0.5490376,1.0432262,1.2223864,0.7444862,1.2601385,1.0283471,0.975829,1.3341761,1.1998401,1.0088403,1.1765432,1.2683123,1.1737233,1.2410462,0.54727465,1.00842,0.5735116,1.3455008,0.9703547,1.1831999,1.3077667,1.2051888,1.1276728,0.8461963,0.88721293,0.3888278,1.0537755,0.9585724,0.8812862,0.5513816,1.1384039,1.4689603,1.2617427,1.1325037,0.82204807,0.91105974,0.8629643,0.82542264,1.0858831,0.70466876,0.56891096,1.2407268,0.784978,0.5795328,0.8814487,0.87808514,0.7213683,1.1345153,1.0718131,1.4001973,1.0137446,1.1928464,0.9286613,0.80285966,1.2373245,0.75105345,1.2078735,1.0013299,1.014714,0.80834174,0.6891858,1.0391015,1.1453307,1.3092669,1.1662416,0.7227949,0.9498264,1.0883613,1.1571972,0.45247662,0.92920035,1.075327,1.2075112,1.1619596,0.7533368,0.92220414,1.0338174
box,0.8002676,1.4729265,0.7807386,0.9750275,1.0814238,0.842091,0.7950778,0.582814,0.55056,1.3240886,0.5338797,0.6673285,0.9084422,0.69272506,0.33884203,1.2991068,1.0451711,0.0,1.401973,1.2990965,0.8539533,1.2593198,0.9407025,1.0385375,1.0185547,0.7713924,1.1679304,0.70935917,0.935287,1.2532527,0.5852448,0.8139108,1.377192,0.4789437,1.1008099,0.83046675,0.9418538,0.90727437,0.5263514,0.81979877,1.2090561,1.350025,1.4249858,0.97873414,1.343762,1.369611,1.4659617,1.2999932,0.9851394,0.6678555,1.5648466,0.8699838,1.101621,0.8391614,1.0064638,0.9525002,1.0471419,0.84508264,0.918983,0.6287838,0.8083479,1.2720644,0.80803925,1.1704928,0.9244627,1.115119,0.92158663,0.78999394,0.74190193,1.1980745,1.4089693,1.4806042,1.3416137,0.9402883,1.4410496,1.0887128,1.0419163,0.98140407,0.7602905,0.8786245,0.3687284,1.0756217,1.0182406,1.3062568,0.8852736,0.73831296,1.2246001,1.1759176,0.9446301,0.8366432,0.9848724,1.4483026,0.74691045,1.4046232,0.9647509,0.80876815,0.81178415,0.9170377,0.9828977,1.3352778,0.6795072,0.81960285,1.5546253,0.82225037,0.9899154,0.96003544,1.1097637,1.249651,1.3474612,0.75748116,0.8693708,0.43253493,1.3572273,1.4985507,1.3907425,0.6596292,1.306205,0.9064067,0.24025941,0.9161333,0.98167515,0.99303794,1.394576,0.89141077
