,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2428509,1.4566371,0.67782956,1.2138591,1.3497128,1.0662346,1.2359469,0.6712459,0.46415538,1.3591697,0.7917571,0.6887806,0.7997896,0.5382417,0.97310716,0.9595651,1.4799292,1.1902323,0.8214694,1.2569406,0.9876087,1.3235586,0.9082622,1.4225595,1.2028447,1.4874328,0.41203701,0.8172859,1.0265158,1.3246385,0.7911365,0.93487996,0.8308422,0.99570227,1.0412165,1.1431823,1.1152923,0.7943183,1.2649229,1.4613276,0.61923254,1.4963512,1.1920335,1.0076458,0.40899897,0.6518438,0.98118496,1.0689387,0.93526727,0.9904547,1.4532131,0.9604223,1.1179422,0.75340784,1.3032122,0.74517214,0.98425907,1.1848888,1.0394785,1.3667464,0.5491985,0.8584632,1.3733598,0.83296216,1.151375,0.7905023,0.88512206,1.1314458,0.61653835,0.74626076,0.58822364,0.8999184,0.6159718,1.083461,0.71444404,1.560311,0.9903743,1.1482179,0.5361758,1.0209984,0.50417566,1.2547677,0.811643,1.175387,1.0129128,1.4518757,1.0826596,1.3759339,1.2498156,1.4241841,0.8782188,0.97270805,0.5754915,0.6343152,0.63776326,1.4612257,1.4758583,1.3011534,1.2470863,1.364917,1.18293,1.1688752,1.3469101,0.86299735,0.8905561,0.7083974,1.3596787,1.3273624,1.0006838,1.0208286,1.0469731,0.64477956,0.7499616,0.60608804,0.8023758,0.7216824,1.2668177,0.7945254,1.2281159,0.6087676,1.3496602,0.8929864,1.422384,1.1364572,0.9491797,1.3208799,0.9144455,1.134338,0.6390926,0.56000865,0.6146076,1.3010881,1.3527865,1.2439924,1.0916792,1.0028274,0.9795365,0.7975885,0.94671696,1.0043654,1.2198626,1.4625938,1.1335113
ankle,1.2428509,0.0,0.8961739,0.8606075,1.1120028,1.0548636,0.93695486,1.0509317,1.1624733,1.2046099,0.8580861,1.0887648,0.88464475,1.0382392,1.027015,1.1819972,1.1660831,1.092324,1.2160268,1.130867,0.7321029,1.1917171,1.0000098,1.026682,0.9299879,1.2319719,0.6583761,1.1660126,1.0430284,1.1183263,1.1125778,1.2415429,1.1943095,0.85859525,1.1459754,0.9618584,1.098225,0.9271413,1.1329348,0.7646487,0.90070456,1.2890757,1.0479184,0.94501346,1.2892433,1.2440584,1.1630768,1.1692452,1.084518,0.8190055,0.99567544,0.753593,0.8373976,0.77790064,1.2251556,0.40851033,1.2213528,0.997631,1.1821816,0.34957844,0.80162156,1.2447877,1.1061218,0.80410314,0.5254641,0.88363814,1.0918932,0.63298404,1.0172858,1.196032,1.1991918,0.9749719,1.0720747,0.8132554,0.9843753,1.1619488,0.904066,0.62808174,0.82029516,1.1230108,1.1042026,0.875808,1.0823659,1.1245799,0.71953756,0.9541084,0.9199059,0.71583384,0.48552042,0.7201347,1.0455681,1.2113404,1.176014,1.0176383,0.80355144,1.1671867,0.9478625,0.9300827,0.7133789,0.9995116,0.653815,0.87974006,1.1089845,1.1493621,1.2136657,0.9937796,1.0860159,1.0185198,0.71885127,1.253789,1.2213751,1.1364713,1.0325004,1.1889615,1.0218273,0.78625315,0.7029791,1.0624096,1.2242898,1.1738361,1.2114806,0.6498269,1.1607941,0.9883525,0.23749423,1.1383468,1.0378603,1.2355958,0.8731308,1.3035145,1.0392298,1.3263184,1.0426723,0.39328516,0.6431992,0.8625318,0.76302004,1.2169657,1.2860153,1.0910922,0.91061234,1.1394632,0.7699369,1.1316515
apple,1.4566371,0.8961739,0.0,1.4435464,0.48245633,0.36248976,0.7648343,0.90884054,1.5350649,1.5160232,0.45047152,1.433597,1.3889443,1.0325819,1.377632,1.3175639,0.9691651,0.3376032,0.97499484,1.344696,0.6177797,1.2914007,0.8480586,0.9580333,0.8296981,0.56484276,0.29118073,1.3507321,1.458595,1.2549928,0.7703092,1.4125624,1.1171025,1.1688592,1.1646187,1.2158871,0.7897465,0.9161617,1.4152371,0.6776269,0.24596769,1.5565721,0.45817852,1.0772743,1.1948833,1.2941298,1.1977229,1.2701135,1.24939,1.2199284,1.0199666,0.27799058,1.0203385,0.8641656,1.1736468,0.60811234,1.2286825,0.61558664,0.720916,0.99553996,0.8996549,0.9366734,1.3312736,0.38377094,1.0879257,0.68829334,1.1533988,1.1846622,0.6373625,1.0931383,1.3811518,1.3704323,1.1018057,1.3445473,1.2350371,1.486926,0.5204677,1.0164344,0.89230806,1.1603131,1.2336395,1.3580889,1.0600773,1.0706459,0.6661018,0.8872494,0.14868975,1.0120491,0.53363055,0.6086819,0.2509566,1.3966067,1.183754,1.4666566,1.381032,1.4293387,0.4239679,0.4930724,0.7025978,0.77004737,0.5070533,0.8084583,0.81990814,0.8167265,0.99247897,0.9216306,1.4601393,0.6713703,0.39337772,1.3094146,0.7830314,1.2040315,1.3846843,1.3994191,1.3789093,1.2868687,1.1921722,1.0091358,1.3759677,1.013594,1.3786042,0.38737023,1.2274057,0.37131596,0.8952324,1.2096624,0.9679472,1.2709019,0.58339095,1.4100931,1.4372392,1.5147439,0.46268862,0.5083686,0.56428266,1.1420302,1.070005,0.7205545,1.4229531,1.0446376,1.1231263,1.1023482,0.3082555,1.1236337
arm,0.67782956,0.8606075,1.4435464,0.0,1.3933951,1.4878674,1.1853802,1.3841145,0.5492617,0.53042877,1.3709196,0.77435505,0.3694737,1.0617626,0.6214971,0.8230327,1.2271758,1.4669422,1.1807213,0.9418362,1.255051,0.8817391,1.3380599,1.1658783,1.349538,1.3082047,1.3547883,0.6869241,0.775653,0.9610155,1.3392596,0.8179154,0.87064147,0.64163405,0.9737584,0.95505416,1.2502154,1.188346,0.6920942,1.1869557,1.5067911,0.66657495,1.4718599,1.2228193,1.0165071,0.923192,1.0122252,0.9643031,1.0842323,0.72988546,0.9708068,1.4030023,0.77293944,1.0250483,0.6563006,0.9349669,0.942899,1.4712352,1.3666162,0.7876126,1.2213402,1.2273047,0.6081284,1.3251295,0.8294475,1.2378887,0.6559073,0.4484297,1.3672223,1.1737672,0.67457366,0.7940683,1.0963873,0.49064052,0.92845595,0.7514693,1.5194322,0.8771367,0.9777148,0.7676052,0.99041235,0.54188234,1.1620351,1.031117,1.1014521,1.1752111,1.3740549,1.1395271,1.1681823,1.1058253,1.4152975,0.7557023,1.0151283,0.40121198,0.5103206,0.6779578,1.4765295,1.4072676,1.2178564,1.188812,1.3857739,1.1939604,1.250849,1.221303,1.319943,0.9313542,0.8028922,1.4529159,1.2986631,0.97924334,1.3389883,0.9190388,0.67458624,0.7261347,0.39324433,0.97885287,0.5353414,1.257889,0.6619258,1.0407763,0.59324145,1.4647682,0.7952208,1.4857135,1.032028,0.87368983,1.1676017,0.8672084,1.3112825,0.81005824,0.37615156,0.45947516,1.5159701,1.0646763,1.1475159,0.7682607,1.1444786,1.3791823,0.73873705,1.1331303,1.0755365,1.1499487,1.3255379,0.99758023
ball,1.2138591,1.1120028,0.48245633,1.3933951,0.0,0.26415896,0.8926105,0.9730499,1.4537371,1.341831,0.8687571,1.3021332,1.3221885,0.9476013,1.2621537,1.2186681,0.804011,0.60027266,0.8110063,1.1749669,0.9411146,1.1776897,0.7677022,0.87091,0.9591538,0.78646773,0.7739064,1.3012973,1.3681464,1.1316661,0.6031036,1.3223603,1.0601635,1.3006475,0.9200963,1.1429138,0.72547644,0.95476234,1.2693795,0.9274592,0.6636425,1.3507037,0.5993726,1.1302648,1.0340123,1.0715995,0.92824864,1.2424046,1.1724619,1.1933117,1.076757,0.37058854,1.0525631,0.9390015,1.1433231,0.94276917,1.1170962,0.70088357,0.7452953,1.2039024,0.89835835,0.7367914,1.1063918,0.8206487,1.0173753,0.5126101,1.1862451,1.2350291,0.6887296,0.9238296,1.1342485,1.3556812,0.95196617,1.3811733,1.1184283,1.3373412,0.69152296,1.2162348,0.9018222,1.1733989,0.94969684,1.1911216,0.9636796,1.1118177,1.0288701,0.876183,0.59086317,1.0797555,0.9823431,0.96090543,0.39970917,1.3943403,1.0620232,1.3509108,1.4304897,1.1553394,0.67189664,0.691688,0.92995024,0.84104526,0.81757736,0.9703079,0.8825839,0.7663522,0.8368138,0.8091759,1.2851346,0.81643414,0.7459128,1.1475005,0.77540064,0.9985342,1.2041798,1.1876893,1.3294666,1.0867873,1.364805,0.9862203,1.2909896,1.073226,1.1022063,0.7548353,1.1716537,0.68356997,0.9397894,1.0274197,0.830003,0.8109076,0.8214356,1.3026375,1.3965245,1.2514622,0.3885951,0.8723557,1.0063059,1.0304012,1.0597314,0.41190946,1.1246282,0.92918575,1.2411005,1.0149009,0.75203466,1.1753953
balloon,1.3497128,1.0548636,0.36248976,1.4878674,0.26415896,0.0,0.77188915,0.97111297,1.4611909,1.469167,0.68647873,1.3536663,1.4470967,0.9549866,1.3649576,1.2239975,0.89711744,0.55166733,0.7280229,1.2017353,0.86644185,1.1303294,0.76295996,0.92463195,0.8819026,0.78739667,0.6980073,1.402166,1.4272463,1.0932132,0.6178786,1.3349819,1.0610465,1.2843916,0.7871083,1.130643,0.68293357,0.89153206,1.3980733,0.8752705,0.5467385,1.4489315,0.5088315,1.0819377,0.9972248,1.1943573,1.0563486,1.1784425,1.1068711,1.2354305,1.0790868,0.27175164,1.1229199,0.9314164,1.2007897,0.92766726,1.0895199,0.63328356,0.78219134,1.1967336,0.81525075,0.7433314,1.1452677,0.77988017,1.1269851,0.57113373,1.2604074,1.3071584,0.7649933,0.98361,1.2417243,1.4154463,1.0792328,1.4496089,1.0567328,1.4193615,0.54297984,1.1398335,0.99329245,1.1256692,0.9402812,1.2795799,0.92868423,1.0476438,0.96250904,0.8287462,0.5669655,0.992267,0.9050073,0.90492946,0.19131315,1.308922,1.2096549,1.4779434,1.4920229,1.237307,0.61553776,0.64711416,0.8006973,0.87415016,0.7742818,0.9315351,0.8792414,0.7032807,0.82931024,0.67330474,1.4363248,0.74158895,0.71822864,1.1308643,0.8301002,0.9108207,1.3565931,1.2883468,1.424685,1.2361324,1.3742973,0.9864586,1.3330021,0.91935515,1.2554073,0.7521938,1.1976938,0.54851085,0.9379996,0.92294395,0.8226819,0.8707082,0.63644236,1.3917304,1.4766622,1.3689684,0.34061897,0.8752635,0.9317148,1.0731992,1.0399373,0.5037516,1.1751232,0.9684481,1.1098403,1.0101223,0.7322455,1.0229175
banana,1.0662346,0.93695486,0.7648343,1.1853802,0.8926105,0.77188915,0.0,0.87178993,1.3232486,1.2422818,1.103291,1.2707711,1.2142657,0.9008939,1.0115321,1.2496905,0.944456,0.99873435,0.8505282,1.0263051,0.5542523,1.2485853,1.0407736,0.91222584,1.1460829,1.0290265,0.9739696,1.2968719,1.302387,0.71298075,0.9643188,1.3535718,1.155647,1.1729448,0.97206366,1.01835,0.6904516,0.5618882,1.1894044,0.60698956,0.94303274,1.291579,0.948827,0.9800006,0.878828,1.0099334,0.8240838,1.3441614,1.2048272,1.20954,1.0236185,0.7446525,1.211835,1.1001524,1.1796997,0.91732776,1.1223941,0.91562515,0.79431146,0.9732088,0.85531574,0.61426425,1.1377374,1.0488151,0.6755428,0.70121497,1.2630427,0.98657066,0.98304427,1.0416012,1.1809758,1.0732279,0.9858656,1.2713265,1.0953411,1.2543625,1.0781325,1.0111957,0.91421235,0.5336362,1.012089,0.8929609,1.0886643,0.92872405,1.0220206,0.6683897,0.98432875,0.43446553,1.0011309,1.0403277,0.75384974,1.3529131,1.0838519,1.253456,1.2852335,1.1485294,0.9583845,0.9162291,0.5384525,0.8829165,0.9236829,0.6523421,0.9547553,0.8731979,0.8606567,0.96169,1.0791322,0.97041297,1.0122118,1.2483481,0.9435225,0.8131356,1.1400766,1.1392742,1.2887871,0.95947164,1.2403349,1.0663954,1.3075596,1.1981364,1.1325328,0.9225622,1.1601505,0.884233,0.7974001,0.85791075,0.88455963,1.0656747,0.8010175,1.1860538,1.2820535,1.1982073,0.67203474,0.91824955,1.0439599,0.95172226,0.6950388,0.6307827,0.9462723,0.98027706,1.1675044,1.239984,1.017696,1.2965394
basket,1.2359469,1.0509317,0.90884054,1.3841145,0.9730499,0.97111297,0.87178993,0.0,1.148917,1.1866852,0.89629924,0.9744293,1.379509,0.94807297,1.0542852,0.9511687,0.7901589,0.80703086,0.8311912,0.84925836,0.82832134,1.0626758,0.7419697,0.9952293,0.76173043,0.8259791,0.83252096,1.2077616,0.9566004,1.1223574,0.69286716,1.1471343,1.1487492,1.3280503,1.0165911,0.86734307,1.0434492,0.84690756,0.9804801,0.96187854,0.7982316,0.97166723,0.7301984,0.79579514,0.98207825,1.0697689,1.0061967,1.0780104,0.8643511,1.2356324,1.0968874,0.944695,1.1966751,0.98888427,1.2512927,1.0977298,1.0717212,0.82342935,0.6749678,1.137343,0.77513075,0.933766,1.2527057,0.81107056,1.0427338,1.0214466,1.2535102,1.2619765,0.77733725,0.98160684,1.2388405,1.0673332,0.93695915,1.3767748,0.98193705,1.0203764,0.6450891,1.0734904,0.9290304,1.1625849,1.0797812,1.2925589,0.9475503,0.90817165,0.99981606,1.0283343,0.89117074,0.897626,0.9289738,1.010959,0.95697236,1.1456574,0.87842786,1.409346,1.3320118,1.1729832,0.7201877,0.71769655,0.92515665,0.8538322,0.6973205,0.84103453,0.7461767,0.6992477,0.77071863,1.2253977,0.8644944,0.5811842,0.9054785,1.0764005,0.71596307,1.1512628,1.2524853,1.0461336,1.3761557,0.9720856,1.2657238,0.69614655,1.2213323,0.8607122,1.253018,0.74833846,0.98398924,0.7473398,0.950582,1.1541282,0.7762537,1.0982854,0.883557,1.0689725,1.3819935,1.2059609,0.70043623,1.0601696,0.9450115,1.1376988,0.9509161,0.8317143,1.0258918,0.86710584,0.9433038,0.9296236,0.78569806,1.0177028
bathtub,0.6712459,1.1624733,1.5350649,0.5492617,1.4537371,1.4611909,1.3232486,1.148917,0.0,0.31806797,1.278538,0.48017216,0.56231683,1.1070105,0.60841024,0.61508346,1.2131279,1.4259071,1.0206859,0.6441854,1.4429238,0.70863414,1.1064466,1.214548,1.0711193,1.2668756,1.4321585,0.5672465,0.5844366,0.94465727,1.327457,0.4423352,0.8936869,0.66056585,0.8169472,1.0466219,1.2901306,1.1980128,0.5748915,1.4239867,1.5275552,0.35513604,1.3954325,1.0813117,0.96941125,0.8865989,1.100476,0.5795574,0.7090881,0.78182274,1.0159134,1.4704282,0.8197942,1.1360343,0.8286586,1.3200638,0.86642027,1.40276,1.4063549,0.98309124,1.4240499,1.2727922,0.7739289,1.3931582,1.1627506,1.4364568,0.77462125,0.9182127,1.3672696,1.1550535,0.7417762,0.5802923,0.93835217,0.52965885,0.9550322,0.6183257,1.3762534,0.9330348,1.305193,0.81835824,0.8446426,0.719465,1.0991664,1.0353312,1.1805828,1.2348555,1.4168894,1.0693105,1.3274655,1.2281127,1.4481257,0.43520224,0.86682767,0.5018982,0.4523977,0.68249273,1.5351148,1.532142,1.3153028,1.330792,1.3917165,1.3131104,1.2380222,1.0960596,1.2679462,1.0278642,0.6985371,1.3280333,1.3677357,0.7037542,1.3558595,0.8733066,0.6763238,0.87092763,0.5498089,0.9697698,0.6225524,1.1247432,0.29274654,0.6242774,0.64836323,1.447685,0.6538689,1.4122844,1.1814711,0.8505452,1.2362481,0.8721064,1.3955116,0.6874806,0.46121418,0.44034117,1.4397008,1.3417182,1.2318959,1.0597439,1.0001075,1.4152157,0.6469493,1.1824613,0.91771346,1.0325216,1.4673486,0.78177863
bed,0.46415538,1.2046099,1.5160232,0.53042877,1.341831,1.469167,1.2422818,1.1866852,0.31806797,0.0,1.3121419,0.4114772,0.51844454,1.111849,0.25866765,0.7013654,1.0632938,1.4647218,1.1854954,0.66662276,1.4588323,0.80006325,1.2845043,1.2307934,1.2738568,1.2309277,1.5034189,0.46526217,0.5140059,1.0113902,1.3485013,0.49311668,0.8229987,0.6753491,0.93770623,1.0727662,1.313369,1.208917,0.37456948,1.4452631,1.5374794,0.25041902,1.499875,1.195186,1.0112411,0.7094188,0.9316578,0.73039424,0.85005176,0.82135725,0.9669111,1.4858882,0.79266244,1.1495254,0.71387553,1.3056508,0.81164557,1.3669353,1.3795402,1.0247848,1.516897,1.1421791,0.79762894,1.4004811,1.0634847,1.3395022,0.7259829,0.906341,1.2754524,1.0639148,0.6940334,0.48086977,0.9981081,0.48316336,1.1650889,0.52413005,1.4574733,1.0214082,1.2543819,0.745096,0.95178264,0.60904384,1.1845295,0.9508076,1.183711,1.2554997,1.4015796,1.0309305,1.3793393,1.2434709,1.4531151,0.63638467,0.7994201,0.38050568,0.49144626,0.58075255,1.5425874,1.550392,1.3963671,1.3272882,1.3136843,1.32969,1.2490295,1.3006616,1.1944907,1.0168775,0.66345394,1.4180094,1.4088023,0.81434065,1.3134649,0.99546784,0.6204661,0.839188,0.4479847,0.91560924,0.63246906,1.2778488,0.4484458,0.95883393,0.44058597,1.4293121,0.58209854,1.4745059,1.1590718,1.0072547,1.3951415,0.95373833,1.4151477,0.60579693,0.44574332,0.3049786,1.4686267,1.3503821,1.2720953,1.1525258,0.8976747,1.285111,0.75534666,1.1802111,1.0218318,1.131669,1.4950376,0.83641374
belt,1.3591697,0.8580861,0.45047152,1.3709196,0.8687571,0.68647873,1.103291,0.89629924,1.278538,1.3121419,0.0,1.0505925,1.3904638,1.1751479,1.198427,1.0803251,0.983236,0.42505562,1.0288727,1.2064806,0.90716994,1.0219123,0.8129262,0.9726683,0.565208,0.5804422,0.39632094,1.0799726,1.1992395,1.2833447,0.8031962,1.1915896,0.9646755,1.0618163,1.1847436,1.021444,1.1115351,0.96736866,1.2271636,0.9779736,0.21910083,1.3293133,0.5946253,0.9798515,1.2380408,1.3233134,1.3426785,0.9680131,0.92410845,1.2048286,1.0866332,0.7461362,0.9040707,0.88104284,1.1981232,0.76277566,1.2114887,0.4369676,0.88801557,0.8775057,0.7337896,1.1555161,1.4379601,0.44980776,1.1951828,1.0251384,1.1628789,1.2577935,0.6749046,1.050011,1.3357234,1.1722895,1.167744,1.0652213,0.98597276,1.3478329,0.33629107,0.848433,0.9279704,1.3416574,1.2721856,1.4551562,0.7652898,1.036944,0.71461064,1.1757265,0.43647683,0.9105762,0.47892195,0.7930231,0.6345638,0.9869512,1.0041144,1.3803408,1.1458099,1.3580954,0.32256448,0.41859448,0.9287406,1.0045708,0.33848,0.99071753,0.90020084,0.94431394,1.0504246,1.2136693,1.280457,0.5797051,0.62227654,1.1222214,0.9845063,1.3306465,1.4024973,1.3010023,1.2868283,1.1941041,0.9188221,0.9100008,1.2371414,0.6646794,1.3311281,0.39440548,1.017389,0.62967026,0.89361143,1.3407722,1.0046924,1.3574145,0.89056754,1.2130045,1.3342323,1.4491976,0.7815056,0.69998884,0.638296,1.2389674,0.91048074,1.0570161,1.4853656,1.0416402,0.9370103,0.84938484,0.3936149,0.8066058
bench,0.7917571,1.0887648,1.433597,0.77435505,1.3021332,1.3536663,1.2707711,0.9744293,0.48017216,0.4114772,1.0505925,0.0,0.8821402,1.227359,0.6163349,0.5344019,0.92314553,1.2299125,1.0270201,0.34561104,1.4337457,0.67326653,0.86664903,1.2110875,0.8013691,1.0495217,1.2920413,0.7191659,0.3696686,0.940597,1.2917964,0.5905875,0.9580229,0.8666559,0.6537514,0.8998908,1.3494655,1.0258373,0.3011788,1.4446404,1.2565287,0.32092488,1.1781199,1.1196978,0.951241,0.99903166,1.151324,0.61983347,0.34564888,0.9780513,1.1736778,1.4634054,0.91805583,1.2022072,1.0718691,1.311226,0.92588675,1.1712685,1.2668054,1.0581611,1.1508765,1.3275198,1.0548519,1.3491673,1.1358111,1.273114,1.0347427,1.0521675,1.2227137,1.1248817,0.7483212,0.651836,0.9771037,0.69891727,0.84016144,0.53368825,1.0577976,0.9990544,1.1906607,1.052492,0.92185915,0.8610115,0.80260885,1.034018,1.2219301,1.2879553,1.3512394,0.89115626,1.3237027,1.2663524,1.3348476,0.5054171,0.7933489,0.7925387,0.7200834,0.7789604,1.1923597,1.2085714,1.2464812,1.2620819,1.0953864,1.3100917,1.103516,1.1945446,1.2228694,1.0603184,0.6217862,1.0030965,1.3636959,0.6483053,1.2728696,1.0151994,0.880984,0.862424,0.8516589,0.92896795,0.74947953,0.98054606,0.78330076,0.62175477,0.5728387,1.2639943,0.77807355,1.3711605,1.0497578,1.0884523,1.0766846,1.0462943,1.3481646,0.75751084,0.8002632,0.6157419,1.3099806,1.342512,1.3028107,1.0697819,0.8077903,1.2335281,0.87053144,1.0786513,0.84875375,0.74157625,1.4019834,0.7142433
bib,0.6887806,0.88464475,1.3889443,0.3694737,1.3221885,1.4470967,1.2142657,1.379509,0.56231683,0.51844454,1.3904638,0.8821402,0.0,0.9902553,0.6205693,0.91163784,1.2074664,1.4711767,1.2661172,0.9630245,1.2736835,1.0770539,1.322078,1.1988103,1.3482909,1.3551401,1.3592138,0.6603588,0.7786021,0.9847052,1.3685954,0.7557863,0.9341415,0.56125146,1.0862932,1.1031718,1.2157643,1.234975,0.7810941,1.2097882,1.5563056,0.6997663,1.483379,1.1417271,1.0635723,0.775677,0.78297967,0.9168831,1.1945487,0.4053967,0.8987014,1.3403751,0.7389237,1.0044194,0.48778272,1.0633464,0.8870853,1.4484308,1.3907115,0.8801884,1.493925,1.1494939,0.6154581,1.2699015,0.9142874,1.193781,0.5419775,0.6246098,1.2086946,1.137714,0.8286315,0.60728943,0.9013239,0.4510523,1.2035736,0.7266079,1.5431764,0.9553968,1.2185318,0.76143444,0.9472091,0.47255975,1.3022585,1.0446256,1.0470569,1.1349494,1.3527102,1.1201731,1.0653206,1.0069662,1.4170729,0.88166136,0.8839161,0.16524982,0.3927462,0.67182994,1.5997336,1.5723813,1.2703234,1.2127565,1.3489224,1.1905564,1.2881699,1.3021222,1.2625247,0.9945064,0.8143678,1.5367317,1.2712394,0.95493025,1.2533313,0.92050815,0.45857137,0.93414545,0.19863057,0.91538525,0.48499286,1.3748069,0.60397935,1.2157325,0.7184012,1.4120575,0.84815145,1.4720055,1.0564245,0.91801274,1.3576229,0.91441005,1.2971344,0.6629017,0.247522,0.5628977,1.4848188,1.1114618,1.074514,0.9639898,1.0271645,1.3124499,0.8062204,1.1165042,0.99714255,1.2943282,1.3340113,1.0314233
bird,0.7997896,1.0382392,1.0325819,1.0617626,0.9476013,0.9549866,0.9008939,0.94807297,1.1070105,1.111849,1.1751479,1.227359,0.9902553,0.0,1.0997233,1.122054,1.1374004,1.1040848,1.1317859,1.2000749,0.92051005,1.0903635,1.1504543,0.86451304,1.1475825,1.0134088,1.1225942,0.7194019,1.1458575,1.0558614,0.971425,1.0754962,1.0384738,1.1465449,1.0618951,1.115604,0.9785979,1.0717065,1.1255431,0.9969578,1.1106102,1.1043521,1.1173525,0.9201023,1.0521711,0.6250413,0.8235588,1.206697,1.24977,1.0238147,0.88144225,0.9497883,0.9400657,0.86432266,0.88149154,1.079802,0.9896296,0.9198786,0.983478,1.0940188,1.0232757,0.664346,0.96061873,0.94190055,0.79589,0.9837339,0.95167583,1.014458,0.8180263,0.908489,0.9771265,1.0454688,1.0241209,1.0132545,1.0802978,1.0582858,1.1497405,0.95751137,1.0470401,0.760486,1.1649592,0.88153964,1.1454315,0.9486097,0.91206205,0.93902034,1.0292667,1.1068094,1.0863639,0.8610736,1.0702507,1.1157235,1.0495619,0.9977161,1.0700084,1.0832047,1.091649,1.1151516,1.0681802,0.8949169,1.1211438,1.0233421,1.053388,1.0127412,0.76440936,1.0063516,0.97520214,1.0830175,0.9326974,1.1785438,0.7626389,1.1076013,0.9848635,0.853137,0.9735971,0.9625513,1.0654047,1.053961,1.0652577,1.2128912,1.0261598,0.9554325,1.0706513,1.0693452,0.94005203,1.0767535,1.0326729,0.8624928,0.9821381,0.9243992,1.0366842,1.0658735,0.9199157,1.0310396,0.98938715,0.9814683,1.1357503,0.8957782,1.0499117,1.0519309,1.0230472,1.1145508,1.0561609,1.148732
blanket,0.5382417,1.027015,1.377632,0.6214971,1.2621537,1.3649576,1.0115321,1.0542852,0.60841024,0.25866765,1.198427,0.6163349,0.6205693,1.0997233,0.0,0.8548895,1.0374066,1.3848667,1.1714517,0.83875644,1.2320828,1.0045792,1.2598511,1.2054917,1.2354085,1.1685472,1.3475974,0.5904055,0.72019464,1.0420994,1.2534597,0.792917,0.8675844,0.6884077,1.0268291,1.0787321,1.174005,1.0565872,0.5187515,1.2584696,1.3841522,0.5300291,1.4067613,1.1543303,1.0233262,0.73175985,0.84484273,0.99453694,1.0372835,0.8051153,1.0398649,1.3785112,0.8803799,1.1265836,0.89666516,1.1979057,0.8632288,1.1935422,1.2206444,1.0066075,1.291786,1.0238502,0.9206718,1.3118773,0.85371995,1.218035,0.9540951,0.8735976,1.2348496,0.9659066,0.87577236,0.4984358,1.0535923,0.5514455,1.1922414,0.8152542,1.319444,0.90897775,1.051682,0.815861,0.9892008,0.57995665,1.1922363,0.9252208,1.2017142,1.0970165,1.3098946,0.705099,1.1675447,1.2469778,1.3029814,0.8363528,0.76299024,0.47039545,0.55250764,0.7300955,1.3409969,1.3317208,1.3111408,1.2547767,1.014911,1.1411656,1.2340537,1.2443055,1.0850407,1.0054997,0.66154385,1.3085296,1.3311406,1.0532718,1.1729895,1.0143375,0.7407596,0.9727517,0.61816907,0.9080645,0.6666007,1.2596567,0.7760991,1.067122,0.6541321,1.2805506,0.6635053,1.3833447,0.9560952,1.023743,1.2725854,1.0386722,1.2821858,0.7630391,0.60454655,0.6310074,1.3347044,1.2749649,1.1947539,1.1931541,0.5922126,1.1824954,0.8822756,1.0845447,1.0229788,1.2311409,1.3897263,0.9551531
