,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2255745,1.3938336,1.1700268,0.67454195,1.1118296,1.3205707,1.0927373,1.0706394,0.72367924,0.7133989,0.5965663,1.3389069,0.8275355,0.6801036,0.62545264,0.5976716,0.90363634,0.75087976,1.4556226,1.1483548,0.8308911,1.1626716,1.2171314,1.142216,1.5178037,0.98282766,1.3270738,0.9029439,0.85315406,1.342141,1.1877468,0.8589841,1.1469047,1.1784556,0.9339459,1.2511647,0.77715766,1.0133777,1.4932413,0.6769534,1.3973722,0.8986906,0.3592925,0.7876561,0.98571384,0.93218,0.817453,1.1208011,1.370723,0.8050121,1.3228235,0.7005508,1.1932698,1.1895694,0.79062045,1.3788292,0.52685046,0.81361985,1.4906023,0.805101,1.2303472,0.8473971,0.82197726,0.8567796,1.3373275,0.74863183,0.72571635,0.73079354,1.1381665,0.7444906,1.3910089,0.76138794,1.4506077,1.3507509,0.52217495,0.85343426,0.98988354,0.48882264,1.3047502,0.99697334,1.1915687,0.9905531,1.4617628,1.0213099,1.4107729,1.2342031,1.323303,0.84141564,0.96543115,0.6214197,0.80890995,0.5786285,1.4123112,1.4304605,1.4700733,0.7385597,1.2568064,0.94286805,1.044695,1.1506826,0.810395,1.3498135,0.6886413,1.3602693,1.3684988,0.9393513,0.8899429,0.82052267,1.03524,0.7548038,0.94687223,0.91195333,1.0661209,0.83990455,0.9043375,0.6353052,1.2652345,0.8184306,1.4861746,0.8043357,0.9148308,1.3962169,0.868196,1.2325019,0.79718167,0.69847775,0.54257494,1.252723,1.3598933,1.4339918,1.0834562,0.89682895,0.98812246,0.6973388,0.8310262,0.9531491,1.2684057,1.3999474,1.0124152
ankle,1.2255745,0.0,0.84456587,0.90833896,0.75193644,0.97774404,0.9726088,0.8837414,1.2211213,1.2342898,1.2111548,1.167798,0.9898824,1.1353872,0.96947217,1.181774,1.1261288,1.1051533,1.2523477,1.0644999,1.1399431,1.1847358,1.0318848,0.98936844,1.0896349,0.7099533,1.1264161,0.87976974,1.0305294,1.0183171,1.0377754,1.2118645,1.251585,0.88536906,1.0717003,1.0566344,1.0527112,1.0646505,1.1504831,0.921414,1.2439408,1.0530251,1.0803076,1.1352085,1.0227093,1.1983315,1.1009302,0.989242,0.61202013,0.6772021,1.0939467,0.44567227,1.183891,1.0709361,1.195837,0.6290059,0.98356783,1.2691147,1.2837522,0.7581006,0.67007303,1.041482,1.0055413,1.0013552,0.7721529,0.7837466,1.1285572,1.1121956,0.98749906,0.9873652,0.80277973,0.9103332,1.2091643,0.93262976,0.66279185,1.2690761,1.1654296,1.0731353,0.91107285,1.0066918,1.0422076,0.7819843,1.092007,0.8255361,0.89040285,0.5552839,0.66851515,0.97428787,1.1782426,1.2040806,1.0222175,0.7408688,1.2533005,0.9655599,0.9787162,0.8538915,1.0841835,0.7028418,1.1954246,1.1718768,1.1648841,1.1620517,0.9005606,1.0348121,0.79467714,0.7219111,1.2431551,0.96573794,0.71697,1.0712215,0.9484674,0.7400979,0.57129043,1.0662568,1.188434,1.1781121,1.2115253,0.5129968,1.1722918,0.9011419,0.5781493,1.1716244,0.94988954,1.1982772,1.0217208,1.0263885,1.0044513,1.2947335,1.0297586,0.43727565,0.78648365,0.96594095,1.0121704,1.1266931,1.2926128,1.2250051,1.0801655,1.0266194,0.6268824,1.1927013
apple,1.3938336,0.84456587,0.0,0.6930912,1.3607507,0.31461334,0.2905022,0.5594335,1.243231,1.3916942,1.1075797,1.5183616,0.7205471,1.41694,1.3855569,1.1508324,1.4604875,1.2611814,1.1973855,0.57217735,0.7215936,1.3193128,0.59938467,1.18235,1.0341386,0.85597837,1.1770527,0.45900035,1.2843134,1.4505749,0.6265707,0.9055906,1.4199333,1.1882166,0.80487,1.259064,0.5514744,1.410037,0.90996253,0.47342205,1.5802082,0.632289,0.9475442,1.3752791,1.0800438,1.4266886,1.2736542,1.3717666,0.92654914,0.23526073,1.1812193,0.6243546,1.3379254,0.6976386,0.7611048,1.2326698,0.8481453,0.91822255,1.3340225,0.54850876,1.1413897,0.453637,1.2004052,1.0210401,1.1358511,0.62683237,1.1904948,1.4180976,1.4085253,1.059955,1.3361698,0.8028985,1.4397247,0.6719134,0.95440024,1.2711446,0.7596879,1.1465096,1.289623,0.9677914,0.9654639,0.72562647,0.8752734,0.37490052,1.110957,0.7117065,0.73164773,0.27487934,1.5228393,0.8756822,1.411411,1.3495166,1.3402362,0.630101,0.5965072,0.15416062,1.1412581,0.7016275,0.902415,0.939041,0.78756344,1.0185087,0.69893825,1.356602,0.7966679,0.6287492,1.4583819,1.1899955,1.2728035,1.0007701,1.3682492,1.1280849,1.2496474,1.1319759,1.3430367,1.2214668,1.4187614,0.77187586,1.2487272,0.41764367,1.2577864,0.9966384,0.7684397,1.1232729,0.41065717,1.3187275,1.3556552,1.4293815,0.4399649,0.5847511,0.4901091,1.1104866,1.2963443,0.5919381,1.229237,1.1879532,1.1142727,1.1460874,0.6208831,1.2865005
applesauce,1.1700268,0.90833896,0.6930912,0.0,1.1738472,0.7500239,0.7596886,0.56418747,0.98752713,1.1228573,1.1358119,1.3214068,1.2037098,1.1989844,1.1156212,1.0430659,1.2184687,1.2023175,1.0987253,1.0469309,0.6114819,1.0273634,0.6080867,1.1228687,0.78070253,1.0378343,1.1511916,0.83253825,1.3152931,1.1538866,0.7550702,1.0220106,1.2319008,1.0547966,0.65523744,1.0720065,0.7071881,1.1753317,0.6446945,1.1134233,1.2612711,0.7761897,0.64363176,1.0670738,0.84823775,1.3060527,1.0953796,0.99727595,0.82207376,0.5804288,1.1189394,0.828203,1.2836921,1.0542051,0.8759873,0.9699458,1.0687236,0.86106503,0.97142094,1.1474864,0.8919795,0.70081586,1.1558863,0.8728723,0.84203714,1.0997195,1.1044478,1.1732813,1.2698209,0.73613834,1.2686844,1.1740661,1.198913,1.0425783,1.0689348,0.9625834,0.4612937,0.8624069,0.89675057,1.0646809,1.2273515,0.93134654,0.609159,1.0324278,1.0381944,1.0055819,0.8486714,0.6033012,1.3626602,0.98345435,1.1793418,1.2544744,1.1818068,1.1903429,1.1703986,0.6746799,1.0050104,1.0263677,0.78248477,0.9363532,0.79191273,1.0207045,0.920179,1.0757383,1.0578846,0.7613467,1.2603037,0.94091994,1.112851,0.90545684,1.2463014,0.9708029,1.2002887,0.9923942,1.3415389,1.0693041,1.3770539,0.9739808,1.2462007,0.75152224,0.9378598,0.73499787,1.005333,0.88517094,0.9482208,1.0781533,1.2567316,1.1785746,0.558478,0.8227632,1.0056182,0.94229317,1.0724499,0.6989312,0.95896244,1.210016,1.0189716,1.1899846,1.0455344,1.2299622
arm,0.67454195,0.75193644,1.3607507,1.1738472,0.0,1.3176945,1.4988905,1.1020987,1.182093,0.70577383,0.9883875,0.57531995,1.3426259,0.8107311,0.3970189,1.0570042,0.6782478,1.0264275,1.0769571,1.4821954,1.3564688,0.90968895,1.2667265,1.0627755,1.2457998,1.2789153,1.1321334,1.3161638,0.77535045,0.77618897,1.406095,1.3383483,0.7803104,0.96709234,1.2278172,0.809674,1.4291047,0.73621607,1.1082562,1.4734676,0.64209163,1.4594646,1.1506913,0.7610762,1.1243181,0.81685495,0.9388049,0.7564488,0.93165404,1.3095438,0.77296424,0.9143677,0.8231621,1.382663,1.4131786,0.55945826,1.4009285,1.151222,0.71318793,1.3558502,0.6919206,1.3453186,0.7124324,0.99434245,0.42257702,1.3661319,1.0798613,0.55372965,0.5249163,1.1582872,0.35081732,1.3357582,0.727951,1.4633352,0.89952874,0.8716039,0.97987765,1.0142947,0.38845456,1.3051887,0.95738363,1.0788807,1.1829612,1.3491654,1.0048964,1.168861,1.0733563,1.388396,0.6440517,1.285666,0.37281275,0.36497128,0.7404423,1.428695,1.42812,1.4401283,1.0605332,1.3257215,1.3084464,1.2178693,1.301972,1.2692136,1.3092641,0.76065964,1.3720398,1.169663,0.8062499,1.0541428,0.34565145,1.1980244,0.38022566,0.9413079,0.33243424,1.1921074,0.63240254,0.8903296,0.58025306,1.1358724,0.8150321,1.4899622,0.45665717,0.9729217,1.4353435,0.96684206,1.3493351,0.98691714,0.4205997,0.52961373,1.4813883,1.0078291,1.2793107,0.8462258,1.0025727,1.4107736,0.810499,0.9182588,1.1443759,1.1669644,1.1890757,0.9705454
ball,1.1118296,0.97774404,0.31461334,0.7500239,1.3176945,0.0,0.2699517,0.80969316,1.1716133,1.2953024,0.9676515,1.3561007,0.91249734,1.2944969,1.3233676,1.029866,1.3088748,1.0713103,0.998337,0.7252915,0.6612013,1.1662862,0.73538136,1.2123592,0.8883893,1.0390973,1.0914278,0.7670292,1.2849219,1.3166468,0.80397844,0.82741946,1.3377111,1.2772241,0.72391886,1.1336011,0.68311673,1.2872609,1.0134308,0.7586479,1.4336028,0.66885847,0.6864748,1.161012,0.92806536,1.3875189,1.2100478,1.3084126,1.0494149,0.34501052,1.1501428,0.8687318,1.1144714,0.85105383,0.81208825,1.2469771,0.9400678,0.7329752,1.2241256,0.8554668,1.1246142,0.52573895,1.2163934,1.1333834,1.1713132,0.74085295,1.1377424,1.222719,1.3427744,0.9941752,1.2709389,0.9627273,1.2929275,0.77540046,1.1649576,1.125629,0.79452986,1.0607126,1.1336446,0.9460649,0.8799811,0.84663546,0.9320687,0.6685568,1.1475275,0.9693633,0.8994751,0.37306577,1.4281619,0.76418275,1.2745367,1.322039,1.1636803,0.8483454,0.8477229,0.542323,1.0648787,0.84858036,0.9764869,0.92280024,0.83775234,0.93110955,0.8228861,1.215205,0.9221477,0.8243091,1.3396988,1.2727365,1.268349,0.8953466,1.3315482,1.0812727,1.301369,1.0438234,1.2539628,1.1898608,1.2500596,0.9519399,1.1641206,0.7173277,1.2033514,1.057514,0.8547346,0.8335779,0.61871547,1.1822729,1.2709951,1.195856,0.38546634,0.8671116,0.7813355,1.0559182,1.2570956,0.35711086,1.1185815,1.1193734,1.0334857,1.1195344,0.8772603,1.2384956
balloon,1.3205707,0.9726088,0.2905022,0.7596886,1.4988905,0.2699517,0.0,0.876895,1.1465263,1.3504516,1.0855184,1.4890736,0.5733306,1.3062851,1.5019586,1.132411,1.4029455,1.1413561,1.074663,0.5213925,0.60669696,1.2395514,0.7475134,1.062115,0.8005938,0.7826813,1.1057549,0.55664665,1.2367641,1.3546543,0.57375574,0.63982195,1.354909,1.1364402,0.60404253,1.1967039,0.6911222,1.3425598,1.0321269,0.50846434,1.556572,0.5117359,0.789495,1.3299336,1.0370853,1.309714,1.1898625,1.3416092,1.0446548,0.34850252,1.2467918,0.8634646,1.2846158,0.5943463,0.75218666,1.3691126,0.69936365,0.8911197,1.360458,0.63470244,1.193599,0.5329113,1.2897528,1.1956058,1.3191767,0.5144637,1.0876008,1.3630099,1.4329116,1.0117822,1.3979697,0.7402435,1.4158033,0.44668496,0.9834884,1.2781774,0.9108425,1.0612737,1.3856213,0.6783295,0.9680628,0.86053383,0.9294289,0.51759005,1.0225369,0.80847484,0.896866,0.24405801,1.417903,0.73845947,1.4975898,1.4284487,1.2896408,0.596455,0.6117672,0.41156638,1.0703585,0.5926411,1.0453087,0.9125829,0.6977906,0.91559416,0.79575264,1.3741727,0.75784314,0.82549906,1.2917681,1.1760733,1.4286275,0.9303696,1.4544322,1.1545985,1.3661613,0.91769254,1.3424855,1.1079051,1.3913361,0.87703687,1.2240542,0.46215224,1.2932913,1.0963038,0.6203977,1.0581541,0.55201447,1.2885641,1.4179413,1.4133046,0.3722999,0.8261088,0.64120114,1.0627128,1.169307,0.5374109,1.2776263,1.1689957,1.0751489,0.9302347,0.77519864,1.0622029
banana,1.0927373,0.8837414,0.5594335,0.56418747,1.1020987,0.80969316,0.876895,0.0,1.0770807,1.2334579,1.0903857,1.3366232,1.1193345,1.3525368,1.0836108,1.0066996,1.2141652,1.1431096,1.0800169,0.9762514,0.91457415,1.1562176,0.6692482,1.1935583,1.1161296,1.0597752,1.0713781,0.63597506,1.2778113,1.3276503,0.88982433,1.1255716,1.330217,1.1165657,1.0653107,1.0224879,0.75647163,1.3136206,0.78301334,0.8788676,1.3415608,0.9902837,0.9749726,1.1499205,0.8860618,1.3574896,1.2244372,1.054174,0.89944714,0.7334902,1.0865374,0.7874237,1.1224651,1.0403807,0.82576275,1.0097641,1.0574006,0.6752174,1.1033697,0.9308818,0.7383255,0.633009,1.1525667,0.63991326,0.9159089,0.9869066,1.0835696,1.1816847,1.2140553,1.0310063,1.1468253,1.0666606,1.2793622,1.099719,0.99568874,1.1557364,0.4999181,1.1443398,0.9309349,1.1641064,0.96129775,0.8944551,0.8056589,0.89854777,1.0391995,0.81521857,0.8410776,0.7767397,1.3725414,0.9511646,1.0783111,1.1496224,1.1211174,0.9797755,0.9324426,0.5095682,1.0716764,0.9029111,0.6990359,0.95689905,0.9581691,1.0288546,0.911782,1.1395218,0.9536913,0.76424366,1.342917,1.0570656,0.8952917,0.7510727,1.1238751,1.0156258,1.099838,1.0781949,1.2358823,1.2521367,1.2429503,0.8943274,1.1891279,0.64594924,0.9266576,0.9086421,1.0314548,0.9795668,0.7922466,1.0358753,1.1789871,1.2123845,0.67214954,0.81505984,0.84879696,0.95881766,1.13537,0.64277524,1.0363429,1.1792344,0.93528455,1.2442671,0.7999736,1.3155398
basket,1.0706394,1.2211213,1.243231,0.98752713,1.182093,1.1716133,1.1465263,1.0770807,0.0,0.83391654,1.0977101,0.85367966,1.0837425,0.63810265,1.2026231,0.99996257,0.847997,0.9054824,0.79423827,0.9783745,0.72383165,0.59197146,1.0148468,0.8521236,0.7944298,0.9501617,0.9224049,1.1617304,1.137173,0.739148,0.9637142,0.8510072,0.8923988,1.1009016,0.8846585,0.5876757,0.9946568,0.85086536,0.9357191,1.0618575,0.61296237,0.8412153,0.89196575,1.0404986,1.0651793,0.9207696,0.58353114,1.0129243,1.263716,1.2566168,1.1888744,1.29901,0.9267607,1.1025223,0.83060193,1.1228275,0.73174435,1.0934035,0.8833186,1.1488405,1.0722296,1.0791239,1.1579771,1.0644827,1.2225356,1.1712677,1.1428187,1.0110974,1.205543,0.825174,1.2838707,0.8923493,0.74691427,0.874491,1.149665,1.0285103,0.9866862,0.8709644,1.1925074,0.96346164,1.0452797,1.1544306,0.9640739,1.2132114,0.8067889,1.1552535,1.2965325,1.0826514,0.8746402,1.0230352,1.2090563,1.2674081,0.8594166,1.032913,1.016452,1.1799843,0.97370297,1.0503885,0.93215406,0.8472821,0.80380213,0.9660464,0.9746003,0.80584025,0.7967321,1.1602166,0.8660269,1.0389706,1.189481,0.8653556,1.2498803,0.9009603,1.2909104,0.6424218,0.99649453,0.8007426,0.90266275,1.0351307,0.9202708,1.0343008,1.0820826,0.88875926,0.8499997,0.9226083,1.1261345,0.8710848,1.2359586,0.9331929,0.8889369,1.3107035,1.1986967,1.0474997,0.6894026,0.9751364,0.86031246,1.0160432,0.86737233,0.8691584,1.15325,0.93127054
bathtub,0.72367924,1.2342898,1.3916942,1.1228573,0.70577383,1.2953024,1.3504516,1.2334579,0.83391654,0.0,0.90869266,0.5492437,1.2608957,0.5768018,0.77994376,0.91670483,0.64931846,0.7393844,0.9229882,1.4509265,0.8803767,0.64140046,1.13781,1.0160141,1.0766314,1.4424872,0.9991121,1.4122839,0.7542988,0.822015,1.1660094,1.0823779,0.56477207,1.1279941,0.9582595,0.97414994,1.2490629,0.79141587,1.0022528,1.4540508,0.57287335,1.3018042,0.74818933,0.89961475,1.2164614,0.5363918,0.6409097,0.84966105,1.2562773,1.3787543,0.9359881,1.3184125,0.85005325,1.2648021,1.1607399,0.99577,1.2082845,1.0715845,0.5459714,1.4307646,1.2242268,1.3456545,0.9772123,1.0668961,0.90996724,1.5476383,0.9723493,0.5486678,0.864947,1.1178272,0.79582846,1.1745555,0.7322565,1.2085603,1.1323692,0.783121,0.8983832,0.88758236,0.87533545,1.1318703,1.0928861,1.2501295,0.99515027,1.437476,0.90780866,1.3904419,1.289373,1.2868531,0.4327991,1.2093003,0.78994274,0.80394644,0.64707685,1.3368657,1.3578111,1.4034796,1.0231948,1.4162177,1.1198113,1.0527302,0.68873376,1.1768379,1.3367158,0.85663396,1.2825527,1.3517188,0.4771729,1.1532769,0.91048914,1.1689765,0.79606265,1.1344272,0.86488473,1.0191976,0.4864812,0.20118773,0.45046598,1.4023061,0.45601887,1.3410032,0.98332816,0.590726,1.2441483,0.9457114,1.2459016,1.0443759,0.79445285,0.43535352,1.2381138,1.3915182,1.3628422,1.0221388,0.9236558,1.3328711,0.4298514,0.7541415,1.1546202,1.1081138,1.4561632,0.75206465
bear,0.7133989,1.2111548,1.1075797,1.1358119,0.9883875,0.9676515,1.0855184,1.0903857,1.0977101,0.90869266,0.0,0.8390829,1.091525,1.0743694,0.86415935,0.9071095,0.9058559,0.76679593,1.0215936,1.182542,1.1299523,1.1404009,1.0443428,1.194212,1.1573166,1.2628622,0.6996493,1.1733377,0.6664148,0.9950013,1.1259227,1.1196451,0.90276396,1.1131358,1.0366498,0.9885626,1.0462887,0.9599587,1.0390401,1.2192408,0.8746618,1.2124933,1.0046016,0.7220698,0.9562365,0.9172597,1.1507677,1.1388632,1.1892059,1.1578012,0.8983486,1.220441,0.8328908,0.8775679,1.1320064,1.0332754,1.2568334,0.74945563,0.78775764,1.2110672,1.0874316,1.0064344,0.9010282,0.95903766,1.0888314,1.0844797,0.8115401,0.9762073,0.8723881,1.0631378,0.80499035,1.226229,0.91855276,1.2118516,1.2187139,0.7299586,0.8648245,1.0240201,0.84946686,1.1875597,0.8884624,1.1583618,0.9387576,1.1669962,1.1839949,1.3142412,1.177836,1.1382146,0.8858504,0.8614577,0.8105072,0.8733573,0.9557188,1.1780021,1.186767,1.1053168,1.0359077,1.15098,0.8581201,1.0920012,1.1570477,1.0547665,1.0933036,0.98081666,1.0907191,1.2059737,0.95007724,1.0453922,1.0586368,1.1161922,0.8420941,1.0345523,0.96744657,1.1585877,0.78300565,1.0063884,0.90538645,1.1775858,0.75288737,1.1149154,1.0237334,0.98619276,1.2604321,0.9066072,1.0739679,0.8746405,0.8160171,0.7905061,1.1103334,1.2090725,1.2004302,1.1302538,1.0648657,0.94417423,0.96482164,0.6745942,0.9384738,1.1943341,1.2289989,0.8972342
bed,0.5965663,1.167798,1.5183616,1.3214068,0.57531995,1.3561007,1.4890736,1.3366232,0.85367966,0.5492437,0.8390829,0.0,1.2782441,0.42115337,0.591217,1.0114276,0.17044777,0.93705946,0.8501828,1.4560788,1.2264788,0.59650844,1.3766661,0.98112696,1.1410408,1.3156812,0.9534192,1.4827403,0.7627913,0.4556707,1.3442006,1.2581954,0.4444452,0.9636768,1.1589727,0.92637134,1.4510715,0.22504693,1.1931167,1.5321103,0.16677892,1.4048785,1.0354365,0.5917995,0.9706217,0.5775084,0.63529134,0.70714617,1.2312243,1.5056812,0.8406298,1.374464,0.73771083,1.3151186,1.2778345,0.8264068,1.4171875,1.073563,0.74385476,1.4594449,0.8995023,1.4657884,0.83674574,1.1060529,0.9465784,1.3982539,1.0576558,0.6682291,0.4941854,1.0407646,0.5198188,1.350889,0.42427987,1.3749928,1.1946642,0.797516,1.0506878,0.9795155,0.6700483,1.24771,0.9862681,1.27316,1.2190163,1.4816039,0.82453555,1.4699824,1.284214,1.4764435,0.50887495,1.1570003,0.48087013,0.59077424,0.633318,1.4454123,1.4424889,1.5306964,1.07474,1.239531,1.1965234,1.0878764,1.2129867,1.1446496,1.3890302,0.59624875,1.2700136,1.4414572,0.5696289,1.1201599,0.8057853,1.3226289,0.6033019,0.9698182,0.70765024,1.172895,0.5377793,0.7868835,0.46233737,1.2819523,0.7378436,1.4954581,0.77019197,0.9687872,1.457283,1.0022473,1.3992531,0.7543929,0.5199103,0.37984908,1.4268758,1.4054956,1.4835961,1.156199,0.59558177,1.2693334,0.72561944,0.7585536,0.9801584,1.0530806,1.4614419,0.7330606
belt,1.3389069,0.9898824,0.7205471,1.2037098,1.3426259,0.91249734,0.5733306,1.1193345,1.0837425,1.2608957,1.091525,1.2782441,0.0,1.0478264,1.3833125,1.10913,1.2355425,1.0962789,1.1041639,0.44400668,0.9190501,1.1607373,1.064064,0.80838275,0.94764256,0.56426156,0.9870049,0.68553466,0.85931605,1.2628723,0.68231535,0.6107642,1.1645659,0.87354445,0.8394407,1.1595398,0.9298431,1.1792248,1.1734505,0.30809534,1.347239,0.64352983,1.2022778,1.3017006,1.1794294,1.0315228,1.0433824,1.214582,1.0655863,0.88795173,1.1726269,0.9526831,1.2075795,0.47028667,0.87179637,1.2924322,0.49175155,1.2241641,1.3832746,0.40270746,1.1891681,0.95069605,1.1778715,1.2454535,1.3398528,0.44342196,1.025856,1.3372989,1.2553153,1.0792505,1.274786,0.43122864,1.3137048,0.46735662,0.7808608,1.3776461,1.3367463,1.1304088,1.4849638,0.5999342,0.9834381,0.92904186,1.1809182,0.504879,0.8438105,0.6145028,0.97562236,0.7847533,1.1335506,0.96060526,1.3737128,1.2364424,1.2164079,0.35882574,0.3696549,0.5794336,1.0979359,0.45770514,1.1864628,0.9649578,0.81483394,0.9875219,0.83359003,1.3021414,0.7586316,0.94751143,1.0916189,1.0882276,1.3576117,1.0469208,1.2925731,1.1336716,1.0991919,0.9634045,1.1552811,0.9455235,1.2604821,0.73865116,1.0899757,0.48018587,1.2137755,1.2135783,0.50127536,1.295332,0.83965886,1.2408224,1.2979023,1.3575237,0.81700826,0.87096876,0.5749509,1.1107184,0.9980386,0.99151665,1.31127,1.0359647,1.1106651,0.74559534,0.6127068,0.8723804
bench,0.8275355,1.1353872,1.41694,1.1989844,0.8107311,1.2944969,1.3062851,1.3525368,0.63810265,0.5768018,1.0743694,0.42115337,1.0478264,0.0,0.9664738,1.0069126,0.5621418,0.87501526,0.7973605,1.2633054,1.0299697,0.17425883,1.3164535,0.69377154,0.9511455,1.014536,0.9104816,1.336992,0.9202279,0.46621788,1.1224084,1.1485713,0.5708797,0.93300647,0.9601528,0.8292803,1.3580198,0.36547458,1.1721966,1.269724,0.39718628,1.144348,0.9124212,0.8568835,1.1363342,0.5803573,0.11387223,0.8119129,1.2380493,1.4428279,1.0992674,1.333671,0.886664,1.1995052,1.1762986,0.9806711,1.0187013,1.2275598,0.9757975,1.2835418,0.9996778,1.3920944,1.0744843,1.2219434,1.0859929,1.314232,1.1361239,0.7646798,0.87293506,0.92632556,0.85486877,0.9519844,0.49182057,1.0743037,0.98077023,0.9815516,1.1315138,0.9105332,0.92377865,0.9141123,1.1416653,1.2545948,1.1592603,1.3990387,0.71751857,1.3105973,1.2846615,1.321681,0.5508629,1.2325324,0.935721,0.8585342,0.7180907,1.1652107,1.1779604,1.3943913,0.9813289,1.0792816,1.2592123,1.0128326,1.0279576,1.1037117,1.3121336,0.7017627,1.0604563,1.31723,0.5396265,1.0549316,1.0455813,1.1844707,0.9558742,0.9917137,0.86395323,0.9301717,0.76360404,0.6857978,0.59687495,1.1338233,0.84117496,1.1429565,0.8522625,0.9990145,1.0951113,1.075464,1.3269641,0.8724295,0.92437756,0.7082199,1.2387244,1.3675473,1.3837917,1.0903655,0.65103036,1.1875544,0.8474774,0.9881088,0.92893606,0.7860244,1.3740603,0.7267307
bib,0.6801036,0.96947217,1.3855569,1.1156212,0.3970189,1.3233676,1.5019586,1.0836108,1.2026231,0.77994376,0.86415935,0.591217,1.3833125,0.9664738,0.0,1.0344406,0.63425386,0.9754928,1.0557494,1.4824839,1.357107,0.9978641,1.2510448,1.199988,1.2166525,1.3376598,1.0573351,1.3838277,0.7586683,0.8316597,1.4077927,1.3075013,0.78233397,0.7472857,1.2324964,0.97964174,1.4064124,0.8135909,1.0776608,1.601104,0.6169331,1.4765633,1.1316587,0.68374234,0.89300704,0.86216563,1.1154712,0.48537064,0.83409727,1.2752608,0.4934615,1.1083109,0.7644844,1.4167974,1.3986328,0.7592113,1.5746956,1.0237551,0.57361037,1.4074578,0.81245625,1.280507,0.4371506,0.8798046,0.6032414,1.2874185,0.93418914,0.68693095,0.28900534,1.049137,0.39029992,1.5780535,0.7204429,1.5553709,1.0655547,0.6794974,0.8296163,0.9125587,0.37961733,1.4551308,1.0022624,1.0835683,1.1147206,1.3927727,1.1411188,1.2359384,1.0154564,1.3972952,0.70763636,1.210543,0.1471324,0.39805716,0.7230026,1.585117,1.5712103,1.4428072,1.1424536,1.4445245,1.097856,1.2580886,1.3169463,1.241671,1.3660972,0.6697433,1.469395,1.1462493,0.83974004,0.9019159,0.42173302,1.3021557,0.16222632,0.99472564,0.45648324,1.3105307,0.67396533,1.0103655,0.67899984,1.2944087,0.8445252,1.5497197,0.6291864,0.9071573,1.6043601,0.9049201,1.3712596,0.81470454,0.19236869,0.49934906,1.4754616,1.17366,1.3579371,0.9287518,1.0106561,1.330796,0.7650748,0.87589395,1.065859,1.326791,1.2870139,1.025796
bird,0.62545264,1.181774,1.1508324,1.0430659,1.0570042,1.029866,1.132411,1.0066996,0.99996257,0.91670483,0.9071095,1.0114276,1.10913,1.0069126,1.0344406,0.0,0.97818464,0.95904404,0.85297894,1.239815,1.1759903,0.983158,0.9853559,1.0399349,1.1962302,1.2634134,0.98717976,1.0888802,0.9927628,1.0514988,1.0699627,1.0316528,0.98799944,1.089225,0.98497957,0.82119626,0.9765334,1.0551732,0.9281285,1.1156752,1.026135,1.294783,0.96373904,0.79325074,0.8863956,1.0499866,1.0007905,0.9955542,1.0111483,1.1512339,0.9714116,1.1564687,0.9367547,0.9139464,0.9400173,0.9167856,0.99363285,0.666224,1.0103809,1.1704981,1.013355,1.0076056,0.9620595,0.89106923,1.0475053,1.2140107,0.7152703,0.8974886,1.0144153,1.1388636,1.0406111,1.0390912,1.0290158,1.1164031,1.2171626,0.7738867,0.9811115,1.0795443,0.92762077,1.0661976,1.004852,1.0351083,0.90563315,1.2258165,1.0413193,1.0405054,1.08985,1.1379253,1.0558541,0.9132416,1.0534704,1.0496933,0.83622646,1.0826175,1.0874352,1.1440806,0.75888807,1.1626766,0.79321885,0.965357,1.1123444,0.7804487,1.0693702,0.89338565,1.2111022,1.1536325,1.1076058,0.74709105,0.97958916,0.76847947,1.0283856,0.9149309,1.0661238,0.98176163,1.0282617,1.067383,1.010738,1.0678211,0.91151375,1.1629293,1.0164077,0.9698664,1.0128863,0.8455964,0.91091675,0.8628924,1.034475,1.020058,1.1248958,1.167306,1.1234787,1.0328315,1.0346029,1.0177636,0.9485456,0.9783448,0.9621116,1.082085,1.0744741,1.071401
