,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.1722325,1.1722171,0.9661931,1.138439,1.1864494,0.99600613,1.096792,1.0047016,0.83999854,0.79902107,1.1798499,0.87257385,0.8644371,0.66847986,0.6224839,1.0080136,1.0862142,1.231746,1.280486,1.0605353,1.1512489,1.1118269,1.1860981,0.6427902,1.2430596,1.2393488,1.0886062,0.5765633,1.0754513,1.1722487,0.95928293,0.8973876,0.9547037,1.1777805,0.83289135,0.8742632,1.2562943,0.9503305,1.3465679,0.9200992,1.1355191,0.63518757,0.6295901,1.0413463,1.0450214,0.91716486,0.6637524,1.1118207,1.1882242,0.7689559,0.94968003,1.2920713,0.37910974,1.131299,1.3102791,0.3532709,1.0170369,1.245029,0.95036834,0.969079,1.1542009,0.9301998,1.0459387,1.113136,1.2149814,0.73473895,0.87907374,1.1631199,0.80160093,1.2473136,0.9672046,1.2472545,0.8469438,0.9162364,1.047868,1.1518714,0.45509076,1.0402797,1.0258268,1.3269411,1.1018459,1.2361596,1.2954607,1.1202137,0.97048074,0.8874612,0.82483816,0.82288104,1.2538683,1.2646234,1.1344,0.8536075,1.0224513,0.9422646,1.3043768,0.6999704,1.1900637,0.96385264,1.2343491,1.0281798,0.8461147,0.91342723,1.1754862,0.73773646,1.0071179,0.90078765,0.92954904,0.9322281,0.8873703,1.1160252,0.8943301,1.2474824,0.8604842,1.0649064,0.847033,1.0982558,1.3537011,0.999009,1.1609691,1.2135271,0.98100114,0.873528,0.96752113,1.2228436,1.2419766,1.1722362,0.94504803,0.878209,0.9457332,1.110361,0.9257517,1.2040126,0.99657893,1.3500552,1.019945,0.987736
ankle,1.1722325,0.0,0.7356831,0.9801513,1.1005282,0.89719033,1.0538461,1.2980776,1.2965348,1.1690665,1.3074017,0.7331534,1.2637507,1.1592765,1.2103494,1.2765121,1.189331,1.2239236,0.94520915,1.0332807,1.385744,0.61361307,0.95562017,1.0130656,1.008688,0.97552204,1.0327501,0.75370187,1.146986,1.0315405,0.85969555,1.1564484,1.1591623,1.2226106,0.87112737,1.2621912,0.8760803,0.662006,1.3609337,0.8636205,0.8546119,1.0980681,0.90959036,1.0837808,1.0120217,1.1711972,0.9329657,1.2340012,0.62245506,0.8993362,1.198992,1.0925072,0.2970363,1.0684749,1.0759147,0.91309553,1.2105575,1.122926,0.48664808,0.8239658,1.1580371,1.0585488,0.91993964,0.81729317,0.73053634,0.6636843,1.12285,0.9987699,1.1513473,0.9104277,0.8060106,1.0915498,0.9350039,0.9002764,1.2438993,1.0706114,1.2094201,1.0994978,0.9773696,0.95732534,0.63321286,0.82792264,0.29048997,0.7292268,1.1649823,0.9033319,0.8211518,0.85076535,1.2809741,0.6805214,0.65790874,0.87713516,1.0256087,1.0905113,1.1085423,1.0392947,1.1400658,0.9072583,1.2214307,0.9740511,1.1919577,1.1982094,0.95088977,0.7521887,0.8345287,1.2275511,1.0832982,1.0151832,0.81373215,1.0767254,1.1843207,1.4168389,0.50956035,1.222532,0.69964504,0.83936054,0.7985581,0.85429716,1.1969068,1.0036573,0.7987658,1.139071,1.0512313,1.3360385,1.1131189,0.4501363,0.7906507,1.0311708,1.039229,1.2703116,1.1361253,1.1730405,1.1026539,1.0804243,0.5186565,1.1405896,1.0626532
apple,1.1722171,0.7356831,0.0,1.4097116,0.669954,0.5577618,0.6790507,0.9665184,1.4610353,1.1433055,1.5264623,0.5755171,1.460852,1.4674858,0.9342892,1.4613144,0.87977517,1.0291153,0.62610745,0.59622514,1.2572018,0.604977,0.8480292,0.83352345,0.91694677,0.71585476,0.58313835,1.1504668,1.183893,1.0584936,0.6672645,1.3360977,1.1863811,1.1867902,0.76604056,1.475977,1.1000667,0.3937536,1.4999082,0.60207784,0.8382679,1.0931959,0.87080723,1.1794347,1.2940334,1.2693014,1.3322077,1.2183218,0.80857277,0.6420055,1.3239093,1.2353809,0.70832765,0.8323892,0.7650913,0.51273596,0.85778177,1.0311009,0.7997393,1.2307438,1.1251335,0.8449394,1.2521586,0.9162786,1.1907481,0.62017816,0.99038404,1.0335494,1.0395495,1.3005714,0.625777,1.2645898,0.810886,1.2367461,1.3160579,0.5567245,1.1025765,1.2755992,0.8374218,1.017322,0.6552998,0.681816,0.65834844,0.2613492,1.1149147,1.1533089,1.327911,1.1977484,1.438294,0.48768073,0.46828365,0.573112,1.0884064,1.0260047,0.82408744,0.7415201,0.96607697,0.8742816,1.1147335,0.5770734,1.3425975,1.2762501,0.7346934,0.5562917,1.1166408,1.1391455,1.394928,1.0507118,1.1622449,1.4007832,1.1985427,1.419778,0.54580855,1.3007734,0.50386494,1.1535711,0.5291716,0.47968352,1.2473685,0.9224262,0.6861707,1.1003298,1.2991211,1.4419651,0.80123246,0.793478,0.61797786,1.2951813,0.9320307,0.8370296,1.031952,1.0680403,0.75171936,1.1303735,0.62433106,1.3589237,1.1385498
arm,0.9661931,0.9801513,1.4097116,0.0,1.303211,1.3447146,1.1117551,1.1290923,0.6138275,0.97214884,0.39105767,1.3591733,0.5541486,0.43071783,1.1882606,0.620409,0.9996305,1.0928322,1.3854885,1.4395967,0.9640361,1.1754704,1.2834193,1.40253,1.2365389,1.3907993,1.4448674,0.75648963,0.860866,0.9913864,1.4201152,0.8111933,1.0029767,0.82899404,1.2346774,0.38966715,0.82868886,1.4300811,0.66933364,1.449379,1.2932422,1.1317021,1.0895522,0.90420055,0.9015726,0.83129513,0.602268,0.87199736,1.0508432,1.23656,0.7129782,0.7114122,0.9180174,1.117684,1.3597665,1.4431281,1.1977444,0.8490137,1.1492373,0.5670208,0.88709354,1.2658228,0.63023466,1.1241746,0.56832045,1.4224873,1.1886314,1.1516428,1.1982101,0.5213531,1.2932318,0.843866,1.4068391,0.608771,0.855365,1.2871108,1.1224307,0.77153087,1.25795,0.8717211,1.2057602,1.4275315,1.1655449,1.3767486,1.0253493,0.9803046,0.49952233,0.6569978,0.67497045,1.3984951,1.384512,1.2525877,0.9756342,1.0970858,1.2319547,1.3955091,1.1465268,1.1156323,1.0630606,1.3867459,0.81473225,0.7926588,1.3918765,1.2994156,0.77573645,0.9467551,0.3754729,1.0640883,0.6629214,0.7169119,0.90707433,0.70156413,1.2793406,0.82521623,1.2747884,0.6485584,1.2551992,1.4768631,0.72065955,1.2264621,1.2891369,1.1188047,0.5497732,0.61733717,1.3234292,0.9907765,1.3566883,0.65264267,1.2878695,1.2901418,1.1341208,0.8984184,1.325027,1.003884,1.1577764,0.75478697,0.7276467
ball,1.138439,1.1005282,0.669954,1.303211,0.0,0.29851174,0.9537693,0.99452364,1.2978022,1.1047565,1.2908609,0.9310857,1.3461626,1.2084333,0.9994336,1.2418885,1.0533339,0.941987,0.7326478,0.75218946,0.95431304,0.7816468,0.95535254,0.78747976,0.90012836,0.86257684,0.8102623,1.1955347,1.2144493,1.1092633,0.671096,1.3188673,0.7661522,1.1999981,0.71596414,1.3115919,1.2780206,0.7774458,1.2507031,0.7162107,1.0383744,0.69489133,1.062868,0.94390184,1.2473989,1.1240321,1.213001,1.1369902,0.9407098,0.2389642,1.3879678,1.1331145,0.95996404,0.9023731,0.8601228,0.8054626,0.76083225,1.0092368,1.0163281,1.1259823,1.1473004,0.55151486,1.22746,1.0743852,1.1395946,0.736277,0.97744435,1.0396792,0.8374821,1.4462695,0.9380596,1.3511237,0.7552625,1.3678802,1.0444854,0.82847524,0.80037886,0.99046546,0.91795504,0.9806965,0.7184597,0.91308826,1.0199167,0.5160637,1.2532152,1.0529721,1.2700124,1.3979383,1.0970218,0.88708735,0.8637817,0.66385335,1.142758,1.0221624,0.9483586,0.75291836,1.0118936,0.91297895,1.0608715,0.8145045,1.3470528,1.1736912,0.7962499,0.8615148,1.2236321,1.0458717,1.3090903,1.1070361,1.3333061,1.3066427,1.2029818,1.0183638,0.88912493,1.1655353,0.5568116,1.0317212,0.86381114,0.7941958,1.175648,0.8388045,0.64568853,1.0863876,1.3244104,1.2247691,0.53370684,0.93525225,0.62486064,1.2216549,1.002627,0.5450491,0.9592709,1.1283127,0.8352968,1.1193577,0.86247295,1.2764837,1.0845871
balloon,1.1864494,0.89719033,0.5577618,1.3447146,0.29851174,0.0,0.9501554,1.0999703,1.3599224,1.1887778,1.4649723,0.77346045,1.5058221,1.3588117,1.0610391,1.3693889,0.9886058,1.0192434,0.6764482,0.7068317,1.1799659,0.63725543,0.8319278,0.7324499,0.82261646,0.73732436,0.7530144,1.1497732,1.3428688,1.1458448,0.607432,1.3729093,0.9273478,1.2398628,0.59944755,1.4620662,1.2846382,0.60014045,1.4442738,0.6049921,0.9415028,0.7419615,1.1175421,1.1229227,1.2286142,1.145072,1.2568839,1.2702839,0.93762565,0.26715696,1.4425843,1.1818326,0.7566097,0.76388675,0.72234195,0.6230026,0.79658794,1.0056579,0.91842353,1.1491387,1.2593062,0.51769423,1.3063265,1.0175725,1.0996637,0.64999145,0.98292685,1.0260338,0.86284477,1.5018163,0.67155117,1.4038364,0.569766,1.3575362,1.173904,0.797224,0.8344027,1.0717107,0.95362145,0.90603584,0.64210415,0.741979,0.8067333,0.40881658,1.2031466,1.0669258,1.3760445,1.4552106,1.2211735,0.68847483,0.6653237,0.65199506,1.1592882,1.0750843,0.9064329,0.6806678,1.0051405,0.89725983,1.1099182,0.7696599,1.390225,1.2593181,0.72580826,0.7103857,1.2065912,1.0159814,1.4154972,1.0810155,1.3710905,1.342855,1.11035,1.234385,0.73533034,1.1933222,0.4864515,1.0292033,0.7564771,0.5791638,1.1852064,0.720755,0.66819674,1.1768595,1.4070673,1.3776897,0.4706645,0.79591656,0.4774055,1.1574731,0.93175715,0.6897207,0.9180025,1.1536523,0.8777354,1.1337078,0.6827863,1.3080107,1.1681082
banana,0.99600613,1.0538461,0.6790507,1.1117551,0.9537693,0.9501554,0.0,0.52156943,1.1475863,1.1756505,1.1705043,1.13183,1.1348774,1.1021067,1.0464889,1.1276875,1.0614682,0.9638168,1.0557876,0.6273067,1.0107826,0.8516499,0.9728972,0.9576743,1.0284666,0.87951964,1.0681,1.0555689,1.0678899,1.0366471,1.0790501,1.1590469,1.0280616,1.1004846,0.88674384,1.154041,0.9678082,1.0162446,1.0631597,1.0460976,1.019998,0.8803607,1.1098154,0.9486461,1.142292,1.0739164,1.1230054,1.0168915,1.1251656,1.0078135,1.145737,1.0360578,1.0583396,0.9865984,0.9417268,0.95671916,0.9016853,0.6071634,1.1107659,0.9920675,1.107577,0.86480343,1.1163898,1.0133646,0.98942673,1.0629163,1.0540549,1.0072563,0.9321477,1.1305662,0.9240887,0.9706659,1.0981554,1.072511,1.0414325,0.29261434,1.0148714,0.85274804,0.91973805,0.94009775,1.1408786,0.98539007,1.13838,0.75584996,1.0707546,1.1469103,1.0970905,1.1196896,1.0586362,1.042198,1.0409849,0.7333204,1.1106125,0.8641841,0.90160763,0.8055789,1.0142642,0.70139277,0.93974674,1.0189449,1.0741614,1.1970094,1.0087174,0.84038407,1.0813593,0.8123352,1.1079257,0.9500492,1.1386591,0.96556956,1.0713214,1.0644195,1.1105316,1.137832,0.8573336,1.0407076,0.76609933,0.94301134,1.0232314,0.93082297,1.1465719,1.0290419,1.1517028,0.93681866,0.9571889,1.0480231,1.0686682,0.822544,1.0300691,0.8144785,0.91243976,1.0006344,0.9935391,0.9777059,1.1052957,1.1410962,1.0629885
basket,1.096792,1.2980776,0.9665184,1.1290923,0.99452364,1.0999703,0.52156943,0.0,0.7816179,1.1145324,0.9704023,1.2538493,0.79082173,1.0752697,1.1499938,0.8681717,0.9258107,0.8915346,1.2132845,0.5316855,0.6984376,1.2270596,0.9318032,0.81533194,1.1921289,0.7733586,1.0305394,1.0539665,1.0666308,0.7400524,1.1886666,0.9365225,0.8913684,0.8728247,1.1162332,1.0137105,0.8746366,1.2733738,0.48747474,1.1506896,1.0523914,0.8446249,1.2475291,1.1078688,1.0588484,0.85601765,1.0793263,0.9796119,1.3097291,1.1745999,0.9777604,1.0697826,1.3589458,1.1776237,0.9717346,0.9954144,1.0699089,0.5274251,1.3093339,1.0820718,0.9954123,0.963042,1.2154642,1.0966873,1.1351962,1.1424869,1.1163695,1.0543742,0.8390176,1.1765276,1.0994653,0.78386015,1.014049,1.1274519,0.8525877,0.4164152,0.9336404,0.9617169,0.9282279,1.0022218,1.3633792,1.1011446,1.3971658,0.97713786,0.8392266,1.074815,1.1125927,1.1999555,1.053945,1.2117568,1.2300165,0.79814994,0.93389595,0.794868,0.91320366,0.7437419,1.1062692,0.6015535,0.7510662,1.0712222,0.8260902,1.0505391,1.168453,0.955874,1.0661833,0.73065877,1.1070912,0.83150864,1.1625617,0.8846831,0.85775,0.8088063,1.3364882,0.88671505,1.201254,1.0210916,0.9639761,1.0348912,0.86050814,1.0577395,1.219265,0.8818361,1.101486,0.6831107,0.83281577,1.353565,1.3282775,0.98750204,0.9552856,0.8659713,0.7481413,0.94782895,0.9311007,0.9074265,1.2740986,0.9761254,1.0129676
bathtub,1.0047016,1.2965348,1.4610353,0.6138275,1.2978022,1.3599224,1.1475863,0.7816179,0.0,0.8378349,0.42512047,1.36376,0.4168867,0.6835898,1.1144706,0.6451764,0.6519944,1.1325336,1.4510843,1.1224746,0.68638694,1.4357048,1.2075244,1.2338665,1.193437,1.2362933,1.3056428,0.9403616,0.8846008,0.813758,1.4506853,0.6357062,0.85967124,0.73293173,1.2987759,0.49911177,0.887786,1.5397207,0.34645593,1.3828455,1.244714,0.9069623,1.246519,1.0709863,0.62532073,0.3899126,0.87998074,0.87476707,1.1870775,1.2731718,0.54774565,0.8717526,1.3694543,1.1378336,1.2702484,1.3679376,1.213766,0.843202,1.3094989,0.9647193,0.7451902,1.328922,0.83149064,1.152252,0.9943134,1.4503305,1.154029,1.2072347,1.082921,0.71601224,1.2832205,0.58821464,1.1128856,0.8402387,0.7318197,1.1209021,1.104178,1.0310751,1.2227595,1.0541716,1.3528092,1.4320389,1.4031826,1.4650345,0.6830753,1.0412071,0.8669648,0.821311,0.71497524,1.4298162,1.4674779,1.1395255,1.0612199,1.0540466,1.2067758,1.0393298,1.1042907,1.0969547,0.9973439,1.3965056,0.54524285,0.68837655,1.427396,1.2550824,1.0281118,0.83805037,0.6657846,0.95701253,0.9400455,0.6761958,0.29091096,0.4140668,1.4615973,0.612404,1.3824949,0.970907,1.221256,1.3688262,0.5218298,1.1966028,1.3546451,1.0524908,0.6661488,0.39823663,1.0470287,1.3915817,1.4588509,0.7462088,1.2874868,1.260076,0.9737318,0.847728,1.2836167,1.0055645,1.4649405,0.6019081,0.7653712
bear,0.83999854,1.1690665,1.1433055,0.97214884,1.1047565,1.1887778,1.1756505,1.1145324,0.8378349,0.0,0.8442041,0.90880156,0.97171545,0.9040878,0.9110426,0.8059409,0.9151129,1.0952051,1.0496504,1.1449704,0.9937078,1.0267824,1.1182721,1.2282009,1.0519159,1.2107028,1.0972712,1.1644071,0.8839065,1.2190156,1.0223444,0.88930845,1.061177,0.7776704,1.0239336,0.9225174,0.8574087,1.050852,0.98367697,1.072935,0.98528445,1.1206819,0.89169586,0.9717982,1.0645099,1.0107166,1.0616151,1.0577252,1.0178041,1.1081727,0.754409,0.94012904,1.1077662,0.92500275,1.1205924,1.1555994,0.93670887,1.2030907,0.99941444,1.0380132,0.936599,1.0686654,0.86971503,0.9686909,1.0617892,1.0581769,0.96016043,1.0911614,1.1153369,0.8585832,1.1386092,1.0666463,1.1122367,1.0123733,0.8904462,1.1582706,1.0717399,1.055403,1.0343136,1.0498258,0.95457226,1.0705069,0.98412824,1.1992309,1.0149899,0.8133457,1.0048543,0.88522744,0.9195778,1.0563736,1.0429407,1.2218692,1.0612487,1.0610379,1.113733,1.2103688,1.0179911,1.2326286,1.0900433,1.0821091,1.0309453,0.75999784,1.0647141,1.1490008,0.99279773,1.0935507,0.91729516,1.0757848,0.99068105,1.0821937,0.9236326,0.85103214,0.9928452,0.71491194,1.1428428,1.0406508,1.1397159,1.1409547,0.94955385,1.0887253,0.9474266,1.136024,0.8222877,0.99127877,1.1588172,1.0986118,1.0057951,0.9901546,1.0281223,1.0930123,1.2063359,0.9206484,1.1380148,1.235409,1.0714605,0.94338083,0.79300493
bed,0.79902107,1.3074017,1.5264623,0.39105767,1.2908609,1.4649723,1.1705043,0.9704023,0.42512047,0.8442041,0.0,1.4300945,0.21221602,0.41206074,1.080937,0.32233727,0.85766214,0.9309367,1.4218402,1.4350832,0.66449726,1.3953614,1.3516548,1.4109684,1.1903647,1.4377388,1.428658,0.95081115,0.78236884,0.7405041,1.4697832,0.7453445,0.9088653,0.78189546,1.316078,0.07276857,0.8779477,1.5466795,0.35943347,1.5232253,1.3040967,1.1598349,1.0969402,0.82008165,0.8556552,0.7743482,0.7396425,0.8096835,1.1477705,1.3195729,0.46420014,0.73439324,1.3195554,1.0996393,1.3699024,1.5372329,1.0466659,0.94523686,1.2838919,0.84324133,0.6992474,1.3103659,0.6783222,1.1458359,0.9274971,1.4903085,1.1255844,1.1534646,1.2024999,0.6112855,1.5257627,0.70492554,1.4107713,0.7899048,0.6334133,1.3165411,1.1353682,0.8694239,1.2609746,1.0657983,1.3187368,1.4948545,1.405053,1.5454892,0.9750595,0.8939316,0.60125613,0.72623104,0.5043699,1.5051575,1.5192084,1.3942972,0.7816632,1.0160248,1.1911428,1.3605778,1.0759085,1.2172592,0.9792102,1.4337492,0.7109101,0.5709986,1.4486904,1.4084287,0.76019347,0.990022,0.41005504,1.0640866,0.8487275,0.75328195,0.86656773,0.43994236,1.4544896,0.5486131,1.4094179,0.88763404,1.3598952,1.6060021,0.6590882,1.3517188,1.3139057,0.97276247,0.4988138,0.31959468,1.2932827,1.324548,1.4454083,0.82467943,1.208708,1.169688,0.9906451,0.86234206,1.2830249,1.00189,1.4423552,0.60666764,0.7014366
belt,1.1798499,0.7331534,0.5755171,1.3591733,0.9310857,0.77346045,1.13183,1.2538493,1.36376,0.90880156,1.4300945,0.0,1.408381,1.4194419,0.95710975,1.3130949,0.945946,0.96305716,0.42003036,0.8706117,1.2084776,0.83596647,0.660174,0.7576878,0.8818229,0.7157907,0.5344121,1.1419472,1.2255638,1.0909928,0.44332278,1.1831694,1.2560076,1.0833228,0.9036821,1.3821883,1.1612636,0.2289567,1.5018784,0.42802262,0.8175868,1.3097882,0.865196,1.3171303,1.0571023,1.2122,1.3176479,1.3093541,0.7964183,0.92146385,1.2039926,1.325128,0.68705744,0.9324607,0.74687415,0.45609444,1.0688477,1.4624782,0.708748,1.2150794,1.2296879,1.0459659,1.2677982,0.93806434,1.241791,0.5366221,0.8879374,0.9114002,1.0770617,1.2198303,0.49841046,1.2588195,0.5541655,1.1096994,1.201766,1.0309299,1.0585502,1.3845375,0.96672356,1.2340719,0.45122027,0.51795465,0.4760381,0.7172836,0.88103426,1.0371097,1.3368161,1.0788767,1.3672881,0.23022997,0.25606376,0.9664727,0.8789492,1.0870404,0.9298073,0.9055347,0.9421749,1.0036567,1.0290821,0.44255888,1.2664254,1.245454,0.6698159,0.7533448,1.0702686,1.2282958,1.3724267,1.0335782,1.0751143,1.3708644,1.0491171,1.450296,0.27383578,1.1763829,0.9192148,1.213429,0.9043413,0.45719033,1.3580353,0.7385467,0.4379136,1.0973436,1.166629,1.5554904,0.98234385,0.74165547,0.54746944,1.2868941,0.7060803,1.0011964,1.2167578,1.1394185,0.8029755,0.99536014,0.40393198,1.2204076,1.0762216
bench,0.87257385,1.2637507,1.460852,0.5541486,1.3461626,1.5058221,1.1348774,0.79082173,0.4168867,0.97171545,0.21221602,1.408381,0.0,0.5933175,1.1031127,0.48668057,0.82850224,0.8662586,1.4847475,1.3304814,0.57933706,1.4292573,1.1715302,1.3034303,1.2234067,1.2523879,1.3388761,0.8571753,0.8039601,0.38612974,1.5189583,0.65916216,0.800318,0.7934488,1.3702487,0.24094653,0.7710874,1.507485,0.18170404,1.5391781,1.2239176,1.1418924,1.0800505,0.8837969,0.7920735,0.5914108,0.754002,0.76150286,1.1802741,1.3885142,0.53195006,0.8584949,1.3280367,1.132981,1.3447393,1.4215777,1.1390592,0.9082571,1.3171706,0.8699296,0.69748974,1.3308666,0.8408675,1.1103959,0.94188243,1.466775,1.133032,1.1686708,1.1995648,0.6072149,1.3772881,0.4547565,1.3409588,0.7802994,0.7630703,1.1873167,1.1519582,0.9080587,1.1282154,1.1015108,1.4397438,1.4434645,1.3985986,1.5248328,0.7895355,1.0256282,0.64528555,0.7343984,0.66321224,1.3915551,1.4256294,1.2761772,0.7414482,1.0285516,1.1248387,1.2318647,1.0719817,1.0711423,0.8792616,1.3832595,0.6031147,0.6447303,1.4561081,1.3684653,0.8178808,0.8953204,0.58998346,0.91870034,0.8179302,0.7080016,0.7846534,0.5042349,1.4529524,0.72992194,1.4672115,0.91241944,1.3315172,1.4850576,0.6949853,1.3190768,1.3899248,0.87005615,0.6918516,0.2994827,1.2618804,1.3443327,1.5381604,0.83899474,1.2046258,1.1335995,0.8779381,0.8748088,1.1871748,0.86199343,1.4559982,0.640049,0.86413926
bib,0.8644371,1.1592765,1.4674858,0.43071783,1.2084333,1.3588117,1.1021067,1.0752697,0.6835898,0.9040878,0.41206074,1.4194419,0.5933175,0.0,1.130551,0.5905451,0.99213773,0.86428213,1.4526248,1.4434221,0.79942584,1.2161463,1.3736936,1.3589051,1.1404657,1.4428012,1.4378898,0.9558026,0.93368673,1.097251,1.4044827,0.82949984,1.0043843,0.8687712,1.1975645,0.48653245,0.9251695,1.5345924,0.6386525,1.5585525,1.3355656,1.0763234,1.1708446,0.64494973,1.0206271,0.8528688,0.48005748,0.9068709,1.0858829,1.1855038,0.72061753,0.57483506,1.1274037,1.071659,1.3557764,1.4659284,0.9880318,0.83693826,1.0927947,0.5940111,0.89698744,1.1003243,0.6435669,0.9928993,0.7125727,1.395659,1.049248,1.0674279,1.1853675,0.5940404,1.4686981,0.94451183,1.4572608,0.8349017,0.704614,1.2511271,1.1364145,0.72469723,1.1522535,0.9625139,1.3071101,1.4210405,1.1766157,1.4312947,1.1600485,0.90688336,0.41515303,0.6772239,0.3642701,1.5277158,1.5270572,1.3087206,0.9445433,0.9290763,1.2631007,1.335613,1.0388374,1.149442,0.829715,1.4080296,0.92335737,0.76622117,1.4455144,1.4401174,0.7625943,0.9048153,0.29159665,0.99614364,0.7345965,0.80212146,0.9631617,0.578508,1.3946431,0.7559774,1.3284345,0.6902793,1.3079453,1.5222971,0.73745704,1.3089547,1.3244907,0.9956427,0.49997735,0.58316684,1.2445797,1.1934065,1.3317133,0.6884157,1.2495104,1.1063123,1.0842043,0.92264175,1.267379,1.1665013,1.2911594,0.86429924,0.7201709
bird,0.66847986,1.2103494,0.9342892,1.1882606,0.9994336,1.0610391,1.0464889,1.1499938,1.1144706,0.9110426,1.080937,0.95710975,1.1031127,1.130551,0.0,1.0085117,0.8189631,1.0087789,0.74350595,1.0353593,1.1268013,1.0612047,1.0528646,1.0105182,0.7530164,1.0254096,0.7284826,1.1320119,0.6374927,1.1376762,0.9192911,1.0487761,1.1426449,1.1040074,1.0614164,1.0811249,1.015847,0.9264853,1.1039631,0.87391615,0.783651,1.1826957,0.5746654,0.90095985,1.110199,1.133811,1.1155983,0.5852543,1.0498892,1.0318742,1.0538305,0.9955919,1.221338,0.7283605,0.7550987,0.9778932,0.74437433,1.1637423,1.1106842,1.187773,0.88513196,1.0928578,1.0643594,1.009269,1.2484611,0.95000356,0.8246026,0.9849213,1.0434647,1.0958077,1.0485188,1.0328864,1.0001878,1.0642374,1.0907154,1.1369568,1.0320606,0.9060214,0.87012434,0.9364627,0.9556782,0.85655177,1.1252272,1.0484266,1.0747826,1.0159502,1.0858195,1.1295474,1.0121071,0.9916091,0.9822404,1.135689,0.965918,0.95666,0.7584112,1.0774359,0.7926983,1.2434179,1.0971184,0.7440841,1.0873368,1.0135673,0.59993213,1.052832,0.9912796,1.1159911,1.0907434,1.1340625,1.1376626,1.0707484,1.0854527,1.1016219,0.9891351,0.99013525,0.95547456,1.1398152,1.0127882,0.95378196,1.0672069,0.96680886,0.9078269,0.9421701,1.1580449,1.1100304,1.1212467,1.1566976,0.89706945,1.1507266,0.8948028,1.003329,1.067876,0.9238109,0.76914185,1.0169313,1.1063702,1.0622014,1.153029
blanket,0.6224839,1.2765121,1.4613144,0.620409,1.2418885,1.3693889,1.1276875,0.8681717,0.6451764,0.8059409,0.32233727,1.3130949,0.48668057,0.5905451,1.0085117,0.0,0.93769354,1.0495987,1.3950444,1.3226336,0.96691227,1.3420495,1.26659,1.251753,1.1798879,1.3251488,1.3189349,1.0768622,0.8023179,0.87827396,1.3975466,0.81660426,0.8687,0.8595849,1.2737255,0.3698358,0.84087574,1.4872122,0.5667361,1.4815235,1.2088561,1.0800937,1.0774914,0.8703333,1.0094172,0.89005387,0.7747191,0.86832196,1.2182857,1.3021481,0.5211053,0.87364525,1.2956426,0.93067455,1.3262165,1.3835199,0.8920464,0.98324394,1.2741644,0.8104508,0.89589125,1.2471268,0.857218,1.1099029,0.94992995,1.3746746,1.135256,0.92280215,1.2047496,0.7046801,1.3929764,0.8702405,1.3380132,0.85868704,0.5950944,1.1655205,1.0968648,0.6961814,1.1758984,1.0332882,1.3556278,1.1348186,1.3418164,1.4837863,1.050334,0.7913286,0.6597687,0.7404822,0.7198547,1.4609923,1.4542043,1.2490351,0.4810021,1.0238228,1.1614642,1.3162024,1.0937201,1.0552572,0.8524021,1.3754833,0.9083425,0.57851624,1.3608537,1.3917978,0.5112875,0.94792473,0.628618,0.97299343,0.8405905,0.81764805,0.9601454,0.6496546,1.4224443,0.56620944,1.3659948,0.73861873,1.3163439,1.457739,0.7922679,1.2728097,1.3164847,0.90821874,0.48846078,0.6638162,1.2003272,1.3090519,1.3539608,0.8664963,0.67042065,1.1162925,1.0693855,0.9188094,1.233178,1.1127493,1.4072186,0.8094245,0.721172
