,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.1719993,1.3637843,0.9446888,0.819408,0.9886632,1.1051955,1.2002187,0.924156,0.88308716,1.07449,0.72247523,1.4604166,0.82174826,0.77643,0.6215172,0.71916735,0.81438816,0.8337017,1.3693883,1.3934599,0.76433396,1.351305,1.062145,1.1448302,1.4019225,1.3282466,1.1162031,1.1077352,1.0031335,1.1270689,1.3661996,0.8360314,0.86057305,0.83810526,0.91696006,1.2348123,1.1676788,0.71506035,1.20404,1.4404238,0.8261835,1.4428995,1.1192404,0.9983487,0.538324,0.70433736,0.9404439,1.0519842,0.7737393,1.2685729,1.3913579,0.9326472,0.8752929,1.2689865,0.7733603,1.0824394,0.93749887,0.67709637,1.3963361,0.5282107,0.93028134,0.83050644,1.3681666,0.83947396,0.8294511,1.0250884,0.77949667,1.2756919,0.9916744,1.2560711,0.9205972,0.7108033,0.87821656,0.87197536,1.1893206,0.7491016,1.4099449,0.96292317,1.1093184,0.8970483,0.8883477,1.1363903,0.48190922,0.9063543,1.0944512,1.1624488,1.4588673,1.218594,1.353524,1.3849185,1.1626619,0.8270176,0.6408066,0.8123386,0.69872826,0.9597125,1.4301909,1.4407579,1.1645921,0.8562584,1.010458,1.3182247,0.8928329,1.3088311,0.72194594,1.1438887,1.1144555,0.7649581,1.4741943,1.1150591,1.0088704,0.95427346,0.63463867,0.74369097,0.91567904,0.66490203,0.8441483,1.0070391,1.1035322,0.88996166,1.0655867,0.6737711,1.4544222,0.8804245,1.3057778,0.8664145,0.8973712,1.3611736,0.63446504,1.3256733,0.77620155,0.708749,0.7854748,1.2193158,1.305341,1.0916166,1.0023628,1.2268502,0.92551845,0.8596119,0.8038672,0.9016008,1.1605767,1.4893408,0.8989735
ankle,1.1719993,0.0,0.8743067,0.910559,0.79007816,1.0653211,0.9599817,0.9953119,1.1211889,1.082859,0.8854832,1.1502988,0.8350416,1.1676313,1.0548288,0.9969076,1.0779606,1.1890776,1.1880496,0.9084564,1.0539993,1.2437047,1.0243403,0.9122079,0.8723706,0.73789424,1.137027,0.85732603,1.0370852,1.0390266,1.109325,0.9814885,1.2176323,0.9047973,1.2970586,1.1593724,1.0812898,1.1141059,1.1166621,1.1118059,0.93063587,1.1982529,0.8702868,0.82874256,1.1524323,1.0658385,0.93351066,1.0584145,1.0042737,1.0724612,0.6767526,0.81663084,0.95328087,1.0405049,0.49156612,1.3370248,1.0026714,1.1064435,0.47955996,0.9079963,1.1829712,1.1496114,1.1607834,0.70556474,0.55006075,1.1805891,1.014104,0.97557324,1.0715587,0.6394846,0.6617841,1.1146889,1.2097925,1.0909925,0.9837225,0.9246062,0.86053705,0.9032052,1.1073023,1.0924793,0.7384583,0.7575569,1.0038294,0.8456418,1.2125818,0.92496985,1.073209,0.85911596,0.7515027,0.69488513,0.92927456,0.9801072,1.1056665,1.1812598,0.8797709,1.172171,1.1910304,0.8097055,0.8180295,1.0236391,1.0483928,0.7569246,1.0604221,1.1179693,1.1711664,1.0962354,0.93689317,0.81145215,1.077595,0.8578033,0.9353551,1.0865417,1.2037989,1.0903828,0.88278997,1.0251492,1.0366285,0.73968947,0.6775905,0.9962681,1.1308078,1.1382296,1.2649213,0.73101044,1.153377,0.9062815,0.36715424,1.0158585,0.8864417,1.0703881,0.9734201,1.1799444,1.1251976,1.3210713,1.0113922,0.28124577,0.79448926,0.87914133,0.74210113,1.1989558,1.2997586,1.2843663,1.0920177,0.9825395,0.76978457,1.1470139
apple,1.3637843,0.8743067,0.0,0.87994665,1.1775486,0.6604494,0.5196786,0.48906243,1.1517068,1.3186862,1.0625798,1.4965606,0.75728524,1.5001408,1.2178216,1.1682494,1.4399719,1.2367189,1.0768627,0.60920846,0.6305618,1.3906786,0.48075926,1.0576429,0.91290706,0.90505797,0.8809427,0.81031144,1.1562608,1.3336878,0.761924,0.5927083,1.327439,1.2189168,1.2666837,1.3428518,0.7023602,0.75718665,1.5000854,0.7626816,0.511084,1.4326134,0.5662353,0.89717805,0.7432809,1.1752279,0.87582606,1.4300146,1.2759216,1.2947754,0.76359475,0.36039174,1.1535962,1.1064732,0.73716193,1.2478368,0.6582415,1.0407923,1.044797,0.6091592,0.8904292,1.1928015,1.2032114,0.6573938,0.8443454,1.2456988,0.69431245,1.265536,0.4954055,1.0244495,0.5811695,1.1803504,1.3070624,1.3740898,1.2363827,0.82790077,1.360032,0.7738659,1.3699088,1.0904671,1.2677516,0.9722279,0.55304015,1.0490284,1.3140078,1.0149804,0.6720331,0.5055516,0.6247114,0.6361799,0.38214213,1.2441199,0.9692667,1.3439214,1.3473268,1.347549,0.8929476,0.63249135,0.5471375,0.54805976,0.99954313,0.9785726,0.50157845,1.1044303,0.64945614,1.1064237,0.7053705,0.69182175,1.2964239,0.6937484,0.9098753,1.3609861,1.1772355,1.2007401,1.2506278,1.1736441,1.3806026,1.1485566,1.108024,0.89209086,1.355098,1.2078073,1.3598964,0.51681244,1.2941927,0.43864608,1.0393353,1.123805,0.61636096,1.3508725,0.49494898,1.3013034,1.3582443,1.3930686,0.69097495,0.6503941,1.0413741,1.1292639,0.7784898,0.73590434,1.2406384,1.2995887,1.1240267,1.0515792,0.5970924,1.4090018
applesauce,0.9446888,0.910559,0.87994665,0.0,0.9609437,0.70080113,0.5795654,0.92818993,0.96131194,0.95012766,1.029922,1.139766,1.1677986,1.0542719,1.1097376,1.0524887,1.1287403,0.8305362,1.0088449,0.9614158,0.7740961,1.0452253,1.0542188,1.0768441,0.89869756,1.0873963,1.0677683,1.1619282,1.1163226,1.0134323,1.0843383,1.0840253,1.1697538,1.1626782,0.95943236,1.0443572,0.9906838,0.9188291,1.1101347,0.95708174,1.165863,0.9298224,0.94187653,1.1392086,0.9046517,0.94621056,0.90564644,1.1017735,0.88478047,1.1910584,1.1441612,1.0759526,1.1049504,1.0360641,1.1091998,1.0750904,1.0595993,0.8997432,0.8414393,1.022024,0.95199025,0.9335412,0.63876146,1.1660987,0.74575925,1.0462245,0.87988573,1.0660528,1.0664501,0.895291,1.1538546,1.1734769,1.0824654,0.7581767,1.2209656,0.77265865,1.1779124,1.0918568,1.1853372,1.008072,1.0487936,0.61564475,0.91781616,0.9166925,1.0448662,1.0475869,0.9325347,1.1606815,0.99091023,1.042832,1.0685682,0.9865274,1.0015486,1.0488958,1.2584033,0.99573576,1.0768536,1.0807816,1.146942,1.0049161,1.0214027,0.9708957,1.0878527,0.9329637,0.89783275,0.97578293,1.2487408,0.78167254,1.0964674,1.0797284,1.2640814,1.0526571,1.0687002,1.0413114,1.1232511,0.9355731,1.0753547,0.8872479,1.207009,0.7700137,1.1135432,0.72673357,1.0264877,1.1684042,1.0218738,0.8376314,0.92532754,0.7684211,0.9200268,1.0182811,0.89745593,1.0466641,1.0844254,0.96535814,0.8444618,1.0450857,1.0552434,1.0310391,1.1528479,0.93718004,0.85416126,1.0049945,1.1407744,1.1979604,1.1738008,1.0466573
arm,0.819408,0.79007816,1.1775486,0.9609437,0.0,1.2116532,1.2975781,1.3442721,1.2032475,0.7833587,0.743989,0.58681345,1.3034437,0.72363734,0.6185671,0.92710584,0.56834507,0.99276465,1.1601326,1.3635983,1.465471,0.89070165,1.3892539,1.1648029,1.1332548,1.2780432,1.3691604,0.8738363,0.92751855,0.9089496,1.2737601,1.411168,0.77664685,0.83650446,0.9652158,0.84592366,1.254247,1.171486,0.6021241,1.1748979,1.3704929,0.9024265,1.4009194,1.1294762,1.2869897,0.8745928,1.0211412,0.8471458,0.96698594,0.68453556,1.0992417,1.3182957,0.84179735,0.84405744,0.7866727,0.9509093,1.2810414,1.141135,0.641187,1.4486226,1.2074217,0.95033056,0.8792856,1.0868897,0.6248044,0.9481789,1.363111,0.69902205,1.4263065,0.4107511,1.2605777,0.920949,1.0029625,0.90340537,0.83002216,1.1520067,0.47923392,1.2626975,1.0046504,1.0932006,0.54886293,0.68427926,1.2542161,0.6871351,0.827196,0.94518226,1.352932,1.2966884,1.2997195,1.199505,1.3922641,1.0540009,1.1703827,0.51613724,0.5299443,0.6990557,1.0599271,1.255122,1.2775192,1.3724773,1.1456499,1.0144358,1.3426154,1.200185,1.487102,1.0694977,1.2251087,1.252489,0.8604599,1.3852961,1.0996197,0.94995594,0.9261578,1.0120505,0.472184,0.9221287,0.42490125,0.9709548,0.7171289,1.0605578,0.66142046,1.0180402,0.61588526,1.2920365,0.92570484,1.3653679,0.5750601,1.063644,1.4340967,0.7826115,1.2021717,0.851998,0.46448314,0.7714114,1.4361281,0.91395843,0.83516145,0.6471033,1.2243931,1.3386599,0.98806286,0.9208839,0.9799934,1.1335835,1.2562526,0.85876685
ball,0.9886632,1.0653211,0.6604494,0.70080113,1.2116532,0.0,0.30543107,0.8441536,0.97756934,1.0580637,1.0914693,1.2184092,1.1356019,1.2476722,1.0405046,1.0585334,1.2266791,1.0242347,0.9443679,0.86741364,0.73178506,0.9826978,0.9946413,1.1001089,0.85661,1.1498032,1.0651293,1.0704341,1.1586672,1.2564983,1.003137,0.79954,1.1673052,1.1694686,1.0087821,1.098803,0.9355163,0.92568827,1.2116177,0.94142604,1.0000262,1.0571549,0.8739873,0.9543398,0.70117956,1.053709,0.91475916,1.195144,1.0243541,1.2046117,1.0821289,0.8335754,1.1034802,0.98033583,1.1422246,1.0075792,0.9384267,0.82075083,1.0546734,1.0785625,0.7837306,0.9358574,0.82675874,1.1652461,1.0061597,1.0809416,0.7202763,1.1243645,0.91918254,1.1683449,0.97141695,0.9872718,1.1096267,1.0816854,1.1814928,0.8066565,1.2513857,1.1370026,1.2164696,0.92224056,1.237761,1.0816481,0.81469715,1.0155139,1.0114363,1.0524694,0.8746065,0.9643927,1.0651897,0.97624016,0.7770165,1.171727,0.8461336,1.0880219,1.286072,1.0421555,1.0075841,1.1085972,1.0824903,0.9053966,0.96649325,1.1192371,1.089956,0.99399245,0.871613,0.9975132,1.0673192,0.6058983,1.057249,1.0639435,1.0745755,1.1988951,1.1163205,0.9520922,1.251349,0.94908714,1.1754128,0.9391383,1.2352775,0.83111346,1.1916428,1.0116636,1.0711904,1.0693302,1.0907199,0.5709424,1.0633705,0.91307765,1.020812,1.0228128,0.7081193,1.0250595,1.1143284,1.0834893,0.54962826,1.0935527,1.1827583,1.2368406,1.1788363,0.5786392,0.8519,0.9478987,1.1596944,1.1179156,1.0843453,1.1522478
balloon,1.1051955,0.9599817,0.5196786,0.5795654,1.2975781,0.30543107,0.0,0.68410367,0.923656,1.2234815,1.1569697,1.4689271,1.0474437,1.443603,1.2029026,1.0327829,1.4420397,1.0713375,1.025965,0.6294344,0.71037936,1.2623196,0.79469955,1.0310155,0.8953526,0.99751896,0.9883123,1.116793,1.2144479,1.2854533,0.92959464,0.6411779,1.2663636,1.1133704,1.0729274,1.21807,0.8663649,0.8019496,1.432252,0.84512305,0.7943451,1.1775647,0.6792002,0.8695488,0.72801554,1.1002262,0.79915565,1.222963,1.1196895,1.3031652,0.9991035,0.64731884,1.2062708,1.0855743,1.0833387,1.1302823,0.76130617,0.80117965,1.0077032,0.8189269,0.7993036,1.1030976,0.86131024,0.9824842,0.9252458,1.1594348,0.6790664,1.1874063,0.7371558,1.2139457,0.83540225,1.089241,1.1109828,1.103482,1.14118,0.6623833,1.4312348,0.9619333,1.2576979,0.88059086,1.2883327,1.0314204,0.7639153,1.034399,1.1956818,0.9863888,0.76049584,0.82614195,0.8527523,0.7466439,0.6502415,1.166303,0.8296159,1.3047007,1.4361509,1.2342036,1.0548315,0.8957895,0.8921735,0.69483614,0.94173527,1.0575212,0.86302674,0.8283138,0.79091525,0.98205334,0.97108746,0.56020546,1.0966462,0.9019533,1.0832736,1.2474892,1.2293638,0.85880387,1.3944203,1.0493649,1.3433366,0.94783664,1.3020833,0.82651746,1.2836711,1.1390022,1.332954,0.8768124,1.2626698,0.5168109,1.0500126,0.9614309,0.76891994,1.1439717,0.5503629,1.1502826,1.3384389,1.2776961,0.57689625,0.9466182,1.0907198,1.2195616,1.012258,0.67601156,1.0300864,1.0718088,1.1461699,1.038943,0.8879342,1.2113853
banana,1.2002187,0.9953119,0.48906243,0.92818993,1.3442721,0.8441536,0.68410367,0.0,1.0158204,1.3230777,1.1426781,1.5314136,0.83005273,1.5158901,1.3210797,1.105215,1.4746648,1.1136644,1.0119386,0.78022075,0.5348893,1.3814456,0.3340609,0.8780793,1.020441,0.94537324,0.956033,1.0162528,1.2057884,1.3886986,0.36840868,0.77237356,1.3246713,1.2973713,1.3220592,1.2389729,0.470778,0.59461164,1.543933,0.5991529,0.6607728,1.3431884,0.7283688,0.9463938,0.53975886,1.2076705,0.94174325,1.4135997,1.2246615,1.3669803,0.96552867,0.41052413,1.1598839,1.2140082,0.9709609,1.2487288,0.7411776,0.9088628,1.0864106,0.5603883,0.7448022,1.1533083,1.0778918,0.9036383,0.96209526,1.1943896,0.5855419,1.3249736,0.4134711,1.1848925,0.83222926,1.2213348,1.225509,1.2905743,1.3373532,0.8664114,1.4408267,0.8375646,1.29551,1.0462849,1.3012624,1.0007681,0.22028077,1.0694308,1.3675615,1.0457298,0.54338145,0.79748434,0.66189843,0.8012094,0.47201526,1.2126929,0.9320683,1.4226842,1.4299922,1.3076519,0.8394995,0.743706,0.7091588,0.14712417,0.9663951,0.9862504,0.5003974,0.8708025,0.36373568,1.0929872,0.51483667,0.8054191,1.3018221,0.7218476,1.0009025,1.2473414,1.1803405,1.1149539,1.3284438,1.0713257,1.435319,1.0841491,1.2410841,0.93080544,1.3766932,1.1152532,1.4123046,0.7554472,1.2480339,0.42526227,1.0344684,0.8172314,0.5147914,1.2911427,0.8177445,1.3825008,1.4046412,1.2841237,0.6659113,0.8687853,1.0795265,1.2053057,0.82252514,0.7948431,1.0623555,1.1921147,1.1331689,1.1203573,0.76313174,1.3624618
basket,0.924156,1.1211889,1.1517068,0.96131194,1.2032475,0.97756934,0.923656,1.0158204,0.0,1.0847806,1.0437505,0.9989241,0.93641937,0.9053653,1.1046641,1.0751652,0.99436563,0.8765224,0.5886276,0.8103422,0.86639595,0.64912844,1.0128303,0.7222473,0.85258,0.8263179,0.83920175,1.4381378,1.1262196,0.7950356,1.039086,0.93978155,0.9219593,0.8788748,0.91518617,0.95453763,0.97192144,0.8517081,0.98883647,0.8822165,1.0147423,0.47737485,0.84415257,1.0385833,0.9451976,1.0772512,0.90169424,0.9635489,0.7733693,1.1526464,1.160111,1.1472085,1.1029961,1.2281682,1.3893936,0.9287179,1.2744455,0.6048145,1.1429493,0.9744392,0.9782966,0.9624145,1.0256511,1.2201827,1.1015868,1.0021127,0.8078977,1.2524135,1.0279839,1.3491837,1.0746644,0.9782187,1.0797608,1.055287,0.90237623,0.82161826,1.2492464,1.0122817,0.7501941,0.84289753,1.215256,1.047706,1.1358495,1.0844058,1.0353929,1.1935008,1.059484,1.1969721,0.80596614,1.0009383,1.1868755,0.84416187,0.90825427,1.0064266,1.2421646,0.9126497,1.1096534,1.0527503,1.0805043,1.0430143,0.98788106,0.6228237,1.0591226,0.62850976,0.86943376,0.8280313,1.2320048,0.9834603,0.8496147,0.8612332,1.2980442,0.96698594,1.036772,1.0309498,1.2249076,1.033268,1.1400324,0.77345693,1.1602345,0.7547339,1.1726179,1.0204935,1.0093044,1.1442347,1.0803092,0.96324843,1.119892,1.0203338,0.9781158,1.1856767,0.94925386,0.89174145,1.1463786,1.0333701,0.8358811,1.2868047,1.2449746,1.1973972,0.8150927,0.6865283,0.7771742,0.80653864,1.1181667,0.82202435,1.1123339,0.93700665
bathtub,0.88308716,1.082859,1.3186862,0.95012766,0.7833587,1.0580637,1.2234815,1.3230777,1.0847806,0.0,0.87196696,0.43985283,1.2770714,0.60194355,0.802781,0.94973576,0.5911997,0.8179829,0.9534883,1.3203638,1.1361848,0.55485135,1.4613986,0.9406643,0.95869786,1.2148226,1.1916087,1.0896621,0.8635233,0.8717864,1.2325625,1.3496026,0.66821706,0.99679136,0.698053,0.8661308,1.3006111,1.2455169,0.5712048,1.2295607,1.3874855,0.60281175,1.3253013,1.2428955,1.0910451,1.0145942,1.249511,0.6235721,0.66603273,0.7783885,1.3054497,1.3513546,0.8235256,0.8536382,1.1732633,0.8401483,1.3493898,1.1395823,1.099523,1.4080116,1.1213804,0.8177936,0.77552384,1.3139588,1.2307961,0.79628944,1.1325336,0.860219,1.3979843,0.93385893,1.4251959,0.89321613,0.94397634,0.53742796,0.9439881,1.1151265,0.7429867,1.2467457,0.81849205,0.95640707,0.8004683,1.1107255,1.2968774,1.1302644,0.62392044,1.0035641,1.3351364,1.2980707,1.398689,1.396529,1.408977,0.8761814,1.1758026,0.6925883,0.8388383,0.63059443,1.2269925,1.381736,1.4168594,1.3520226,1.1336269,1.2193129,1.4521815,1.1508412,1.2397733,1.0429603,1.355444,1.237644,0.90575606,1.3369646,1.2000862,0.6092774,0.80036616,1.0451664,0.9419363,0.7892879,0.72757614,0.91509515,1.0206836,1.0009451,0.4035244,0.3862276,0.5763571,1.3622859,0.6098802,1.1993214,1.0779289,1.0097487,1.3789024,0.868128,1.2798696,0.81584424,0.6506388,0.5280865,1.1186942,1.249003,0.94145936,0.865378,1.3587234,1.0914702,0.5563667,0.8473338,1.0526506,1.0378592,1.3364239,0.7225152
bear,1.07449,0.8854832,1.0625798,1.029922,0.743989,1.0914693,1.1569697,1.1426781,1.0437505,0.87196696,0.0,0.8022603,1.046408,0.948559,0.9772424,0.9960188,0.7716563,1.1302204,1.0805602,1.1164188,1.1848252,0.99839365,1.1000353,1.0992413,1.1599796,1.1166669,1.0710075,0.96195805,0.8295781,1.0678468,1.2369242,1.0726807,0.99186033,1.0222065,0.9624579,0.7992796,1.0160384,0.9501059,0.9103493,0.95526236,1.053748,1.0054041,1.1433712,1.0460804,1.1992509,1.0413967,1.215441,1.0597818,1.0457491,1.0421345,1.0441191,1.0704231,0.4917246,1.0398899,0.9284142,0.9407289,1.116619,1.1179408,0.92234063,1.1475196,1.1872245,0.9864938,0.98136914,1.0318758,0.9971438,0.9224398,1.1359608,1.0471125,1.1928563,0.87349164,1.1567671,1.0797256,0.95271385,0.987666,0.9745216,1.0010657,0.8608595,1.0135808,1.1065137,1.0637993,0.8654874,1.0011752,1.1034174,1.0967499,0.892768,1.0273442,1.1165968,1.0411674,1.1100373,1.0785606,1.1049911,1.0846586,1.105102,0.8806772,0.9602476,0.8791604,1.0306664,1.0214736,1.0457219,1.1388997,1.0559726,1.017756,1.1766096,1.1834142,1.2434671,1.1070906,1.1698257,1.1467954,1.0891175,1.1115634,1.0592061,1.0551077,0.5478891,1.1063101,0.97092444,1.0065632,0.9109668,1.017854,1.0012877,1.0550665,0.871969,1.0594224,0.86367184,1.0561855,0.6751357,1.1719472,0.77713364,0.9833226,1.1382508,1.03902,1.0819277,1.0177809,0.92430836,0.95666945,1.1491745,0.9241531,0.86234015,0.8788084,1.023748,1.2110306,1.0816383,0.92596745,1.0714943,1.097289,0.997273,0.95874804
bed,0.72247523,1.1502988,1.4965606,1.139766,0.58681345,1.2184092,1.4689271,1.5314136,0.9989241,0.43985283,0.8022603,0.0,1.2335514,0.2976054,0.6182524,0.8935155,0.09783715,0.80109566,1.0158049,1.5095563,1.4674962,0.5528775,1.5980003,1.0647229,1.1391829,1.2407773,1.1486576,1.0641378,0.62653005,0.58424544,1.3349758,1.4864453,0.572031,0.76408684,0.62112814,0.7408482,1.4532748,1.4013617,0.13201535,1.3696951,1.537019,0.48919904,1.5304179,1.3173597,1.232178,0.77188843,1.2267251,0.5667865,0.77451456,0.5361082,1.3085783,1.5509912,0.6033647,0.8481534,1.1845608,0.7128544,1.3233249,1.1665697,1.0522217,1.5542707,1.2522464,0.80528826,0.8945253,1.361385,1.0961643,0.6713227,1.4119405,0.75403833,1.530226,0.90883964,1.4155877,0.83052933,0.7662489,0.7438133,0.6710724,1.2917349,0.37318397,1.3627251,0.6579411,1.067816,0.7703781,1.106373,1.4233303,1.0559397,0.5550628,1.0811003,1.4133261,1.3862706,1.3344874,1.5012239,1.5363212,0.8936671,1.1659269,0.47112405,0.4560281,0.56685895,1.2335527,1.4930098,1.5280781,1.51108,1.166134,1.0190048,1.5507735,1.1425005,1.4990144,0.996266,1.364356,1.4238105,0.71894157,1.4100567,1.1331476,0.63927656,0.7125092,1.0574366,0.6145792,0.9445648,0.4103524,0.9269185,0.71499443,1.1493827,0.40505606,0.75347614,0.3265767,1.4163728,0.43428707,1.5373464,1.0272335,1.1299585,1.5661883,0.83122563,1.4136596,0.5983836,0.36657405,0.44569117,1.4398358,1.3238384,1.0624878,0.891085,1.2163105,1.2856089,0.81075346,0.77713776,0.9571488,1.0445395,1.4742444,0.600421
belt,1.4604166,0.8350416,0.75728524,1.1677986,1.3034437,1.1356019,1.0474437,0.83005273,0.93641937,1.2770714,1.046408,1.2335514,0.0,1.1867003,1.339989,1.2658167,1.1977208,1.121184,0.99589723,0.62138087,0.6267326,1.2705421,0.6294118,0.814721,0.79670215,0.2660805,0.42078793,0.88846195,0.6710025,0.9468972,0.7867216,0.6428978,1.2957566,1.1257548,1.3133833,1.1115996,0.8333842,0.95856595,1.2626181,0.9448653,0.32310247,1.230286,0.49352694,0.92623454,1.0544343,1.1251094,1.1267929,1.1174213,1.0400248,1.2967086,0.81988466,0.67616194,0.997048,1.2862544,0.83133906,1.2345654,0.652826,1.0414078,1.2800356,0.3082959,1.0656543,1.1517656,1.43611,0.630287,1.0661336,1.1576027,0.8750873,1.3345133,0.672062,1.2155809,0.4465781,1.1904632,1.1530349,1.2849164,1.0887822,1.0088742,1.2462572,0.33271784,1.0051615,0.96415854,1.2462358,1.1710794,0.83228415,1.3142743,1.2546922,1.1712556,0.84088516,0.46904945,0.4100212,0.61878943,0.57305604,0.8576679,0.9958439,1.4171101,1.1717699,1.3689526,1.2008343,0.33273244,0.30769616,0.7603464,0.9033771,0.7649543,0.6468525,0.9716938,0.71668744,1.0383714,0.6443423,0.9657389,1.2695032,0.24150169,0.99387354,1.0380638,1.0883161,1.2500197,1.2651706,1.144331,1.3917309,1.038723,0.92470104,1.0788791,1.2141584,1.0256927,1.3535963,0.30850595,1.1043736,0.80950844,1.1750479,1.2390091,0.3836037,1.4256616,0.74896514,1.2616818,1.4232681,1.4275744,0.8300357,0.71997076,1.0779642,1.0437709,0.38426685,0.95990264,1.3792953,1.2389079,1.0280527,0.6884389,0.41404486,1.1020161
bench,0.82174826,1.1676313,1.5001408,1.0542719,0.72363734,1.2476722,1.443603,1.5158901,0.9053653,0.60194355,0.948559,0.2976054,1.1867003,0.0,0.7653476,1.0112066,0.40723932,0.80161506,0.9281264,1.414725,1.3090358,0.45481908,1.5204465,1.0231113,0.9573172,1.0960503,1.0527107,1.1047014,0.90660405,0.28317285,1.3507097,1.4397457,0.53353006,0.82231593,0.4690739,0.73981136,1.3281835,1.2638,0.23528308,1.2478753,1.4928334,0.4158339,1.391969,1.3175592,1.1844198,0.8297808,1.1858271,0.52262825,0.5085042,0.7002988,1.3282399,1.5622271,0.9031662,0.9092426,1.2164748,0.8016956,1.3930378,1.1789265,1.0158066,1.4655371,1.3200929,0.83525884,0.8567668,1.3859178,1.0985897,0.75454414,1.3405735,0.82128215,1.5698241,0.93854505,1.4556513,0.8372608,0.91048515,0.70697033,0.79328763,1.2090782,0.5494202,1.1913813,0.44099414,0.98643214,0.7536328,0.9988433,1.3628136,1.0637436,0.63384664,1.0423609,1.4136641,1.4648175,1.3465377,1.4929693,1.5774637,0.65031385,1.1673772,0.64103544,0.6033119,0.66567856,1.0567688,1.3876581,1.4529366,1.501572,1.1084102,0.9536819,1.4561231,1.0791969,1.3548831,0.9857074,1.3917552,1.3227367,0.686834,1.2883065,1.1283591,0.58299845,0.87032557,0.9932569,0.6979176,0.87074524,0.5864055,0.914613,0.85478264,0.9664591,0.70370287,0.6248495,0.47071874,1.4613342,0.7237414,1.4156274,1.0364102,1.0370704,1.4746964,0.805665,1.3734012,0.6244849,0.5428865,0.43633187,1.3369246,1.3676993,0.9788308,0.82797813,1.2235798,1.1909368,0.69589674,0.9030684,0.936661,0.8897249,1.479992,0.5975543
bib,0.77643,1.0548288,1.2178216,1.1097376,0.6185671,1.0405046,1.2029026,1.3210797,1.1046641,0.802781,0.9772424,0.6182524,1.339989,0.7653476,0.0,0.88601285,0.6065102,1.0180858,0.9865208,1.3053164,1.3377349,0.7819824,1.4391121,1.2176291,1.0807886,1.3773215,1.3006263,1.0086349,0.99230653,0.88509524,1.2004629,1.2445096,0.8084243,0.785883,0.8595495,0.91380364,1.361665,1.352702,0.635445,1.3180999,1.4270077,0.8177178,1.3694613,1.0663569,1.1437185,0.82359385,0.9546308,0.91524136,1.0540465,0.41912878,1.0642161,1.3262122,0.8946623,0.6970484,1.0262498,0.898783,1.2505271,1.1377414,0.9089833,1.4200052,1.0584618,0.91171825,0.91033524,1.1452806,0.86871874,0.93078876,1.2215298,0.6637595,1.2703488,0.7778249,1.1709561,0.91505635,0.86505294,0.8937632,0.7900284,1.1259134,0.59225297,1.3741733,1.0132174,1.1394217,0.8559073,1.0110976,1.3008507,0.8327916,0.6674135,0.9200664,1.248576,1.2653077,1.2716261,1.1552553,1.3586483,1.0583593,1.0898507,0.4131055,0.60912526,0.6675581,1.0916033,1.4082694,1.4085186,1.3416921,1.0513262,1.0692434,1.3470104,1.1627953,1.3136749,0.9978717,1.2052726,1.1234573,0.708106,1.3886313,1.0781678,1.0001743,0.9690381,0.9512339,0.54441077,0.9108495,0.40839577,0.8930698,0.6977519,1.0613608,0.6966747,0.99476224,0.5835537,1.311831,0.8424231,1.3010129,0.90698594,1.0003088,1.4273856,0.80458945,1.0864767,0.645388,0.49068487,0.6333114,1.2535274,1.1568526,1.0576307,0.9458375,1.2598808,1.085142,0.8594279,0.91565716,1.0258119,1.1711482,1.3110902,0.8741881
