,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,closet,cloud,coat,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,0.9079975,1.1575497,0.9331153,1.0298241,0.87723505,0.9551457,0.9842767,1.0271424,1.0608803,1.0975096,1.145597,0.8761234,0.9747448,0.97878915,1.1191695,0.9719271,1.1390022,1.0738299,1.1158317,0.8507065,1.1474903,1.1223395,1.152048,1.1491413,0.94946206,1.0286252,0.9454926,1.0945493,0.9173379,0.99748456,1.0899338,0.88159347,0.9162318,0.940745,0.876848,1.0494976,1.1187222,1.0849262,1.0021039,0.91721976,1.0736156,0.84036636,1.0295048,1.012095,0.9015766,1.123673,1.1232562,0.8586988,1.0165212,0.9394512,1.0728248,0.8479525,0.9554457,0.59414285,1.0593773,0.9619202,1.0906048,1.101665,0.9492119,0.97434425,0.85909355,0.9181289,1.0110075,1.151837,0.84205115,1.0130112,1.086461,1.1114737,0.8935939,1.1640059,1.0694532,0.9752096,0.92593193,0.937081,1.1611105,0.91306424,0.8500551,0.91227305,0.8800809,0.9590926,1.0685427,1.0600278,1.0109549,0.9600147,1.0118501,0.8081875,1.0550139,1.002831,0.7649055,0.8902911,0.8889434,0.82896453,1.0434455,1.1518537,0.9301458,1.0027944,1.0737422,1.041818,0.9549875,0.8846701,1.0681384,0.9905034,0.98524415,0.9632611,0.93602514,1.0694315,1.0968957,1.1575382,1.0550852,1.0674883,1.0334868,0.8766363,0.92345077,1.1085455,1.0935681,1.0323721,1.1470623,1.0344837,1.1025468,1.0288986,1.0832815,0.9135189,0.96276355,0.996079,0.80112976,1.1236604,0.99320555,1.0469255,1.099847,1.1325474,1.0032533,1.0369241,1.0298109
ankle,0.9079975,0.0,1.0326583,1.1878153,0.8592118,0.78697395,0.9277464,0.95490617,1.2468085,1.1170001,0.87987655,1.1321713,1.1947402,0.921216,1.139812,1.1522684,0.9808352,0.9391043,1.020901,1.1635349,0.897569,1.1165084,0.83013207,0.90562063,1.0070643,1.1110959,0.9625241,0.8720412,1.125411,1.1115271,1.1357603,0.8948865,0.7330038,1.0466983,0.912684,0.92348254,0.8376591,1.3030866,0.80616295,0.9640514,0.95200706,1.1721281,0.8153937,1.1781737,1.0327446,0.7757984,0.92729145,1.2317386,0.7886363,1.1598175,0.7923177,0.9156188,0.7398352,1.0778904,0.7568691,1.2847973,0.889153,0.64536995,1.2557912,1.1911099,1.1909411,0.78412014,1.0789485,0.6037207,1.1936052,0.9402242,1.1599067,1.1433499,1.046811,0.97381616,0.9751556,0.8831259,1.1299579,1.1280209,1.1372772,0.86929995,0.9153286,0.94623566,0.7899134,0.7729545,0.68777514,0.99167705,1.2338034,0.90019476,1.0772122,1.0415461,1.2772019,0.9041375,1.0467082,0.9106456,0.55641663,1.1053002,0.7734409,1.0833716,0.91077435,0.8194058,0.7551374,1.2158012,0.7729156,1.1610795,0.95242256,1.2352818,1.177271,0.92925936,0.8277854,0.91734356,1.2359858,1.0317521,1.220655,0.61459875,1.1471977,0.86501914,0.08067888,1.1434635,1.1386534,0.87440413,0.831853,0.9722421,1.2141731,1.3056076,1.3160053,0.87996507,0.67531997,0.9268705,1.2524403,0.79820675,1.066982,1.2992907,1.2406144,0.91070163,1.0501314,1.0776991,0.77810013,1.2461828
apple,1.1575497,1.0326583,0.0,1.2633755,0.7214917,0.5934279,0.7685795,1.0847707,1.4159801,1.2318462,0.35209882,1.3298814,1.2580426,0.65323216,1.2968552,1.2479632,0.8498882,0.42474234,1.0132565,1.0161254,0.91655576,1.0678586,1.0803521,0.963401,0.878581,1.1743484,1.3019304,0.7427109,1.1246556,1.1051093,1.330245,1.0382348,0.818679,1.0196115,1.3114413,0.9668985,0.38345575,1.3281839,0.41162336,1.0707752,1.0589616,1.2395916,1.1783782,1.2704942,0.9862117,0.6799798,0.97682214,1.0206715,0.9130453,1.2682159,0.5598663,0.7389649,0.8640634,1.0759827,0.8965831,1.1403823,0.46895432,0.6336564,1.1187516,1.0802758,1.2271283,0.8526077,1.1962409,0.47906667,1.0594221,1.0596849,1.1642374,1.2297738,1.3030155,1.0091228,1.1248237,0.57178015,1.0784205,1.1130153,1.2515805,1.0223949,0.9214402,0.86767,0.51159155,1.0775023,0.49932295,0.3074875,1.3381714,0.9067968,1.2866647,1.2969724,1.2920184,0.6301346,1.1907785,1.0960202,0.9388281,1.0772475,1.0012498,1.1401935,0.42757785,0.8880061,0.64148915,1.3703918,0.91325545,1.1455445,1.223068,1.3846868,1.3287692,1.1589441,1.2195184,1.1887476,1.2251658,0.80925167,1.2586107,0.45586324,1.0869678,0.62591857,1.0650423,1.1279936,1.3206506,0.8186214,0.6175533,1.1158173,1.3353615,1.1826916,1.3671559,0.4526298,0.78730154,0.48593163,1.19581,1.0528399,0.79069227,1.2150009,1.1250635,0.9702789,1.0808041,1.071458,0.34896624,1.2561775
arm,0.9331153,1.1878153,1.2633755,0.0,1.2322717,1.3637857,1.3062934,1.1386728,0.6226527,0.43169463,1.3543841,0.961478,0.42467642,1.451276,0.43916643,0.8749307,1.2408117,1.4816492,1.0301614,1.0696491,0.9553512,1.2594981,1.3302083,1.4260666,1.2782303,0.66877747,0.9035739,1.3244038,0.9687186,1.0437334,0.6431953,1.2196733,1.2115536,0.9410767,0.78236365,0.85450065,1.4745872,0.6804003,1.4907261,1.019663,0.9620486,0.8804836,1.0989673,0.63784575,1.0384134,1.1020957,0.9639853,0.8356271,1.0347569,0.93697214,1.4698555,1.4116676,1.0051652,1.1879134,1.3029978,0.73524064,1.2308407,1.4089793,0.7945808,1.0080621,0.6869288,1.1107019,0.6159802,1.4272461,0.78601027,1.0035611,0.9068162,0.7680914,0.6515632,1.153329,1.1787456,1.4336554,1.0165849,0.88998413,0.6585701,1.1758887,1.0154319,1.0474195,1.1966985,1.1424572,1.2607515,1.2224574,0.57743263,1.1463952,0.4648856,0.63930184,0.6173308,1.3755718,0.98619974,0.8920934,1.0371572,0.69861853,1.260879,0.85176814,1.3279094,1.3667296,1.4502795,0.65154946,1.2358224,0.8440428,0.84291506,0.57076913,0.43943232,1.1206417,0.8501026,1.3628777,0.7730161,1.2425677,0.81414354,1.4602956,0.85006404,1.2655947,1.1297128,1.1266574,0.8383751,1.3531967,1.2090033,1.1586846,0.5278352,0.8618182,0.45949328,1.3501375,1.1289462,1.2031578,0.9034658,1.1389756,1.1949725,0.74849546,0.96317565,1.3443427,1.208412,1.123117,1.3085378,0.9164657
ball,1.0298241,0.8592118,0.7214917,1.2322717,0.0,0.73637104,0.7862779,0.9559241,1.291,1.2072861,0.8943158,1.224591,1.1649837,0.7651857,1.1707695,1.1323726,0.75334406,0.7056247,0.86695516,0.9698474,0.9768343,0.9555585,0.6632408,0.99158126,0.80615616,1.3077785,1.2617207,0.74989617,1.1698701,1.0649728,1.3227264,0.8411199,0.74818903,1.0599871,1.3545254,1.0321904,0.7805096,1.2347246,0.74790573,0.88857067,0.8923136,1.2746972,1.1058679,1.2468666,1.0178725,0.9798238,1.0440845,1.1322963,1.0466621,1.2462941,0.7453219,0.7501097,1.135919,0.9374614,0.6795364,1.0127167,0.9793012,0.6502427,1.1690694,0.7439547,1.305409,0.9276236,1.2085356,0.5761319,1.1238583,0.9374916,1.1156387,1.1915547,1.211612,1.0188327,1.0944784,0.80608106,0.84486675,1.07027,1.0642834,0.8036815,1.1209639,0.8894636,0.7151916,0.9658125,0.9544822,0.6053297,1.3311083,0.6723076,1.2477176,1.3846978,1.0898561,0.8770276,0.9733825,1.1647725,1.0568081,1.1173884,0.82451904,0.94758075,0.5930826,0.930734,0.8359433,1.4303913,0.6959275,0.9694921,1.1424811,1.179866,1.3197014,0.7216517,1.3271111,1.0164589,1.2835832,1.036617,1.2009737,0.6808599,1.142979,0.75588214,0.8756502,0.9173569,1.1487777,0.8863342,0.82855016,1.0002425,1.2832861,1.1451855,1.3208034,0.8032805,0.9974298,1.0007436,0.96317625,0.99654937,0.4744597,1.1824607,1.1205693,0.88724554,0.89713395,1.2039095,0.8141776,1.2488185
balloon,0.87723505,0.78697395,0.5934279,1.3637857,0.73637104,0.0,0.71664083,1.0033704,1.4851124,1.4681523,0.6827372,1.3562989,1.3948823,0.6020115,1.4287264,1.3118625,0.90379775,0.61183,1.0293567,1.0405898,0.68454564,1.1174734,0.9962352,0.89248705,1.050219,1.2301325,1.214366,0.61167395,1.2396421,1.0781051,1.3744347,0.97742665,0.6538844,1.0573422,1.1666455,0.868998,0.44417286,1.4487581,0.5105377,1.1199152,0.9582599,1.210529,0.9069294,1.2680929,0.9364368,0.48603547,0.979672,1.2338994,0.6419502,1.3349543,0.4677353,0.8287593,0.5447221,0.9725078,0.661927,1.3447266,0.63023144,0.62903154,1.3208365,1.0003651,1.2095581,0.6314611,1.0433902,0.4668644,1.3642192,1.0791659,1.22667,1.3038993,1.3894832,0.894354,1.0529552,0.5018265,1.0448954,1.1784469,1.1774983,1.1632029,0.74902415,0.7006325,0.4917621,0.84340096,0.49094743,0.45504582,1.4735948,0.92932504,1.3607955,1.2352173,1.4036725,0.664224,1.0798134,0.93128765,0.72596323,1.0209835,0.9116067,1.1445255,0.50340736,0.7849316,0.54920423,1.4256306,0.8987835,1.1476724,1.1876199,1.4518793,1.4139988,1.1066452,1.0737816,1.02531,1.3046467,0.8972664,1.3674688,0.5022445,1.251538,0.5360977,0.8177117,1.0093801,1.3369966,0.6972553,0.51181775,1.1555614,1.388233,1.3370979,1.5052483,0.48541886,0.5489097,0.5914808,1.0303538,0.8334358,0.78303117,1.2440007,1.163957,0.8254587,1.1785426,1.0008426,0.50835335,1.2747202
banana,0.9551457,0.9277464,0.7685795,1.3062934,0.7862779,0.71664083,0.0,0.93603396,1.3832233,1.3284445,0.778121,1.2123573,1.3115724,0.5821248,1.306498,1.0787199,0.72876966,0.6470651,0.979093,1.055087,0.7336545,1.0295686,0.97818196,1.0175846,0.91990876,1.2855191,1.2771535,0.72457373,1.2396559,1.0150418,1.3812313,1.013633,0.68544865,0.83710474,1.3553903,0.7265622,0.6628413,1.2810278,0.73077834,0.9868796,1.0386311,1.3389504,1.0366198,1.284437,1.0561322,0.64101315,1.0440502,1.1513476,1.0318693,1.177757,0.4902022,0.6542748,0.9602523,0.88506263,0.6129932,1.0768903,0.88672304,0.68019766,1.1945071,0.9136027,1.2607101,0.8723722,1.2474904,0.75517267,1.2400186,0.962056,1.1452218,1.3183467,1.2453107,0.8238722,0.98642236,0.7145862,0.7287966,1.0651917,1.2005982,1.0028844,1.0304669,0.89352375,0.76292187,0.9437224,0.8697927,0.64819646,1.4012899,0.86562866,1.3665755,1.3371445,1.1252936,0.84939843,1.0923815,0.8278182,1.060048,0.9425823,0.7968482,1.146692,0.63111615,0.62175834,0.7185538,1.4528744,0.8646996,0.63152814,1.1173993,1.1987839,1.40692,0.8579457,1.2697995,0.90084326,1.3226489,0.943053,1.1749527,0.65734655,1.1599932,0.8337078,0.97345567,0.9030521,1.2381245,0.8712691,0.91803515,1.0548387,1.408401,1.239742,1.3975827,0.6892755,0.93699455,0.85367984,1.0835453,0.92338943,0.754112,1.0173043,1.0935519,0.8105731,1.0343697,1.051708,0.80837196,1.2330699
basket,0.9842767,0.95490617,1.0847707,1.1386728,0.9559241,1.0033704,0.93603396,0.0,0.9931892,1.1565087,0.89694285,0.8947937,1.094566,1.0193188,1.0960827,1.1118995,0.6655004,0.79892826,0.82830817,0.7103518,1.0905964,0.96212864,0.6295402,0.663527,0.9161899,1.0892009,0.80306154,0.7548057,0.9588067,0.99818385,1.2116046,0.74543595,1.0417469,1.0625653,0.91270936,1.1517456,0.9093105,0.7666317,0.7608452,1.0610293,1.089053,0.9644073,0.60666364,1.1315141,1.2097415,1.0545359,1.1223261,1.2401584,1.1137571,0.965881,0.97200805,0.8624257,1.0514818,0.74763304,0.94863254,0.998938,1.1055638,0.9076917,1.2241068,1.0955355,1.1407163,1.0378752,1.1785258,0.89699894,1.1512887,1.1608105,1.0575377,1.263109,1.2197906,0.93386626,0.6010834,0.89888525,1.035079,0.8899391,1.1810973,0.9184447,0.86150986,1.069257,1.1098518,0.71367997,1.0478541,1.1234181,0.9870953,1.0151149,1.1759579,1.1787134,1.0087543,0.9148957,0.9027324,1.1491935,0.82506603,1.1293325,0.87812996,0.94734496,0.9402797,0.7753338,0.7818078,1.0014763,1.0462561,0.99829406,0.9396587,1.1671948,1.1315665,0.9153516,1.0432645,0.9029125,1.1511127,0.5670672,1.1641933,0.9244061,1.2265297,1.0919913,0.8925926,0.87990165,1.1613092,0.96887237,1.046473,0.9164475,1.2287066,1.0602489,1.0495688,0.8613783,1.0628325,1.0671575,0.9838508,0.72858393,1.0114422,0.92995703,1.136655,0.8360983,0.8676943,0.8102901,0.9494053,0.9947394
bathtub,1.0271424,1.2468085,1.4159801,0.6226527,1.291,1.4851124,1.3832233,0.9931892,0.0,0.5425303,1.3542241,0.6721176,0.6167796,1.4788778,0.59777236,0.64681923,1.2102966,1.4547448,0.8214291,0.9417977,1.2280387,1.0833907,1.0466608,1.0871112,1.2119061,0.5384146,0.7157849,1.3436143,0.8082378,0.95068467,0.61078244,0.95225203,1.3297853,0.965279,0.63403875,1.1291052,1.4995399,0.5397443,1.3848991,1.0509708,1.1534705,0.49934822,0.8368242,0.81582355,1.1278586,1.2993165,1.0604924,0.86945903,1.1952262,0.7313665,1.555899,1.4308611,1.1477946,1.0542495,1.4080052,0.80347073,1.3731539,1.4969366,0.7407852,0.9969348,0.7744944,1.2901574,0.8355086,1.4150367,0.8125584,1.0722148,0.6471635,0.8309928,0.7180818,1.0083587,0.9251703,1.4130607,1.0862707,0.8421143,0.68559515,1.1667541,1.1514623,1.1855743,1.3839788,1.138402,1.4513501,1.430799,0.41577387,1.2276698,0.6777766,0.6363218,0.64951587,1.3123742,0.99703705,1.049464,1.1878196,0.92758465,1.229014,0.7035116,1.5490984,1.3218918,1.3249912,0.37934548,1.269262,1.0189527,1.007794,0.5227928,0.58287597,1.0646229,0.89122236,1.0873142,0.40694165,0.8773894,0.65351254,1.5526153,0.6946003,1.3368549,1.2250925,0.9438139,0.7831435,1.1805911,1.3570807,1.1091983,0.68295276,0.7663915,0.40157443,1.376053,1.334138,1.2285,0.7777898,1.1303223,1.1652163,0.6902279,0.9311351,1.2829937,1.1369181,0.8140422,1.4363989,0.6759986
bed,1.0608803,1.1170001,1.2318462,0.43169463,1.2072861,1.4681523,1.3284445,1.1565087,0.5425303,0.0,1.298547,0.79071677,0.5776862,1.4399273,0.38500255,0.71720874,1.2230235,1.4548676,1.0315672,0.9944049,1.2066064,1.1070249,1.2434944,1.3320687,1.2072852,0.6216861,0.7126466,1.3105128,0.8648813,1.0408552,0.5890301,1.1782211,1.2561913,1.0394508,0.6282067,1.0427397,1.495925,0.6154064,1.4884328,0.93418974,0.9540499,0.8197504,1.1347406,0.7059987,1.0392232,1.253497,0.9379757,0.7992506,1.0952505,0.91439515,1.4758633,1.3739679,1.1164298,1.2035116,1.3268769,0.7668232,1.2951069,1.4574115,0.62573016,1.0764269,0.79360116,1.2564415,0.69632953,1.4498389,0.69424534,1.0362587,0.86755615,0.6216953,0.36478257,1.2239461,1.1280202,1.4641609,1.098374,0.9539862,0.7609838,0.9917844,1.1266975,1.2198683,1.2392966,1.2994158,1.3693395,1.2792763,0.6127347,1.1125286,0.467561,0.6326744,0.6396707,1.392765,1.0685779,1.004244,1.0895324,0.87864935,1.2181783,0.8621253,1.4366746,1.3148274,1.4771085,0.64952874,1.2232412,1.0279993,0.995986,0.5783732,0.53673637,0.97265184,0.8481424,1.3360611,0.6872215,1.2477918,0.66082203,1.3862094,0.64519274,1.3283675,1.0966159,1.1618764,0.83823276,1.2966585,1.3249085,0.951295,0.48405176,0.7948953,0.37909263,1.4212402,1.1446568,1.3048258,1.0012743,1.3192223,1.0959814,0.8531954,0.94460905,1.302169,1.1437193,1.0607018,1.3706305,0.8632001
belt,1.0975096,0.87987655,0.35209882,1.3543841,0.8943158,0.6827372,0.778121,0.89694285,1.3542241,1.298547,0.0,1.2002503,1.3208517,0.52035666,1.330417,1.2518814,0.7434779,0.2613179,0.9658043,0.9536394,1.0708895,1.0145329,0.8807102,0.55306625,0.83221483,1.1106281,1.1914221,0.6297277,1.1051065,0.992311,1.3309288,0.9448297,0.8270487,1.0706942,1.1890311,1.0562671,0.29620928,1.345634,0.20408261,1.1320697,1.206863,1.1535301,0.8993952,1.285558,1.1032667,0.7455631,1.0238445,1.2226937,1.0577364,1.2513655,0.41820276,0.68898016,0.91859275,0.9734449,0.82991695,1.2476288,0.61215794,0.56093454,1.1770134,1.2504874,1.3396761,1.0254478,1.3822088,0.37918818,1.1155834,1.0879264,1.167402,1.2661867,1.3033487,0.83290935,0.85714066,0.5513289,1.1815164,1.2198384,1.4319954,0.9406325,0.7177026,1.1143734,0.7226572,0.9037289,0.54265404,0.6080467,1.2992363,0.9614992,1.2774248,1.2780523,1.2771769,0.5383351,1.2129973,1.1378406,0.78096116,1.2242855,0.94198096,1.1347797,0.62680936,0.69237465,0.43212008,1.2601736,0.92575574,1.1714832,1.1971304,1.4566054,1.3627837,1.1625363,1.1309327,0.97232294,1.1928266,0.5111419,1.3255894,0.47987813,1.0925604,0.7756089,0.89470994,1.0731964,1.3293941,0.71874845,0.81425494,1.0076076,1.3989334,1.187397,1.4115909,0.46547204,0.9253436,0.50377643,1.2681218,0.84312165,0.9410922,1.1889042,1.1033576,0.69441766,1.0214404,0.863959,0.39663637,1.1472914
bench,1.145597,1.1321713,1.3298814,0.961478,1.224591,1.3562989,1.2123573,0.8947937,0.6721176,0.79071677,1.2002503,0.0,1.0296689,1.1735455,0.70044696,0.25452793,0.93925774,1.2268324,1.0334344,0.7366408,1.3175263,0.56349814,0.7338145,0.8139468,0.8268561,1.0015067,0.4760226,1.2364168,0.85614765,0.9703225,0.8782524,0.7839018,1.2237365,1.0586562,0.7085618,1.2444252,1.2967263,0.57035965,1.3065434,0.98741955,1.104579,0.86079234,0.8479923,0.93956125,1.1777931,1.3008875,0.97999835,1.0792345,1.292856,0.80397356,1.2708876,1.0885484,1.281331,1.0341163,1.1777195,1.0461894,1.3384097,1.2440943,0.5334842,1.0137053,1.056622,1.2803423,1.1784335,1.3371897,0.8102006,1.1629663,0.92909616,0.83464706,0.8011941,1.115802,0.80389374,1.324657,0.99986154,1.0080367,1.0412525,0.81328773,1.1357014,1.284528,1.4158295,1.0394579,1.3741932,1.289086,0.8505705,1.161018,0.97275704,0.91619444,0.86924905,1.1753017,1.0239049,1.0992559,1.1257627,1.156553,1.1223209,0.98352087,1.2917893,1.0910666,1.2219136,0.85557735,1.0936171,1.069465,0.93869585,0.8006947,1.0078593,0.9198122,0.9595306,0.8070226,0.8501653,0.9243392,0.31998646,1.3147435,0.8881633,1.367734,1.1253238,1.0738186,0.6615414,0.9839842,1.312117,0.67746025,0.8551859,0.557381,0.61077917,1.2357705,1.3074036,1.2960511,1.055007,1.0740601,0.9090098,0.8545803,0.8036955,0.97921216,0.7793474,0.8611594,1.3817545,0.85889506
bib,0.8761234,1.1947402,1.2580426,0.42467642,1.1649837,1.3948823,1.3115724,1.094566,0.6167796,0.5776862,1.3208517,1.0296689,0.0,1.4451137,0.4038189,0.9345313,1.1274457,1.4054649,0.9925219,1.0679076,1.1542013,1.1930182,1.2104533,1.2560344,1.274706,0.5967376,0.87459767,1.3200347,0.92720884,1.0606704,0.50544953,1.1919056,1.2993515,0.7137427,0.72936404,1.0201299,1.5293459,0.6763655,1.4243727,0.97023517,0.9719207,0.78842044,1.1281532,0.5283313,1.0463185,1.2759145,0.8968351,0.77891666,1.1901592,0.82428396,1.4832913,1.3217,1.1779444,1.258974,1.3128443,0.810027,1.2931173,1.29909,0.8627982,0.92745346,0.57048744,1.1237445,0.7354102,1.3800075,0.9211111,0.94641393,1.0122806,0.6164037,0.6223614,1.2684562,1.1749332,1.4438004,0.99950814,0.80649734,0.606848,1.1306473,1.1741331,1.0405966,1.291065,1.0561564,1.3134041,1.230711,0.582374,0.9910636,0.3137313,0.55764276,0.52366936,1.4885926,1.1121991,1.009076,1.0707095,0.8755648,1.2295197,0.80433404,1.3581123,1.1457739,1.4053018,0.61925435,1.1777356,0.90792453,0.74018633,0.6785022,0.2655788,1.0874398,0.7242141,1.3032672,0.83936465,1.2336339,0.93857336,1.5025241,0.7920522,1.3409848,1.1320298,1.1878124,0.8756315,1.3370547,1.3145506,1.0142263,0.3908819,0.93030393,0.56130266,1.3916445,1.2811817,1.2652135,0.88887596,1.0603153,1.1872627,0.86493,0.98539644,1.2632159,1.1397784,1.2162294,1.403168,0.7991134
bird,0.9747448,0.921216,0.65323216,1.451276,0.7651857,0.6020115,0.5821248,1.0193188,1.4788778,1.4399273,0.52035666,1.1735455,1.4451137,0.0,1.459438,1.2483097,0.8244603,0.47418463,1.1104112,1.1055269,1.0353674,0.85040903,0.9360413,0.74917907,0.72414315,1.2929277,1.2748551,0.61261773,1.1969392,0.96994025,1.3952467,1.0112253,0.7819324,1.0736904,1.3853517,1.0847178,0.42165494,1.3752798,0.4807123,0.9284495,0.9330905,1.2970761,1.0416825,1.3511965,1.0466383,0.8024047,0.88585895,1.1670612,1.0324272,1.2655417,0.26449537,0.5424278,0.95892733,0.77421105,0.4552287,1.3208799,0.6541233,0.49757457,1.21199,1.1980293,1.2918789,0.9286263,1.3068838,0.54551345,1.191663,0.91399455,0.97624373,1.266556,1.4162792,0.66136336,0.8315046,0.38627297,1.0849999,1.279908,1.3831445,0.7782181,0.9922566,1.0385988,0.7905222,0.9040934,0.64685196,0.7171473,1.4694003,0.8284621,1.4616514,1.4367315,1.380239,0.48435366,0.92297655,1.1075795,1.0621006,1.2704096,0.7146094,1.2464247,0.5887832,0.70615697,0.5198449,1.467502,0.7651314,1.135713,1.1888394,1.3119187,1.4650618,0.9899972,1.2944841,0.70202154,1.1829125,0.7969055,1.241661,0.5043528,1.1705834,0.6880965,1.0000544,0.8780118,1.1190438,0.5312621,0.90705997,0.91257507,1.4277649,1.130529,1.4815454,0.5510422,0.88532513,0.75443375,1.2034667,0.84145045,0.86635846,1.2836821,0.98851454,0.5728971,0.8882711,0.80770206,0.5764278,1.2629015
blanket,0.97878915,1.139812,1.2968552,0.43916643,1.1707695,1.4287264,1.306498,1.0960827,0.59777236,0.38500255,1.330417,0.70044696,0.4038189,1.459438,0.0,0.62530947,1.0117518,1.3926058,1.0607005,0.89705986,1.2151656,1.0077978,1.0531318,1.2407097,1.173651,0.7129155,0.7564728,1.3281581,0.8851352,0.983199,0.66194147,1.0461472,1.2783896,1.0125483,0.7685021,1.0942615,1.4676871,0.6038775,1.4835624,0.99035394,1.0457165,0.89960116,1.073911,0.7243702,1.0139767,1.318388,0.9125949,0.829838,1.248368,0.88318163,1.4218831,1.3047246,1.226714,1.1858273,1.2943424,0.8347869,1.3360598,1.3588827,0.6966416,0.88369495,0.84318006,1.1847043,0.9043899,1.426292,0.7377888,1.0603311,0.96504337,0.6213467,0.4607929,1.2776859,1.1278154,1.489178,1.0008588,0.94903886,0.79361975,1.0649905,1.1565382,1.2290443,1.3395889,1.063881,1.3522373,1.2910681,0.7026822,1.1216954,0.49121284,0.6881627,0.49270368,1.422276,1.1398528,0.98021096,1.0066434,0.9467649,1.222307,0.91034055,1.3691418,1.162917,1.4139473,0.76676023,1.194831,0.9293914,0.8965637,0.6270847,0.54511136,0.947117,0.7946665,1.2297801,0.7854761,1.2401874,0.6357471,1.4378277,0.75283813,1.3461981,1.0661724,1.1869519,0.7959132,1.1958542,1.3581233,0.9111595,0.53385,0.8472762,0.5544276,1.3802286,1.3057709,1.2604365,0.9543015,1.0907086,1.0457662,0.85605174,0.90608114,1.2530226,1.1011082,1.1483481,1.4354293,0.8455814
