,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,coffee,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.1526732,0.8605272,1.0169088,1.1405098,0.94954306,1.2820295,0.88506645,0.80908054,1.2221534,0.8939352,1.0037982,0.86238325,0.9040782,0.69116646,1.1242509,1.2777355,1.2055712,0.8761803,0.9466269,0.8901382,1.0235977,0.75401556,1.3064461,1.1548086,1.0339265,0.97486323,1.1367438,1.1153146,1.1131883,0.9836119,0.7893139,0.9804507,1.295728,0.80022436,1.3641398,0.8616897,0.7042988,1.0233436,1.0292145,0.9795338,1.2171127,0.95807886,0.9450649,1.2209735,0.46831524,1.0553234,0.93404937,1.1708963,0.24427706,0.9258358,0.8348646,1.265442,0.9410698,1.1591071,1.0097654,0.848104,0.9361486,1.2764317,0.78162724,0.86220485,1.1927991,0.8656092,1.1949027,0.8858589,0.9811734,1.083566,0.6145474,0.9925067,0.99937475,1.343494,1.2555833,1.2160728,1.1230912,1.0014157,1.042679,0.9799213,0.94999397,0.9477405,0.96549904,1.2270504,1.2241851,1.0251471,1.1900208,0.8353923,0.90871596,1.2881644,1.1420238,1.0676624,1.1373258,1.0485249,0.619264,1.120072,1.059139,0.92093873,0.8949299,1.0900716,0.8168254,1.1583321,0.7350538,1.3043725,0.9003035,1.0361062,1.0495083,1.166803,1.282546,1.1041695,0.9209603,0.7309201,1.276638,1.3068707,1.2801412,0.626354,1.1851524,1.0203817,1.0696634,0.9636112,1.0648661,1.0693278,1.3711118,0.83669084,1.0223902
apple,1.1526732,0.0,1.1944838,0.5516234,0.68938226,0.5617563,0.8915478,1.2569228,1.4055238,0.6057532,1.5066502,1.171619,0.8640482,1.2864516,1.2328019,0.89440066,0.5308073,1.0481029,1.269888,0.9086278,1.2271665,1.1359221,1.0063574,0.8086084,0.9352655,1.0917505,0.93748176,1.2563212,0.90794885,0.9483497,0.9679836,1.407507,1.1508365,0.4369967,1.5060582,0.63921756,1.1005323,1.3302501,1.2634096,1.2008648,1.161268,0.7918147,1.0100504,1.1531031,0.69335043,0.9369114,0.81342536,0.8375566,1.0336926,1.0484382,1.1001918,1.2009289,0.70868397,1.1255593,0.5022221,1.067107,0.94319797,1.1008846,0.45594716,0.96821666,1.313891,0.80122364,1.1892821,0.8287179,1.2101649,0.475906,1.2264286,1.1700444,0.79752094,0.8404045,0.3925013,0.8902223,1.0264157,0.60029525,1.3627236,1.1398265,1.1866584,1.2556813,1.2352252,0.9936696,0.6284149,0.7055023,0.73346853,1.0504518,1.0886184,0.93774426,0.70982563,0.5314537,1.1815355,0.9527955,1.3411802,1.2576942,1.1411262,0.95501167,1.2694441,1.157459,0.9475495,1.2740948,0.59693587,1.2595227,0.491171,1.1090766,0.9681633,1.203885,0.9029117,0.47615856,1.27372,1.2691089,1.4318953,0.68549,0.6766856,0.7531435,1.1833572,0.78351486,0.77379006,1.1252933,1.009256,1.0718397,1.0040257,0.4649217,1.3389343,1.0315324
arm,0.8605272,1.1944838,0.0,1.0739096,1.1714679,1.2254264,1.2591443,0.6170739,0.56900895,1.2476639,0.6658764,0.5352931,1.3767743,0.5863999,0.9304735,1.1752038,1.408316,1.1359208,0.7879814,0.9146281,1.0677465,1.0954218,1.2291682,1.359574,1.4040906,0.6837115,0.9921142,1.1019171,1.2191343,1.2546959,1.2355115,0.606919,0.9112196,1.3798101,0.77801776,1.442951,1.1288351,0.8995628,1.028633,0.8604628,0.7442329,1.1601232,0.7888262,1.0099319,0.8839359,0.8963022,1.4608915,0.7047494,0.9856005,0.89458483,1.0157313,0.8686274,1.1877944,0.66489226,1.3337538,0.77996695,0.88288766,0.44559515,1.3455856,1.3293867,0.33095908,1.121767,1.0715616,1.41497,0.8321852,1.1621841,0.9873157,0.5376115,1.3905393,1.2812668,1.2662594,1.2816124,1.0720549,1.0182772,0.7004564,1.1697085,0.5571357,0.5877237,0.6296576,1.0761367,1.1532679,1.1357383,0.90833974,1.0546749,0.95539737,1.2574168,1.410993,1.2665776,1.2319226,1.1806166,0.9985848,1.0507721,0.8185236,1.1452507,0.42742616,1.1732101,0.89534235,0.9778612,1.2749292,0.8975075,1.4101241,0.79997694,0.77460605,0.99779266,0.8819512,1.3719343,1.1407218,0.50534725,0.58603805,1.4052374,1.0374953,1.0184699,0.6883831,1.3563541,1.3572872,1.2025532,0.9978717,1.2445838,1.18688,1.2750988,0.8831402,0.71932834
ball,1.0169088,0.5516234,1.0739096,0.0,0.5554632,0.8273828,1.1949377,1.0287491,1.0976813,1.125386,1.2613072,0.9660148,1.2182531,1.0190098,1.1086345,1.1741579,1.0964725,1.0659357,1.0506686,0.6231244,1.0322729,0.83357674,1.1878107,1.1632098,1.1368581,0.89769894,1.1564276,1.2681549,1.0954677,1.2088103,0.70120245,1.1161983,0.9208789,1.0583086,1.229374,1.0878189,1.0161071,1.0149999,1.2678386,1.1758338,0.92505395,1.0612555,0.99981517,0.93292224,0.9009746,0.8516047,1.0359125,0.87698966,1.0778961,0.78941536,0.98379177,1.0111774,1.0162412,0.9123373,0.66890216,0.92363787,0.64963293,0.92029977,0.99195284,1.2059233,1.0648035,1.2045362,1.1861821,1.2369171,0.88675034,0.41919434,1.0539111,0.7697013,1.125051,0.59942186,0.9148816,0.99522597,1.1466194,0.6401977,1.2487502,1.0881883,0.9007461,1.1093628,1.0253023,0.9473454,1.0887867,1.0801169,0.81941617,1.0249096,0.6613835,1.0767728,0.94026226,0.43026203,1.0664322,1.1354336,1.2918174,1.1565592,1.0693859,1.0322102,1.0407486,0.9856087,0.9365878,1.0349536,1.1647298,1.0947139,1.0402423,0.9685819,0.96918297,1.0638235,1.0444357,1.0751975,1.1085751,1.0610534,1.1583772,0.9489138,0.9074594,1.0009459,0.9395866,1.0412915,0.9084127,1.1191245,1.0413712,1.0113288,1.2153492,1.0602849,1.2751672,1.0753822
balloon,1.1405098,0.68938226,1.1714679,0.5554632,0.0,0.76971483,1.0972004,0.85226077,1.1544697,0.9457264,1.2432685,1.0571779,0.9323655,1.118161,1.0730755,0.96508163,0.9065828,0.94291747,0.9517449,0.89064145,0.9797421,0.6460226,1.005626,0.8744523,0.943727,1.0887454,1.0246845,1.1031913,0.9027286,1.0328021,0.76473224,1.1966443,1.0899329,0.8838255,1.1294411,0.8247093,1.0932331,1.1882746,1.1134913,1.1351566,1.0392697,1.0773828,1.0228165,1.0466459,1.0906749,1.1441526,0.85718834,1.1141382,1.0351603,1.0576639,1.0490302,1.1067739,1.081715,1.129364,0.81125987,1.1073673,1.0654384,1.2207501,0.91212314,0.9729754,1.234142,1.1030979,1.0627241,0.8487641,1.0688549,0.7663065,1.0181422,1.1029662,0.95375055,0.78145486,0.92453796,0.89805543,1.0674505,0.57046604,1.2033215,0.9625794,1.1235616,1.223739,0.9399149,1.0473377,1.0148954,0.98983926,0.9826025,0.9559583,0.89799947,1.0028186,0.7774687,0.5849066,0.897058,0.962783,1.1315248,1.1319904,1.1629941,0.89335346,1.2365142,1.0135171,1.096556,1.1516575,0.9709297,0.91973174,1.0118705,1.0829905,1.056172,1.095452,1.0937635,0.92853683,0.9399907,1.1789767,1.1324626,0.7963612,1.039803,1.1228447,1.1030861,0.9448584,0.7087053,0.92689633,1.066412,0.9742208,0.88975894,1.0091163,1.1418884,0.98756933
banana,0.94954306,0.5617563,1.2254264,0.8273828,0.76971483,0.0,0.88673306,1.3241713,1.4320064,0.8036778,1.2832866,1.0065639,0.8792215,1.3405976,1.2413963,1.0775979,0.8536456,1.0483506,1.4142735,0.6388686,0.91773313,1.0761952,0.8659713,0.82926965,0.9450338,0.95831484,1.0417969,1.2060306,0.91460896,0.8413726,0.8071845,1.3827617,0.8656497,0.7408254,1.3748678,0.8619807,1.0439928,1.1223838,1.0966154,1.04255,1.1867864,0.71130204,1.0814763,1.063615,0.73125327,0.7757634,0.7243643,0.8624684,1.0337576,0.8838086,1.1490818,1.1662557,0.83601284,1.0482941,0.7431228,0.9769243,0.9036212,1.0168958,0.76124513,0.95575297,1.2971222,0.75729537,1.1507602,0.9513026,1.1234593,0.8359087,1.1265942,1.0976784,0.800436,0.7877922,0.82956386,0.8065054,0.9961107,0.48821884,1.1972623,1.0527482,1.2159166,1.1619768,1.3222759,0.7383984,0.79309255,0.82211554,0.7465678,1.053056,1.0162303,0.9251037,0.79140586,0.7584092,1.0643193,0.97952515,1.1758595,1.1846864,1.1472143,1.1240731,1.2091429,1.0533731,0.9907777,1.1928221,0.6613898,1.2028817,0.67561007,1.2534591,0.8917777,0.99407107,0.9546798,0.77043223,1.3121094,1.1755135,1.4218764,0.9134907,0.82134074,0.8195764,1.1477038,0.7768012,0.9839163,1.1287373,1.1018146,1.103844,0.93543005,0.78395283,1.2430515,1.1740558
basket,1.2820295,0.8915478,1.2591443,1.1949377,1.0972004,0.88673306,0.0,1.2813971,1.2251868,0.74561363,1.1047058,1.1807747,0.81845075,1.1356504,1.117471,0.6986754,0.49141198,0.7119744,1.0971823,1.165467,1.1259294,1.1290373,0.93139565,0.63641685,0.68707526,1.1374265,1.010998,0.74750704,0.6806951,0.5544465,1.1413382,1.2094008,0.9524401,0.564682,1.1021763,0.5224621,0.9086674,1.0823636,1.1379186,1.0689498,1.1559422,0.8359637,1.230044,1.1141775,1.0237375,1.1639225,0.72691965,1.2197338,0.9247372,1.3195534,1.1267198,1.165022,0.72484696,1.1958106,0.8084948,1.1216055,1.1997144,1.2933726,0.5345613,0.87398344,1.3523443,0.65132606,0.9015061,0.70236814,1.0882695,1.0724325,1.0401827,1.3083234,0.81077075,1.0946517,0.61211526,0.7601962,0.93069434,1.0908942,1.0734044,0.9262531,1.2059007,1.2864717,1.2316215,0.899615,0.7250477,0.73140204,1.0797899,0.8025267,1.2816496,0.86644316,0.6045229,0.9446627,0.86512434,0.73457426,1.1364071,1.1367108,1.1277468,0.90082705,1.3734647,1.0411868,1.1487896,1.3124974,0.7596459,1.0342408,0.5255277,1.2204012,1.1714592,0.9429519,0.87993103,0.5338659,1.0204893,1.3435316,1.2132647,0.57859826,0.84430397,0.840522,1.2865763,0.61592793,0.6609169,0.7022034,1.1560979,0.89519036,0.9497224,0.5013345,1.2601957,1.1941718
bathtub,0.88506645,1.2569228,0.6170739,1.0287491,0.85226077,1.3241713,1.2813971,0.0,0.43221587,1.2819656,0.55065084,0.8296938,1.2975111,0.6186656,0.74138343,1.1914701,1.3208647,0.9663078,0.615534,0.9946328,0.9161703,0.8044489,1.2688115,1.2642928,1.2734573,0.83042574,1.0400248,0.96573764,1.1505533,1.2142043,1.0593282,0.5351119,1.0033809,1.4328893,0.47528833,1.2575866,1.1969101,1.0526484,0.77548337,0.8531455,0.87493473,1.3349392,0.8803227,0.95295846,1.2149488,1.1255748,1.3532187,0.9458045,1.2490195,0.9866385,0.89731514,0.80670214,1.3129386,0.97861207,1.4113212,0.9308083,0.8815824,0.8413657,1.3620352,1.2231873,0.52811754,1.3204899,0.93784094,1.2197695,0.7919042,1.1160237,0.8938477,0.76503533,1.3654175,1.1744359,1.2747831,1.3480666,1.2501603,1.091313,0.541497,1.1142668,0.7898735,0.7686554,0.67450774,1.139542,1.4053532,1.3703165,1.2110969,1.157787,0.7582791,1.2598583,1.3145063,1.1296452,1.1916206,1.1797881,0.7018263,0.92130774,0.913238,1.1567361,0.6819855,1.0956862,1.0253639,0.89043117,1.1708333,0.7508929,1.5267922,0.801857,0.9912735,0.949141,1.1184207,1.3459234,0.9264367,0.771931,0.5132527,1.2267525,1.2257951,1.303545,0.85811156,1.4115499,1.1958593,0.99194896,0.8315668,1.0912158,1.0619622,1.3781008,0.6913519,0.8607971
bed,0.80908054,1.4055238,0.56900895,1.0976813,1.1544697,1.4320064,1.2251868,0.43221587,0.0,1.4035257,0.28363252,0.66682637,1.4322717,0.16160196,0.6339163,1.1104496,1.4619789,1.1711788,0.51387316,0.9913956,0.87443507,0.95525384,1.2826318,1.4126327,1.3667479,0.81015575,1.0341918,0.90396804,1.287023,1.3195521,1.1235783,0.13063455,0.79392934,1.5457907,0.36957467,1.4875052,1.2140995,1.0422112,0.88389635,0.7583136,0.86242765,1.3825788,0.9486266,0.9788626,1.3105323,1.0550916,1.495242,0.9490534,1.3296863,0.8969333,0.88646567,0.7733952,1.3561373,0.9283289,1.5185667,0.8854977,0.6446778,0.9389951,1.4277301,1.3549249,0.3936056,1.2951827,0.89579487,1.4368141,0.46714383,1.0541993,0.92790306,0.60475415,1.4628954,1.2585683,1.3660089,1.3237829,1.2638825,1.1916149,0.65115964,1.0784045,0.6370779,0.6222472,0.5983587,1.1266043,1.477406,1.4481747,1.2952957,0.77167326,0.7909018,1.2909328,1.451367,1.1331637,1.2161984,1.3088418,0.7780229,0.88152355,0.59829074,1.1849052,0.5177287,1.104075,1.0112827,0.6597159,1.2271926,0.66206336,1.6310012,0.5870679,1.0894798,0.9874075,1.2172064,1.4417162,0.97687227,0.6486815,0.31403518,1.3928363,1.4408109,1.2943797,0.79281986,1.390511,1.2709543,0.94570065,0.88954306,1.2221789,1.2167025,1.4911081,0.69008815,0.8038573
belt,1.2221534,0.6057532,1.2476639,1.125386,0.9457264,0.8036778,0.74561363,1.2819656,1.4035257,0.0,1.3254439,1.241354,0.65115833,1.3595885,1.1392008,0.7481182,0.5094386,0.9959469,1.2545327,1.1686352,1.2436507,1.1687843,0.8095445,0.5571267,0.71719754,1.3125606,0.73965895,0.9905944,0.8005631,0.7764815,1.1601083,1.3673129,1.2286577,0.46373087,1.3553333,0.58333033,0.9502349,1.214252,1.0740908,1.0106323,1.2442545,0.8238321,0.9954096,1.0195566,0.81926346,1.072671,0.76896966,0.9967304,0.91131365,1.2579306,1.1432828,1.2596964,0.71203935,1.1551884,0.6901248,1.0364487,1.2623891,1.2105992,0.5398283,0.7987962,1.3096089,0.66741765,1.0690281,0.56465256,1.3727977,1.0078727,1.2508231,1.4463185,0.65804607,1.1043015,0.6456704,0.7701432,0.8344903,0.91312414,1.1818483,0.998884,1.3021594,1.1855102,1.263006,1.1064545,0.58912987,0.64332974,1.0207118,0.9020387,1.2805102,0.8791307,0.678896,0.96793556,1.0058252,0.73689276,1.1148062,1.152013,1.1445156,0.9123325,1.2424878,1.0472966,1.0579103,1.2017449,0.49517405,1.2559353,0.44843584,1.0962768,0.9328427,1.2269036,0.9473752,0.53341174,1.059339,1.2445906,1.3461776,0.58997506,0.7156404,0.81520355,1.3078066,0.66441226,0.77624404,0.9111867,1.0225946,0.9368494,0.8296181,0.5419549,1.1434295,1.076156
bench,0.8939352,1.5066502,0.6658764,1.2613072,1.2432685,1.2832866,1.1047058,0.55065084,0.28363252,1.3254439,0.0,0.70798576,1.3974226,0.50496376,0.8521879,1.069129,1.4663792,1.1729549,0.7276525,1.1486298,0.7402724,1.0135947,1.251375,1.0883468,1.2400688,0.78027755,1.0802163,0.54474986,1.188627,1.0663823,1.2069744,0.35414422,0.77047753,1.5196457,0.3220756,1.383723,1.1418421,0.86489254,0.57778764,0.44106317,0.8772908,1.1845951,0.9855648,0.96949065,1.1727555,1.0986801,1.4479266,0.8862538,1.2464343,1.0472304,0.95584357,0.92862827,1.2886045,0.8030049,1.5093057,0.8551659,0.95084834,0.8533714,1.4626651,1.3393002,0.46368194,1.1214416,0.8150575,1.3034143,0.7744814,1.3072784,0.94586825,0.74453545,1.3767897,1.3119003,1.4306836,1.0907214,1.1551545,1.2766001,0.4575714,1.0573009,0.71471345,0.5741304,0.7432349,0.9685875,1.3721567,1.370532,1.1403098,0.7969358,0.96447456,1.1811857,1.3386767,1.4163666,1.1418351,1.2388155,0.53983116,0.92111164,0.65218306,1.2517372,0.57629156,1.0469179,0.8267262,0.73150223,1.119461,0.8092654,1.4847138,0.81948507,0.854571,0.9686044,1.2076582,1.4599777,0.9256166,0.6282356,0.4957484,1.3711851,1.3304665,1.1442838,0.8920096,1.1965519,1.3584079,0.9375217,0.9970324,1.1790559,1.0202371,1.4610893,0.6323117,0.98104656
bib,1.0037982,1.171619,0.5352931,0.9660148,1.0571779,1.0065639,1.1807747,0.8296938,0.66682637,1.241354,0.70798576,0.0,1.4348028,0.5874977,0.9245625,1.0288256,1.4616697,1.1877636,0.74039435,0.8591551,0.9360288,0.9289032,1.2305614,1.2940356,1.3753889,0.73218334,1.1023229,1.1259872,1.3302822,1.1074724,1.1816089,0.73971546,0.81068414,1.399048,0.7992319,1.4188306,1.1434277,0.81035537,1.0462453,0.8706166,0.5307284,1.0078218,0.96448106,0.8988115,0.8170992,0.9221945,1.4296519,0.7552725,1.0974545,0.9845463,1.0261239,0.93373215,1.0639691,0.7414987,1.273551,0.7015925,0.8567133,0.6146617,1.2665123,1.4730239,0.5595304,1.052758,1.1339679,1.4794283,0.8211278,1.1333146,1.0313721,0.5741699,1.3447267,1.1856136,1.2791736,1.0358707,0.9684754,0.9618388,0.95226145,1.0357393,0.27262652,0.6909373,0.5937106,1.0169407,1.1877785,1.1990566,0.8784907,0.91731894,0.8741926,1.2775787,1.2468474,1.1945238,1.2395216,1.3179915,1.0510956,1.1308252,0.72327757,1.2328105,0.46247375,1.1059234,0.67359805,0.8555139,1.1300625,0.8926089,1.3175619,0.74635124,0.88452,0.9894231,0.98216707,1.3355854,1.1017911,0.6775694,0.7092179,1.393062,1.0656226,0.9361717,0.76224935,1.1734793,1.3110454,1.0381013,1.1059506,1.2458899,1.3353951,1.2857664,0.98154944,0.94071186
bird,0.86238325,0.8640482,1.3767743,1.2182531,0.9323655,0.8792215,0.81845075,1.2975111,1.4322717,0.65115833,1.3974226,1.4348028,0.0,1.4082882,1.0917741,0.82500005,0.5519043,1.0235978,1.2771974,1.2704697,1.1859407,1.0948937,0.44686955,0.691892,0.5118771,1.4308546,0.83072335,0.9869178,0.67513144,0.8423769,1.0033331,1.3690343,1.2845075,0.56441456,1.3044522,0.6181856,0.71312404,1.077686,1.098184,1.1598084,1.2341864,0.86837125,1.0681672,1.0331181,1.1538253,1.011845,0.51503605,1.2040207,0.8422602,1.0346919,1.1046355,1.2256374,0.8509228,1.234525,0.7616143,1.2395818,1.3790561,1.408756,0.6249453,0.15016878,1.4486506,0.8889733,1.0464325,0.3814001,1.3275983,0.9337971,1.2034954,1.4171973,0.40239137,0.980087,0.7802487,0.7785283,0.8766501,1.0952176,1.270101,0.88770586,1.3895233,1.344136,1.2632875,1.0608491,0.7099407,0.73764867,1.1287496,1.0526942,1.2446718,0.69761324,0.74522316,0.96069366,0.78415775,0.646753,1.1330553,0.7884226,1.3226835,0.77946544,1.3962739,0.91979754,1.1835886,1.12237,0.8613947,1.1909562,0.5631834,1.1715835,1.1124803,1.2322038,1.0838162,0.6066854,0.94255,1.2974732,1.3689823,0.645936,0.9168248,0.95873827,1.218202,0.6399592,0.71235967,1.0281937,0.97808266,0.7713139,0.73159033,0.66703093,1.048707,1.1238632
blanket,0.9040782,1.2864516,0.5863999,1.0190098,1.118161,1.3405976,1.1356504,0.6186656,0.16160196,1.3595885,0.50496376,0.5874977,1.4082882,0.0,0.7994804,1.2274106,1.4231157,1.1564887,0.7033793,0.9240736,0.93961245,0.98583573,1.2542107,1.4064316,1.3801054,0.7587477,0.9439662,0.985139,1.2880561,1.3244454,1.0970756,0.27227986,0.6606995,1.5136144,0.5423485,1.4844891,1.17742,1.091319,0.9708897,0.94371593,0.7840667,1.3261536,0.92878443,1.0380507,1.2890418,1.0276974,1.4140604,0.94458956,1.2943869,0.9518707,0.9368213,0.7887278,1.3281195,0.8337486,1.4781444,0.9186021,0.62502766,0.9750241,1.3480295,1.3537807,0.47275025,1.3168087,1.0174102,1.4674488,0.2753625,0.9282303,0.91858256,0.46273142,1.4292152,1.1955727,1.3304812,1.2574356,1.2035372,1.0458362,0.8014362,1.016501,0.5401063,0.70754987,0.72189116,1.0293806,1.4619949,1.4245092,1.2064067,0.5219062,0.7844086,1.2740502,1.4168897,1.0056454,1.2165136,1.255289,0.8780603,0.88968545,0.58432996,1.1519582,0.59692854,1.0948462,0.97277427,0.74618447,1.2728966,0.7991619,1.5518215,0.5824839,1.0396682,0.95928985,1.1738482,1.3763746,1.0127923,0.71734136,0.5464442,1.3775415,1.4071817,1.2303872,0.89994264,1.2594566,1.364328,1.1105114,0.9346853,1.2715362,1.226325,1.4254646,0.78908986,0.7147196
boat,0.69116646,1.2328019,0.9304735,1.1086345,1.0730755,1.2413963,1.117471,0.74138343,0.6339163,1.1392008,0.8521879,0.9245625,1.0917741,0.7994804,0.0,0.93152434,1.2036732,1.1243231,0.5566285,1.0009882,0.8913955,0.98990667,1.0285796,1.3241757,1.0343032,1.1094617,1.0388163,1.0794487,1.059921,0.97294927,1.0600792,0.69838095,1.098742,1.227411,0.4983436,1.2674277,1.108635,0.9244737,0.98184115,1.0236368,0.9935175,1.1942971,1.0186716,0.9563827,1.2244397,0.98985064,1.1345342,1.1547886,1.1427864,0.8287224,0.85268104,0.8439486,1.2088187,1.2028816,1.2352333,1.0636995,0.8765789,1.0568204,1.1868547,1.0197452,0.8922332,1.1098937,0.61371845,1.1298108,0.8836562,1.1254908,1.013127,0.973815,1.0768569,1.1065333,1.2163243,1.2999761,1.086233,1.1891233,1.0102807,1.0078735,0.95069075,0.9592662,0.8289735,1.1059041,1.2191237,1.2394109,1.1530132,1.2208539,0.9252858,1.0502677,1.1384326,1.1472359,1.0777595,1.1982603,0.98383075,0.8915964,1.0478644,1.048296,0.8921795,1.0815032,1.2152646,0.7968185,1.0829817,0.31648982,1.3287666,0.83243895,1.3003149,1.0326165,1.1611208,1.1916301,1.0016263,0.99249375,0.47712302,1.1567079,1.2843266,1.2830697,0.79428077,1.2730837,0.73327434,0.7816726,0.7958368,1.0152148,1.145722,1.255702,0.6962351,1.0074042
book,1.1242509,0.89440066,1.1752038,1.1741579,0.96508163,1.0775979,0.6986754,1.1914701,1.1104496,0.7481182,1.069129,1.0288256,0.82500005,1.2274106,0.93152434,0.0,0.698819,0.9818837,0.59501433,1.2586246,1.139719,1.0915798,0.8834913,0.70847356,0.70188427,1.4018377,1.0201079,0.9230881,0.8693291,0.8464191,1.1132258,1.277137,1.066509,0.58962524,1.0665222,0.71758103,1.0313692,1.1272163,1.2177532,0.8617515,1.0114902,1.0616193,1.2038621,1.0666653,1.0309479,1.166558,0.8944372,1.1253124,0.7168472,1.2032049,1.0644029,1.2345107,0.9035413,1.301117,0.7307819,1.171956,1.261148,1.255051,0.75661457,0.8900707,1.3318927,0.6368259,0.77747184,0.7699033,1.341562,1.028781,1.1659563,1.4258825,0.7797649,1.1128956,0.78973186,0.78313977,0.93076104,1.106679,1.1709409,0.8727874,1.107492,1.2246273,0.5981482,1.1674976,0.6272967,0.72781515,1.1139992,0.95722336,1.2543479,0.9043925,0.5521574,1.0824522,0.91147816,0.7807254,1.1799076,1.1132473,1.2280189,0.75341433,1.2480012,0.9356695,1.106261,1.1006957,0.73655134,0.7900485,0.73319316,0.950649,1.1934061,1.1740675,0.96203864,0.73635995,0.9148416,1.2418324,0.83314127,0.6519198,0.9761205,1.0779493,0.91023076,0.7215461,0.60723174,0.3917182,1.1413347,0.8781576,1.0171758,0.78247327,1.1882577,1.0594505
bottle,1.2777355,0.5308073,1.408316,1.0964725,0.9065828,0.8536456,0.49141198,1.3208647,1.4619789,0.5094386,1.4663792,1.4616697,0.5519043,1.4231157,1.2036732,0.698819,0.0,0.8284172,1.2867565,1.2664764,1.2239268,1.0886015,0.86370194,0.43414235,0.6353712,1.3614036,0.92163396,0.86574817,0.57747304,0.72210944,1.0898134,1.4089751,1.290056,0.22454149,1.3915784,0.18217409,0.9444334,1.311352,1.0608957,1.2200452,1.2139544,0.8093152,1.0942471,1.1043222,0.9897489,1.2243042,0.55347466,1.218871,0.9556706,1.3057553,1.1331109,1.2495376,0.6676378,1.3529146,0.59620214,1.1696459,1.2660747,1.4184141,0.21141016,0.67445266,1.5279534,0.6778434,0.97986513,0.45755446,1.3268533,0.8771862,1.1893313,1.5097446,0.64994955,1.0223671,0.2733431,0.81679875,0.9264233,0.9714276,1.2076254,1.0839486,1.4026917,1.3179579,1.321003,1.1405228,0.50904584,0.5350355,1.1154771,1.0460207,1.2915124,0.7885289,0.6216624,0.79353034,0.8441728,0.64634013,1.087817,1.2189058,1.2349328,0.8863447,1.4280634,1.0755972,1.161082,1.2702718,0.63942254,1.252018,0.3567791,1.2063806,1.1397916,1.2294834,0.97092557,0.16664672,1.0104669,1.3430274,1.4005405,0.4293093,0.7472621,0.8210479,1.3255476,0.66284496,0.50151336,0.87867904,1.0298367,0.8717144,0.6834389,0.2513888,1.2319298,1.1452308
bowl,1.2055712,1.0481029,1.1359208,1.0659357,0.94291747,1.0483506,0.7119744,0.9663078,1.1711788,0.9959469,1.1729549,1.1877636,1.0235978,1.1564887,1.1243231,0.9818837,0.8284172,0.0,0.96323925,0.8802801,1.1892741,0.7592713,1.1514707,0.8858242,1.0093533,0.8848791,1.1060939,1.0880458,0.87465847,0.892527,0.83234596,1.1911203,1.1113236,0.9566952,1.164293,0.6417833,1.0395714,1.1119413,1.0781901,1.1071883,1.1510288,1.1148403,1.133233,1.0793521,1.168624,1.2302248,1.006836,1.2401607,0.9252144,1.1223751,0.9759197,0.64998686,1.0795248,1.0770172,1.0015543,1.1560419,1.0048047,1.0712049,0.9624268,1.0180176,1.1601108,0.85559773,1.0792357,0.86491215,1.0459754,1.0149643,0.33449847,1.157357,1.0592701,0.9150549,0.9008839,0.93644506,1.0371372,0.98105353,0.89258033,1.0432096,1.242717,1.2297281,0.9789533,1.0160357,0.992414,1.0004045,1.1648861,1.1362278,0.82496786,1.0199857,0.63226485,0.9313897,0.90497375,0.7844972,0.96732676,1.0822326,1.2648437,0.99043614,1.2138613,0.97798645,1.1629751,1.157232,0.8771306,1.10829,1.0094236,1.157718,1.0995317,0.32421577,0.4830287,0.8922935,1.0259886,1.106986,1.0218029,0.6721096,1.0888152,1.1380632,0.9971388,1.0230263,0.96717674,0.8402815,1.078253,1.03489,1.0351963,0.94756794,1.1293565,1.0545694
