,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.166554,1.1565634,0.95006436,0.90207654,1.2850733,1.3371348,0.9558978,1.0730624,0.90134037,0.8145117,0.7951575,1.4040927,0.79674035,0.7979294,0.45251155,0.8305951,0.95374477,1.2108004,1.2960814,1.2002652,0.9650215,1.101423,1.2219219,1.2944452,0.6879743,1.3460611,1.0603948,1.219332,0.7800925,1.2640908,1.1591828,0.90247786,0.96250236,0.8624269,0.7547011,0.80844665,1.078054,1.2929041,0.82467973,1.3330175,1.070276,0.62951994,0.9682701,1.0049592,1.2341998,0.79190624,1.1772182,1.1341064,0.9602451,0.72687536,1.2237164,0.96149504,1.1629198,1.1833476,1.2490089,0.66333866,0.85123307,0.9317805,1.2494777,1.0030016,1.0616798,0.98085284,0.8601167,0.96527684,0.9370471,1.2060599,0.9765101,0.95443195,1.1018894,0.89110434,1.0034037,0.7112826,1.1116172,0.8898104,1.2954652,0.9083375,0.93581027,0.9677735,0.54098415,0.98080283,1.2438786,1.244308,1.2301142,1.201003,1.2048415,0.97715575,0.84471273,0.81248343,0.8218336,0.96635413,1.3259355,1.288533,0.8475091,1.2042307,0.93067443,1.2928832,1.2080786,0.9369973,1.1200358,1.3060724,1.2345309,1.1244618,0.50597274,0.99937385,0.82449996,0.79562885,0.9077217,1.1813421,1.1706915,0.86105216,1.069333,0.72539055,1.3334681,0.7988398,1.1463319,0.9606543,1.0011368,1.2002681,0.92766345,0.8940081,0.80506766,0.86444926,1.2049328,1.2884079,0.9354605,0.84186554,1.1749089,1.1823397,0.959555,1.0616685,1.1615238,1.3413076,1.0044885
ankle,1.166554,0.0,1.083292,0.66708183,0.5404474,1.0948725,1.1471528,0.98236513,1.1184378,1.1145561,1.1560307,1.0379686,0.94276476,1.0292684,0.90199673,1.1380554,1.059006,1.2230223,1.1259847,1.2007222,1.1642044,1.0937111,0.81062275,1.1250409,1.0798476,1.0260873,1.1003044,1.1989243,0.52879274,1.2574725,1.0326828,1.2678248,1.0984471,0.9308703,1.152269,1.1749281,0.9779174,0.9346723,1.1241179,1.1060486,1.1788461,1.0275631,1.058993,0.9280535,1.0619715,1.0842378,0.9754809,0.6074838,0.92930216,1.2421861,0.9599917,0.33888412,1.2111255,1.1297622,0.4515599,0.9890088,1.2057039,0.9843365,0.7521155,0.88860047,0.8681797,1.1462314,0.99326676,0.7965619,1.1502011,0.39354575,1.0816505,1.0405244,1.1240702,1.039405,1.062125,1.0271068,0.9588698,0.98281586,1.0752213,1.2102545,0.3652228,1.0006315,1.1237005,0.78348726,1.0505674,1.009546,0.94721186,0.6461533,0.8180481,0.8769876,1.125322,1.1809174,0.87700915,0.8172163,0.994546,1.0748311,1.028072,1.0747843,0.9851723,0.9298999,1.2653201,0.8672057,1.016653,1.1173682,1.2141168,1.0881741,1.0979745,1.1562369,0.9645022,1.180134,0.9583172,0.671851,0.7569578,1.1309342,1.2290168,1.1322284,1.0458696,0.93543965,1.1913173,1.1220143,0.64815897,1.0295876,1.0571611,1.0201911,1.0335072,1.0565885,1.0603964,1.1970811,0.40265703,0.55183053,0.975025,1.0003915,1.1974194,1.2153685,1.1618363,1.137659,0.9468762,1.2070333
apple,1.1565634,1.083292,0.0,0.91457355,1.321508,0.3479213,0.25590247,0.45338547,1.1204343,1.37701,1.0708649,1.4257419,0.550376,1.51582,1.3507769,1.2793841,1.4206231,0.7480092,0.95350605,0.33788806,0.6883528,1.3962245,0.76221657,0.7950291,0.783088,1.026318,0.72161466,0.7172377,0.82001173,1.2699,1.0518891,0.5870259,1.3982891,1.2825102,1.3257583,1.0869389,1.4412254,1.1485835,0.40592146,1.458188,0.34473586,0.9924269,1.3868079,1.0297279,1.2319671,1.0919527,1.3033407,0.8927674,0.39366794,1.1325421,0.9960237,0.90586156,0.8028185,0.49090314,0.9680895,0.7151935,0.78735393,1.2077334,1.2045833,0.54877174,0.8760669,1.2077514,0.643291,1.2759887,0.65406275,1.2321258,0.49752033,1.2141477,0.67224956,1.0844669,1.193791,1.1342267,1.5119857,1.0488075,1.351959,0.59438884,1.2272608,1.199677,1.1290002,1.3361121,1.0058839,0.32285416,0.88215846,0.9516207,0.86173296,0.23904878,1.3451278,1.2215466,1.436923,1.3590558,1.3178192,0.5663948,0.6117927,0.5049132,1.0710045,0.96280444,0.5419446,0.80763525,1.1611485,1.1671039,0.8303622,0.58599186,1.1177841,1.235975,1.2743706,1.1284866,1.4054081,1.1841495,1.1177737,0.8704523,1.3425318,1.2737424,1.4058051,0.43359768,1.2494268,0.38900352,1.2016926,1.211752,0.7606678,1.2454414,1.1818928,1.3837681,1.4573917,0.4604051,0.6760205,1.1963167,1.3010619,0.94921863,0.34153384,1.23454,1.0496664,0.95068765,0.5847242,1.2295545
applesauce,0.95006436,0.66708183,0.91457355,0.0,0.9394572,0.9771549,1.0335501,0.6272159,1.019938,1.0938163,1.054569,1.1155719,1.0554454,1.1400647,1.0082862,1.0585876,1.1295266,0.9879788,0.912327,1.0389421,0.90164113,1.1851585,0.74651927,1.1087658,0.90287685,0.8852711,1.2290273,1.0356777,0.8548054,1.3505228,1.2680901,1.1658411,1.2007562,1.0051137,1.0264295,0.9160655,1.1319082,1.1622685,1.0065509,1.2055421,1.0210885,0.96880686,1.1826501,0.9838168,1.177658,1.0405954,1.1691892,0.8289413,0.7188166,1.212103,0.9957971,0.74829185,1.0703045,1.0957766,0.91455936,1.0424178,0.8067205,0.9371433,0.7720979,1.0271723,0.76006484,1.2035367,0.68705034,1.1092068,1.0394624,0.66899645,0.98770714,1.0235766,1.0930388,0.9541228,1.0601962,0.9650844,1.1722435,0.87357986,1.1356312,1.107962,0.8892037,1.0020864,1.015773,0.7249215,0.9879828,1.0341133,0.8844328,0.97807324,0.99844915,0.6975487,1.1833806,1.100491,1.111375,1.1181622,1.0672978,0.97624946,0.91841257,0.787657,1.1289651,1.0043312,1.0452838,1.0180784,1.0579816,0.89272386,1.167379,0.95401216,1.1696643,1.0561056,1.093275,0.8951171,1.1648381,0.86234164,1.0972768,0.90702707,1.3242033,1.0050597,0.9703207,1.0524745,1.1714268,0.9454906,0.8035183,1.129074,0.86532295,0.9963588,1.0748328,1.1910263,1.169736,0.9272495,0.83040714,0.7759122,0.7710198,0.9245907,0.91581106,1.0549135,1.0662395,1.1424918,1.0045394,1.1682774
arm,0.90207654,0.5404474,1.321508,0.9394572,0.0,1.361437,1.3948627,1.2453352,1.1632166,0.76614404,0.9641402,0.5882592,1.2222434,0.6487267,0.46869236,1.0169685,0.6617156,1.3623621,1.2601168,1.4479882,1.241477,0.87505794,1.0940434,1.3299749,1.320852,1.0868154,1.3520575,1.3060644,0.85421926,0.93887454,1.14376,1.3668883,0.897436,0.72016287,0.87047356,0.8560162,0.5266117,1.0028687,1.4295632,0.77568626,1.4293973,1.0490143,0.85845375,1.0326023,0.9899516,1.1670762,0.6205167,0.97275573,1.2280544,0.97244084,1.0711237,0.7531377,1.4068625,1.3650174,0.83502096,1.2787657,1.3898238,0.7698427,0.7047994,1.2305532,1.0509753,1.0254749,1.2936938,0.68496346,1.338834,0.35617673,1.4228029,0.9891555,1.215656,1.143966,0.8462577,0.8771912,0.48930663,0.9743523,0.8362013,1.4703431,0.36337698,1.0091567,1.0583769,0.6402469,1.1184556,1.2324219,1.150623,0.8744152,1.0818385,1.2600771,0.8055743,0.8847732,0.42764914,0.56935996,0.967703,1.3640342,1.2760042,1.2643737,0.9984788,1.1111326,1.3859414,1.1154914,1.01787,1.0916185,1.2874545,1.332747,1.0995024,0.98282105,0.7054769,1.0539294,0.44789934,0.9154949,0.82185626,1.1562719,0.8585074,0.9401976,0.65252984,1.3507911,0.98173356,1.3773913,0.6050764,0.96235687,1.2763953,0.98402244,0.9762972,0.62556696,0.6353111,1.4675376,0.91032934,0.6649667,0.7491507,1.1913772,1.4860241,0.9174552,1.0762631,1.1410809,1.1674644,1.0142672
ball,1.2850733,1.0948725,0.3479213,0.9771549,1.361437,0.0,0.14761198,0.7731321,1.0928348,1.3336877,1.0818338,1.3978095,0.6456122,1.5030252,1.4047835,1.2939099,1.3550558,0.7974974,0.9208853,0.44910347,0.73003507,1.3309277,0.7942033,0.81256413,0.6889957,1.0477562,0.7273108,0.69607395,0.84277904,1.2251418,1.0584692,0.49512053,1.3607125,1.2328777,1.2756737,1.1630461,1.4272356,0.9964494,0.5096041,1.4756985,0.36009407,0.8158534,1.3523297,1.0103701,1.1260095,0.9385095,1.3562987,0.9372753,0.4242977,1.1507341,1.0765314,0.9768418,0.72309256,0.52471066,1.0604928,0.74146765,0.7901509,1.2414465,1.1388195,0.71630484,0.8772403,1.0989834,0.59938574,1.3369205,0.7770332,1.2543709,0.4787066,1.1581163,0.71647626,1.0417434,1.1113092,1.1542302,1.5215335,1.0828234,1.4392426,0.48799533,1.2571169,1.1210885,1.028558,1.3266792,1.0622181,0.4842142,0.8326957,1.0239924,0.7220595,0.4038763,1.3745639,1.1959395,1.4379253,1.425911,1.2689881,0.586338,0.64810586,0.7336803,0.9931198,0.99852943,0.6418401,0.9053925,1.0647149,1.066787,0.7477894,0.44316554,1.1460776,1.2735476,1.3033378,1.1335921,1.4237268,1.1081504,1.0805337,0.93983364,1.3659989,1.1835028,1.4019488,0.53480935,1.2265692,0.5760204,1.1197121,1.0563443,0.7654208,1.2138225,1.2237185,1.3832468,1.4295315,0.3103963,0.792016,1.0993192,1.1763031,0.86054575,0.37983638,1.189439,1.0747817,1.084062,0.58708036,1.1419396
balloon,1.3371348,1.1471528,0.25590247,1.0335501,1.3948627,0.14761198,0.0,0.6952641,1.0914056,1.3911107,1.1395679,1.530404,0.4617728,1.5505142,1.4327934,1.3779539,1.4187231,0.78983665,0.9215791,0.2822299,0.73506224,1.4222858,0.80063915,0.7039855,0.6492623,1.1270181,0.5069397,0.65425223,0.8569064,1.211878,0.8581494,0.44605505,1.3567083,1.2762387,1.3560748,1.2604101,1.5366845,1.0846046,0.37120116,1.5025754,0.2272805,0.9259185,1.4004536,1.0296535,1.1178974,0.96973795,1.3122855,0.92836976,0.5189923,1.0749263,1.1437328,0.97339547,0.8006151,0.44099873,0.9922723,0.5901827,0.8590129,1.3237777,1.2113154,0.5647397,0.80747384,1.1441758,0.73036265,1.350222,0.6793609,1.3190414,0.33250475,1.1625957,0.6617576,1.0216,1.1827635,1.1502774,1.5325124,1.0443048,1.4220656,0.40188545,1.2616413,1.2015575,1.1311054,1.4181442,1.0257201,0.36798692,0.68335736,0.899551,0.7635121,0.3729155,1.3268392,1.2238657,1.4993461,1.4100728,1.3533385,0.47948098,0.58291316,0.76032364,0.90549046,1.0094547,0.5406702,0.7190517,1.1529555,0.9765328,0.6786922,0.43532717,1.03023,1.3530471,1.176851,1.1965634,1.4356629,1.1738926,0.9886257,0.8685477,1.3185129,1.2266251,1.4862925,0.38433933,1.3023667,0.46157074,1.142219,1.1849846,0.7093882,1.2341151,1.1530169,1.3926864,1.4737766,0.26267028,0.71963316,1.2215974,1.2683046,0.7557715,0.25894248,1.2591527,1.1322637,0.8696069,0.49195558,1.1523288
banana,0.9558978,0.98236513,0.45338547,0.6272159,1.2453352,0.7731321,0.6952641,0.0,1.1203794,1.3755561,1.0698669,1.4710214,0.6631578,1.450599,1.2493737,1.2407969,1.3393155,0.82241935,0.9453824,0.64685243,0.75897,1.4156339,0.55998564,0.8517926,0.8239367,0.9335276,0.8471838,0.8550176,0.7217364,1.2658191,1.0440795,0.8371233,1.4689419,1.338702,1.1961277,0.9328017,1.5005896,0.92093927,0.58127135,1.4772112,0.7254063,1.1132231,1.4240769,1.0249149,1.3437457,1.0341445,1.2863119,0.8865857,0.45800412,1.0564495,1.077811,0.8196332,0.73214734,0.8243867,0.8130183,0.7394783,0.5675769,1.0909483,1.0456293,0.75140727,0.7490999,1.2533283,0.6934514,1.3374137,0.7108898,1.0705901,0.68823665,1.2666255,0.79376113,0.79016125,1.1850611,1.065982,1.4184804,0.80391955,1.4061172,0.7231805,1.1308668,0.9949989,0.94519573,1.1739131,1.1614711,0.8424318,0.76008606,0.7873595,1.0075086,0.45387232,1.3949072,1.1640202,1.3578901,1.3596461,1.2159979,0.6081739,0.573369,0.33036232,0.97150195,0.951475,0.6114327,0.81264824,0.9701221,1.0893083,0.84591204,0.75540674,1.2243655,1.2592938,1.0886374,0.89189637,1.36154,1.1307545,1.0657015,0.74219215,1.3664052,1.236246,1.3352623,0.6695144,1.1945237,0.4477073,1.0174576,1.0363297,0.6271732,1.241936,1.3102998,1.3454403,1.4578089,0.6757836,0.7641765,0.9736756,1.0866895,0.8353478,0.6764499,1.1810213,1.0509865,1.0650803,0.82982874,1.185799
basket,1.0730624,1.1184378,1.1204343,1.019938,1.1632166,1.0928348,1.0914056,1.1203794,0.0,0.8331137,1.0910231,1.0122417,1.2085686,0.949241,0.99102724,0.99474746,0.96330535,0.86318594,0.57197994,0.9135089,0.5844754,0.72282046,1.0863895,1.0588597,0.46818817,1.0401878,0.9629914,0.94920665,1.3525299,1.1590514,0.86846083,1.0543271,0.7309214,0.820083,0.9733928,0.97257364,1.0141183,1.1265347,1.1682622,0.5831379,0.9282656,0.7431931,0.96596336,0.8212167,0.87348366,0.79294854,1.0142641,1.2879193,1.0266412,1.166392,1.1206326,1.3694841,1.0718434,0.95824146,1.3316839,1.070349,0.935413,1.0042497,0.96557516,1.3152411,1.077755,1.1466262,0.90350235,1.1496271,0.9968267,1.1306605,1.0686636,0.8505018,1.0157303,0.9215287,1.0099666,0.7007316,1.1643316,0.884661,0.8652464,1.0119915,1.1121883,1.0971344,0.98188865,1.0742683,0.65529907,1.2541335,1.0177552,1.311357,1.2663622,1.1802262,0.78698957,1.102495,1.0797329,1.160249,0.91097283,1.1253977,1.081471,1.1257999,1.0699971,0.9890546,0.80491894,1.2020812,1.0839626,0.7609117,0.9403563,1.1823876,0.73880637,0.930459,1.0359895,0.9132875,1.1470312,0.856184,1.17467,0.787678,1.0091289,0.7052549,0.9521184,1.2016109,1.0224181,1.2200979,1.0451331,1.0602804,0.81524193,0.79879034,0.6771022,1.0480348,0.83250177,0.93921244,1.3272779,1.2016981,0.9901789,0.90956426,0.8789814,0.72507095,1.0782436,0.8192328,1.06766,0.8907435
bathtub,0.90134037,1.1145561,1.37701,1.0938163,0.76614404,1.3336877,1.3911107,1.3755561,0.8331137,0.0,0.8493115,0.46221352,1.5216782,0.52150434,0.6468146,0.81605476,0.6780094,1.1592506,1.184063,1.3905156,0.8316598,0.73819363,1.255745,1.3445128,1.0281413,1.1121656,1.3719633,1.2551802,1.285369,0.8182274,1.2126198,1.3045813,0.70745426,0.7625595,0.81732166,0.76897633,0.5303614,1.054353,1.4766455,0.53771466,1.3384058,0.7222084,0.7872194,1.0768647,0.7736492,0.8887403,0.7522736,1.1789739,1.192904,0.84591603,1.0063937,1.2713908,1.2947562,1.401187,1.2959455,1.5408528,1.1955732,0.84953153,0.9131548,1.4448179,1.4352381,0.7110915,1.3382533,0.85811406,1.306989,0.9645996,1.4963646,0.80920625,1.2211447,1.1116824,0.81837267,0.8909895,0.6112867,1.0397563,0.6768253,1.3104018,0.9316901,1.0739475,0.87882054,0.88686544,1.0734841,1.325629,1.4281917,1.3377995,1.2942051,1.381948,0.5387213,0.7245177,0.69084525,0.76873505,0.8244258,1.4751873,1.3794036,1.2350426,1.2748935,1.305947,1.0306119,1.2977502,1.0915583,1.1200126,1.2518783,1.27651,0.9696251,0.78898966,1.0107439,0.7982904,0.7196211,0.99302024,1.2809154,1.0113958,0.52302843,0.23590672,0.465191,1.5087701,0.73361105,1.4728396,0.96693045,0.87346786,1.1582631,0.69338167,0.9409906,0.6719012,0.50087297,1.26007,1.4089601,1.0919989,0.81123066,1.3709161,1.3711576,0.4254039,0.8609491,1.1115124,1.3362997,0.9169625
bear,0.8145117,1.1560307,1.0708649,1.054569,0.9641402,1.0818338,1.1395679,1.0698669,1.0910231,0.8493115,0.0,0.8262046,1.1263665,0.9410461,1.0315611,0.80466664,0.7744328,1.0910522,1.2323258,1.1905295,1.1350734,1.0373757,0.97573,1.0580704,1.1954257,1.0740356,1.1641239,1.0771837,1.1296682,0.4564154,1.1625713,1.0910088,1.0448782,1.1560643,0.8749923,0.93852645,0.890255,0.9926063,1.1175346,0.98321307,1.1880518,1.1223667,0.7902019,1.1090295,1.0949718,1.103212,1.0118918,1.1048818,1.0777705,0.5467635,1.0330979,1.1355956,1.0148925,1.0915649,1.0974708,1.1096708,1.0017004,1.0133882,1.0818954,1.0631204,1.0755043,0.6320855,1.2163558,0.9561368,1.1139671,1.0764172,1.1593584,1.0640639,1.0075822,1.1021963,0.96953315,1.083722,0.84196913,1.2288746,0.9564947,1.0629679,0.97065365,0.6930909,0.95316213,0.970251,1.1408936,1.0388646,1.1107335,1.1529324,1.0879272,1.0651841,0.9887177,0.46063805,0.91773546,0.9390297,1.0993452,1.1719545,1.153049,1.0058962,0.9196896,1.1089302,1.1805866,1.132128,0.75724864,1.1305417,1.1256633,1.0651045,1.1560521,0.9029582,1.0597295,1.0604146,0.9499935,1.0580178,1.1432991,1.160656,0.7940882,0.9747786,0.8973138,1.0775061,0.8163867,1.0319946,1.0676699,0.9720865,1.1763033,1.13407,1.1263049,0.9139939,0.99856484,1.1343664,1.1142944,1.103547,1.0891705,1.1030076,1.1653239,1.0435249,0.7314943,1.2484157,1.1377584,0.9653484
bed,0.7951575,1.0379686,1.4257419,1.1155719,0.5882592,1.3978095,1.530404,1.4710214,1.0122417,0.46221352,0.8262046,0.0,1.5451572,0.34767926,0.52957785,0.6252717,0.36203432,1.1181717,1.0530739,1.5045094,1.2724564,0.5887228,1.3752766,1.2997429,1.347804,1.0749004,1.5134664,1.2417394,1.2910502,0.7744292,1.2284977,1.336156,0.6153485,0.64109784,0.6997214,0.75487405,0.063188195,1.1650214,1.5464495,0.39645672,1.4921026,0.981354,0.6137388,0.90350735,0.92455256,1.1912748,0.6384104,1.1772679,1.3339682,0.8587968,0.8231794,1.2069821,1.293797,1.3898435,1.2241306,1.6146677,1.1989319,0.75983024,1.0026585,1.4360024,1.3698778,0.8544892,1.3181968,0.72516686,1.2540965,0.90157485,1.5184009,0.7565335,1.2492677,1.233389,0.7960452,0.98685694,0.4596113,1.2000711,0.49924213,1.5351793,0.86708814,0.97919047,1.0670688,0.7175012,1.0236673,1.3034012,1.453629,1.3611534,1.2166481,1.4700989,0.7418802,0.5521228,0.38373291,0.65215415,0.7762228,1.565794,1.4689574,1.2669195,1.1020262,1.2312332,1.4310888,1.4071186,1.0258217,1.083742,1.348217,1.4040332,1.0490311,0.597801,1.0162647,0.88580495,0.5112021,0.9407755,1.1875024,1.1934379,0.66649336,0.820803,0.37227535,1.539927,0.5048346,1.4815809,0.925765,1.0661818,1.4548061,0.8424006,0.906417,0.52157944,0.35987025,1.4567257,1.3538922,1.0287513,0.8398508,1.3030148,1.385107,0.62378186,0.93407404,1.1692606,1.3830761,0.9097512
belt,1.4040927,0.94276476,0.550376,1.0554454,1.2222434,0.6456122,0.4617728,0.6631578,1.2085686,1.5216782,1.1263665,1.5451572,0.0,1.4413865,1.3993409,1.3558137,1.319794,0.8013767,0.8685076,0.42035246,1.0023366,1.370944,0.8576291,0.6086389,0.8144296,1.198689,0.40660733,0.7810012,0.59118617,1.1671518,0.69446146,0.6440262,1.3754497,1.4095824,1.3052225,1.3354752,1.5277553,0.882066,0.20740616,1.5521579,0.4671433,1.2104834,1.4241631,1.0775213,1.2207506,0.8888681,1.2810599,0.8476838,0.92729664,1.0273894,1.2399173,0.6949856,0.6618886,0.58863074,0.65898705,0.3540585,0.9966302,1.2720959,1.2428551,0.36049116,0.6625157,1.1259977,0.77080417,1.3363452,0.7540003,1.183465,0.41429436,1.2373714,0.82001746,0.7215437,1.2607486,1.2732387,1.3540221,0.9253801,1.4100075,0.4928757,1.1135544,1.1365961,1.1628878,1.4790717,1.140734,0.39985585,0.49336106,0.51149714,0.80926204,0.5604353,1.3268199,1.2680405,1.3606331,1.2727332,1.2621458,0.25829244,0.3972757,0.92393434,0.6098397,0.9250295,0.6417773,0.55112654,1.1231267,0.9491962,0.49703324,0.69527465,1.0442544,1.4706817,1.0046948,1.1551995,1.3202946,1.1653028,0.60342795,0.92129457,1.3001894,1.3413237,1.4555657,0.21275395,1.2950985,0.34935474,1.0109596,1.1057861,0.7710744,1.3806405,1.2782059,1.3604989,1.5200849,0.6345375,0.47785366,1.166683,1.1968153,0.55205023,0.5427309,1.3854284,1.1599107,0.8951958,0.34730798,1.1095275
bench,0.79674035,1.0292684,1.51582,1.1400647,0.6487267,1.5030252,1.5505142,1.450599,0.949241,0.52150434,0.9410461,0.34767926,1.4413865,0.0,0.7322036,0.65064263,0.5460369,1.206621,1.1154447,1.5249839,1.2044481,0.42470014,1.376622,1.235174,1.2856646,1.029949,1.3610723,1.2708316,1.2491621,0.78752804,0.8793202,1.4132866,0.58972394,0.48637122,0.68707085,0.8440901,0.2813233,1.0698657,1.4928381,0.34190708,1.5311692,1.0042446,0.59869134,1.1326556,0.7432255,0.8479819,0.7012112,1.237356,1.4571469,0.96944064,0.9483417,1.2357705,1.2863567,1.4359164,1.2007065,1.4084113,1.3303094,0.8422831,1.0159845,1.4599172,1.2782087,0.90464735,1.371605,0.7973596,1.3179626,0.9505765,1.5064795,0.7376632,1.3284345,0.9560246,0.8687573,0.93148047,0.46990216,1.0509981,0.3749044,1.4098895,0.8665377,0.94243854,1.0371245,0.7510318,0.9253448,1.4283011,1.278796,1.3107245,1.1902262,1.5083306,0.57218826,0.8061373,0.6633482,0.5399776,0.83397424,1.4499385,1.3953614,1.2831032,0.9625906,1.1031005,1.3498482,1.3368638,0.9973384,0.93839216,1.2264633,1.336709,0.8759897,0.7314211,0.9249369,0.81753945,0.6561141,0.9787698,1.0426911,1.096006,0.6319034,0.6292918,0.45385885,1.5062847,0.7472031,1.437243,0.8510968,0.9994496,1.3121339,0.80506706,0.7482451,0.6526373,0.19206047,1.4988662,1.4040577,1.0053478,0.82079124,1.2072887,1.5021408,0.7138408,1.0108442,0.9177738,1.388106,0.8896363
bib,0.7979294,0.90199673,1.3507769,1.0082862,0.46869236,1.4047835,1.4327934,1.2493737,0.99102724,0.6468146,1.0315611,0.52957785,1.3993409,0.7322036,0.0,0.8644897,0.61901206,1.209431,1.1469005,1.474836,1.146734,0.8066803,1.1710333,1.4191775,1.2149,0.9629563,1.514108,1.2454494,1.1681142,1.0162805,1.3108149,1.366343,0.787254,0.7455251,0.8914465,0.7896372,0.5491507,0.99699104,1.5946509,0.6466932,1.4281257,0.99742407,0.733999,0.824401,1.0785961,1.2894905,0.3106352,1.0366821,1.2231425,0.9860858,0.92935693,1.038749,1.4047858,1.4137716,1.1043987,1.552533,1.1835921,0.74675286,0.6671222,1.4024749,1.0872874,1.0916517,1.2205173,0.65862536,1.2610474,0.6273591,1.3916079,0.763882,1.1809769,1.173989,0.63548046,0.73210055,0.4662372,1.1151812,0.781829,1.5894953,0.7676494,0.958392,0.8746818,0.54817194,1.0988489,1.3627315,1.3256202,0.9071341,1.2026732,1.393058,0.8355574,0.83889854,0.21317232,0.59926564,0.8794823,1.5780604,1.4714366,1.2165161,1.2612729,1.1581321,1.3688915,1.2244804,0.97823,0.94767547,1.3926839,1.3500443,1.092142,0.7651898,0.47361434,0.9913336,0.20197809,0.847008,0.8971138,1.1536419,0.82063293,0.8993748,0.55318046,1.529078,0.8433738,1.4897149,0.8992115,0.88573945,1.3310475,0.8179835,0.9258876,0.34654367,0.66494083,1.4015117,1.234344,0.8838645,0.8638258,1.251948,1.3725446,0.6589857,1.024606,1.1909125,1.3558116,1.1326474
bird,0.45251155,1.1380554,1.2793841,1.0585876,1.0169685,1.2939099,1.3779539,1.2407969,0.99474746,0.81605476,0.80466664,0.6252717,1.3558137,0.65064263,0.8644897,0.0,0.6465022,0.92923117,1.1310899,1.3493795,1.2442976,0.86732614,1.2127475,1.1591823,1.2402208,0.8183718,1.3038626,1.1181734,1.2529274,0.789682,1.1379669,1.2696476,0.7280505,0.91970825,0.9406565,0.9151559,0.6279563,1.123696,1.3176131,0.6560681,1.3759488,1.0156666,0.53509235,0.91954243,0.9573806,1.1770685,0.8025936,1.1119212,1.2702744,1.0146333,0.71247476,1.233593,1.0854205,1.1991407,1.1486211,1.2603425,0.9237009,0.93354917,1.0584502,1.2312002,1.0267681,0.9866055,1.0476471,0.85728794,1.0059083,1.0742661,1.3066328,0.8648834,1.1582499,1.0699635,0.9162234,1.0923455,0.6943131,1.2937244,0.6830287,1.3497046,0.9975127,0.90467274,1.0053362,0.6024128,0.85444856,1.2123742,1.2426133,1.2568583,1.1055638,1.3034701,0.9474836,0.7860347,0.74194616,0.76230717,0.924988,1.3996775,1.401086,1.0092798,1.1223409,0.95797503,1.3283567,1.225171,0.9947275,1.1011343,1.3068371,1.2271386,1.0318159,0.32104993,1.0665171,0.9040473,0.8180307,0.8731216,1.1409363,1.2874631,0.8003954,1.0125073,0.6761584,1.2962598,0.7307372,1.230706,1.0567524,1.081827,1.2987931,0.8295023,0.77301204,0.78114134,0.7798624,1.2640986,1.2579808,1.0369478,0.93330616,1.083507,1.211446,0.92213583,1.0290356,1.0763724,1.3820431,1.0059963
blanket,0.8305951,1.059006,1.4206231,1.1295266,0.6617156,1.3550558,1.4187231,1.3393155,0.96330535,0.6780094,0.7744328,0.36203432,1.319794,0.5460369,0.61901206,0.6465022,0.0,1.070746,1.0050086,1.4621129,1.2346041,0.72173727,1.156243,1.1849418,1.243268,1.0552596,1.3577753,1.1560045,1.2284102,0.7465477,1.1371211,1.2936199,0.6938046,0.888353,0.79113686,0.89671063,0.38403666,1.0610914,1.4519985,0.6267505,1.475178,0.9972369,0.73840845,0.8152734,0.96188754,1.0655451,0.67080677,1.1891516,1.270138,0.7279175,1.0301465,1.2218806,1.2181462,1.3248158,1.1803695,1.4346508,1.1499858,0.9349586,1.0454694,1.3626382,1.156922,0.8886644,1.3582859,0.8760646,1.1706324,0.9616688,1.3763293,0.85465914,1.2103626,1.1081736,0.8693918,0.9594176,0.49747896,1.1829611,0.7579112,1.4039125,0.8206983,0.81596357,1.0001723,0.77094626,1.121754,1.3357362,1.0061212,1.1198546,1.2295113,1.3843029,0.8564132,0.5088593,0.36527932,0.7200446,0.9695029,1.4346583,1.3829025,1.2271211,0.7146649,1.2203182,1.3310502,1.2931488,0.84514606,0.90971524,1.2091206,1.2838793,1.1005062,0.791483,0.80330384,1.10726,0.57221603,0.9001931,0.9893327,1.2243663,0.7316252,0.9107158,0.64226025,1.4364266,0.74019885,1.4183462,0.758444,0.9913772,1.3477119,0.9978547,1.0302346,0.48103672,0.6270951,1.3960966,1.2980701,1.0179586,0.9505286,0.753969,1.3824246,0.7796507,1.0437617,1.2266843,1.3568006,0.9257126
