,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,0.8896265,0.84671426,1.1754999,0.99269503,1.1949923,0.5479706,1.0490059,1.2735071,1.2955422,0.54231083,1.233251,1.2271742,0.19989145,1.1267998,1.0711844,0.98993427,0.9491171,1.004135,1.1658738,0.97104216,0.9503853,1.0752941,0.13129085,0.7255747,0.7081499,0.86283815,0.7811965,1.1479859,1.0142246,1.2265487,1.1023701,0.8355842,1.0813427,0.7799591,1.0093007,1.3077499,0.6843825,0.6362181,1.3413464,0.8994367,0.74088895,1.2106574,1.0173452,1.0934287,1.1035142,0.88684654,1.1929746,0.84614885,1.233072,1.0974674,0.981186,1.2133424,0.30965596,0.7578342,0.8770093,0.7534452,0.12520385,1.2030759,1.3259406,0.664021,1.245124,0.7180512,1.1839184,1.1395652,1.289758,0.7179733,1.01771,1.1589465,1.0592239,1.2282133,1.1492338,0.6688512,1.2045089,1.0207005,0.86688554,0.9301387,1.218997,1.3176584,1.168932,0.953625,0.7620634,1.039856,0.81060445,1.2244172,1.1402004,1.172984,0.94684523,1.2476159,1.0449889,1.195866,0.6754232,0.80665636,0.53101325,0.9394521,0.63964766,1.2039374,0.995286,0.9369098,1.0142872,0.7346767,1.2135339,1.0391911,1.115147,1.226578,1.033753,1.0033598,0.6488958,1.2247988,0.9889637,1.1815895,1.0142168,0.9704415,1.0838703,1.2864274,0.7931582,1.3586886,0.7278601,0.9526313,1.2172782,1.1451402,0.8240559,0.91241735,0.8738662,0.98650765,1.2263417,1.3694377,0.9782753,1.1272575,0.911617,0.8281107,1.0926892,0.65953845,0.9689876,1.2434021,0.9086318,0.8498738,1.026252
ankle,0.8896265,0.0,0.6900266,0.9164411,0.7887974,1.093029,0.7874126,1.0963585,1.3594239,1.3639188,0.7970296,1.2510116,0.84462583,0.8899535,1.1693003,1.2352933,1.2349901,1.0699279,1.1957564,1.2540066,0.9205028,0.79043955,1.1021322,0.87467724,0.7550531,1.0012616,0.8177439,0.97840375,1.1038651,1.1422688,1.1446031,1.1536741,0.9841142,1.1505839,1.0025995,0.8483236,1.2418201,0.5271219,0.8013091,1.3304417,1.090523,0.5867281,1.2672777,1.2132012,0.9601212,1.0987937,0.7109391,1.036556,0.5143256,1.2035604,0.9946092,0.38951862,1.3095074,0.90263987,1.0011746,0.38357377,0.890662,0.87513304,1.1642344,1.2810781,0.6131571,0.8599367,0.91110945,0.85080314,1.3463998,0.84446204,0.5202522,1.1473913,1.24935,1.1059535,1.250186,1.0809366,0.8677207,1.1608944,1.1059923,1.0263677,1.0242397,1.1509507,1.0607098,1.266815,0.9605937,0.7168379,1.1430445,0.38587314,0.63119936,0.96615344,1.274357,0.8708132,1.0718236,0.96862924,1.2132869,0.87263286,0.88608646,0.7637728,1.1401334,0.67143726,1.0338006,1.184901,1.135157,1.148883,0.7683293,1.0705007,0.89822865,1.1536276,1.2102787,1.0482618,1.1393718,1.0112906,0.9019101,1.0787271,1.0490775,0.70919394,0.94816524,1.139627,1.249093,1.1094604,1.3331956,0.5299691,1.0668294,0.8527582,1.1092871,0.9204662,1.0717376,0.7533712,0.83236164,1.1143434,1.3680642,0.95511305,1.1758835,0.3773929,0.83163023,0.8253275,0.849235,1.0335821,1.2526197,0.8678318,0.5119819,1.1528287
apple,0.84671426,0.6900266,0.0,1.2332045,0.35303736,0.84426177,0.4620521,1.0307494,1.4647589,1.4935477,0.580326,1.431016,1.3431594,0.75059164,1.3959476,1.3924612,1.1682103,0.6228883,0.73022527,1.2922624,0.78028274,0.9918621,1.0311328,0.6573902,0.6030643,0.9402749,0.82511914,1.1211091,1.4010291,0.92014945,1.3255574,1.3234699,0.9050701,1.3507085,0.7142633,0.84824383,1.4350107,0.65191877,0.4337951,1.5237358,0.6312499,0.67554104,1.2277269,1.3732833,1.0331038,1.2929845,1.0212185,1.3170595,0.2949633,1.4290503,1.0178517,0.6459858,1.349818,0.84447825,0.64852554,0.50977874,0.6309203,0.7710047,1.2463529,1.3307406,0.2438842,1.1428003,0.53819996,1.0894107,1.0230345,1.1588314,0.33428854,1.1461262,1.4489784,1.290602,1.2622614,1.3324072,0.56681633,1.3812554,0.97228205,0.95495266,0.70380604,1.2382884,1.296804,1.3082587,0.73479086,0.20133233,1.0800979,0.5936194,0.8253565,0.693094,1.4115883,1.0755296,1.3667724,1.3433025,1.3450129,0.5648058,0.72625345,0.325436,1.0841199,0.53636956,1.1440091,1.1266378,0.7927837,1.1550869,0.24012434,1.2404475,1.1549369,1.1849959,1.4270642,1.0804212,1.1514664,0.64629686,1.2639277,1.0778071,1.3351752,1.1303563,1.1021047,1.1737725,1.4585924,0.9011042,1.4774903,0.24493825,0.42021024,1.0878866,1.0439451,0.7461395,1.0147705,0.194161,1.0261235,1.3508979,1.4432868,0.67834085,1.1458294,0.36746627,0.73673785,1.0560971,0.7726456,0.74141234,1.2073711,1.0703179,0.2697196,1.2410083
arm,1.1754999,0.9164411,1.2332045,0.0,1.2560914,0.96365416,1.2512867,1.3225915,0.85799915,0.8495203,1.229615,0.86590254,0.5446347,1.1560354,0.7677261,0.8452559,1.265327,1.3749572,1.3699573,1.1089149,1.1317346,1.0437025,1.1962668,1.2458221,1.2001069,1.2827108,0.9653186,0.79371226,0.96096534,1.1979728,0.87730294,0.896896,1.0707713,0.78711027,1.2052126,1.0476289,0.7319478,1.1534368,1.2345399,0.89998287,1.3717613,0.9589026,1.1386769,0.9381571,1.126855,0.9966479,1.065595,0.83109105,0.94237614,0.73597,0.9824316,0.74693453,0.9652323,0.96189934,1.3430586,0.96513873,1.288338,1.275602,0.8000386,0.909832,1.2235022,0.51256347,1.3634496,0.75648326,1.2350522,0.45607162,1.27362,1.1194394,0.8789424,0.75630546,1.1087039,0.66432595,1.1780692,1.0109696,1.0332376,1.1297668,1.1716807,1.0328417,0.5290194,0.990865,1.1150973,1.1947787,1.0157272,0.9701098,0.7946571,1.0374904,1.0261288,0.8648377,0.6941195,0.5797357,0.74157417,1.1776187,1.0453469,1.2852201,1.138823,1.1882517,0.8328912,1.0816368,1.396904,1.1340196,1.2310061,0.5671414,1.0667738,1.1420381,0.97284126,0.9465132,1.1382847,1.2071521,0.8048328,1.2179397,0.604841,1.0303267,0.8059874,0.9848397,0.9299462,1.1831102,0.7867665,1.2376134,1.2044796,0.7424364,1.0178525,1.2142618,1.163028,1.2565215,1.0406829,0.676783,0.8372392,1.3227634,1.1316984,0.9935021,1.2074957,0.7103226,1.1187087,1.4426024,1.0426662,1.1591549,1.1253972,0.9721168
ball,0.99269503,0.7887974,0.35303736,1.2560914,0.0,0.5201144,0.8066795,0.99587953,1.3302021,1.3517814,0.77830607,1.3172028,1.2716861,0.9238227,1.2646601,1.3024259,0.979406,0.66961133,0.69740885,1.1408656,0.87294567,1.0372313,0.9000483,0.8547318,0.7906832,0.8894746,0.96629435,1.1844956,1.3898768,0.8520021,1.3949822,1.2940973,0.89622515,1.3093319,0.8715467,0.9217006,1.3040981,0.85001034,0.6418234,1.411088,0.6241323,0.8809612,1.116653,1.2507384,0.86727345,1.2879504,1.1281414,1.181282,0.47328627,1.3431808,1.0242205,0.79442286,1.3123586,1.039398,0.76716316,0.7674803,0.7583368,0.8535764,1.1479998,1.2417427,0.6390609,0.99480575,0.46249032,1.169358,0.8980164,1.0947497,0.49725688,1.0505456,1.263195,1.3233807,1.2038321,1.2955152,0.79159033,1.3294942,0.8993624,1.0486526,0.7312046,1.1099269,1.1085415,1.3522141,0.8556985,0.56025755,0.9767262,0.77562594,0.9414962,0.66970617,1.3352555,1.0614123,1.2283139,1.3822197,1.1878984,0.7419878,0.84545404,0.75609744,1.010092,0.62356734,1.0648897,1.1502826,0.80518925,1.0526454,0.5881487,1.0993736,1.0665066,0.9870895,1.2894903,0.91495794,1.0586108,0.80009776,1.1550269,0.87295866,1.3263595,0.95518017,1.1136496,1.0242506,1.4026053,1.0116183,1.3488657,0.5195568,0.79217,0.9180544,1.0979071,0.735279,0.8257253,0.47291374,1.0434887,1.3000445,1.338211,0.37344873,1.1345379,0.54646796,0.78458273,0.9576541,0.84562194,0.55973136,1.0438964,1.0993794,0.59743685,1.2147732
balloon,1.1949923,1.093029,0.84426177,0.96365416,0.5201144,0.0,1.1351683,1.2184713,0.78766924,0.9050468,1.1588731,0.9474797,0.99444157,1.1462696,0.99424535,1.0011542,1.0037835,1.0517037,1.0254213,0.941975,1.199915,1.180723,1.0486048,1.1686108,1.2083881,1.0921934,0.97482824,1.1182244,1.1307554,0.9739361,1.0851415,1.0641083,0.9564693,0.97415984,1.184566,1.1729243,0.8976233,1.2622795,1.0934747,0.92179054,1.0315971,1.0898957,1.003664,0.9803208,0.90397865,1.1147597,1.1622308,0.98230606,0.8927547,1.0266405,0.9171253,1.0319967,0.98183525,1.0259895,1.1526308,1.1291894,1.2244496,1.0955317,1.0009289,0.8703368,1.1426474,0.7517964,0.874537,0.9714628,0.9955403,0.9020843,1.0659297,0.86652,0.9972609,1.0535802,1.027738,1.0146564,1.1586628,1.0377368,0.85085356,1.1535271,0.9531231,0.9781851,0.72134537,1.0090022,1.028908,0.988118,0.84905493,1.0628577,0.8863849,0.7135972,1.1576082,1.0397098,0.95507234,1.1179836,0.85821056,1.0719508,1.0211656,1.1908062,0.8126383,1.0122935,1.0183814,1.0822775,1.1172011,0.8760615,1.0725793,0.91019946,1.2217281,1.0616499,1.0029978,0.9346963,0.88493216,1.1305892,1.0659258,0.96046585,0.9995841,1.0935655,1.0596783,0.9878434,0.9717844,1.1174338,0.8576272,1.1054841,1.0236576,0.93122864,0.96327376,1.1224047,0.9618911,1.0198202,1.085125,0.99982154,0.9003342,0.8587752,1.175897,1.053585,1.1932933,0.8513581,1.1034425,0.79900134,0.83060175,1.2546555,1.0786657,0.99714446
banana,0.5479706,0.7874126,0.4620521,1.2512867,0.8066795,1.1351683,0.0,0.92987096,1.3174644,1.4447331,0.70576847,1.3690071,1.2493079,0.5655534,1.195331,1.2106467,1.0123649,0.8294161,0.7769176,1.1162533,0.7815491,1.0052762,0.9788466,0.46487093,0.74968827,0.85320234,0.82170427,1.1836492,1.2785935,0.9780722,1.2816777,1.212447,0.90295166,1.1438025,0.7860953,0.7951894,1.4113197,0.6634665,0.52997524,1.430527,0.77764297,0.7571012,1.1211298,1.3059535,1.0641503,1.3052888,0.85924023,1.2915015,0.64755464,1.3181133,1.0223885,0.83891636,1.2487255,0.70216584,0.74625003,0.63955307,0.6823007,0.44938415,1.308095,1.2702013,0.576819,1.1314911,0.5954743,1.1736695,1.0765244,1.2119392,0.58583724,1.1477273,1.303153,1.1174697,1.105096,1.322207,0.66857713,1.2747927,1.0665119,0.8576565,0.5358458,1.1647897,1.2821021,1.2019359,0.8334121,0.6534317,1.0511997,0.7987871,0.9720607,0.792696,1.2415459,1.062813,1.2997925,1.2033098,1.2150762,0.6580073,0.69205934,0.32701838,1.0417064,0.62668705,1.0815824,1.1009048,0.723267,1.1600239,0.6081735,1.2536532,0.9883461,1.0823176,1.3137621,1.1356394,1.1587783,0.73706836,1.2193172,0.8529384,1.2584854,0.96122706,0.98748326,1.1268983,1.2875712,0.90588963,1.396615,0.5379342,0.7335781,1.1922897,0.98206776,0.70607424,1.0346581,0.67754596,1.0557297,1.3085507,1.3578508,0.733231,1.1031437,0.69691294,0.74497175,1.0371261,0.79548526,0.77409697,1.2000206,0.9998811,0.66376865,1.2498212
basket,1.0490059,1.0963585,1.0307494,1.3225915,0.99587953,1.2184713,0.92987096,0.0,1.0984807,1.130103,0.8491637,0.9690488,1.310831,1.0274599,1.1042109,1.1851188,0.71230507,0.62135816,0.5352993,0.69146574,0.53856844,0.91399837,0.6154898,0.9798684,0.69342405,0.7437397,1.091086,1.2145152,0.7628393,0.82201284,1.0802597,1.0744305,1.0460504,1.1627226,0.67689943,0.6458861,1.2252104,0.8134595,0.88075197,0.9602963,0.59065115,1.0699835,0.8321073,1.1808103,0.90999633,0.9152157,0.8548753,1.1834948,1.1225607,1.1589153,1.2355992,1.2671273,1.0555314,1.2570119,0.6676391,1.2501805,0.6215626,1.0231851,1.236053,1.0257709,0.9906077,1.3565961,0.7958595,1.3631818,0.63995105,1.3583727,0.9354232,1.1730244,1.0902265,1.280597,0.7276499,1.3255062,0.90604806,0.80359745,1.0246103,0.77013636,0.9160211,0.8115908,1.3687532,1.0368074,0.81136155,1.1008898,0.87112856,1.1315508,1.3292177,1.1432455,0.68323094,1.1575979,1.294319,1.3093158,1.0791625,0.912988,0.95886385,0.9241034,1.2040101,0.8099427,1.0027927,0.9418683,0.50317353,1.1514876,0.9450607,1.170937,0.67426586,0.70356756,0.8650266,1.0326155,1.1583391,0.7833612,1.1028866,0.88035214,1.3746603,0.93251634,1.1860461,0.91248244,1.0004468,0.6377486,1.1146059,0.98997587,0.7982753,0.9684043,0.88623923,0.7499591,0.88281053,0.9635339,0.8723816,1.3463852,1.12854,0.8998647,0.6449847,1.1755861,0.67732733,1.231935,0.7873083,0.73086715,0.8965519,0.7294497,1.1330773,0.9082411
bathtub,1.2735071,1.3594239,1.4647589,0.85799915,1.3302021,0.78766924,1.3174644,1.0984807,0.0,0.4851675,1.415591,0.6915159,0.7340012,1.3183293,0.8021972,0.64425045,0.94507873,1.3050123,1.0393282,0.755064,1.2518334,1.2572552,1.1047795,1.3543327,1.4497938,1.1824023,1.150455,0.995065,0.8623488,1.0394776,0.7230311,0.7972919,1.0597252,0.69416803,1.2750016,1.1938577,0.6540204,1.4288392,1.4021325,0.4871347,1.2926838,1.3089585,0.6378893,0.8317474,1.0929451,0.87401205,1.0288107,0.85801566,1.4790921,0.7938614,0.91308266,1.3038869,0.6269552,1.1609805,1.3758562,1.3530416,1.386136,1.2634761,0.83628535,0.6060793,1.481591,0.86801857,1.236597,0.89441615,0.9878018,0.8482395,1.5296953,1.0001932,0.6993885,0.7460512,0.8080808,0.8324569,1.3350725,0.771559,0.9055066,1.0486337,1.0652767,0.9086191,0.7019253,0.74990356,1.1730925,1.3899672,0.9876354,1.3562719,1.060279,1.0066202,0.7978432,0.89044094,0.73790133,0.8657384,0.6423665,1.3302798,1.1813458,1.3654029,1.026478,1.4225059,0.72524256,1.0140259,1.0911543,1.006653,1.466039,0.8223178,1.2425841,0.9942126,0.7408522,0.85060906,1.0233316,1.2672412,1.0114328,0.8753365,0.76257384,1.1145685,0.96183366,1.027122,0.5665823,1.1141971,0.49346596,1.535603,1.2217181,1.0782307,0.8058351,1.2918632,1.0692987,1.4464879,1.2015173,0.7520971,0.3767804,1.2298735,0.9499588,1.463568,1.3372256,0.88288033,1.3684791,1.1070373,0.60191107,1.2836895,1.4530687,0.8514678
bed,1.2955422,1.3639188,1.4935477,0.8495203,1.3517814,0.9050468,1.4447331,1.130103,0.4851675,0.0,1.3837042,0.4407707,0.67192316,1.3013349,0.41557956,0.7215687,0.9806461,1.3942206,1.3674955,0.83740443,1.4266007,1.1501431,1.213993,1.4000702,1.4615698,1.2156374,1.122827,0.7724502,0.5894302,1.1959009,0.49110377,0.6806762,1.1160843,0.6761029,1.2916542,1.3277862,0.3007406,1.4158168,1.5274665,0.15043652,1.4203284,1.3392363,0.821328,0.64382374,0.88841534,0.71907616,0.9927676,0.6372415,1.5253968,0.571231,0.85003424,1.3389207,0.6501311,1.146422,1.3601352,1.3465338,1.4607838,1.321883,0.55574733,0.7541355,1.4944787,0.8400084,1.4454014,0.8607756,1.1839162,0.9051973,1.53281,0.99140304,0.55085564,0.69260436,0.9240106,0.53539395,1.4688668,0.53208464,1.0741258,1.3098005,1.2829928,0.98490506,0.6783252,0.6951536,1.3877498,1.4161117,1.139614,1.4312272,1.0766631,1.1505338,0.88521993,0.80186546,0.5091692,0.6985457,0.8254364,1.5014497,1.3857582,1.4143403,1.0353391,1.3510422,0.93458194,0.8757866,1.3545091,1.0003531,1.4293817,0.6736986,1.1499463,0.9442473,0.67587805,0.8885625,1.000795,1.3344448,0.84055996,1.0979275,0.6424498,1.0610862,0.8954888,1.115405,0.45826298,1.2816842,0.30646586,1.5244422,1.2767751,1.0551165,1.1335045,1.5025561,1.2879436,1.4182128,1.0268142,0.6003858,0.41478932,1.2374707,1.1464593,1.4589998,1.3353548,1.1892594,1.3731978,1.123584,0.81215,1.0412097,1.4474027,0.8381969
belt,0.54231083,0.7970296,0.580326,1.229615,0.77830607,1.1588731,0.70576847,0.8491637,1.415591,1.3837042,0.0,1.1916034,1.3239679,0.5918179,1.250407,1.2048823,1.0061233,0.64061654,0.7802802,1.1678165,0.8970821,0.85461545,0.96863455,0.49445325,0.43241513,0.8221605,0.9024141,0.8710469,1.088716,0.97134143,1.3041451,1.2476052,0.70872664,1.24932,0.71099603,0.9646433,1.371911,0.6557945,0.37250137,1.4162842,0.65062493,0.8131877,1.1932797,1.3250728,1.2597849,1.1286719,0.9769416,1.1233655,0.71761376,1.3496277,1.1717101,0.8535287,1.3629748,0.62863034,0.73108935,0.7397815,0.5798435,0.6392145,1.086986,1.4880316,0.29027408,1.3421013,0.6784556,1.2660564,1.0736622,1.366037,0.51674664,1.1843215,1.2494619,1.2275522,1.3498195,1.2212965,0.39997363,1.1963778,0.9483189,1.018526,1.0012544,1.2282134,1.4434347,1.3651371,0.9559614,0.4003402,1.0450495,0.62199146,1.1791229,1.1358637,1.1604087,0.97194743,1.208597,1.1967254,1.2499026,0.42874628,0.65416306,0.42344075,1.1385338,0.43593538,1.3153405,1.118306,0.8157698,1.1722659,0.3849259,1.26025,0.9390318,0.99575126,1.2814329,0.9727238,1.192388,0.52384967,1.1210867,1.0071229,1.3439686,0.9863688,0.99367857,0.98239154,1.4248595,0.6003738,1.4117334,0.3353995,0.5844606,1.0418016,1.2982624,0.6571169,0.8631428,0.5986675,0.9960655,1.3559678,1.5150425,0.8227214,1.1092997,0.7152257,0.8017726,1.0975258,0.5782226,0.89703476,1.2062556,0.7824321,0.44679433,0.9845766
bench,1.233251,1.2510116,1.431016,0.86590254,1.3172028,0.9474797,1.3690071,0.9690488,0.6915159,0.4407707,1.1916034,0.0,0.894489,1.2227352,0.4904886,0.78182054,0.82887125,1.3035097,1.1696765,0.7046491,1.1912602,0.9817697,1.1224878,1.3201805,1.2132215,1.1914816,0.9485861,0.93908554,0.41917574,1.1853948,0.75128466,0.9799237,0.9497038,0.6792034,1.0502512,1.1939093,0.38975286,1.2123843,1.249497,0.54434794,1.3059418,1.222345,0.8853695,0.86186147,1.0745351,0.8730874,0.8547847,0.7657653,1.3273029,0.8810348,1.0875802,1.2025177,0.8763149,1.0675635,1.3639007,1.286465,1.2407026,1.2874001,0.8005655,0.9221444,1.3862811,0.91146004,1.2399848,1.0360049,1.0278468,0.95118487,1.3764037,0.9730824,0.6409476,0.9225066,0.9134232,0.7140424,1.2062945,0.5853125,1.0511051,1.1152259,1.1240866,1.002374,0.7814671,0.8378957,1.3075603,1.37285,0.89991087,1.2956817,1.1079824,1.048233,0.77401984,0.9896652,0.73819697,0.78722966,0.7455629,1.2424321,1.1112205,1.2383481,1.0585799,0.95274276,1.023547,0.99298596,1.1347446,0.9825908,1.3337208,0.94199604,0.97060806,1.0430744,0.82145596,0.98498493,0.9780935,1.0417539,0.945655,1.0815408,0.86549467,0.88854504,0.944195,0.9450677,0.781036,0.8942538,0.43831933,1.3311964,1.1662292,1.0163058,1.1136,1.2620286,1.2305117,1.3634415,0.9655254,0.8585683,0.6535216,1.15025,1.0004777,1.3960432,1.2093703,1.0408233,1.1180831,1.1727374,0.81342757,0.8933581,1.4060358,0.8914396
bib,1.2271742,0.84462583,1.3431594,0.5446347,1.2716861,0.99444157,1.2493079,1.310831,0.7340012,0.67192316,1.3239679,0.894489,0.0,1.3113036,0.54485035,0.7878037,1.1700618,1.5230064,1.5418459,1.076627,1.2733374,1.1873105,1.3223298,1.3851852,1.459029,1.3235636,0.95984894,0.8279797,0.96645343,1.3386537,0.7884704,0.7153916,1.1732302,0.6529062,1.378048,1.1394687,0.5905793,1.1709836,1.4995811,0.73399436,1.5666208,1.0390756,1.0144111,0.7292906,0.96028996,1.0141282,1.0041624,0.56319946,1.1756763,0.5485463,0.6609603,0.9144263,0.8398488,0.9865261,1.4303607,0.9977308,1.471344,1.276674,0.7337456,0.82543,1.3682578,0.54274666,1.4087207,0.54585755,1.3357913,0.55419993,1.3323383,1.037627,0.7557534,0.57822084,1.076719,0.62869114,1.498157,0.9610878,1.2250028,1.1146338,1.2023153,1.017731,0.46463692,0.8494803,1.1629096,1.3127229,1.1348106,0.955523,0.7374173,1.0581763,1.1134089,0.7093198,0.3329035,0.52661407,0.77788484,1.4874152,1.3473275,1.3907447,1.0248144,1.2731353,0.686183,1.0903711,1.4849613,1.052693,1.3925122,0.5904775,1.0423697,1.1471703,0.8656987,0.99451816,1.0537446,1.4736097,0.53872156,1.1927457,0.41913003,0.86691666,0.7809102,1.2438477,0.7271075,1.4611168,0.74777997,1.3489057,1.4235399,0.80111074,0.9331473,1.5174308,1.3383473,1.386995,0.960656,0.4586491,0.71087813,1.3609278,1.1017784,1.1003661,1.2724257,0.935518,1.2607332,1.3255765,1.0396948,1.2257475,1.235595,1.0885226
bird,0.19989145,0.8899535,0.75059164,1.1560354,0.9238227,1.1462696,0.5655534,1.0274599,1.3183293,1.3013349,0.5918179,1.2227352,1.3113036,0.0,1.1665667,1.1093858,1.0530938,0.83570504,0.9062592,1.1665473,0.93807536,0.8724363,1.0594945,0.095302165,0.7054516,0.7702006,0.94654477,0.92037535,1.1683407,1.0109375,1.2624034,1.1599492,0.9627227,1.1443266,0.77294207,0.97349185,1.3070865,0.78583163,0.5824995,1.3330841,0.80562055,0.8573963,1.2089305,1.0984558,0.98864627,1.15299,0.987753,1.1554396,0.7884109,1.2673736,1.1015344,0.99995816,1.2468739,0.46193182,0.7240191,0.8266295,0.749563,0.24195755,1.1915152,1.3545623,0.5756056,1.2152545,0.745062,1.2248585,1.11535,1.3040674,0.62881637,1.0546564,1.21199,1.0670631,1.2068282,1.0948277,0.5578395,1.2122608,1.0829134,0.8997998,0.96688414,1.226915,1.3064351,1.1632079,0.98945665,0.69793546,1.0347635,0.8458991,1.2136022,1.1044174,1.1250521,1.0297339,1.254131,1.0410365,1.2680748,0.63269055,0.8031826,0.5537353,0.9978451,0.6693586,1.2724769,1.0425617,0.84911156,1.0561361,0.70822126,1.2150629,1.0292174,1.0635397,1.2693946,1.0394062,1.0456629,0.6199203,1.2278382,0.9498253,1.1973481,1.0205415,0.9159672,0.940614,1.3152287,0.75258803,1.3354154,0.63094485,0.79738736,1.2278792,1.1610783,0.7031108,0.9399227,0.71763515,1.0198511,1.2291623,1.3981109,0.8842036,1.1323843,0.8190832,0.8740094,1.0954434,0.7001194,0.88126314,1.2392795,0.84208536,0.7309743,1.0973858
blanket,1.1267998,1.1693003,1.3959476,0.7677261,1.2646601,0.99424535,1.195331,1.1042109,0.8021972,0.41557956,1.250407,0.4904886,0.54485035,1.1665667,0.0,0.7869395,0.95331925,1.3913527,1.3564361,0.8978313,1.1945136,1.1571741,1.1863999,1.2910969,1.4119159,1.1648877,0.99579483,0.8564798,0.8020421,1.2558548,0.80155975,0.7723584,1.0606655,0.7291037,1.1640105,1.1130065,0.3973177,1.1881521,1.4491968,0.61594886,1.4138799,1.2574179,0.93826896,0.78670394,0.8718904,0.9967707,1.0515554,0.60339004,1.3092916,0.6565604,0.9611055,1.2153981,0.8561398,0.9629001,1.2808207,1.2710943,1.3822826,1.1529756,0.5826657,0.8608912,1.4598246,0.70042264,1.2851558,0.93392074,1.1049565,0.9080411,1.3772764,1.0350028,0.63269585,0.75663745,0.9254246,0.56614715,1.4768636,0.88981485,1.1880192,1.1728727,1.0956231,0.9770913,0.598593,0.8729899,1.1977853,1.4032733,0.86432767,1.238339,1.0789325,1.1004761,1.0270283,0.80757284,0.4664595,0.65726495,0.8247259,1.4864042,1.3483961,1.2733102,1.0737795,0.9866786,0.8724251,0.9653524,1.2905322,1.049925,1.371443,0.6520219,0.9330015,1.0332515,0.8158599,1.013042,1.037246,1.2918148,0.60317904,1.111049,0.6744147,0.7819972,0.8691976,1.2123888,0.7740294,1.3197981,0.6723909,1.3700882,1.2949735,0.9440064,1.0226858,1.4631786,1.3191882,1.4030435,0.8822581,0.6675275,0.71536535,1.182167,1.0269431,1.3757359,1.1916416,1.1765559,1.030498,1.1539488,0.935182,1.0943023,1.4434311,1.0487754
boat,1.0711844,1.2352933,1.3924612,0.8452559,1.3024259,1.0011542,1.2106467,1.1851188,0.64425045,0.7215687,1.2048823,0.78182054,0.7878037,1.1093858,0.7869395,0.0,1.0269988,1.2819084,1.182674,0.9324998,1.2061697,1.1763284,1.1472378,1.1514999,1.3585634,1.0125766,1.1657882,0.8255122,0.91155845,1.11641,0.82638425,0.8175646,1.0351866,0.6579452,1.222335,1.1765589,0.76317215,1.35357,1.3093545,0.74827325,1.2931628,1.1425766,0.88003254,0.7277732,1.2002167,0.8990698,1.0222362,0.94270337,1.2911317,0.7551904,0.96158886,1.1783814,0.75884706,1.0031351,1.2985032,1.2039977,1.3336506,1.0979419,0.8292339,0.84503305,1.2988391,0.95407116,1.3267632,0.9170389,1.0293198,0.9298236,1.3395499,0.8659906,0.8051394,0.7710418,0.9123845,0.8205125,1.1942961,0.8630386,0.9517844,1.007561,1.078711,1.0120845,0.79862875,0.9002403,1.1892061,1.2523124,1.0745488,1.2423506,1.0227362,1.0944463,0.8603164,0.8427614,0.8218266,0.81397617,0.81515723,1.2611322,1.216896,1.2819207,0.848788,1.3514369,0.8604358,0.97451556,1.2377816,0.8771057,1.3293025,0.7718189,1.1499493,0.9672393,0.9374689,0.87126005,0.87649035,1.2172682,0.95559454,1.027998,0.8322463,0.83843464,0.9134735,1.039061,0.8095504,1.1089066,0.64019525,1.2679565,1.1904069,1.1609328,1.0203147,1.2778702,1.0499555,1.3688403,1.1269506,0.8679246,0.84715766,1.1703113,1.0189732,1.3073169,1.2537651,1.0468737,1.2835816,1.2408876,0.98793495,1.1620433,1.2639878,0.9159585
