,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,0.9855995,0.94797,1.077049,1.0677408,1.0552734,1.0334095,1.1754484,1.125562,0.81083333,0.9705119,0.7123104,1.0526282,1.0696733,0.53291905,0.90137047,0.9385741,1.0141803,0.94764096,1.1084583,1.0480943,0.9545125,1.0044357,1.1783813,0.26196605,0.97202414,0.9941797,0.99769026,0.7003194,1.1046548,1.1102326,1.0730679,1.2502174,1.0980432,1.0077658,0.9676241,0.80632293,1.1128286,0.92225647,1.1873412,0.76933396,0.9294704,1.1033752,1.0680312,1.00216,1.20593,1.0691494,0.8570282,1.0336239,1.0980598,1.0669917,0.8752177,0.8289373,1.002579,0.261127,1.1516731,0.92680585,0.9459069,0.95320785,1.0903256,1.0791095,1.100379,1.2287686,0.95913,0.8355664,1.031539,1.0054518,1.1778235,0.9284741,0.914765,1.0919994,1.1561224,1.1581017,0.9854686,1.1807308,0.9751291,1.0530374,1.0426332,0.76171786,1.0172273,0.9604414,1.0099152,1.1117948,0.9988009,1.1969259,0.98502094,1.0448788,0.8925611,1.1178548,1.1752113,1.0020252,0.9669373,0.8929976,0.97155714,0.79903,1.1775032,0.8123821,0.90651727,0.8026406,0.90421253,1.0079618,1.0271943,1.0064933,1.1429589,0.875886,0.8365142,1.0974269,1.1768512,0.9128612,0.9386136,1.027027,1.0067073,0.9939032,0.97639346,1.016224,1.1489797,1.0687668,0.8006958,0.9387967,1.1514752,0.96881604,1.152279,0.95462406,0.9913261,0.95825547,1.0154521,0.84728074,0.99270546,1.1680402,1.0706843,1.0433555,1.0251504,0.9811408,0.9298071,0.7935938,1.0329297,0.9496975,1.1049178,1.1288816,1.0823697,0.93480426,1.0240747
ankle,0.9855995,0.0,0.75305295,1.0960224,0.9627993,1.008699,0.93939763,1.0655729,1.236978,1.0851778,1.2022042,0.8611523,1.1039499,1.093499,0.6679168,1.0659022,1.019881,1.1196157,0.99089825,0.83667386,1.237622,0.7328499,1.0821611,1.1295015,0.8501901,0.9604366,1.1119483,0.69225216,1.0644614,1.1780837,1.1296734,1.185146,1.1546701,1.1292641,1.1361066,0.9529728,0.93944657,1.2282529,1.0364635,1.1131576,0.83570063,0.83336496,1.1297752,1.1874673,1.0523369,0.8670236,0.77846014,1.0302055,1.1364522,0.6710238,1.0113463,1.0619973,0.8495652,0.9930975,0.9208034,1.1292361,0.7934172,0.77569926,1.0372671,0.84574527,1.1303122,1.0197878,0.8821993,0.84062517,0.76631624,1.0389545,1.0414191,1.0463066,0.98118883,0.933839,1.2463531,1.097914,1.1648499,0.7361479,1.0226612,1.1345178,1.035816,0.89251626,0.97948444,0.9816809,1.0438403,1.2183971,0.70597064,0.9243836,1.0875232,1.0743259,1.0269973,0.958893,1.181107,1.0768355,1.0141853,1.0162209,1.0081289,0.82605135,0.8967572,1.1404849,1.0587658,1.007135,0.75583726,0.82729864,0.8851271,1.1246588,1.0838078,1.202787,0.964733,0.72955894,1.0685537,1.0198817,0.93496656,1.0613124,1.1015573,0.71935,0.7199433,0.8030981,1.1779847,1.1314795,1.1521422,0.6995303,0.967933,0.8852502,0.98833287,1.1695452,0.9579668,0.9737822,0.8334773,0.7891307,1.1030895,1.1006341,1.2231926,0.9186483,0.7068537,0.79176843,0.9950263,0.96151835,0.9630232,1.3018878,1.2063766,1.1415169,1.0355926,1.0246593,0.9187609,1.2349262
apple,0.94797,0.75305295,0.0,1.3471217,0.7684206,0.72732955,0.91918445,0.91960514,1.493132,0.99934286,1.5012574,0.56785405,1.4899322,1.4405746,0.6756544,1.4335419,1.1840426,1.0409929,0.57045794,0.4152664,1.3531623,0.2973268,1.1493909,0.872655,0.618477,0.6782742,1.2021711,0.35920632,1.3171844,1.4640651,0.9260081,1.3442719,1.2085767,1.1444476,1.4267286,0.96370137,0.52047,1.4817703,0.5368109,1.0181897,1.300946,0.8295182,1.3024864,1.3341365,1.3836088,0.8719913,0.28317374,1.3524022,1.1979272,0.6557561,1.1592205,0.8222947,0.7807479,0.87064713,0.6670463,1.3046632,0.43133676,0.6569854,1.2867236,0.94311434,1.3084329,0.695649,1.1276265,0.3092593,1.013886,1.2899661,1.234031,1.1207107,1.2418593,0.63772273,1.4172325,0.98590827,1.2026861,0.07383561,1.2829664,1.2115742,1.2929114,1.2104397,0.72630244,0.573736,0.87414384,1.3089964,0.7789635,0.35278767,1.2806672,1.1768233,1.4471598,1.2357285,1.3003335,0.9435824,0.8580767,0.82952285,1.0128407,1.2051377,0.89965147,1.1743541,0.7805851,0.43602598,1.0729957,0.5054333,0.3066839,1.1761887,0.832084,1.3489631,0.996172,1.1163739,1.2488124,1.1002039,0.61336136,0.77413166,1.3626226,0.7558929,1.051531,0.6366241,1.3321798,1.2553496,1.3818188,0.37758076,1.2855202,0.52482235,1.0348186,1.1597651,0.75326663,1.2180699,1.0181962,0.28286326,1.2061503,1.3065139,1.3969309,0.6044585,0.46860558,0.6996927,0.8391523,0.761701,0.58733594,1.3199363,1.1793797,1.0753968,0.93589187,1.1970747,0.5257281,1.4507838
arm,1.077049,1.0960224,1.3471217,0.0,1.1187248,1.1992651,0.8667734,1.2976972,0.47290623,1.0556898,0.4155646,1.4710462,0.49586838,0.582914,1.3296084,0.7343891,0.78383803,1.2653098,1.4851301,1.4145128,0.93391067,1.3985956,1.2341554,1.3631122,1.4167147,1.4272735,0.9355573,1.3595567,0.7838913,0.6038118,1.2544761,0.7409003,0.946653,0.99713045,0.41694307,1.0017691,1.4495404,0.6051556,1.4254086,1.1539935,0.7864624,1.1977828,0.91939384,0.8310307,0.69374704,1.0109577,1.335755,0.6701736,0.59953636,0.9176632,0.80635697,1.3808421,1.038648,1.2660507,1.3269402,0.6762214,1.3575021,1.0942435,0.7056916,1.1358197,0.59932053,1.256825,0.5745983,1.485215,1.1094116,1.0064126,0.6719367,1.0854672,0.60385984,1.3426876,0.62681276,1.0706388,0.9174523,1.2614441,0.90477914,0.6923002,1.090868,0.79247165,1.3725573,1.2123272,1.2475082,0.9447482,1.0394187,1.3682785,0.93700695,0.9451184,0.5638201,0.59112227,0.81472564,1.0637742,1.3166573,1.3100667,1.0309814,0.87056565,1.139377,0.9485428,1.3806145,1.3893557,1.0202239,1.1428548,1.345881,1.1300623,1.3831034,0.8333937,1.0981894,0.9935266,0.6529827,1.0315862,1.382287,1.2445593,0.3953913,1.3485755,0.94201696,1.4208701,0.7725726,0.924625,0.48755485,1.5020993,0.61681134,1.4067646,0.99468523,0.85220253,1.3171637,1.0136881,1.0460443,1.4300723,1.0148685,0.48461717,0.45743144,1.2975136,1.1866815,1.1073505,1.2082202,1.3576937,1.4045494,0.7874893,0.8494574,1.201293,1.2217623,1.1596154,1.214865,0.7552304
ball,1.0677408,0.9627993,0.7684206,1.1187248,0.0,0.051,1.0625712,1.0151385,1.1879823,1.0714743,1.1902118,1.0470327,1.2768517,1.1579212,0.9645868,1.1307192,1.0851179,0.9989459,0.79443973,0.88822186,1.1461409,0.9243818,1.0582312,0.750051,0.8869875,0.9524083,1.056466,0.9309825,1.1617367,1.1863415,0.7848197,1.1585091,0.9462568,0.9425245,1.1540271,1.1352789,0.9106878,1.1798117,0.8778133,0.81130373,1.0899816,0.9395857,1.2141876,1.2190603,1.1090113,0.9605702,0.7217213,1.2266152,1.0945939,0.91699123,1.0727413,0.8239227,1.1088884,1.0478643,0.8742542,1.0508624,0.9876832,0.84146947,1.0931182,0.8994415,1.1147178,0.8039819,1.0480946,0.7795776,0.976475,1.0924026,1.1031926,0.9865665,1.0631688,0.971175,1.1282439,0.93551433,1.0746945,0.79276687,1.0808489,0.89182895,1.108318,1.1685727,1.1147152,0.83492833,1.0403366,0.97340924,1.0255408,0.8377919,1.112597,1.026924,1.1735096,1.1618545,1.0782098,1.0356836,0.90785193,0.92244375,1.0734639,1.0375328,1.1476073,1.0621046,0.88489735,1.0131388,0.9625189,0.9588612,0.61373276,0.9778152,0.96920335,1.1590425,1.0905644,0.98950505,1.0949105,0.97779405,0.89271116,0.9366471,1.1477137,0.83576,1.1529903,1.0402523,1.2257223,1.124513,1.0524876,0.9091847,1.0607488,0.7524553,1.1049298,1.0936786,1.0425664,0.9475451,1.1795346,0.8628698,1.0241958,1.0997231,1.1274688,0.8946096,0.91534597,0.97813344,0.9048372,1.0326267,0.45227224,1.0808057,1.0480462,0.85743964,0.97917557,1.1125412,0.96159846,1.1566577
balloon,1.0552734,1.008699,0.72732955,1.1992651,0.051,0.0,1.0833542,0.99456125,1.2497443,1.0488529,1.2645684,0.94565743,1.3403257,1.2022998,0.9428138,1.1913184,1.1304976,0.9477843,0.68568957,0.8373283,1.1700884,0.89466166,1.0189201,0.6923191,0.84319776,0.8484478,1.0651653,0.88135076,1.2050976,1.2149956,0.7511785,1.1803937,0.9724021,0.93717504,1.2310039,1.1512659,0.8065731,1.214768,0.760672,0.8205252,1.1744335,0.93872505,1.1894822,1.2526023,1.1554146,0.9533972,0.6540028,1.2751093,1.1325166,0.9172046,1.0858672,0.72952205,1.0805653,1.0247405,0.85208243,1.1344924,0.9018731,0.81312394,1.1598947,0.84851587,1.1587012,0.81350785,1.0917473,0.6815653,0.9840704,1.1334618,1.178874,1.0163516,1.1273348,0.92607665,1.1593585,0.90702367,1.1038797,0.7949981,1.1065159,0.90058476,1.1244351,1.1964245,1.0391288,0.7134767,0.9608675,0.96655715,1.0142593,0.73926795,1.1078619,1.0656888,1.2210531,1.2086736,1.0805738,1.029572,0.85524917,0.8671873,1.094688,1.0565761,1.1049448,1.0996096,0.78871816,0.9687661,0.982103,0.9464644,0.5760609,0.99596167,0.92323095,1.1690503,1.0848174,1.0204002,1.1436338,0.9811315,0.8355313,0.9316816,1.2114064,0.83948886,1.1698788,1.0049014,1.2316697,1.1137409,1.0939608,0.8349334,1.0952994,0.7249646,1.1186653,1.119014,1.0109943,0.9780185,1.2052627,0.756892,1.0631849,1.1714844,1.1985128,0.8936654,0.85985625,0.95170367,0.88671833,0.958042,0.4173805,1.1054285,1.0497013,0.84995556,0.9394378,1.0807517,0.8818494,1.1377445
banana,1.0334095,0.93939763,0.91918445,0.8667734,1.0625712,1.0833542,0.0,0.9853269,0.9059442,0.93617296,1.0372797,1.0873597,1.0171251,1.1091472,0.96699476,0.9631279,1.1490339,1.085961,1.0303233,0.8625079,1.0790389,0.8956646,1.0157963,1.0767325,1.0029136,1.135545,1.1180276,1.0083914,1.0689082,1.1414787,1.0818839,1.090158,0.9744247,0.97204345,1.0603474,1.0365878,1.0234638,1.1150707,1.0127134,0.93602335,1.1127081,1.1645353,1.0785248,1.0292243,1.1272423,1.0274471,1.0236399,1.024449,1.0442895,0.9672417,0.0644536,1.0136089,1.1716425,1.0282214,1.0661998,0.9840794,1.0944433,0.8854813,0.9497632,1.0701854,1.0880307,0.95203435,1.0097699,1.0833199,1.002531,0.9504907,1.123637,1.0083542,1.0833211,0.97939736,1.0921613,0.86675805,0.91555494,0.8590531,1.0260999,1.0376469,1.0634962,1.1244148,1.051268,1.0211492,0.91135365,0.87272334,1.0143977,0.9727269,1.1018071,1.0868613,1.1056528,1.1526083,0.9966118,1.045752,1.0339613,1.0300609,1.1241657,1.0467342,1.0603002,0.9410041,1.0556592,0.87613153,1.1241316,1.103532,1.0364255,1.252728,1.0739228,1.1227938,0.9415463,1.0233912,0.97833765,0.8177626,0.9574285,1.0118486,1.1555018,1.1102155,1.1741774,1.0457565,1.0369583,0.9285783,0.88118756,1.0983998,0.98609257,1.0350921,1.0939411,0.7749937,1.0093244,1.1465302,0.9038846,1.0032758,1.174499,1.1802125,0.9413021,0.94655025,1.0418756,0.935688,0.99443966,0.9677136,1.1205901,1.0109236,1.0191541,1.0223202,1.0267192,1.19299,1.063141,0.96075046
basket,1.1754484,1.0655729,0.91960514,1.2976972,1.0151385,0.99456125,0.9853269,0.0,1.2026458,1.0926696,1.14203,0.8966322,1.0666977,1.2296368,0.90941644,1.0070391,1.29608,0.7107395,0.6943053,0.5303367,0.65837616,0.8619712,0.9094417,0.37235045,0.96722543,0.49692535,1.0426115,1.0299313,1.2095262,0.9079893,0.75288963,1.0550805,0.820787,0.8181815,1.2233119,0.9767185,0.85681593,0.7891183,0.7422739,0.8890716,1.1892238,0.7480873,0.91256666,0.8306359,1.1629024,1.1897031,0.96934974,1.3082381,1.297195,1.3213433,1.0641122,0.77394944,1.1240427,0.80218047,1.0207516,0.95368767,1.0164863,0.9921994,1.1389639,1.0275131,1.3021712,0.7170217,1.3201414,0.7630931,1.1387734,1.1206948,1.2768114,0.73170805,1.2513387,0.8087034,0.87341386,0.88152534,1.048546,0.9191374,0.88733196,1.2674443,1.0492033,0.99118716,0.91491145,0.9681523,0.69163656,1.0861733,1.268805,0.87111133,0.764076,1.0004396,1.2160013,1.334894,1.1223259,0.96971995,0.8895788,0.8993234,1.183758,1.1785729,0.90593207,1.0084032,0.80623853,0.6950606,1.1806884,1.129051,0.88680327,0.6580539,0.5979029,0.91708654,1.1518904,1.1470623,1.1160479,1.0110654,0.73601294,0.8280592,1.3809801,0.7280916,1.0997175,0.6994047,1.1192758,0.85053986,1.2319936,0.8109292,1.154587,0.76814973,1.2455839,1.1168927,0.79916656,1.0726615,0.9385332,0.89952767,0.73403466,1.3923179,1.1427014,0.6862895,1.0601097,1.2418416,0.8637606,0.6049757,0.76459706,0.85724473,1.0911969,0.7444999,0.8582862,0.76536024,1.0367594,1.1250699
bathtub,1.125562,1.236978,1.493132,0.47290623,1.1879823,1.2497443,0.9059442,1.2026458,0.0,0.95572704,0.39409018,1.4165293,0.38585663,0.68491966,1.4743294,0.65794766,0.76565593,1.1866434,1.4392354,1.2653298,0.68136716,1.5438266,1.0367067,1.1668246,1.4371731,1.3179464,0.7610663,1.5107418,0.80143315,0.49891245,1.1143967,0.71600795,0.7421629,1.0280654,0.46898282,1.1068021,1.4725549,0.60182965,1.4096138,1.0097259,0.88378,1.3759621,0.8840748,0.59484917,0.8288755,1.1503224,1.5272055,0.7061677,0.7471828,1.187424,0.7928226,1.3915617,1.2157679,1.1950316,1.389086,0.6634991,1.4724481,1.3176982,0.63565403,1.2410779,0.74255353,1.2969942,0.8804277,1.5170221,1.1583544,0.7637595,0.7330519,1.0526801,0.6570728,1.3304644,0.65701866,0.85966724,0.86581594,1.3756235,0.91184115,0.7679794,0.86779314,0.94839793,1.3793141,1.3786782,1.090355,0.7974916,1.1768844,1.4556682,0.73978287,0.9865158,0.71832734,0.70436203,0.73426557,1.1314538,1.2285478,1.2389197,1.0425643,0.9074767,1.1209385,0.891127,1.3938106,1.373863,1.0985112,1.3081992,1.4491866,1.0072644,1.2487572,0.8341722,1.012039,1.0874707,0.7151768,0.95383644,1.483367,1.2282549,0.5937917,1.3028972,1.1364369,1.3624423,0.6622104,0.32825345,0.43159783,1.5970528,0.6502186,1.3479764,0.99586093,0.8120396,1.2275321,0.85360146,1.0031246,1.537119,1.010416,0.6374835,0.40799582,1.137758,1.4750426,1.2452058,1.1805027,1.2292624,1.428123,0.51261663,0.8057333,1.0702927,1.0813254,1.0504915,1.3077435,0.63377875
bear,0.81083333,1.0851778,0.99934286,1.0556898,1.0714743,1.0488529,0.93617296,1.0926696,0.95572704,0.0,0.8610207,0.76699865,0.92746735,0.9834851,0.989881,0.87225497,1.1218442,1.1027368,1.0211709,1.1085571,1.0797111,1.0213373,1.0945133,1.147313,0.90977776,0.99746007,0.73683906,1.0297011,0.69952404,1.0069537,1.0660536,0.9555592,1.1833874,1.0193362,1.03354,1.1390927,0.9437289,1.0187299,0.9905954,1.1990322,0.9770525,1.1715353,1.1523721,1.1538537,1.0485961,1.0631742,1.002234,0.83681226,1.028989,1.0611055,0.90695286,1.0415536,1.0012168,1.1202533,0.9093044,1.1522086,0.88978744,1.0271307,0.5410608,1.146178,1.0191867,1.044508,1.0608265,0.9237784,1.064981,1.1039035,0.8672042,1.2650433,0.883096,1.0662547,1.0611957,1.0964572,1.116245,1.037296,1.2144083,0.92170066,1.151362,1.2456498,0.8707583,0.9781355,1.0725788,0.93299645,1.0107528,0.9549606,1.075877,1.0460052,0.95613927,0.9046722,1.1184914,1.0724826,1.0843885,1.0607244,0.9007853,0.9927246,0.9491761,1.0964088,1.0409265,1.061521,1.0327575,0.9143981,1.0963894,1.0943855,1.0418869,1.1301513,0.4867186,1.0887046,0.971838,1.139111,0.9212371,1.0931951,1.0134492,1.0241796,1.092689,1.0587164,0.83211815,1.0729395,0.8734528,0.9258351,0.86212325,1.1236804,1.007704,1.1272157,1.1038,1.1086749,1.1270006,0.9385399,1.1255696,1.0320958,0.95674604,1.0586715,1.0353417,1.0489837,1.0809307,1.0744426,1.0251548,1.0316672,0.8880508,0.9902512,1.0079919,1.1050547,0.8937837,0.927361
bed,0.9705119,1.2022042,1.5012574,0.4155646,1.1902118,1.2645684,1.0372797,1.14203,0.39409018,0.8610207,0.0,1.3741525,0.23298466,0.4876045,1.4050997,0.3126335,0.70135045,1.2430961,1.5294331,1.5071086,0.70248187,1.6088498,1.1926801,1.2872831,1.3914901,1.327929,0.76465744,1.5405037,0.59008247,0.30197108,1.2574463,0.5302832,1.0506662,1.0706056,0.18320775,1.1454463,1.5746386,0.32271767,1.4807281,1.2302468,0.65288377,1.1588504,0.83467466,0.6510827,0.603729,1.1595987,1.491039,0.5403247,0.70915043,1.1881119,0.9047459,1.3844619,1.0214714,1.4564166,1.3039784,0.7159183,1.4620153,1.2822047,0.49068117,1.2632523,0.67158085,1.328774,0.85773903,1.5229301,1.1171858,0.9803716,0.5775607,1.1321702,0.34494317,1.5258436,0.44793022,1.1351901,0.9811096,1.4167671,0.9466378,0.7080799,0.973634,0.7975273,1.3218029,1.3940156,1.2131068,0.9254775,1.17049,1.4759448,0.93028235,0.9975725,0.44336838,0.47948027,0.8538059,1.1681336,1.4556348,1.4534335,0.8857194,0.76397955,0.7877586,1.0256916,1.3608656,1.51617,0.93990624,1.1405185,1.4641619,0.89014953,1.3027487,0.7004437,0.9284817,1.0041469,0.7157866,1.1659707,1.4646394,1.377077,0.41747695,1.1852747,0.92177373,1.5076189,0.53399986,0.8177613,0.3368479,1.5093167,0.45126468,1.531396,0.9907978,0.9603187,1.498433,1.0333047,1.1035796,1.5620292,0.7935524,0.48510683,0.47744173,1.371159,1.4431376,1.2956163,1.3225775,1.2239399,1.3669379,0.6580856,0.7864681,1.0899839,1.1902741,0.99481636,1.3452542,0.62731886
belt,0.7123104,0.8611523,0.56785405,1.4710462,1.0470327,0.94565743,1.0873597,0.8966322,1.4165293,0.76699865,1.3741525,0.0,1.3117845,1.4008076,0.7164477,1.3201971,1.1602166,0.8187582,0.48479807,0.5971757,1.2299932,0.4577433,0.8953881,0.89572966,0.49480987,0.4492532,0.92629063,0.51142824,1.094813,1.252156,0.9717203,1.2600644,1.3042665,1.0643394,1.4436843,1.1201266,0.24560976,1.4318452,0.34968305,1.1914816,1.323271,1.0739784,1.1779792,1.1431152,1.3447108,1.00678,0.50106716,1.3062243,1.3339642,0.84010863,1.1714524,0.7710545,0.61110073,0.7923678,0.63306016,1.4813838,0.21095741,0.8557129,1.1358397,0.877772,1.3898759,0.96580637,1.2064084,0.37081343,1.133471,1.1009824,1.2613614,1.2620628,1.1867177,0.53604764,1.355096,0.96164984,1.2897409,0.74351263,1.2746519,1.348482,1.0876759,1.2276623,0.55368364,0.47974813,0.8298234,1.1536291,0.9489558,0.45971787,1.1477718,1.2612369,1.3704762,1.2199187,1.1638787,1.1584959,0.6582296,0.6071822,0.9764631,1.26393,0.671759,1.2418474,0.6727877,0.5130767,1.1501215,0.54323673,0.78615963,1.1942947,0.6580614,1.3365889,0.8248228,1.2860464,1.3888392,1.241769,0.6033088,0.7854237,1.4055951,0.7817039,1.078194,0.6160753,1.1390983,1.0850549,1.4100848,0.20480287,1.2502965,0.7635737,1.035867,1.3218076,0.67671967,1.1878313,0.9892494,0.38702136,1.2896682,1.3624729,1.3975542,0.68742216,0.5412679,0.7201805,0.7884345,0.72858346,0.7835454,1.2436336,1.1121639,1.0699745,0.8183125,0.9582572,0.37223274,1.1908797
bench,1.0526282,1.1039499,1.4899322,0.49586838,1.2768517,1.3403257,1.0171251,1.0666977,0.38585663,0.92746735,0.23298466,1.3117845,0.0,0.6372659,1.318123,0.5282403,0.7234148,1.072162,1.5369244,1.3489048,0.51046467,1.4970206,1.1052423,1.2178456,1.407792,1.1303833,0.7914735,1.4334555,0.7185656,0.17770964,1.3201,0.64654183,1.0859791,1.058425,0.25581342,1.0245316,1.4718025,0.45503926,1.4742553,1.2795451,0.75922334,1.290947,0.7774347,0.40032268,0.72569776,1.1245674,1.4366572,0.5809058,0.82477343,1.116541,0.9082831,1.4697541,0.9520912,1.3166019,1.3550323,0.856603,1.4306818,1.2870572,0.6235373,1.2457374,0.8267305,1.3363094,0.78573525,1.4994408,1.130391,0.80227447,0.76409835,1.1187927,0.37692863,1.3834358,0.45185065,1.0671152,1.0128833,1.3784959,0.8551927,0.7757873,0.9020715,0.8250036,1.1778493,1.4690331,1.2099518,1.0003213,1.0834383,1.49264,0.7212087,1.0555407,0.58629346,0.49358135,0.7725746,1.1065466,1.3173335,1.3147326,0.83296263,0.8065624,0.7355402,1.0375004,1.3804312,1.4127712,1.0046067,1.1536353,1.4348215,0.9238169,1.1899,0.68039626,0.9310322,1.0388234,0.87164915,1.1562201,1.4290657,1.3320489,0.5408552,1.1794837,0.7943479,1.3299614,0.60898304,0.6748457,0.4941572,1.4534212,0.68422234,1.5037649,0.89962524,0.9854999,1.3377311,1.0252576,0.90931916,1.4782728,0.91107553,0.6146094,0.47820997,1.2674084,1.4025166,1.2065748,1.2848306,1.2265116,1.464996,0.7649052,0.87718403,1.1800156,1.1696118,0.8178275,1.390497,0.6416925
bib,1.0696733,1.093499,1.4405746,0.582914,1.1579212,1.2022998,1.1091472,1.2296368,0.68491966,0.9834851,0.4876045,1.4008076,0.6372659,0.0,1.2931672,0.5313542,0.80710787,1.2498758,1.5090549,1.562293,0.9196615,1.4870187,1.2525493,1.2491406,1.4431057,1.4133749,0.89525306,1.3475324,0.7831465,0.68787384,1.245818,0.8403302,1.0665159,1.0145806,0.5664959,0.97333986,1.6169155,0.647467,1.5132265,1.0744867,0.7576602,0.9301808,1.0136693,0.9833571,0.2609563,0.97582895,1.3808247,0.7175036,0.60653305,1.0118095,0.9893822,1.3275026,1.0217503,1.4480028,1.2256279,0.62331873,1.3693812,1.0246978,0.7695134,0.9889838,0.4867165,1.2461348,0.56709576,1.4897248,1.0167938,0.98131335,0.53643334,1.0297282,0.546929,1.5958765,0.6973487,1.2159755,0.9369467,1.368037,0.8875833,0.45698357,0.94798356,0.7898644,1.2821543,1.3561474,1.2754927,0.86522543,0.95431286,1.4875187,1.0739814,0.8056512,0.14373422,0.560451,0.9174118,0.95281404,1.5284444,1.5392592,0.70015776,0.6463798,0.9382497,0.96722966,1.344728,1.5594636,0.95495105,1.1441183,1.3357298,0.83174676,1.4602985,0.7450812,0.95675254,0.9026909,0.67766905,1.0946729,1.3498439,1.3549371,0.31397235,1.1386,0.6616174,1.4115472,0.7732981,1.0949233,0.529866,1.446807,0.6771336,1.3886125,0.81986016,0.92760646,1.5075243,0.9787988,1.0874547,1.4708159,0.79641855,0.44680452,0.6630077,1.4158926,1.2624687,1.1151575,1.2830536,1.3226973,1.220987,0.7973894,0.8810317,1.0778234,1.2279421,1.1893007,1.3864634,0.7667849
bird,0.53291905,0.6679168,0.6756544,1.3296084,0.9645868,0.9428138,0.96699476,0.90941644,1.4743294,0.989881,1.4050997,0.7164477,1.318123,1.2931672,0.0,1.2106898,1.1516355,0.9982217,0.7411371,0.82212245,1.2212886,0.67860126,0.8544927,0.98346174,0.33435732,0.75743777,1.1987967,0.7077402,1.0255518,1.3169599,0.9414548,1.1568813,1.2484,1.1220354,1.4105748,1.0268286,0.63314116,1.3074901,0.8064097,1.094045,0.96361846,0.74677193,1.0690473,1.2134826,1.0639224,1.0221306,0.7521269,1.0610846,1.3456112,1.0057003,1.057095,0.74250776,0.84317523,0.71930146,0.49489105,1.4236722,0.7415931,0.7801254,1.1428343,1.0280553,1.345203,0.8995924,1.2454146,0.71772444,0.5754209,1.0453717,1.2122889,1.081222,1.1851835,0.637049,1.2396462,0.98863816,1.2509995,0.7180919,1.1441035,1.3070092,1.0199546,1.176511,0.74890995,0.89954036,0.8289697,1.1840621,1.0193123,0.8134693,1.2327361,0.99399817,1.211694,1.0749847,1.2041717,1.0570467,0.77439415,0.7677106,1.0191607,1.0112224,0.8910705,1.2351097,0.7181513,0.8042201,0.7817315,0.8792,0.7289574,1.025856,0.8804057,1.2480712,0.8809459,0.7349238,1.3631097,1.1370993,0.6581923,0.69918185,1.3164707,0.7560493,0.79020435,0.5522876,1.1004566,1.271791,1.3799368,0.542848,1.1907506,0.7237966,0.97780067,1.2665383,0.6698979,1.0028745,0.93398035,0.7573506,0.9888756,1.316674,1.4245007,0.8692156,0.75631917,0.9274405,0.73244596,0.74816936,0.7509023,1.3550045,1.1082264,1.0561199,1.0151219,0.8662779,0.8860252,1.2181756
blanket,0.90137047,1.0659022,1.4335419,0.7343891,1.1307192,1.1913184,0.9631279,1.0070391,0.65794766,0.87225497,0.3126335,1.3201971,0.5282403,0.5313542,1.2106898,0.0,0.86548865,1.1553766,1.441423,1.4164275,0.77344227,1.4831457,1.1393088,1.1825292,1.2791399,1.3113718,0.8777534,1.4699582,0.6416395,0.63116896,1.2096257,0.7727902,0.9597295,1.034427,0.47040606,1.008941,1.5300412,0.6157443,1.4933869,1.0532343,0.62264013,0.99779755,1.03158,0.8234762,0.617961,1.1319484,1.4659657,0.6795466,0.91002595,1.2939541,0.88898915,1.2411703,1.0827259,1.3764404,1.1870607,0.7898052,1.4499512,0.9529629,0.6314767,1.1145558,0.876419,1.24964,0.9230231,1.3812908,1.0270193,1.0022444,0.77128506,1.0634339,0.46687967,1.4356046,0.7440803,1.1539843,0.9464054,1.3510296,0.94788766,0.59218425,0.9153347,0.79029167,1.1958222,1.3739771,0.8181888,0.92438346,1.1473194,1.4254255,0.99200237,0.903684,0.49993068,0.6743217,0.8844674,0.9941631,1.3959272,1.4059539,0.8631748,0.6189274,0.555146,0.98170453,1.2853011,1.4133277,0.94543904,1.2448239,1.3497982,0.8015429,1.2758006,0.85438025,0.91601515,0.91541135,0.6446251,0.984524,1.2886069,1.2969568,0.6796074,0.97968435,0.84261847,1.3898137,0.74333274,0.88671947,0.6766251,1.3711002,0.47000968,1.4006896,0.922291,0.94436735,1.418407,1.0196745,0.8267699,1.5019403,0.7122169,0.7916859,0.73013854,1.3313589,1.4332157,1.3156766,1.2237471,0.79736257,1.2407224,0.78332293,0.9503266,1.0424666,1.1447628,1.0678433,1.3779945,0.84495246
