,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,knife,ladder,lamp,leg,melon,mitten,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
apple,0.0,0.80340886,0.7271131,0.89367276,1.0763562,0.91245496,1.1420474,0.91744554,1.135952,0.98151433,1.0321919,1.1913402,1.0980419,1.0365769,1.0189074,0.8804896,1.1562022,0.9857233,0.85864264,1.1213639,1.0407614,0.49353433,1.1538756,1.1218925,1.0107852,1.0991317,1.0360622,1.184903,0.62259835,0.7808809,1.1577436,1.0413659,1.1323462,1.1256247,1.0667506,1.1360161,1.0201316,1.1919131,0.5842216,1.0574353,0.8119031,0.79969615,1.0780882,1.1338942,0.89648134,0.86424375,1.0783422,1.1321208,0.65597236,1.1001143,0.802003,0.8597126,1.119593,1.129375,1.1878494,1.0996108,0.61137474,0.785545,1.0353285,1.0821004,1.0741485,1.0412086,0.66547245,1.2408313,1.1866237,1.1122379,1.0246212,1.0625548,0.8708632,0.49211293,1.1032225,1.0290933,0.7424152,1.2694341,0.99358076,1.1945766,1.2021636,1.0541108,0.97715485,1.0747925,1.1578104,1.1530666,0.96172553,1.058691,1.1577076,0.96063054,0.8876785,0.95985985,1.030211,1.1050451,1.1287221,0.9849139,0.8671781,0.71147263,0.98797804,1.1977457,0.87889564,0.63759613,1.1588496,1.2439699,1.1324142,1.1672138
ball,0.80340886,0.0,0.104649484,1.0547931,1.0568627,0.9633021,0.78284144,1.2466997,0.9912751,0.89578485,0.78627247,1.2561294,1.272537,1.1978977,1.037035,0.9214447,1.2550764,0.90569305,1.041168,1.288712,1.2009028,1.0503832,1.1238254,0.99860543,1.1154016,0.98474145,1.1060042,1.060815,1.0510399,1.2990239,0.9363009,1.1919461,1.0279757,0.9598259,0.79704434,0.97440064,1.1161094,0.9325251,0.88943577,0.85902226,1.0238681,0.57765526,1.1650196,1.3096335,0.9174534,0.8631065,1.3031735,1.0978781,0.96999145,0.9799195,0.76183766,0.80204654,1.3321751,1.071605,1.1533688,1.2068825,0.7610909,0.73921096,1.1869243,1.2382402,1.138585,0.9526082,1.0875252,1.2473997,0.9603236,0.95220375,0.95869523,1.2695698,0.9252766,1.1414385,1.2171576,1.1403898,1.1652634,0.98562473,1.0835531,1.0213373,1.0615702,0.85334677,0.76480186,0.9598263,1.0699667,1.1465428,1.2183732,0.7895086,1.3165241,1.2080014,0.88633335,1.2052653,1.0752684,0.7927511,0.8326075,0.7464257,1.0549456,0.8683814,0.82537067,1.2628306,0.51795274,0.7564372,1.0508916,1.2814064,1.1801791,1.1002599
balloon,0.7271131,0.104649484,0.0,1.0080498,1.0441433,1.0337658,0.99038845,1.1459594,1.0906999,1.0516218,0.9211345,1.163384,1.212477,1.1361518,1.1012344,0.77169156,1.1194772,0.76871777,0.9780681,1.1860262,1.0920218,0.9228875,1.0495261,1.0892271,0.8930886,1.0712799,1.0638067,1.1288288,1.0024613,1.1150054,1.1156952,1.1608831,0.9956087,1.0225531,0.93881726,1.1253976,1.1521462,1.0905036,0.7765626,0.93313336,0.9138681,0.6913495,1.0954545,1.1604806,0.9445621,1.0137745,1.1900705,0.9979688,0.8566743,1.0584522,0.8538133,0.8832234,1.2160091,1.1522435,1.1158811,1.1474185,0.7456097,0.85163987,1.1042904,1.09651,1.1417844,0.85592616,0.9929998,1.1756752,1.1434927,1.063234,1.0580273,1.0953525,0.8916558,0.98602766,1.1082553,1.0708241,0.98747027,0.9686796,1.006264,1.1282858,0.9728984,0.993622,0.895462,1.0725176,1.0447992,1.1812317,1.2208098,0.9821674,1.1554749,1.1840355,0.96119,1.0472295,0.94920206,0.7824359,1.0107883,0.7140064,0.9191346,0.8648449,0.9491309,1.1477815,0.5666231,0.84625006,1.0851036,1.1559677,1.1437223,1.1767527
banana,0.89367276,1.0547931,1.0080498,0.0,1.0232716,1.263431,1.169733,1.0269033,1.2065442,1.0358373,1.1060753,0.985747,1.0567565,1.0291872,1.2961967,0.7851782,1.1087737,0.96839786,0.92396265,1.1423596,1.0596573,1.0079093,0.7475154,1.2025821,0.97368854,1.1614497,1.0456095,1.111118,0.7374195,1.0075191,1.2152117,1.066376,0.79474777,0.9113064,1.0316293,1.2421348,1.2112404,1.1142663,0.9182929,1.0801843,1.0714381,1.0471385,0.8182068,0.84227145,0.08189213,1.064525,1.0532504,0.8249792,0.92714816,1.0363708,1.0877523,1.096048,0.9282904,1.2026613,1.0115509,1.2001297,0.88543147,1.0767308,1.0508178,0.45510852,1.1444664,0.99458814,1.0160314,1.0568092,1.0934372,1.2031544,1.1160034,1.0079342,1.0882131,0.8351949,0.9360912,0.7957665,0.725512,0.80672765,0.9171326,1.1775844,0.816726,1.050796,1.0659698,1.1256472,1.0375257,1.1345183,1.0911763,1.2172635,1.0016466,0.9505106,1.1475714,0.8866323,1.0467291,0.7939353,1.0378617,0.8259161,1.1294836,0.97886515,1.1478475,0.92867255,0.8181929,1.0214778,0.92968374,1.0667882,1.0404857,1.2043518
basket,1.0763562,1.0568627,1.0441433,1.0232716,0.0,0.8913075,0.9379301,1.0827025,0.7002549,1.0291874,0.92090726,0.6891115,1.1457008,0.9593175,0.71535105,1.1060532,0.93420666,0.7271202,0.99715,0.9723041,0.9813862,1.0546327,1.072088,0.75422645,1.1189588,1.0248188,1.0324287,0.6525381,1.1314914,1.1508543,0.80306894,1.1125035,1.0339212,0.9556172,1.0714102,0.93403685,0.83602566,1.0497783,1.1050414,1.1585963,1.1169671,1.1125779,0.9023212,1.0063561,1.0420479,1.1022637,1.1435732,1.109525,1.1491038,1.0831435,1.07628,1.1977369,0.961255,0.94580144,0.89307266,1.0200393,1.0055268,1.0737584,1.1939871,1.0120587,1.0157318,1.1802351,1.0934975,0.67937815,1.0662465,1.0528694,0.74400085,1.1654929,0.908183,1.0073745,1.0979418,0.9840158,0.92628783,0.7709363,0.8640102,0.7458472,1.0694088,0.9669835,1.0975881,1.050868,0.94838035,0.91645646,0.9772805,1.0138134,1.0927706,1.1597236,1.0140786,1.1005121,1.09887,1.0310346,0.8378887,1.0809352,1.1981672,1.0011339,0.95809114,1.0597697,0.91019976,0.86780584,0.96040934,0.87968886,1.1103915,0.80819803
bathtub,0.91245496,0.9633021,1.0337658,1.263431,0.8913075,0.0,0.62583166,1.0922902,0.83563,0.70533276,0.75421095,1.1519592,1.3383656,1.130097,0.69506,1.1843563,1.0379221,1.0629123,1.0746142,0.9756477,1.1059859,1.0965251,1.2184339,0.6366839,1.1671275,0.8180942,1.1164838,0.9270491,0.8182957,1.2609494,0.6817477,1.2283384,1.1774956,1.085114,1.0663631,0.75926495,0.7854134,0.8493066,1.0424078,1.1228291,1.049453,0.82077134,1.2272336,1.2233691,1.1971388,0.69566596,1.3063407,1.095795,1.0257648,1.0547923,0.84018356,0.8903038,1.3607018,0.8939444,1.1116209,0.93193203,0.9099279,0.6991285,1.3244642,1.2650698,1.0806376,1.2332708,1.0236323,1.0341898,0.8279094,0.8254645,0.8921844,1.2513063,1.0074998,1.0729655,1.2015731,1.2344007,0.85301644,1.0918218,1.1112528,0.85548604,1.1232811,0.7737272,0.9382883,0.81299263,1.046751,0.69440424,0.9148441,0.67180336,1.250686,1.2306293,0.7799169,1.2042975,1.1309853,1.3513072,0.51979256,1.083231,1.1549432,0.91901135,0.8220972,1.1265862,1.0827732,0.571777,1.1321803,1.089278,1.3229454,0.8349416
bed,1.1420474,0.78284144,0.99038845,1.169733,0.9379301,0.62583166,0.0,1.3577561,0.59836644,0.6188671,0.36688417,1.2238551,1.3943076,1.3100216,0.79836535,1.3741086,1.2277926,1.1344287,1.1891227,1.3314011,1.2585777,1.2965329,1.2602278,0.45682847,1.3303227,0.5358138,1.1621974,0.726519,1.099557,1.4969362,0.3203839,1.323029,1.0326936,0.92364335,0.6991254,0.55066097,0.882032,0.63085395,1.3064454,0.89383334,1.2927016,0.7852814,1.0877105,1.4830108,1.0134623,0.5905923,1.5140855,1.2539542,1.347197,0.82273364,0.87654966,0.893008,1.4281236,0.82760763,1.1077244,1.1267385,0.9572768,0.7868667,1.3077277,1.3281233,1.1913744,1.2257946,1.252965,1.0863495,0.600772,0.7496954,0.80523294,1.4409537,1.0249524,1.3200462,1.4375787,1.1492659,1.3417838,0.91139895,1.1258765,0.6221386,1.1375229,0.60916424,0.70972085,0.7390528,1.169805,0.9072118,1.1932793,0.22997665,1.5761517,1.275316,0.91572535,1.5021095,1.3374059,1.1885666,0.20253521,1.2141852,1.4049762,0.98187923,0.7181672,1.3322831,0.82517594,0.6398715,1.0089253,1.2437013,1.3188319,0.8986308
belt,0.91744554,1.2466997,1.1459594,1.0269033,1.0827025,1.0922902,1.3577561,0.0,1.2713383,1.327225,1.2941365,0.6972907,0.53033954,0.627141,0.96342677,1.144607,0.71222883,0.85938865,0.80061275,0.5641296,0.72668004,0.7901405,0.90332896,1.2165313,0.91084737,1.1799875,0.9085856,1.2371382,1.0496389,0.49232548,1.3097187,0.5984571,1.1486442,1.2069478,1.2455487,1.3208504,0.97408164,1.2346512,1.0421259,1.1134201,1.059179,1.1953185,1.086403,0.63369006,1.1557183,1.2504903,0.5381209,1.0527288,0.7573072,1.1719562,1.3201191,0.9236635,0.6384119,1.1982381,0.9186404,0.6043869,1.152516,1.3002907,0.6385961,0.69217306,0.87979424,0.8150103,0.75622714,0.86346257,1.3020586,1.1920414,1.143795,0.50701517,1.140396,0.64700717,0.7564954,1.075924,0.8243414,1.1224633,0.8552371,1.216711,1.1389732,1.3176488,1.3622009,1.0771432,1.0041146,1.1384342,0.6808852,1.334689,0.43511248,0.7321523,1.0917219,0.6333316,0.8400621,1.1838955,1.387806,0.89046466,0.8024503,1.171683,1.2893648,0.553026,1.3322785,1.3266137,1.0943025,0.667436,0.5325135,1.0886096
bench,1.135952,0.9912751,1.0906999,1.2065442,0.7002549,0.83563,0.59836644,1.2713383,0.0,0.9842095,0.7598616,0.87976927,1.3127632,1.1891842,0.3840146,1.2174182,0.94129074,0.8284404,1.1611739,1.0524776,0.9727512,1.2595778,1.1109064,0.32049036,1.1320007,0.6853816,1.1804241,0.38757336,1.1391339,1.4351017,0.501199,1.2729474,1.0594605,0.92783666,1.042009,0.5634057,0.48447067,0.8113948,1.1372316,1.0647279,1.1936321,1.0946522,1.0138899,1.1950023,1.1611862,0.8371265,1.3734647,1.1041844,1.3361967,0.9858028,1.0192121,1.1385627,1.1903452,0.5826359,0.9531,0.91488147,1.1004742,0.9864948,1.3240886,1.1784215,1.0763308,1.2793404,1.3089426,0.5712876,0.9454757,0.7839638,0.80042344,1.3620071,1.002107,1.1288319,1.2515229,1.1199864,1.1210923,0.9312246,0.8123323,0.49784392,1.0975516,0.90038353,0.9251736,0.9063574,0.9587299,0.8746822,1.0574851,0.7223727,1.2961121,1.2771347,1.0765619,1.357424,1.2619671,1.0971441,0.620608,1.2588457,1.2632952,1.1327322,0.8318304,1.1703893,1.0253085,0.84929645,1.0453652,0.95468605,1.3004878,0.6728757
bib,0.98151433,0.89578485,1.0516218,1.0358373,1.0291874,0.70533276,0.6188671,1.327225,0.9842095,0.0,0.80149573,1.3823043,1.3781712,1.3201913,1.0463331,1.1415013,1.4348153,1.3157322,1.1452782,1.420432,1.2768537,1.2139778,1.0740601,0.899703,1.2696159,0.7799717,1.1092982,0.9957729,0.8670919,1.4609553,0.7686386,1.3357651,1.1119459,0.7842628,0.39792937,0.82588714,1.0909833,0.82141566,1.1685294,0.58308876,0.95319015,0.8317071,1.2492969,1.3625257,0.8012886,0.63234514,1.3972055,1.0482737,1.1524422,0.90310735,0.43874145,0.74387133,1.3969637,1.000796,1.2948513,1.3471631,0.79874784,0.64553994,1.340112,1.2871921,1.2260294,1.1564995,1.1504587,1.3315302,0.3135829,0.8246157,0.9006231,1.386646,1.0406115,1.2469444,1.2741187,1.154378,1.1858659,1.0051842,1.1483967,0.92476404,1.1843052,0.17765617,0.651857,0.7729429,1.029524,1.0566882,1.247354,0.51846665,1.3675165,1.2333555,0.82150704,1.3666167,1.2064737,1.017246,0.61477876,1.1234939,1.1419787,0.8730486,0.8871639,1.306038,0.73474777,0.53935283,1.087526,1.4393551,1.2932644,1.1145799
blanket,1.0321919,0.78627247,0.9211345,1.1060753,0.92090726,0.75421095,0.36688417,1.2941365,0.7598616,0.80149573,0.0,1.1801088,1.2632343,1.2090161,0.90716463,1.1813269,1.149869,0.9997664,0.9629254,1.1245431,1.1362317,1.1443279,1.1860882,0.68866646,1.2553725,0.9170195,1.0764261,0.78065467,0.8203356,1.2268872,0.6834593,1.2050948,1.1128715,0.9989446,0.90493745,0.8728333,0.9484481,0.9397152,0.97185767,0.9463953,1.1343231,0.8626681,0.97656626,1.2461102,1.0400316,0.6984737,1.2912258,1.1956936,1.0425119,0.93806463,0.94640625,1.0206008,1.2162349,0.78562486,1.0411644,1.0489303,1.0161918,0.81298876,1.1704104,1.1235393,1.0617901,1.1848891,1.1026337,1.0649469,0.8287502,0.9585133,0.8948724,1.3068458,0.9490533,1.1907716,1.1202948,1.0921208,1.1435623,0.92693913,1.1019982,0.83540726,1.1123234,0.859257,0.8765211,0.9290021,1.179548,0.93679327,1.1221881,0.6091014,1.442607,1.1116014,0.88756615,1.3675115,1.3206439,1.2200696,0.5628484,1.1065187,1.355378,1.0210918,0.702531,1.1346714,0.86647093,0.7119484,1.0532179,1.1537968,1.2012666,0.83941615
book,1.1913402,1.2561294,1.163384,0.985747,0.6891115,1.1519592,1.2238551,0.6972907,0.87976927,1.3823043,1.1801088,0.0,0.62675035,0.55598515,0.76163447,1.0603297,0.6447336,0.52104187,0.93806964,0.6507746,0.8280363,0.95975924,0.9198188,0.99156404,1.0244153,1.217602,1.0249099,0.8550885,1.1988051,0.64382684,1.1834852,0.6058248,1.0585401,1.1252416,1.357944,1.2364672,0.8647084,1.2323786,1.0735908,1.251062,1.1558844,1.3417234,0.9099061,0.6643764,1.1353165,1.3850503,0.6429233,1.0118923,0.99413234,1.178964,1.3770709,1.2450942,0.5383515,1.078708,0.813131,0.77298087,1.2853581,1.3578675,0.6846799,0.69186246,0.8574951,0.9617686,0.8757986,0.6089325,1.390712,1.1865678,0.64215976,0.6121556,1.0072607,0.7860116,0.70887876,0.95559806,0.8137076,0.89571583,0.7328999,1.0200518,1.0126915,1.3234051,1.3485539,1.2430762,1.0217326,1.1602179,0.70819086,1.270498,0.6998904,0.73345894,1.2699881,0.8204822,0.98086613,1.044537,1.1792064,0.9628632,0.9719591,1.2524405,1.2669854,0.609812,1.202746,1.3352227,0.9613478,0.57931554,0.62282354,0.93480915
bottle,1.0980419,1.272537,1.212477,1.0567565,1.1457008,1.3383656,1.3943076,0.53033954,1.3127632,1.3781712,1.2632343,0.62675035,0.0,0.21499747,1.2651622,1.0315742,0.7855814,0.97402334,1.0099449,0.54441404,0.79641485,0.9091931,0.8970262,1.3729985,0.85614544,1.1785846,1.0149616,1.2696753,1.1746812,0.30071306,1.3285253,0.1110847,1.0488726,1.2859871,1.2970045,1.3255105,1.2009237,1.260294,0.94141144,1.1980925,1.1205853,1.1882751,0.9921721,0.60871124,1.2037483,1.3212452,0.18070161,1.133158,0.83566844,1.1169631,1.4134369,1.0327282,0.25703603,1.1896074,0.73244464,0.80513203,1.3091513,1.4966313,0.1910708,0.7769954,0.685681,0.7731061,0.6266228,0.88367784,1.2998781,1.2789481,1.1647005,0.42492867,1.2111368,0.9310008,0.5231353,0.9273101,0.9573393,1.1898731,1.1247506,1.2427783,0.99428666,1.3971975,1.3511648,1.1925102,1.133982,1.1011686,0.31552464,1.3566744,0.42527115,0.23402578,1.2326895,0.4219653,0.9257825,1.1543286,1.4931376,0.8444372,0.84316534,1.271789,1.3179514,0.60022503,1.2831492,1.4473858,0.9815528,0.68266743,0.19474947,1.1494864
bowl,1.0365769,1.1978977,1.1361518,1.0291872,0.9593175,1.130097,1.3100216,0.627141,1.1891842,1.3201913,1.2090161,0.55598515,0.21499747,0.0,1.1923668,0.98057115,0.8126174,0.86490166,1.0497075,0.63336164,0.8428403,0.956138,0.93246186,1.3252493,0.81328493,1.0976754,1.0728998,1.1953845,1.1391938,0.4578086,1.2127174,0.1604011,1.0732937,1.2898381,1.3435731,1.2930508,1.1455883,1.2971399,0.8391626,1.2697753,1.1813228,1.1191674,1.0264487,0.7217997,1.1739291,1.2861521,0.37652642,1.0862716,0.72533154,1.1414793,1.353987,1.0884656,0.39479315,1.1712489,0.744684,0.88845253,1.2794397,1.4157615,0.3300506,0.87612027,0.8126594,0.7876518,0.634673,0.8380574,1.34683,1.3375251,1.0787061,0.45500267,1.170006,0.92327857,0.59632957,0.95125365,0.8174904,1.1777282,1.0932372,1.2107472,0.9979209,1.3278726,1.3560544,1.2130998,1.195507,1.0342257,0.21140277,1.2621998,0.54937357,0.3555838,1.2553703,0.48078096,1.0562526,1.2107744,1.4155741,0.7589849,0.92576545,1.226567,1.2641677,0.7497903,1.2089307,1.3152997,1.0405456,0.7158984,0.28500664,1.1032888
box,1.0189074,1.037035,1.1012344,1.2961967,0.71535105,0.69506,0.79836535,0.96342677,0.3840146,1.0463331,0.90716463,0.76163447,1.2651622,1.1923668,0.0,1.3380611,0.76505923,0.76822907,1.065896,0.8814766,1.1160209,1.0311025,1.1885965,0.4978667,1.183842,0.879592,1.1606917,0.61220104,1.1406325,1.2810194,0.68175614,1.2633113,1.1535336,1.1223727,1.0392271,0.65839493,0.37709844,0.91535354,1.203333,1.0436412,1.0677993,1.0850741,1.1800649,1.2271821,1.2572172,0.78783685,1.2831395,1.1039318,1.2315732,1.0551027,0.9568391,0.8598412,1.250328,0.78610635,1.0175443,0.72437775,0.9395474,0.8468206,1.3046035,1.0353445,1.0220011,1.2126156,1.2150207,0.7497584,1.0862812,0.74957395,0.74557805,1.2591684,0.9179342,0.95517474,1.3312247,1.3389298,1.0876062,0.9798293,0.7622674,0.63188064,1.1602268,0.9849289,1.0041463,0.9710081,0.8325917,0.8522524,1.0728116,0.85649234,1.1169384,1.3233395,0.8919978,1.2902395,0.96594584,1.2228233,0.7524958,1.2696297,1.0533313,0.94611835,0.8451364,0.9617708,1.0493482,0.80357885,1.2048723,0.83814716,1.2816231,0.6888442
bread,0.8804896,0.9214447,0.77169156,0.7851782,1.1060532,1.1843563,1.3741086,1.144607,1.2174182,1.1415013,1.1813269,1.0603297,1.0315742,0.98057115,1.3380611,0.0,1.0705733,0.9798514,0.9995699,1.0887847,0.9676986,0.8749371,0.79498374,1.2945108,0.67564476,1.2022897,0.96518195,1.1737646,0.67471224,0.9079352,1.3965497,1.0300391,0.9405453,0.9280518,1.1717956,1.2699476,1.1534758,1.1710635,0.4445011,1.0553062,0.7169425,0.98793304,0.8763465,0.8288204,0.9140918,1.2848392,0.90791804,0.6551168,0.78311616,0.98532784,0.9119619,1.2475358,0.94246686,1.1413941,1.0663776,1.1430415,0.9174398,1.0047516,0.9786844,0.88192034,0.9819084,0.8778156,0.80983967,1.0851433,1.1093572,1.1473566,1.1451837,0.88497514,0.9590732,0.90816367,0.7972954,0.82739747,0.6223713,1.0510738,0.890442,1.303447,0.8261158,1.2423135,1.1861253,1.1523001,0.9753134,1.1344051,1.1339546,1.3974237,0.8643074,0.96069866,1.094698,0.8235007,0.8064077,0.76353264,1.2689848,0.7838257,0.6858704,0.89251775,1.1796207,1.0063229,0.98704547,1.1414603,0.9898484,1.1306814,1.0244743,1.2194617
