,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.2314667,0.9295075,0.61795855,1.1151564,1.2256978,1.0480046,1.2563925,0.74065495,0.6029382,0.9608966,0.73072386,0.85043514,1.0297928,0.7726038,1.0840229,1.1954675,1.2800784,1.2794328,1.3267143,0.8769536,1.2733991,1.1469303,1.0938605,0.7875439,1.1247805,1.0765945,1.0893375,1.2424552,1.086838,0.7658341,0.9260995,1.1749101,0.88719606,1.3121119,0.81418085,0.83890796,1.3073847,1.0201946,0.9089396,0.7814279,1.1429073,0.73931813,1.0300002,1.0088217,1.044106,0.89178777,0.8923122,0.86212623,1.2129531,0.9606544,0.9370391,0.9117355,0.8143133,1.2747872,0.8022392,0.8134201,0.77041996,0.85421765,1.0759122,0.92761433,1.2716131,1.1820238,0.96337485,0.9360631,1.1517932,0.8292327,1.1587698,1.2344873,1.2865208,1.2486393,0.9116654,0.8618857,0.9907412,1.2509582,1.164821,1.1225456,1.1622158,0.8189394,1.1191058,0.9282654,0.882691,1.0702739,1.1520083,1.0277361,1.1923593,1.1036795,0.9215154,1.0598532,0.6803349,0.88286114,1.0473192,1.1607133,1.0418608,0.7333537,0.6315149,1.212446,0.674642,1.1867754,0.9166793,1.1051874,1.1519628,1.0880114,0.90391743,1.242877,1.2692602,0.75219905,0.7140356,1.184013,1.0975562,1.1214316,0.81679374,1.2978243,1.2267786,0.8568403,1.052266,1.3635777,1.2892363,0.9736242
ankle,1.2314667,0.0,1.1461058,1.4198871,0.9507378,0.778973,1.0149014,0.666536,1.3785666,1.4212835,0.7413851,1.289478,1.2600094,1.1177288,1.3668942,1.1190002,0.86439097,0.49376833,0.89760816,0.7437457,1.1887197,0.71971923,0.7495665,0.8294266,1.0124321,0.8272165,1.0687118,1.0809829,0.81100357,0.95458645,1.3461125,0.92952424,0.5110669,1.3424602,0.6945933,1.2641363,1.0659801,0.79467714,1.1690959,1.1414657,1.3371191,1.0309073,1.3116317,0.5176604,0.53506505,1.1521513,1.069744,1.1590947,1.0834334,0.3974316,0.9462277,0.8735453,1.1010363,1.0642244,0.544073,0.8864471,1.32625,1.2919639,1.1819344,0.88865465,1.2156532,0.8069588,0.5504322,1.1689229,1.1867822,0.9770404,1.1287487,0.70847833,0.47805965,0.5738157,0.92699814,1.2050042,1.1248267,1.2945418,0.47956514,0.5620386,0.5743957,0.8346815,1.2860136,1.1623983,1.1151237,0.67337817,1.0035449,0.6643373,0.83519095,1.1099958,1.129135,1.1333394,0.77240735,1.2682385,0.97970885,1.1265645,0.962355,1.0048299,1.3786464,1.4096932,0.44839048,1.2777027,0.7305137,0.9666481,1.1662992,0.8938727,1.1966206,0.74721223,0.7872244,0.9841342,1.3060747,1.4719309,0.83306,0.5227799,0.8421345,1.0242943,0.50275636,0.9287741,1.4032265,0.7789829,0.61450964,0.6376604,1.2325987
apple,0.9295075,1.1461058,0.0,0.9580758,1.003658,1.0407002,1.0498247,1.1586185,0.8029975,0.7856545,1.1185045,0.8364278,0.99074984,1.0453717,0.937697,0.8568945,1.0707034,1.2395028,1.0539246,1.1417029,0.8747137,1.1153965,1.1815355,1.0914245,1.033962,1.0616721,1.1004204,0.91961646,0.9671151,0.89236087,0.8454058,0.95657897,1.2448335,0.88319427,1.1541792,0.85238695,1.045349,1.1354573,0.7955507,0.94560236,1.0736727,0.9505409,0.9750161,1.1687127,1.1285974,0.9949179,0.97202575,0.85077065,0.9900793,1.2456733,0.96647394,0.8162852,1.0602366,0.9643039,1.2598602,1.1249208,0.83834344,1.0226706,1.0254928,1.1959672,1.03478,1.0300655,1.3103421,0.93844855,0.5790554,0.9878746,0.8001225,1.1665019,1.1046176,1.2378905,1.1069458,1.0153247,1.1713636,0.848198,1.2894335,1.1809595,0.9606588,0.9060165,0.9677158,0.8610549,0.82820475,1.1658388,0.9347617,1.1475357,0.99270576,1.0622652,0.8844273,1.0726156,1.1022686,1.0963423,1.0621095,0.91736454,1.0694283,1.0672438,0.72938275,0.8738135,1.3128294,0.954916,1.1696703,1.0057502,0.8948022,1.2163461,1.1093802,1.1613114,1.1165942,0.89505404,1.1214646,0.83912444,1.0182737,1.1989635,1.2262163,0.9324308,1.0677696,0.98587036,0.8269831,1.0079716,1.04128,1.1653318,0.96835524
arm,0.61795855,1.4198871,0.9580758,0.0,1.1701632,1.3347386,1.0617931,1.4569895,0.48655093,0.5290545,1.2638248,0.58035856,0.6090848,1.0116829,0.5949084,1.1505018,1.2299182,1.5407495,1.1937548,1.4851695,1.017925,1.4733652,1.3898748,1.26723,0.7356476,1.2344455,1.1986344,0.77393484,1.1597409,1.2019005,0.48106635,1.0912617,1.5203176,0.60595024,1.4787223,0.8023993,0.75198483,1.1974968,0.6510359,0.79890037,0.47956038,1.0921525,0.6705737,1.1627315,1.5223858,0.92867255,0.7621796,1.1195875,0.7903977,1.3938937,1.0250525,1.1676412,0.5570713,0.66245013,1.4812272,1.1288993,0.88066316,0.76710105,0.7029475,1.181508,0.61247385,1.2409875,1.3414404,0.8075393,1.0431501,0.99414396,0.9319441,1.2666582,1.4831605,1.3506854,1.1423606,0.6544066,0.77368015,0.9454726,1.5044379,1.4530771,1.3898567,1.0217748,0.7730197,0.9254732,1.0522033,1.2534056,1.0910498,1.2971308,1.1745715,0.81153786,1.067777,0.68150634,1.3436075,0.554217,0.88689387,0.9178264,1.2357092,0.8913971,0.6622406,0.5132476,1.5260046,0.69664806,1.4012144,0.93158805,1.0182279,1.1910893,1.0466455,1.1174712,1.4356589,1.0390344,0.6271538,0.41681433,1.3861923,1.2162696,1.1048888,0.81948197,1.5847994,1.3680828,0.6712203,1.0129101,1.4363155,1.4950873,0.66568124
ball,1.1151564,0.9507378,1.003658,1.1701632,0.0,0.35944796,0.98938894,1.0803832,1.1528406,1.1784668,1.0251338,1.24583,1.0135291,0.9680838,1.1402969,0.9619998,0.89254564,0.90415883,1.1590139,0.9406923,0.9145999,1.0481683,0.8607227,0.78923744,1.1038066,1.1158234,0.98304486,1.0167106,0.8802329,0.98184186,1.2607281,1.055743,0.9644342,1.2042551,0.9664383,1.0095875,0.9421906,0.8441584,1.2449851,1.2316157,1.1904608,0.8055974,1.1141545,0.90717447,0.99370795,1.0266371,1.1567987,0.8441642,0.90873396,1.018353,0.7667934,0.741001,1.0679841,0.97515166,0.78867894,1.171184,1.0495964,1.055109,1.0661725,1.1029347,1.1714336,0.9622378,1.0792152,1.1927814,0.803619,0.8119185,0.7697735,0.8748536,0.854916,0.8604611,1.1159787,0.9871476,1.085526,1.0312258,1.0422345,1.0694287,1.0386729,1.1031268,1.1258093,1.0766054,0.8181134,1.1512138,0.94724214,1.0247291,1.0620447,1.1724912,0.7977218,1.1456119,0.9458229,1.1628742,0.7129726,1.0684671,0.96296406,1.1889939,0.9720117,1.0858282,0.8159683,1.151642,1.0550495,0.85514426,1.0095075,1.024878,0.8648346,1.2038953,0.8934752,0.97350633,1.1957554,1.134876,0.7979053,0.81384057,0.80721337,0.692493,0.8580276,0.61237574,0.99417853,1.1044586,1.0222362,0.88789904,1.2256854
balloon,1.2256978,0.778973,1.0407002,1.3347386,0.35944796,0.0,0.9072175,0.87218493,1.3847257,1.3247557,0.8129083,1.433238,1.3608128,0.91690904,1.4060471,1.0347223,0.75887847,0.60584515,1.0913585,0.7049547,1.1180122,0.69951487,0.8798778,0.5705075,1.2180514,1.019615,0.8946755,1.1554142,0.76597524,0.8640349,1.3700467,1.0038666,0.6184304,1.3655529,0.69784343,1.1032474,1.2182658,0.8150486,1.2547376,1.3407602,1.3450608,0.8678424,1.1458237,0.78225195,0.7910757,1.1127194,1.230601,1.0232219,1.1404383,0.74314547,0.8666255,0.6481103,1.1983614,1.139117,0.54916584,1.1846391,1.0751352,1.2224772,1.3247459,1.0555087,1.3011062,0.7383664,0.9213546,1.3283007,0.79565084,0.87395316,0.8811482,0.5699836,0.79515415,0.6515292,1.0919558,1.2908258,1.2888384,1.1453723,0.6484099,0.7009691,0.73297083,1.1105759,1.2860441,1.1388553,0.88063985,1.0006001,1.0035543,0.9020103,1.0402848,1.2261498,0.919606,1.2446932,0.896769,1.2406212,1.1533405,1.1262174,0.93029225,1.2775488,1.1957422,1.2000189,0.63883,1.1794428,0.6800327,1.106194,0.9214545,0.9522223,0.8595551,1.1801779,0.4736985,0.9924335,1.3213949,1.3380176,0.55260146,0.67432296,0.79287404,0.8877638,0.7515384,0.63177085,1.1822469,1.0961944,0.84482217,0.65825427,1.2873209
banana,1.0480046,1.0149014,1.0498247,1.0617931,0.98938894,0.9072175,0.0,0.94891685,1.144511,1.1272795,1.0677959,1.2299311,1.0601331,0.8998969,1.104972,1.0629563,0.86984426,0.75254923,1.0384539,0.9066424,1.0731018,0.94651926,0.96526086,0.7878938,1.0837018,1.1080245,0.62298834,1.1682932,0.9774658,0.9540273,1.1927199,0.8682128,0.87361,1.197916,0.90367454,0.92796785,1.03848,0.93515563,1.2563713,1.1669164,1.1770072,1.050111,1.0992191,0.9454996,0.99866426,1.1396052,1.1580286,0.9505676,1.0640961,0.8932808,0.92471313,0.756932,1.0254089,0.8804053,0.8489726,1.1121019,0.9617007,0.82791793,1.111348,0.99534243,1.1986587,1.0621098,0.8865555,1.1160938,0.7477014,0.9297946,0.9112359,0.87944067,0.98916906,0.9193812,1.1309922,1.2286663,1.1504807,1.1201649,0.8768817,0.96103424,0.7902851,1.1096213,1.28075,1.1038888,0.75966406,1.0556619,0.86398387,0.8984547,1.0914707,1.1294621,1.0793484,1.0212053,0.922601,1.0879802,1.0583794,1.0546559,0.8674923,0.92139584,0.9427695,1.1098709,0.8980954,1.2016276,0.54222393,1.1453102,0.911057,0.8946429,0.9225162,1.0010175,0.77693045,1.1801581,1.1147802,1.1371535,0.8992665,0.8560712,0.96869487,0.9699821,1.0459609,0.9182166,0.9506216,1.0944264,1.1646008,0.9407476,1.1839166
basket,1.2563925,0.666536,1.1586185,1.4569895,1.0803832,0.87218493,0.94891685,0.0,1.3705405,1.3691576,0.69596654,1.2522904,1.3574021,1.0154827,1.4108869,0.8870051,0.82110035,0.40065652,0.6464515,0.5534984,1.0980399,0.51597035,0.65301347,0.7828054,1.2773664,0.6503196,0.8692774,1.2138307,0.9776926,1.023365,1.3761799,0.98460835,0.48570442,1.1000564,0.52068865,1.2348367,1.3633533,0.84765,1.1520406,1.0705262,1.3519142,0.9929534,1.2166853,0.89005035,0.56982857,1.1226789,1.0893548,1.1008339,1.2007865,0.6419537,1.110972,0.97163105,1.2657578,1.2776886,0.61953825,0.9494714,1.1364381,1.211766,1.2763127,0.78835475,1.1565328,0.80842656,0.65057206,1.2246907,1.1150246,1.0652475,1.2419841,0.77936965,0.67939395,0.7383979,0.70149255,1.3244219,1.2115419,1.0628031,0.46725243,0.52061284,0.6132226,1.0294987,1.2567009,1.1235499,0.9683735,0.6274101,1.1112939,0.72837615,0.7785263,1.0675435,1.0590472,1.2791389,0.76532316,1.2831852,1.2098628,1.1700622,0.782348,1.0580764,1.2549245,1.2973044,0.58194,1.2641284,0.6454388,1.1454339,1.0902808,0.83596545,1.0369109,0.8521427,0.55814624,0.9167762,1.2900472,1.4084572,0.69088006,0.8884904,0.97766334,1.1842312,0.60839635,0.8099694,1.2525536,0.9511818,0.66493756,0.5991572,1.1659827
bathtub,0.74065495,1.3785666,0.8029975,0.48655093,1.1528406,1.3847257,1.144511,1.3705405,0.0,0.34816372,1.1828908,0.3146869,0.700763,1.1465993,0.5782009,1.0216267,1.1539158,1.4639515,1.0183479,1.3526175,0.9421415,1.4276006,1.2743185,1.3391277,0.69191253,0.83977115,1.1915643,0.83800066,1.2089229,1.2564049,0.44134516,1.1094236,1.5583394,0.44508803,1.4516938,0.7824833,0.9326148,1.3534188,0.5540834,0.63840044,0.68871343,1.1111845,0.8614077,1.2225407,1.3727789,0.98657584,0.65303326,1.0322225,0.83186054,1.4663048,1.1190548,1.244416,0.9317708,0.88568354,1.5273902,0.96185005,0.89816916,0.73662823,0.7615433,1.08864,0.46664786,1.1917922,1.2904271,0.7411852,1.034632,0.89885175,0.9477607,1.4187683,1.3234279,1.5208626,0.9990014,0.7740592,0.85405576,0.81817245,1.5707462,1.4596916,1.3117285,0.9950142,0.6907239,0.95041436,0.9254302,1.1690633,1.1734443,1.4229378,1.2336189,0.8951839,1.1204326,0.7731563,1.3941753,0.742757,0.85846233,0.9736596,1.1608362,0.7271013,0.46366215,0.5692373,1.5226407,0.53198993,1.4634712,0.90472037,1.0786636,1.245478,1.1272147,0.89188814,1.4837518,1.0581975,0.76859415,0.36158252,1.3673359,1.3394551,1.2858524,0.89340085,1.4497678,1.3364658,0.44435638,0.9665315,1.331009,1.5031427,0.6126046
bed,0.6029382,1.4212835,0.7856545,0.5290545,1.1784668,1.3247557,1.1272795,1.3691576,0.34816372,0.0,1.1189295,0.21091515,0.58776605,1.106593,0.34847975,0.9644146,1.3052459,1.496725,1.2237285,1.4642297,0.8948086,1.4043554,1.3172671,1.2091813,0.62910587,0.950562,1.1802225,0.97798884,1.2087516,1.1825125,0.32956362,1.0421256,1.4557713,0.5496087,1.4844944,0.7476644,0.8531747,1.4421458,0.67383075,0.77504194,0.67351353,1.1590424,0.804788,1.1801647,1.3503665,1.0329612,0.6443918,1.1786522,0.8744768,1.3626608,1.0216557,1.1946268,0.89733833,0.86671555,1.4694569,0.9328214,0.92106026,0.65990543,0.8195095,1.0886647,0.7263763,1.3009001,1.3439867,0.7033024,0.9980532,1.1533818,0.87088925,1.2709866,1.3078436,1.4632215,1.2298936,0.7327231,0.89137805,0.740955,1.4783548,1.370681,1.3194199,0.75583696,0.6069657,1.0628803,0.9946961,1.2095435,1.0909681,1.3724409,1.2959566,1.0718336,1.1873448,0.6976064,1.3287666,0.67443377,0.9558283,1.0251745,1.1875064,0.8079658,0.657905,0.4728129,1.4643046,0.45654422,1.4650154,0.85615456,1.1054006,1.2460479,1.1568956,0.9674693,1.3980591,1.229671,0.7152007,0.39244545,1.2739134,1.2983924,1.2417881,0.8621449,1.3646439,1.4210641,0.66556746,1.0088093,1.3889523,1.4489111,0.6955524
belt,0.9608966,0.7413851,1.1185045,1.2638248,1.0251338,0.8129083,1.0677959,0.69596654,1.1828908,1.1189295,0.0,1.1015939,1.2561306,1.0826184,1.2435592,1.0287434,0.845048,0.5663145,1.0569817,0.79290074,1.0448588,0.6600032,0.7268815,0.90253735,1.0309076,0.89749396,0.98716366,1.2416383,1.114244,1.1015662,1.2170534,0.9892986,0.37210912,1.1993229,0.72497404,1.1432182,1.353868,1.0766137,1.1494435,0.9853302,1.2048388,1.1377684,1.1039584,0.72770107,0.5398458,1.0741158,1.0400227,1.0707848,1.2441375,0.4801792,1.1435935,0.85941225,1.2147039,1.2340741,0.433802,0.75997186,1.0578339,1.0583701,1.2035339,0.8087125,1.1083761,0.94202423,0.7239551,1.168014,1.1852081,1.1447334,1.2321818,0.3880443,0.8420776,0.71746445,1.0091444,1.2601713,1.1808414,1.060128,0.46688116,0.43450177,0.64760554,1.1115992,1.0239944,1.1540573,1.0166398,0.6316326,1.2591199,0.9477486,1.0156729,1.2248168,1.2340016,1.16548,1.0062258,0.96007866,1.1314834,1.1201361,1.1239301,1.1365565,1.242681,1.1667612,0.59768903,0.97002417,0.78024113,1.2066176,1.2492819,1.069604,1.0533458,0.75029385,0.67387366,1.2511573,1.1113311,1.2786043,0.7469293,0.85791063,0.9141494,1.0847492,0.86546636,1.0552803,1.2119608,1.0223879,0.9342903,0.62975264,1.1715071
bench,0.73072386,1.289478,0.8364278,0.58035856,1.24583,1.433238,1.2299311,1.2522904,0.3146869,0.21091515,1.1015939,0.0,0.6473954,1.1718414,0.38456225,0.90242714,1.4104033,1.5027349,1.0952642,1.4462485,0.97011364,1.4117956,1.2369506,1.3410449,0.6758076,0.7186019,1.2690504,0.83558106,1.2688541,1.3083713,0.22656703,1.1608558,1.5012281,0.47329813,1.5448438,0.94675404,0.8747158,1.3489752,0.55011237,0.45788646,0.6151639,1.2142268,0.82632124,1.2033508,1.2722771,0.8609494,0.6760261,1.1713716,0.86836743,1.3904009,1.0537186,1.2727375,0.8995115,0.8679045,1.5314933,0.9263357,0.9231928,0.7120794,0.6390344,1.0322163,0.44035357,1.3184671,1.2762269,0.609987,1.1079814,1.0986557,0.920972,1.4363941,1.1579221,1.4922686,1.0150814,0.6981082,0.73454106,0.7305436,1.5388079,1.4238774,1.3399863,0.6860547,0.64781374,0.94351816,1.0944115,1.1031647,1.1415731,1.2855816,1.2399105,0.8982787,1.230805,0.6948334,1.3335847,0.6915153,0.83466816,0.9803705,1.2054758,0.7547462,0.7421926,0.5772455,1.5050998,0.61056125,1.5201384,0.83304596,1.1833701,1.3191428,1.1338243,0.7507919,1.5018785,1.0003247,0.67752224,0.39362425,1.4573098,1.326841,1.3086962,0.8352077,1.2661068,1.4229145,0.71386397,0.9060182,1.2756226,1.4929825,0.6103653
bib,0.85043514,1.2600094,0.99074984,0.6090848,1.0135291,1.3608128,1.0601331,1.3574021,0.700763,0.58776605,1.2561306,0.6473954,0.0,0.96177834,0.25679433,0.97764415,1.2925786,1.5118703,1.2391918,1.4367371,0.77027667,1.4794654,1.1821941,1.2226473,0.72861284,1.2438899,1.1643744,0.850554,1.2728366,1.250548,0.6294955,1.1706674,1.505466,0.6497642,1.445913,0.8103969,0.7275357,1.0484872,1.0561054,0.9476215,0.46066833,1.0814953,0.84158,1.1158302,1.3738064,0.9691109,0.78211534,0.93733484,0.78206396,1.3663251,0.84490263,1.1579258,0.67754984,0.6857517,1.3367426,0.86204326,1.026685,0.70457244,0.523807,1.1555294,0.7932737,1.3530177,1.1722116,0.6081038,1.0735949,0.9949337,0.8173937,1.3501401,1.0985322,1.1920414,1.2557753,0.41186893,0.7262406,0.76131165,1.4925576,1.5010431,1.3996013,0.7708849,0.6523626,1.073668,1.0428141,1.2375755,1.0457616,1.2455626,1.2504065,0.95463574,1.0584235,0.55936944,1.2554055,0.6146099,0.73001015,1.0113832,1.2194375,0.73949933,0.80194044,0.76062906,1.4252381,0.8474336,1.48113,0.803389,1.1529846,1.180837,1.1200763,1.0264553,1.4927077,1.0654997,0.58376133,0.68139213,1.4029875,1.1885905,1.0400091,0.8568191,1.1450235,1.2399175,0.74435216,1.0256767,1.4241437,1.4435655,0.79664946
bird,1.0297928,1.1177288,1.0453717,1.0116829,0.9680838,0.91690904,0.8998969,1.0154827,1.1465993,1.106593,1.0826184,1.1718414,0.96177834,0.0,1.0521864,0.9538531,0.84176517,1.0040244,0.96654385,0.85029155,0.9407044,0.8506367,0.8735421,1.0758896,1.0537094,1.1498301,0.78266895,1.0270872,1.0746735,0.9310635,1.1556826,1.1001253,0.9501506,1.0318818,0.84323657,1.1295904,0.9675737,0.8744396,1.1238158,1.264182,1.0612367,0.8237025,1.1165041,1.211103,1.0182152,1.0477252,1.2649478,0.9226684,1.0465503,1.0355785,0.9415133,0.9300165,1.010419,1.0129992,0.9267515,1.1978298,1.0468057,1.0133293,1.0672227,1.0358472,1.0521319,0.9044898,1.1487585,0.9760409,0.95453906,0.95398444,0.982813,0.9615607,1.0442549,0.89922154,1.0979522,0.9878446,1.123755,1.0114703,0.89042616,0.9321583,0.9010188,1.118099,1.1142911,1.0088953,1.0460116,1.1948504,1.0905179,0.9365764,1.0058488,1.0485667,0.87545204,0.9897337,0.8261193,1.1710446,1.119427,1.0572832,0.8465265,0.85134155,1.0241529,1.0032895,1.0560595,1.1217793,0.9106289,1.0426304,0.9248154,0.9500816,1.0317196,1.1148391,0.8561782,0.87924993,1.0411903,1.0146532,0.8525883,1.1517206,1.1113346,0.87428564,0.9874215,0.7386149,0.97051775,1.0457247,0.9712843,0.8609622,1.0295852
blanket,0.7726038,1.3668942,0.937697,0.5949084,1.1402969,1.4060471,1.104972,1.4108869,0.5782009,0.34847975,1.2435592,0.38456225,0.25679433,1.0521864,0.0,0.989532,1.3307004,1.6009107,1.2676792,1.4995531,0.71656317,1.5071906,1.2911706,1.2531929,0.6745028,1.1296908,1.1583445,0.85833603,1.2603095,1.2240672,0.35648483,1.1274999,1.5607567,0.5423479,1.5411646,0.855439,0.7264812,1.180603,0.9162115,0.7973558,0.4365692,1.1769773,0.8226573,1.2337948,1.3683659,0.8844069,0.75912565,0.9995596,0.79630196,1.4402032,0.9743338,1.2757429,0.7743697,0.77260476,1.4545834,0.9096209,0.96389717,0.6371234,0.49442697,1.1614776,0.6924082,1.3768823,1.2941594,0.4275388,1.101096,1.0677556,0.877584,1.3906767,1.1847206,1.3113635,1.2605164,0.40534306,0.6851514,0.7629969,1.5743983,1.5455846,1.4424262,0.6137378,0.48688215,1.0069268,1.1500386,1.2560136,1.0556401,1.2469852,1.3218257,0.95945925,1.1215599,0.44914687,1.3013718,0.59936917,0.7666445,0.96129996,1.2525055,0.77737653,0.81914324,0.640268,1.509435,0.722412,1.4976125,0.76409996,1.1365857,1.2560117,1.143858,0.9695855,1.5274205,1.0585601,0.5221668,0.5211951,1.4235748,1.3088012,1.1997193,0.8615861,1.1849526,1.328369,0.7074934,1.0826226,1.4200478,1.5134714,0.75145036
book,1.0840229,1.1190002,0.8568945,1.1505018,0.9619998,1.0347223,1.0629563,0.8870051,1.0216267,0.9644146,1.0287434,0.90242714,0.97764415,0.9538531,0.989532,0.0,0.96523947,1.0435655,0.81940305,0.8134421,0.9265994,0.8842453,0.80320823,1.161976,1.3056207,0.84401107,1.0123695,0.9756368,1.0390761,0.99659586,1.0283893,1.0510856,0.99901336,0.85288936,0.84944785,1.006964,1.1406718,1.1350757,1.0618858,0.91103446,1.153705,0.8865647,1.1003059,1.3019198,1.0369717,0.88435453,0.9833028,1.0923008,1.0441915,1.2345941,0.96173954,0.89255154,1.1614531,1.0820832,1.0892205,1.2518632,0.9120687,1.1220229,0.9972113,1.0252223,1.004351,1.0333812,1.1498604,1.1081028,0.8188931,0.9082437,0.9270983,1.1898355,0.73246545,1.2100651,0.83091587,0.9981308,1.0933276,0.16372138,1.0899588,1.0141033,0.99715936,1.0114497,1.1409807,0.9987757,0.8101227,1.085583,0.9569238,1.1799972,0.8178104,0.90503657,0.9310606,1.1969224,0.87844926,1.2589375,0.9761483,1.0689634,0.8428352,1.043306,0.7793627,0.95749474,1.2008913,1.1142403,1.135904,0.924847,0.8535359,1.0481749,1.0600247,1.0785234,1.0767194,0.8692456,1.2477853,0.82865816,1.0004416,1.2709905,1.2031268,0.8382331,0.7463757,0.7864145,0.74717844,1.011206,0.93586993,1.0512238,0.93318665
bottle,1.1954675,0.86439097,1.0707034,1.2299182,0.89254564,0.75887847,0.86984426,0.82110035,1.1539158,1.3052459,0.845048,1.4104033,1.2925786,0.84176517,1.3307004,0.96523947,0.0,0.610675,0.7175282,0.36985123,1.0400051,0.53432083,0.89301735,0.96065986,1.2398112,0.99914134,0.8134744,1.0378923,0.9025782,1.0211625,1.3107139,1.1195804,0.6854364,1.2269752,0.4287182,1.0441277,1.2501656,0.8350363,1.1557887,1.2589023,1.2284577,0.99734783,1.1473051,1.0912523,0.95871454,1.1427633,1.2488282,1.0273457,1.0621023,0.8718258,1.1215944,0.9912658,1.2030993,1.3191364,0.69922197,1.0730673,1.1697167,1.1702383,1.2564341,1.0227835,1.2103667,0.77903754,0.8794557,1.2671592,1.1304381,0.45305294,1.212391,0.6626803,0.99866277,0.77386236,0.8297921,1.2056705,1.2436657,1.0950415,0.6452288,0.66325974,0.8286712,1.181365,1.1111517,1.0445408,1.0253851,0.96301955,1.0907812,0.9016008,0.86628,0.9805955,1.0603755,1.2352614,0.996892,1.2763875,1.1710033,1.1419368,0.8079859,1.1321673,0.89156145,1.1728349,0.76272345,1.0882713,0.6256682,1.0819656,0.8816717,0.9691131,1.0657703,1.1978164,0.61489356,0.9514041,1.2522955,1.1185454,0.64205384,1.0196359,1.0235206,1.2367858,0.91041976,0.6861651,0.8688625,1.082055,0.7203002,0.6471778,1.1607016
bowl,1.2800784,0.49376833,1.2395028,1.5407495,0.90415883,0.60584515,0.75254923,0.40065652,1.4639515,1.496725,0.5663145,1.5027349,1.5118703,1.0040244,1.6009107,1.0435655,0.610675,0.0,0.70693946,0.41184562,1.2283355,0.41290176,0.614928,0.64553005,1.3547051,0.7445532,0.7772423,1.2649635,0.82050455,0.92641306,1.5324051,0.9313257,0.242666,1.4643798,0.3152401,1.1683643,1.3458837,0.7818037,1.3275527,1.1654652,1.5236154,0.99976707,1.3174474,0.6724952,0.46369612,1.2238947,1.2579664,1.1028857,1.2689201,0.40707457,1.1051077,0.74429727,1.4049367,1.3360358,0.3130479,0.97029483,1.2377183,1.3258412,1.4056394,0.8523676,1.4638753,0.6404907,0.5077757,1.3242688,1.0516849,1.0452187,1.2301502,0.35627896,0.6350795,0.6096115,0.8110212,1.459804,1.3727357,1.2276591,0.23034084,0.31288648,0.49645364,1.0935417,1.3508561,1.228212,0.7150918,0.66299033,1.1021175,0.6619834,0.8612484,1.204653,1.0835831,1.4267641,0.8106985,1.3739378,1.2986047,1.1379063,0.7879472,1.2127559,1.2440329,1.4008509,0.25127947,1.291018,0.32852304,1.2603896,1.0044814,0.7658347,1.0102262,0.93499255,0.2955382,1.122446,1.4280214,1.5052049,0.42205346,0.64826405,0.8207469,1.30455,0.6107857,0.68450916,1.2926278,1.065206,0.67803764,0.3626967,1.3958964
box,1.2794328,0.89760816,1.0539246,1.1937548,1.1590139,1.0913585,1.0384539,0.6464515,1.0183479,1.2237285,1.0569817,1.0952642,1.2391918,0.96654385,1.2676792,0.81940305,0.7175282,0.70693946,0.0,0.55818236,1.1630244,0.6429327,0.85167754,1.1826459,1.1668755,0.74500346,0.9041345,0.8858856,0.9158078,1.0220487,1.1401498,1.1825331,0.9820602,0.84113264,0.5987386,1.2078615,1.1345145,0.81717145,0.7954361,0.82633233,1.2294576,0.9184061,1.1979138,1.2536141,1.1170363,0.9222994,1.0551308,1.1535097,1.033365,1.03762,1.2155938,1.3277328,1.213799,1.306492,0.99151695,1.0781721,1.122507,1.2057266,1.275111,0.9479365,0.9742826,0.7121979,0.9784994,1.0397763,1.1798121,0.8472431,1.2920411,1.0509597,0.8699448,1.0318433,0.4579935,1.1752758,1.1803491,0.9539554,0.8709493,0.88303494,0.9277222,1.0180318,1.0029172,0.9027938,1.0288461,0.88979495,1.0177962,0.907302,0.75290775,0.63526016,0.9427129,1.2771559,0.92676723,1.3379658,1.2645452,1.0232921,0.629062,0.9660403,1.0141076,1.1556323,0.90873694,1.0897638,0.7880035,1.2254486,0.89295477,0.8388899,1.0368342,1.1211413,0.90280455,0.68554914,1.2504785,1.0274566,0.81199217,1.1763178,1.1500905,1.3253415,0.8497444,0.7381508,0.93378824,0.937687,0.59819484,0.78916466,0.91539246
