,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
alligator,0.0,1.118983,1.434881,0.4541219,1.309082,1.4401127,1.504638,1.0197381,0.56313145,0.60345745,0.36375928,1.5330834,0.42381537,0.35941494,1.3951979,0.33187205,0.8596317,1.5550547,1.4134047,0.6784311,1.2485986,1.3296767,1.1741533,1.5360526,1.340032,1.3554583,0.64731383,0.91565704,1.1072232,1.4597983,0.9905103,1.4128402,0.98633635,1.0759698,1.0410922,0.4063152,0.9628031,1.5624303,0.67228866,1.5834439,0.9504625,1.1136799,0.7771824,0.9982179,1.1583614,0.6729171,1.4578826,0.5892276,0.76362205,1.2445915,0.8958627,0.31306392,0.86687076,0.95155805,0.86214346,0.6609492,1.4569968,0.8638849,1.1530415,0.87914944,0.777357,0.81345433,1.5037856,1.1538367,0.7967323,0.5901102,1.1624819,0.48537123,1.3949627,0.70119333,1.2767197,0.73843104,0.97845936,0.54208815,0.79842114,1.1664892,1.3634415,1.5389562,0.9688523,1.4794618,0.85908616,1.4605324,1.2617128,0.8026783,0.3565439,0.42261302,0.46594346,1.0582278,1.451149,1.4440746,1.5509436,0.67574555,1.2084498,1.2308041,1.2929094,0.73995763,1.1787472,1.5404772,1.1565917,0.7417341,1.2434124,0.79529953,1.4460033,0.96817976,1.3241266,0.44195998,1.1232617,0.8411796,1.2966083,0.7755519,0.6341013,1.6223571,1.3914763,0.7424933,1.0547919,1.2962413,0.99109685,1.444107,1.487808,0.8683796,0.43459457,0.577286,1.5627313,1.4170825,1.4722317,0.825179,0.90210676,1.0591218,1.0775689,1.3808528,1.5228097,0.8205818,0.6159175
ankle,1.118983,0.0,1.0574663,0.8491508,1.0324118,1.0030215,0.8710097,1.2840044,1.1856997,1.127166,1.1601137,0.82248354,1.0856556,1.023985,0.7964573,1.0809147,1.2055717,0.92635345,1.1934841,1.2435352,0.91782415,1.1306151,0.9961665,0.9211001,1.0090666,0.47580367,1.1076987,1.0434806,0.9782346,1.041246,1.0144413,1.0905544,1.0034622,1.0444902,1.241968,1.0635073,0.9768844,0.9133431,1.146406,1.0764866,1.1905059,1.1462295,0.92163813,1.1402776,1.0100564,0.9799465,0.9992813,1.161804,0.9196946,0.31962216,1.217809,1.1348448,1.0659361,0.9806554,1.1015663,1.2455838,0.67561114,0.6952427,1.2888985,0.92857057,1.1397673,0.67066854,0.9640325,1.1920466,1.1965455,1.0691371,1.255131,0.7688366,1.1367607,1.090948,1.2165468,1.0030934,1.1849443,0.840438,1.2361665,0.65010476,0.7120512,0.81453407,1.1817734,0.6555602,0.78585136,0.93250656,1.0415598,1.1835309,1.0356499,0.8915839,1.2421532,1.0584527,0.96782935,0.90016687,0.7630862,0.9091312,0.93997884,1.2318358,1.198718,1.0243852,1.2344687,1.1107488,0.6799931,1.1360143,1.2223285,1.075717,0.83403915,0.8531833,1.0505884,0.9767904,1.0733833,0.68590665,0.98312646,1.1320348,1.2305082,0.83873636,1.0144583,0.74218154,0.98710954,1.1476468,1.0033593,0.7641427,0.8342987,1.0259341,1.0873599,1.2126231,1.0059209,0.39966315,0.71571106,1.0422218,1.1431892,1.2289386,1.2045983,0.969255,0.8321749,1.0874252,1.0673118
apple,1.434881,1.0574663,0.0,1.3362818,0.40330887,0.14677548,0.5287088,0.9755347,1.3570648,1.190405,1.3156011,0.74103475,1.4444653,1.3821132,0.8452494,1.3978767,1.0322754,0.73210377,0.73703396,1.2486608,0.8526187,0.8739681,0.82280385,0.8313443,0.80368304,0.79261434,1.1601007,1.2929422,0.9945722,0.75478935,0.97287357,0.67403436,1.1115707,0.9621522,0.976389,1.3193202,1.0738922,0.7476,1.3108941,0.71684206,0.99297976,0.7864512,0.99851733,1.180783,1.0214429,1.2477571,0.37625563,1.1443303,1.1152003,0.97761965,1.0890586,1.3387699,1.080806,1.2286545,0.7803284,1.1825533,0.852203,1.1871897,0.75225955,1.1981015,0.93777025,1.2338033,0.59735537,0.743871,1.0638057,1.4077215,0.9333164,1.326616,0.85236835,1.2434822,0.8205907,0.90185183,1.0298309,1.2268705,1.1597285,1.0157069,0.9203725,0.69987214,1.0563865,0.8514639,1.1125243,0.30620956,0.9961864,1.0825095,1.378571,1.4029155,1.2693863,0.9718396,0.8037016,0.860477,0.5024696,1.1108183,0.87305194,0.7585299,0.7863099,1.0095683,0.9006881,0.69054693,0.91499096,1.3136232,0.7337924,1.198419,0.745347,0.9846866,0.83749837,1.3896264,0.9048704,1.1719999,0.9904249,1.1904048,1.2380874,0.57205534,0.6909865,1.2908796,1.0084845,0.9148569,1.1990685,0.8077988,0.7971377,1.250752,1.3232156,1.27672,0.51719886,0.8674799,0.8781491,1.2625266,1.1471834,0.7920696,1.0305816,0.9628186,0.74593246,1.2100372,1.1778206
arm,0.4541219,0.8491508,1.3362818,0.0,1.2060347,1.3581501,1.3871657,1.0163667,0.58990234,0.8541901,0.63448393,1.4240575,0.54803276,0.52638006,1.2962081,0.68019354,0.9177309,1.3845229,1.3170595,0.66881204,1.1999066,1.2342436,1.2874218,1.4058189,1.2066001,1.0618435,0.92180026,0.88496244,1.2591472,1.3892137,0.97678846,1.3746843,0.9641404,1.1060014,1.2752885,0.6523695,1.0376769,1.4027209,0.71431005,1.4345922,0.9921569,1.2888778,0.9353286,0.97403127,1.0678535,0.7524754,1.3504564,0.91466,0.7458652,0.82019705,0.867433,0.5344632,0.82337266,0.7762407,1.0569302,0.65794635,1.2657237,0.84554076,1.1575364,0.7766305,0.94085085,0.3572222,1.470278,1.308443,0.7902116,0.8026072,1.0692122,0.5772141,1.2530079,0.7011346,1.3161368,0.73945934,0.8971677,0.626127,0.8536362,0.9965099,1.325464,1.3676274,1.0922589,1.2903026,0.7388413,1.3554112,1.1562368,1.0750852,0.47030628,0.56507325,0.5402687,1.1097903,1.232829,1.180283,1.4190483,0.9715353,1.2432185,1.2732621,1.2282813,0.8131232,1.2978804,1.4849353,1.0955354,0.70528084,1.2723737,0.8094815,1.3971248,1.0625194,1.1955031,0.45441943,1.2904086,0.8052983,1.2685378,0.78216344,0.70037055,1.5468091,1.3493737,0.65137553,1.1098818,1.2002599,0.94128287,1.3417169,1.3201511,0.9046656,0.5046737,0.51237434,1.4313666,1.0559193,1.354359,0.7472862,1.0845612,1.0452385,0.9919864,1.304743,1.3430405,0.892691,0.871882
ball,1.309082,1.0324118,0.40330887,1.2060347,0.0,0.2080831,0.7463766,0.9853274,1.1937463,1.2373338,1.2700448,0.93232363,1.331291,1.2280527,0.91849434,1.2455015,1.0701035,0.77640116,0.9040375,1.099888,0.932829,0.8834338,0.9612982,0.92606753,0.9163379,0.9129354,1.1591687,1.1701976,1.02702,0.77002424,0.9299303,0.65588784,1.0726713,0.9363872,1.0001978,1.3026052,1.011155,0.89804065,1.2615625,0.7943945,0.6569961,0.9697154,0.93118644,1.1118014,1.1136351,1.1569582,0.22889084,1.1582599,1.1708727,0.95980895,1.0987164,1.1423824,1.0274174,1.1826714,0.8584791,0.9579479,0.98973006,1.037129,0.74483097,1.1183527,0.9944021,1.0704597,0.7201288,0.9546748,0.9724894,1.3277097,0.93619394,1.1952789,0.9766772,1.3006451,0.7475097,0.63415563,0.9039074,1.0026774,1.1199307,1.0521237,0.9943619,0.7570087,0.9530112,1.016064,0.9976293,0.30271018,1.1936059,0.9987637,1.265218,1.2851434,1.1865221,0.9372954,0.943974,0.9765384,0.63185996,1.1292965,0.9498747,0.90740013,1.0085515,0.61747324,0.9699175,0.7668253,0.946397,1.2600455,0.9432858,1.1815317,0.8872037,1.2034444,0.9687596,1.2625499,1.026589,1.0898852,1.058005,1.1807975,1.190242,0.7962079,0.85675323,1.1366763,0.9560948,1.023538,1.1435207,1.0302155,0.8835496,1.2960322,1.250051,1.2096282,0.5646378,0.88165987,0.96149915,1.1414716,1.0123405,0.7427716,1.0790975,1.0727293,0.86250454,1.195512,1.1707038
balloon,1.4401127,1.0030215,0.14677548,1.3581501,0.2080831,0.0,0.6440863,0.9673629,1.322628,1.2178221,1.3417594,0.76897705,1.4085038,1.4017365,0.85828507,1.3726866,1.0436888,0.65800226,0.7891774,1.1960335,0.939999,0.7907945,0.8402332,0.7719137,0.79868555,0.75402796,1.1750461,1.1857213,1.019267,0.78841764,0.92446905,0.6418375,1.0467756,1.0047698,1.0009801,1.3504351,1.1066467,0.75231004,1.2858477,0.68731266,0.8700857,0.82672143,0.93754804,1.122898,1.0004108,1.2496642,0.25748283,1.1794572,1.1870341,0.9392321,1.1397098,1.3342927,1.0768886,1.2292037,0.8208878,1.1211318,0.87726164,1.1212401,0.7493618,1.2042984,0.9909758,1.1896422,0.62240493,0.7958482,1.0033263,1.3892167,0.8847829,1.3020042,0.8753547,1.2790567,0.74642897,0.81287134,0.9381473,1.1411202,1.1143947,1.0257422,0.90874827,0.6801574,1.0290055,0.8630189,1.1019516,0.24463856,1.0251267,1.0752436,1.404359,1.3860986,1.3051674,1.0158554,0.8101254,0.8655939,0.5470344,1.1106026,0.9616307,0.823513,0.9229387,0.8323078,0.9114523,0.69167864,0.94157207,1.3208549,0.80041885,1.2827921,0.79863393,1.0571933,0.8500037,1.4009994,0.9516105,1.1465719,0.988214,1.2270384,1.2062992,0.6044838,0.75719255,1.2637354,1.007394,0.93977946,1.1877904,0.8485429,0.7746459,1.2555997,1.3641483,1.3290823,0.49197,0.82416505,0.8544991,1.2276663,1.0963819,0.7223908,1.0781729,0.9620843,0.7670891,1.1876143,1.1849405
banana,1.504638,0.8710097,0.5287088,1.3871657,0.7463766,0.6440863,0.0,1.134869,1.4580923,1.224987,1.5077316,0.42892838,1.5507686,1.4545931,0.53108096,1.4788849,1.1882033,0.6201637,0.78380024,1.4388212,0.7431192,0.94590396,0.8008512,0.61223793,0.6328366,0.5313071,1.1972216,1.3109756,0.85182524,0.63969797,0.9719378,0.8311146,1.0639602,1.0369126,0.8682879,1.4607352,0.96505046,0.44539273,1.3501532,0.6436155,1.2278271,0.93775046,1.0175495,1.2184075,1.1559722,1.294785,0.66477424,1.2534423,1.081232,0.7499559,1.1973832,1.4788437,1.0791367,1.0902008,0.8945503,1.311677,0.56847143,0.933276,0.96251416,1.2187511,1.1149321,1.1631806,0.53491515,0.91359675,1.137887,1.337028,1.0094479,1.3904963,0.70534265,1.2534175,0.8755241,1.1160971,1.2685382,1.225539,1.2426708,0.887409,0.6294713,0.44469178,1.0106162,0.56430936,1.1163464,0.54551905,0.8996116,1.1752417,1.4616405,1.4264338,1.5011885,1.0635531,0.5643771,0.5801345,0.23882735,1.0274618,0.7537895,0.7313549,0.77532625,1.2477703,0.96403795,0.5382447,0.8867278,1.3792102,0.83176404,1.1622136,0.5253658,0.947889,0.74734247,1.4388287,0.89993036,1.1599524,0.7756682,1.3437657,1.3075134,0.37632418,0.45033616,1.1897204,1.0560001,0.79751587,1.1685776,0.5129273,0.53777915,1.212929,1.4178133,1.4541999,0.5373356,0.62567633,0.6325366,1.2214007,1.0533152,1.0457666,1.1089506,0.7178793,0.48390794,1.2012987,1.2627554
basket,1.0197381,1.2840044,0.9755347,1.0163667,0.9853274,0.9673629,1.134869,0.0,0.9585767,1.0593768,0.8881503,1.1996133,0.87434626,1.0327659,1.2597578,0.92085993,0.6684797,1.0248483,0.60450256,0.41488636,1.1470387,0.6203648,0.8658239,1.0133648,0.8720933,1.1188452,1.1968344,0.70167875,1.0069528,1.2333353,0.92313856,1.0418954,0.79802966,1.0375534,0.7470883,0.9630698,1.074012,1.1611044,0.53806114,0.9609319,0.86368513,1.0468996,1.0189711,0.97093195,0.74090743,0.96035796,1.1485145,1.0660309,1.2534047,1.2844326,0.80371386,0.98438835,0.8989073,1.0004798,0.9722947,0.9118308,1.2834152,1.0964307,0.60368305,1.2157937,0.9458762,1.1255895,1.0974284,1.0325289,0.6341212,0.8185607,0.8541539,1.2304559,0.9697443,0.6010194,1.0042769,1.0558659,0.91385615,0.9993587,0.8590516,1.1307142,1.170903,1.2537024,0.92454076,1.1047126,1.2356334,1.1239622,0.9220155,0.86392224,0.9882202,1.1742034,0.85952073,1.0050714,1.090584,1.0917562,1.1734825,0.9522971,1.1277713,0.91180515,0.82947385,0.9690469,0.922026,0.9502595,1.2646194,0.98903835,1.029121,1.102603,1.2461255,0.9376233,0.8649111,1.1024663,0.85288596,1.299079,1.1881646,0.8269601,0.7382971,1.0652071,1.1421804,1.1931148,1.1268324,0.8895215,1.0147772,1.0398448,1.172798,0.70252556,0.98718745,0.84772086,0.8399992,1.3282483,1.2177832,0.9811879,0.7798383,0.5045766,0.7954341,1.2133842,1.2118098,0.99971235,1.0128305
bathtub,0.56313145,1.1856997,1.3570648,0.58990234,1.1937463,1.322628,1.4580923,0.9585767,0.0,0.7122923,0.49443585,1.3930773,0.29017174,0.5801853,1.4542718,0.5927891,0.92366946,1.399681,1.1474322,0.54922545,1.3262955,1.1229714,1.3104411,1.3079138,1.1474485,1.2462227,0.7786512,0.8240954,1.209442,1.2147381,1.2078106,1.1860842,0.86722285,1.1173757,1.1908948,0.5689343,1.1157298,1.407874,0.69104016,1.2992486,0.73601747,1.2575016,1.1450998,0.8450001,0.9188039,0.82582945,1.2967689,0.7878008,0.881995,1.1950893,0.8315159,0.5245,1.0669925,0.9360502,1.1646544,0.52532244,1.3498433,1.0721998,1.1154513,0.8633996,0.9860021,0.8253031,1.5138223,1.2815818,0.7310206,0.7651731,0.95555663,0.62808573,1.2270625,0.72696906,1.2529619,0.6244028,0.91616994,0.72180814,0.78188586,1.1552092,1.1828022,1.378818,0.981929,1.4449468,0.94582057,1.3512756,1.1950899,1.0797516,0.6188351,0.58900917,0.44099796,1.1193466,1.3704337,1.3585202,1.437296,0.896592,1.2609572,1.3166702,1.1016059,0.7887051,1.2222924,1.3989525,1.23518,0.81721896,1.2493796,0.8823979,1.3365182,1.1499257,1.1727982,0.6174493,1.2315344,0.7660366,1.1792742,0.46412933,0.47474933,1.5310509,1.091573,0.80887675,0.92815495,1.1440144,0.9117484,1.3742278,1.3526032,0.93901867,0.6028957,0.43275702,1.3144869,1.3560213,1.2281896,0.79681766,1.0678645,1.0286063,0.9813875,1.2005506,1.4542432,0.78112334,0.7296037
bear,0.60345745,1.127166,1.190405,0.8541901,1.2373338,1.2178221,1.224987,1.0593768,0.7122923,0.0,0.6298546,1.0542524,0.70784116,0.880073,1.2226844,0.70914257,1.0654986,1.2113998,1.150428,0.97574264,1.2796677,1.1667478,1.1252095,1.1537076,1.1588857,1.1188394,0.6688868,1.063962,1.2127938,1.1405202,0.949523,1.1526712,1.0862381,1.195839,1.1245806,0.6669321,1.2457383,1.1723655,0.887483,1.2170466,1.0322837,1.0530152,1.0067477,1.0656656,1.194197,1.005562,1.2729826,0.5540644,0.83218896,1.1408851,1.0000398,0.7744956,1.0775152,1.0196537,1.1015966,0.86987144,1.0797734,1.0695858,1.2010168,1.0317425,1.0265813,1.0366864,1.1859543,1.0332822,0.9655245,0.82751167,1.076608,0.6732061,1.079969,0.8875361,1.0186114,1.0091779,1.1090925,0.9135437,0.9056519,1.0748112,1.1972122,1.1637156,1.0620487,1.1233113,0.897551,1.2463722,1.0697548,0.89962393,0.7276666,0.6936251,0.84539056,1.1771281,1.094879,1.1265047,1.28562,0.8204974,1.2436545,1.1170636,1.1702595,0.9971239,1.0872834,1.2008492,1.126181,1.0172279,1.0809427,1.1423615,1.200435,0.9419667,1.0624125,0.8106554,1.0619246,0.88924336,1.0789841,0.9209448,0.6812261,1.233645,0.99560016,0.9491215,1.1584517,1.0765142,1.0099167,1.1140782,1.1853373,1.0807712,0.6500835,0.83347124,1.2632415,1.1619633,1.179187,0.9838075,1.057559,1.1625123,1.1636312,1.0807893,1.149939,0.69760275,0.37706208
bed,0.36375928,1.1601137,1.3156011,0.63448393,1.2700448,1.3417594,1.5077316,0.8881503,0.49443585,0.6298546,0.0,1.4061114,0.2949505,0.49253416,1.469261,0.20970225,0.7207701,1.4413359,1.3299346,0.53671753,1.3839574,1.2046175,1.177432,1.3987895,1.1871929,1.4091996,0.8287297,0.92023134,1.2510902,1.3857608,1.139591,1.3678368,0.9862251,1.190656,1.166059,0.07135105,1.2230576,1.4739563,0.47770208,1.4714229,0.95827305,1.1108634,0.90207195,0.92714286,1.0055867,0.72883224,1.3912982,0.6460427,0.92536175,1.2742537,0.80714786,0.5367335,0.97369295,1.13305,1.0269856,0.77413976,1.366102,1.066482,1.0996237,0.87672657,0.7833342,1.0032798,1.5265541,1.1186856,0.77738345,0.52765864,1.1127137,0.423958,1.4157346,0.5590594,1.2273371,0.7571968,0.97969705,0.6618223,0.8497838,1.1690933,1.2703688,1.4182909,1.1129042,1.5237508,0.991109,1.3899238,1.1380965,0.90191704,0.3843755,0.37540597,0.50567657,1.1308852,1.4681666,1.451686,1.5033674,0.5416527,1.3240503,1.2695205,1.2958639,0.9185719,1.1405773,1.3927332,1.1660327,0.7321716,1.2262634,0.97335535,1.3831968,1.1162033,1.3671131,0.5371412,1.1659799,0.7680394,1.2603503,0.79700744,0.50613064,1.5398973,1.2636604,0.80762255,1.1631255,1.3874562,1.0115925,1.4046794,1.4100794,0.8490855,0.4104383,0.4522575,1.4170352,1.3878078,1.3890327,0.92550844,1.0575547,0.88142353,1.1031526,1.2498778,1.454376,0.82932246,0.44914746
belt,1.5330834,0.82248354,0.74103475,1.4240575,0.93232363,0.76897705,0.42892838,1.1996133,1.3930773,1.0542524,1.4061114,0.0,1.428883,1.5564201,0.5384747,1.4171778,1.2101284,0.49506325,0.7422242,1.4793915,0.92130727,0.8802188,0.860837,0.41924965,0.6478424,0.59789133,1.0451199,1.2580616,0.94860107,0.4410053,1.0159394,0.7067739,1.0779278,1.1996908,1.0010532,1.359206,1.2003263,0.24815434,1.3787841,0.44615352,1.3396854,0.9715745,1.2256042,1.1637944,1.0948908,1.3079731,0.7507545,1.1075141,1.1329533,0.71246624,1.2059488,1.5377419,1.2751509,1.1434762,1.2073098,1.463147,0.35035276,1.0098395,1.0863341,1.208625,1.3211327,1.269366,0.5729579,0.92728394,1.3396485,1.3005264,0.9401772,1.2255027,0.60119146,1.3387144,0.7316475,1.3825518,1.2237146,1.3589542,1.2476712,0.914235,0.5031284,0.21152818,1.1154534,0.4348606,1.1904702,0.69295096,0.7374755,1.1885699,1.3732529,1.2893642,1.502247,1.210717,0.38350588,0.46612543,0.45982242,0.9794315,0.97513586,0.88917714,0.8833597,1.3758031,0.88670534,0.4966573,0.8600355,1.395336,0.8095649,1.3285729,0.46075994,0.96377575,0.7790726,1.3789179,0.9634217,1.0656363,0.64788187,1.3949399,1.3335446,0.26815665,0.38213682,1.1953436,0.9930145,0.7872429,1.1464919,0.44607878,0.26591182,1.248132,1.3401445,1.4826051,0.5856037,0.5063488,0.42061782,1.3099146,1.122688,1.2447108,1.2398735,0.4997114,0.2509092,1.0335526,1.0672536
bench,0.42381537,1.0856556,1.4444653,0.54803276,1.331291,1.4085038,1.5507686,0.87434626,0.29017174,0.70784116,0.2949505,1.428883,0.0,0.527751,1.5073452,0.38768548,0.8437775,1.4213464,1.2209798,0.48346645,1.4010892,1.1146718,1.2525389,1.3191122,1.1319027,1.2954227,0.76552695,0.65102243,1.2027547,1.4566908,1.2067603,1.3679305,0.82684433,1.201787,1.1729974,0.28209126,1.1609918,1.5150785,0.51101935,1.4287026,0.88217247,1.2279516,0.9902574,0.80335987,0.81600845,0.68340385,1.4895401,0.8453611,0.88356054,1.1817122,0.8505047,0.53124475,0.95333767,0.9853843,1.1561786,0.69692934,1.4012034,0.8989225,1.152769,0.8593414,0.98130757,0.7892636,1.5777661,1.2470069,0.72588325,0.5360035,1.0677857,0.40337878,1.3737777,0.52626675,1.3495274,0.71440184,0.973209,0.5665264,0.74012566,1.1398441,1.1797017,1.4814725,1.0765195,1.4488101,0.97243273,1.493036,1.0381222,1.0488853,0.48384368,0.35190254,0.5052692,1.1902379,1.4528248,1.4473546,1.5097932,0.6286089,1.3694851,1.3408363,1.2451386,0.837198,1.2046838,1.4148319,1.2063502,0.70063287,1.2772219,0.9124724,1.3900642,1.0296636,1.2737205,0.5157476,1.1046797,0.64604396,1.2766939,0.62013423,0.49020016,1.5435492,1.2808948,0.7276298,1.0490439,1.2885956,0.96220654,1.3588872,1.4151094,0.72093236,0.49250108,0.50764596,1.4169606,1.3674526,1.3033924,0.8338561,1.051879,0.99460495,1.0533565,1.2830093,1.5259117,0.74672806,0.61737734
bib,0.35941494,1.023985,1.3821132,0.52638006,1.2280527,1.4017365,1.4545931,1.0327659,0.5801853,0.880073,0.49253416,1.5564201,0.527751,0.0,1.427095,0.46368575,0.800606,1.4751167,1.4211221,0.6457354,1.2208527,1.2619541,1.1881658,1.5363169,1.2681662,1.3473866,0.7716033,0.89971226,1.1184046,1.3728445,1.053315,1.4011194,0.9882787,1.0062665,1.1806687,0.52918524,0.9724848,1.6361444,0.6619258,1.550806,0.87992114,1.152949,0.79015493,0.9778945,1.1801672,0.5671857,1.3907802,0.8081808,0.7249987,1.2258463,0.80144954,0.43038338,0.8160538,0.9820076,0.8123363,0.6490627,1.4044545,0.8924995,1.042481,0.6530327,0.7086395,0.78525424,1.4963747,1.206554,0.77101195,0.51592875,1.1267446,0.5086784,1.5049399,0.73412365,1.3251934,0.6926609,0.8985991,0.5614761,0.8512055,1.0737561,1.3018088,1.5019165,1.0536327,1.4637132,0.8275876,1.3964146,1.3022497,0.75661355,0.26429677,0.47597414,0.47326314,0.96937037,1.5647762,1.5404701,1.4454008,0.8038951,1.13573,1.3236059,1.2638896,0.7018756,1.2462661,1.4641578,1.1771616,0.6762632,1.3675132,0.7802956,1.4308776,1.0132802,1.3644755,0.23455209,1.1464014,0.7024427,1.4094158,0.77982724,0.6498108,1.6206002,1.3942745,0.74076533,1.0612544,1.4013789,1.0231943,1.4717708,1.5123768,0.8410136,0.3407259,0.5011184,1.505333,1.4030421,1.4454236,0.81471646,0.9914615,0.98480934,0.9774074,1.467466,1.5433466,0.89016324,0.8055661
bird,1.3951979,0.7964573,0.8452494,1.2962081,0.91849434,0.85828507,0.53108096,1.2597578,1.4542718,1.2226844,1.469261,0.5384747,1.5073452,1.427095,0.0,1.4294465,1.1516147,0.7100706,0.9872769,1.4080162,0.7691927,1.0355356,0.8472102,0.66699135,0.81631404,0.64100933,1.0357778,1.2512939,0.922083,0.643919,0.90409136,0.7125023,1.134562,1.0261801,0.97294575,1.4445355,0.9399873,0.41510034,1.3513362,0.70549756,1.1883724,0.78455,1.1199975,1.1180531,1.0489674,1.2888625,0.72633886,1.1838492,1.0937037,0.66064936,1.2319173,1.4120927,1.1722158,0.9993519,0.9029839,1.3886106,0.5494852,1.0398339,1.122919,1.1154859,1.1347122,1.0805337,0.58209014,0.79194754,1.2900081,1.3518468,1.0363123,1.3416582,0.73120743,1.3058814,0.83943444,1.3223842,1.1795273,1.3118621,1.2635612,0.8540147,0.6159591,0.5439048,1.0881478,0.5084821,0.9948669,0.7548822,0.91458833,1.0466151,1.3812164,1.3591535,1.3716444,1.0418228,0.5542165,0.5030933,0.56661385,1.200067,0.8401929,0.8923431,0.9702964,1.3121097,0.888536,0.7411816,0.70064306,1.2993698,0.70517564,1.1264853,0.52499527,1.0391917,0.7720849,1.3614427,0.94737536,1.1688862,0.6603031,1.3505561,1.3956407,0.50907946,0.7599158,1.0976106,0.8444385,0.8430861,1.0222042,0.63181233,0.5109257,1.2331147,1.394907,1.4326535,0.78595096,0.52401966,0.5963473,1.1355743,1.0975689,1.1620704,1.1602159,0.6331482,0.4869883,1.1832582,1.1852701
blanket,0.33187205,1.0809147,1.3978767,0.68019354,1.2455015,1.3726866,1.4788849,0.92085993,0.5927891,0.70914257,0.20970225,1.4171778,0.38768548,0.46368575,1.4294465,0.0,0.9685566,1.4067315,1.2713343,0.7468984,1.284169,1.2262186,1.1199962,1.3897303,1.2607512,1.3843683,0.7765639,0.8384856,1.0588117,1.4053423,1.0652558,1.3549145,0.9157418,1.1553199,1.0671475,0.28552258,1.0456828,1.4754679,0.6937001,1.465816,0.916801,1.1809065,0.92637515,0.9551761,1.0574714,0.5546038,1.4068742,0.65841174,0.9238538,1.2651525,0.9959536,0.5032272,0.98655814,1.0705216,1.0877515,0.8058202,1.3877444,0.8297683,1.1503767,0.9423454,0.8288802,0.97881657,1.5020086,1.1873727,0.84550154,0.40703833,1.1532164,0.43074536,1.3512199,0.7913832,1.2426693,0.7387775,1.0123538,0.49341124,0.9459263,1.1177319,1.2658662,1.4694653,0.9329299,1.4376203,0.9610198,1.405973,1.1810081,0.7932658,0.41902542,0.3230723,0.6054175,1.1128536,1.482298,1.4601946,1.5077014,0.3202318,1.2631185,1.2961738,1.2774014,0.80372167,1.0960721,1.3640406,1.1466944,0.84567785,1.2976962,0.8837455,1.3802702,0.9792654,1.3886778,0.5298424,1.0900973,0.7391555,1.2202016,0.7668873,0.7161319,1.4994676,1.2888745,0.73061955,1.1286052,1.339421,0.97713166,1.3663436,1.4363194,0.9074595,0.44664258,0.66003346,1.4125171,1.3947937,1.3349551,0.89776504,0.79107726,1.0867813,1.113298,1.2700033,1.4442384,0.8535733,0.41909432
book,0.8596317,1.2055717,1.0322754,0.9177309,1.0701035,1.0436888,1.1882033,0.6684797,0.92366946,1.0654986,0.7207701,1.2101284,0.8437775,0.800606,1.1516147,0.9685566,0.0,1.1325567,1.0567447,0.4489969,1.1005464,0.8226077,1.0468625,1.1017249,0.88600296,1.149113,1.0344532,0.9631256,1.1900129,1.1644715,0.9678135,1.0543685,0.78314203,0.9395189,1.0007787,0.8083735,1.01918,1.1618123,0.5874635,1.1385283,0.9679914,0.84747016,0.8449645,0.8926286,0.7690852,1.0985733,1.146564,0.9849454,1.0894406,1.2145811,0.7573721,0.86654514,0.9824742,0.9638644,0.6740189,0.9889279,1.2339988,1.2168518,0.5370834,1.0514272,0.7552863,1.0044911,1.2607932,0.9296613,0.85785186,0.92817664,1.0479523,1.0967492,1.0798212,0.6010325,1.0575941,0.9639478,0.7758272,1.079772,0.8827971,1.1210418,1.0929703,1.1904967,1.0901233,1.2751995,1.137751,1.1198756,0.9670901,0.88345444,0.94840324,1.1260921,0.5238918,0.94691646,1.109002,1.0843152,1.2033697,1.0254053,1.027897,1.0399178,0.9153646,1.0398531,1.0129235,1.0660185,1.240443,0.8307111,1.0796037,1.0239528,1.18503,1.0360446,0.87409925,1.0219476,0.96428245,1.1572384,1.2078482,0.9954225,0.7449884,1.1112137,1.2247062,1.1489823,1.0583942,0.9923535,1.1324536,1.1956531,1.1848578,0.8196503,0.9950501,0.804506,1.0235413,1.2613926,1.2219111,0.87927175,1.0269718,0.4814334,0.8572409,1.2243646,1.243868,1.0442787,1.1297421
