,alligator,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,leg,melon,mitten,motorcycle,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.235814,1.0909997,0.8809044,1.1440217,1.1763309,0.9974785,1.1527616,0.85221606,1.0073687,0.96362424,0.92951006,0.9709294,0.8493256,0.93836385,0.8338686,1.1720098,1.2407572,1.2649322,1.1962608,1.1258047,0.6704139,1.2779937,0.90333295,1.1874174,0.97717744,1.029673,0.72320926,1.0041165,1.1562442,0.9549255,1.0983765,1.068954,1.0085845,1.1269481,1.1508012,0.9591246,1.3668054,0.8743427,0.9920887,0.9444146,1.0073738,0.9939071,1.1542892,0.6789574,1.1527268,1.1092045,1.0939693,1.0983847,1.1109183,1.056112,0.9525109,0.9123405,1.070312,1.1140741,1.0590944,1.279717,1.124795,1.0742815,1.1452053,0.63184524,0.45187545,0.8789397,1.0800871,1.0382999,0.7958716,0.9089726,1.0148714,0.91671747,0.8658739,1.2351301,0.51423144,1.0268874,1.101538,0.97146034,0.8549459,0.9260592,0.772472,1.0073972,1.0049189,0.9372893,0.947385,0.8476493,0.9942562,0.9559777,1.1052754,1.1720726,0.8171299,1.1131548,1.2278869,0.98895115,0.97273207,0.85767865,1.0161653,0.96599483,0.88513726,0.98674583,0.95787966,0.9258103,0.9799741,1.0059546,0.9384105,0.87678146,1.0802886,1.0237021,1.2205373,0.79745287,0.9621415,1.0671589,1.3071963,1.10298,1.0059785,0.98999435,0.8046479,1.2232373,1.1736588,1.0150913,0.6277113,1.1621885,1.0143073
apple,1.235814,0.0,0.6181999,1.1647701,0.7585947,0.62684536,0.69332445,1.2022748,1.402545,1.3472693,0.91282594,1.3858073,1.3037188,0.66279536,1.3427414,1.3665301,0.8995444,0.5950583,0.84412336,1.0337684,0.6095334,1.1267631,0.85783064,0.6301337,0.82494074,1.146436,0.6327262,1.2383802,1.388423,0.75516963,1.3996089,1.0698999,0.96657735,1.4421375,1.1884974,0.45320672,1.5660045,0.44936043,1.1182686,0.87065554,1.3228074,1.0910997,1.3143029,0.7786582,1.1928129,0.7183501,1.1641308,0.6972375,0.6159563,0.61873937,1.0383162,0.8648999,0.8552747,1.0621849,0.7209216,0.7537166,0.6493214,1.1773267,0.9407289,0.48885804,1.2655302,1.2435377,1.3625337,1.1610119,1.1374472,0.8916197,1.108328,0.6486632,1.1449586,1.3678398,0.5328753,1.0798718,0.7333385,0.7789489,1.2913918,1.0589013,1.3982468,1.3464823,1.2747841,0.6101392,0.81647974,1.0235072,1.2783221,1.2621453,0.7452676,0.6116952,0.37893295,1.2913331,0.8564683,0.62960654,1.4938239,0.96346235,1.1819823,1.2006744,1.3794945,0.9141612,0.99627936,1.1966989,0.93989843,1.120226,0.62137365,1.1705883,0.86678296,1.027369,1.208509,0.43397474,1.344079,1.3268315,1.2478275,0.40882015,0.61906457,1.1659198,1.05635,0.7538327,0.41719866,1.1848478,1.2141082,1.123288,0.54506123,1.3767526
applesauce,1.0909997,0.6181999,0.0,1.2448243,0.7698469,0.78141856,0.82169807,0.96623176,1.2397531,1.187856,1.0736046,1.3138447,1.2303698,0.76238126,1.2223502,1.2952023,0.873997,0.74217284,0.7448437,1.0279112,0.80970913,1.1027966,0.7063677,0.7999525,0.89007795,1.1300247,0.93899596,1.1409577,1.2746593,0.76486397,1.2110444,1.101858,0.9880972,1.3342919,1.0799149,0.8101023,1.320103,0.5743899,0.95738167,0.94440645,1.1577832,1.0512229,1.2228613,0.6248166,1.1340257,0.9575313,1.1897333,1.0152384,0.93109095,0.80629206,1.1646675,1.017066,0.89476055,0.87748307,1.1145518,0.8423386,0.63571495,1.2221576,1.0904299,0.74366,1.1586953,1.2281334,1.2748488,1.0872296,1.0917196,0.86412644,1.061332,0.69311637,1.0078536,1.269233,0.830232,1.0255167,0.98348206,0.90851086,1.1348804,1.1691179,1.3319062,1.2582539,1.0823178,0.8636222,0.82636833,0.72235763,1.2784083,1.1289332,0.8804412,0.65277445,0.7039097,1.0732051,0.80839443,0.88250035,1.2637401,1.0508096,1.2292466,1.0109731,1.3263645,0.8628988,1.0918535,1.0996777,0.92840165,1.1407425,0.87394035,1.0919638,1.0428821,0.8552871,0.89145815,0.81017673,1.1237646,1.2508823,1.0639629,0.5561886,0.9891784,0.98336154,0.9753051,0.8387046,0.56468964,0.9455424,1.1908172,1.0105224,0.9874489,1.1929556
arm,0.8809044,1.1647701,1.2448243,0.0,1.1594352,1.1659486,0.8886739,1.0415751,0.75736815,0.7367998,1.0289003,0.66648537,0.45355642,1.3031285,0.75677454,0.76034796,1.2504493,1.4758415,1.1858804,1.2395566,0.96976495,1.1341906,1.240923,1.269575,1.437113,0.9926397,1.1702242,0.8756896,0.86699206,1.4548068,0.8505325,1.0845743,0.8984143,0.5556345,0.7691767,1.3965595,0.7978744,1.4287386,1.0721927,1.1477484,1.0577085,1.0985448,0.71913797,1.1692001,0.89638835,1.0617843,0.8453254,0.8474829,1.2062618,1.391835,0.7294439,1.1884152,1.2464771,0.94461364,1.1297164,1.083628,1.273798,0.7565609,0.50555265,1.4579366,0.9238757,0.9331273,0.57264537,0.6830577,1.2067518,1.4173226,0.6471034,0.83952427,0.6349897,0.8126434,1.2449341,1.0817674,1.1782968,0.86094254,1.113531,0.89872086,0.514798,0.60572743,0.8519592,1.3552287,1.2190032,1.1472573,0.92522657,0.8059685,1.3656578,1.3330988,1.2416925,0.9586292,1.4421302,1.3619127,0.9548797,1.219152,0.74810183,0.88229454,0.42214358,1.3176396,0.91859967,1.0132002,1.1451601,0.6752422,1.4136059,0.9524308,0.89310336,0.9518497,1.1296062,1.3759444,0.9403806,0.6489186,0.77033883,1.4793974,0.8993795,0.79801685,0.7742754,1.2425126,1.3942788,0.97971994,0.9344019,1.2594633,1.3171327,0.9500911
ball,1.1440217,0.7585947,0.7698469,1.1594352,0.0,0.068490624,0.8019533,0.95127636,1.1633428,1.1280794,1.1930592,1.2473009,1.2018527,0.98037535,1.1616666,1.1784512,0.9274626,0.8562458,0.7856872,1.0673476,0.9586784,1.0802633,0.8225606,0.9682565,0.9559512,0.9461546,0.8661602,1.2240288,1.1954749,0.80550236,1.0863314,1.0985154,0.9685236,1.2208816,1.1246328,0.96777165,1.2266682,0.8092129,1.0341338,0.9298854,1.0255497,1.0174208,1.2063414,0.70183253,1.1936495,0.93863904,1.0462791,1.0767289,1.0056443,0.86487675,1.1711643,1.0897537,0.9250574,0.9994767,1.0931551,1.0350821,0.86930865,1.0820508,1.0746629,0.8268623,1.0725036,1.2011359,1.162826,1.1093202,1.0266459,0.89067817,1.1007868,0.83357316,1.053772,1.0358499,0.8324083,1.1973034,1.0538725,0.66304076,1.1960034,1.128766,1.2225082,1.183995,1.0691344,0.9944798,0.9637284,0.88117146,1.2389616,1.1527636,0.9179116,0.7291026,0.5009974,1.1387838,0.90682006,0.84967554,1.229119,0.960607,1.1904049,0.9974272,1.1779394,0.97368085,1.2039968,1.0454743,1.0558462,0.940893,1.0253478,1.1030693,1.1354711,0.8493862,0.85163486,0.7958962,1.0453953,1.179352,1.0275172,0.773803,1.0541184,1.119961,1.0785009,1.0615375,0.6461042,0.9737127,1.1637617,0.972745,0.96851164,1.2737364
balloon,1.1763309,0.62684536,0.78141856,1.1659486,0.068490624,0.0,0.7618132,1.0762566,1.2413003,1.2671968,1.0683427,1.2818075,1.2826505,0.92812186,1.2816517,1.2033287,0.9683905,0.79223263,0.8363975,1.0173907,0.869228,1.0172366,0.8233025,0.93305486,0.8997527,1.0009491,0.7014525,1.2241431,1.2482495,0.79474777,1.1862259,1.0846584,1.0081075,1.3105057,1.1949918,0.813128,1.3347496,0.7145436,1.0968263,0.97903264,1.0941936,0.9945731,1.2356892,0.6791519,1.1796789,0.8293171,1.0848625,0.90490705,0.9710965,0.8432313,1.0724659,1.0289416,0.9720558,1.0255936,0.96468705,0.9554992,0.833768,1.1123596,1.0096545,0.72011876,1.0768661,1.1779408,1.1947207,1.1461753,1.0311538,0.84625596,1.0730567,0.7581085,1.0551566,1.1258657,0.6460838,1.1455913,0.8998686,0.5966557,1.2136754,1.1195527,1.2751622,1.1981405,1.1829841,0.8473551,0.90181184,0.9687256,1.2219495,1.2649789,0.9006911,0.6853084,0.3786776,1.2506058,0.8949692,0.82702744,1.2988005,0.9529493,1.1877636,1.1005943,1.2255312,1.0344354,1.1006174,1.110331,0.9362877,1.0092615,0.9327588,1.1825507,1.0370628,0.89967906,0.9311123,0.6761739,1.1665612,1.2472115,1.1519002,0.6821884,0.89079535,1.1676216,1.0375781,0.9889453,0.5678138,1.0893238,1.2167354,0.98035055,0.84651875,1.2494522
banana,0.9974785,0.69332445,0.82169807,0.8886739,0.8019533,0.7618132,0.0,0.90613556,1.0023084,1.0166792,1.2017695,0.92885286,0.9466094,1.1608366,0.99003875,1.0641468,1.0071163,1.2680345,0.7830333,1.1401253,0.98177344,1.1921794,0.8988032,1.0769858,1.2895529,0.9838878,0.75490004,1.121156,1.1904145,1.116151,1.0550029,1.1285584,0.79366976,1.0680608,0.78518194,1.0737988,1.1760756,0.99667114,1.1967663,0.9847247,1.1405721,1.1413562,0.9569762,0.43985498,1.1066587,0.9713367,0.95282847,1.0861658,1.1150646,1.1553416,1.063337,1.079801,0.8517252,1.0402693,1.1409187,1.1197157,0.89611155,0.96166486,1.0080746,1.0824353,0.9796177,1.1540657,0.8287939,0.8996739,1.2157066,1.1920521,1.1456175,0.5967561,0.70221275,0.94443506,1.0981443,1.0976603,1.2088869,0.31447077,1.1908755,0.85332507,1.0318109,1.020082,0.96179754,1.2498473,1.1464448,1.0191194,1.2751651,0.9699326,1.2170186,0.74683464,0.83287466,1.1258318,1.1893356,1.220898,1.1434131,1.0056804,0.98132765,0.9063546,0.97120833,1.0937195,1.1919435,1.1304371,1.0466149,0.85529447,1.1957612,1.0507934,1.1245111,0.8462652,1.03577,1.2433413,1.0945786,1.0225935,0.7681977,0.82329935,1.1948138,0.82882166,0.771555,1.132191,0.59462714,0.8678275,1.0974209,1.1585858,1.224895,1.1972152
basket,1.1527616,1.2022748,0.96623176,1.0415751,0.95127636,1.0762566,0.90613556,0.0,0.90643865,0.66781527,1.2155192,0.7675551,0.7937255,1.3245022,0.7058774,0.95746124,0.78366905,1.2156162,0.21493864,0.73358464,1.2018862,1.3006291,0.38383192,1.2899666,1.1954842,0.815545,1.1654613,1.2528379,0.9081575,1.2156788,0.8012538,0.8513615,0.9699944,0.8191325,0.6392653,1.1986518,0.83018285,1.1221863,1.1588037,1.0452758,1.0754642,1.028333,0.8404306,1.050898,1.1171412,1.2095577,0.97317564,1.3305272,1.2285544,1.1777575,1.1947098,1.0951307,1.0407598,0.90844375,1.3018581,1.2147688,0.73872894,0.97779465,1.1117845,1.2804751,1.1679437,1.2475568,0.9108381,0.7841661,1.0220147,1.3248851,1.1604235,1.0187851,0.70297575,0.85228825,1.2312894,1.0647997,1.3671985,1.0242627,1.0984238,0.97464925,0.90817195,0.92488974,0.6088782,1.2979028,1.2345166,1.0389917,1.2012663,0.6722535,1.2701006,0.9222433,1.1782677,0.6913017,1.2544453,1.2091672,0.88548404,1.0538867,0.9708104,0.58685577,0.897828,1.1586837,1.2600598,1.0163406,1.3396142,0.73886704,1.3721573,0.96573967,1.300796,0.9197511,0.8214077,1.3435628,0.91686475,0.9582233,0.41940236,1.1137832,1.419953,0.56023043,0.7016909,1.2658944,0.9304646,0.10459584,1.0666589,1.224585,1.3299379,1.0981722
bathtub,0.85221606,1.402545,1.2397531,0.75736815,1.1633428,1.2413003,1.0023084,0.90643865,0.0,0.7152954,1.2319729,0.5615564,0.8201785,1.2185125,0.77029514,0.75746596,1.2189499,1.3730843,1.1300911,1.084944,1.2484834,0.9008781,1.2663629,1.1872892,1.274605,0.8980459,1.3222785,0.88395983,0.9036435,1.2542348,0.6460869,1.0508661,0.97046566,0.69604015,0.8265382,1.4073284,0.62080556,1.4136693,1.0553405,1.2741705,0.7034322,0.92720854,0.88249856,1.1127269,0.94687927,1.2311578,0.85808945,1.2844338,1.1044178,1.2995975,1.1219913,1.0615226,1.225829,1.028304,1.2802489,1.3856777,1.4180368,0.9471524,1.0788975,1.4744546,0.74485147,0.9920205,0.74355793,0.72307026,0.848635,1.0475664,0.8489449,1.1273391,0.9355066,0.772315,1.4209394,0.99708086,1.3355923,1.0079637,0.8098559,0.81164217,0.748371,0.81985056,0.75460094,1.324616,1.235886,1.1911187,1.0396926,0.7230818,1.2231332,1.1843736,1.4030466,0.99676204,1.2037176,1.2859602,0.605039,1.1622572,0.7526886,0.8243316,0.78869694,1.279255,1.1952963,0.504651,0.861696,0.89551723,1.3983928,0.6154695,1.2517393,0.9718221,0.8062041,1.365931,0.89075816,0.8105372,0.70631075,1.413259,1.3651825,0.90384203,0.9903567,1.2782342,1.4449264,0.9154036,0.79418427,1.0012288,1.3156381,0.6729001
bed,1.0073687,1.3472693,1.187856,0.7367998,1.1280794,1.2671968,1.0166792,0.66781527,0.7152954,0.0,1.2939829,0.4214939,0.36957598,1.3934641,0.08947742,0.8479506,0.95749366,1.4797297,0.8611051,1.0856534,1.3219212,1.3024869,0.99232507,1.3816628,1.3858076,0.9416626,1.3623048,0.91856146,0.65020096,1.3788314,0.7792996,1.1769931,0.8992918,0.3079127,0.8701606,1.5427673,0.5186217,1.4980617,0.84028554,0.94247067,0.8637436,1.1913174,0.6655516,1.1118714,0.93428653,1.217144,0.8753034,1.4057907,1.2534722,1.312664,1.0826507,1.3060336,0.99182683,0.9938683,1.4000614,1.2769058,1.2424141,0.811264,1.0942383,1.4161129,1.1652744,1.0343682,0.5201922,0.76222014,1.1686072,1.4434156,0.9882683,1.0741947,0.7934251,0.83512914,1.4434979,1.0901148,1.4808376,1.0359291,1.0762051,0.8127942,0.3894757,0.65642023,0.59875447,1.5603373,1.4578581,1.0360649,0.9009135,0.2417084,1.3617975,1.2292413,1.3415926,0.60639155,1.3610061,1.2822435,0.7802993,1.1044165,0.9625277,0.7765829,0.5460228,1.2039889,1.2921392,0.7803116,1.3609912,0.6194546,1.4855263,0.48330367,1.2500702,0.98407984,1.0416145,1.4487622,0.91069925,0.63478184,0.24285072,1.4093382,1.4481108,0.94228,1.0434436,1.2486876,1.2718923,0.5854919,0.83941525,1.2577784,1.4705808,1.0084819
belt,0.96362424,0.91282594,1.0736046,1.0289003,1.1930592,1.0683427,1.2017695,1.2155192,1.2319729,1.2939829,0.0,1.0744929,1.1788396,0.8505879,1.121674,1.0434309,0.9265045,0.7654374,1.132101,0.7334376,0.86620855,0.7071783,0.9518533,0.90830946,0.72347736,1.1540637,0.67976934,0.9184397,0.95971686,0.99208194,1.3211768,0.85348445,1.2675467,1.259773,1.1534222,0.49375725,1.2682524,0.7987298,1.0357121,1.0385276,1.2379463,0.73930216,1.1074677,1.1308627,0.9041907,0.944221,1.3295752,0.52098006,0.87992084,0.99322236,0.7440885,0.7733015,1.0668314,0.9783319,0.64408284,0.70267045,0.74523973,1.2988504,0.82347286,0.7620884,0.9425796,0.904896,1.1928897,1.1066519,1.0483153,0.84986734,0.96888775,1.0769902,1.0464828,1.2525283,0.67160463,0.5888474,0.57779753,1.3028501,0.96624637,0.9661045,1.032215,0.97370934,1.1539946,0.4961542,0.6749435,1.1212704,0.6708836,1.2486815,0.93857634,0.9584653,1.0309392,1.0624915,0.9492986,0.9398458,1.1968421,0.8988305,1.0078045,1.230101,1.2023318,0.93775356,0.49013436,1.2373368,0.7305185,1.2808024,0.5997442,1.2328992,0.55549175,1.2157619,1.0326114,0.7985059,1.2294871,1.3153937,1.3708159,0.8530681,0.5900388,1.0338734,0.83914304,0.5095905,0.93249786,1.2589656,1.187238,0.885658,0.66654664,0.93414295
bench,0.92951006,1.3858073,1.3138447,0.66648537,1.2473009,1.2818075,0.92885286,0.7675551,0.5615564,0.4214939,1.0744929,0.0,0.60772526,1.4065394,0.35802627,0.60345674,1.0490634,1.5232162,0.9490125,0.8450678,1.3367219,1.082216,0.9605862,1.4063361,1.3263773,0.9683886,1.1306772,0.8285761,0.50422084,1.5490893,0.7817232,0.96181464,0.9290523,0.34796846,0.72736686,1.3932161,0.49235028,1.4972918,0.95220566,1.1453092,0.92657685,0.8532075,0.73441184,1.0825632,0.8547804,1.2576855,0.9831173,1.2480415,1.3337641,1.4905293,0.8754471,1.1622325,1.1305691,1.0133172,1.3241678,1.2506534,1.1731865,0.9277249,0.9964164,1.4898841,0.9263975,0.98991036,0.49441868,0.66152334,1.1658446,1.4658086,0.97816205,0.9217658,0.6767285,0.8125779,1.3541331,0.89150774,1.3937266,0.9415475,0.95708275,0.8685568,0.49496794,0.5582122,0.66271067,1.4584955,1.3710623,1.1946955,0.73125255,0.5953341,1.485203,1.2017465,1.3211322,0.6555948,1.5027132,1.4557672,0.77382696,1.1176963,0.7483125,0.77675915,0.6067455,1.1936822,1.1477572,0.91186476,1.1743658,0.7831297,1.3706129,0.86395556,1.0764762,1.0115284,1.0101943,1.4921672,0.9072255,0.706967,0.55225325,1.3906059,1.3320189,0.8264891,0.820512,1.1470008,1.262733,0.7457887,0.8650559,1.1889465,1.4674222,0.7674093
bib,0.9709294,1.3037188,1.2303698,0.45355642,1.2018527,1.2826505,0.9466094,0.7937255,0.8201785,0.36957598,1.1788396,0.60772526,0.0,1.4519799,0.39284998,0.67313147,1.042184,1.5193899,0.98645306,1.2613369,1.0927747,1.3701868,1.0470082,1.41061,1.5059618,0.9321183,1.2792364,0.9658665,0.8616975,1.4049015,0.8153493,1.1635156,0.82324797,0.45441794,0.78024983,1.5367962,0.7625523,1.4798398,1.0336541,0.94817126,1.0564215,1.248054,0.45169878,1.1689588,0.8541063,1.1027513,0.74816275,1.1308293,1.3277376,1.384486,0.90789646,1.3121536,1.0037172,0.9182434,1.2260206,1.1367911,1.1904274,0.56035244,0.75507843,1.4048316,1.1414769,1.01689,0.5528243,0.7405013,1.2260004,1.5634673,0.85347456,1.0252159,0.6152917,0.82006663,1.386525,1.1154388,1.2956998,0.939071,1.1985447,0.8536783,0.29374075,0.5634252,0.6699598,1.5238423,1.3480116,1.0333855,1.0040126,0.4155122,1.4071354,1.3673624,1.3341208,0.7228381,1.4367735,1.3748107,0.9342204,1.1634202,0.84721065,0.7720424,0.27971536,1.2460527,1.0963521,0.93889916,1.4192113,0.631723,1.5113205,0.7983801,1.1586429,0.9236897,1.1021254,1.5089533,0.9526586,0.5224489,0.44740373,1.4598532,1.2061083,0.78863376,0.8161013,1.3527102,1.3281453,0.7270869,0.9358871,1.4195528,1.4562232,1.076764
bird,0.8493256,0.66279536,0.76238126,1.3031285,0.98037535,0.92812186,1.1608366,1.3245022,1.2185125,1.3934641,0.8505879,1.4065394,1.4519799,0.0,1.3942491,1.3083749,1.0009291,0.465536,1.1892693,1.0428301,0.86302084,0.7599908,1.2328678,0.096931696,0.7204394,1.2312617,0.8472047,0.93165755,1.3634313,0.49795341,1.2975205,0.9823478,1.1958753,1.4476566,1.298902,0.4660082,1.3559769,0.5687333,0.90740305,1.0011891,1.125185,0.9407845,1.3449123,1.0538741,1.0516812,0.9352731,1.2056518,0.9470072,0.3565203,0.47412062,1.183348,0.7396256,0.87851,1.1742058,0.76295626,0.8757231,0.9555077,1.2041878,1.2729342,0.56643146,0.96969426,0.94905066,1.4797977,1.2723333,0.9075543,0.44829023,1.0961087,1.0605137,1.4367223,1.3571777,0.6928036,0.8714344,0.7676892,1.186149,1.0279366,1.0557625,1.4956057,1.4263805,1.3043864,0.4367885,0.6600392,0.89379996,0.99053466,1.3283088,0.50756985,0.82780975,0.7045241,1.2990704,0.56705785,0.5524905,1.2707697,0.9710137,1.1104057,1.2754319,1.4292418,0.7777693,0.9799482,1.044216,0.6973736,1.2779101,0.47461772,1.0211841,0.9067945,1.1775806,1.0654597,0.3815024,1.1726029,1.2841808,1.4070804,0.7020019,0.7889725,1.2650368,1.3432922,0.60765815,0.7967948,1.3255349,1.1343979,0.7663177,0.48449314,1.1076727
blanket,0.93836385,1.3427414,1.2223502,0.75677454,1.1616666,1.2816517,0.99003875,0.7058774,0.77029514,0.08947742,1.121674,0.35802627,0.39284998,1.3942491,0.0,0.75043166,0.9817749,1.469012,0.88534844,1.0358502,1.3053963,1.2681305,0.9384061,1.3862078,1.33287,0.96386516,1.2621057,0.86681163,0.57729375,1.4113903,0.8763745,1.1193116,0.9019206,0.36954892,0.84328735,1.4630263,0.5935091,1.488498,0.85502285,0.9023615,0.91656876,1.1217793,0.66032225,1.0957531,0.8501429,1.2724203,0.9804216,1.3269081,1.3084902,1.3254523,1.0548497,1.2416146,0.9694682,0.9889859,1.3765197,1.1975167,1.1707262,0.91220224,1.0724926,1.3799247,1.1448325,1.0173733,0.5511863,0.8444212,1.2305756,1.4337335,1.0278028,1.0449542,0.6836833,0.8418983,1.4092059,0.8647471,1.400315,1.0662307,1.0994262,0.73587096,0.30503798,0.6151167,0.62419987,1.4945624,1.4004552,1.0884964,0.73415136,0.28277898,1.3566554,1.1825914,1.3592986,0.5320614,1.3930993,1.3092353,0.84062684,1.0923246,0.9094408,0.81401443,0.60923874,1.1167496,1.1671937,0.89649826,1.364142,0.7369755,1.3760133,0.56767386,1.1827068,1.0198554,0.997924,1.4609461,0.9205051,0.76371706,0.37298,1.3790516,1.414715,0.8938832,0.946518,1.015916,1.2168384,0.6908346,0.9037581,1.2423018,1.4740977,0.9890194
boat,0.8338686,1.3665301,1.2952023,0.76034796,1.1784512,1.2033287,1.0641468,0.95746124,0.75746596,0.8479506,1.0434309,0.60345674,0.67313147,1.3083749,0.75043166,0.0,1.1923983,1.2970283,1.158799,1.0784155,1.158839,0.97853756,1.1593689,1.3011453,1.2063353,0.93305427,1.17024,0.8759633,0.7733525,1.2920998,0.8095977,1.027671,0.9592422,0.6784333,0.8800574,1.3680778,0.6928368,1.3637375,1.055157,1.129395,0.86721194,0.9364314,0.6289613,1.1720445,0.7293339,1.2009609,0.8690243,1.1473718,1.244453,1.2714292,0.98515856,1.1581346,1.1601379,1.00215,1.1821549,1.1109171,1.2809727,0.8542055,0.97370034,1.3373483,0.88170445,0.9183039,0.69183195,0.9495867,1.0365902,1.2200521,0.9215342,0.99609476,0.7544044,0.77968174,1.2857479,0.8776999,1.1559119,0.931753,0.93796074,0.8740126,0.6004325,0.72900635,0.84862125,1.3216842,1.1625099,1.1361891,0.82178754,0.84696317,1.1826144,1.2496411,1.2619938,0.79222953,1.2221076,1.2869632,0.7976013,1.1505455,0.79705584,0.89442873,0.6090493,1.1356822,0.913299,1.0102888,1.146167,0.926986,1.2829742,0.98525786,1.1567526,0.95426047,1.0651671,1.3410912,0.84973973,0.7550829,0.923543,1.3757293,1.2446506,0.91734827,0.96866274,1.1618583,1.3779558,0.98985046,0.76935023,1.0754025,1.2553493,0.7641276
book,1.1720098,0.8995444,0.873997,1.2504493,0.9274626,0.9683905,1.0071163,0.78366905,1.2189499,0.95749366,0.9265045,1.0490634,1.042184,1.0009291,0.9817749,1.1923983,0.0,0.8319426,0.7197101,0.6091033,1.0513333,1.0792023,0.69435024,1.0377951,0.7262594,0.98001266,0.87613213,1.2515142,0.9475685,0.8444904,1.1169369,0.86956763,1.1278172,1.159426,0.88808656,0.7879205,1.141988,0.7262971,0.98587984,0.72315574,1.1253793,0.829429,1.1272383,0.984213,1.2827668,1.1974849,1.1041652,1.060748,1.0163231,0.8779037,1.2174149,0.90285444,0.87001145,0.7735677,1.0854374,0.97137237,0.47841316,1.1061153,1.0306994,0.892317,1.244796,1.2927574,1.2604506,0.85356414,0.95074666,0.96263266,1.1810948,1.0078866,1.0847685,1.1353712,1.1045712,1.1147177,1.1416205,1.0876688,0.9134286,1.1281409,1.158241,1.1690745,0.5253652,0.84538007,0.8064296,0.9825136,1.1127207,0.9299028,0.9300496,0.8714851,0.9232342,0.9611292,0.92997885,0.91642225,0.9949813,0.85827255,1.1321155,0.7838478,1.2605753,0.8665425,1.0182201,1.1380146,1.1212162,1.0393012,0.92288196,1.1714255,1.0890261,0.9821364,0.95522124,0.98327607,1.0312926,1.1738753,0.91537374,0.81837094,1.1167874,0.83162665,0.7822414,0.9701749,0.68785214,0.81865644,1.08532,0.9804106,1.02956,1.1225313
bottle,1.2407572,0.5950583,0.74217284,1.4758415,0.8562458,0.79223263,1.2680345,1.2156162,1.3730843,1.4797297,0.7654374,1.5232162,1.5193899,0.465536,1.469012,1.2970283,0.8319426,0.0,1.0185966,0.9225593,0.8233322,0.8823207,0.9024253,0.5001973,0.3915298,1.1842442,0.76567245,1.241914,1.2886877,0.38860714,1.2812951,0.8720189,1.2991693,1.5384974,1.3993863,0.29363555,1.4040213,0.18095767,1.0275646,0.9639517,1.1313585,0.99450815,1.3535326,1.0806222,1.1590264,0.9277808,1.2507726,0.8944543,0.4441077,0.32093263,1.2018316,0.6760474,1.0544312,0.97087514,0.6972709,0.7296331,0.75741684,1.2446691,1.2777013,0.35138184,1.1641033,1.050316,1.5186002,1.2693799,0.7618834,0.47370595,1.2022848,1.1588436,1.4602289,1.365121,0.59469646,1.0088606,0.63056487,1.1763864,0.96495575,1.1509101,1.5069793,1.4086983,1.3727798,0.3587352,0.57229054,1.0224324,1.0954916,1.3720472,0.3463452,0.7924735,0.60982996,1.280818,0.41235673,0.31373817,1.1777247,1.0010538,1.227952,1.2234323,1.5121365,0.8137795,0.85844064,1.15085,0.80510616,1.3328451,0.40698922,1.2268363,0.9881519,1.2199559,0.86246234,0.2961139,1.1592522,1.3850092,1.4682624,0.4709645,0.72709584,1.2417399,1.1780702,0.6583862,0.6004454,1.2982194,1.1186278,0.73833287,0.27295792,1.0646975
bowl,1.2649322,0.84412336,0.7448437,1.1858804,0.7856872,0.8363975,0.7830333,0.21493864,1.1300911,0.8611051,1.132101,0.9490125,0.98645306,1.1892693,0.88534844,1.158799,0.7197101,1.0185966,0.0,0.6699311,1.0635668,1.3263533,0.17479312,1.1728408,1.0129238,0.8452438,0.9515605,1.3011181,1.0092431,1.0908809,1.0596296,0.9755384,0.94330794,1.0278878,0.8158336,0.9607245,1.0942539,0.8204521,1.1701843,0.96115184,1.2080748,1.023591,0.98864627,0.8314111,1.190519,1.1048133,1.0650928,1.2133542,1.0975864,1.0211899,1.2016532,1.0575688,0.97750884,0.9150913,1.1844443,1.0496937,0.597956,1.0668409,1.1418316,0.98451316,1.2846391,1.343577,1.086266,0.9324289,1.1328983,1.2602189,1.2467918,0.8015136,0.7115406,0.98882216,0.9425767,1.0462418,1.2505653,0.85310555,1.239274,1.0558019,1.0918319,1.0891919,0.79763293,1.1255219,1.1631085,1.0047239,1.2781675,0.817635,1.1769719,0.59904706,0.87052757,0.8457911,1.1524689,1.0425221,1.1266657,0.9456196,1.0857267,0.7799878,1.1038822,1.0985647,1.2209754,1.1120073,1.2415969,0.8434274,1.1680094,1.0867425,1.2569686,0.9157746,0.86416566,1.1073291,1.0868914,1.1615318,0.56719124,0.7772001,1.2775712,0.71333206,0.749217,1.0993308,0.59151685,0.26768816,1.1265376,1.2617869,1.1311308,1.2394865
