,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.2768487,1.486562,0.6734456,1.2809862,1.4752812,1.3794289,0.84097606,0.69050974,0.4984839,0.44295406,1.5442934,0.59066576,0.7684871,0.7095941,0.5052184,0.8016511,1.1912892,1.5127535,1.4214499,0.9706926,1.215596,1.0403126,1.289024,1.1134325,1.4471223,1.0147076,1.1796477,0.45820308,0.7968451,1.4007322,0.7826445,1.0634674,0.8233837,1.0579331,0.49758297,0.49493182,0.5369472,1.5437527,0.4436792,1.5070629,1.0845077,0.44518936,0.93683416,0.80021846,1.0593497,0.7390113,1.2907715,1.3164937,1.4716723,0.5379609,1.3522975,0.7790052,1.3336896,1.235571,1.2959356,1.2668271,1.4538858,0.834309,0.8394493,1.2972051,0.882898,0.7487569,1.2946937,0.80586004,1.3508718,0.91728437,1.3445283,0.9402403,1.1033423,0.65414065,0.83146906,1.0206954,0.73212385,1.4782844,0.6438987,1.3959441,1.1904414,1.1380762,0.8046162,0.41203249,0.79798883,1.2347211,0.8514953,1.4389309,1.2601742,1.604421,1.2232918,1.4138894,0.7804408,0.6752583,0.6843606,0.7776202,0.72950757,1.5324715,1.4803624,1.3269842,1.444763,0.70902056,1.097846,0.94322044,1.4147258,1.2434001,1.0303452,1.0878388,1.2532693,1.2426319,0.7085454,1.2337947,0.6245082,1.2552372,0.937529,1.013211,0.727044,0.9788966,1.0440571,1.5524223,0.8194239,1.1032127,0.4872464,1.5610365,0.6296023,1.4629775,0.90786576,1.5507419,1.1635606,1.4397068,0.47523165,0.70281625,0.86054265,0.5390973,1.3794265,1.3567793,1.3885119,0.9690701,0.8751881,1.0546024,0.9187454,0.8225014,0.76134884,1.5855852,0.65879333,0.68429244
ankle,1.2768487,0.0,1.016207,0.750079,1.1154844,0.9633774,0.94160736,1.2260901,1.2094579,1.0820789,1.2372972,0.8153504,1.1633286,1.0090039,1.144162,1.2387161,1.15394,1.1194426,1.0196786,1.0446899,1.1785997,0.95109713,1.1029881,1.1465635,1.031178,0.9143802,1.2056413,0.98306376,1.133012,1.1178321,0.99519986,1.2017248,1.0446254,1.2883761,1.0431836,1.130168,1.1787559,1.2319639,0.95911777,1.3294237,1.0120139,1.1302036,1.1488441,1.0172079,1.0528471,0.99532557,1.0229249,1.0385013,0.7475573,0.63034475,1.1393616,0.8027463,1.1560473,0.36719716,1.0539259,0.9867534,0.44102573,0.88560086,1.1457369,1.1206348,0.81971467,0.7682104,1.2052017,1.021617,0.9807396,0.8765887,0.604496,0.7535466,1.10747,0.9252169,1.1645688,0.9795347,1.1709604,0.84016824,0.81658304,1.2187676,1.0194616,0.68336886,1.0476499,1.2552685,0.9776237,1.3160017,0.64788455,0.83553624,0.9147882,0.89145374,0.5995265,0.6635481,0.8254341,1.1446221,1.2925208,1.0325495,0.7558372,1.0306224,0.87602365,0.9222825,0.7878947,1.0652062,1.0028639,0.96026534,1.0319983,0.7974181,0.98730075,1.0908172,0.95375025,1.1235728,0.80761015,1.1852149,0.86293495,1.2196008,0.6930692,0.90142787,1.1620334,0.98012173,0.7742628,0.61229897,0.79949033,1.1670274,0.98914415,1.2467636,0.7851308,1.1907904,0.93685806,0.6544819,0.86672187,0.87713456,1.0099432,1.2281966,0.9540217,1.1977395,1.2568614,1.1234013,0.46343732,0.8125653,1.0605743,1.0289841,1.2446603,1.1624937,1.2199843,1.0770334,0.80434453,1.1704434,1.1720127
apple,1.486562,1.016207,0.0,1.4324226,0.5439333,0.30419672,0.528218,1.244165,1.4509745,1.2856829,1.514369,0.32153928,1.5185498,1.3882263,1.0589186,1.4217615,1.3126026,0.8662164,0.27053946,0.5433525,1.2333857,0.57849544,1.0242667,0.8237587,0.7789723,0.65050006,1.0151379,0.71612155,1.2659568,1.2543969,0.56208086,1.3197029,1.2219541,1.2813525,1.0001227,1.369005,1.4508296,1.4342406,0.16906667,1.5235279,0.36230624,1.0544851,1.2676499,1.1009177,1.2956648,1.2060221,1.440395,0.6985723,0.82192767,0.5220923,1.2693136,0.7550156,1.2088614,0.8435546,0.44340104,0.7095954,0.9231367,0.5831722,1.0440341,1.3496389,0.872892,1.1329365,1.1913767,0.7669169,1.2456741,0.65018106,1.2990791,0.6376712,1.2297933,0.8091265,1.4951549,1.3892471,1.1432155,1.4993423,0.49653637,1.4475167,0.47617006,1.0418473,0.81893,1.2311616,1.4369131,1.2569268,0.84064656,1.035938,0.13757408,0.8810998,0.46046805,0.87049127,0.4564541,1.3859766,1.147299,1.4655796,1.4274156,1.4227481,0.3598523,0.4000153,0.76547587,0.29401314,1.1380719,0.92170393,1.0420547,0.68591946,0.7212823,0.8248991,1.1654922,0.64698374,0.60137033,1.3978618,0.97312903,1.0733235,0.77052945,1.3540552,1.1143548,1.4264977,1.2047856,1.2793672,0.3158344,1.3181008,1.0940431,1.4200681,0.16135216,1.3240373,0.39475328,1.2393503,0.36529303,0.940683,0.12680948,1.4522421,1.4536986,1.1036346,1.5323329,0.61913437,0.6853539,0.40639108,1.1458611,1.1552188,0.9178832,1.242171,1.0712966,1.3373046,0.36956823,1.2675489,1.2720554
arm,0.6734456,0.750079,1.4324226,0.0,1.4182827,1.4710358,1.3832257,1.1858385,0.7000735,0.77451867,0.6089999,1.3934646,0.794536,0.3724047,1.1285076,0.8416356,0.9239795,1.2928636,1.4981046,1.5358225,1.0939112,1.2939978,1.1698709,1.3703862,1.3796701,1.4172423,1.1398016,0.90911853,0.9115921,1.0802333,1.4038934,0.856485,1.1207786,0.89794505,1.1229469,0.6181426,0.72045773,0.66186833,1.4351832,0.81465685,1.5259976,1.1515465,0.9483518,1.1005801,0.7330209,1.0123184,0.52534914,1.373939,1.0908991,1.1661223,0.78803813,1.1844282,0.84364,0.78443384,1.4308977,1.3987715,0.7960673,1.3981683,1.3122534,0.83450896,1.0644045,0.9064132,0.90545446,1.2965367,0.7504736,1.230659,0.40953982,1.2239401,0.84711015,1.331202,0.841116,0.623129,1.0603337,0.45871955,1.2254887,0.7250047,1.4380064,0.5958205,1.2146429,0.97586143,0.6740399,0.8933964,0.99089116,0.7681559,1.2958622,1.310426,1.2386253,1.0074618,1.2122933,0.7917397,1.0264488,0.5056151,0.545251,0.72545654,1.3660276,1.2892146,1.2324758,1.4469733,0.9337832,1.3189286,1.0734167,1.3180308,1.2893686,0.9970501,1.0506283,1.3983504,1.2864447,0.750782,1.2160432,1.1772145,0.9997679,0.76171523,1.0315984,0.3840853,0.90499353,0.5293575,1.3364745,0.7740873,1.0769098,0.6251011,1.342463,0.78880787,1.462194,0.7021234,1.4177212,1.2128661,1.4099286,0.8607341,0.4560504,0.95382893,0.71712935,1.4911982,0.93143374,1.2618765,0.75282514,1.177222,1.338272,1.1405375,0.9178302,0.89281756,1.3916185,0.79686195,0.76600504
ball,1.2809862,1.1154844,0.5439333,1.4182827,0.0,0.26430285,0.6811166,1.0402243,1.357099,1.1994462,1.320345,0.7509849,1.373214,1.3525723,0.962861,1.0885613,1.1590995,0.869092,0.5932835,0.5111166,1.131217,0.74402976,0.8801619,0.6402693,0.83593225,0.77737147,1.0488702,1.0327356,1.162339,1.0948769,0.4992708,1.3262631,1.0228993,1.1607676,0.78921884,1.2588117,1.3341056,1.3374232,0.57734054,1.3061861,0.5352255,0.95047843,1.136616,0.8495127,1.3731499,1.0471294,1.2927599,0.7868522,0.93612427,0.6459505,1.178956,0.7503824,1.1951792,0.9861763,0.6105303,0.7960218,1.1085393,0.83299243,0.8025962,1.1196558,1.0195086,0.9323845,1.126929,0.5380239,1.2541265,0.885761,1.2475021,0.80441475,1.0964117,0.7681854,1.1968367,1.3031375,0.9329265,1.3968476,0.9554733,1.4137069,0.5771487,1.1665189,0.7189665,1.068846,1.0742958,1.1427716,0.9784749,1.1150635,0.59126866,0.8699552,0.91271585,0.9166245,0.6315607,1.4388905,1.1465222,1.3197767,1.4157374,1.2700486,0.67851955,0.7093076,0.9054897,0.57305855,0.97701716,0.758881,1.076488,0.9089525,0.8527095,0.8871162,1.1279931,0.72938645,0.64887255,1.4500655,0.9762714,0.945654,1.0560975,1.1201429,0.91648525,1.3670549,0.9967285,1.3086853,0.8167284,1.3209914,1.1201726,1.3340244,0.66063154,1.1035812,0.5635456,1.0999073,0.75282145,0.6661408,0.60045034,1.254291,1.3558859,1.1093352,1.3538456,0.3133117,0.8629168,0.77184844,1.0989668,0.96736336,0.54651827,1.0383906,1.1214542,1.2553301,0.5842151,1.2991954,1.161016
balloon,1.4752812,0.9633774,0.30419672,1.4710358,0.26430285,0.0,0.56926334,1.1284593,1.4232728,1.3123963,1.5382204,0.45673603,1.4705131,1.4615318,0.95384425,1.3220766,1.1572464,0.8290465,0.4023164,0.4010551,1.1589499,0.6593828,0.9522184,0.5854732,0.7695683,0.5453835,1.0592284,0.8266677,1.277962,1.0816126,0.47920305,1.362876,0.9814311,1.2592713,0.9144988,1.3975074,1.473833,1.4843737,0.34472358,1.4658055,0.38159347,0.8993981,1.2707734,0.98307353,1.35199,1.0832292,1.482492,0.68211484,0.8661239,0.5064399,1.3282329,0.7962501,1.2566624,0.8748269,0.36928093,0.65475905,1.0292301,0.64528817,0.8941482,1.2224396,0.9717806,0.97674054,1.2093256,0.59017444,1.2926424,0.80321145,1.267425,0.6631137,1.159245,0.7700041,1.3107055,1.4209371,1.035876,1.5038462,0.6814121,1.4495814,0.40776408,1.0387852,0.6991105,1.1573972,1.2555084,1.2873583,0.9455932,1.0639223,0.41984206,0.73286825,0.60305136,0.7927213,0.50728774,1.4240831,1.2394316,1.5162615,1.4573886,1.318187,0.45142305,0.50119686,0.8155027,0.40282536,1.0384078,0.79017353,1.0760033,0.68926066,0.7091049,0.8320096,1.1654379,0.7027688,0.60915715,1.4581271,0.91262966,1.0334892,0.9470248,1.2132572,1.0133324,1.4826596,1.143093,1.3021777,0.5239458,1.3428297,0.9571957,1.4538652,0.4507693,1.3604817,0.45079988,1.1201122,0.47289485,0.68709034,0.3488961,1.4391744,1.4795213,1.1626594,1.4685962,0.35523695,0.7680751,0.5940714,1.1051913,0.9438357,0.6635889,1.0827937,1.1400672,1.2687685,0.53551155,1.3050787,1.2959697
banana,1.3794289,0.94160736,0.528218,1.3832257,0.6811166,0.56926334,0.0,1.1427056,1.4571366,1.3334887,1.5432565,0.6346026,1.4643759,1.3713794,0.9232428,1.3864175,1.2967429,0.85954946,0.53410137,0.5832102,1.1717781,0.5394339,0.9129964,0.8201449,0.6618792,0.727564,1.0936807,0.8757428,1.285904,1.1940857,0.7250319,1.350841,1.1689848,1.140129,0.7814427,1.1830852,1.4268419,1.2863944,0.47604853,1.5212408,0.60796064,0.91752064,1.2622353,1.0034018,1.3970513,1.216725,1.4080724,0.64399904,0.89035213,0.6220905,1.38035,0.75462496,1.2320707,0.80231893,0.6246238,0.70479715,0.82985973,0.5044853,0.7477357,1.3257284,0.8969481,0.9843299,1.3085036,0.689222,1.2114213,0.6995872,1.188938,0.7520319,1.185918,0.723573,1.2986584,1.3153315,1.0953219,1.4001753,0.65309125,1.3672062,0.70485914,1.0713341,0.5018988,1.1953651,1.317631,1.2827969,0.7724066,1.0273561,0.6532365,0.63534534,0.6903555,1.0041982,0.61944115,1.3306643,1.164308,1.4578388,1.3263316,1.3310713,0.519793,0.58267045,0.6801664,0.2903092,1.2066126,0.8344246,0.8108575,0.68401355,0.6824974,0.7751682,1.0489199,0.6197153,0.7211926,1.3924054,0.8652729,0.9277805,0.78721285,1.0900353,0.95250124,1.4037478,1.0932033,1.2719312,0.60498226,1.3828388,1.1389018,1.3750179,0.5188766,1.3213012,0.27428877,1.0938923,0.5105397,0.8917692,0.61304265,1.3462577,1.4273822,1.1810426,1.5263834,0.57913494,0.71920794,0.66433907,1.0640109,0.91559935,0.806093,1.0860915,1.2066431,1.242839,0.5295869,1.3526022,1.2778037
basket,0.84097606,1.2260901,1.244165,1.1858385,1.0402243,1.1284593,1.1427056,0.0,0.88754255,1.153095,0.87990266,1.2147316,0.5871764,1.0994322,0.9698632,0.7618072,0.8473127,0.731653,0.95977646,0.7363392,0.43889117,1.1340446,0.8150481,0.59690636,1.036824,0.6641915,0.9136889,1.1919193,0.95113426,0.5559559,1.0536724,0.7978344,0.7846975,0.8671465,0.99856555,0.9447745,0.79677355,0.8847481,1.215519,0.45903146,0.88758665,0.5580908,0.9268004,0.7209536,0.91097265,0.75852346,1.0295081,0.8861855,1.258141,1.4273719,1.1128237,1.2983556,1.1543409,1.3488635,1.1975645,0.9356519,1.3917456,1.0087749,0.8812651,0.8920155,1.3086431,0.9325659,1.023596,0.89433885,1.2056872,1.2115338,1.1895909,1.2775943,1.1072952,1.0338694,0.68046564,1.1441679,0.817096,1.1306823,1.2170085,0.73759997,1.0596442,1.1514517,0.9049082,0.7001606,0.7817557,0.9408347,1.361907,0.99516034,1.3684353,0.72003984,1.3327053,1.3348737,1.2646716,0.74499035,0.9281394,1.0425482,1.1608708,0.85168934,1.1880606,1.150967,1.2857754,1.0593579,0.8362683,0.56140184,0.785319,1.07386,0.85002613,1.0627251,0.644861,0.9299381,1.1323638,0.77486223,1.0074065,0.8845743,1.4051884,1.1655184,0.96497476,1.1432686,0.7781854,1.1237417,1.2042005,0.80843365,0.7911929,0.95903504,1.3546345,0.9226776,1.1088903,0.9925851,1.1422602,1.0055867,1.12332,0.6565379,1.1451453,1.0452942,0.7345298,0.8637719,1.3658725,1.2910393,1.024334,0.5700059,0.643767,0.48748386,1.0528268,0.66989195,1.2230059,0.9894234,0.975039
bathtub,0.69050974,1.2094579,1.4509745,0.7000735,1.357099,1.4232728,1.4571366,0.88754255,0.0,0.8183292,0.31742197,1.3345772,0.4024198,0.6846734,1.1416644,0.60040295,0.6192483,1.12019,1.4686995,1.2486119,0.78189784,1.3371524,0.96498036,1.0986798,1.2541164,1.237199,0.73596907,1.162698,0.8108647,0.75753963,1.3093771,0.3754878,0.77389765,0.70285916,1.1892864,0.7503644,0.5707953,0.6596339,1.4065256,0.4079367,1.3660083,0.94509435,0.8721411,1.235061,0.5028246,0.6576591,0.755575,1.2910209,1.3259339,1.4938428,0.5957443,1.3500059,0.9175728,1.3938695,1.3446295,1.270508,1.3090428,1.2983253,1.2293459,0.83906174,1.3156987,1.3622069,0.7475535,1.3838658,0.89644754,1.3943923,1.0587978,1.4405667,0.7924273,1.4019532,0.73006415,0.7263746,0.88062626,0.70704323,1.1247137,0.45951164,1.1753813,1.1363926,1.234982,0.8524275,0.9861932,0.51744896,1.3343245,1.0771407,1.3941054,1.1218753,1.4484982,1.2818551,1.5015674,0.5001188,0.80525553,0.73412406,0.7749033,0.6629315,1.2903107,1.199311,1.348233,1.4590797,1.0196807,1.1317482,1.1309067,1.3419318,1.0934522,1.2094891,1.188044,1.3534445,1.4728373,0.4005139,1.222317,1.1397467,1.1547205,0.97673523,0.83820623,0.6740462,1.1347861,0.98490596,1.4803352,0.34578967,0.4952808,0.40878892,1.4856093,0.5480384,1.4634387,1.0373669,1.3261693,1.2285281,1.4049323,0.8043858,0.6154154,0.9057877,0.3877939,1.2809536,1.4675995,1.3466656,0.7874875,1.028386,1.1432962,0.8175443,0.78126705,0.72771704,1.5352161,0.62278986,0.6892661
bear,0.4984839,1.0820789,1.2856829,0.77451867,1.1994462,1.3123963,1.3334887,1.153095,0.8183292,0.0,0.7052446,1.3709145,0.8568631,0.80536675,0.805742,0.81364703,0.7421477,1.250505,1.4027852,1.3747168,1.1670861,1.2104318,1.1598848,1.3375909,1.1483965,1.4793428,0.87415725,1.3010554,0.3826127,1.0467006,1.2775186,0.85268664,1.0709935,0.97139734,1.1352515,0.77989596,0.8123754,0.8185551,1.4251003,0.7439107,1.4143062,1.2386452,0.41086054,1.027027,0.8888348,1.1696811,0.8585821,1.2150905,1.0493566,1.2414724,0.46476537,1.1103003,0.73954916,1.1738033,1.0670828,1.276971,1.1460767,1.420358,1.0161618,0.8390641,1.0915178,1.1104,0.6162441,1.3048818,0.67003244,1.1633765,0.9467982,1.0601037,0.9431457,1.0368379,0.91209537,0.9094553,1.0495908,0.86486876,1.4368466,0.8914614,1.2578158,1.1155424,1.1028131,0.91005105,0.7650775,0.83294606,1.0483718,0.8849113,1.2411718,1.4518685,1.347971,0.9780596,1.238649,1.0207388,0.7464664,0.8187474,0.8710557,0.9444376,1.4347849,1.4129283,1.0722058,1.3353224,0.7675693,1.2646426,1.0907483,1.2965673,1.3399272,1.0971397,1.1768353,1.218886,1.1547492,0.90494645,1.0050942,0.7195177,1.1003124,0.91523564,1.1428363,0.75993603,1.0735523,0.99845636,1.4177678,0.9024695,1.2030206,0.6385848,1.3431838,0.77744967,1.3801565,1.119907,1.4563859,1.0643828,1.2837262,0.774481,0.7629474,0.68389285,0.8263716,1.3254023,1.1825353,1.2357057,1.1508493,1.268797,1.2033727,1.1730542,0.5582851,0.9705928,1.3938578,0.5479603,0.71768904
bed,0.44295406,1.2372972,1.514369,0.6089999,1.320345,1.5382204,1.5432565,0.87990266,0.31742197,0.7052446,0.0,1.4436998,0.3068787,0.52802575,1.185683,0.28595352,0.66915643,1.1849986,1.5860904,1.4929986,0.887125,1.4252887,1.0616742,1.3028626,1.3861084,1.4619384,0.839215,1.1817932,0.7175799,0.7086782,1.4436419,0.530774,0.84382266,0.80325043,1.1837605,0.5918742,0.18988013,0.60875946,1.5471506,0.33326143,1.5739467,1.1454501,0.73153317,1.089991,0.6439558,0.9237784,0.5036683,1.3341331,1.3424946,1.5126444,0.44337708,1.3824104,0.8318907,1.4077442,1.4175456,1.4264427,1.3122545,1.5766319,1.2170869,0.8758549,1.3443737,1.1571611,0.5391997,1.3941761,0.80783266,1.3639042,1.025316,1.4505032,0.8913631,1.3815553,0.7001284,0.56179976,1.0239165,0.51389515,1.4069116,0.492792,1.4629536,1.1564972,1.301632,0.8607219,0.7243117,0.55019355,1.3329703,0.94540757,1.4312382,1.3185806,1.5440034,1.3018982,1.510529,0.7082017,0.6931708,0.41363615,0.66032815,0.70521,1.5386204,1.4694412,1.355633,1.5318836,0.98251384,1.0359755,1.1786445,1.4822412,1.3305126,1.0712664,1.1933491,1.376474,1.5044749,0.55212367,1.2300941,1.0997357,1.185317,0.8769416,0.9936697,0.50758785,0.9825741,0.91755944,1.5627302,0.5577588,0.9512298,0.2419768,1.5624913,0.30408102,1.5999179,0.93446827,1.5737417,1.4021226,1.4960566,0.56364685,0.46711153,0.8139258,0.2942983,1.4173014,1.4461321,1.4063754,0.9233689,1.0186739,1.1112626,0.94663596,0.71607316,0.87333465,1.5837479,0.59381247,0.5068341
belt,1.5442934,0.8153504,0.32153928,1.3934646,0.7509849,0.45673603,0.6346026,1.2147316,1.3345772,1.3709145,1.4436998,0.0,1.3551536,1.3564472,1.0926244,1.23038,1.1486378,0.825771,0.45610696,0.64252293,1.1659043,0.79917026,1.0333045,0.84453416,0.7679883,0.5471312,0.88603103,0.7751361,1.2745833,1.1783806,0.69179994,1.2845292,1.0023842,1.1531535,1.2210952,1.4426869,1.3821167,1.4153388,0.23301053,1.503955,0.515139,1.0657697,1.2919121,1.1833088,1.2869446,1.069552,1.3733708,0.688841,0.8232688,0.6809565,1.3778291,0.7957169,1.2821686,0.77525204,0.42167544,0.6713556,0.8241626,0.5189071,1.0483994,1.4361527,0.8922838,0.95111793,1.2332658,0.8062974,1.2867268,0.6775102,1.2510078,0.699081,1.1581056,0.9065905,1.390872,1.182797,1.2075479,1.2441391,0.298751,1.4171349,0.58398813,1.0033406,0.9835672,1.2735251,1.4375894,1.1571491,0.9445919,1.0354381,0.42508316,0.7737062,0.30051076,0.93887514,0.7441768,1.2322242,1.2193301,1.3599869,1.2060288,1.3125281,0.2420873,0.37909824,0.617649,0.580933,1.2112671,0.7990972,1.1245098,0.55616474,0.7316289,0.9436146,1.02806,0.7767964,0.66533875,1.365541,0.77554744,1.2360178,0.6357931,1.142686,1.0993054,1.3690377,1.0528167,1.0693455,0.2791527,1.3079726,0.89344007,1.4387208,0.2425825,1.3419752,0.6118909,1.0235478,0.33486724,0.9295565,0.36023366,1.3894134,1.3334751,1.1808989,1.51116,0.7358713,0.77574944,0.4471112,1.1145399,0.96798956,1.0428783,1.2514013,1.1404326,1.3027948,0.40576923,1.2689904,1.2762835
bench,0.59066576,1.1633286,1.5185498,0.794536,1.373214,1.4705131,1.4643759,0.5871764,0.4024198,0.8568631,0.3068787,1.3551536,0.0,0.85917395,1.0698268,0.5459918,0.45513183,1.010141,1.3831409,1.2605071,0.6168871,1.487,0.9118742,1.0546165,1.3166531,1.0828652,0.7257468,1.2014787,0.74039054,0.3821767,1.4182324,0.5051634,0.5884037,0.8669713,1.211864,0.76329446,0.23544085,0.73943746,1.469023,0.28446555,1.4036391,0.9121293,0.73841643,0.9802612,0.5052423,0.63613105,0.7176021,1.1487476,1.3776371,1.5628725,0.7320427,1.470913,0.9831124,1.452933,1.362709,1.3191094,1.3707211,1.3693738,1.2049209,0.91576165,1.3578756,1.0834687,0.6369585,1.3124107,0.9579042,1.3399675,1.1172912,1.408773,1.0049379,1.2849611,0.5614556,0.8680732,0.95569956,0.6707613,1.2515726,0.34222603,1.30216,1.1296114,1.2382771,0.847448,0.77867484,0.74962497,1.4069064,1.0945415,1.5368066,1.0528891,1.5129944,1.3608972,1.4992135,0.5172622,0.8943589,0.6891824,0.7599174,0.7489753,1.389082,1.3263464,1.3743397,1.4776466,1.0043416,0.850601,1.115724,1.3750504,1.1726362,1.1322284,0.9609105,1.2345835,1.4705184,0.46561742,1.0499573,1.0317252,1.2533231,0.9479612,0.94796735,0.7832773,0.92325735,0.93352395,1.436587,0.562738,0.70161396,0.42952675,1.5597703,0.6572351,1.5348587,0.8740399,1.38851,1.2510562,1.4687845,0.5811904,0.76828134,0.84513,0.2625134,1.3055844,1.5103729,1.4616666,0.9169643,0.80693686,0.9818737,0.6277559,0.85113996,0.49788117,1.5547918,0.578704,0.6868788
bib,0.7684871,1.0090039,1.3882263,0.3724047,1.3525723,1.4615318,1.3713794,1.0994322,0.6846734,0.80536675,0.52802575,1.3564472,0.85917395,0.0,1.2698959,0.6994995,0.93763727,1.2089088,1.5010285,1.5036216,1.0584747,1.2864656,1.2583911,1.3431728,1.4127319,1.4127901,1.0965936,0.9984761,0.9422477,1.1290439,1.4096771,0.87408966,1.0896381,0.9026293,1.0862788,0.6420156,0.69529456,0.6636355,1.4695069,0.7793305,1.4809489,1.1173786,0.9664513,1.0334783,0.85960424,1.1455216,0.3299619,1.3721488,1.1167346,1.1943011,0.7825211,1.1793759,0.7113835,1.0202613,1.4182962,1.3879884,0.98591363,1.4889041,1.270601,0.7991514,1.0128434,1.0566685,0.8177698,1.2826107,0.6083814,1.1544074,0.69135356,1.150656,0.9086811,1.3565912,0.93104154,0.3826276,1.0867491,0.43627363,1.3505871,0.7815241,1.5114682,0.8284408,1.2160611,0.9120454,0.81957203,0.78151727,1.0173991,0.8953747,1.2884533,1.2946506,1.1954781,1.0625619,1.2262319,0.87185156,0.88630056,0.2728892,0.5118811,0.7155504,1.4584041,1.4170865,1.1483514,1.3886403,1.0563043,1.2594577,1.023812,1.3454959,1.2501268,0.91856056,0.99311304,1.3659835,1.3970387,0.79459584,1.2390218,1.2088503,0.9793764,0.7756367,1.1651902,0.09776527,0.9636074,0.5195699,1.3283072,0.78356653,1.160225,0.5913492,1.3875452,0.6809614,1.4303302,0.94443005,1.5140221,1.3995094,1.4055531,0.7941592,0.28382373,0.9050703,0.68498135,1.4433,1.1329447,1.2425019,0.9306891,1.140826,1.2770189,1.155007,0.8592876,1.1316409,1.3677772,0.82263625,0.62506706
bird,0.7095941,1.144162,1.0589186,1.1285076,0.962861,0.95384425,0.9232428,0.9698632,1.1416644,0.805742,1.185683,1.0926244,1.0698268,1.2698959,0.0,1.0055196,0.92171955,0.97694093,0.8924943,0.917443,1.1198246,1.0409135,0.8497118,0.9258225,0.52878743,0.94242585,0.8124566,1.1556611,0.67019516,0.8714764,0.90277636,1.0968623,0.9670058,0.98842037,1.142402,1.0634807,1.1477535,1.0322171,1.0040038,1.0057393,0.9297717,0.9618674,0.64901304,0.68682003,1.1000596,1.1473011,1.2043834,0.7770523,1.1052918,1.1917763,1.0769815,1.1730666,1.0968577,1.2304552,0.748472,0.7530399,1.2033627,0.79141337,0.557827,1.0213149,1.1526549,0.8556684,1.0673422,1.1207789,1.0824322,1.1683824,1.1729163,0.905865,0.7901715,0.54320025,0.88948375,1.1246551,1.0507479,1.2009073,1.0664029,1.0680408,0.6944532,1.0302334,0.8335087,1.032495,0.8362079,1.0322139,1.1463894,0.99205047,1.146366,0.9179746,1.1608394,1.0997728,1.0956573,1.1488168,0.87621564,1.2531868,1.1724805,1.15731,0.94084406,0.9223957,1.0714955,0.9789271,0.78012156,0.7808437,1.024662,0.8329977,1.0655651,1.1027304,0.84389937,0.8073262,0.85287035,1.1502407,0.8674015,0.33682632,1.3185782,1.1435866,0.7766098,1.1915264,1.0169826,1.1869537,1.0484288,1.1503747,1.0603489,1.0429608,1.0550083,1.1705606,0.86973035,1.150309,0.8918087,0.66626453,0.978423,0.90941364,1.1747768,0.9993823,1.1562505,0.95379657,1.1187078,1.1773512,1.0720329,0.8721395,0.90470743,1.0522656,0.9763236,0.7103965,1.0318648,0.95652854,1.1365821
