,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.3379453,1.4653236,0.68404937,1.1894771,1.3484013,1.1106002,1.3023674,0.61597097,0.5642873,1.494345,0.878278,0.60433877,0.5046583,0.5838083,0.47303343,1.3909953,1.4811367,1.4031433,0.93665993,1.455889,1.2579339,1.1634707,1.2886946,1.3504494,1.3383714,1.1611676,0.9389356,1.0725576,1.0167682,1.4698402,0.83456874,0.9585885,0.95511186,0.78631294,1.0786433,1.2276456,0.7476973,0.85784876,1.5184461,0.6570642,1.5638247,0.8970516,0.9601449,1.0029131,1.0976506,0.7046787,0.625885,1.0577548,1.2309045,0.6427588,0.7376257,1.3339324,1.3537657,1.169196,1.0528306,1.1675245,0.4667945,0.886297,1.4708536,1.1756563,0.60510635,1.4778113,0.8340938,0.9930461,0.94440556,1.403311,0.5810637,0.74468035,0.75589955,1.3013442,0.62758374,1.4143298,1.0139599,1.5243278,1.0002226,1.1104628,1.0483238,0.7011231,1.1121919,0.8352045,1.0423172,1.4717534,1.0597752,1.4067222,1.1000082,1.3396268,1.029853,0.99227184,0.6403879,0.7359215,0.7513257,0.84367764,1.4848061,1.4551071,0.80832803,1.2616746,1.1901245,0.9322642,1.4305809,1.0292876,1.3370528,0.9894638,1.24756,0.9631309,0.76559865,0.56311023,1.3460124,1.0338236,0.81138754,0.6297114,0.956815,0.87700987,0.94046664,0.70348954,1.1399733,0.3741393,1.5293752,0.66098773,1.2881446,1.0969791,0.81967175,1.204632,0.53463703,0.93846583,1.38767,0.9392724,0.6863446,0.69829935,0.5920813,1.4852377,1.4743643,1.3651887,0.7685817,1.2849019,1.2379419,0.899042,0.7393846,0.9788797,1.0355399,1.077789,1.5198231,0.941731,0.68974495
ankle,1.3379453,0.0,0.62032676,1.1794126,0.72454715,0.5165591,0.97048944,0.92844015,1.2532566,1.4198353,0.50329375,1.0974758,1.3039718,1.1404254,1.213665,1.0654469,0.70812964,0.7224054,0.7912935,1.1283683,0.70717055,0.965315,0.8732749,0.696741,0.7146698,0.6665654,0.90614796,0.9638976,1.0708457,1.2576201,0.58719784,1.3158796,1.0529792,0.99265015,1.0506037,0.84157854,0.6758222,1.2281549,1.2259794,0.6257471,1.4242477,0.595247,1.0197872,1.0678574,1.200099,0.9410104,1.1739693,1.065881,0.98403734,0.7446146,1.1788623,1.3254861,0.71097165,0.5969321,0.9848278,0.9629283,0.878164,1.1471895,0.9180914,0.6337707,0.68807656,1.2049996,0.57103866,1.157318,1.0363089,1.0869675,0.54062986,1.292073,1.1289711,1.13388,0.9183696,1.1612812,0.6515523,1.2353299,0.6530417,1.0420777,0.9712855,0.9926075,1.0798728,1.0486379,1.0124476,0.89229,0.65580183,0.9185611,0.633558,0.9991054,0.67789173,1.1724019,0.9085273,1.3253438,1.1160192,1.2865202,1.3818942,0.63361204,0.68579257,1.084176,0.75943404,1.0395848,1.2029047,0.7320865,0.91305435,0.74718034,0.9782754,0.97094685,1.2323414,1.236489,1.2252392,0.62666714,0.8455323,1.0923189,1.310969,0.9860022,0.9414395,1.135091,1.3282638,0.7929188,1.2730503,0.56647766,1.2526735,0.7850828,0.8736357,1.1787993,0.87068504,1.3007329,1.1883332,0.7787075,1.1306715,1.2451193,1.2185955,1.3790847,0.6289162,0.658411,0.7941486,1.1587363,0.7942288,0.7635664,1.1861526,1.2570639,1.0329792,1.0136751,1.1093955,0.57300663,1.2553196,1.2591832
apple,1.4653236,0.62032676,0.0,1.408665,0.4940257,0.4110546,0.6981009,0.8958154,1.4860134,1.4894781,0.6282202,1.3105989,1.4281579,1.0878719,1.4391373,1.3216774,0.6781593,0.3717364,0.5387111,1.3218088,0.21526742,0.89894986,0.8272338,0.5404184,0.987835,0.57106483,0.881095,1.0126917,1.279011,1.0275851,0.4886762,1.4167035,1.1033908,1.1102219,1.3478087,0.7873778,0.80922186,1.4625845,1.1475104,0.3233677,1.4870319,0.34809095,1.0209566,1.1176587,1.3020499,1.2329261,1.3294356,0.9683506,1.0173512,0.57020676,1.3648642,1.2424283,0.80214834,0.2689209,0.77832454,1.1192911,1.0105036,1.0133362,1.0496669,0.44694096,0.87941694,1.270416,0.3759188,1.2241071,0.75710547,1.2174834,0.49933052,1.3726729,1.2538282,1.3452704,0.6775828,1.4768431,0.6040305,1.2441761,0.46396804,1.2150369,0.64028937,1.0477874,1.3530825,1.1435971,1.0004303,0.83368874,0.27047837,1.0965304,0.7479576,1.0007619,0.15542805,1.334003,0.8286083,1.4724832,1.4235642,1.3774526,1.2513242,0.43803585,0.5047842,1.3298018,1.0405126,0.67318684,0.9932899,0.5109799,1.0291249,0.33644855,1.1201693,0.98987657,1.342969,1.2030885,1.249429,0.7311872,1.1525164,1.1213393,1.4716549,1.2314675,1.3161266,1.1355953,1.3674712,1.1039312,1.4284143,0.32186425,1.2890608,0.8364982,1.0354227,1.1087558,0.9602764,1.2974032,1.1926986,0.27360147,1.2869624,1.4008694,1.2133789,1.4615296,0.3418252,0.5382595,0.613787,1.4057535,0.9392234,0.4617362,1.2741407,1.0827885,1.0761082,1.046138,1.114446,0.3895175,1.3322042,1.356318
arm,0.68404937,1.1794126,1.408665,0.0,1.4420336,1.4761069,1.2132711,1.3787423,0.78572583,0.69992423,1.0875903,0.97538644,0.5902312,1.1427703,0.69840664,1.0181413,1.2917683,1.4696791,1.3296309,0.9766626,1.3628892,1.3304074,1.365722,1.3162253,1.2116787,1.456014,0.73021257,1.0799263,1.1035341,1.2112741,1.3388948,0.8682796,1.1090951,0.94202936,0.7941459,0.9520657,0.90233433,0.66336226,0.7984467,1.3144672,0.7779664,1.416717,1.0440962,1.0908136,0.83894575,0.6993624,0.65831995,1.2051861,0.86725074,1.0938474,0.7431716,0.70802194,0.7331863,1.4210783,1.2735187,0.49222946,1.095368,1.0817007,0.7219127,1.1672391,0.88547444,0.89824975,1.2638305,0.6891243,1.0615073,0.4293183,1.3141346,0.5904262,1.0282154,0.75654125,1.3717973,0.49895787,1.0715398,1.143414,1.4837501,0.5642926,1.183337,1.1293303,0.6052964,1.1911564,1.2241478,1.1798477,1.2479725,1.0755323,0.9491511,0.8052814,1.2674813,0.7748196,1.4274688,0.5361772,0.5720351,0.66471064,0.9180001,1.2600191,1.1436685,0.71167845,0.90308255,1.2157959,1.154223,1.3497019,1.073298,1.408434,1.2416767,1.2162821,0.79678386,1.0556734,1.0205069,1.2364986,0.9236195,0.9730807,0.45788848,0.97049487,0.6293817,1.2162275,0.74213,1.0437456,0.8517617,1.3128076,0.87250584,1.2491325,1.092983,0.94282997,1.1797462,0.9735652,0.9884907,1.3168397,1.021305,0.64458126,0.8684069,0.66174483,1.508922,0.9153304,1.0178186,0.6678901,1.2071307,1.5192928,1.0185934,0.9481088,1.1330065,1.1924613,1.2424033,1.1758263,0.97101176,0.7114192
ball,1.1894771,0.72454715,0.4940257,1.4420336,0.0,0.32565218,0.90767753,0.69823045,1.2715176,1.2872608,1.0073819,1.1736294,1.27292,0.8292914,1.2422056,0.99368954,0.8405676,0.613058,0.8053102,1.130275,0.67366874,0.84963024,0.67412883,0.74747103,1.0262688,0.6527844,1.1607269,1.0232301,1.1164979,0.9654237,0.6885711,1.2954998,1.0498091,1.1952724,1.2277441,1.0650318,1.0932758,1.3427608,1.2505286,0.76387644,1.3135867,0.71365607,0.9813943,0.8633977,1.2909608,1.3881512,1.308404,0.8516904,1.1210147,0.5642748,1.2583013,1.2215143,1.0570923,0.7126644,0.7702863,1.2218449,1.1123796,0.90898234,1.1901076,0.9250844,0.916131,1.0781384,0.696596,1.273482,0.89178056,1.1934714,0.68316686,1.2906269,0.90395397,1.2130353,0.7959573,1.3803706,1.0553702,1.0874557,0.63705075,1.2988372,0.61477065,0.90602267,1.0804201,1.0119865,0.8999027,0.8829936,0.73909354,1.043067,1.0457401,1.1717632,0.599676,1.286709,0.69044995,1.3370421,1.3585329,1.2075442,1.1734449,0.8620712,0.953748,1.2984352,1.1114488,0.847975,0.92604864,0.85902363,0.96136075,0.2657174,0.78928226,0.77410054,1.3079281,0.98024535,1.0079609,0.957291,1.1202741,0.9455746,1.3580253,0.9386479,1.2797952,0.93976784,1.2680957,1.1781998,1.1027411,0.699527,1.0688711,0.80017185,0.7888567,1.0566417,1.0400057,1.0395663,0.9933193,0.7108054,1.0873785,1.2735577,1.0087676,1.3265281,0.41834104,0.89592475,0.98143333,1.1963785,0.9348153,0.4234931,1.1035324,1.0656576,0.86475307,0.9353762,0.92371696,0.8140821,1.1818763,1.2231777
balloon,1.3484013,0.5165591,0.4110546,1.4761069,0.32565218,0.0,0.83772516,0.78573364,1.2837565,1.4728583,0.7855945,1.2080418,1.4163089,0.9697854,1.3141673,1.0333437,0.7202893,0.55314463,0.6540047,1.1330622,0.6066616,0.8365094,0.5921134,0.59825253,0.8138492,0.64609414,0.98702705,1.0049598,1.1376842,0.9679681,0.5442638,1.3988478,0.9410005,0.9458333,1.2023532,0.8896651,1.0004324,1.4149258,1.2416679,0.63111115,1.4466237,0.51382667,1.0701983,1.0304259,1.2111509,1.251946,1.3236923,0.89237446,1.0747005,0.49963534,1.3625479,1.3276538,0.9333959,0.47474718,0.83383524,1.2322401,0.9534784,0.9962753,1.0596097,0.77204376,0.880036,1.1869621,0.50878966,1.3086706,0.8911332,1.2408257,0.6030345,1.4116247,1.0153732,1.2909563,0.7537756,1.4519259,0.84452647,1.1484596,0.5121807,1.2311416,0.6625381,0.96872115,1.1951044,1.0007433,0.9489752,0.80472887,0.6365551,0.9238292,0.85494137,1.0673035,0.5628189,1.2454543,0.758862,1.4703035,1.4392304,1.2426418,1.221624,0.6734786,0.78229874,1.2255871,0.9258505,0.87879026,1.036128,0.68005025,0.9785556,0.48089874,0.895852,0.8620696,1.3088706,1.123485,1.1642675,0.75354946,1.1402245,1.08082,1.4787983,1.0552202,1.3053131,0.9985327,1.3260652,0.946873,1.202918,0.64360785,1.1531779,0.7704617,0.84245086,0.986432,0.8856021,1.1952022,1.0485734,0.6268242,1.192735,1.3982103,1.1661873,1.4408128,0.30301344,0.8100193,0.85774666,1.2027105,0.80631995,0.4749545,1.1248522,1.1746299,1.0316213,0.9961846,0.99672985,0.69891584,1.1518195,1.3780556
banana,1.1106002,0.97048944,0.6981009,1.2132711,0.90767753,0.83772516,0.0,0.93237627,1.1870464,1.2512288,0.9786595,1.1818786,1.1982967,1.0087464,1.1794697,0.96359676,0.8100688,0.85383147,0.81790054,1.0665069,0.66303265,0.87710005,0.82276404,0.91501033,1.0281439,0.89419496,0.85542786,1.0572933,1.1781627,0.64533305,0.94619226,1.1760691,1.0680861,0.8846017,1.171137,0.7990978,0.96001905,1.2207055,0.827783,0.8851436,1.2326608,0.87678945,1.0903674,1.0014709,1.2183061,1.1116196,1.1545819,0.967932,1.0218663,0.8110026,1.2149775,1.1086614,1.0142237,0.7026491,0.98256505,1.027392,0.8822987,0.8856563,0.8879858,1.0147675,0.9792762,1.2022421,0.7598874,1.1910897,0.5742823,1.0621527,0.98454946,1.2767467,1.0328203,1.2331399,0.86275095,1.2221657,0.92518425,1.102797,0.9045701,1.1518018,0.4947046,0.9520109,1.1346394,0.9739402,1.037864,0.7441071,0.98849314,0.87634206,1.0521457,1.0600287,0.74947727,1.1865019,0.8457438,1.2771153,1.2868992,1.1161534,0.8618165,0.9071704,0.94245887,0.9523955,0.9854819,0.8168701,0.94942755,0.6912374,1.012414,0.88529027,0.9426419,0.94798297,1.1864936,1.0650254,1.1124144,0.9776924,1.0968357,1.0284367,1.2767463,1.0242244,1.2334425,1.0120444,1.2546191,1.0278693,1.1040537,0.90799034,1.1888651,0.97382796,1.0027161,0.89453244,0.8219886,1.1793303,1.0981361,0.9191533,1.125278,1.2773769,1.1323259,1.2546525,0.7418077,0.9531186,0.92310125,1.0843127,0.89352727,0.7496832,0.9231582,1.0202591,1.0325708,1.0836449,1.0094155,0.98497117,1.200293,1.176091
basket,1.3023674,0.92844015,0.8958154,1.3787423,0.69823045,0.78573364,0.93237627,0.0,1.1396527,1.1481575,0.7793522,0.8918565,1.2971385,1.01341,1.1028727,1.0870928,0.60556936,0.5895368,0.73509884,0.73501587,0.8782935,0.73513836,0.68435735,0.84872806,0.56909436,0.7437811,1.1742183,0.9040924,0.7048509,0.86557066,0.6396229,0.98269176,1.0295603,1.1395562,0.95176804,1.1953521,1.2384177,1.0414007,1.1428475,0.7793185,1.0248733,0.66335356,1.0037099,0.85759246,0.9706864,0.94731706,1.3507981,0.95023346,1.1641372,1.0290852,1.2143143,1.285154,1.1554211,0.9090494,0.7790263,1.259368,0.9621669,1.1486863,1.2786233,0.97804236,0.909745,1.2158104,0.8864418,1.3495352,1.0866876,1.2773151,0.8716559,1.372668,1.037829,1.1955049,0.67700106,1.3468267,0.8916855,0.71448004,0.5738832,1.1620462,0.9872318,0.8492847,1.1599541,0.82908815,1.0275468,1.0311664,0.92384714,0.85982877,1.060107,1.3081372,0.96816957,0.834216,0.81258523,1.2859418,1.3073493,1.1255207,1.0545435,0.8257706,0.90285176,1.2817338,0.73233306,0.80663157,0.9191169,0.7505981,0.8957487,0.6813955,0.6586311,0.6344882,0.95983243,0.92920434,1.0899109,0.7602827,1.0912287,1.0590281,1.3410777,0.87965167,1.2518444,0.9091546,1.1674097,0.8152034,1.2184939,0.76756585,1.141343,0.8880018,0.6048046,1.1108202,0.98005277,1.1566542,1.051712,0.9240536,1.0194416,1.2639937,1.2510424,1.2753855,0.6722576,1.0438488,1.057026,1.2965237,0.55449975,0.6735973,0.8774253,1.0985228,0.93369657,0.86494243,0.8392258,0.86492544,0.84359246,1.2013973
bathtub,0.61597097,1.2532566,1.4860134,0.78572583,1.2715176,1.2837565,1.1870464,1.1396527,0.0,0.47856843,1.3694465,0.68327546,0.76719844,0.9971283,0.5884938,0.45526087,1.2185194,1.4034832,1.1050757,0.31299675,1.550525,1.1582854,0.70120287,1.3724245,0.73840976,1.233603,1.2473726,1.0372247,0.8082075,1.0266871,1.4264454,0.6215228,1.0129613,0.8650556,0.86805487,1.1075279,1.2943575,0.5505465,1.0985191,1.4466999,0.49676186,1.4017795,1.1945074,1.2147616,0.7247019,0.8651422,0.85986364,1.060641,1.1395512,1.2652014,0.67149705,0.81284237,1.360786,1.4041269,1.164934,1.0973324,1.1656821,0.94149864,1.0623127,1.4507992,1.3508816,0.70986605,1.4911366,0.8872725,1.1985674,1.0433196,1.3572953,0.7500812,0.9281332,0.7056873,1.2262434,0.6349503,1.3331811,0.84736145,1.4067531,1.0924827,1.2084608,0.95482194,0.8558536,0.9400658,0.96380013,1.1484264,1.4072305,0.9698695,1.4132621,1.1788312,1.3732474,0.7977242,1.2753744,0.772721,0.7482614,0.7024483,0.8345156,1.4171426,1.3927128,0.83482355,1.0191371,1.3278651,0.9911957,1.256864,1.1414812,1.3748893,1.006405,1.0437541,0.7480583,0.85486734,0.9018145,1.2257487,1.0779036,0.8068044,0.7001339,1.0971774,0.85224533,0.90464693,0.60980713,0.61393845,0.3260427,1.5221823,0.624007,1.0908213,1.1173035,0.7228677,1.1596569,0.7425463,0.9516854,1.3375471,0.9865001,0.79506785,0.85333574,0.51952314,1.3658309,1.4646972,1.3116763,0.8541158,1.1175143,1.1953162,0.67122287,0.79146963,0.95108664,0.90708816,1.0315917,1.5003138,0.733165,0.7495992
bed,0.5642873,1.4198353,1.4894781,0.69992423,1.2872608,1.4728583,1.2512288,1.1481575,0.47856843,0.0,1.420236,0.7505852,0.57656205,1.0662824,0.2861411,0.7147407,1.1858068,1.4943376,1.2698753,0.74314845,1.5744932,1.2961581,1.221391,1.3349091,1.2237364,1.3523619,1.2894835,0.99389297,0.7922964,1.0813951,1.445998,0.40739715,1.0088431,1.040638,0.81060463,1.0373888,1.325707,0.2512607,1.0069215,1.4789046,0.1864205,1.5372372,1.1001695,0.9752923,0.6670944,0.82993805,0.68258613,1.0731018,1.0640877,1.2368947,0.59735173,0.6276054,1.3185673,1.5404404,1.2456397,1.0384322,1.2786056,0.91439176,1.0779736,1.441,1.3174777,0.62982225,1.4998391,0.7886452,1.169796,0.9880039,1.468039,0.6833919,0.8735244,0.70178527,1.3020191,0.58130705,1.3572519,0.8572519,1.4665762,0.995796,1.1965657,1.0395238,0.8219769,1.128654,1.0426824,1.206955,1.3893225,0.8588555,1.4538379,1.0522029,1.3911006,0.65614927,1.2433406,0.45493507,0.611575,0.43285316,0.8486903,1.4534993,1.4044259,0.8408218,0.86777365,1.2369738,1.0200227,1.3379146,1.208007,1.4043213,0.96563095,1.1387792,0.56931394,0.90592176,0.9019427,1.3061261,1.0982511,0.76439154,0.521323,1.0846586,0.8624543,1.1524241,0.44823194,0.9374019,0.4986447,1.5321705,0.62672544,1.2256485,1.1266477,0.9649113,1.3031034,0.79331815,1.0816156,1.3708032,0.9473758,0.5406657,0.8051146,0.428531,1.4349687,1.454738,1.2842138,0.84461915,1.0678947,1.3149248,0.7107029,0.7937908,1.0576822,0.9570335,1.1026464,1.5229058,0.6758013,0.5378636
belt,1.494345,0.50329375,0.6282202,1.0875903,1.0073819,0.7855945,0.9786595,0.7793522,1.3694465,1.420236,0.0,1.067347,1.3673573,1.3141105,1.2493738,1.3858523,0.5779111,0.6565572,0.541855,1.1287916,0.6423739,0.87517476,1.0380157,0.5832888,0.58489454,0.6745335,0.88010156,0.8316917,1.042358,1.2766169,0.3675834,1.2380512,1.0390357,1.0288826,1.0459825,0.79258776,0.67590487,1.176794,1.2022129,0.32598066,1.3838385,0.44524848,0.9885831,1.0515305,1.0597003,0.6981735,1.2036918,1.1213826,0.82921416,0.95220625,1.259991,1.3334945,0.62815255,0.51180935,1.0492736,0.87947243,0.7517733,1.2445099,0.93322414,0.26294357,0.602487,1.4216428,0.5718641,1.1322798,1.186367,1.1139873,0.5395957,1.3853221,1.3420714,1.239518,0.92147946,1.1899865,0.2609325,1.1330197,0.4645995,0.90886927,1.2350761,1.1646094,1.2888846,1.0142362,1.0631809,1.0492241,0.426808,0.9332819,0.3825817,0.95884687,0.68950284,0.9898163,1.0831518,1.3195841,1.1340469,1.2921916,1.3013538,0.28372276,0.31648672,1.125007,0.53900915,0.94591093,1.2557311,0.54606104,0.9310628,0.77826244,1.016071,0.9246244,1.1043808,1.3254771,1.2411982,0.48258102,0.8497061,1.1669712,1.3200183,1.1182063,0.95267934,1.1789274,1.3797281,0.6338942,1.5533566,0.32525146,1.3303378,0.89113176,1.0023433,1.28584,0.7534785,1.3635671,1.1951529,0.6670235,1.1357703,1.3077468,1.4447057,1.4548059,0.67839044,0.5201334,0.5218868,1.2941246,0.7264071,0.85598016,1.2380793,1.3549696,1.1229792,1.1317875,1.0623178,0.22730005,1.2024401,1.2939523
bench,0.878278,1.0974758,1.3105989,0.97538644,1.1736294,1.2080418,1.1818786,0.8918565,0.68327546,0.7505852,1.067347,0.0,1.053126,1.0202447,0.8855232,0.815543,0.9438846,1.1807023,1.1493728,0.6396767,1.27778,0.8849297,0.97637933,1.1415017,0.7626275,1.0233204,1.1682363,1.0247302,0.25420678,1.0896131,1.1614981,0.7394942,0.9975652,1.0890095,0.9495092,1.109059,1.1588674,0.6155016,1.0229424,1.1857885,0.6452353,1.1863457,0.95347023,0.9757267,0.77860266,0.66737586,1.0395699,0.98411876,1.1606214,1.2736516,0.89147604,1.0934293,1.2694967,1.2608354,0.9714813,1.1405878,0.90152824,1.1087347,1.0961895,1.265633,1.1224188,0.9234218,1.3171077,1.0927252,1.2347466,1.1487652,1.2110624,1.0113381,0.7803633,0.9639994,1.0805941,0.87564737,1.0846174,0.52915287,1.1119958,0.9810221,1.2615597,0.9735789,0.98890024,0.7467524,0.89004815,1.1245395,1.288681,0.9665681,1.2046407,1.2319655,1.2401185,0.8187309,1.0869582,1.0038815,0.9218242,0.9552289,1.0700594,1.1975545,1.1574574,0.9604593,0.89053047,1.1584656,0.9778986,1.056457,0.775832,1.191565,0.9261644,1.0088181,0.79976755,0.94778216,0.8933972,0.9063577,0.98839253,0.99050236,1.0037394,0.9795826,0.9582151,0.78860784,0.88827336,0.7928822,0.7969786,1.217966,0.98738503,1.07955,0.90870583,1.0147302,1.0261842,0.87686175,0.8793191,1.2283419,0.78818935,1.0228604,0.9504464,0.4885863,1.2557895,1.2901001,1.2485948,1.0529485,0.94331014,1.0329809,0.67330354,0.99611354,0.6934056,0.9545109,0.7525745,1.2760482,0.78798205,1.0114131
bib,0.60433877,1.3039718,1.4281579,0.5902312,1.27292,1.4163089,1.1982967,1.2971385,0.76719844,0.57656205,1.3673573,1.053126,0.0,0.9990967,0.6231396,0.7986212,1.3824052,1.4010518,1.4124523,0.9793361,1.4236734,1.3776662,1.2407006,1.3884243,1.3498,1.4322232,1.0936388,1.0938257,1.1202016,1.0299697,1.4304426,0.8377685,1.0342889,0.891798,0.8607978,1.0457567,1.1125003,0.6641481,0.8641342,1.5224862,0.69369006,1.4786563,1.0143104,0.907715,0.94240886,0.989541,0.39421296,1.0872196,0.99175113,1.1916628,0.73622847,0.47007596,1.1703954,1.5328023,1.2656887,0.9526465,1.3150417,1.0316559,0.87179977,1.325174,1.1381606,0.75883853,1.3692209,0.56599814,0.9677113,0.81147707,1.2455869,0.60276437,0.90567243,0.52942735,1.1957281,0.5196842,1.438025,1.1972013,1.5681331,0.8225506,1.1431234,0.9505484,0.6842005,1.2225335,1.0913618,1.0547417,1.3824407,1.1075451,1.1315134,0.844063,1.3008261,0.8679042,1.2372282,0.16944993,0.3982336,0.71327037,0.8449939,1.4874768,1.4397244,0.7917892,1.147417,1.2152603,1.116543,1.4500008,1.0797408,1.3427093,1.0312586,1.2146771,0.7962669,0.9826148,0.955904,1.3223827,0.83326066,1.0267408,0.11671817,0.922823,0.5755498,1.2362306,0.73141897,1.2300196,0.6517048,1.4849304,0.87627983,1.1363283,1.1114687,0.8394242,1.323715,0.93780464,1.1189897,1.3467805,0.9604138,0.36186498,0.6758279,0.590564,1.4663837,1.2980577,1.187716,0.77394605,1.2673982,1.3587921,0.95472497,0.8870801,0.99691266,1.1418548,1.2433891,1.3839127,1.0070968,0.58870244
bird,0.5046583,1.1404254,1.0878719,1.1427703,0.8292914,0.9697854,1.0087464,1.01341,0.9971283,1.0662824,1.3141105,1.0202447,0.9990967,0.0,1.0638118,0.90333647,1.2101262,1.0959404,1.1617235,1.1124396,1.0358034,1.0214684,1.0022188,1.0486995,1.1956046,0.9993742,1.1606171,0.8626347,1.1130286,0.8685887,1.1261158,1.1318538,0.92079085,1.0273904,0.97498155,1.1555896,1.2124165,1.1678244,0.93720526,1.2207155,1.0347497,1.2159233,0.810811,0.91360223,1.183391,1.3263056,1.0715082,0.23452485,1.1167579,1.0655738,0.9793435,1.0003841,1.22746,1.0148011,0.8671099,1.2052637,0.9418417,0.3887124,1.0248551,1.2613323,0.9729506,0.92360884,1.1759309,1.0840842,0.88317966,1.0286813,1.0897698,0.9520622,0.9339923,1.0279485,1.0565908,1.0422909,1.282258,0.99908066,1.037426,1.1443837,0.8897275,0.96686786,0.9178361,1.0242776,0.7400491,0.8960713,1.2229031,1.0090559,1.2580659,1.1543088,1.0972117,1.2153212,0.5102744,1.0476156,1.1431869,1.0733916,0.8903419,1.1752272,1.2505171,1.0390038,1.335793,0.9221724,0.7710678,1.149106,0.89187104,0.9387721,0.8450868,0.9727744,1.1784477,0.6209639,0.6158393,1.1299635,1.0421231,0.9980934,1.043267,0.9751229,1.1364174,0.81538594,0.97719157,1.188483,0.9155776,1.1736525,0.80981064,1.0453266,1.0044353,0.9681801,0.95872813,0.63289607,0.80025035,1.0829523,0.9579929,1.0186961,0.95075136,0.99272877,1.0379452,1.2588755,1.3377066,0.95449317,1.1603706,0.9657051,1.0178435,0.9080672,0.8852507,0.8868965,0.99631214,1.233105,1.0395601,0.9904865
blanket,0.5838083,1.213665,1.4391373,0.69840664,1.2422056,1.3141673,1.1794697,1.1028727,0.5884938,0.2861411,1.2493738,0.8855232,0.6231396,1.0638118,0.0,0.6483526,1.0896578,1.4739072,1.2383326,0.81065524,1.5076703,1.3250959,1.2071233,1.2642857,1.1563029,1.2789882,1.1343117,0.8937454,1.0094794,1.0108726,1.3906776,0.7178304,0.9323839,0.9367071,0.9005754,1.0162123,1.201924,0.417575,0.94323045,1.3858926,0.62414193,1.4880719,1.08867,0.97782665,0.8724829,0.8622593,0.5608654,1.1299536,1.0288613,1.1244817,0.6059111,0.767822,1.2041669,1.3506016,1.2267004,0.9373506,1.2691914,1.0108687,1.0080138,1.374892,1.033102,0.6869048,1.3239638,0.86276084,1.089378,0.93694705,1.3697727,0.8214639,0.88440967,0.6293029,1.3547264,0.51485157,1.2463691,1.1268919,1.4907895,0.93296367,1.1150333,1.1061779,0.64847255,1.1632404,1.0626277,1.2060267,1.3359772,0.61648595,1.2871543,1.0636176,1.3924427,0.80084056,1.2334065,0.49775928,0.55924165,0.36951208,0.88371336,1.335783,1.3110954,0.87370545,0.6429464,1.1874509,1.074518,1.2939751,1.1726009,1.3915936,0.8218757,1.2280109,0.7935405,0.79075074,1.0231228,1.1831352,0.9635715,0.8760931,0.570276,0.8394288,0.7166679,1.2083852,0.7141403,0.886688,0.55550885,1.3689721,0.779348,1.2438188,0.9066587,0.93903995,1.2911397,0.9812732,1.1516142,1.3268474,1.048694,0.64398754,0.91267675,0.6600112,1.3746367,1.3537514,1.2239772,0.8884176,0.73637086,1.3061392,0.81081074,0.9139088,1.0201597,1.1234932,1.2046657,1.4367275,0.8388016,0.720836
