,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coat,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1192584,1.3236003,0.9268396,0.7099503,1.280354,1.2812692,1.1581142,1.035608,0.7991246,0.96469057,0.84170985,1.3542113,0.9065578,0.7363412,0.7202177,0.73842573,1.0001677,1.0203756,1.3788025,1.148844,0.9572716,1.0839318,1.1715797,1.135309,1.0641305,1.3192544,1.1198437,0.77008,0.6869987,1.0056549,0.79642564,1.1468294,0.8371639,1.1656868,1.0994277,0.94068897,0.89143515,0.89389884,0.65863657,1.4236605,0.86806667,1.3947475,1.0118313,0.75131845,0.90350956,0.99913496,1.1056134,0.8657292,1.3093921,1.0784595,1.0185039,1.2202425,0.9932794,0.9694446,0.9452748,1.0404537,0.7305883,0.7176903,1.2912612,0.84391636,0.98042834,1.1091058,0.9722012,0.6591352,0.84775245,1.3231206,0.7702167,0.8509356,0.8431986,0.90792674,0.8663121,1.2606006,0.9007958,1.3452486,1.1680955,1.0071222,0.614475,0.9792139,1.0743029,1.0718839,1.4409796,1.1492345,1.2229879,1.2652069,1.297564,0.9071907,0.69219315,0.8713959,0.89071566,0.7050613,1.3589952,1.3566788,1.2194945,0.85598314,1.0558546,0.77668065,0.90233713,1.1912498,0.8344385,1.0219988,0.776034,0.8925863,0.95719194,0.61229545,1.0611904,0.97921455,0.86000943,0.885764,0.84906816,0.9360597,0.8976818,0.8504082,0.88412917,0.9044719,1.2500341,0.82890785,1.326731,0.9589258,0.86577123,1.0277643,0.8773823,1.3771342,1.006452,0.94446963,0.8179575,1.3380153,1.3427598,1.3179847,0.9261087,1.1845102,1.2854846,0.7933881,0.9737788,1.0710313,1.3514752,0.8469191
ankle,1.1192584,0.0,0.7746433,1.0427233,1.0893966,0.8437129,0.67103976,0.6782545,1.1272541,1.3885312,1.1936795,1.3292035,0.67704695,1.2864059,0.9801823,1.0761873,1.2171984,1.0069015,0.9766492,0.77878356,0.8763592,1.2248098,0.7320922,0.9754697,0.83549696,0.8249135,0.7749065,1.0288148,0.8539552,1.1877882,1.1083499,1.0019562,1.054723,1.3579483,0.9565879,1.0083373,0.8822489,1.0240895,1.2582572,0.98012733,0.8018526,1.3280966,0.75675726,0.83966875,1.0922621,0.6987,1.2084186,0.8920574,1.1241236,0.8394182,1.1615032,1.2250365,0.64971435,0.8621161,1.1354058,0.4859116,0.77007186,0.86084914,1.2539718,0.7856287,0.46085763,1.236657,0.783907,1.0756422,1.2262753,0.87924296,0.6443956,1.2593013,1.1500703,1.10996,1.0748792,1.1701807,0.80095315,1.2437034,0.82758,0.8417479,1.1149813,0.9739988,1.0879729,0.96711445,0.7722472,0.77205855,0.6430194,0.6059778,0.73671,0.8669907,1.271531,1.3315187,1.1348703,1.0421654,1.1755896,0.7428122,0.79230136,0.69128186,0.9760996,0.7559391,1.244068,1.1249089,0.9332161,1.0793767,0.6488911,0.82991606,1.3988969,1.1971542,1.207853,1.0210376,1.2484763,1.1101407,1.2183068,0.6873388,0.92210495,0.9158477,1.4223742,1.2370646,1.0219678,0.4629591,1.3137339,0.8320449,0.54731214,1.2404652,0.8237611,1.216103,0.8038944,0.9117384,1.18088,1.4608245,0.6788286,0.49245012,0.7576812,1.0682014,0.6566162,0.7984993,1.304812,1.1609781,0.95799404,0.6153581,1.3684981
apple,1.3236003,0.7746433,0.0,1.0216842,1.3672323,0.65484786,0.51282716,0.17573452,1.2983897,1.5271078,1.1429416,1.5139521,0.45909703,1.4970192,1.4007925,1.0342276,1.4725063,1.1127977,1.0077714,0.4573632,0.70692384,1.4390469,0.46215135,0.8678772,0.92062527,0.6818757,0.75462216,0.7958116,0.96713734,1.2478081,1.4097974,0.9117417,0.89243114,1.379661,0.723466,1.2171497,0.96746355,1.273131,1.4851663,1.1762093,0.29278302,1.5493512,0.46174604,0.9062277,1.1220765,1.0445567,1.2984339,0.9539645,1.4145296,0.30623668,1.2527051,1.1476518,0.6861926,0.48095858,0.9634016,0.95155025,0.87023354,0.69839287,1.3076283,0.5552641,1.0602646,1.2573631,0.7349644,1.1128101,1.0816338,1.2149374,0.4852395,1.3654588,1.3512137,1.330133,0.9851784,1.3124434,0.4506665,1.4146485,0.544171,0.8613807,1.244137,1.3200516,0.9682761,0.98430526,0.70261645,0.28933823,0.8250787,0.7409001,0.54787284,0.3080951,1.3285987,1.24141,1.4543712,1.3275702,1.2868434,0.39429504,0.41875887,0.67004627,0.8626477,0.98336583,1.1279066,1.0719866,0.55022943,1.1770326,0.6970322,1.2104981,1.4287653,1.2448313,1.0242908,0.9083416,1.2353224,1.277153,1.3830366,1.1985781,1.255796,1.0590379,1.4703094,1.3497792,1.3076509,0.45795858,1.2406396,0.4152596,0.9922016,1.2016921,0.75184286,1.4119916,0.40140343,0.67302907,1.2367288,1.5055183,0.38815904,0.506473,0.36726362,1.2883329,0.7953225,0.48176956,1.392746,1.1890943,1.1373754,0.38737762,1.4242693
applesauce,0.9268396,1.0427233,1.0216842,0.0,0.8434327,1.0196371,0.96768117,0.9829979,1.057608,0.7911364,0.93186224,0.9204791,1.1950691,0.9720761,0.7590118,1.1214958,0.84017867,0.8826442,0.98149985,1.2126405,1.1090529,0.96100426,1.0165423,1.2015158,1.085069,1.064613,1.2465677,1.134831,0.86622536,1.101268,1.0708442,1.0268784,1.085643,1.0214226,1.0926853,1.0092727,1.0831063,0.93494886,1.0018209,0.9316325,1.0589998,0.949268,1.1988662,1.0858189,1.149308,0.9471829,1.0503067,1.2434154,0.9314991,1.0576617,0.8959874,1.039215,0.8446015,1.1091895,1.14834,0.9017197,1.2053953,1.075973,0.915637,1.0989447,0.92993337,0.8033867,0.8015568,0.9825543,1.0040865,0.6739856,1.079895,0.9377248,1.0016854,0.93511975,1.0355647,0.9430681,1.1631287,1.0315907,1.242438,1.1198345,1.086124,0.73373425,1.1903443,1.0120543,1.1469803,1.018721,1.1625279,1.0975169,1.0622876,1.0777615,1.0922114,0.9291537,0.9145755,1.0040269,0.8624922,1.1229061,1.0754739,1.1248338,0.92146116,1.2196829,0.9548651,1.1476811,1.1287225,1.0433677,1.0549475,1.0507152,1.0277985,0.79555583,0.9960685,0.97514457,0.91733515,0.9574268,0.9412742,1.0405669,1.0375444,0.9737208,0.91921586,0.96002316,0.7030601,1.1648782,0.90747845,1.1642299,1.0372214,0.94925857,1.1740631,0.8817582,1.0907934,1.1253074,1.0155079,0.8140398,1.0816609,0.9704555,1.1888893,0.74914354,1.1629391,0.9647727,0.94581854,1.0570351,1.2745816,1.0633962,0.9818286
arm,0.7099503,1.0893966,1.3672323,0.8434327,0.0,1.3075103,1.421362,1.3864472,1.1667632,0.7442821,0.9971446,0.5637833,1.2366917,0.63164973,0.5255877,0.84850156,0.6891203,1.1101493,1.1742448,1.4820181,1.3943396,0.9680813,1.1229682,1.2391186,1.3559579,1.1733191,1.4164116,1.2683461,0.718284,0.96359,0.79824656,1.1170157,1.3633881,0.7532822,1.2365297,0.83056104,1.148031,0.8694565,0.61762995,0.5377799,1.3714945,0.85396355,1.4939137,1.2172235,1.1029557,1.0616429,0.9410926,1.188962,0.61171854,1.3099331,1.0801861,0.7307571,0.7372505,1.232174,1.1806698,0.7880282,1.3036047,1.3062022,0.78526115,1.1233268,0.8069268,0.8763658,1.3119841,0.68789226,0.936505,0.450292,1.3681855,0.785063,0.9787917,0.75818586,1.1278175,0.48846608,1.2975483,0.84885406,1.4559307,1.0834354,0.9816587,0.7057481,1.0461721,0.9260977,1.3979545,1.2311928,1.2900136,0.97645026,1.2715675,1.3227384,0.8632075,0.96307147,0.54357755,0.5347406,0.68820405,1.3263075,1.2669041,1.2346315,0.7265437,1.1132375,0.8247669,1.1379877,1.3921071,1.0437229,0.8047193,0.8733283,0.76077926,0.85923856,1.059468,1.1803404,0.752496,1.0126234,0.42612696,1.066856,0.5075976,1.1149517,0.7939576,0.88355905,0.88556546,1.4707053,0.8973737,1.3804085,0.7649621,0.99989647,1.390727,0.7918993,1.3871617,1.2643845,0.6409291,0.67046005,1.5340376,1.004549,1.41729,0.69408417,1.2918829,1.5342971,0.978907,1.0249375,1.2167872,1.2108283,0.83120865
ball,1.280354,0.8437129,0.65484786,1.0196371,1.3075103,0.0,0.3447094,0.8023108,1.0338069,1.2090318,1.0340617,1.2485167,0.83744174,1.2258086,1.3369884,1.2270151,1.2605076,0.90401155,0.88578224,0.6808754,0.7203104,1.106178,0.9725636,0.7632024,0.73994344,0.9827325,0.8144621,0.9218769,1.1339213,1.0671517,1.1799388,1.1231772,0.67486334,1.3011624,0.91740376,1.1626227,0.8464179,0.992994,1.2858552,1.3315725,0.647102,1.1914597,0.68911856,1.053495,0.99094135,0.9688485,1.2383521,0.9558961,1.2900896,0.657337,1.0165807,1.1499994,1.0201936,0.917706,0.9302761,1.0540962,0.89125335,0.883256,1.1360252,0.96437395,1.0698161,1.0302376,0.69498956,1.075931,1.1690946,1.2143753,0.6640608,1.2656536,0.92927396,1.1904737,0.9830563,1.2657901,0.87778455,1.3092048,0.70446604,0.8207629,1.0753866,1.1521587,1.0370132,1.0221906,0.80197144,0.7105987,0.8979147,0.9793222,0.7312489,0.6796699,1.2809311,1.1982145,1.2749577,1.3113186,1.249134,0.74344164,0.7460091,0.7888931,1.1914784,0.95854145,1.1731668,0.9285387,0.8409238,0.97973275,0.93424076,1.0355873,1.3433955,1.0265995,1.1626775,0.9987336,1.0664251,0.9449213,1.2802184,0.993516,1.2315015,1.0316283,1.268662,1.1943957,1.1043516,0.7218443,1.175065,0.73009807,1.0887895,1.1180028,0.8248004,1.0026711,0.6204386,0.97732526,1.1586288,1.1826167,0.5849948,0.8823151,0.78703445,1.0603848,0.8861281,0.57708555,1.1045486,1.010602,1.045534,0.75988233,1.2771826
balloon,1.2812692,0.67103976,0.51282716,0.96768117,1.421362,0.3447094,0.0,0.6347134,1.1382788,1.3351994,1.1532063,1.5031631,0.7323735,1.4539304,1.275984,1.2746779,1.4298594,0.9384456,0.9253453,0.5197399,0.52596855,1.2441336,0.8282902,0.78580296,0.54471284,0.80791056,0.6462849,0.78103113,1.038731,1.185343,1.2911503,1.029922,0.6535704,1.38613,0.72095364,1.1725174,0.7482407,1.1380683,1.4739195,1.29476,0.53457487,1.4160738,0.48055148,0.83584946,1.0580028,0.9543996,1.2106682,0.8804383,1.3392084,0.56423485,1.1546835,1.263169,0.85972625,0.66988343,0.9812044,0.9821222,0.73587716,0.69473654,1.0476273,0.84162575,0.9663556,1.1998802,0.41824836,1.213512,1.2243488,1.1360815,0.54846805,1.3306446,1.1321703,1.2679019,0.97859216,1.4533248,0.7678027,1.3312857,0.5548166,0.76122093,1.1593802,1.0918487,1.0869788,1.0303668,0.56197196,0.6020136,0.7153007,0.7604842,0.6924621,0.5936806,1.2827847,1.2950239,1.3811072,1.4252123,1.230792,0.590477,0.63923365,0.6641856,1.0857803,0.91339445,1.2607589,0.9807908,0.6916176,1.1185994,0.8821209,1.081074,1.3786296,1.2318646,1.1128495,0.8540682,1.1863371,1.1184859,1.4106382,1.0352886,1.3435159,0.92241627,1.4332635,1.0750208,1.1499563,0.57271993,1.2814057,0.7391192,1.0326197,1.1133511,0.6649631,1.1545675,0.53083324,0.9042072,1.3002449,1.400635,0.43680364,0.71935624,0.70510423,1.006235,0.7235486,0.48746872,1.2237407,1.0998619,0.9995955,0.65897036,1.339565
banana,1.1581142,0.6782545,0.17573452,0.9829979,1.3864472,0.8023108,0.6347134,0.0,1.2016966,1.466641,1.1803848,1.5269308,0.6043738,1.4602318,1.3849885,0.9841044,1.4383423,0.9475208,0.9362649,0.51867193,0.72641206,1.339916,0.56898713,0.8576767,0.83887994,0.7579485,0.81040967,0.88692987,0.8396119,1.2400417,1.349448,0.8261961,0.93251944,1.4358301,0.83005744,1.2033882,0.9966492,1.1613109,1.4890236,1.1600416,0.4239812,1.4645045,0.5437277,0.84887624,1.1019051,0.9641534,1.3168572,0.9568571,1.3860855,0.4316132,1.2079867,1.2048547,0.7981643,0.5653608,0.895983,0.8597162,0.7238091,0.55089355,1.2560713,0.72790873,0.9454999,1.2395568,0.6823189,1.1861136,1.0264261,1.1721,0.6006507,1.3359282,1.2932882,1.2956498,0.90660155,1.3342521,0.58137053,1.3618731,0.64806175,0.9723488,1.1557022,1.1941255,0.96162343,1.0415816,0.7558733,0.6074363,0.80435085,0.81449634,0.69909954,0.42819273,1.3292757,1.2832551,1.4425857,1.3229003,1.2347159,0.47108555,0.5143693,0.67012703,0.8450231,1.0373539,1.085983,1.0051004,0.52467215,1.1168873,0.7981837,1.1316111,1.421099,1.2532172,0.9983553,0.8678242,1.2464955,1.1533813,1.4003161,1.0415672,1.304106,0.85057056,1.4775667,1.3082774,1.0766315,0.47608894,1.3116233,0.40819478,0.9578376,1.1441139,0.6681949,1.348216,0.5971489,0.65864176,1.2701125,1.4872999,0.44154918,0.65393144,0.47473317,1.1643275,0.789503,0.4558177,1.3019543,1.1117471,1.0103542,0.56144303,1.4338827
basket,1.035608,1.1272541,1.2983897,1.057608,1.1667632,1.0338069,1.1382788,1.2016966,0.0,0.706135,0.9827081,0.83807963,1.1549525,0.70990866,0.963344,1.1112609,0.7954326,0.747576,0.74470836,1.0027555,0.99880284,0.39890325,1.325916,1.0479724,0.73421246,1.2044438,0.7997682,1.0306361,1.1796653,1.0067357,0.60685754,1.1643158,0.70479214,0.86167085,1.075362,1.0576967,0.9227508,0.66192085,0.76685107,1.1545748,1.1391766,0.29278195,0.9725737,1.04266,1.0214982,0.94737935,0.9018655,0.6146234,0.9190073,1.234865,0.72493255,1.1695008,1.3212174,1.3061674,1.0107833,1.1731558,0.8851354,1.0964924,0.9245951,1.3048084,1.0002733,0.8106328,0.85688126,1.2370999,1.0614111,1.1361566,1.1827995,1.0258781,0.7625085,0.93471336,0.8839621,1.1425644,1.2319212,0.63379776,1.0144188,1.0835253,0.8460631,0.9750298,0.97067666,1.0756806,1.0256543,1.3053734,0.8536322,1.2578801,1.2344178,1.213478,0.8179692,0.9471158,0.9703942,1.1342058,0.9524845,1.1456431,1.1615942,1.2038927,1.2695838,0.90062034,1.0265995,0.9395454,1.0649501,1.0029092,1.2788363,0.71260077,0.8602127,1.0143806,1.1139556,1.0890266,1.032206,0.70488286,1.1188223,0.835438,1.1909386,0.8528539,0.7523111,0.8452027,0.7826807,1.0754833,1.0420284,1.0746349,1.0172999,1.0618184,1.1112002,0.9475638,1.1149323,1.1051598,1.176484,0.8022352,1.1029422,1.325731,1.1585531,0.8869544,0.82235086,0.8422471,0.6254306,0.95519894,0.73343885,1.251358,0.8745341
bathtub,0.7991246,1.3885312,1.5271078,0.7911364,0.7442821,1.2090318,1.3351994,1.466641,0.706135,0.0,0.870247,0.4127121,1.4440976,0.40898883,0.804386,0.98908514,0.53574735,0.55808836,0.95093954,1.464612,1.0811292,0.53392506,1.499476,1.2232248,0.9583169,1.3551685,1.2010444,1.0642428,1.1010858,0.9310185,0.6170793,1.1244875,0.99643016,0.62949854,1.1803966,0.95100576,1.0491464,0.88438743,0.52209646,1.0332208,1.4501042,0.2721938,1.400675,1.142295,1.0852227,1.1730971,0.7035301,1.0281001,0.7861858,1.430112,0.6881308,0.92773765,1.3483858,1.3508208,1.1072427,1.3039818,1.3245745,1.1977329,0.698035,1.4563531,1.2274867,0.4533496,1.137037,1.0236952,0.93327886,0.97093856,1.5004694,0.7150623,0.7228159,0.9523912,0.992148,0.75450647,1.501342,0.7003585,1.3517289,1.1144737,0.9190612,0.8494164,1.1211811,1.1331309,1.2881188,1.4869349,1.2803812,1.3899143,1.4479568,1.4222102,0.6636288,0.7832235,0.6845373,0.8204645,0.68406874,1.5188993,1.4697335,1.455033,1.0846698,1.1445148,0.95471036,1.0419157,1.1912504,0.9834325,1.4239298,1.020876,0.5077795,0.63271046,0.97614497,1.0439153,0.76523495,0.71028256,0.72779536,1.0639611,0.8914955,1.0693201,0.37088698,0.4468224,0.46444273,1.5584179,0.5690978,1.4165782,1.1873835,0.8370842,1.3290492,0.49118447,1.425303,1.4075563,0.85028553,0.23668814,1.3849535,1.535998,1.5407448,0.7318466,1.299274,1.2017193,0.56378996,0.94189435,1.074579,1.5462275,0.6061786
bear,0.96469057,1.1936795,1.1429416,0.93186224,0.9971446,1.0340617,1.1532063,1.1803848,0.9827081,0.870247,0.0,0.93180907,1.0921689,0.89581525,1.0444827,1.0296297,0.92303634,0.840997,1.1178,1.1724962,1.1918708,1.0065663,1.1142018,1.036084,1.2159431,1.1324458,1.1642089,1.0747046,1.1854155,0.94303304,1.0253143,1.0799586,1.0068339,0.964759,0.9578535,1.0076398,0.97220165,1.025414,1.0045047,1.1398259,1.0984498,0.9270366,1.185735,1.0770521,1.0118008,1.1020873,0.92683846,1.1414478,0.9283278,1.1504961,0.6055111,0.9827581,1.1145403,1.0928849,1.003905,1.0925957,1.1543007,1.0917095,1.1234239,1.0501926,1.1823328,0.8570021,1.2175221,1.0523654,0.93789434,1.1139282,1.1497382,0.83402765,0.87725526,1.0431602,1.1000618,0.9510394,1.1121064,1.1376405,1.1414046,1.0935446,1.0600777,1.1247025,1.0625594,1.0521833,0.99604446,1.0832676,1.1963547,1.122699,1.0240518,1.1425489,1.0104233,0.5476941,0.8879687,1.0123469,1.1994011,1.0892185,1.1274989,1.0427442,1.0669231,1.1255436,1.1022047,1.0767996,1.2154142,0.8641945,1.176191,1.1981302,0.9479715,0.4816382,0.89922404,0.9841401,0.99078345,0.88337344,0.93954,1.0635433,1.0404539,1.0908376,0.79867744,1.1259588,0.96429795,1.1373985,0.58987087,1.1465806,1.1088942,0.95026565,1.1414393,0.8735068,1.109121,1.0780789,1.0510039,0.90502316,1.1544394,1.1169143,1.0787451,1.0856802,1.1854539,1.1431521,0.96365416,0.8987763,1.1005633,1.0813282,0.8772059
bed,0.84170985,1.3292035,1.5139521,0.9204791,0.5637833,1.2485167,1.5031631,1.5269308,0.83807963,0.4127121,0.93180907,0.0,1.4092331,0.23527747,0.54116607,0.85601074,0.14765823,0.81023026,1.0156174,1.5602149,1.3924772,0.63692313,1.4835517,1.345249,1.2208465,1.3828204,1.3746092,1.167658,1.1808444,0.85208714,0.44798005,1.1260345,1.2575605,0.58026516,1.2922052,0.7534865,1.1422099,0.8970236,0.12857556,0.8313767,1.5411811,0.4046805,1.5876741,1.3231034,1.004377,0.9644505,0.80698824,1.1450883,0.5662848,1.3894634,0.6680005,0.7259696,1.2857575,1.3779182,1.1323507,1.2506033,1.5025957,1.2991655,0.81817925,1.3388767,1.0560607,0.6479057,1.3742955,0.8462875,0.949718,0.96690655,1.4122648,0.7551061,0.864635,0.63267684,1.0933623,0.3607217,1.5341074,0.6484684,1.5216818,1.2185394,0.91880876,0.8224251,0.968042,1.0800962,1.4997787,1.4345889,1.2720699,1.3771628,1.4280021,1.3791603,0.73513323,0.73768556,0.44808823,0.4687243,0.662324,1.5935279,1.5290282,1.4042951,1.0477817,0.869362,0.8538796,1.0480587,1.4121042,0.99970615,1.1834494,0.817299,0.6139538,0.74624974,1.0286276,1.1729801,0.69550097,0.91737324,0.47189873,1.0259075,0.5267769,1.2593924,0.49132532,0.7881111,0.6316953,1.5687535,0.55627316,1.4649985,1.0437561,0.9652771,1.520239,0.6925222,1.3869991,1.2284166,0.6222739,0.23454326,1.5239362,1.4630084,1.4706964,0.93478596,1.2625341,1.408385,0.7432072,1.0138236,1.0951217,1.5293328,0.6428225
belt,1.3542113,0.67704695,0.45909703,1.1950691,1.2366917,0.83744174,0.7323735,0.6043738,1.1549525,1.4440976,1.0921689,1.4092331,0.0,1.2993064,1.3899837,1.1211734,1.3855121,1.0831163,1.000807,0.5445472,0.8618345,1.3896947,0.65686923,0.7201736,1.0136689,0.72498584,0.51120394,0.5894966,1.002611,1.2637181,1.0761503,1.1412364,0.9403837,1.2376803,0.6280653,1.1689763,0.8466294,1.0641148,1.2733988,1.2409842,0.29715288,1.3947237,0.5718794,0.84070843,1.1911955,1.1461998,1.0543768,0.59142023,1.3218352,0.6444346,1.1295043,1.2287749,0.64829755,0.45274365,1.0609213,0.87206805,0.7364489,0.9392695,1.5272259,0.57006043,0.97675365,1.2616084,1.0138654,1.1005248,1.2261909,1.1834338,0.5378873,1.3107785,1.2848121,1.187848,1.241925,1.1842228,0.24368286,1.3198391,0.3888433,0.71113557,1.2202753,1.3705612,0.92105585,1.0521275,0.8278283,0.44386196,0.5133873,0.54168,0.6496475,0.63775176,1.0755632,1.2850316,1.3657506,1.1039339,1.3049462,0.24446893,0.34348005,0.72808725,1.0087167,0.6066029,1.3419226,1.1999155,0.7591956,1.1941422,0.76730347,0.9464309,1.282747,1.1615746,1.1955793,1.0248514,1.355988,1.228525,1.3373286,1.1479278,1.0136024,1.1529086,1.4414077,1.2761312,1.312577,0.40886223,1.1238898,0.61978954,0.6173415,1.3443238,0.7223736,1.4536653,0.54739493,0.77576923,1.2816668,1.5219837,0.6483305,0.5047388,0.43695045,1.243206,0.4864754,0.7700313,1.4699609,1.1575505,0.8890758,0.31151867,1.2961514
bench,0.9065578,1.2864059,1.4970192,0.9720761,0.63164973,1.2258086,1.4539304,1.4602318,0.70990866,0.40898883,0.89581525,0.23527747,1.2993064,0.0,0.7416156,0.9313243,0.39630842,0.71220905,0.93971723,1.5169,1.3471979,0.6682532,1.4962667,1.2175622,1.2021321,1.3892703,1.291152,1.1166824,1.1498661,0.9601384,0.2400409,1.1700912,1.1954813,0.7315196,1.2057964,0.8522477,1.1407998,0.7759714,0.19591457,0.9563776,1.4071822,0.36953783,1.5083239,1.2609595,1.1066104,1.0957541,0.8052725,1.0006196,0.6912169,1.3881884,0.6136592,0.8594351,1.2550132,1.3779773,1.1033738,1.1905645,1.3154364,1.3043047,0.9289671,1.3582636,1.0837047,0.6000837,1.33308,0.92414135,1.0022663,0.9981568,1.4371376,0.74458355,0.72067565,0.7646133,1.1417087,0.50437355,1.4047728,0.7298702,1.3611847,1.1673027,0.9541713,0.872735,1.0405532,1.0802909,1.4438549,1.439897,1.1393619,1.3123102,1.4336634,1.3763497,0.7864774,0.83766603,0.5800451,0.58532107,0.7135186,1.4102216,1.3605614,1.3735287,1.0415803,0.9072328,0.97101444,1.0791875,1.3466184,0.99183404,1.2728314,0.81268275,0.6932583,0.66606474,1.1413965,1.1707183,0.6424207,0.79105496,0.5754299,1.0098537,0.64605,1.1596758,0.5903907,0.8027811,0.5629391,1.490284,0.6293384,1.4155794,0.9903271,1.0288482,1.4157407,0.66247433,1.3774573,1.3183764,0.80857956,0.34801537,1.4774307,1.4227353,1.4036052,0.7927697,1.1356115,1.3425915,0.8056129,0.9049667,1.0195339,1.4689493,0.6123612
bib,0.7363412,0.9801823,1.4007925,0.7590118,0.5255877,1.3369884,1.275984,1.3849885,0.963344,0.804386,1.0444827,0.54116607,1.3899837,0.7416156,0.0,0.8290747,0.40185225,1.0547904,1.0273665,1.4718896,1.3834327,0.8072928,1.2282145,1.3979845,1.1731921,1.2021459,1.4158757,1.2899275,0.89749813,0.957075,0.84472,1.0768855,1.2463994,0.8478958,1.2525223,0.63516694,1.0866312,0.85257137,0.6241969,0.64410317,1.4997097,0.77986217,1.4720087,1.1571939,1.0525641,0.63704646,1.0019665,1.2423993,0.32664645,1.3525908,0.9282309,0.77698,0.9827812,1.2705133,1.1877654,0.98065865,1.3540077,1.1003737,0.70823455,1.1605755,0.74823093,0.87075317,1.0264925,0.81640613,0.98007005,0.589916,1.2143494,0.7778343,1.0756589,0.5419789,1.0266352,0.53619957,1.5051727,0.7931639,1.5662043,1.2386457,0.95758015,0.63065344,1.1118388,0.9602144,1.3072102,1.2943201,1.2840371,0.97898036,1.2548919,1.3591065,0.9884707,0.8509906,0.27853084,0.53594524,0.71610147,1.5000138,1.4513913,1.2950449,0.8823829,1.0795624,0.82309526,1.1236202,1.4278016,1.0217139,0.89742625,0.8107467,0.8888939,0.94551486,0.94150645,1.1975753,0.8009783,1.0336215,0.39083135,0.92107356,0.52709764,1.1194761,0.847113,0.96133274,0.77494323,1.410475,0.9186298,1.4096591,0.93821007,0.9942227,1.4780447,0.82851624,1.3135942,1.2015231,0.6078622,0.6668258,1.4517219,1.1791598,1.4465232,0.8158159,1.2715898,1.2920183,0.87698543,1.0580715,1.2702266,1.2992394,0.88299865
bird,0.7202177,1.0761873,1.0342276,1.1214958,0.84850156,1.2270151,1.2746779,0.9841044,1.1112609,0.98908514,1.0296297,0.85601074,1.1211734,0.9313243,0.8290747,0.0,0.92407125,1.0444329,1.1505121,1.3435535,1.1152867,1.0490153,0.8004733,1.2406156,1.2146872,1.0650024,1.3413888,1.1198761,0.8362123,0.80816054,1.0168556,0.6795925,1.198685,0.9130634,1.0699232,0.99243087,1.0394385,0.92635655,0.84903497,0.69653094,1.3003194,0.9596167,1.3371795,1.0123463,0.8376173,0.9268541,1.0482762,1.0051969,0.9452128,0.94064254,1.081743,0.7979966,1.0220864,0.81811786,1.0520685,0.986493,1.1556811,0.86402446,0.8928173,1.0115167,0.9921932,1.0433697,1.1663674,0.8693551,0.684029,0.925768,1.1671755,0.8222822,1.1063504,0.92158055,0.9748413,0.7863834,1.1155802,0.90021133,1.3493676,1.114701,1.002444,0.9116334,0.94341284,1.0301839,1.0640767,1.2001477,1.2221322,1.0829097,1.2094308,0.93511486,1.0735389,0.9087437,0.95370924,0.8348111,0.8573768,1.2581608,1.2750304,1.1796246,0.77114856,1.0193685,0.83247423,1.0872374,1.0467927,0.95351624,0.80271584,0.9802067,0.98172605,1.0275136,0.77200484,1.0340409,1.0097499,1.0634165,0.85889053,0.97104084,0.7852521,1.0319611,1.0157661,0.98439234,1.042269,1.1509738,1.0133749,1.2271144,1.0870098,0.8990048,1.1239595,0.92061436,1.2088728,0.9145342,0.7962009,0.9045282,1.204022,1.1230526,1.1050817,1.1829574,1.2732694,1.2400981,0.9600915,1.0149897,1.160758,1.216652,0.9352104
