,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.86605203,1.2531472,1.0420986,0.996259,0.88122416,0.8880887,1.0528638,1.3532114,0.46018863,1.3327715,1.3566589,0.98173404,1.3445497,0.954886,0.66403294,0.79934317,0.8502738,1.1224521,0.9688072,0.69670993,0.98680085,0.7296032,0.6054466,0.76879656,0.8080268,1.036161,1.1221645,0.6627058,1.2141095,1.2376246,1.0935982,1.0293552,0.9320339,1.3355132,0.89088225,0.6751567,1.2680407,0.7667525,1.1053209,1.2441267,1.0912613,1.223756,0.9857754,0.82806057,1.1986408,1.0640953,1.008594,1.028647,0.78395784,1.3241935,0.99429226,0.44295657,0.72730386,1.105633,0.59896284,0.6077441,1.20241,0.72141933,1.066207,0.9523859,1.0754284,1.2284534,1.3024094,1.2622257,0.8164276,0.699407,1.0844204,1.0147396,1.0990069,1.3446676,0.84565675,1.0240122,0.517548,0.9591752,1.3536263,0.85136807,1.2225499,1.3917592,1.079157,1.1151054,1.1145445,0.94494456,0.93372893,0.88264096,0.93984663,0.97253335,1.0970557,0.99002284,1.4354128,1.2861679,1.1010077,0.6669035,0.76020396,0.7315422,0.56565386,1.1446168,0.7006346,0.8694755,0.8010586,1.1357368,1.0614076,1.1261168,0.7135564,0.89860487,0.84632707,1.1549678,0.72106767,0.99490845,1.1719528,0.7670928,1.3503952,0.98770547,1.275969,0.9030533,0.98315024,1.0347102,1.1599607,0.6279396,0.9370821,0.6453309,1.0054187,0.7339147,1.1396521,0.85571665,1.0672206,1.3211277,1.1228752,1.2807891,0.94098735,0.95178527,0.8026982,0.9863367,0.8909676,0.9940705,1.24913,1.0468116,1.0645922,0.6835387,0.76998097,0.9561207
apple,0.86605203,0.0,1.4692318,0.6775563,0.4889738,0.8515,1.1048896,1.3816123,1.4994476,0.4962716,1.5163032,1.4811118,1.0500579,1.4650207,1.3262713,0.786803,0.2015078,0.4837929,1.3144946,0.89052814,1.0125281,0.97619426,0.55052686,0.43162394,0.79806185,0.46971387,1.3380561,1.3369498,0.5284605,1.274018,1.2573798,1.374943,0.94801843,0.9108218,1.423471,0.7653024,0.22857368,1.4805696,0.32424694,1.3415372,1.2586081,1.2690983,1.1717324,1.1483011,1.1870979,1.2952344,1.0407479,0.5657099,1.1676698,0.5900895,1.2086785,0.7349089,0.73698723,0.5364327,1.1602144,0.96039885,0.81804514,1.3341564,0.25297987,1.1531631,1.1039335,0.640066,1.2191185,1.2038686,1.2558283,0.2896018,0.9596068,1.3158607,1.187014,1.1773401,1.3803012,1.2525747,1.3732822,0.38622665,1.2251064,1.3109515,0.7823031,1.2212741,1.3322119,1.1666958,0.9596736,1.189144,0.16801703,1.1051139,0.7493429,0.798326,0.3372959,1.3339591,1.0985055,1.3981559,1.3108313,1.2901983,0.48904407,0.73957556,0.31880236,0.6507828,1.2018955,0.6769203,0.7080652,0.9390107,0.8733218,0.8538776,1.3062464,0.7873222,0.46507663,1.0698895,1.3444732,0.85698026,0.8361287,1.2504288,0.97403294,1.3571198,1.1413819,1.3267264,1.2014005,1.2509261,1.273972,1.3392628,0.41268146,1.2303272,0.34918982,1.077476,0.8456651,1.1018541,0.19708335,1.2457268,1.3281205,1.1934578,1.4322672,0.7744218,0.5094334,0.48299676,1.2542019,1.0242522,0.76019835,1.3008164,1.1650493,1.1028608,0.88182056,0.38191742,1.2581286
arm,1.2531472,1.4692318,0.0,1.348491,1.4388382,1.246837,1.2191074,0.7630433,0.54809463,1.3387345,0.53223336,0.48844767,0.94879144,0.60384005,0.8248192,1.2662642,1.5104606,1.493546,0.9770955,0.9357674,1.1406646,1.2867181,1.4090556,1.524925,1.2915224,1.3499873,0.7324057,0.89370865,1.4080491,0.7700715,0.9218172,0.84718305,1.0683709,1.2584698,0.56911534,1.1869552,1.4995848,0.8010185,1.4879324,0.6653353,0.96008533,0.82256925,0.8862649,1.0175626,1.0691508,0.7080032,0.9463086,1.217772,0.8959148,1.3085891,0.72934866,0.93307215,1.3618346,1.4299586,0.6910831,1.2674248,1.3193308,0.7418776,1.3843373,0.7358661,1.0069877,1.3273114,0.72043496,0.7327422,0.50398636,1.4604423,1.3264539,0.8263064,0.9238396,1.040738,0.43828285,0.86451495,0.86780864,1.4080772,0.9272913,0.7371229,1.2057916,0.89050937,0.65804315,1.0587852,1.007114,0.7442068,1.3547511,1.0883472,1.091951,1.1324277,1.1698842,0.8118368,1.0493503,0.48758167,0.60612583,0.7920618,1.2763741,1.1389272,1.4491208,1.2961886,0.63287884,1.3679559,1.3503611,1.255914,0.993891,0.91222024,0.96188474,1.3392148,1.2384505,1.0954865,0.53972733,1.3810537,1.1915784,0.6827041,1.1513091,0.46677023,0.96457255,0.5615497,0.897544,0.9942246,0.96002406,0.6774593,1.4225755,0.8575473,1.4578272,0.8914884,1.2942479,0.9719774,1.4912481,1.0260485,0.4631949,0.6633154,0.722442,1.2949305,1.1296445,1.279647,0.93926275,1.0787628,1.4068186,0.96670794,0.9512015,1.0473169,1.2295904,1.2194239,0.82882535
ball,1.0420986,0.6775563,1.348491,0.0,0.23311913,0.8366673,0.9394481,1.2209864,1.2162288,1.0093524,1.3227222,1.2165161,1.0914887,1.1225336,1.2145579,0.9296364,0.7167141,0.6372733,0.9659859,1.0316892,1.0244411,0.77402455,0.8844832,0.8775562,1.0017501,0.98810774,1.2392845,1.1179358,0.6606917,1.1425077,0.9024764,1.0900669,0.92276484,0.7282493,1.2240822,1.0279101,0.80208623,1.1517859,0.7434628,1.1657789,1.0069658,1.0074903,0.97515714,1.1360934,1.0659343,1.2949035,1.1981474,0.46669745,1.0998747,0.8262255,1.1843387,1.0996056,1.0009214,0.67682844,1.0927548,0.98583406,0.8076673,1.2166991,0.9833268,1.1065828,1.09953,0.55047923,1.216699,1.0764388,1.2240795,0.6225229,0.7976801,1.0099071,1.1240823,0.84286225,1.3160906,1.2203974,1.2601905,0.90553963,1.0722779,1.1498399,0.70234346,0.9842729,1.0472845,1.1172209,1.1105685,1.3655615,0.8002902,0.8478653,1.0510406,0.9567158,0.78600293,1.2681303,0.8937901,1.2600121,1.3527567,1.0595659,0.9345553,0.96140784,0.9219925,0.7824276,1.232944,0.7988044,0.8242427,0.8330611,0.7298018,0.9413444,0.9417823,0.809163,1.0305449,1.129536,1.2015896,0.71927124,0.8317533,1.0817561,0.9135995,1.3061848,0.8898248,1.3518982,1.0956211,1.1345992,1.1258758,1.0902374,0.8355748,1.1168666,0.73537433,0.86283994,0.8128062,1.0013052,0.6621552,1.0238076,1.2844658,1.1535851,1.0686172,0.60978115,1.0573816,1.0589597,1.0763576,0.9579426,0.47777402,0.9427904,1.0232943,1.2365284,0.87021977,0.9932728,1.2684585
balloon,0.996259,0.4889738,1.4388382,0.23311913,0.0,0.72950315,1.0539035,1.2567658,1.4009717,0.8270466,1.4355239,1.3480977,1.0913311,1.3000195,1.2830347,0.9518611,0.6252445,0.51415485,1.1022407,0.91688865,1.0334244,0.84103924,0.8151654,0.6812763,0.9153836,0.64791167,1.3513296,1.2071195,0.6739313,1.253759,1.0131586,1.1867235,0.8951965,0.75993997,1.3916523,0.933589,0.5872974,1.2776613,0.6594639,1.343123,0.9946966,1.2207208,1.0173078,1.1679574,1.0950887,1.2554965,1.0837255,0.35787702,1.1773748,0.7205076,1.2318811,0.89222765,0.7901989,0.7056157,1.1381497,0.94615114,0.7993175,1.2872349,0.78721887,1.0727271,1.0391124,0.4547633,1.2262986,1.1067064,1.2005501,0.44843543,0.82339907,1.1795046,1.1727617,1.0311123,1.3473604,1.1546175,1.3016307,0.748824,1.209979,1.1740116,0.6521644,1.0996176,1.078969,1.0978386,1.0502831,1.2221104,0.61129594,0.9707179,0.870498,0.8300093,0.5588335,1.313003,1.0556127,1.2530348,1.305434,1.1729873,0.8006179,0.84219533,0.65180117,0.8164974,1.1605453,0.880322,0.6876573,0.9245945,0.70869946,0.8616481,1.143701,0.86255,0.8151115,1.1116284,1.2814806,0.781972,0.65608954,1.2164276,0.8315012,1.3162155,1.085875,1.3274832,1.1478093,1.1963149,1.0842338,1.1236548,0.7499883,1.227738,0.57677406,0.9487355,0.65326,1.0214077,0.41102314,1.0916243,1.3772476,1.2221333,1.2088044,0.77065885,0.85155475,0.8629863,1.029258,0.9952705,0.5180185,1.0399531,1.1309446,1.1418363,0.972098,0.80946517,1.226975
banana,0.88122416,0.8515,1.246837,0.8366673,0.72950315,0.0,1.201262,1.1439645,1.3008425,1.0088198,1.2672904,1.1630931,1.1195054,1.2403173,1.0961506,0.9807327,0.92006105,0.70652795,1.0360004,0.5496023,1.0460874,0.8813421,0.9384422,0.9984938,1.0498292,0.6591431,1.2246604,1.2959123,1.004762,1.2151841,1.0826956,1.004535,0.6051663,0.61213344,1.274857,0.8086162,0.84718597,1.1762105,0.8790319,1.1403632,0.6357564,1.1727633,1.0525023,1.2294111,1.0044171,1.2729588,1.0833802,0.69349647,1.1937226,0.9478301,1.0459031,0.95539445,0.6700788,0.8845351,1.1074615,1.0285691,0.5719332,1.0216625,1.043606,1.0429682,1.0368046,0.6457732,1.172733,0.82963276,1.0905445,0.93793845,0.8629936,1.0333034,1.1414912,0.9137727,1.1654605,0.95334625,1.258293,1.0173523,1.1386769,1.135853,0.4404841,0.9888154,1.0979685,1.147619,0.94666183,1.0374466,0.94854075,0.9455537,1.0593338,0.9759831,0.6753545,1.2297851,1.2879806,1.2346854,1.1654098,1.0785689,0.9819452,0.9143137,0.6862566,1.0781727,1.1567671,1.0510261,0.60969007,1.0106125,0.7860944,1.0176117,1.1173269,0.96464807,0.90149117,1.1938956,1.0651945,0.9660073,0.788317,1.092156,0.604137,1.2409166,1.0669336,1.2262104,0.9171177,1.2062783,0.7852371,1.0448372,0.95680916,1.1410692,0.7290852,1.0342314,0.5820297,0.948772,0.8393688,1.2511641,1.2391483,1.2553177,1.0856233,0.8518727,0.9831241,0.93023133,0.9532491,1.0363061,0.7483338,0.9176242,1.2035654,1.1056299,1.1349121,1.0621556,1.277093
basket,0.8880887,1.1048896,1.2191074,0.9394481,1.0539035,1.201262,0.0,1.1122507,0.8740601,0.96381503,0.9271611,1.0875653,0.96226406,0.8212458,0.88164055,0.6588,1.0134212,0.88359845,0.6483872,1.2403296,0.86331713,0.8084831,0.9629206,0.79755175,0.7740574,1.1810373,1.0474966,0.63849354,0.9184821,0.97965,0.8839179,0.7065206,1.2215132,0.8373712,0.9799138,1.1769724,1.0300529,0.6866759,0.9607481,1.1005361,1.1132808,1.0101868,1.0013964,0.914425,0.7177982,0.9344822,1.2383612,1.2240673,1.042282,1.1496998,1.2711091,1.2848265,1.0702196,0.9399195,0.9728831,0.6387181,1.0877433,1.0582528,1.1355752,0.88089865,1.046946,1.0066309,1.1936805,1.096347,1.264714,0.968853,0.96632856,0.8737441,0.98710376,0.86993283,1.2382524,0.9959075,0.6856637,0.9699124,0.95915926,0.8239411,0.9518047,1.0654763,0.83971274,0.7977208,1.2035677,1.2196409,1.2110162,0.83574575,1.1585392,1.2632171,1.3200859,0.8735163,0.83931446,1.0404185,1.1887238,0.94461787,1.0322754,1.0182221,1.1087599,0.66013026,0.9673275,0.8738345,1.0028149,0.9370792,1.1104987,1.037101,0.54438114,0.7785009,1.2178721,0.85169,1.1957315,0.86715996,1.10571,0.891878,1.0501299,1.1673745,0.8460928,1.1438922,0.95279074,0.80187756,1.0362355,1.124554,0.95882314,1.0287067,1.056811,0.7701592,1.017434,0.90766776,1.1179574,0.7730259,1.233372,1.109371,0.9827135,0.8462732,1.2813778,1.187805,0.9437794,0.6536906,0.9488421,0.7735558,0.97962403,0.8667048,0.8306309,1.1448994,0.95150656
bathtub,1.0528638,1.3816123,0.7630433,1.2209864,1.2567658,1.1439645,1.1122507,0.0,0.5512869,1.2545276,0.52931905,0.75064623,0.9156242,0.7348769,0.5899603,1.1759841,1.3767772,1.1817522,0.768023,1.1542352,0.95278794,1.1094164,1.3281904,1.2853332,1.0421128,1.331144,0.8324826,0.76527727,1.1932662,0.56945956,0.6916938,0.9023569,1.1879005,1.2352695,0.64122283,1.244259,1.3774052,0.695971,1.251728,0.86136246,0.7843513,0.9646704,1.1138327,0.63371354,0.8268448,0.9507635,1.0802243,1.262899,0.79384255,1.209199,0.8408425,1.2659322,1.1028944,1.28023,1.1060302,1.0532765,1.1896176,0.7277786,1.2232363,1.3309622,0.78777254,1.326593,0.90667135,0.9491115,1.0520837,1.3788319,1.1783723,0.84111416,0.7459154,1.0351323,0.7317941,0.85184705,0.7768201,1.0669533,1.0619495,0.91442966,1.225944,0.8999227,1.0793263,0.92612183,1.1422952,0.8769127,1.3113571,1.0257001,1.2175997,1.1403259,1.3205677,0.5671479,0.9333052,0.879324,0.8163322,0.86384934,1.3268807,1.2961382,1.3478606,1.2780725,1.0740074,1.1913478,0.97648865,1.2201842,1.2594392,1.2873892,0.99194205,1.1888361,1.2823877,0.8107209,0.7274459,1.280809,1.0595748,0.9741904,1.0963032,0.8191784,1.1101284,0.87660575,0.9245286,0.72616816,0.52479476,0.56911105,1.3896852,0.5401098,1.2910552,1.2830781,1.2388926,0.9539788,1.3339801,1.0689607,0.72983634,0.8821446,0.70910215,1.1504806,1.3441144,1.2753811,0.9617405,1.1050701,1.2721006,0.76597416,0.797258,0.9795004,1.0483476,1.3310652,0.54646343
bed,1.3532114,1.4994476,0.54809463,1.2162288,1.4009717,1.3008425,0.8740601,0.5512869,0.0,1.4734173,0.21595979,0.41542488,0.8087797,0.15515661,0.7044494,1.2038031,1.5245867,1.4044743,0.6603607,1.3528523,1.1274168,1.197227,1.3828651,1.4721634,1.1249064,1.5151494,0.6169198,0.45080745,1.3733861,0.51138175,0.63492805,0.88494295,1.3215704,1.2349106,0.17600739,1.3437386,1.5780096,0.29949963,1.4929922,0.5888631,0.91394746,0.685696,0.7373532,0.87791413,0.95173675,0.80785996,1.1802845,1.3863919,0.7428029,1.4157447,0.77411556,1.41729,1.383281,1.3711722,0.9752564,1.2562361,1.2790186,0.7023393,1.456257,1.0834382,0.9512536,1.4755926,0.8573142,0.78241116,1.0475298,1.4862884,1.1932071,0.83189315,0.777763,1.0731872,0.4862404,1.0340751,0.7174665,1.4154832,0.8997523,0.64503527,1.3451982,0.8198672,0.7150165,0.7279741,1.1887277,0.9191176,1.4849842,1.0441333,1.476148,1.3124962,1.4513931,0.66402584,0.82592213,0.48904383,0.69615126,0.7461674,1.557302,1.4641768,1.5126264,1.198524,1.0337359,1.2881289,1.1704376,1.152627,1.1367788,1.1704309,0.77013636,1.2343535,1.3546176,1.0325183,0.57306397,1.2775708,1.2110195,0.64856446,1.2744644,0.65918034,1.0406038,0.71881485,1.0266469,0.8201997,0.8884561,0.5773026,1.5667359,0.652319,1.5040939,1.0871302,1.5111194,0.91861415,1.5483618,0.8014389,0.55931675,0.8696726,0.4386294,1.254457,1.4890826,1.4754012,1.0894934,0.94935215,1.1604439,0.696777,0.61050344,0.89787734,1.1841354,1.5170805,0.7351025
belt,0.46018863,0.4962716,1.3387345,1.0093524,0.8270466,1.0088198,0.96381503,1.2545276,1.4734173,0.0,1.3697703,1.535985,1.1083792,1.4573872,1.1567055,0.6755938,0.44615936,0.6461848,1.2899914,0.9359808,0.8437582,1.0094756,0.62744814,0.2698015,0.71492904,0.56914806,1.2113988,1.1672324,0.65918446,1.2337376,1.3413013,1.2535261,0.99853975,0.9795475,1.3732085,0.8245869,0.3542863,1.4599979,0.47844166,1.3569455,1.3251549,1.3458995,1.3105649,1.0519061,0.9360603,1.1559252,0.94612557,0.85348123,1.1250639,0.57084656,1.3070654,0.69250363,0.55372006,0.7968533,1.0567381,0.6695516,0.9383842,1.3703477,0.32271647,0.87321544,1.0819666,0.88846695,1.1628393,1.3181165,1.1645269,0.48421353,0.9763081,1.2938246,1.0907333,1.1665289,1.2474278,0.8774613,1.1582947,0.3827505,1.224817,1.3555942,0.90379417,1.3331208,1.4071208,1.0787821,0.9242474,1.0292886,0.5278504,1.0579098,0.61264235,0.6842765,0.6901089,1.0660446,1.1834024,1.4007527,1.0713221,1.2987812,0.3932612,0.61487556,0.41280508,0.46429396,1.054627,0.74776316,0.8362265,1.0420835,1.1025125,0.95052814,1.2754104,0.63108146,0.4852463,0.89087343,1.2654853,0.906262,1.002468,1.2874444,0.9838352,1.3067235,1.0127672,1.0749807,0.9683361,1.1711488,1.1721696,1.3212562,0.2973286,1.2012184,0.48357815,0.84497505,0.7224097,1.2439687,0.5547222,0.99943644,1.2472003,1.1810156,1.5213292,0.90906733,0.5640261,0.519151,1.1327553,0.91180754,1.079137,1.4102626,1.1930398,1.1340744,0.7883946,0.2678995,1.0544564
bench,1.3327715,1.5163032,0.53223336,1.3227222,1.4355239,1.2672904,0.9271611,0.52931905,0.21595979,1.3697703,0.0,0.57435066,0.87741214,0.3661523,0.6202434,1.2613969,1.5630175,1.4323657,0.7798267,1.1930863,1.0844752,1.2540663,1.3602991,1.3997205,1.0984712,1.4224184,0.54958314,0.37446147,1.4513824,0.5251629,0.6103677,0.8428631,1.2699258,1.2364901,0.12696493,1.2923917,1.5986269,0.5632906,1.513703,0.6070542,0.7933826,0.71844286,0.9561828,0.81106126,0.8425745,0.6900264,1.1127435,1.406797,0.80706084,1.4352677,0.78571427,1.3363676,1.3377781,1.4884096,0.9767054,1.2886425,1.3737911,0.6720706,1.450856,0.9152422,0.9384667,1.4598755,0.82756525,0.80133927,0.9986519,1.5168917,1.3036125,0.783601,0.892161,1.0639901,0.4010011,0.85519665,0.65098315,1.423089,0.8728871,0.75640893,1.2986709,0.8700984,0.8026601,0.7806721,1.163113,0.656176,1.4893959,1.061637,1.41659,1.2402536,1.4203484,0.53255624,0.93827045,0.5966933,0.5016882,0.8834298,1.5364043,1.4611318,1.4785628,1.1832749,0.8477243,1.341214,1.2690518,1.2333102,1.1248627,1.1516447,0.8699868,1.2572851,1.2600472,0.96868145,0.6193383,1.3965206,1.2085698,0.6583979,1.2449453,0.6140253,1.0900168,0.5517734,0.9027941,0.8307057,0.8359455,0.5386139,1.529154,0.67474425,1.5443256,1.0595683,1.370717,0.8794973,1.5389901,0.7950399,0.567248,0.8988223,0.626153,1.3242571,1.439973,1.4420382,1.0252173,0.99913615,1.3714933,0.75051165,0.859638,0.835986,1.2157438,1.4771136,0.71348536
bib,1.3566589,1.4811118,0.48844767,1.2165161,1.3480977,1.1630931,1.0875653,0.75064623,0.41542488,1.535985,0.57435066,0.0,0.83244866,0.3125221,0.80157226,1.2930183,1.5434515,1.4597483,0.88300616,1.135154,1.2769601,1.134437,1.4276993,1.581877,1.3192759,1.3683193,0.74928975,0.8601547,1.3956342,0.8075123,0.8120866,0.84285516,1.1439551,1.1333605,0.6009252,1.2144154,1.5368118,0.6408189,1.5465965,0.69774026,0.93966836,0.79907393,0.7359912,1.088148,1.2038121,0.71196496,1.005741,1.3499974,0.8081299,1.377275,0.72360325,1.2229933,1.3083537,1.3585619,0.84150195,1.3336229,1.118885,0.76664686,1.4362301,0.95353526,0.8879741,1.2692446,0.80771196,0.71411616,0.8166685,1.4437792,1.1657835,0.76895887,0.6051533,1.1187861,0.473153,1.0048845,0.9624673,1.5369703,0.85279834,0.6164978,1.2714772,0.8816413,0.4896087,0.9694387,1.026689,0.8084506,1.4152867,1.0168495,1.1770065,1.2862357,1.3282499,0.9706916,0.85045576,0.24406946,0.6446063,0.7586461,1.4732518,1.3420907,1.4546266,1.3204285,0.90133417,1.3751497,1.1844919,1.1615195,1.1066015,1.065305,0.7355386,1.3614783,1.3704371,1.2427399,0.40002388,1.2399588,1.1455001,0.46231437,1.0482748,0.42289537,0.9337994,0.65996504,1.056578,1.061115,0.96373135,0.5752417,1.5392394,0.7293528,1.4871709,0.98289794,1.3758085,0.9003885,1.4651283,1.0071733,0.41956437,0.78553236,0.58573246,1.310435,1.3353279,1.3202524,0.9405142,0.9154608,1.1634872,0.75068235,0.78430676,0.9294677,1.3602281,1.4305091,0.923651
bird,0.98173404,1.0500579,0.94879144,1.0914887,1.0913311,1.1195054,0.96226406,0.9156242,0.8087797,1.1083792,0.87741214,0.83244866,0.0,0.7440526,0.94348276,1.073675,1.061358,1.1240165,0.9963806,1.2458904,1.0500686,1.1228118,1.019198,1.1671853,0.9642282,1.1809634,0.64388525,1.0492549,1.056235,0.9757466,1.0250993,1.0044516,1.109025,1.1468283,0.87683076,1.0438142,1.0856279,0.9101982,1.0836339,0.7898507,0.93341136,0.8066576,1.034842,1.1514369,1.1037529,1.040878,0.98562205,1.1533304,0.85907656,1.030175,0.9583628,1.1866119,0.7706006,0.96784776,1.0964006,1.0191598,0.7893194,0.8130553,1.0188755,1.0989838,0.74409103,1.082093,0.9299471,1.0474244,1.0991147,1.0726955,1.0377235,0.94007766,0.8529456,1.1288981,0.89419466,1.0278295,1.0908568,1.0453544,0.82433957,0.86949176,1.2432669,0.9762264,0.97390974,0.83081794,1.1523533,1.0071648,1.0894653,0.96119714,1.2955022,1.1595098,1.1285646,1.0778048,0.57419217,0.88352394,1.0614337,0.9548527,1.1405147,1.1879007,1.1518992,1.0715021,1.0595355,1.0410073,0.9796446,1.0115516,1.1937704,1.2518113,1.000264,1.1474617,1.1050227,1.1613722,0.9125787,0.97492737,1.1432496,0.828653,1.1876866,0.9758251,1.0412254,1.087234,1.0116956,1.0174112,1.0200338,0.7990154,1.1590806,0.71400875,1.1098484,1.1291835,1.2233372,0.8558519,1.1265252,1.1131331,0.9877606,1.0297496,0.8543224,1.154244,1.2103324,1.1231985,1.0307323,0.9887219,1.0743095,0.9786105,0.6977356,0.89572895,1.0695877,1.1185051,0.9623493
blanket,1.3445497,1.4650207,0.60384005,1.1225336,1.3000195,1.2403173,0.8212458,0.7348769,0.15515661,1.4573872,0.3661523,0.3125221,0.7440526,0.0,0.767703,1.1932685,1.5189428,1.3681949,0.7605481,1.2886691,1.1910938,1.1739479,1.3946117,1.4762723,1.1991975,1.4432503,0.6669992,0.59103596,1.3817964,0.71281135,0.7237141,0.8402611,1.2536851,1.1236708,0.34295207,1.2542527,1.5402429,0.4579575,1.5279081,0.64128715,0.9209707,0.74575347,0.71100414,1.0399531,1.014847,0.8357599,1.111704,1.3228505,0.79454094,1.3749444,0.86131865,1.3363011,1.2959642,1.3514074,0.9402821,1.2514064,1.1727192,0.7585606,1.4775167,0.9553358,0.91061044,1.2819308,0.92707396,0.8004716,0.9818343,1.3969405,1.1544974,0.79056025,0.77442783,1.0833353,0.5158141,1.0672936,0.89224505,1.5016205,0.8403983,0.5556984,1.2799547,0.8390016,0.5123704,0.86225176,1.1685606,0.92442054,1.4743743,0.8706386,1.3741903,1.3172467,1.3924404,0.8800309,0.8039814,0.34577465,0.72306335,0.74747485,1.5091708,1.4000746,1.4657495,1.0787818,0.9482288,1.326204,1.1376601,1.1388026,1.0687234,1.1012722,0.72788095,1.2971863,1.364069,1.2007877,0.5333785,1.2202773,1.2001752,0.5169531,1.193431,0.689656,0.9722164,0.7462792,1.0412055,0.97959316,0.95794433,0.6303767,1.526065,0.7068156,1.4965613,0.92840934,1.4304543,0.8712391,1.52589,0.88846433,0.6244489,0.8928135,0.5304083,1.272142,1.452453,1.4323418,1.0133322,0.6813068,1.1056461,0.6935048,0.6544522,0.9378701,1.3107393,1.4985138,0.89407605
