,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,helicopter,horse,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2257363,1.3863547,0.64370155,1.3542112,1.2911184,1.1089251,1.1103735,0.747856,0.76213163,1.3765649,0.7595715,0.7281863,0.81102955,0.94556755,1.1115185,0.9175037,1.3353977,1.4069752,1.0231178,1.2258985,0.8987633,1.1544402,1.2872783,0.8080801,1.325561,0.737505,1.0155522,1.1404316,0.86608887,0.8655009,0.8305062,0.8548983,1.1529983,0.8548122,0.9164527,1.3758813,0.6899121,1.481229,0.6407232,0.4892257,0.7598252,0.8249351,0.97292227,0.8204473,1.314703,1.3339462,0.85493803,0.90541625,1.1696297,1.0536723,1.0969937,0.9992608,1.0452017,1.2801921,0.7603146,1.0099976,1.2691638,0.8915564,1.0076478,0.7860066,1.0716518,0.8941364,1.3616326,0.8780902,0.6104225,0.77693266,1.2330964,0.7257535,1.2939146,1.0737741,1.1162072,1.0266488,1.133753,0.78310835,0.792928,1.0829177,0.85163033,1.3991959,1.3096628,1.4194074,1.1069499,1.2169633,0.8359822,0.76226723,0.78298056,0.6807432,1.2669144,1.3411939,1.1593311,1.1102455,0.55143714,1.0065429,1.2958627,0.79008484,1.2138548,0.8450402,1.2266222,0.95815873,0.79262245,0.643829,0.82623434,0.822256,0.7327464,1.0627971,1.0337101,0.9961474,0.88025665,1.138834,1.0382094,1.4010069,0.7876193,1.299341,1.1502875,1.275628,1.3061147,1.1935577,1.2092192,0.8559341,0.67740595,1.0551846,0.7402937,1.3135389,1.287621,0.9595472,0.8595942,1.2134783,1.168791,1.012655,0.8057451,0.8249169,1.1251645,1.3685395,0.7438209
ankle,1.2257363,0.0,0.7169566,1.0906277,0.84339744,0.8277513,0.97116774,1.1602043,1.375788,1.3608235,0.6870825,1.3324333,1.1254278,1.0939711,1.2726418,0.88688564,1.2276984,0.9269947,1.0409454,1.2789584,0.8250692,1.0725003,1.2259792,1.0313748,1.296478,0.77729017,1.232715,1.2977887,1.0943245,1.2853029,0.919136,1.1488988,1.0426127,0.7819544,1.340765,1.0017787,0.6802842,1.4416525,0.90818626,1.1335015,1.3539727,1.2369363,1.2258583,1.1938543,1.2427993,0.4827292,0.8606944,1.0982289,1.109453,0.38361537,0.7775974,0.8384841,1.0876023,0.45127994,0.86331415,1.0515121,0.8939576,0.5180452,0.84715426,0.9297534,1.0436558,0.9350893,0.7332803,0.71754634,1.0198861,1.1541064,1.2467722,0.9541852,1.1396358,0.88801557,1.1470218,1.0510641,1.0536059,1.1763886,1.126357,1.1907635,0.603618,1.025469,0.7080999,0.8308786,0.33158898,0.63227206,0.9373913,1.2877824,1.2289643,1.052135,1.3093305,0.88500345,0.76121116,0.6786519,1.0951152,1.2064786,1.0656893,1.011741,1.0898864,0.7534282,1.2141509,1.0563757,0.7477245,1.2851993,1.1471411,1.2218279,1.0932349,1.1613846,0.76169485,0.7519685,1.0073768,1.151539,1.2584736,0.9834456,0.48177886,1.3104014,0.79435575,0.6137198,0.90279645,0.8251697,0.89393777,0.7885576,1.2476535,1.2107136,1.0740387,1.4517312,1.0007252,0.36315507,0.8120774,0.81005436,0.9991032,1.0929222,1.3566706,1.2961785,1.0521394,0.93773174,0.635038,1.3017488
apple,1.3863547,0.7169566,0.0,1.3541559,0.17054379,0.29257143,0.76250863,1.1281018,1.485028,1.5139866,0.65148014,1.5531363,1.3519661,1.0336808,1.329518,0.77680683,1.0647292,0.46546417,0.5542339,1.3078305,0.49635053,1.4340472,1.1641722,1.0938878,1.3375919,0.52826595,1.2528837,1.4616694,0.80295724,1.4104309,1.0574082,1.3285116,1.2359029,0.57513857,1.5439168,0.9801953,0.4386832,1.6190491,0.39950466,1.1518406,1.3290572,1.193629,1.4196801,1.293596,1.2948134,0.6444201,0.28230816,1.3542192,1.0039947,0.7001808,0.90338343,0.5246322,0.8539809,0.94032675,0.7525399,0.818252,1.0592391,0.61498475,1.1235998,0.6236,1.2290486,0.71133333,1.0911311,0.39813828,1.1848032,1.1091588,1.4241407,1.0393411,1.481811,0.806442,1.237461,0.9111234,1.0478595,0.93375224,1.2711229,1.1329944,0.834134,0.9362706,0.31218714,0.936597,0.5567095,0.7860284,0.46082294,1.4990819,1.3687696,1.4550822,1.3382924,0.5645463,0.5143177,0.7074745,0.975076,1.1991751,0.8762382,0.71140444,1.000517,0.6534291,1.4099828,0.9946285,0.72601914,1.5305552,1.1724795,1.4190657,1.2552942,1.4105235,1.1892436,1.1954106,1.195667,1.224895,1.060124,0.9846486,0.3631488,1.2455016,0.33171582,0.93006164,0.57589346,0.72251177,0.68726313,0.4629373,1.3865855,1.4307499,1.1584966,1.5128776,0.4387169,0.52534974,1.0362394,1.157404,1.0541549,0.61796486,1.271155,1.1596138,1.2172928,1.2442329,0.48401207,1.3988636
arm,0.64370155,1.0906277,1.3541559,0.0,1.3407571,1.4975464,1.0273407,1.2235374,0.5674783,0.5852387,1.4579169,0.5789552,0.31873238,1.1376052,0.8948354,1.3038777,1.1614223,1.4818361,1.53582,1.0650275,1.458992,0.79230726,1.1124809,1.354616,0.8453599,1.3333595,0.9108034,0.9197244,1.2901006,0.75805616,0.66606826,0.6333129,0.79024464,1.4381784,0.6516588,1.2321529,1.5180238,0.5420326,1.5622269,1.0295601,0.8018501,0.7766939,0.6822613,0.8798433,0.66446877,1.1743546,1.302638,0.76346576,0.8441059,0.8018016,0.90570366,1.3437955,1.3488282,0.69696784,1.5196006,1.268246,0.709934,1.1934426,0.574615,1.1254239,0.59926224,1.2658236,0.39538282,1.4496963,0.826105,1.0984702,0.48970175,1.2659241,0.42965245,1.4457412,1.0873231,1.2876682,0.9625926,1.1034772,0.41262543,0.9921791,1.0724158,1.0928396,1.4187171,1.3083253,1.3503761,0.95821756,1.2796382,0.61911607,0.5668737,0.5144787,0.6938125,1.3540074,1.3989798,1.3513606,1.1952877,0.8160335,1.3405092,1.4694674,1.1700653,1.0619577,0.9227602,1.2942753,1.1619262,0.563817,0.9637466,0.659561,0.9740617,0.26579857,1.0658389,0.7223935,1.045571,0.8920726,1.1903502,1.1364518,1.346099,0.9298278,1.3936336,0.93584377,1.3733187,1.5392171,1.3886354,1.3312813,0.76250815,0.3680892,1.0242962,0.48853338,1.4584603,1.0101373,1.086839,0.7704418,1.1805515,1.3469119,1.0378922,0.74812704,0.8406993,1.1375163,1.322437,0.6344291
ball,1.3542112,0.84339744,0.17054379,1.3407571,0.0,0.2711898,0.82226175,1.1546266,1.4679222,1.4175258,0.69640076,1.4858545,1.3227487,1.0468763,1.2699653,0.8040659,1.0735792,0.4883263,0.52691615,1.3150691,0.4792773,1.4290912,1.1890155,1.1241492,1.2714092,0.63271284,1.1468452,1.4183285,0.77362764,1.3482232,0.9604525,1.2635026,1.1545887,0.5653144,1.4938703,0.9975165,0.47263002,1.5637405,0.41787827,1.1769856,1.3028142,1.241255,1.3809866,1.3022861,1.2459065,0.73049974,0.19671291,1.2774702,0.9515765,0.7985097,0.99742347,0.5744489,0.93425536,1.0161844,0.7651814,0.91821086,1.1151063,0.6641487,1.185416,0.64047647,1.2154434,0.7375282,1.1665775,0.39858842,1.1899002,1.0903188,1.3119845,1.035109,1.4093586,0.8083496,1.2286929,0.8736466,1.0689588,0.958539,1.3015759,1.1604214,0.91557693,0.96164376,0.343279,0.9954397,0.6737522,0.8164921,0.36764634,1.4519076,1.3252124,1.4262475,1.3464298,0.5216129,0.5005332,0.7067565,0.9707898,1.191706,0.9458462,0.7066573,0.9999768,0.6781438,1.4079779,0.9795907,0.73689115,1.4913306,1.197669,1.3871188,1.3102738,1.3857393,1.2128435,1.2225435,1.2546185,1.1873503,1.0105447,0.9881494,0.42139697,1.1425781,0.3614791,0.97914976,0.60613424,0.7503301,0.67501456,0.61678743,1.358245,1.3651311,1.1263102,1.4378225,0.34929228,0.59808505,1.0290176,1.1952248,1.0849168,0.6653093,1.2591506,1.125542,1.2366025,1.2457894,0.47318757,1.3150265
balloon,1.2911184,0.8277513,0.29257143,1.4975464,0.2711898,0.0,0.7226685,1.0862541,1.4962921,1.481006,0.6515273,1.4957168,1.3858799,0.87886703,1.3271458,0.6239727,0.9683565,0.47923148,0.53575623,1.2565645,0.5407735,1.3335241,1.2004609,1.014729,1.1888472,0.60742575,1.1548741,1.3613112,0.8015301,1.3486922,1.0676217,1.3125873,1.1352472,0.6188122,1.4997113,0.9822809,0.39637107,1.5497199,0.43327683,1.1111372,1.269734,1.1717479,1.4092823,1.3630254,1.2524333,0.7983934,0.4352672,1.2684424,1.0042404,0.9355519,0.85741556,0.512415,0.7728076,1.1006888,0.71268785,0.56983435,1.1463991,0.7450238,1.2085205,0.64101404,1.2819535,0.62667173,1.308878,0.3511641,1.1817143,1.0634755,1.3851545,0.99345136,1.3995981,0.7822821,1.2311323,0.8170694,0.9971429,1.0483569,1.3768743,1.0507727,0.98498124,0.9752641,0.4917326,0.9552887,0.6927165,1.0292559,0.43289024,1.5110998,1.3577322,1.4260787,1.3340873,0.56253165,0.53767276,0.7055284,1.0313753,1.1239393,0.7600696,0.6867052,1.0154998,0.8888246,1.3793654,0.97146875,0.7389069,1.5217507,1.0102367,1.3829798,1.1566659,1.4279213,1.1853508,1.1914387,1.1381243,1.1418214,1.0224864,0.8607755,0.56397563,1.1113515,0.39141673,1.0441992,0.6710171,0.65706563,0.6495309,0.5625628,1.3113451,1.4178495,1.0867901,1.517353,0.42539054,0.7589655,0.9424682,1.1252472,1.111794,0.5132488,1.243608,1.2039548,1.1173632,1.0971581,0.62898064,1.3331491
banana,1.1089251,0.97116774,0.76250863,1.0273407,0.82226175,0.7226685,0.0,1.0619596,0.98935336,1.127483,1.0755608,1.2145942,0.9975307,0.9786763,1.0907729,0.9319086,1.0224075,1.0509684,0.8093889,1.0699931,0.92736024,1.0526091,1.0705639,1.0440768,1.0009892,0.82384014,1.0270094,1.2825352,1.0662493,1.0949581,1.0957755,1.0442412,0.880376,0.95516455,1.2685758,0.89123094,0.88002145,1.1354856,0.95472556,1.2115514,1.1871064,1.076377,1.2236626,1.099709,1.0791733,1.0352427,0.7104252,1.10265,1.0612202,0.9035879,0.8808895,0.9661729,1.134366,1.0775651,0.9537768,0.77215827,0.9390118,1.0927461,0.9402032,0.67331725,1.0594628,0.87412864,0.8697701,1.0639426,0.90585476,1.0893077,1.0403152,1.126866,1.131337,0.90871966,1.1974921,1.0608633,0.43707108,1.0224152,0.92157966,1.0778683,0.98746496,0.9182444,1.0637407,0.97807854,1.0058764,1.0127935,0.49664736,1.0940285,1.1511271,1.1865067,1.0528672,0.9662978,0.9438476,0.9352746,1.1751585,0.95828575,1.0846529,0.8036599,1.1121719,1.0944599,1.1669283,1.1346763,1.015211,1.1144996,1.1755126,1.0699023,0.7829172,1.0933652,1.1255063,1.0842232,1.0073084,1.0365288,0.97362405,0.59719235,1.0740817,1.1085922,0.71812224,1.0513525,1.0261735,0.8967462,0.94135505,0.89780635,1.1717257,1.1348614,0.9758832,1.1247079,0.82042193,1.0466381,0.8427752,0.88571393,1.0671096,0.6705282,0.98791414,1.0301281,1.003725,1.1337677,1.1028641,1.1391722
basket,1.1103735,1.1602043,1.1281018,1.2235374,1.1546266,1.0862541,1.0619596,0.0,0.9852808,1.046484,1.0551232,1.0603626,1.3074238,0.85186815,0.83206916,0.92361635,0.76756763,1.0406101,0.76626396,0.084836006,1.0449251,1.0391991,0.52821565,0.7074893,1.0262302,1.1494039,1.1014752,0.8207418,0.850148,1.0070189,1.2940272,1.1292557,1.0770006,0.9900643,0.92188567,0.9604665,1.0557824,0.9339186,0.9026068,0.96583563,0.9790133,1.047511,1.0537567,0.7803607,1.1138008,1.1905351,1.1022445,1.1600077,1.0969731,1.3152703,1.1980714,1.1347373,0.80115104,1.1945072,0.82222104,0.9857983,1.0383395,1.2505283,1.0958749,1.0365013,1.2827299,0.9510175,1.2694168,1.1226401,1.1209215,0.9963334,1.2112619,0.68781674,1.2450284,0.87861997,0.8337197,0.8156087,1.0178132,0.79098034,1.1497283,0.9322827,1.0078154,1.0327917,1.1210974,0.8177256,1.1344295,1.2541771,1.1613655,1.0145535,1.1407152,1.2540941,0.9609974,1.0691563,1.0832515,1.0434482,0.70815635,1.0941381,0.7613643,0.83658606,0.9128983,0.9282552,0.8275066,0.6604175,1.1874806,1.0776737,1.0538455,1.0658348,0.8428328,1.2494453,0.9368253,1.1989822,0.89964753,1.0315424,0.43655306,1.0778341,1.1510012,0.96658593,1.1032515,0.8175967,0.9558671,0.866115,1.0404373,0.89570653,0.95413256,1.2358791,0.93036944,1.0095795,0.9041425,1.2377385,0.97677076,1.1132127,0.77238727,0.82277906,0.55542237,1.0310844,1.1477926,0.9522968,0.9904313,1.0888221
bathtub,0.747856,1.375788,1.485028,0.5674783,1.4679222,1.4962921,0.98935336,0.9852808,0.0,0.37394089,1.4655826,0.40885246,0.6264846,1.0428141,0.6558401,1.2213876,1.0879291,1.4674368,1.3028722,0.76386714,1.5185714,0.7129009,0.74920917,0.94786394,0.63607824,1.3689027,0.63206214,0.6124522,1.2380804,0.41612452,0.7910882,0.51454675,0.8438176,1.4746189,0.45504373,1.1123013,1.5893762,0.28395593,1.4462416,1.0590327,0.7272475,0.89987475,0.43860114,0.60038215,0.738337,1.4937997,1.319304,0.7792011,0.87376726,1.2861037,1.1334431,1.4426636,1.216896,1.2821926,1.3587363,1.2758696,0.9429991,1.4147503,1.01443,1.254618,0.7355957,1.2342966,0.91291445,1.5179526,0.9350016,1.0930289,0.5372639,1.0201415,0.5908499,1.2925924,0.8583072,1.0923699,0.81795007,0.96322393,0.731355,0.96579784,1.2386931,1.0658953,1.4942999,1.1852782,1.5077934,1.1630408,1.2607756,0.37387526,0.72091484,0.70723706,0.64837044,1.3466693,1.4626603,1.4088919,1.1867863,0.7889774,1.1927481,1.2821672,1.136497,1.2260739,0.78427505,1.0306919,1.3029473,0.2784567,1.0211899,0.71844214,0.8956788,0.58785874,1.171957,0.98796797,0.98473144,0.6818743,0.80676365,0.8585515,1.5748427,0.81051856,1.519755,1.2708364,1.3188474,1.4016839,1.4201193,1.3573143,0.67668897,0.522403,0.97853446,0.3564043,1.3858433,1.4959908,1.1131935,1.0512215,1.0584414,1.2875848,0.66091233,0.8396353,0.8834188,0.9388943,1.473376,0.45887792
bed,0.76213163,1.3608235,1.5139866,0.5852387,1.4175258,1.481006,1.127483,1.046484,0.37394089,0.0,1.3868914,0.21520615,0.5259695,1.076861,0.2890001,1.2095054,0.9615977,1.4880157,1.4030347,0.85562176,1.4830905,0.7419086,1.0366471,1.1841714,0.661792,1.3604805,0.5827172,0.5720075,1.2929089,0.55546844,0.6915851,0.47460622,0.87857956,1.4858835,0.2837801,1.1577526,1.5204314,0.3584934,1.5134695,1.0972776,0.69790155,0.8247547,0.6810671,0.77401674,0.7254647,1.4018737,1.3947964,0.6303774,0.9293411,1.2413676,1.0975825,1.3374628,1.2663891,1.1045488,1.4274465,1.2618518,1.0451885,1.3741978,0.85793453,1.2512211,0.8228759,1.2333779,0.8816131,1.4732642,0.91428554,1.0788549,0.46261352,1.2062141,0.42596245,1.3404834,0.907911,1.2454498,0.96940655,1.0770069,0.6423084,1.0276555,1.2079039,1.1242839,1.4905963,1.0028783,1.4717534,1.1922461,1.2982433,0.6324021,0.614199,0.59151113,0.60766184,1.3005605,1.4241892,1.4662318,0.912064,0.8008379,1.228503,1.3138614,1.1663827,1.1190823,0.8241939,1.206608,1.3282057,0.56450546,1.0958508,0.5771961,0.95605433,0.56927776,0.95455056,0.9095151,1.026556,0.6935674,0.9943546,0.97811455,1.4881232,0.48443568,1.5023875,1.1402985,1.3347703,1.4367003,1.3777156,1.3854872,0.7059897,0.50348693,0.882489,0.24611568,1.4239659,1.3834939,1.1219242,1.0549339,0.7874476,1.2945201,0.7667173,0.83209926,0.89212,1.051604,1.478146,0.6179397
belt,1.3765649,0.6870825,0.65148014,1.4579169,0.69640076,0.6515273,1.0755608,1.0551232,1.4655826,1.3868914,0.0,1.3309011,1.4682691,1.0784451,1.2844654,0.90251666,1.1076936,0.38885987,0.6272529,1.21127,0.54416966,1.2430166,1.0621494,0.5916363,1.136909,0.4996392,1.0768555,1.1126833,0.8027973,1.2671463,1.1861225,1.2418271,1.0870748,0.5918492,1.3242952,0.9889201,0.24638814,1.5093426,0.4077959,1.086586,1.4202895,1.4934957,1.2480228,1.0841577,1.3356326,0.5805105,0.7443674,1.0547928,1.2493985,0.8550711,0.98756635,0.3871256,0.8344046,0.8847968,0.38764143,1.0578451,1.3268511,0.5844528,1.3871962,1.0596113,1.3644956,1.0616739,1.3041363,0.39683408,1.0583446,1.0426793,1.3932962,0.9919354,1.3928297,0.38398194,0.9441588,0.75612843,1.2463771,1.1165484,1.5724696,1.1922753,0.89097804,1.0944186,0.39748132,0.76156527,0.44781113,0.99923474,0.7975411,1.3033893,1.4562869,1.2885044,1.4524096,0.39587867,0.3083493,0.7639585,0.94246894,1.3758204,0.8695322,0.6234164,1.0988295,0.8798718,1.2336055,0.86483705,0.8170656,1.3579862,1.2123257,1.3996603,1.2098656,1.4499761,0.84138846,0.7936086,1.136727,1.1343614,0.83464,0.8925113,0.3251685,1.1712425,0.5492416,0.9643903,0.36848235,0.29387033,0.44983792,0.8542505,1.3800244,1.4516661,1.0658787,1.4815955,0.76967704,0.6665428,0.9784029,1.1709924,0.893102,1.0387079,1.2926049,1.2443554,1.1546003,0.7241372,0.42631644,1.2769322
bench,0.7595715,1.3324333,1.5531363,0.5789552,1.4858545,1.4957168,1.2145942,1.0603626,0.40885246,0.21520615,1.3309011,0.0,0.62299883,1.0612439,0.5008572,1.2852085,1.003619,1.4542966,1.4192643,0.88854694,1.4728734,0.5789983,0.9629049,1.0116915,0.68384624,1.3782586,0.68498796,0.36084497,1.3265622,0.57217556,0.6735856,0.29326773,0.8087664,1.4484857,0.15766549,1.0819573,1.5120022,0.32085133,1.4764326,0.97398806,0.67798114,0.83652437,0.50470906,0.6907301,0.73697454,1.3402016,1.4325675,0.59907156,1.0350928,1.2129881,1.079288,1.3507516,1.2487496,1.0524604,1.422945,1.3447561,0.97560436,1.3869609,0.81528556,1.2690768,0.8235831,1.3347094,0.8703023,1.4775976,0.89127487,1.1305542,0.5359197,1.0416654,0.4084134,1.3551524,0.7525029,1.2275128,1.0249909,1.142233,0.65292287,0.9583659,1.2200508,1.0533258,1.5207715,1.0322623,1.4213624,1.1597921,1.3771787,0.5483306,0.65115684,0.47891372,0.71561444,1.3655376,1.4567208,1.3691859,1.0001475,0.8875114,1.2207137,1.3129721,1.1945132,1.1827282,0.74304396,1.1387395,1.2749516,0.4533031,0.9407469,0.74522233,0.9736255,0.58032227,0.86317456,0.8304524,0.9213774,0.8027549,0.9492301,1.0688367,1.5039685,0.7748703,1.5306984,1.1472286,1.3281009,1.4121618,1.3814468,1.3752601,0.66990507,0.48586476,0.9632928,0.18927109,1.4740994,1.3577299,1.1010759,0.97424775,0.8849232,1.3461052,0.8317892,0.9537672,0.7944795,0.8721659,1.5114121,0.5706265
bib,0.7281863,1.1254278,1.3519661,0.31873238,1.3227487,1.3858799,0.9975307,1.3074238,0.6264846,0.5259695,1.4682691,0.62299883,0.0,1.1999918,0.782606,1.1810316,1.1009449,1.4810739,1.529005,1.1254218,1.4428778,0.75441563,1.234097,1.4625648,0.84113187,1.3231754,0.851881,0.99832416,1.3935721,0.7619872,0.5771218,0.6630298,0.89037734,1.4671683,0.7009194,1.2069763,1.5295529,0.5175942,1.573144,1.1789211,0.79355884,0.6658045,0.8835088,1.0360738,0.3761747,1.1932125,1.3114884,0.68629473,0.7251718,0.91143453,0.91235197,1.3676732,1.4276161,0.8867676,1.584935,1.1622732,0.8426243,1.1218431,0.6001776,1.0724542,0.4609325,1.2518256,0.5255639,1.3772037,0.88145876,1.1222067,0.2778285,1.3464955,0.33506763,1.4916708,1.1705031,1.4802101,0.78631186,1.1433752,0.41892081,0.97098553,1.0421804,1.077605,1.4052522,1.281579,1.2704486,0.94445354,1.2708176,0.7003155,0.2741115,0.42656058,0.6311894,1.3703462,1.4443362,1.3140295,1.1983421,0.7136943,1.4086183,1.481616,1.222312,1.1912,0.89484864,1.3664501,1.1248511,0.6708469,1.0120449,0.5266727,1.019119,0.1447941,1.049995,0.6801885,1.0038989,0.8494206,1.3408575,0.9500581,1.3503053,0.8393126,1.3893712,1.1095626,1.4217485,1.5911896,1.3748335,1.3619783,0.65515554,0.26032102,1.0150024,0.54021,1.4606813,1.0806588,1.0640049,0.86692786,1.1571838,1.2743305,1.0770292,0.8512068,0.7562966,1.2253256,1.3559462,0.7954214
bird,0.81102955,1.0939711,1.0336808,1.1376052,1.0468763,0.87886703,0.9786763,0.85186815,1.0428141,1.076861,1.0784451,1.0612439,1.1999918,0.0,1.0369415,0.91609484,0.92389923,1.052097,0.9130386,0.90985864,1.0410227,1.101327,1.0284992,1.0833426,0.95671135,1.1667068,0.90297186,1.1068544,0.8533313,1.0414349,1.1305052,1.0158525,1.0708225,1.0047418,1.0784062,1.0005062,1.0385442,1.0773134,1.0310928,0.8125294,0.70491016,0.9524687,1.0907238,1.0972056,1.0425408,1.2648898,1.0025544,1.1008953,0.9360027,1.3003681,1.1470312,0.90492123,0.7377653,1.2008543,0.8534995,0.5442642,1.0451698,1.1321087,1.0943168,1.048614,1.1023369,0.6541983,1.2364836,0.9954624,0.8401881,0.69603366,1.1269995,0.9496999,1.0965605,0.8482873,1.1598287,0.86623853,1.0622278,0.95647347,1.0994855,0.7798317,1.1417067,1.0219208,1.1213909,1.0656018,1.1931218,1.2003953,1.0364687,1.1078572,1.1301842,1.1734663,1.0002179,1.0241219,1.0536104,1.0314246,1.0433244,0.94246006,0.7076818,0.9085041,0.65553534,1.0617117,0.9928151,0.9263097,1.0207186,1.1034389,0.7375442,1.0511991,0.8343601,1.1163892,1.0909513,1.2054406,1.0343195,0.9774364,0.92861533,1.1787343,1.1538286,0.97483957,1.0426899,1.0361314,0.9654935,0.882792,1.0214288,0.91011554,0.99912614,1.0419536,1.072472,1.0272803,0.87824494,1.2517955,0.9920413,0.97293496,1.0722748,0.8146706,0.87182885,1.0439925,1.0037056,0.98521334,1.083125,1.0583545
blanket,0.94556755,1.2726418,1.329518,0.8948354,1.2699653,1.3271458,1.0907729,0.83206916,0.6558401,0.2890001,1.2844654,0.5008572,0.782606,1.0369415,0.0,1.0388002,0.803188,1.3228203,1.1598772,0.7323186,1.2830975,0.87167096,0.8847173,1.005936,0.8640993,1.2287153,0.7854482,0.59442437,1.1220609,0.71019906,0.9286038,0.8244852,0.9948612,1.2701801,0.4478101,1.0260152,1.3302906,0.5849379,1.2876987,1.0647049,0.7702271,0.78406835,0.8855461,0.81358695,0.8789536,1.3202902,1.2693994,0.8518559,1.0402161,1.3071918,1.1783204,1.2863253,1.0488088,1.1657604,1.2060882,1.1754199,1.1043634,1.3712454,0.8729844,1.2129338,1.0196381,1.0562744,1.0781491,1.3162417,1.0505178,1.0326062,0.7634443,1.0558656,0.7262615,1.1630212,0.81487346,1.097035,0.9573575,0.88630044,0.73952484,1.0555935,1.1987104,1.0396641,1.3452191,0.5786372,1.3337708,1.235997,1.2474239,0.82774353,0.750324,0.83943725,0.72692156,1.2145823,1.2834222,1.2599505,0.5579215,0.9417952,1.0078727,1.0956376,1.0402999,1.0277107,0.7518389,1.0203874,1.3180792,0.8260864,1.1329986,0.6791724,0.985832,0.8439516,0.9454946,1.0510972,0.8943256,0.92397183,0.9762416,1.0567273,1.3852594,0.70131433,1.3229043,0.94569397,1.2061206,1.2657332,1.2578294,1.1343021,0.7558303,0.8002072,0.9102744,0.6034159,1.2466794,1.3612332,1.1280023,1.1233737,0.34898233,1.0381514,0.70106065,0.98349047,0.99879557,0.9654397,1.3782938,0.8350777
boat,1.1115185,0.88688564,0.77680683,1.3038777,0.8040659,0.6239727,0.9319086,0.92361635,1.2213876,1.2095054,0.90251666,1.2852085,1.1810316,0.91609484,1.0388002,0.0,0.80409586,0.8039441,0.68490386,0.9699878,0.7936857,1.1249857,1.0394974,1.1118276,1.1557822,0.90998673,1.1627655,1.1991482,0.92372537,1.2220981,1.148181,1.2731105,1.2118117,0.8418479,1.2221811,0.96508545,0.6904118,1.2291895,0.75684875,1.0640842,1.1582134,0.91054875,1.3399178,1.2070535,1.1137943,1.0150635,0.9650276,1.2019024,0.94085634,1.1045184,0.9443893,0.90535426,0.8479647,1.1097482,0.8238318,0.6016539,1.1278865,0.9249421,1.1386156,0.8455911,1.2747502,0.54781175,1.217363,0.6408428,1.0958023,1.0093474,1.1949978,0.983689,1.2305197,0.8111175,1.1698234,0.9742898,0.78679246,1.078756,1.2053338,1.0506253,0.9313446,1.0718527,0.8310685,0.9688865,0.8932119,1.1546363,0.8892645,1.281088,1.106199,1.2675904,1.0569944,0.80026454,0.78995025,0.95773447,0.988636,1.0523485,0.77814513,0.76144004,0.9508287,1.094882,1.1643887,0.9773455,1.0401387,1.3518529,1.1367493,1.0444148,0.9119728,1.2779773,1.1014774,1.1849649,0.86543727,1.0459635,1.0364443,0.8681451,0.86149555,1.0254756,0.704773,0.968561,0.93346715,0.8108368,0.90075624,0.6702958,1.0440023,1.2869196,0.97706693,1.2688489,0.71319103,1.0370781,1.0427706,1.0432082,0.9830166,0.5695612,0.9319931,1.0870291,1.0725187,1.0956098,0.8911315,1.2474599
book,0.9175037,1.2276984,1.0647292,1.1614223,1.0735792,0.9683565,1.0224075,0.76756763,1.0879291,0.9615977,1.1076936,1.003619,1.1009449,0.92389923,0.803188,0.80409586,0.0,0.95122087,0.82944685,0.6286248,1.0603476,1.033126,0.78428054,0.934053,0.9575869,1.1284422,1.2610455,0.8513869,0.7476372,1.14435,1.282449,1.1963016,1.119427,1.0979006,0.9243714,1.0455589,0.9819686,0.8793615,0.8959123,0.9659073,0.9612763,0.77127373,1.120324,0.77935565,1.0206597,1.1587362,1.0875698,1.2417774,1.0163376,1.2588584,1.048485,1.1831434,0.75590825,1.1964047,0.9378995,0.7887089,1.0203592,1.2459061,0.9998778,0.7416896,1.1764921,0.9890921,1.1507263,1.1075513,1.2234176,0.97924376,1.1344376,0.8871688,1.1941488,0.9541931,0.82477975,0.9597321,0.9846619,0.87887317,1.0567836,1.0483656,1.1356643,1.1270522,1.0906706,0.82655275,1.19245,1.2345374,1.0664239,1.0572506,0.9814904,1.2856698,0.4152788,1.0339915,1.0303293,1.1269157,0.37944603,0.7202648,0.77801,0.7767304,0.93703884,1.0276791,0.8296332,0.70126283,1.2745101,1.1493547,1.031595,0.9207679,0.846249,1.1878302,1.1021259,1.242176,0.84349483,1.16812,0.8498783,0.8135395,1.196332,0.8458413,1.0565422,0.87679553,1.0552583,1.0300274,1.0546771,0.81705487,0.8966888,1.2075788,1.0078499,0.9045005,0.90405625,1.2335622,1.1312282,1.0412171,0.7776556,0.6462969,0.5667076,0.9822838,1.0012298,1.0621203,1.1169373,1.0783566
