,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
alligator,0.0,1.2053127,1.2337505,0.933779,1.1888636,1.3166552,1.1427534,1.0292715,1.0110658,0.90293217,1.3383908,0.93448365,0.972679,0.69162923,0.8747374,1.0193948,0.7150988,1.3228799,1.3422132,0.8105379,1.0153996,1.1889163,1.1070169,1.3533181,0.9584066,1.1014001,0.80150795,1.1325095,1.1612872,0.9501415,0.92479306,0.9347095,0.9702831,0.56604683,1.3211048,0.94563705,1.3562324,1.217884,0.9815886,0.47896647,0.95816106,1.0727713,1.123593,1.014884,1.1521747,1.0099366,0.95419234,1.2675804,0.6012542,0.9701749,1.0621102,0.969709,0.35422093,0.79680777,1.2753906,1.1586678,0.991066,0.92002815,1.0100187,0.95884204,1.106023,0.49025476,0.9049471,1.1981431,1.0741081,1.0361738,1.0807433,1.2931243,0.91782844,0.8789796,0.9988791,0.9737884,0.9718446,1.3136507,1.26201,1.2117866,1.1936073,1.1128739,1.0919312,0.84559506,0.96380407,1.0902512,0.82957256,1.3526907,1.131478,1.2066896,0.84364736,1.0020914,1.0322357,0.6323056,1.1189435,1.1925176,1.0321839,0.6488211,0.9945862,0.9825204,0.94587106,1.1113008,1.2347734,1.0108261,1.3086841,0.85994786,1.3634927,0.77892196,1.2006743,1.2564167,1.027874,0.96190655,1.0459722,0.8069602,1.1739488,1.2768167,1.2243333,1.0540102,1.1617917,0.9255451,1.0791516,0.9145247,1.2470927,1.325988,1.0251973,0.56851774
ankle,1.2053127,0.0,0.8394418,0.8712416,1.0410243,0.9111039,1.0187411,1.1413817,1.1901133,1.1484035,0.96694577,0.96794045,0.83644795,1.0968405,1.1159074,1.2013451,1.1681936,1.0269438,1.0724093,1.1735656,0.787225,1.0863348,1.1408732,0.9575651,1.1797695,0.90962666,1.122026,1.1054602,1.2137966,1.1236632,1.1380966,1.2188298,0.9009704,0.972695,0.9313084,1.252501,1.0032063,1.0234494,0.9232214,1.0959332,0.90979475,1.205124,0.982973,0.8640698,0.6628741,1.1474166,1.1431868,0.54882646,0.9489344,1.174738,0.57424355,0.93593204,1.1337011,1.1990111,0.7179275,0.29898643,1.234656,0.8067196,0.9521458,0.772799,1.055603,1.199893,1.282695,0.99816513,0.7313929,0.9834037,1.1895933,1.156178,0.9161736,0.97746295,0.5370333,1.2547722,1.0025108,0.9556528,1.0794239,0.6964706,0.9207239,0.95925266,0.98422337,1.0750427,0.9166821,0.7247249,1.0642734,0.84392685,0.9210492,0.9130521,1.0142634,1.1455586,1.168756,1.1244425,1.0702617,1.0858302,1.1016965,1.1195074,1.1354842,0.85082257,0.7741971,0.5799074,0.83886975,1.1384811,1.1479793,1.119173,0.5404939,1.1233566,0.24537426,0.93121386,0.97132814,1.1438726,1.0859729,1.2154574,1.0442812,0.52851224,0.7103951,0.7922044,0.8490618,1.0714872,1.0969907,1.1947055,1.1282368,0.8697867,1.2704763,1.1349623
apple,1.2337505,0.8394418,0.0,1.4593163,0.33234823,0.32154644,0.4884439,1.1244893,1.212452,1.5002195,0.51113665,1.4689777,1.3662715,0.6831316,1.5072193,1.3192339,1.1882122,0.40022564,0.48441666,1.4194146,0.7334632,0.9682576,0.91590524,0.78832096,0.85470456,1.1617672,1.2788987,1.2918477,0.72389024,1.3364136,1.3393872,1.22312,1.4695593,1.2117935,0.32281852,1.4803579,0.40780556,0.76640433,0.9449293,1.2905803,1.0980799,1.390807,0.99863476,1.2831919,0.54043907,1.0058845,1.1203958,0.6506314,0.819548,0.86833405,0.991637,0.8310913,0.84969974,1.2156762,0.5607532,0.9970582,1.0602179,0.78425384,1.2195785,1.1864324,0.3649904,0.9716064,1.2851412,0.9816342,1.4140211,1.1814288,1.4178042,0.6238496,1.3689041,0.7914953,1.1976557,1.1853375,1.1312522,0.35425913,0.8266987,0.87302065,0.5636277,0.9639594,1.3266068,0.71611196,1.4428831,1.2724769,1.4625275,0.54426384,1.1146553,0.83694184,0.82714915,0.7548717,0.76508594,1.0147866,1.0008475,0.6550816,1.5118839,0.6529945,0.90176284,1.3640507,1.051244,1.184476,0.9436061,1.4181653,0.6704074,1.4236665,0.39501083,1.3399267,0.8909704,0.6526182,1.0792755,1.3060136,1.2576989,1.3884065,0.5771965,0.63321614,0.78094304,0.89190775,1.0769335,0.65925676,0.98253065,1.1180053,1.0418724,0.51581097,1.2504097,1.0920242
arm,0.933779,0.8712416,1.4593163,0.0,1.5007192,1.3192573,1.4255792,1.1746377,1.0383269,0.5863443,1.5439833,0.64948905,0.47938693,1.3702397,0.49285263,0.7493042,0.823588,1.4689926,1.5001247,0.7327287,1.1249387,1.2331822,1.2153133,1.4837806,1.381993,0.7524329,0.75365245,0.92371386,1.4360845,0.81067204,0.7835432,1.041561,0.51205325,0.79135406,1.5659556,0.7058797,1.4858598,1.4512601,1.148979,0.7213528,0.8826675,0.7733934,1.2955782,0.6176988,1.1541294,0.96456206,0.7742231,1.0720022,1.2567091,1.2424009,0.9039527,1.3672124,1.3369675,0.6784698,1.2024368,0.72923386,0.96668893,1.0215642,0.6147133,0.48303866,1.5046431,1.2131444,0.80835706,1.0523853,0.46098107,0.75395405,0.80297303,1.5146673,0.6124557,1.1093146,0.65318906,0.77415204,0.89325887,1.3409073,1.4133472,1.0427219,1.430248,0.9391747,0.86131525,1.2356046,0.30467188,0.7236454,0.4616984,1.3673928,0.8117981,1.4099331,1.2577759,1.3845038,1.4113361,1.2293627,1.1563969,1.4530274,0.50105715,1.3803205,1.2948275,0.2871502,0.88067675,0.68335044,1.0855416,0.62244785,1.420166,0.40637434,1.3888094,0.73116755,0.8649813,1.479814,0.88454765,0.92430794,0.6649819,0.53275496,1.4519951,1.1391675,0.9923225,0.896267,1.0588404,1.2684911,1.0581231,0.95360684,1.1774452,1.3866633,0.80402374,1.1149808
ball,1.1888636,1.0410243,0.33234823,1.5007192,0.0,0.4575652,0.5771008,0.9796798,1.063525,1.3424475,0.4912989,1.3816583,1.3274288,0.7101532,1.3670206,1.2730644,1.1578199,0.35373127,0.4727018,1.3040566,0.99497986,0.8404564,0.870314,0.7088964,0.70748305,1.1991918,1.1469043,1.2112737,0.62080497,1.2764944,1.2838577,1.2021747,1.3237214,1.2147819,0.37718195,1.3555326,0.34761953,0.72661227,0.8953153,1.2235686,1.078318,1.3063965,0.9855633,1.2931466,0.702675,1.0545578,1.1051553,0.9250373,0.81611896,0.8648769,1.1402345,0.8863001,0.838073,1.237761,0.8893831,1.1284928,0.9810494,0.89321405,1.2842149,1.3649008,0.35772324,0.9457296,1.2394459,0.9376632,1.3545544,1.2954885,1.352927,0.5967653,1.3169215,0.9282606,1.2705672,1.1384383,1.156203,0.39751303,0.79109275,1.0651339,0.6153958,1.0252913,1.2167792,0.7029703,1.4189335,1.2847904,1.4486538,0.6387101,1.1513969,0.7053289,0.8658379,0.75528497,0.6790665,0.9486264,0.95113605,0.5486338,1.4562092,0.6558647,0.98822963,1.3833131,1.0762563,1.2967393,0.9444704,1.333992,0.59013724,1.4055235,0.5469732,1.2334942,1.0331198,0.69340676,1.1748977,1.1876687,1.2254877,1.3321946,0.541567,0.85075504,0.9878099,1.1384001,1.1014315,0.5975009,1.0118723,1.0674722,0.95054865,0.5608472,1.1949673,1.0423466
balloon,1.3166552,0.9111039,0.32154644,1.3192573,0.4575652,0.0,0.69695365,1.0847431,1.0943657,1.406868,0.60794914,1.3898396,1.2066323,0.796378,1.4235251,1.1734924,1.1635895,0.5765055,0.5280154,1.2958224,0.90933996,0.8007751,0.8591329,0.75281745,0.9204099,1.0931622,1.249243,1.1786082,0.7289372,1.2725817,1.2718451,1.1243125,1.3818318,1.2876023,0.5245035,1.3504298,0.56953037,0.77059627,1.0747626,1.2708331,0.99855137,1.3191302,0.95800376,1.1912682,0.57762563,1.0794951,1.0795988,0.7877381,1.0220864,0.93248683,1.0221264,0.88884836,0.9817873,1.1851933,0.68946207,0.9884618,1.0908941,0.8843813,1.2081709,1.1475047,0.5795654,1.0201453,1.1664712,0.99107707,1.2757096,1.1582191,1.3094835,0.6635435,1.294861,0.8061642,1.2157937,1.1449695,1.138681,0.5526156,0.7499332,0.9347533,0.6007725,0.99761087,1.189996,0.8339789,1.294316,1.2015679,1.3568188,0.63088036,1.0012438,0.7930598,1.010913,0.7853166,0.74493754,1.0569153,0.91379446,0.7225206,1.3641818,0.7878028,0.91744506,1.2650399,1.1605117,1.162461,0.839003,1.338518,0.65383875,1.3350401,0.5990046,1.3763611,0.8649678,0.74192053,0.8956741,1.227853,1.1904664,1.3286247,0.5520787,0.75952435,0.80555815,0.91877353,0.99516064,0.7540974,0.9400133,1.0833055,0.93723834,0.6330493,1.2026625,1.0648245
banana,1.1427534,1.0187411,0.4884439,1.4255792,0.5771008,0.69695365,0.0,0.9408546,1.138037,1.4578838,0.5912628,1.4459317,1.2991042,0.70044494,1.4199631,1.3665004,1.1923398,0.53461444,0.6213649,1.3886645,0.7248366,0.9218685,0.90091103,0.7225871,0.77425957,1.1401682,1.2439964,1.1700126,0.65395695,1.1544266,1.3560154,1.0965775,1.4217414,1.1918732,0.5065177,1.3634983,0.557279,0.588036,0.85167307,1.1746768,0.96768534,1.3114207,1.0375142,1.2377821,0.70440316,1.0044087,1.1506244,0.907006,0.81822896,0.7309587,1.0238944,0.8238953,0.8122666,1.185175,0.83843386,1.1380203,1.0916554,0.99133396,1.185632,1.2700874,0.47036612,0.92534226,1.3143088,1.0185521,1.4483186,1.1830193,1.2984093,0.6995568,1.2811122,0.72675,1.1917256,1.1970593,1.1657901,0.7071768,0.687433,0.9703655,0.691164,0.9504713,1.2620761,0.677433,1.3716794,1.2405212,1.4599761,0.7175586,1.2294657,0.7485725,0.7155856,0.6425339,0.8093697,0.9530076,0.72802466,0.5927639,1.4213816,0.64797294,0.8798442,1.3404917,1.0162263,1.2259507,0.86590695,1.3062114,0.8259381,1.4509308,0.588005,1.2330289,1.0234871,0.7043115,1.1794133,1.0810119,1.250017,1.4090463,0.63887954,0.8131263,0.9045672,1.0992883,0.98802394,0.6646765,0.8942237,1.1338416,0.9169936,0.69097644,1.2584333,1.0774615
basket,1.0292715,1.1413817,1.1244893,1.1746377,0.9796798,1.0847431,0.9408546,0.0,0.22275352,1.0631523,1.0319451,0.9947815,1.1222832,1.0779046,1.0637449,1.0990517,0.97200364,0.98819953,0.85966563,0.635646,1.1657482,0.9589074,0.51590014,0.79046893,0.8915153,1.1070025,1.1593126,0.7828711,0.8508607,0.90068376,0.99676436,0.76702785,1.1008525,1.0306176,1.0861043,0.41322732,0.9568022,1.0016019,0.9688216,1.0521411,0.84791124,0.94938225,0.8034494,1.1279434,1.1296537,1.1238894,1.1090503,1.2690495,1.1473068,0.91048944,1.1454048,0.90582186,1.0247744,1.0161608,1.1901429,1.1273187,1.1440134,0.9653204,1.1624918,1.2042485,1.0628206,1.0626035,1.0516484,1.1258062,1.1736984,1.0189065,0.773487,0.97619826,0.93961966,0.95723695,1.1364156,1.0609685,1.1057243,1.1648203,0.85479087,1.156938,1.045156,1.0831305,0.9075737,1.041501,1.1469277,1.1417117,1.0293268,1.1370192,1.0214101,0.8745731,1.068762,0.966408,0.71459717,1.0297903,0.6902602,0.8114136,1.0305498,1.0559957,1.0119792,1.1726382,0.86417896,1.1230452,0.91706246,0.8884182,0.9081254,1.1458101,1.113571,0.98144233,1.1538258,0.963491,1.1096859,0.7612194,1.1596366,1.1144891,0.73991275,1.225717,1.0781655,1.0253056,0.85938084,0.8013658,0.7044854,1.0116501,0.8806904,1.012307,1.0489408,1.0058645
bathtub,1.0110658,1.1901133,1.212452,1.0383269,1.063525,1.0943657,1.138037,0.22275352,0.0,0.9378547,1.2390788,0.94471127,0.99254996,1.0410284,0.9310116,0.9787749,0.89389676,1.1039118,1.0165734,0.554752,1.273898,0.9891282,0.3185386,0.9426941,0.99462366,1.0831691,1.0943233,0.81974685,1.0784942,0.78861105,0.9449668,0.86389405,1.0082633,1.0188302,1.2461381,0.25855124,1.1212928,1.124402,1.0670965,0.9865133,0.8372249,0.90680254,1.0063001,1.0437064,1.23232,1.0516154,1.0536494,1.3238465,1.2246648,1.0173585,1.158322,1.0932219,1.0425906,0.99440706,1.3113266,1.1202812,1.086957,0.98863906,1.1123164,1.1180761,1.1684022,1.0265279,0.94746304,1.1061492,1.0702904,0.9825766,0.7256398,1.1304165,0.9131218,0.9166025,1.1417545,0.87315404,1.0327326,1.2627323,0.93126905,1.3105578,1.1800038,1.0687284,0.8053051,1.0482609,0.99629843,1.1197877,0.922901,1.2521968,0.89834,1.0573887,1.1281928,1.078953,0.75322574,1.0480309,0.8216344,1.0901071,0.85101604,1.0874645,1.1159906,1.0621548,0.97786623,1.1367415,1.0007603,0.7599647,1.0008749,0.9145588,1.2886937,0.93070805,1.1373911,1.1398588,0.97611034,0.68236136,1.071786,0.9636496,0.80345947,1.3083948,1.1521826,0.90836465,0.93208706,0.7797494,0.7943176,0.9851686,0.9053575,1.1930468,0.97456914,0.92931974
bed,0.90293217,1.1484035,1.5002195,0.5863443,1.3424475,1.406868,1.4578838,1.0631523,0.9378547,0.0,1.4017258,0.30063623,0.65339255,1.3650792,0.2077527,0.6789542,0.7962264,1.4596688,1.4480416,0.5702573,1.2946589,1.1952169,1.1329184,1.3775293,1.2216833,0.87984574,0.56967723,0.84421337,1.3374771,0.70899475,0.55877197,0.96544623,0.29771173,0.9279405,1.5164344,0.5500403,1.4576575,1.350758,1.0677159,0.7631031,1.0936191,0.676965,1.0528414,0.747006,1.3318999,0.8084527,0.9725359,1.3075492,1.1817921,1.2814558,1.0490823,1.3492274,1.2021143,0.68993986,1.3105893,0.96772873,0.82519233,1.2126088,0.7869076,0.8981323,1.4189155,1.1472677,0.67663693,0.7588339,0.47966766,0.91933876,0.67161524,1.4218502,0.76643044,1.1488851,0.8006079,0.68838406,0.93790317,1.3499066,1.2655993,1.1958215,1.4704547,1.0967944,0.8066511,1.2839096,0.5803226,0.68992734,0.4326564,1.4298663,1.0127469,1.1182055,1.1564165,1.3301016,1.2788855,1.131218,1.0676321,1.3845677,0.63596225,1.3715224,1.2094791,0.5946023,0.99012756,0.85493493,1.2763195,0.6169758,1.307456,0.3436591,1.4858458,0.45286238,1.0739515,1.4510251,1.1505557,0.8334359,0.5827833,0.44606614,1.3844063,1.3716245,1.2922742,1.135326,0.9805789,1.2313846,0.9993848,0.99888164,1.2069695,1.5170772,0.8089812,1.0584873
belt,1.3383908,0.96694577,0.51113665,1.5439833,0.4912989,0.60794914,0.5912628,1.0319451,1.2390788,1.4017258,0.0,1.2863233,1.4725778,0.8780381,1.4910085,1.1323427,1.3455832,0.31087893,0.23501956,1.4710139,0.9030087,0.92567813,1.009428,0.36865318,0.70015717,1.1781875,1.1353868,1.0648556,0.61909795,1.2952342,1.2905848,0.9619755,1.3691831,1.2777617,0.17534369,1.4623731,0.2221334,0.4223215,0.89711726,1.3907776,1.34901,1.2079824,0.6890111,1.3955672,0.8786995,0.98457414,1.2818753,0.72771615,0.8041266,0.8716552,0.99039537,0.65959007,1.0466971,1.2400427,0.61452687,1.1231614,0.974442,1.1010274,1.2963198,1.395875,0.4281302,1.1002475,1.242208,0.78673655,1.3354516,1.1694455,1.2744033,0.2506283,1.3427489,1.0614723,1.2668599,1.2319715,1.1918905,0.36559963,0.50159603,0.779827,0.3744288,1.0651772,1.035106,0.9555384,1.5426035,1.0978435,1.4880607,0.3097496,1.2163037,0.5760869,0.9242968,0.6584064,0.88365155,1.0746808,0.8952075,0.37113076,1.3587635,0.88771516,0.6517805,1.479862,1.1765773,1.1506478,0.83005273,1.3765934,0.27066553,1.4791044,0.3686024,1.3146853,1.0164236,0.46359622,1.1337874,1.310969,1.2024,1.493411,0.71576774,0.66989136,0.92230034,1.1730765,0.95588475,1.0199856,0.9789344,1.1304517,0.78319466,0.3715912,1.0840083,1.1466291
bench,0.93448365,0.96794045,1.4689777,0.64948905,1.3816583,1.3898396,1.4459317,0.9947815,0.94471127,0.30063623,1.2863233,0.0,0.6990565,1.414397,0.38178992,0.62021065,0.99834967,1.4656103,1.3244814,0.61915207,1.1634518,1.2049296,1.094368,1.142747,1.1726918,0.8595747,0.760412,0.5916629,1.3749268,0.7560077,0.4483981,0.9148924,0.19005048,0.9246431,1.4597473,0.5892135,1.4416865,1.2664781,0.9879689,0.85284793,1.1559227,0.6097561,0.7516663,0.80071294,1.1787839,1.0855407,1.0600972,1.1763337,1.1100812,1.2758528,0.948595,1.1750356,1.2792823,0.9417781,1.2358913,0.8488021,1.0044327,1.2273626,0.8694912,0.87965214,1.4308429,1.2523718,0.81001794,0.8823722,0.4341222,0.8621434,0.5564605,1.3452897,0.71777165,1.0903409,0.76398814,0.93752587,0.9274372,1.3764691,1.1529497,1.0307555,1.3594882,0.99182224,0.67748386,1.4313607,0.68681866,0.62463444,0.6385375,1.3363256,0.9972742,1.0207981,1.1476978,1.3567669,1.3059034,1.2375133,1.104248,1.2840315,0.5688336,1.426162,1.1996908,0.7005752,0.9487046,0.7176775,1.0421824,0.71164,1.1624104,0.5662394,1.3695333,0.6039108,0.92798567,1.3034694,1.0461645,0.88613665,0.76792353,0.63719785,1.3243736,1.2478489,1.234097,1.0958037,0.90363675,1.3018272,0.8617083,0.954795,1.1272895,1.4891253,0.78368616,1.1051725
bib,0.972679,0.83644795,1.3662715,0.47938693,1.3274288,1.2066323,1.2991042,1.1222832,0.99254996,0.65339255,1.4725778,0.6990565,0.0,1.3283477,0.5040271,0.885852,0.9190006,1.4660172,1.4976299,0.8206409,1.047019,1.2298176,1.148679,1.3525165,1.2685331,0.6022934,0.9110885,1.0594089,1.3939676,0.7581836,0.8720603,1.0625756,0.624217,0.8517103,1.5180851,0.85153323,1.4891961,1.3572661,1.0816995,0.8772437,0.6875458,0.9074546,1.1699053,0.16242665,1.0363859,1.0770925,0.8606336,1.0750546,1.1359165,1.2405844,0.82096386,1.2647685,1.1994778,0.89934665,1.1470989,0.61926955,1.0819706,0.93277633,0.68477577,0.69908285,1.3958116,1.2195507,1.010717,1.0097454,0.42177057,1.0231788,0.98830235,1.5340068,0.54836476,1.007144,0.6396344,0.95160586,0.9129959,1.352814,1.2461011,0.90878755,1.3366075,1.0399145,0.9632142,1.1640731,0.23715532,0.73556894,0.69082457,1.3865104,0.9642111,1.1404269,1.1370758,1.3315263,1.1893259,1.1708032,0.9913323,1.3450452,0.80402946,1.2660949,1.3703673,0.3188818,0.8593209,0.5128183,1.1601672,0.8731481,1.4511737,0.63203156,1.241692,0.8620467,0.7615607,1.3920677,1.05921,0.8599747,0.62420714,0.7549809,1.2872698,1.1121603,0.9376782,0.9716217,0.8167826,1.139102,1.1317757,0.97333944,1.2610347,1.3640158,1.0112383,1.0990751
bird,0.69162923,1.0968405,0.6831316,1.3702397,0.7101532,0.796378,0.70044494,1.0779046,1.0410284,1.3650792,0.8780381,1.414397,1.3283477,0.0,1.395284,1.3104763,0.94441384,0.8055483,0.83030486,1.2022791,1.0004705,0.8661971,0.88824093,1.0087942,0.737287,1.3280215,1.1688862,1.2101866,0.74346375,1.1503019,1.2509717,1.0542687,1.4175715,1.0224653,0.70917684,1.2414205,0.86292297,0.8881056,0.95361876,1.0581588,0.96462446,1.318018,1.0974246,1.2800456,0.95210165,1.0237975,1.1400834,1.1223831,0.5927307,0.7983191,1.108906,0.8682549,0.4248258,1.1346807,0.98789716,1.1693639,1.0596006,0.9305046,1.3421677,1.2200717,0.49914747,0.5453085,1.1308429,1.1053145,1.5190651,1.1143408,1.2227906,0.8171042,1.2279977,0.7760918,1.2299817,1.099682,1.1380779,0.90876794,0.8882996,1.2101527,0.9340142,1.1088903,1.2328479,0.30917782,1.3480002,1.3709129,1.2079161,0.8666011,1.0330276,0.970307,0.77982855,0.7446405,0.6795976,0.6291647,0.9827185,0.86533254,1.3693991,0.25488484,0.740078,1.3937148,1.0524127,1.3713033,1.032797,1.2442257,0.9583263,1.2705972,0.8951383,1.1942431,1.0810143,0.86013556,0.88708305,1.0647025,1.2645957,1.1868724,0.71411,1.0645986,0.98903424,0.9311867,1.0962827,0.7163857,1.0482525,1.0585239,1.0155563,0.81138194,1.1626904,0.81911314
blanket,0.8747374,1.1159074,1.5072193,0.49285263,1.3670206,1.4235251,1.4199631,1.0637449,0.9310116,0.2077527,1.4910085,0.38178992,0.5040271,1.395284,0.0,0.76438046,0.8254099,1.4901475,1.4731417,0.55575585,1.2726994,1.2291446,1.1272291,1.4281707,1.2867022,0.8133197,0.54543936,0.8910051,1.4083024,0.56024843,0.6956718,0.95270216,0.30270773,0.86312294,1.5847045,0.5781086,1.4969953,1.3718978,1.0906503,0.68470085,0.9050523,0.81043124,1.1723523,0.6515872,1.2732636,0.82747257,0.8592981,1.3204219,1.1684338,1.3062011,1.0141205,1.3732952,1.2014152,0.7511013,1.3922491,0.8781507,0.8590432,1.1747787,0.7452146,0.8756298,1.4330525,1.1280034,0.721591,0.84074473,0.43080866,0.98459905,0.7575309,1.5388035,0.6088168,1.09129,0.7021347,0.71609104,0.957963,1.3670039,1.2238674,1.2633841,1.4778835,1.053169,0.9151631,1.2299687,0.42991436,0.74851716,0.48954856,1.5448368,1.0229661,1.1113404,1.1746066,1.3978345,1.313227,1.1445799,1.0103242,1.4122111,0.70267797,1.3588052,1.381041,0.47497725,0.9503765,0.80954814,1.30302,0.60400283,1.37096,0.34266305,1.465922,0.5056107,0.9608054,1.5331533,1.1285675,0.7610356,0.53631574,0.52793705,1.3888788,1.3689799,1.225876,1.1669524,0.8018117,1.2251215,0.9727936,0.9892609,1.2663677,1.5449107,0.84612256,1.0622171
boat,1.0193948,1.2013451,1.3192339,0.7493042,1.2730644,1.1734924,1.3665004,1.0990517,0.9787749,0.6789542,1.1323427,0.62021065,0.885852,1.3104763,0.76438046,0.0,0.9783672,1.3059638,1.0871934,0.8167019,1.1791981,1.0327008,1.0628572,1.0775917,0.912665,0.92505497,0.8050705,0.80214727,1.2649755,0.98053664,0.60882264,0.7974728,0.68650746,0.98662096,1.2683941,0.7752959,1.2706633,1.2640893,1.1131823,0.92168516,1.1278566,0.62732613,0.8325199,0.94870335,1.2066793,0.9108723,0.94508934,1.1527308,1.1462123,1.0274028,1.111125,1.0818837,1.2459892,0.8751861,1.1444416,1.1359969,0.5485545,1.1934063,0.8533435,0.9465376,1.3004093,1.1688478,0.78371966,0.9695489,0.74419796,0.8442218,0.71891856,1.0978419,0.8758528,1.0940974,1.0467895,0.89371574,0.9439461,1.2341082,1.1413236,1.0496099,1.2146213,0.9712971,0.68125534,1.3128941,0.8421447,0.85008025,0.8113074,1.1187562,0.96616566,1.1015332,1.1875858,1.1649501,1.1131637,1.1652639,1.2306466,1.1181394,0.62642,1.307572,1.0689352,0.8879092,1.120953,0.92685986,1.0507209,0.76163745,0.9166932,0.77236223,1.3621109,0.8040338,1.1873169,1.102634,0.9891684,1.0626442,0.85174936,0.7714455,1.2021207,1.2662203,1.143691,1.1080337,1.1349025,1.246995,0.9849623,0.66191244,1.0296918,1.309439,0.4784702,1.1128005
book,0.7150988,1.1681936,1.1882122,0.823588,1.1578199,1.1635895,1.1923398,0.97200364,0.89389676,0.7962264,1.3455832,0.99834967,0.9190006,0.94441384,0.8254099,0.9783672,0.0,1.182947,1.241778,0.45227492,1.1747744,0.9763359,0.9917865,1.3544027,1.0074184,1.1384467,1.1091149,0.9836553,1.0756985,1.0794535,0.975185,1.1293811,0.98707664,0.86379313,1.2384477,0.76878065,1.1964206,1.3214543,1.070864,0.87147343,0.7929423,1.0565885,1.1252172,0.97424173,1.2042613,1.0490596,0.92907125,1.2271352,1.1983752,1.0238156,1.290664,1.2108315,0.71913415,0.8778063,1.2385964,1.17343,1.0478004,0.75090086,0.9663673,0.7650666,1.1426533,0.64685,0.87277675,1.2495202,1.100605,0.67244685,0.88621855,1.2747936,1.0568501,0.9592671,1.1323174,0.92113596,0.9177694,1.223233,1.2941457,1.2213068,1.2836207,1.106342,1.0501283,0.8787488,0.6962724,1.2882864,0.5865373,1.1866059,0.8119188,1.1333416,0.9907627,1.0861007,0.8947083,0.79278266,1.096945,1.2396536,0.9813247,0.79748225,1.0942369,0.89722985,1.0875624,1.1877528,1.2423952,0.90633595,1.2805475,0.6449584,1.410733,0.90044737,1.1781023,1.2135686,0.9739063,0.78137183,0.98182076,0.31999063,1.061189,1.2828512,1.1573256,0.80257493,1.1521075,0.68465006,0.8588764,0.97538537,1.0392967,1.2289143,1.0358641,0.8442417
bottle,1.3228799,1.0269438,0.40022564,1.4689926,0.35373127,0.5765055,0.53461444,0.98819953,1.1039118,1.4596688,0.31087893,1.4656103,1.4660172,0.8055483,1.4901475,1.3059638,1.182947,0.0,0.27040005,1.4168911,0.9937391,0.83508605,0.7851447,0.47765958,0.75481564,1.2335263,1.2834616,1.0137125,0.5584343,1.2481079,1.3175595,1.1314785,1.4269754,1.2563145,0.20105124,1.3724277,0.06532562,0.5255374,0.94488704,1.3245485,1.1182015,1.2026894,0.9646847,1.3285009,0.9074656,1.061886,1.1681572,0.8486694,0.9584421,0.7457149,1.1083674,0.8723239,1.0373235,1.2482572,0.7850221,1.2079941,1.0593526,0.925813,1.2841458,1.3825289,0.34411198,1.0175784,1.2644597,0.9986037,1.4338748,1.1139421,1.2715046,0.3584293,1.3350432,1.0054393,1.3658928,1.2462617,1.1726712,0.2734083,0.53574634,0.97931814,0.4954757,1.0173372,1.1836439,0.74688965,1.4650846,1.2550342,1.4671826,0.47408795,1.1143303,0.65253997,0.9456464,0.63427913,0.87971723,1.0254985,0.8580383,0.5474711,1.339588,0.752934,0.90238935,1.4243202,1.2060611,1.2808783,0.8339063,1.275601,0.45678413,1.4422718,0.46783006,1.3245046,1.0725423,0.61041784,1.034807,1.2182046,1.2548528,1.4086632,0.6292703,0.77237093,0.8921237,1.0408647,0.9672802,0.7771094,0.95062405,1.1058481,0.7484205,0.3969273,1.0937375,1.0819459
