,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jeans,knife,ladder,lamp,meat,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,sink,slipper,snow,soap,sock,spoon,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0432156,0.92775047,1.1720169,0.9064406,1.1047788,0.79690266,0.9843173,1.0655651,0.9797558,1.3285705,1.0683383,0.74181396,0.5781609,0.90323985,0.77784044,0.82142574,1.1097673,1.2743065,0.8583038,0.98926383,1.1698995,0.7320186,1.1401898,0.9936639,1.1626762,1.1019078,1.1081214,0.7864657,1.0156633,0.8812606,0.87749135,1.1163235,1.0013971,1.1424749,0.8946158,1.1876122,0.6411996,0.92635244,1.1858366,0.92941165,1.0405073,1.1067206,0.9796171,1.2832931,0.9665453,0.98739773,1.0552999,1.161443,0.27528465,1.11343,1.2159417,1.1615708,0.96334887,1.0608735,0.9519894,1.2064329,1.1525378,0.51528853,1.0734819,1.0853765,1.274264,1.0413185,1.1133752,0.92130893,0.8041223,0.883651,1.0716107,0.9324384,1.2787642,1.2980111,1.2314792,1.2049427,1.2182305,0.8624364,0.95290655,1.1011966,0.74891794,1.2738873,1.300056,1.0425972,0.9911994,0.94982123,0.8809043,1.116157,0.49155772,0.99205065,1.0606511,1.1980505,1.0906892,0.90888256,1.00317,0.98490226,1.0522411,0.91294324,1.0808699,0.9602732,1.1755587,0.9910122,1.0949024,1.3209894,0.9803928,1.124219,1.2794428,1.1637254,0.96079457,1.053645,0.9744472,1.0693415,1.3623486,1.0319102,1.0345373,1.2299149,0.7172003,0.8240125,0.88862604,1.0083467,1.059148,1.3071859,1.0057712
ankle,1.0432156,0.0,0.8971009,1.1662748,0.947245,0.75093514,1.1477333,0.9376952,1.2328813,1.1900327,0.8975784,1.2207941,1.1434191,0.95164,1.0909936,1.133948,1.1728313,0.88746625,0.95607764,1.2029483,1.0429491,0.89821225,1.0449791,0.9068081,0.84136844,0.91718316,1.0768392,1.1370951,1.1069242,0.89076024,1.128923,1.074285,1.2158778,1.0583341,0.91992164,1.1960233,0.94412726,0.9643883,0.9633831,1.0968232,0.88176465,0.91568696,0.8951094,1.1201257,0.92631,0.90588117,0.921173,0.9426005,0.8711324,0.91682637,0.9556824,0.98167807,0.72637,0.9909199,1.2639915,1.1326575,1.1727815,0.9878937,0.9117386,1.1161736,1.0039754,0.94261485,1.1411928,0.79150546,1.106299,1.2277626,1.1039633,1.1344289,1.0567756,0.91839325,0.895245,0.9538418,1.0238146,1.0324768,0.95580184,1.0808575,1.1000621,1.1785325,0.91246545,0.91959554,1.1618066,0.8801806,1.0566219,1.0040418,1.0024272,0.91928184,1.0224,0.68600285,1.0817287,1.0030043,0.98061025,1.1254764,1.1065348,0.7931664,0.8443553,1.1617744,0.510485,1.0606109,1.0953662,0.93217117,0.66324514,1.0980473,1.0600679,0.91005826,0.8590671,1.1502252,1.2209907,1.1874292,0.7962391,0.82546085,1.0231017,1.1654884,0.82963717,1.0269184,1.0433841,1.1203035,0.7444097,1.0820243,0.74619806,1.138114
apple,0.92775047,0.8971009,0.0,1.2688379,0.95519453,0.8476,0.97616637,0.9885353,1.3671553,1.3774872,1.0848248,1.4584584,1.298461,0.9748149,1.3795574,1.1241032,1.1882973,0.6821621,0.8126242,1.331953,0.94248176,1.0734943,1.0402821,0.9466621,1.0410442,0.5611932,1.1029372,1.3217051,1.143076,0.8365136,1.1354312,0.93405116,1.3823643,1.119745,0.4730093,1.2619919,0.6584967,1.1313777,0.891893,1.3498912,1.1422651,1.2446386,0.42601871,0.8731737,0.8322325,0.57572246,0.74743986,0.92969805,0.5936922,0.69612503,0.91099125,0.5426475,1.1424468,0.73250675,1.0939473,1.2031364,1.1427155,0.99601656,0.9747375,1.3062011,1.3290884,0.8500893,1.3620468,0.74439645,1.124361,1.175241,1.2565813,1.1654058,1.0353955,0.47258627,0.68304515,1.0144638,0.7822331,0.9787939,0.38803828,1.2840533,1.24054,1.3019468,0.61659914,0.6013034,1.2121162,1.098737,1.0752815,0.98500335,0.81496346,1.041778,1.3954709,0.7305045,1.3193903,1.0892719,0.8652729,1.1959466,1.1768494,1.1189944,0.7387842,1.2692497,1.0461801,1.1527107,1.1690834,0.98096097,0.5967858,1.1697419,0.7818112,0.7991871,0.65062106,1.2577374,1.2882732,1.3534484,0.60418415,0.7944833,0.8016267,1.102386,0.7765611,0.82092875,1.0839697,1.1592696,1.0055851,1.2506657,0.7223191,1.260952
arm,1.1720169,1.1662748,1.2688379,0.0,1.2092447,1.208508,0.99814093,1.281461,0.7415348,0.70934236,1.0792538,0.6130533,0.78719556,1.1745002,0.73277944,1.0197579,1.1719561,1.2764062,1.2555629,0.9294555,1.0897139,0.98661554,1.0114065,1.0886617,1.1600875,1.0950581,0.85429054,0.87125254,0.9055563,1.1794614,1.0174317,1.0294296,0.6884589,0.99985176,1.3376598,0.8903964,1.273351,0.88167,0.9762592,0.6945102,1.1773328,0.73490393,1.2505697,0.77471083,0.8868721,1.2900312,1.2228804,0.9093737,1.2939534,1.2876165,1.1852393,1.0944382,0.7198539,1.2004504,0.66741073,0.9240584,0.6487083,1.1810309,1.0725993,0.6628985,0.7705003,1.2092669,0.7603338,1.2532244,1.037974,0.91192067,0.6771854,0.8798805,1.0443889,1.1708639,1.1295805,0.8709358,0.9211877,0.9824405,1.1318496,0.72388446,0.6206142,0.96909225,1.2470464,1.2071265,0.81268287,1.180385,1.0558603,1.0101395,1.2760302,1.1704707,1.0121641,1.2481067,0.80462074,0.9920093,1.1301498,0.86825323,1.0251775,0.82762843,1.1939025,0.5313639,1.1945167,0.93276364,1.0825816,1.1251591,1.194843,0.942558,1.1104921,1.138058,1.296165,0.9594421,0.66466427,0.76846564,1.3091614,0.9023064,1.1173398,0.9695618,1.1255168,1.3108956,1.191892,0.9372462,1.1646161,1.0312968,1.2076879,0.7294231
ball,0.9064406,0.947245,0.95519453,1.2092447,0.0,0.56784946,0.90046495,0.94476634,1.0127606,1.0306207,1.069658,1.0830241,0.9655198,0.91109324,0.99559087,1.0251449,0.8625227,0.9907817,0.97740877,1.0061153,1.048329,0.9644588,0.9192208,1.0471852,0.92949224,1.1146278,0.93589324,1.0495055,1.0267613,0.9097806,1.0919092,0.99368876,1.0331042,1.0983869,1.0872146,1.0743984,0.99387157,0.95641357,0.98120886,1.197976,0.9213893,1.0352734,0.8748551,1.0366242,1.1475405,0.9719036,1.006984,1.1277502,1.0872815,0.91595834,0.9524797,1.1545775,0.8906647,0.89895695,1.0467298,1.0931927,1.087672,0.51435614,0.9697953,1.1401772,0.9852524,1.0533698,1.1428571,0.88453585,1.0935009,0.7538375,0.9257814,0.9640297,1.056492,1.1313515,1.1096709,1.1658895,1.093189,1.146693,0.89772457,1.0374578,1.0938933,0.9143534,1.0933192,1.1140765,1.0092497,0.974592,1.0827283,1.0415343,1.0187618,0.87337744,0.83268434,0.9363024,1.1801885,0.9769387,1.0369227,1.1249908,1.0407156,1.1096193,0.9384902,1.107498,0.9051759,0.96908915,0.91630214,0.90090144,1.0064236,1.0266585,1.0608822,0.9716848,1.0797986,0.91103685,1.1031864,1.0877516,0.83885765,1.12635,0.9509399,1.0054723,1.0781155,0.8088249,0.93982583,1.0096287,0.9456715,0.98342526,1.01761,1.1087393
balloon,1.1047788,0.75093514,0.8476,1.208508,0.56784946,0.0,1.2444627,0.8300011,1.1856114,1.2655323,0.90727437,1.2796135,1.3058224,0.8490936,1.2540202,1.1230092,1.1165149,0.681494,0.79922414,1.2401377,1.1360962,0.8319382,1.0692012,0.8475986,0.85289615,0.983707,1.0234891,1.1391528,1.1123165,0.7990956,1.2076312,0.9838979,1.2303159,1.1782966,0.75754607,1.1531658,0.6422404,1.1320076,1.0202405,1.1364801,0.93398005,1.0551875,0.6213745,1.1377504,0.97205466,0.79248923,0.69914734,1.0110152,0.7629952,1.0010235,0.67676604,1.0063735,1.0213892,0.8930906,1.2583791,1.1630154,1.2204144,0.82943535,0.93743646,1.3056269,1.1662713,0.8305644,1.1242733,0.55119747,1.1626425,1.1744355,1.1693256,1.0944743,1.1737674,0.8529595,0.7722076,1.1322643,1.0521189,0.951372,0.9019067,1.2361488,1.2817912,1.2415694,0.7584505,0.7866838,1.1931514,1.0463073,1.1601312,0.9264842,0.92308766,0.9287407,0.97057474,0.89464664,1.0563275,1.0982246,0.8942105,1.1836833,1.1103342,1.1432028,0.809094,1.3034337,0.8931648,1.031746,0.9747476,0.92505705,0.7142435,1.0824488,0.98593605,0.7449863,0.75554705,1.0152521,1.3029797,1.261122,0.72296894,0.83786786,1.0429927,0.99118006,0.7707318,0.87123,1.0989823,1.1114168,0.7695246,0.85012805,0.7304896,1.1605417
banana,0.79690266,1.1477333,0.97616637,0.99814093,0.90046495,1.2444627,0.0,1.1599898,0.8398349,0.8568818,1.0726045,0.93078023,0.68197185,1.1021914,0.8694931,0.86881155,0.94944984,1.3175042,1.2184175,0.9144437,0.6893332,1.2666147,0.95204955,1.3759396,1.2440567,0.7923926,1.0834345,1.0827314,0.59383374,1.2747943,0.89019454,0.7817625,0.99960244,0.8720718,1.1332458,0.9313427,1.3734345,1.114494,0.86177987,1.2741348,1.1236961,1.0474182,1.1313871,1.0435491,0.95853317,0.99913526,1.2520163,0.9652426,1.2379646,0.8602271,1.1448212,1.1098858,0.9229912,0.62340444,0.92257607,0.8366879,0.70105666,0.9899487,1.1663326,0.98521626,0.9290255,1.0697237,1.1251334,1.2935202,0.9127764,0.5201781,0.533846,0.9266505,0.9102329,1.2302214,1.3082747,1.0270776,1.04535,1.2659168,1.0586932,0.9699466,0.84230644,0.82174814,1.1900522,1.1875863,0.7315373,1.1468995,0.9047393,1.1015602,1.0878376,1.1352525,0.9033779,1.1927816,1.2820184,0.93310446,1.1088998,0.90467536,0.9055732,1.0674005,0.95362395,0.9886401,0.9745425,0.8591801,0.9351371,1.223483,1.1405706,0.97656375,1.1593579,1.2086854,1.2381786,0.9474832,0.94396317,0.88988876,0.966819,1.150469,0.94499284,0.7585895,1.3561561,0.7966577,0.8625498,1.1095729,1.2198164,1.0434122,1.1969786,1.1389505
basket,0.9843173,0.9376952,0.9885353,1.281461,0.94476634,0.8300011,1.1599898,0.0,1.2155561,1.1780508,0.7804729,1.1281588,1.2413496,0.885118,1.0773238,0.97140205,0.8068154,0.65447676,0.6278851,0.9157537,1.2744471,0.66794705,1.1040072,0.53058493,0.75136614,1.2615507,1.0137136,0.9224525,1.0407639,0.6636702,0.9857579,1.0097687,1.1728977,1.2632402,0.7499631,0.7609105,0.6272699,1.0916464,1.0939034,0.80745804,0.7800591,1.1558242,0.848986,1.2400949,1.2732172,0.8593037,0.6430702,1.185295,0.7342992,0.93097794,0.59808743,1.153947,1.2114986,1.0236803,1.3228595,1.2633826,1.3827772,1.0078017,0.9258374,1.277375,1.3310378,0.7558202,0.8446661,0.5947335,1.1904685,1.0826689,1.2160306,1.2471001,1.2202914,1.035397,0.8452964,1.1528178,1.2591376,0.75753117,0.9796081,1.214303,1.3957047,1.1108239,0.8216866,0.85881525,1.1163027,0.70928645,1.2000604,0.83676004,0.9442945,0.9178824,0.6690552,0.64029694,0.7516161,1.0163966,0.8895986,1.2597172,1.1759303,0.92706317,0.8930967,1.3547019,0.8547188,1.2108514,0.8547842,0.8268776,0.93229735,1.017572,0.93918383,0.9043638,0.7024354,0.87150764,1.3231776,1.1753633,0.8811976,1.115918,1.1580315,1.1011167,0.66772246,0.73229486,0.7517321,0.9903867,0.7388823,0.7397648,0.8937297,1.0286293
bathtub,1.0655651,1.2328813,1.3671553,0.7415348,1.0127606,1.1856114,0.8398349,1.2155561,0.0,0.24888504,1.1088254,0.5401985,0.6313479,1.1301829,0.49197835,0.86624384,0.95690364,1.2954499,1.3165152,0.8500257,1.14966,0.99453735,0.95537245,1.203188,1.2221103,1.2100501,0.7884024,0.62757933,0.9316544,1.2857456,0.82543725,1.1594149,0.23787564,1.1102252,1.4502115,0.71146953,1.3423939,1.0098128,0.9971276,0.8693073,1.087698,0.76915014,1.3899008,0.9270671,1.116904,1.3300467,1.3220752,1.0366516,1.4077296,1.3093579,1.0649273,1.2434886,0.7596936,1.1522346,0.7027385,0.982214,0.7720711,0.8810062,1.2016629,0.6341948,0.6940577,1.3340973,0.81030047,1.3590564,1.0805054,0.6932147,0.76943564,0.64533126,1.1665863,1.3222446,1.300485,1.0219272,1.1122229,1.1037812,1.2650393,0.5857193,0.63887405,0.7158068,1.3490624,1.3181849,0.8460115,1.0762483,1.1806352,1.0997375,1.2645767,1.1636605,0.8730165,1.3536155,0.9118767,0.78350925,1.2435497,0.9683527,1.0046173,0.9730321,1.2987893,0.5840867,1.0249128,0.7231203,0.93630624,1.0246631,1.2717805,0.8390056,1.1267607,1.2239382,1.4087989,0.7611284,0.5562147,0.5682367,1.1949998,1.1026785,1.0299126,0.9210956,1.296921,1.0922847,1.0162274,1.0013646,1.2326167,0.88992417,1.318723,0.7657379
bed,0.9797558,1.1900327,1.3774872,0.70934236,1.0306207,1.2655323,0.8568818,1.1780508,0.24888504,0.0,1.1943233,0.27467966,0.5753071,1.2019758,0.17164898,0.69873273,0.919239,1.4273294,1.3987662,0.7380916,1.1876659,1.1969805,0.9925248,1.2734655,1.1984575,1.2947377,0.6866689,0.55559486,0.8210151,1.3529369,0.66263443,1.0996796,0.19105661,1.1182543,1.5265664,0.54334366,1.4777188,0.9398045,1.1125283,0.82814634,1.054999,0.7330719,1.4464538,0.88002974,1.2412757,1.3552792,1.4010458,0.99879503,1.5455425,1.348336,1.2441485,1.3211522,0.8421599,1.2627567,0.71835476,0.91085064,0.93050784,1.0706663,1.2421508,0.38853222,0.68826693,1.4805992,0.6762173,1.4589813,1.0383188,0.7307797,0.7137578,0.5167054,1.1871792,1.3646309,1.4355247,1.2037932,1.186117,1.1701239,1.2587084,0.48080635,0.6200187,0.6238598,1.4816914,1.4665928,0.87062585,1.0659677,1.1760232,1.1062102,1.3315926,1.2020634,0.8923458,1.3408518,0.8838215,0.6523173,1.3713558,0.9044777,0.9734013,0.95168024,1.3509119,0.462371,1.080573,0.7977141,1.1077338,1.1015522,1.4455872,0.67531973,1.059837,1.3888643,1.5595919,0.72293663,0.46128833,0.3544563,1.3424965,1.3005533,1.1189389,1.0367613,1.3599815,1.0786084,0.956626,0.9424946,1.2318769,0.9712564,1.4589528,0.59864116
belt,1.3285705,0.8975784,1.0848248,1.0792538,1.069658,0.90727437,1.0726045,0.7804729,1.1088254,1.1943233,0.0,1.0099132,1.3243694,1.1942289,1.1160597,1.2201422,1.0285056,0.8565801,0.69911486,1.0545925,1.1073184,0.72125566,1.2056605,0.7038145,1.0706198,0.84543216,0.8680552,0.98874545,1.1861392,0.97631305,1.1628833,0.8987098,1.0661567,1.1643856,0.62033296,1.1901386,0.8227907,1.1879519,1.0675372,0.82030797,0.88029665,1.1430213,1.015128,1.1571392,0.64736944,0.92947614,1.0412413,1.060417,0.82265687,1.2311805,0.802141,0.694319,0.93417263,0.8758621,1.1211166,1.3195335,0.8802321,0.6883136,1.1246248,1.0733833,0.85731465,0.46108258,0.9871264,0.9252678,1.3038645,1.1449246,1.1395717,1.2443458,1.144092,0.816062,0.5848152,0.4881515,0.7242409,0.6447954,1.2002251,1.2554567,1.0135106,1.2135103,0.5976063,0.63256353,0.9729609,0.9341572,1.2267513,1.1009418,1.0239638,1.0971789,0.843404,0.76735115,0.78250027,0.906649,0.90804404,1.2639456,1.2993381,0.7541337,0.89719105,1.1707466,0.8953756,0.8254546,0.7919961,0.8734007,0.5453384,1.1941416,1.0654998,0.6692957,0.7700169,1.1718669,1.1897032,1.3146777,0.8647822,0.6582284,0.9105222,0.87501806,0.64785755,1.1658623,1.1349877,1.1928736,1.0453908,0.7015642,0.5747396,1.1035013
bench,1.0683383,1.2207941,1.4584584,0.6130533,1.0830241,1.2796135,0.93078023,1.1281588,0.5401985,0.27467966,1.0099132,0.0,0.7425462,1.1850643,0.3311091,0.81663954,0.82855797,1.4315312,1.2844186,0.6479116,1.1406934,1.1274991,0.97864705,1.1638019,1.1285577,1.3018092,0.77539515,0.40168405,0.9276212,1.3215218,0.7988549,1.0015093,0.33776534,1.0560452,1.4954666,0.56349224,1.4525051,0.86310494,1.0738864,0.5819707,0.87982255,0.8422382,1.4671631,0.92279327,1.2548819,1.4244133,1.4151258,1.1379962,1.4649615,1.3263683,1.1883262,1.3201737,0.89304346,1.3073864,0.73376536,0.89410895,0.9629047,1.0929221,1.1773976,0.39506984,0.6604293,1.2914472,0.48555255,1.433927,0.9880421,0.87136805,0.78882784,0.69179356,1.051154,1.3847533,1.3905973,1.1275148,1.1720488,0.99317694,1.3093922,0.6600404,0.60862124,0.6962817,1.4699843,1.4858552,0.796154,0.9637362,1.090142,1.047998,1.2577047,1.149321,0.8049626,1.2694511,0.6240904,0.7083731,1.2617972,0.8248934,0.97627956,0.85163033,1.3314626,0.5712072,1.2034879,0.8904754,0.96758115,1.0113126,1.4689577,0.8279063,1.1156391,1.3807709,1.455646,0.72270125,0.5602722,0.37567806,1.3660543,1.3246719,1.1737207,1.0742866,1.2914604,1.140933,0.8658211,0.9050544,1.1858404,0.87479997,1.463545,0.6237123
bib,0.74181396,1.1434191,1.298461,0.78719556,0.9655198,1.3058224,0.68197185,1.2413496,0.6313479,0.5753071,1.3243694,0.7425462,0.0,1.0443755,0.5900276,0.73353744,0.80069315,1.4395269,1.4704798,0.7497281,1.0435452,1.304183,0.875335,1.4401605,1.1561986,1.2596393,0.9591239,0.8753863,0.66909146,1.2826071,0.78409594,1.0590597,0.7230774,0.9702216,1.5326235,0.6833738,1.4902923,0.9085083,0.86129713,1.0727593,1.1958172,0.6077657,1.415024,0.81035554,1.2221009,1.2519939,1.2507284,0.98134124,1.4656271,0.9434339,1.2667462,1.3137057,0.75521076,1.041471,0.60696733,0.7682402,0.80103284,1.1191145,1.0553446,0.7082673,0.7241065,1.4481161,0.8963357,1.4000105,0.92572856,0.6189225,0.45652366,0.73667693,1.0125748,1.4147513,1.4976647,1.2116914,1.1678431,1.3642683,1.1728079,0.36194563,0.6686886,0.4938532,1.522027,1.4795285,0.832689,1.0973461,0.99616796,1.0202918,1.3185658,1.0141416,0.90075684,1.4297476,1.1026138,1.0099356,1.2509216,0.8189417,0.880322,0.9317724,1.2261157,0.4840551,0.98051256,0.87381464,1.118901,1.3645313,1.4466828,0.8364613,1.219346,1.385041,1.5034878,0.7559986,0.4949572,0.605705,1.2630055,1.2915874,1.0576148,0.91322446,1.5005628,0.8917709,0.8691626,0.80670345,1.1546624,1.1469479,1.4308705,0.81834984
bird,0.5781609,0.95164,0.9748149,1.1745002,0.91109324,0.8490936,1.1021914,0.885118,1.1301829,1.2019758,1.1942289,1.1850643,1.0443755,0.0,1.1521081,0.97355646,0.8950061,0.9910638,1.1041582,1.0082657,1.1020784,1.0376673,0.5856575,0.99649656,0.8654189,1.1993302,1.1362071,1.1408565,1.0595115,0.8574796,1.0824802,0.9447822,1.2082454,1.0213253,1.0260524,1.0331179,0.9718986,0.7617763,1.1146411,1.092292,0.8051529,1.0747839,1.0081948,1.1178787,1.1886847,0.9417516,0.80666274,1.1306782,0.915269,0.40397024,0.98705685,1.1546161,1.2184865,1.0116631,1.197262,1.025005,1.2566984,1.1287585,0.5791161,1.2614816,1.1941502,1.0158335,1.0330495,0.8735276,0.94016945,1.1655488,1.208977,1.0914181,1.0176191,1.156136,1.1277137,1.154969,1.2093484,1.1278943,0.95272,1.1188291,1.2337925,0.9063227,0.98343474,1.0165077,1.1379725,0.96799606,0.9782453,0.8529359,0.9805511,0.64586353,0.9964032,0.9136698,1.0928395,1.1370987,0.7266855,1.0400562,0.9418634,1.1390707,0.8968726,1.1897377,1.0161566,1.1639547,0.94836,0.9522851,1.1300753,1.041021,1.0306947,1.0640733,0.91690564,0.9912346,1.1429248,1.0754236,0.9465561,1.2142904,1.1221035,1.0252701,1.0712167,0.9592059,0.8858334,0.9338615,0.82490116,0.9991373,1.0616864,1.0209075
blanket,0.90323985,1.0909936,1.3795574,0.73277944,0.99559087,1.2540202,0.8694931,1.0773238,0.49197835,0.17164898,1.1160597,0.3311091,0.5900276,1.1521081,0.0,0.7443712,0.850816,1.4066763,1.3661394,0.6404931,1.1603657,1.1278379,0.9286328,1.199091,1.1593642,1.337999,0.6755327,0.686646,0.82233495,1.3245922,0.6636504,1.0961463,0.43107355,1.0866944,1.5053895,0.6233417,1.4644281,0.9427465,1.1807338,0.8321469,1.0170461,0.6538675,1.456016,0.9145026,1.3071907,1.2540201,1.3851357,1.1401684,1.5073197,1.2990968,1.2636229,1.3197885,0.803461,1.2711949,0.74902165,0.90517175,1.033213,1.0460844,1.1682215,0.45313603,0.61876667,1.4045818,0.7362958,1.4116757,1.043361,0.758783,0.74485004,0.6697147,1.1688726,1.3563168,1.4039237,1.1135294,1.1936882,1.1518722,1.2178265,0.53097874,0.6079976,0.54600656,1.4711976,1.4711142,0.89979196,0.98412097,1.1332002,1.0822548,1.3396904,1.1023473,0.8242916,1.2654195,0.8465656,0.6488699,1.3330497,0.91432464,0.9648282,0.7433194,1.3460379,0.49573028,1.0926292,0.83053684,1.1168932,1.1292857,1.4454958,0.78861654,1.0398766,1.383146,1.5070114,0.8125181,0.5481968,0.4657023,1.3447945,1.3683574,1.1500762,1.1062305,1.2670331,1.1661706,0.9219753,0.9243856,1.195674,1.0059988,1.4594936,0.627649
boat,0.77784044,1.133948,1.1241032,1.0197579,1.0251449,1.1230092,0.86881155,0.97140205,0.86624384,0.69873273,1.2201422,0.81663954,0.73353744,0.97355646,0.7443712,0.0,0.8050629,1.2004012,1.2325037,0.79104054,1.0986059,1.295615,0.9045844,1.1896834,0.9865344,1.1916709,0.99963003,0.92184806,0.7782148,1.0682421,0.75777024,1.065749,0.93499875,1.0200181,1.225109,0.54546094,1.2373086,1.0037935,0.9472746,1.0096272,1.0559978,0.91332865,1.2715509,0.8565505,1.2325608,1.1913065,1.1751369,1.0536696,1.3216047,0.9558743,1.1714424,1.203367,1.2315695,1.1464692,0.89193285,0.8706508,1.077066,1.2627887,1.0406622,0.8888207,1.0672452,1.227687,0.8154704,1.2380177,0.87891835,0.86128545,0.88618314,0.76127356,1.0612915,1.2507755,1.3269544,1.294565,1.1717948,1.1895007,1.0639348,0.74565685,1.0467911,0.7249283,1.2424071,1.2536247,1.0362346,1.0862086,1.0008851,1.0094717,1.0811931,1.0326414,1.0737411,1.1828656,1.0539129,0.92688555,1.1883855,0.912265,0.8856536,1.1915861,1.1067442,0.8341014,1.1504093,1.035343,1.157899,1.1883216,1.3935757,0.73973215,0.99236,1.3512542,1.326235,0.8607129,0.7781663,0.6090522,1.2841928,1.3014212,1.0442843,0.9792118,1.3392291,0.6185887,0.77895725,0.82347167,0.9907439,1.0317506,1.2675481,0.62878263
book,0.82142574,1.1728313,1.1882973,1.1719561,0.8625227,1.1165149,0.94944984,0.8068154,0.95690364,0.919239,1.0285056,0.82855797,0.80069315,0.8950061,0.850816,0.8050629,0.0,1.0856168,1.0646446,0.519289,1.1246535,0.9842674,0.86270654,0.88997036,1.032248,1.2462806,1.2026367,0.8254884,1.0031971,1.0234494,0.8546041,1.0105836,0.9477718,1.0528727,1.074611,0.7909902,1.0588907,0.9585612,0.8773958,0.93187445,0.7620733,1.1272012,1.1931956,1.1649342,1.1660376,1.1728548,1.1042978,1.0826839,1.2537091,0.85608023,0.82481897,1.2421865,1.206127,0.8646626,1.1378744,0.99946755,1.0172234,0.99303895,0.92570347,1.0243894,1.0159312,0.8186455,0.84836924,1.1317422,0.98731863,0.9462043,0.996236,1.052789,1.0919716,1.2615196,1.2406054,1.1775937,1.2133591,0.9061787,1.1548918,1.032268,1.1108421,0.35572755,1.1162751,1.1557856,0.8691003,0.65019923,0.9978266,1.0214148,1.0746466,0.8307064,0.8716867,1.0241336,0.7838608,1.0409483,1.0576864,1.0016721,0.99491465,1.0178567,1.0522906,1.1176442,1.071446,1.0447724,0.85297394,0.98203564,1.2586879,1.073762,1.0027198,1.1423273,1.2382989,0.9227587,1.0166477,0.78383195,1.0503026,1.2654045,0.9740661,0.947796,1.1059287,0.7467325,0.4843117,0.8915633,1.0453144,0.9152081,1.1813598,1.0057528
bottle,1.1097673,0.88746625,0.6821621,1.2764062,0.9907817,0.681494,1.3175042,0.65447676,1.2954499,1.4273294,0.8565801,1.4315312,1.4395269,0.9910638,1.4066763,1.2004012,1.0856168,0.0,0.5510649,1.2521151,1.1996326,0.63053286,1.1932056,0.33546507,0.87027466,0.9119841,1.0238162,1.2143493,1.2336494,0.47379225,1.1554434,0.99840003,1.327197,1.2922292,0.33648992,1.2509842,0.11482906,1.2284422,1.134061,1.0201455,1.0188166,1.1991811,0.52015513,1.2227744,0.9869105,0.508527,0.5122727,1.1055764,0.34857118,0.9918304,0.5784314,0.8229682,1.2412566,0.74841607,1.3696094,1.3923392,1.3439322,0.76985353,1.017562,1.3325176,1.2436266,0.62725747,1.2291937,0.52405655,1.3113236,1.2036254,1.3784022,1.2922206,1.2498574,0.50323457,0.4451921,1.0344748,1.0206543,0.52199113,0.8079226,1.3394117,1.3395655,1.3838792,0.48624122,0.48419982,1.1538671,0.9571722,1.2506124,0.88066834,0.8269492,0.97560453,1.0337886,0.6545858,0.9008311,1.0634272,0.8322005,1.3856153,1.310816,1.0833731,0.7738898,1.4189231,0.995106,1.1265261,1.0015787,0.7330682,0.57598776,1.1493466,0.5943492,0.42737895,0.35770237,1.2602935,1.4088206,1.4209117,0.76206505,0.875986,0.9131991,1.0037789,0.455334,0.91910434,1.0732527,1.072432,0.85069734,1.0155052,0.58345133,1.2477272
bowl,1.2743065,0.95607764,0.8126242,1.2555629,0.97740877,0.79922414,1.2184175,0.6278851,1.3165152,1.3987662,0.69911486,1.2844186,1.4704798,1.1041582,1.3661394,1.2325037,1.0646446,0.5510649,0.0,1.057986,0.8385793,0.65203553,1.2160918,0.56399894,0.9742458,0.88134295,0.983311,1.2286869,1.1845423,0.73929864,1.2884763,1.0481504,1.3173641,0.8716136,0.5082066,1.2529852,0.43690926,1.1917014,1.3012477,1.0515966,0.84001863,1.2826082,0.55735725,1.2433032,0.9453891,0.7396189,0.7126187,1.1209626,0.5395408,1.1231413,0.66902685,0.88816905,1.2726492,0.9984714,1.347363,1.009659,1.2245433,0.792356,1.064921,1.3824263,1.3186942,0.5778363,1.2228831,0.64544463,0.9030211,1.1256549,1.398436,1.3319957,0.8979585,0.7064528,0.51831216,0.96183765,1.0052031,0.6177116,0.98014504,1.3362533,1.3692234,1.2571054,0.60095644,0.62750703,1.1092844,0.9358489,0.8106393,0.96216446,0.29194605,1.0851567,1.1122334,0.63989407,0.88990843,1.01401,0.823346,1.0087913,0.8829156,1.0816617,0.84517026,1.4029678,0.99561435,1.1154816,0.93053144,0.72061825,0.6371297,1.2463366,0.78817654,0.65028566,0.5148458,1.2995682,1.4014652,1.1934264,0.69870764,0.8476957,0.9983903,1.1523683,0.50787425,1.0771798,1.078598,1.1878664,0.9560881,1.0219657,0.67219675,1.2331041
