,rooster,fish,frog,alligator,cat,dog,face,hair,arm,hand,finger,toe,tooth,car,lamp,chair,bench,drawer,window,door,refrigerator,crib,bed,couch,table,bathtub,sink,clock,ball,balloon,orange,apple,hat,slipper,watch,nail,glasses,vacuum,shovel,scissors,spoon,knife,pencil,pen,crayon,plant,flower,bottle,cup,can,belt,basket,bucket,tape,bowl,plate,banana,cracker,pizza,glass,tray,box,book,paper,gum,toy,doll,mitten,glove,shoe,purse,pillow,towel,napkin,blanket,pajamas,bib,jacket,shirt,jeans,shorts
rooster,0.0,0.7079423666000366,0.6188184022903442,0.6462017297744751,0.6875029802322388,0.48606008291244507,0.8851532936096191,0.7326362133026123,1.0309593677520752,0.9485284090042114,1.0226094722747803,1.0160678625106812,0.8769243955612183,0.8685104846954346,0.9575707912445068,1.0434545278549194,1.0643190145492554,1.0534956455230713,0.9923354983329773,0.915650486946106,1.0469709634780884,1.065903902053833,1.0874171257019043,1.0347408056259155,1.1635113954544067,1.1893632411956787,1.2256062030792236,1.063679814338684,1.0726056098937988,1.0921978950500488,1.1298115253448486,1.0484354496002197,0.7353833317756653,0.8507943153381348,1.00626540184021,1.0663961172103882,0.9590919613838196,0.7557675838470459,1.0027748346328735,0.9434311389923096,0.9874900579452515,0.9290107488632202,1.0013262033462524,0.9715598821640015,0.970937192440033,0.4317883253097534,0.5514664649963379,0.9582342505455017,1.165127158164978,0.9779798984527588,1.012669563293457,1.0765193700790405,1.1841102838516235,1.1673239469528198,1.2698485851287842,1.2286019325256348,1.0371836423873901,0.9394696950912476,0.8978574275970459,0.924470067024231,1.2299413681030273,1.165421724319458,1.0825603008270264,0.9869170784950256,0.9326227903366089,0.9949997663497925,0.7219483256340027,0.741326630115509,0.7598047256469727,0.8244795799255371,0.9016481041908264,0.935026228427887,0.8077598810195923,0.8853209018707275,1.0087201595306396,0.998429000377655,1.0856223106384277,0.9005950093269348,0.8655536770820618,0.9226193428039551,0.7790355682373047
fish,0.7079423666000366,0.0,0.556609034538269,1.0522525310516357,0.8881177306175232,0.945609450340271,1.066144585609436,1.0455772876739502,1.3086442947387695,1.0662999153137207,0.8532338738441467,0.7082371711730957,0.47459250688552856,0.8606442213058472,0.6968804001808167,1.235735297203064,1.3563945293426514,1.1238797903060913,1.1963412761688232,1.2413456439971924,1.2842848300933838,1.3099321126937866,1.3537225723266602,1.3226873874664307,1.372617244720459,1.2660099267959595,1.222242832183838,0.6579622030258179,0.7282299995422363,0.7898253202438354,0.7154430150985718,0.6204756498336792,0.6375245451927185,0.45994019508361816,0.6221164464950562,0.5285205841064453,0.6658543348312378,1.1380071640014648,0.9059281945228577,0.890407383441925,0.838553249835968,0.9251666069030762,0.6115624904632568,0.4901599884033203,0.41496098041534424,0.7441336512565613,0.7451387643814087,0.6810040473937988,0.7148480415344238,0.844996988773346,0.5716443061828613,1.1460258960723877,1.0247235298156738,0.7176992893218994,0.9798104763031006,0.9844155311584473,0.8457502126693726,0.7965294122695923,0.94144207239151,1.197743535041809,1.2593786716461182,1.3175655603408813,1.0999666452407837,1.1312073469161987,0.6107451915740967,0.8524657487869263,1.064810037612915,0.9771488904953003,0.7927898168563843,0.9611387848854065,1.1543593406677246,0.9002518057823181,0.8218125700950623,0.7467861175537109,1.2779964208602905,1.2400860786437988,1.1948554515838623,1.2733991146087646,1.2060331106185913,1.230855941772461,0.9755963683128357
frog,0.6188184022903442,0.556609034538269,0.0,0.5057142972946167,1.1000475883483887,0.7309647798538208,1.0350444316864014,1.1461634635925293,1.284317970275879,1.0288225412368774,1.0216031074523926,1.0185884237289429,0.8366839289665222,0.8956871628761292,0.9646278619766235,1.2189548015594482,1.3057167530059814,1.1007596254348755,1.2330800294876099,1.2376347780227661,1.2645066976547241,1.0906329154968262,1.1959797143936157,1.2286410331726074,1.2296550273895264,1.1240676641464233,1.1090701818466187,0.7514932155609131,0.8854467868804932,0.8888136148452759,0.9723058342933655,0.8942165970802307,0.845084547996521,0.8611700534820557,1.0197237730026245,0.9829842448234558,0.9856398105621338,1.1324958801269531,0.9070327281951904,0.5844595432281494,0.8453837037086487,0.9629853963851929,0.8791804909706116,0.877233624458313,0.7700693011283875,0.8582719564437866,0.8232158422470093,0.966339111328125,0.9650254249572754,1.11226224899292,1.0404791831970215,0.9987366199493408,0.9947875738143921,0.8000473976135254,0.9952095746994019,0.9503766298294067,0.7976682186126709,0.7702035903930664,0.8789271116256714,1.107803463935852,1.0141037702560425,1.0276998281478882,0.8821431398391724,0.9893065690994263,0.684471845626831,0.6121019721031189,0.6932625770568848,0.8691152334213257,0.9129107594490051,0.9168551564216614,0.9933951497077942,1.1045228242874146,0.9499621391296387,0.9423417448997498,1.2133009433746338,1.1313035488128662,1.0524916648864746,1.1704902648925781,1.209593653678894,1.2195181846618652,1.1284546852111816
alligator,0.6462017297744751,1.0522525310516357,0.5057142972946167,0.0,0.654517412185669,0.3890455961227417,0.8437861800193787,0.9000339508056641,0.6585218906402588,0.7672820687294006,1.1908639669418335,1.29561185836792,1.2159230709075928,1.0731844902038574,1.3672019243240356,1.078721284866333,0.8463255763053894,1.0034241676330566,0.9762994647026062,0.9551650285720825,1.0368965864181519,0.6663132309913635,0.6470819711685181,0.8490051031112671,0.7984803915023804,0.7657407522201538,0.8905556201934814,1.204945683479309,1.2989954948425293,1.2681381702423096,1.3199312686920166,1.3725587129592896,1.2658225297927856,1.4159481525421143,1.4809825420379639,1.4973605871200562,1.4094161987304688,1.0102556943893433,1.039548635482788,0.7411192655563354,1.0612891912460327,0.9718858599662781,1.2796753644943237,1.3379006385803223,1.355870246887207,1.0221055746078491,1.1177607774734497,1.4068617820739746,1.4519251585006714,1.414023995399475,1.3897161483764648,0.9345582723617554,1.215203046798706,1.3542935848236084,1.1610918045043945,1.0299322605133057,0.9693775177001953,0.8029859662055969,0.6537522077560425,0.7037717700004578,0.7744112014770508,0.8121438026428223,0.8810288310050964,0.7123311758041382,1.0663095712661743,1.033448576927185,0.6575711369514465,0.5755319595336914,0.9854661226272583,0.9300029873847961,0.8150594234466553,1.0679678916931152,0.9735531806945801,1.0778566598892212,0.615419328212738,0.5896297693252563,0.6234909892082214,0.5245569944381714,0.766954779624939,0.6614579558372498,1.04445481300354
cat,0.6875029802322388,0.8881177306175232,1.1000475883483887,0.654517412185669,0.0,0.5064699053764343,0.71286940574646,0.6578088998794556,0.5541871190071106,0.7332589626312256,1.009674072265625,1.017127513885498,0.9428670406341553,1.026930332183838,1.1435747146606445,0.9877355694770813,0.7307188510894775,0.9933804273605347,0.8135557770729065,0.8156394362449646,0.9948369860649109,0.894885241985321,0.7296573519706726,0.7891937494277954,0.8660750985145569,0.8326337933540344,0.9537613391876221,1.2456570863723755,1.1782171726226807,1.1822150945663452,1.1903963088989258,1.223078966140747,1.1192169189453125,1.1069155931472778,1.1467593908309937,1.1675277948379517,1.123854398727417,0.9193902015686035,1.1490074396133423,1.1068475246429443,1.169555902481079,1.0143877267837524,1.23905348777771,1.165294885635376,1.2379355430603027,0.895614504814148,1.0669275522232056,1.2598809003829956,1.31130850315094,1.1134350299835205,0.9759120345115662,1.1488057374954224,1.2557588815689087,1.3433287143707275,1.2032948732376099,1.173541784286499,1.1945030689239502,0.9922208786010742,0.8255741596221924,0.7064105272293091,1.053561806678772,1.0662287473678589,1.1546993255615234,0.8909830451011658,1.0775940418243408,1.307845950126648,1.0145574808120728,0.6202285289764404,0.8733310699462891,0.9211838245391846,0.940762996673584,0.7906892895698547,0.963425874710083,1.036978006362915,0.5780897736549377,0.6058217883110046,0.754455029964447,0.5254154205322266,0.640491247177124,0.49349451065063477,0.7790787816047668
dog,0.48606008291244507,0.945609450340271,0.7309647798538208,0.3890455961227417,0.5064699053764343,0.0,0.7774754762649536,0.7392604351043701,0.7034351825714111,0.7924608588218689,1.0880297422409058,1.0386759042739868,1.076651930809021,0.9339635372161865,1.3189305067062378,1.0198191404342651,0.8259541988372803,1.08803391456604,0.9892256259918213,0.9582262635231018,1.0868287086486816,0.8916633129119873,0.7693939208984375,0.7657750844955444,0.9079737067222595,0.9556646347045898,1.0650948286056519,1.271529197692871,1.2422435283660889,1.2443581819534302,1.2464393377304077,1.2758357524871826,0.9858537912368774,1.0945168733596802,1.20265793800354,1.3162376880645752,1.178687334060669,0.9213714003562927,1.1091523170471191,1.023148775100708,1.152448296546936,1.0688797235488892,1.2453619241714478,1.229560136795044,1.2841002941131592,0.8780514001846313,0.9907132387161255,1.277713656425476,1.3914291858673096,1.1852812767028809,1.1311979293823242,1.0440093278884888,1.2516601085662842,1.3569059371948242,1.2561471462249756,1.1553795337677002,1.085633635520935,0.8871191143989563,0.7432062029838562,0.8347859978675842,0.968403160572052,1.006889820098877,0.9829010963439941,0.9005301594734192,1.0943217277526855,1.0831670761108398,0.5312105417251587,0.5116126537322998,0.7300382852554321,0.756632924079895,0.7213464379310608,0.7596246004104614,0.8164145946502686,0.9420222043991089,0.589837908744812,0.620477557182312,0.7188060283660889,0.5727989077568054,0.7146526575088501,0.6068357229232788,0.8215322494506836
face,0.8851532936096191,1.066144585609436,1.0350444316864014,0.8437861800193787,0.71286940574646,0.7774754762649536,0.0,0.23421579599380493,0.6966854333877563,0.790307343006134,0.9199604392051697,0.9868325591087341,1.014496088027954,1.0510984659194946,1.1282910108566284,1.0943183898925781,0.9853004217147827,1.0557448863983154,0.8531445860862732,0.880253255367279,1.03047513961792,1.0258135795593262,0.9420456886291504,0.9328972101211548,1.040152907371521,1.0132743120193481,1.0933210849761963,1.1119564771652222,1.1292792558670044,1.1424293518066406,1.102503776550293,1.1479789018630981,1.0438005924224854,1.1446993350982666,1.0518888235092163,1.0948768854141235,0.7617536187171936,1.050485610961914,1.2044868469238281,1.1393401622772217,1.1608550548553467,1.132595181465149,1.1653225421905518,1.1572980880737305,1.2008998394012451,0.956547737121582,1.0507261753082275,1.1980457305908203,1.2212488651275635,1.1945191621780396,1.1033167839050293,1.1974323987960815,1.245589017868042,1.2418997287750244,1.1895049810409546,1.194421410560608,1.2018227577209473,1.0165168046951294,0.9364766478538513,0.7566663026809692,1.131727695465088,1.1698310375213623,1.1527960300445557,1.0312926769256592,1.0740386247634888,1.266871690750122,0.9048731923103333,0.8570284843444824,0.9908338785171509,1.0269725322723389,1.0567905902862549,1.0254958868026733,1.1602520942687988,1.2109946012496948,0.8879350423812866,0.6968789100646973,0.7093281149864197,0.7429567575454712,0.5884835124015808,0.7309141159057617,0.8511874675750732
hair,0.7326362133026123,1.0455772876739502,1.1461634635925293,0.9000339508056641,0.6578088998794556,0.7392604351043701,0.23421579599380493,0.0,0.5723000764846802,0.7019045352935791,0.8924140930175781,0.9490451216697693,0.9903690218925476,1.074725866317749,1.073745846748352,1.0115591287612915,0.9378030300140381,1.0546860694885254,0.7483698725700378,0.7633506655693054,0.9633833169937134,0.993258535861969,0.9215319156646729,0.881913959980011,1.005278468132019,1.017403483390808,1.1084340810775757,1.1915138959884644,1.1611335277557373,1.1660481691360474,1.1410846710205078,1.1480433940887451,0.9662941694259644,1.1043301820755005,0.993808925151825,1.0727485418319702,0.7020704746246338,0.9169979691505432,1.2464993000030518,1.2077357769012451,1.1807740926742554,1.1407387256622314,1.1387474536895752,1.131063461303711,1.199952483177185,0.7455328702926636,0.9209617376327515,1.1476235389709473,1.251920223236084,1.1271955966949463,1.0450502634048462,1.187107801437378,1.2977852821350098,1.3312424421310425,1.252610206604004,1.26750648021698,1.233060359954834,1.0681676864624023,0.9248455762863159,0.7374221086502075,1.1705704927444458,1.1973466873168945,1.201047420501709,1.0299869775772095,1.0553359985351562,1.2956106662750244,0.9090043902397156,0.8382666110992432,0.9402798414230347,1.0579173564910889,1.0580697059631348,0.9523482918739319,1.1215500831604004,1.1983646154403687,0.8920203447341919,0.6241018772125244,0.6803874969482422,0.6869431734085083,0.39532268047332764,0.6412572860717773,0.6607502698898315
arm,1.0309593677520752,1.3086442947387695,1.284317970275879,0.6585218906402588,0.5541871190071106,0.7034351825714111,0.6966854333877563,0.5723000764846802,0.0,0.4428998827934265,0.912965714931488,1.0443845987319946,1.1940423250198364,1.2516133785247803,1.380053997039795,0.9340501427650452,0.6260201930999756,0.9832545518875122,0.8337923288345337,0.7970335483551025,0.8893420696258545,0.756831169128418,0.5723261833190918,0.6520103812217712,0.610289454460144,0.657741904258728,0.7903964519500732,1.3592286109924316,1.3318190574645996,1.3248052597045898,1.3078172206878662,1.3952959775924683,1.3444907665252686,1.4023053646087646,1.2587693929672241,1.3716034889221191,1.2690449953079224,0.942177414894104,1.1464133262634277,1.0715765953063965,1.1690593957901,0.9993219971656799,1.2493934631347656,1.3443279266357422,1.4177335500717163,1.1018671989440918,1.2152352333068848,1.401674509048462,1.4220151901245117,1.313624382019043,1.2275058031082153,1.0528520345687866,1.2522670030593872,1.4687618017196655,1.150367021560669,1.0690217018127441,1.14548659324646,1.0497044324874878,0.7508127689361572,0.6003384590148926,0.7660688161849976,0.8782642483711243,1.0071802139282227,0.7486609220504761,1.1325173377990723,1.3403242826461792,0.9322026968002319,0.6391903758049011,0.8723971247673035,1.0025256872177124,0.8796788454055786,0.9411839842796326,1.1291664838790894,1.2206498384475708,0.4915050268173218,0.2803531885147095,0.3674514889717102,0.3785105347633362,0.3048059940338135,0.28570395708084106,0.6777220368385315
hand,0.9485284090042114,1.0662999153137207,1.0288225412368774,0.7672820687294006,0.7332589626312256,0.7924608588218689,0.790307343006134,0.7019045352935791,0.4428998827934265,0.0,0.3820071816444397,0.648417592048645,0.8606294989585876,1.1957637071609497,1.301827073097229,1.125230312347412,1.0203499794006348,1.0754905939102173,1.0787752866744995,1.10581374168396,1.1829639673233032,1.0266499519348145,0.9831015467643738,1.0289216041564941,0.9371344447135925,0.8788217306137085,0.8994139432907104,1.205493450164795,1.125886082649231,1.111537218093872,1.0647820234298706,1.1516437530517578,1.1264729499816895,1.0923893451690674,0.9739054441452026,1.131021499633789,1.0127800703048706,1.1197850704193115,0.98984295129776,0.8696611523628235,0.9304842352867126,0.8201848268508911,0.9107003808021545,1.037150263786316,1.103796362876892,1.0875515937805176,1.1321687698364258,1.21856689453125,1.19331955909729,1.227239727973938,1.027434229850769,1.101131558418274,1.0956473350524902,1.212467074394226,1.0161328315734863,0.9647786617279053,0.9153805375099182,0.872096836566925,0.6587032079696655,0.6969884037971497,0.8406270742416382,0.9909532070159912,0.8892728090286255,0.7338342070579529,0.6826026439666748,1.1176568269729614,0.8393058180809021,0.49632686376571655,0.5934644341468811,0.8603110313415527,0.9078983068466187,1.0303666591644287,1.06794273853302,1.0848042964935303,0.8823211789131165,0.5057464838027954,0.4989573359489441,0.7394118309020996,0.7146776914596558,0.6874748468399048,0.8156788945198059
