,pony,horse,pig,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,bear,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,eye,mouth,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,grass,tree,snow,firetruck,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,stick,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,sandwich,chips,pizza,hamburger,muffin,meat,soup,applesauce,glass,coffee,dish,tray,box,book,paper,rock,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
pony,0.0,0.26122283935546875,0.44756168127059937,0.5130841732025146,0.5747448801994324,0.877164900302887,0.7366523742675781,0.7146555185317993,0.6435701251029968,0.7921919822692871,1.05338454246521,1.0959261655807495,0.8257772922515869,0.6722021102905273,1.0687549114227295,1.077377438545227,1.1322453022003174,1.0930085182189941,1.0753978490829468,1.0052845478057861,1.0349934101104736,1.0753141641616821,1.0344932079315186,0.9981136918067932,1.022146224975586,1.0775436162948608,1.056724190711975,1.1156471967697144,0.9193589687347412,0.9023923873901367,0.891394317150116,0.9287295937538147,0.9142453074455261,0.8942407965660095,0.9788190126419067,1.0521413087844849,0.9795632362365723,0.9928855299949646,1.1115344762802124,1.083261251449585,1.0941747426986694,1.0990105867385864,1.0767886638641357,1.008213758468628,1.0505964756011963,1.0564440488815308,1.0294127464294434,1.083932638168335,1.028871774673462,1.0266588926315308,1.0053969621658325,0.9353358745574951,0.9456342458724976,1.0738567113876343,0.9703572392463684,1.1191757917404175,1.052231788635254,0.8746543526649475,0.9891011118888855,0.9514985084533691,0.9718952178955078,0.9809102416038513,1.0127614736557007,0.9536728262901306,0.8335294127464294,0.8959168195724487,0.9303848147392273,1.0317511558532715,1.0412259101867676,0.9301736354827881,0.9376224875450134,0.9934918880462646,1.0304564237594604,1.033315896987915,1.0492634773254395,0.9983844757080078,0.8877203464508057,0.7965666055679321,0.9252443909645081,0.9504852890968323,0.9357999563217163,0.9892330765724182,0.9781869053840637,0.9712849259376526,0.8751285076141357,0.9010388851165771,1.0523236989974976,0.9652726650238037,0.938072144985199,1.0749760866165161,1.00746488571167,0.9677764773368835,0.9291490912437439,0.9922087788581848,0.9661970734596252,0.9946193695068359,0.9672954678535461,0.9538604617118835,0.9409036040306091,1.0446374416351318,0.9986762404441833,0.9286209940910339,0.9959917068481445,0.9090937376022339,0.9010894894599915,0.9255656599998474,1.0837867259979248,0.9287892580032349,0.8874593377113342,0.9385398030281067,0.9798243641853333,0.7935152053833008,0.9872555732727051,0.9729447364807129,0.9902733564376831,0.9924550652503967,0.9815200567245483,0.9762782454490662,1.0343297719955444,0.9335803985595703,0.9795089960098267,1.0743931531906128,1.0708342790603638,1.0241104364395142,1.0069619417190552,0.8799830079078674,0.7424964308738708,1.0398935079574585,0.9955852627754211,0.9693556427955627,0.9547257423400879,0.985401451587677,0.9957703351974487,0.9827624559402466,0.978665292263031,1.105225920677185,1.004551887512207,1.1550414562225342,1.006218671798706,1.1112399101257324,1.0522527694702148,1.0718272924423218,1.0728470087051392,1.122801423072815,1.1364930868148804,1.1202547550201416,1.1528738737106323
horse,0.26122283935546875,0.0,0.48792028427124023,0.5211252570152283,0.5652381777763367,0.8494031429290771,0.7567154169082642,0.7123590111732483,0.4892534613609314,0.7371551990509033,0.8872281908988953,0.9204018115997314,0.5859402418136597,0.58589106798172,0.863080620765686,0.8404960036277771,0.9181296825408936,0.9674644470214844,0.990236759185791,0.9289646148681641,0.9848865270614624,1.0791997909545898,1.0319397449493408,1.0599018335342407,0.9965373277664185,1.054101586341858,1.064400315284729,1.0906012058258057,0.8674742579460144,0.9067338705062866,0.9517142176628113,0.9632695317268372,0.9638987183570862,0.8569420576095581,0.9194476008415222,1.0733637809753418,0.8294049501419067,0.9162726998329163,0.9958238005638123,0.9733896851539612,0.9707919955253601,1.0224320888519287,1.0736995935440063,0.8471679091453552,0.8506215810775757,0.8512534499168396,0.9463570713996887,1.013982892036438,1.0128189325332642,1.048266887664795,0.8373758792877197,0.8438406586647034,0.9551904797554016,0.9021918177604675,0.9516392350196838,0.9263572692871094,0.9803657531738281,0.9966537952423096,1.0749585628509521,0.9967798590660095,1.0420057773590088,1.0729284286499023,1.0819112062454224,1.0753828287124634,0.906051516532898,0.9217714667320251,1.002037525177002,1.1219505071640015,1.108674168586731,1.0018895864486694,0.9573585987091064,1.0533770322799683,1.0804272890090942,1.019079327583313,1.090983510017395,0.9796561002731323,1.036847472190857,0.8675786852836609,1.0970479249954224,1.0908275842666626,1.1104329824447632,1.0956971645355225,1.097322940826416,1.1140642166137695,0.9284361600875854,0.9793823957443237,1.1370676755905151,1.0661187171936035,1.0769847631454468,1.1684685945510864,1.1101865768432617,1.0855578184127808,1.0709439516067505,1.0160447359085083,1.0424530506134033,1.1058353185653687,1.1260603666305542,1.1176645755767822,1.0691167116165161,1.0737179517745972,1.0488914251327515,1.055567741394043,1.063286542892456,1.0474498271942139,0.9895001649856567,0.9641241431236267,0.9952635765075684,0.8612685799598694,0.9925569295883179,0.9662315249443054,1.0255661010742188,0.7377279996871948,1.0375250577926636,1.0475950241088867,0.9371593594551086,1.1002973318099976,1.0008389949798584,0.9807043671607971,1.0250332355499268,0.9404957294464111,0.9114183783531189,0.9043178558349609,1.0733567476272583,0.9813829660415649,1.0800882577896118,0.9474019408226013,0.7027980089187622,0.9269953966140747,0.9173789024353027,0.908801794052124,0.9351835250854492,1.0264374017715454,0.9543167948722839,1.0517640113830566,1.092410683631897,0.8658847212791443,0.8040543794631958,0.8636878132820129,0.8780403137207031,0.9036658406257629,0.8231871128082275,0.7792552709579468,0.773116946220398,0.8626874685287476,0.8342616558074951,0.8477306962013245,0.9536727070808411
pig,0.44756168127059937,0.48792028427124023,0.0,0.5573533773422241,0.6861176490783691,0.7096827030181885,0.7603068351745605,0.6301406025886536,0.51631760597229,0.6294103860855103,0.8593826293945312,0.79124915599823,0.6962078809738159,0.4950450658798218,0.9135931730270386,0.988196849822998,1.0102299451828003,0.9850050210952759,0.9929772019386292,0.9608435034751892,1.0108675956726074,1.060595154762268,0.9832335710525513,0.9358989000320435,0.9383155703544617,1.0649328231811523,1.050869107246399,1.0781723260879517,0.9552586078643799,0.9260138869285583,1.0147556066513062,1.0443636178970337,1.0398794412612915,1.0374609231948853,0.9733697175979614,1.1193766593933105,1.009244680404663,1.016329050064087,1.1000038385391235,1.0334433317184448,1.0624035596847534,1.072817325592041,1.1018599271774292,0.9351379871368408,0.9866258502006531,0.9862734079360962,1.025611162185669,1.0043889284133911,1.0115423202514648,1.007429838180542,0.8669658899307251,0.9392883777618408,1.065062403678894,0.9148845076560974,0.9010067582130432,0.9685344099998474,0.9911426901817322,1.0314644575119019,1.0471103191375732,1.0217958688735962,0.9773815870285034,1.0599830150604248,1.068745732307434,1.0581886768341064,0.8491033315658569,0.9591885209083557,0.9744574427604675,1.0897207260131836,1.0784019231796265,0.9950327277183533,1.024606466293335,1.0078649520874023,0.9839480519294739,1.1462857723236084,1.1784067153930664,1.018401861190796,1.05692458152771,0.921183168888092,1.0514631271362305,1.0600924491882324,1.0887525081634521,1.0778759717941284,1.079047679901123,1.0887352228164673,1.0276471376419067,0.9527535438537598,1.110648512840271,1.1226460933685303,1.0842362642288208,1.2127526998519897,1.0540810823440552,1.0609103441238403,1.0552715063095093,1.0217396020889282,1.041611909866333,1.10287344455719,1.1062411069869995,1.076682686805725,1.0606634616851807,0.9077856540679932,0.9402061104774475,0.9440900087356567,0.9831592440605164,0.9591683149337769,0.8453848361968994,0.8318058252334595,0.8384884595870972,0.8806803226470947,0.9653229713439941,0.881099283695221,0.9052351713180542,0.6793251633644104,1.0013467073440552,1.0124597549438477,0.963384747505188,1.0758451223373413,0.970566987991333,1.0091602802276611,1.0695658922195435,1.0228215456008911,1.016489863395691,0.8610048890113831,1.000441551208496,0.9415813684463501,1.0322850942611694,0.887556791305542,0.6695132255554199,0.8133636116981506,0.86921626329422,0.8725881576538086,0.9306133389472961,1.0270404815673828,0.9548858404159546,1.0029675960540771,1.0377339124679565,0.9208139777183533,0.8530038595199585,0.8989579081535339,0.8331475853919983,0.9700148701667786,0.8345030546188354,0.8298689723014832,0.8752265572547913,0.9450892210006714,0.9057984948158264,0.9257872700691223,0.980901300907135
rooster,0.5130841732025146,0.5211252570152283,0.5573533773422241,0.0,0.46849095821380615,0.7871413826942444,0.43739205598831177,0.43826329708099365,0.36347848176956177,0.6462901830673218,1.021969199180603,0.9720873832702637,0.7757341861724854,0.5813425183296204,1.0267735719680786,1.0615909099578857,1.0924209356307983,1.0645112991333008,1.13350510597229,0.9969550371170044,1.101813554763794,1.1326231956481934,1.074748158454895,1.0111799240112305,1.0126702785491943,1.1158661842346191,1.0488300323486328,1.0955030918121338,0.90760338306427,0.8936846256256104,0.9550666213035583,1.0502245426177979,0.7596182823181152,0.9190545082092285,1.0046170949935913,1.0377599000930786,0.9443010687828064,0.9464564323425293,1.0329515933990479,1.0070033073425293,1.029869794845581,1.0433311462402344,1.0817657709121704,0.9299700856208801,0.9866836667060852,1.005645990371704,0.9792712926864624,1.0240802764892578,1.032543659210205,1.03596830368042,0.9314436316490173,0.9012390375137329,0.8664482831954956,1.0024007558822632,0.9419422149658203,1.0104246139526367,0.9595361948013306,0.9415120482444763,0.9888390302658081,0.9059263467788696,0.9122525453567505,0.9980785250663757,1.025080919265747,0.9547891616821289,0.76567542552948,0.9862127304077148,1.0417729616165161,1.165018916130066,1.0786067247390747,0.9397670030593872,1.0568108558654785,1.0861670970916748,1.0011392831802368,1.0044119358062744,1.0833641290664673,0.9366123080253601,0.9381492137908936,0.7273995876312256,0.9520152807235718,0.9803019762039185,1.0208971500396729,1.0883311033248901,1.0793466567993164,1.1177324056625366,0.7721445560455322,0.731263279914856,1.1402019262313843,1.0312331914901733,1.0331286191940308,1.174966812133789,1.1773403882980347,0.9975848197937012,0.9966630935668945,0.9734159708023071,0.9880148768424988,1.0601980686187744,1.025854229927063,1.0263543128967285,0.9614987969398499,0.9481799006462097,0.9543774724006653,0.9023350477218628,0.9633010625839233,0.8978906869888306,0.9068616032600403,0.878527820110321,0.9568750858306885,0.7328141927719116,0.8705931901931763,0.9093239307403564,0.8610705733299255,0.6094229221343994,1.009373426437378,1.011270523071289,0.9496179223060608,1.035406231880188,0.9564005732536316,0.9496779441833496,0.9950515031814575,0.9004641771316528,0.9061787128448486,0.9897516965866089,1.044567346572876,0.9305722117424011,0.9930010437965393,0.7805222272872925,0.6204404830932617,0.8971260190010071,0.9910147190093994,1.0463745594024658,0.9815800189971924,0.9633609652519226,1.0203722715377808,1.0119643211364746,1.0188791751861572,1.020139217376709,1.0094045400619507,1.1022555828094482,0.939250111579895,1.0801719427108765,0.9608334302902222,0.9757007360458374,1.0337715148925781,1.0731942653656006,1.0795621871948242,1.0727970600128174,1.1582103967666626
bird,0.5747448801994324,0.5652381777763367,0.6861176490783691,0.46849095821380615,0.0,0.8023914694786072,0.6131964921951294,0.6785933375358582,0.547701358795166,0.7431578636169434,0.9470953345298767,0.9372090101242065,0.730150580406189,0.710033655166626,1.019311785697937,1.045983076095581,1.170089602470398,1.0967509746551514,1.025122880935669,0.8572771549224854,0.9958971738815308,1.1199012994766235,1.0538791418075562,1.0235027074813843,0.9746931791305542,1.080234169960022,1.0102999210357666,1.0849189758300781,0.8966967463493347,0.8913909196853638,0.9465467929840088,0.9782299995422363,0.895706295967102,0.9888036251068115,0.9999368786811829,0.9646037220954895,0.9586407542228699,1.0008386373519897,1.0036319494247437,1.0428838729858398,1.0031238794326782,0.9863701462745667,1.0333409309387207,0.9635355472564697,1.0542705059051514,1.0446929931640625,1.118213176727295,0.9981282353401184,1.0705912113189697,1.0380630493164062,0.9697481989860535,0.8830755352973938,0.826740026473999,1.0156755447387695,0.9976120591163635,0.9562691450119019,0.9856570959091187,1.008758783340454,1.0979573726654053,1.018446683883667,1.076098918914795,1.116632342338562,1.1226760149002075,1.1139334440231323,0.9424587488174438,0.904801607131958,0.9297008514404297,1.1124722957611084,1.1379350423812866,1.012813925743103,1.0398852825164795,1.1034038066864014,1.0771450996398926,0.9467144012451172,0.9898145198822021,1.0496833324432373,0.9199628829956055,0.8682612180709839,1.0239216089248657,1.0426510572433472,1.0533708333969116,1.0813428163528442,1.0297718048095703,1.124834418296814,0.9768801927566528,0.9485663175582886,1.16367769241333,1.0881770849227905,1.1220107078552246,1.114230751991272,1.074829339981079,0.967719316482544,1.0356571674346924,1.0252017974853516,1.095553994178772,1.0906717777252197,1.1317616701126099,1.1597695350646973,1.1303741931915283,0.9939557909965515,1.0792787075042725,0.990814208984375,1.0786888599395752,1.0031545162200928,0.9718302488327026,0.9576160907745361,1.0000207424163818,0.9114735722541809,1.0145528316497803,1.0023295879364014,1.020338535308838,0.8559021949768066,1.051811933517456,1.103016972541809,1.0474294424057007,1.0878978967666626,1.0765645503997803,1.104956030845642,1.0544649362564087,0.996897280216217,0.9719899892807007,1.0040898323059082,1.0105704069137573,0.9973829984664917,1.1427537202835083,0.9826363325119019,0.7890488505363464,0.9387931823730469,0.955286979675293,0.9507594108581543,0.8220939636230469,0.999988853931427,1.0070850849151611,1.0204603672027588,1.0288323163986206,1.0254106521606445,1.0352482795715332,1.077650547027588,1.0185091495513916,1.0952951908111572,1.0172390937805176,1.0413801670074463,1.070246934890747,1.117781400680542,1.0581027269363403,1.067699670791626,1.1166836023330688
fish,0.877164900302887,0.8494031429290771,0.7096827030181885,0.7871413826942444,0.8023914694786072,0.0,0.7673174142837524,0.5473961234092712,0.7116149663925171,0.7058152556419373,0.8303134441375732,0.8212383389472961,0.8480691313743591,0.8772327899932861,0.9526767730712891,1.0174446105957031,0.9786399602890015,0.754866361618042,0.8810328841209412,0.8665638566017151,0.8546414971351624,0.8576332330703735,0.7698801755905151,0.6949906349182129,0.8725020885467529,1.0073515176773071,0.9706903696060181,1.0133798122406006,1.0919183492660522,1.0590261220932007,1.1578303575515747,1.125292420387268,0.9860830307006836,1.1529498100280762,1.1291170120239258,1.1550874710083008,1.240721583366394,1.2028049230575562,1.2813092470169067,1.196406364440918,1.132844090461731,1.2363554239273071,1.233112096786499,1.1581302881240845,1.060133934020996,1.0764195919036865,0.9651618599891663,1.0138660669326782,0.9330728054046631,0.8618727326393127,0.9700647592544556,0.8572948575019836,0.8003025054931641,0.8536614179611206,1.037962555885315,0.9136788249015808,1.0092209577560425,0.9785210490226746,0.8509788513183594,0.9418047666549683,0.8797937035560608,0.9295991659164429,0.9014416933059692,0.9106011390686035,0.833177387714386,0.9064573049545288,0.7091017961502075,0.7671619653701782,0.8847476840019226,0.6973034143447876,0.9905235767364502,0.9121575951576233,0.8164330124855042,1.316999912261963,1.344726800918579,0.8580288887023926,0.8497293591499329,0.7902010679244995,0.7973520755767822,0.8530799150466919,0.8804402351379395,0.8559449911117554,0.8180211186408997,0.8264657855033875,1.0237338542938232,0.8589502573013306,0.9376471042633057,1.1208664178848267,1.035445213317871,1.2919516563415527,0.823698103427887,1.1484475135803223,1.1408857107162476,1.0723665952682495,1.0688775777816772,1.1268641948699951,0.9844997525215149,0.9694122076034546,0.9329453110694885,0.7313567399978638,0.7089155912399292,0.7993180751800537,0.7496829032897949,0.9244656562805176,0.7480975389480591,0.6338699460029602,0.7721276879310608,0.895319938659668,0.9404700398445129,0.74909907579422,0.831274151802063,0.8338190317153931,0.8959336876869202,0.7793484330177307,0.8637836575508118,1.0743218660354614,0.9000632762908936,0.8927773237228394,1.1579080820083618,1.0188485383987427,0.9286617040634155,0.8341206312179565,0.8376343250274658,0.6947582364082336,0.6995719075202942,0.847036600112915,0.86165452003479,0.7291624546051025,0.751896858215332,0.8591263890266418,0.830856442451477,1.0293915271759033,0.9175348877906799,1.0145260095596313,0.9931119680404663,0.9398213624954224,0.982366144657135,0.8674617409706116,0.7601007223129272,1.0252420902252197,0.9887731075286865,1.014605164527893,1.0589077472686768,1.0516753196716309,0.9613744020462036,1.0196967124938965,1.0564279556274414
butterfly,0.7366523742675781,0.7567154169082642,0.7603068351745605,0.43739205598831177,0.6131964921951294,0.7673174142837524,0.0,0.575473427772522,0.6191927194595337,0.6927793025970459,1.0522854328155518,1.0355280637741089,0.9675227403640747,0.8791786432266235,1.0484431982040405,1.0889711380004883,1.1432156562805176,1.0954281091690063,1.1676572561264038,1.057883858680725,1.1321461200714111,1.1075713634490967,1.1212825775146484,1.0727081298828125,1.072140097618103,1.122904896736145,1.0654325485229492,1.1113121509552002,1.0286288261413574,0.9906651973724365,1.0085475444793701,1.0908329486846924,0.5474884510040283,1.073346734046936,1.0281404256820679,1.0117073059082031,1.0509798526763916,1.0144847631454468,1.0840961933135986,1.0405173301696777,1.0344994068145752,1.0704413652420044,1.0546748638153076,1.0221751928329468,1.1290643215179443,1.1151295900344849,1.085147738456726,1.0762784481048584,1.0849250555038452,1.012581467628479,1.0196839570999146,0.982966423034668,0.8653143644332886,1.0027809143066406,0.9474300146102905,1.0215466022491455,1.0441168546676636,0.8478922843933105,0.94627445936203,0.7985556125640869,0.9337784051895142,1.0173012018203735,0.9712696075439453,0.93871009349823,0.8252129554748535,0.9369224309921265,1.0707796812057495,1.1037416458129883,1.072615385055542,0.9312334656715393,0.957828164100647,0.9886552095413208,0.9785623550415039,1.057464599609375,1.093450665473938,0.8915928602218628,0.9106489419937134,0.8350250720977783,0.8935456275939941,0.9047338962554932,1.0074630975723267,0.9699257016181946,0.9325351119041443,1.0049880743026733,0.8153660297393799,0.7489041686058044,1.015317678451538,1.0155649185180664,1.004621982574463,1.1798434257507324,1.0257114171981812,0.9671646356582642,0.9730509519577026,1.013831615447998,0.9303601980209351,1.0438246726989746,0.9853748679161072,1.0269739627838135,1.0042279958724976,1.0509923696517944,0.9897353649139404,0.9431012868881226,0.976533055305481,0.9559710621833801,0.9234302043914795,0.9553956389427185,1.0076225996017456,0.7165553569793701,0.8825075626373291,0.9052528142929077,0.9687820672988892,0.7935323715209961,0.9207344055175781,1.0163519382476807,0.9705266952514648,0.9752787351608276,0.942846417427063,1.0362293720245361,1.0376331806182861,0.9623638391494751,0.9764981865882874,1.056686282157898,1.0701384544372559,0.9817125797271729,0.9961922764778137,0.8683803081512451,0.8744097352027893,1.0717512369155884,1.1179205179214478,1.1157712936401367,1.0137715339660645,1.0477646589279175,1.112696886062622,1.0726876258850098,1.061519980430603,1.1427053213119507,1.0966557264328003,1.1439239978790283,0.9544552564620972,1.1230833530426025,1.0585064888000488,1.0720757246017456,1.117879033088684,1.118709683418274,1.1596450805664062,1.127193570137024,1.16122305393219
frog,0.7146555185317993,0.7123590111732483,0.6301406025886536,0.43826329708099365,0.6785933375358582,0.5473961234092712,0.575473427772522,0.0,0.3678473234176636,0.5319400429725647,1.0213265419006348,0.9961183667182922,0.9208487272262573,0.7993149757385254,1.0352859497070312,1.129653811454773,1.0642306804656982,0.8599964380264282,1.1494077444076538,0.9578133225440979,1.0471683740615845,1.058181643486023,1.0567735433578491,0.8911340832710266,1.0577778816223145,1.1341506242752075,1.1094759702682495,1.0914185047149658,0.9088188409805298,0.9617795944213867,1.0952101945877075,1.1859614849090576,0.9674186706542969,1.0512621402740479,1.0144742727279663,1.12183678150177,1.0945876836776733,1.1122093200683594,1.223388910293579,1.10908842086792,1.1207177639007568,1.1932309865951538,1.1970345973968506,0.9617542028427124,1.032089352607727,1.0686588287353516,0.9777901768684387,0.9670472741127014,1.0270211696624756,0.8526008129119873,0.7642896175384521,0.6918817758560181,0.8794990181922913,0.9118770956993103,1.00445556640625,1.0390381813049316,1.0245671272277832,1.017241358757019,0.8055098056793213,0.922551691532135,0.7517255544662476,1.007873296737671,0.9824744462966919,0.9058849215507507,0.7691423892974854,0.9639637470245361,0.9465044736862183,1.1006743907928467,1.1624159812927246,0.8779042959213257,1.1230531930923462,1.0843350887298584,0.8944905996322632,1.1321349143981934,1.177067518234253,0.9915914535522461,0.9636663794517517,0.5093872547149658,1.003097653388977,1.0594055652618408,1.040616750717163,1.1202701330184937,1.1178977489471436,1.040022373199463,0.8032105565071106,0.6203107833862305,0.9093375205993652,1.0616720914840698,1.0469880104064941,1.2766625881195068,1.1287477016448975,1.0874664783477783,1.0338096618652344,0.9936660528182983,1.0135947465896606,1.0224292278289795,0.9543443322181702,0.985686182975769,1.0026063919067383,0.7018450498580933,0.5419222116470337,0.6404896974563599,0.6158978939056396,0.9915987253189087,0.8915224075317383,0.7804034352302551,0.7132760286331177,0.7823883891105652,0.9414463639259338,0.6807058453559875,0.8122953176498413,0.6860182285308838,0.8619685769081116,0.8472939729690552,0.9316660165786743,0.9669672846794128,0.7102644443511963,0.8296374082565308,0.9987337589263916,0.8274533748626709,0.8885399103164673,0.9139310717582703,0.9435341954231262,0.6919268369674683,0.576993465423584,0.33935922384262085,0.46566104888916016,0.6428724527359009,0.7627346515655518,0.9066616296768188,0.9137576222419739,0.9677236080169678,0.9640364050865173,0.9479536414146423,0.9694749712944031,0.949332058429718,0.9173018932342529,0.9591477513313293,0.6009518504142761,1.037512183189392,0.9743651151657104,1.027431607246399,1.089056134223938,1.1055494546890259,1.041920781135559,1.0499823093414307,1.1624342203140259
alligator,0.6435701251029968,0.4892534613609314,0.51631760597229,0.36347848176956177,0.547701358795166,0.7116149663925171,0.6191927194595337,0.3678473234176636,0.0,0.5742934942245483,0.8104097247123718,0.8096569776535034,0.5620943903923035,0.45638227462768555,0.8467581272125244,0.91399747133255,0.7464749813079834,0.9030551910400391,1.0956610441207886,0.9574863314628601,1.1979538202285767,1.2412582635879517,1.2783098220825195,1.1739156246185303,1.130408763885498,1.2062915563583374,1.224618911743164,1.2051769495010376,0.7557002902030945,0.8146495223045349,0.9794846177101135,1.0458624362945557,1.0360071659088135,0.7661356925964355,0.8095637559890747,1.0397677421569824,0.7345222234725952,0.7813276052474976,0.8830845952033997,0.8372913002967834,0.8702852725982666,0.8766288757324219,0.9829150438308716,0.6812453866004944,0.6431131958961487,0.7183313965797424,0.7615159749984741,0.8220810890197754,0.8599454164505005,0.8636102080345154,0.603293776512146,0.622281551361084,0.9893854856491089,0.8322849273681641,0.8717965483665466,0.8531379699707031,0.9014098644256592,1.1313776969909668,1.1639801263809204,1.0842616558074951,0.9916605353355408,1.2558445930480957,1.1935334205627441,1.2017848491668701,0.9648894667625427,1.0611340999603271,1.2046291828155518,1.3570544719696045,1.416245460510254,1.1230169534683228,1.145153522491455,1.197821021080017,1.1164809465408325,0.9007930755615234,1.0459554195404053,0.9675149917602539,0.9854519963264465,0.7286549806594849,1.1024953126907349,1.1056468486785889,1.1123155355453491,1.2527233362197876,1.2531039714813232,1.3149514198303223,0.7736946940422058,0.8352617025375366,1.220644474029541,1.0715315341949463,1.1212162971496582,1.21102774143219,1.2832592725753784,1.0257362127304077,1.0018863677978516,0.9014087915420532,1.0063555240631104,1.0234068632125854,1.1985328197479248,1.1078740358352661,1.0368741750717163,0.8015919923782349,0.8386972546577454,0.8673412203788757,0.8768178820610046,1.06318998336792,0.9856449961662292,0.8771306872367859,0.6972885727882385,0.8339264392852783,0.9486755728721619,0.7651877999305725,0.8613886833190918,0.607123613357544,0.9762563109397888,1.0106288194656372,0.8291356563568115,1.0378174781799316,0.8835609555244446,0.7631702423095703,0.8807368278503418,0.8068516254425049,0.7823028564453125,0.7422259449958801,0.8987739682197571,0.7719672322273254,1.055651068687439,0.8043395280838013,0.6227307319641113,0.6612866520881653,0.7882107496261597,0.9521852135658264,0.9341256618499756,0.8019655346870422,0.8214211463928223,0.8810119032859802,0.9505245685577393,0.5970306396484375,0.7342391014099121,0.7397506237030029,0.6101500988006592,0.8169159889221191,0.6672677993774414,0.6353884935379028,0.7017327547073364,0.7889610528945923,0.69045490026474,0.7496625781059265,0.916833221912384
owl,0.7921919822692871,0.7371551990509033,0.6294103860855103,0.6462901830673218,0.7431578636169434,0.7058152556419373,0.6927793025970459,0.5319400429725647,0.5742934942245483,0.0,0.8750951290130615,0.8013046383857727,0.6054912209510803,0.6170629858970642,0.897041380405426,0.9851478934288025,0.9481663107872009,0.8852691650390625,1.076935052871704,0.8848696947097778,1.0046941041946411,1.0624690055847168,1.031577229499817,0.9701411724090576,1.0048928260803223,1.10355806350708,1.0161083936691284,1.1199474334716797,0.9806773066520691,0.9963805675506592,1.0329174995422363,0.992526113986969,0.9319210052490234,0.9822142720222473,1.0006405115127563,1.1138849258422852,1.0374820232391357,1.001631259918213,1.1199711561203003,1.0451356172561646,1.0250319242477417,1.0957543849945068,1.1178438663482666,0.9599143266677856,0.9447091817855835,0.9853265881538391,0.944587767124176,1.0566352605819702,0.971321702003479,0.9714171886444092,0.8559843897819519,0.9330811500549316,1.014028787612915,0.8506836891174316,0.9241554737091064,0.9709492921829224,0.9459559321403503,0.9802430272102356,0.9831202626228333,0.9968867897987366,0.8723496198654175,1.051079273223877,1.0250592231750488,0.9989472031593323,0.8857282400131226,0.8906926512718201,0.9740319848060608,1.0054746866226196,1.128683090209961,0.9656282663345337,0.9966441988945007,0.9747071266174316,1.0191664695739746,1.1119681596755981,1.1539310216903687,0.992986261844635,0.9895840287208557,0.8338987827301025,0.9975793361663818,1.0009939670562744,0.9846898913383484,1.0232008695602417,1.0103163719177246,1.0653692483901978,0.9243704080581665,0.8813679814338684,1.0484172105789185,0.9765264987945557,0.9857240915298462,1.15488600730896,0.972130537033081,1.0055054426193237,0.9665221571922302,0.9366152286529541,0.9192442893981934,0.9730708003044128,1.0288716554641724,0.9865670204162598,0.9403162002563477,0.8484440445899963,0.8885812759399414,0.9105325937271118,0.9045084714889526,0.8906059265136719,0.9143818616867065,0.8114864230155945,0.7871791124343872,0.8885080814361572,0.8402958512306213,0.8066467046737671,0.7714551091194153,0.6557735204696655,0.988678514957428,0.9503564238548279,0.9695923328399658,0.9314194917678833,0.8924834132194519,0.8881464004516602,0.986075222492218,0.828650712966919,0.9159027934074402,0.8287858963012695,0.912995457649231,0.8769190907478333,0.9269188642501831,0.7986981272697449,0.6296555399894714,0.7204058170318604,0.7729998230934143,0.887819230556488,0.8594233989715576,0.879438042640686,0.8726468086242676,0.8773928880691528,0.9267698526382446,0.8732778429985046,0.8061002492904663,0.8587818741798401,0.5091120004653931,0.8691997528076172,0.9271737933158875,0.8217636346817017,0.905785083770752,0.9422522187232971,0.9076403379440308,0.9451456069946289,1.0299137830734253
