,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,duck,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.2011061,1.480979,0.7493491,1.2990541,1.3440534,0.8791063,1.0650249,0.7516156,0.6930847,0.6641917,1.3639469,0.9150046,0.44669992,0.61565274,0.54953945,0.6243645,0.46481663,1.3693452,1.2902625,0.7814286,1.2645108,1.1264645,1.2278531,0.98041755,1.3223935,1.3139616,1.1584244,0.8013233,1.1645479,1.4025407,1.0091474,0.74102813,1.1590899,0.9730744,1.2199817,1.1971673,0.9772332,1.0925797,1.4430578,0.60161006,1.3132155,1.1176354,0.44283623,0.72929835,0.97527444,1.1776382,1.1367159,1.2779882,1.2871017,0.80556643,0.8310182,1.2730205,0.8976681,1.1687018,1.2277505,1.4356638,0.54945815,0.8175045,0.7262527,1.2196279,1.0338969,0.7761019,1.0853744,0.9529223,0.75402856,0.85674924,1.3769484,1.2327347,0.6851076,0.8380904,0.69089985,1.3011646,0.8718927,1.4190991,1.0199677,1.3717494,1.1213973,0.86842626,1.1313069,1.1247077,0.66263586,0.61402756,1.0400697,0.730585,1.4748399,1.1755701,1.1279918,1.2853918,1.1966982,1.0077161,0.8053832,0.7251281,0.8494601,0.50873566,1.4435115,1.3325207,0.81488234,1.0253273,0.728208,1.3313107,0.96602064,0.9913651,1.0811193,1.1678003,1.1311598,1.0636649,0.99616057,1.3500133,1.3755453,1.1578861,0.65267813,0.8322805,1.3925626,0.75974506,0.96676606,0.9871315,1.426754,0.8127715,0.93483996,0.6446677,1.3587849,0.942768,1.326594,1.1033782,0.84156525,1.3997555,0.9689651,0.78139806,1.37373,0.8478162,0.7140721,0.6832214,1.3354713,1.347564,1.2403417,1.1611657,1.2980456,1.0659246,0.7519877,0.87753063,1.2366399,1.3467933,1.5122023,0.8637376
ankle,1.2011061,0.0,0.84742206,1.0868433,0.9020647,0.87645745,0.9709058,1.1708872,1.3272825,1.0423124,1.3230516,0.8420248,1.2651404,1.0788827,1.0538996,1.2307278,1.2079395,1.1866138,1.0519265,1.0906436,1.2389534,0.71638393,0.91750234,1.1216767,0.9591921,1.1157491,1.1205283,0.730129,1.0423905,1.0692863,0.9329753,1.2545459,1.1219039,0.85365355,1.0667728,0.8297175,0.9119614,1.1732992,0.7964546,0.86365914,1.3463728,1.0759959,1.0866927,0.98215425,0.976444,1.2906749,0.91447854,0.9144926,0.516887,0.56529844,1.0645528,1.052559,0.45689523,1.0122929,1.0823128,0.64662945,0.85592324,1.0037354,0.98793983,1.2868593,0.6617468,0.72222435,1.002186,0.8549284,0.77326113,1.130091,0.7439153,0.73745525,0.75248146,1.060353,1.1131892,1.1822288,0.9514698,1.180798,1.0492513,1.1990335,1.0084909,0.84618163,1.0165775,0.977265,1.100903,0.96025074,1.261183,0.77572757,1.0353323,0.7437916,0.9749742,0.58802915,0.67463946,0.8902715,1.2875823,0.95870554,1.1387523,1.0312465,1.1707929,0.78257453,0.7549627,0.91303575,0.8586245,1.1012859,0.8120612,1.0742612,1.1540222,1.1321023,0.8919713,0.57422286,0.8086173,1.1355164,0.9855809,0.84929395,1.1996363,1.2333599,1.1824542,1.0052819,1.1266229,0.9601554,0.8603229,1.0126336,1.2618364,1.2310594,1.2755408,0.70754087,1.2185271,0.9313927,0.5205282,1.1688068,1.0264642,0.90114784,1.117021,0.8286011,1.2237542,1.1607516,1.2996558,0.8533677,0.44228625,0.6446259,0.67381954,0.98818314,1.0034713,1.2644207,1.2326934,1.1246951,1.1157784,0.5816822,1.3049381
apple,1.480979,0.84742206,0.0,1.5248526,0.37358588,0.42518872,0.87968224,1.1964953,1.5950787,1.1845193,1.5228868,0.41714203,1.3007647,1.4433191,1.0819471,1.5421176,1.3001506,1.2851291,0.5556463,0.6782781,1.387883,0.6093706,0.92439824,0.9676306,0.7644758,0.99849296,0.6528278,0.7540941,1.1750895,1.1783323,0.42345637,1.3195348,1.3416091,1.029249,1.31532,0.55600774,0.6949675,1.2906172,0.66505116,0.17107064,1.6152143,0.7984252,1.0194882,1.3561887,1.1407621,1.3843905,0.9269401,0.8801729,0.68541557,0.5234478,1.303665,1.2867334,0.73780704,0.6126262,0.62671745,0.5515137,0.5857146,0.9461864,1.1819429,1.5354195,0.7108848,1.0531173,1.2159054,0.72072077,1.1903238,1.345407,1.3110571,0.41723275,0.7353152,1.0321194,1.3792968,1.5017381,0.6877737,1.3315288,0.4877823,1.3226751,0.6276889,1.054358,1.1661742,0.854783,1.09067,1.4492481,1.2683308,0.9492631,1.3691698,0.16114402,1.029017,0.89637077,0.6350623,0.48135984,1.3427366,1.1021383,1.4971348,1.3889349,1.4100364,0.3418324,0.55416626,1.0685611,0.8513832,1.0517731,0.61402524,0.8946566,0.9799242,0.8857807,0.7757393,0.85116243,0.7887019,1.1326127,0.6950275,0.2796017,1.1551576,1.0745314,1.1746699,0.43485802,1.4327738,1.254779,1.2995263,0.49077606,1.4253402,1.4396648,1.4966373,0.33957958,1.193045,0.53624386,1.0705608,1.1783475,0.5240191,0.92718935,1.15689,0.18182099,1.3778505,1.4299438,1.4997957,0.38692307,0.597883,0.78185046,0.8531412,0.8913896,0.4719236,1.3978038,1.127424,0.7817855,0.7938428,0.3062266,1.3816605
arm,0.7493491,1.0868433,1.5248526,0.0,1.4487321,1.4310117,1.2785783,1.1157283,0.57804275,0.94997185,0.52199125,1.2038187,0.75018317,0.67420965,1.1190065,0.5165417,0.8513729,0.88721716,1.3841666,1.376694,0.9028876,1.3101178,1.2478745,1.2408497,1.3470042,1.2119575,1.3571601,1.098583,0.8161239,0.87251186,1.480078,0.7053849,0.6469979,1.117921,0.8038448,1.385725,1.2928984,0.76840365,1.3165555,1.5261788,0.5768503,1.3397923,1.2484677,0.78558695,1.0804721,0.7215185,1.1469668,1.0599624,1.1726571,1.2435944,0.7061424,0.6155299,0.96071774,1.431754,1.3303909,1.2141321,1.3487619,1.3098875,0.86429524,0.66628766,1.107534,0.8134147,0.83925605,1.3172337,0.76024425,0.7256199,0.45093894,1.4656229,1.2193131,1.0803231,0.67824686,0.405949,1.384142,0.6063007,1.3872926,0.8444212,1.3935769,0.7419908,0.76583576,1.0749092,1.02369,0.56098205,0.9041474,0.87248945,0.76926076,1.4595692,1.1388937,0.8776483,1.140803,1.3465955,0.79265213,1.0250124,0.30147463,0.40275943,0.7341906,1.4324912,1.291596,1.1354389,1.1429996,1.0638313,1.2701072,1.0506016,1.112214,1.1781603,1.2865019,1.1145862,1.2153487,1.142106,1.4405755,1.5631315,1.0177917,1.0239723,0.84974974,1.5005541,0.36586797,0.87045264,0.49178112,1.4804906,0.6681049,0.847136,0.65128255,1.4116073,0.96105933,1.4018552,0.73811585,0.8786421,1.4596049,1.0964532,0.7689353,1.4669359,0.7339868,0.3885702,0.5614004,1.5525367,1.1038406,1.2006762,1.0114318,1.2434725,1.5383053,0.70312244,0.8849255,1.2522814,1.2060885,1.4257898,0.66489255
ball,1.2990541,0.9020647,0.37358588,1.4487321,0.0,0.17142326,0.61486673,1.0955253,1.4484267,1.1680253,1.460842,0.8207972,1.2410568,1.305397,0.98858255,1.4530205,1.0916455,1.1582639,0.6968576,0.6335728,1.283526,0.6984908,1.1199782,0.8814881,0.85252976,1.0686532,0.846975,0.8014808,1.2319578,1.3457558,0.60306174,1.4157398,1.3626418,0.88704485,1.2610304,0.68902874,0.51274014,1.3083245,0.7593715,0.52058196,1.4765995,0.80667454,0.7005957,1.2668598,1.0368974,1.3617251,1.0549252,1.0716528,0.90032715,0.4986127,1.2107133,1.2431729,0.899313,0.6759745,0.6350181,0.84826577,0.74759346,0.69698286,1.1545793,1.3145739,1.0065557,1.0662333,1.1378069,0.49970865,1.2509427,1.2813805,1.2726419,0.6494136,0.7971043,1.0286413,1.3268256,1.466669,0.6924464,1.2616048,0.7094788,1.2649174,0.65729934,1.2128394,1.1675702,0.47453743,0.97670966,1.1435541,1.103175,1.1520714,1.1289473,0.37119108,0.96346176,1.1621331,0.75616586,0.37950754,1.3480341,0.6715555,1.4366107,1.4157748,1.2033856,0.69652945,0.7947302,0.9653051,0.94915485,1.0507433,0.8821958,0.9678128,0.87881327,0.76829195,0.7085932,0.9641741,0.6197506,1.160081,0.7764336,0.34685785,1.1630273,0.9797419,1.0904307,0.72387326,1.396088,1.1915425,1.3789611,0.6726944,1.3368144,1.2438684,1.2966332,0.7259476,1.1493212,0.43877947,1.1743997,1.0554627,0.62943184,0.9496552,1.1650348,0.47135562,1.3471916,1.372966,1.3402823,0.32083154,0.8473376,0.9012612,0.8861636,0.9920685,0.27949345,1.2203952,1.0430045,0.91492325,1.0692562,0.65290034,1.3687396
balloon,1.3440534,0.87645745,0.42518872,1.4310117,0.17142326,0.0,0.78477573,1.0701022,1.4626603,1.273782,1.4866114,0.7802515,1.1553906,1.3673804,1.0795714,1.4378036,1.1305165,1.2357209,0.68158907,0.61050427,1.2458026,0.6953577,0.9974618,0.76079667,0.9123727,0.88751906,0.8484551,0.6712196,1.3027523,1.1518543,0.6405087,1.3211081,1.354311,0.7693114,1.2961345,0.76834154,0.6344588,1.2447089,0.8632636,0.5652293,1.5203856,0.7015627,0.7362019,1.3612852,1.0850943,1.28407,0.96427286,0.9780762,0.8049612,0.44565976,1.2857435,1.2869327,0.760605,0.73247564,0.723707,0.82641095,0.7162882,0.8770306,1.1342905,1.3661766,0.9588611,1.0107542,1.2594051,0.5866252,1.204866,1.2891428,1.1894097,0.6199202,0.8221793,1.1023808,1.2696792,1.4643348,0.6853242,1.1679912,0.7239176,1.1500119,0.67592835,1.1123661,1.0785044,0.6181351,0.90751094,1.1336883,1.190586,1.0654004,1.1537443,0.4215049,0.9105897,1.0241636,0.6993732,0.4424063,1.3595412,0.8420012,1.4356999,1.3469598,1.257612,0.6685253,0.7469679,0.98381793,0.8922218,1.1634238,0.83769983,0.8971064,0.8844324,0.7777085,0.7879033,0.8781419,0.6622916,1.0910909,0.7764961,0.4010499,1.1273824,1.1122458,1.0041546,0.6584611,1.4239645,1.176546,1.2608025,0.68415046,1.3974948,1.1622009,1.2457031,0.7326687,1.2448312,0.5492107,1.036971,0.9796655,0.6218423,1.0624219,1.2214859,0.41112363,1.2553177,1.3966966,1.369173,0.437739,0.74081653,0.8549711,0.857497,0.87426126,0.44933927,1.203702,1.0841013,0.9327001,0.92298114,0.5895659,1.3660998
banana,0.8791063,0.9709058,0.87968224,1.2785783,0.61486673,0.78477573,0.0,1.1709658,1.2201782,1.0687572,1.3355227,1.1674869,1.1819279,1.0445548,0.78494304,1.2435187,0.88703215,0.96811867,1.0696245,0.7959603,1.1113174,0.68179506,1.0260412,1.0583142,0.88169307,1.1088393,1.0786145,0.7863443,1.2185491,1.3595169,0.92750555,1.3161077,1.2157437,0.938849,1.0797527,0.7299758,0.59711504,1.3129475,0.5754465,0.85136706,1.2397463,1.0261886,0.70184183,1.0408672,0.84461987,1.3363171,1.0265757,1.1206784,1.0647575,0.85254025,1.0987035,1.2056993,0.9946932,0.7474159,0.80901647,1.0482166,0.9105829,0.4368655,0.9381206,1.1857195,1.082157,0.90271103,1.1175027,0.6012235,1.2616444,1.1494621,1.0650043,0.9867839,0.9575812,0.97104526,1.1587313,1.3078221,0.9470556,1.2754147,0.97576714,1.254594,0.94277203,1.1589239,0.98716176,0.4374295,1.1099906,0.8543193,0.9092136,1.1771307,0.86399865,0.9822698,0.92740834,1.1275563,1.1174442,0.62139845,1.1800722,0.7411771,1.2933598,1.2939239,1.025582,0.9013616,0.8383012,0.81580836,0.60544485,0.8903158,1.0541527,0.8072305,0.9144595,0.7268437,0.8739487,1.0007935,0.53044295,0.93740904,0.9685841,0.78919226,1.1632751,0.8974103,0.8977722,0.8840192,1.3029509,1.0827159,1.3011124,0.8697088,1.2822806,1.066835,1.1247308,0.91531533,1.0459251,0.7503689,1.1633995,0.9047295,0.8668712,0.8276453,0.9621616,0.8187317,1.1940852,1.2580665,1.1928164,0.54454994,1.1168574,0.9140967,0.8577691,1.0422392,0.4915253,0.9888127,1.0818989,1.0799733,1.2662833,1.039603,1.3257542
basket,1.0650249,1.1708872,1.1964953,1.1157283,1.0955253,1.0701022,1.1709658,0.0,0.75715804,1.0464194,0.86601585,1.2230844,0.8785392,1.09,1.0663189,0.94949704,1.0030183,0.92106044,0.76209325,0.8540796,0.504241,1.1376921,0.9446556,0.54450524,1.002309,0.52487105,0.80744636,1.3215344,1.0688995,0.64160407,0.99338573,0.7445068,0.9836468,1.0170954,0.9060857,1.2110409,1.0363792,0.6841636,1.1787019,1.207561,0.6931186,0.6925285,0.7398293,1.0156227,0.87390584,0.74645305,0.93799585,0.97315985,1.3292973,1.3397396,1.1018876,1.1658258,1.3129658,1.1739362,0.9531276,1.2779329,1.082242,1.0964645,1.1688493,0.78015774,1.3536394,1.1002437,1.0367541,0.94239783,1.2203753,1.0527184,1.2035859,1.0075246,1.13518,1.0065346,0.889688,1.0390874,0.77365994,0.97728366,0.9629982,0.5782063,0.9172544,1.0165716,1.0032146,1.062589,0.75600594,1.1453049,0.9989166,1.3124082,1.1424228,1.2816865,0.79084873,1.34003,1.2919061,1.2601601,0.77124506,1.0453745,1.097125,1.1326069,0.96988463,1.1910764,1.2369313,0.9908692,1.2172818,1.0883312,0.8969592,1.121398,0.7764404,0.9082205,0.8331761,1.1623969,1.2613243,0.65071774,0.7503929,1.128362,0.47253585,0.9259057,0.9888735,0.94571483,1.1337276,0.97242296,1.1591644,0.8785776,0.7459669,0.7353157,0.8616507,1.2430751,0.9162792,1.0109797,1.2604886,0.9983136,0.9340998,1.0924208,1.1392994,1.1755735,0.8066318,1.0531834,0.80197334,1.1333667,1.2907884,1.1582168,1.2110215,0.7675831,1.048392,0.88444364,1.0026858,0.83444905,0.65121526,1.2590626,0.7629316
bathtub,0.7516156,1.3272825,1.5950787,0.57804275,1.4484267,1.4626603,1.2201782,0.75715804,0.0,0.8161569,0.23078102,1.3204186,0.5652199,0.7266033,1.1042981,0.51658034,0.7603111,0.84333515,1.3249469,1.1117595,0.5536561,1.4713533,1.1819972,1.0089327,1.3097677,0.8840514,1.2227736,1.3315613,0.6928817,0.7736442,1.4501029,0.54425585,0.72423387,1.0143166,0.5930288,1.3657513,1.3271666,0.7483404,1.3731873,1.5758389,0.1635468,1.1065319,1.0263057,0.86101234,1.2049179,0.50005627,1.0309298,1.1836022,1.4187531,1.3788376,0.6785178,0.7571652,1.3835588,1.3546098,1.374063,1.4295077,1.4394543,1.2823224,1.030337,0.3676691,1.352001,1.1902212,0.71156347,1.3229487,0.9746406,0.7499611,0.9165249,1.5543764,1.3628439,1.0845045,0.64192283,0.5825317,1.3055377,0.7055301,1.2198887,0.6696294,1.2407974,1.0782058,0.9560846,1.1678971,0.83983326,0.8120496,0.85367876,1.0421455,0.8382543,1.5619842,1.0553567,1.2262322,1.3903544,1.4241339,0.5416244,1.1187595,0.5622299,0.6827302,0.6167464,1.562899,1.4426091,1.1348118,1.1838545,1.0776626,1.283186,1.132306,1.0890039,0.9356689,1.2814062,1.3033304,1.3689308,1.0567693,1.2292975,1.5895522,0.87541056,1.0005636,0.8553547,1.4930401,0.60906065,0.9718519,0.8498143,1.3079445,0.22074497,0.315292,0.38686,1.5254014,0.61990964,1.2623124,1.1167113,0.8352939,1.3281771,1.1648862,0.8711006,1.575626,0.7030885,0.6530507,0.36218047,1.4382384,1.4706142,1.3473504,1.2971969,1.200419,1.4759595,0.5114558,0.8279904,1.131035,1.1154077,1.6108716,0.42016006
bear,0.6930847,1.0423124,1.1845193,0.94997185,1.1680253,1.273782,1.0687572,1.0464194,0.8161569,0.0,0.5998876,1.0608127,0.9239002,0.72027826,0.8705856,0.6377532,0.83908355,0.91980904,1.2856557,1.2942436,1.0535684,1.2290634,0.9500205,1.2503664,1.0339459,1.2311262,1.160275,1.125511,0.29086226,1.0801251,1.1839063,0.9084059,0.827969,1.1456246,0.865834,1.1779575,1.0866196,0.94985366,1.1206747,1.204844,0.7084282,1.2997758,1.212847,0.43706864,0.87768286,0.91866577,1.2047429,1.163513,1.1862533,1.1759834,0.5229765,0.9347695,1.2055898,0.90173566,1.2177569,1.1342946,1.295629,0.8874435,1.0208423,0.8123315,1.0825235,1.1663488,0.2508558,1.1735605,0.9711866,1.090827,1.0556395,1.1801698,1.1589767,0.75730485,1.0046432,0.892503,1.2589852,0.9048295,1.1653585,1.1139572,1.0936412,1.0447828,1.1613315,1.1304137,1.1193376,0.9668805,0.772017,1.0403583,0.9974056,1.1645519,1.1749767,1.1191002,1.1403053,1.0300443,1.0165367,0.7779098,0.80227613,0.898952,0.9301871,1.2814922,1.2601659,0.8702066,1.0971004,0.6510886,1.0266197,1.1154218,1.1429209,1.2090837,1.0967636,0.9360352,1.1039457,1.1321849,1.2693086,1.1806228,1.0997535,0.9014213,1.1162266,1.2363853,0.9159683,0.9862736,1.0277474,1.2453269,0.7713499,1.0568233,0.79869235,1.1632931,0.81737816,1.1970837,1.1229023,1.0975375,1.2491949,0.8248945,0.8050022,1.1972661,0.92861426,0.8924048,0.857235,1.2226149,1.208988,1.1596887,1.2500767,1.180827,1.1184887,1.0582244,0.9090765,1.1068196,1.177634,1.238277,0.834942
bed,0.6641917,1.3230516,1.5228868,0.52199125,1.460842,1.4866114,1.3355227,0.86601585,0.23078102,0.5998876,0.0,1.1537318,0.42662102,0.5934276,1.1230696,0.22793353,0.6285562,0.73099536,1.3785337,1.3749154,0.6374399,1.5432796,1.031194,1.1960135,1.2433112,1.0470062,1.2568234,1.3701191,0.48151672,0.6797092,1.4469099,0.5481919,0.51794815,1.2710977,0.6325394,1.4030538,1.3767722,0.6293187,1.4240772,1.4920461,0.15156412,1.3338065,1.296801,0.7232077,1.0862393,0.54275566,1.0675083,1.1416044,1.4122006,1.4165726,0.6041014,0.7750238,1.3993614,1.2686329,1.362957,1.3799152,1.4989811,1.2470603,0.99707,0.5159266,1.2614539,1.1122907,0.5377388,1.3185987,0.92374414,0.85915935,0.9654707,1.3852303,1.3248173,0.9942069,0.64625376,0.43076915,1.4093893,0.47853267,1.2398347,0.68050146,1.2745624,1.0503215,1.0957303,1.3036096,0.952205,0.81030023,0.80363786,1.016003,0.99608946,1.500176,1.1147289,1.1132904,1.3719856,1.4326231,0.6754863,1.0822377,0.4084043,0.5345587,0.630224,1.517009,1.4162945,1.1505564,1.2546543,1.0313647,1.0918124,1.250349,1.1399819,1.1737232,1.3069084,1.2408409,1.400043,0.9893043,1.2886813,1.613323,0.9734118,1.0026678,1.0333344,1.4123509,0.5099479,0.9487444,0.7256843,1.3900031,0.31499743,0.68336606,0.37753403,1.4594984,0.66384685,1.3679714,1.1078541,1.0391936,1.4570538,1.0388131,0.8172798,1.5400767,0.59111726,0.54793495,0.4798171,1.5338107,1.4438426,1.4134886,1.3498632,1.0959558,1.4226465,0.7300396,0.81495225,1.1438211,1.0301915,1.5276258,0.4396026
belt,1.3639469,0.8420248,0.41714203,1.2038187,0.8207972,0.7802515,1.1674869,1.2230844,1.3204186,1.0608127,1.1537318,0.0,1.0131048,1.2519071,1.1419088,1.2168936,1.2024199,1.1981068,0.7890066,0.930011,1.2237904,0.87339723,0.78206027,1.1270272,0.91554594,0.9597131,0.87530667,0.84727895,1.0094403,0.9148925,0.6758231,1.1507604,1.0814059,1.0208981,1.1143627,0.725176,0.89660734,1.1551955,0.89131045,0.33696866,1.3677471,0.951867,1.1966199,1.2524036,1.210085,1.2388973,0.7323611,0.71282065,0.6575936,0.66492355,1.1678138,1.2354846,0.7156961,0.76162934,0.97792476,0.640877,0.70831615,1.1610337,1.1166735,1.4131074,0.68408406,0.9733274,1.0866122,0.92561215,1.037149,1.2738695,1.153471,0.58551323,0.82624185,1.0996854,1.286129,1.1854463,0.96221,0.99292177,0.47673404,1.2052106,0.78655744,0.885459,1.2401651,1.1109736,1.0858718,1.3201419,1.3013716,0.8055976,1.3202848,0.4133669,1.0134194,0.5867057,0.7088222,0.73461473,1.1923845,1.2118585,1.1387649,0.9792112,1.2555507,0.49592936,0.48907506,1.1395721,0.9243921,1.0604696,0.5478282,1.1137528,1.2159172,1.045183,1.0286721,0.85828793,0.9563457,1.1920016,0.7462798,0.7078606,1.2003453,1.2825785,1.2919154,0.7854191,1.1277547,1.1391785,0.8679302,0.67830527,1.2719605,1.2309453,1.2927928,0.40577495,1.0846254,0.8474884,0.8485701,1.2913187,0.7257426,0.8914549,1.1462815,0.60785043,1.2624321,1.1686316,1.3838496,0.7734793,0.6285577,0.8649689,0.86979717,0.8430591,0.83502376,1.3627887,1.0935985,0.9807967,0.7728812,0.3986531,1.2273147
bench,0.9150046,1.2651404,1.3007647,0.75018317,1.2410568,1.1553906,1.1819279,0.8785392,0.5652199,0.9239002,0.42662102,1.0131048,0.0,1.0470515,1.1490926,0.554476,0.8989545,0.96444976,1.2011833,1.2325613,0.72618157,1.3363156,0.78009385,1.0234699,1.1015936,0.8067762,1.0830493,1.0592663,0.8035917,0.53424054,1.3080213,0.6950252,0.8733016,1.1211816,0.79199684,1.2606313,1.0677351,0.7273395,1.2359277,1.149567,0.56922036,1.1535733,1.2706366,0.95993245,1.1419412,0.7056092,0.7944484,0.9062824,1.3025644,1.331734,0.994936,1.0179319,1.2383431,1.0181032,1.188445,1.2285993,1.2365665,1.1228982,1.0203934,0.9007668,1.2011867,0.9547138,0.82144773,0.9979789,1.0628074,1.0378972,1.0530553,1.207917,1.0876673,1.08421,0.72730446,0.7827598,1.2316574,0.52819073,0.9634752,0.5995682,1.1838429,0.9560296,1.1152117,1.1199102,0.83557534,0.876462,0.7986098,0.98901933,1.0187167,1.340725,0.93487936,1.0218549,1.2400844,1.2719742,0.8079129,1.0997326,0.79446435,0.7373279,0.888296,1.0857043,0.9854053,1.0736159,0.9952756,1.1000402,0.86573637,1.1451004,1.0719501,1.1214509,1.2587311,1.0921998,1.2063221,0.95716244,1.028258,1.362268,0.9674153,1.1281018,1.0691279,1.1542438,0.79726124,0.9317741,0.7350056,1.1627728,0.69915736,0.7687166,0.6319315,1.1437937,0.89277637,1.2355728,1.0010369,1.0869831,1.268235,1.134043,0.96705544,1.2594424,0.7033462,0.8737622,0.8098083,1.2964121,1.3338032,1.16258,1.1976507,0.8300874,1.1898988,0.9447716,0.92402685,1.1021745,0.80377924,1.2534707,0.7416612
bib,0.44669992,1.0788827,1.4433191,0.67420965,1.305397,1.3673804,1.0445548,1.09,0.7266033,0.72027826,0.5934276,1.2519071,1.0470515,0.0,0.87027895,0.4242233,0.4357379,0.27788734,1.414488,1.2651792,0.7585246,1.3161142,1.1820767,1.3109384,1.2382166,1.3551924,1.3356509,1.1155292,0.86863947,1.2330043,1.3941586,1.0248148,0.49540877,1.1914297,0.79589707,1.2376875,1.2398227,0.97208816,1.1767175,1.4293221,0.5546178,1.3582315,1.082272,0.75011814,0.79132926,0.93516225,1.216365,1.2188289,1.0921072,1.2034572,0.70432353,0.6726722,1.0907917,1.1947033,1.2733343,1.1757183,1.4035574,0.92424464,0.8873594,0.608412,1.0999148,1.0680968,0.8669696,1.1405038,0.8105075,0.76760036,0.72754186,1.2980278,1.2438296,0.9700721,0.859652,0.53341234,1.3969561,0.8553002,1.4572631,1.0337799,1.3535172,1.1417639,0.9034934,1.1124716,1.1606377,0.6572646,0.79040253,0.8958737,0.86769724,1.3674595,1.1903768,0.98258936,1.1408451,1.1610631,0.99413466,0.79261804,0.5061096,0.7502723,0.34478128,1.451346,1.3812973,1.0718547,1.146205,0.8421922,1.3810918,1.007003,1.139494,1.0302958,1.287328,1.125314,1.102656,1.058185,1.3461263,1.3909458,1.1880244,0.91445833,0.8659065,1.465281,0.63465655,0.93123597,0.8569312,1.4666529,0.74595004,0.9597477,0.5658437,1.4184085,0.8740379,1.3506583,0.9484498,0.89921314,1.455593,0.9358746,0.8571718,1.3889961,0.78132796,0.5575051,0.6411878,1.3716052,1.1654431,1.1733332,1.0554003,1.3238324,1.109425,0.6617139,0.9138274,1.2069285,1.4169102,1.4179873,0.82654333
bird,0.61565274,1.0538996,1.0819471,1.1190065,0.98858255,1.0795714,0.78494304,1.0663189,1.1042981,0.8705856,1.1230696,1.1419088,1.1490926,0.87027895,0.0,1.0755556,0.95918065,0.79946166,1.1066735,1.063498,0.97655654,1.0323479,1.0604732,1.1057754,0.8148819,1.1309537,1.0061573,0.9939916,1.064749,1.1787025,1.0736662,1.120419,0.99616003,1.0504224,1.1243705,1.0070943,1.051401,1.0987917,0.9454649,1.0255662,1.0509778,1.1382165,0.9769864,0.7342811,0.74362123,1.1270864,1.0717182,1.0607698,1.0711235,0.993498,1.1074046,0.97952485,1.0897676,0.6376676,0.9705654,0.98031044,1.0596489,0.5342646,1.0333898,1.0745473,1.0503104,0.96979344,1.0047927,1.0337495,1.0212781,1.0417192,1.0742452,1.0580932,1.0646034,0.8141356,1.0922755,0.9729682,1.1540178,1.2146741,1.1407534,1.1284175,1.083427,1.0377953,1.0902387,1.1170336,1.0930439,1.0252283,0.7741702,1.1188327,0.9519588,1.0536768,1.0077077,1.0993526,1.1124564,0.8739387,1.0889465,0.8897999,1.0409031,1.0687028,0.860238,1.0225103,1.0362743,0.65135586,0.96262205,0.5722499,1.1812161,0.99367833,0.999474,1.0498211,0.9335743,1.0232865,0.85498345,0.9979474,1.076671,0.95885587,1.0476235,0.76489776,1.06814,1.0172468,0.99838567,1.040279,1.1300709,1.0579699,1.1042452,1.0782474,1.0053116,0.9291912,1.0595628,0.9801004,1.1184026,1.0912691,1.0472425,0.98285747,0.9145826,1.0812689,1.1525704,0.9710327,1.0936384,0.914977,1.0646157,0.95047057,1.017496,1.1335839,0.7937926,1.0895646,1.0194669,0.99455684,1.1593487,1.1305794,1.0995076
