,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0027475,1.0878572,1.0530826,1.0920006,1.1130577,0.7706388,1.148342,1.078809,0.8211789,1.0639309,0.9950559,1.1497991,1.0960627,0.6394665,1.0917237,1.0658231,0.91847813,1.1817433,1.151125,1.1007316,1.0503256,0.9320054,1.1736653,0.9467922,1.1163212,0.94828755,0.94363284,1.0194181,1.1814755,1.0715909,1.0241286,0.9412003,1.0692929,0.8068472,1.0573059,1.0184425,0.91607356,1.13206,1.2183965,1.0029467,0.97838104,1.074099,1.1724539,1.072816,1.1406173,1.1775649,0.9224664,0.90708435,1.0282203,1.0477386,1.0827299,0.8618009,1.0707788,0.94034845,1.0786633,0.35059774,1.0326103,1.0736661,1.0764625,1.1120409,1.1045989,0.9860912,1.118519,0.98261964,1.0631831,1.1700622,0.7556748,0.95592844,1.0645657,1.2229811,0.9878691,1.0131476,1.2084148,1.0078604,1.0163102,0.8840759,1.1286649,1.0532389,1.0672164,1.1720443,1.0967823,0.96314967,1.1320627,1.1891335,0.9600158,1.0046299,1.0055292,1.1459364,0.56887037,1.0843945,0.9725765,0.980201,0.9843968,0.9753456,0.6913736,0.93748087,0.6842177,1.1150647,0.920641,0.9600715,1.0390292,0.44054955,0.9748029,0.82088935,1.2308035,1.1424971,1.0592405,1.2078106,0.8562952,0.8487166,0.8519898,0.9965881,0.7944882,1.0761284,1.0336866,1.0446392,1.0688622,1.1167223,1.1051387,1.1177603,1.0811212,1.0056193,0.9232222,0.9986742,0.95572484,0.9768755,0.8686313,0.96098423,0.9827468,1.140872,1.0751822,1.0941366,0.99839365,1.0986716,1.138747,1.0649755,1.1331148,1.0701894,1.1434933,1.1862341,1.0587776,1.0781033
ankle,1.0027475,0.0,0.83624357,0.93483573,1.1490055,0.9988422,0.861219,0.9125652,1.2480874,1.0868034,1.2710878,0.73142326,1.2629281,1.146608,0.9438701,1.05288,1.3802365,1.3519733,0.9254934,0.9405683,1.3096794,0.74729866,0.9094113,0.9083128,1.0792112,0.73887193,1.164089,0.6581603,1.0193062,0.83890754,0.8563372,0.93715477,1.0207407,1.18824,1.0036936,1.1925467,0.75331,0.85062087,1.1436275,0.7094073,0.9888819,1.0660228,1.0749192,0.9619486,0.98087484,1.0679731,0.812963,0.6755441,1.1990376,0.6971635,1.1915383,0.54412746,0.88915724,1.0639126,0.35578477,0.823488,1.1171882,1.1815596,1.2361711,0.8562062,0.73114395,1.2317638,1.0959674,1.1132487,1.1585076,0.8429762,0.79386395,1.2649169,1.2137394,1.1235719,0.9809722,1.0409545,0.9488572,1.1465212,0.7787843,0.76319957,1.1278384,1.0030645,0.9796427,1.0220766,1.0509024,0.98662776,1.011179,0.81597,0.7644578,0.63044035,0.7358464,0.74732524,1.019209,1.3317409,1.1928015,0.9409702,1.3039067,0.86249006,0.8321217,1.0716757,0.68572307,1.0297469,0.7194804,1.1469011,0.6855582,0.896276,1.0474157,1.1318573,1.1600083,0.87984097,0.7697543,0.89766467,1.1422614,1.1633801,0.98284984,0.6625339,1.0862404,1.0906872,1.1611931,0.7589016,0.8894082,1.0445055,1.2638668,1.1127868,1.3895304,0.7291273,1.2012038,0.5918663,0.5684532,0.82043546,1.0142096,0.8868727,1.1297439,1.2501957,1.2736927,1.0725687,0.46790278,0.6231175,1.0417911,0.8135172,1.2346611,1.3813561,1.3431075,1.0147586,0.8545915,0.7092621,1.2706448
apple,1.0878572,0.83624357,0.0,1.2849882,0.6958292,0.42798662,0.49109143,0.81322,1.4249022,1.1641544,1.4249718,0.65729636,1.4260428,1.3985448,0.75314677,1.3079281,1.2238443,1.2955527,0.55771756,0.3605126,1.2928798,0.63952917,0.9558246,0.64452404,0.88507175,0.71797097,1.0121523,0.85622513,1.2185934,1.0041348,0.59350663,1.2182945,1.0904067,1.4638915,0.53295815,1.4123614,1.0999552,0.48286247,1.3677697,0.56463754,1.2152919,1.2463439,1.1112164,1.2930664,1.1803857,1.399154,0.7126498,0.3153333,1.1767936,0.83020973,1.0977771,0.7849784,0.49134207,0.70824885,0.7687299,0.5730701,0.99063265,1.184589,1.2148414,0.7845032,1.1353185,1.2811167,1.0677457,1.1518381,0.98880696,1.2429724,0.47866482,1.1974636,1.3006486,1.3974459,0.80788887,1.4063156,1.3508301,1.4308182,0.7093875,1.2421969,1.1810539,0.6928213,0.9195254,1.2132026,0.7646393,1.0409025,1.0485524,0.3685822,0.7527982,0.85026765,0.8268932,0.39746964,1.2336992,1.1544948,1.408,1.2489512,1.3829645,0.6314562,0.6785183,1.0471771,0.42538768,0.8471947,1.0216777,1.0969863,0.57427305,0.58894384,1.151901,1.1035783,0.877138,0.8465495,0.7556325,0.75476205,1.2664309,1.1630682,0.8721354,0.7723055,1.2882221,1.2094483,1.3859122,1.0860114,1.2275009,1.3649967,1.4250696,1.276572,1.2875065,0.4264686,1.1134442,0.561778,1.1574861,0.7682421,1.0847906,0.9862079,1.2328901,1.3793988,1.4432046,0.60608715,0.5469895,0.8050695,1.0424981,0.76702476,0.79018193,1.3503616,1.1833638,0.92423034,0.9673434,0.42657387,1.3755631
arm,1.0530826,0.93483573,1.2849882,0.0,1.1966662,1.2525774,1.3710742,1.3571023,0.72120404,0.8787267,0.44708395,1.3561522,0.70716435,0.5159278,1.344114,0.61802536,0.82940745,0.9547596,1.3227851,1.4005959,1.0105765,0.9712472,1.1179719,1.4264529,1.3312622,1.3407297,1.2260185,0.86899513,0.9584944,1.2325518,1.4145805,0.9933436,0.932984,0.7544761,1.2891865,0.43674147,0.7668159,1.4406822,0.93383706,1.3727239,0.9767919,0.88113403,0.78425944,1.0484467,1.0831686,0.55126035,1.0865829,1.1088462,0.9924885,1.1323454,0.8471352,0.8158953,1.4012791,1.2797221,0.8993299,1.4615626,1.2165165,0.8289107,0.82572955,1.0640032,0.6284162,0.7558048,1.0524017,0.852382,1.0001174,0.4774046,1.4115345,1.1013398,0.77651465,0.7398696,1.2754356,0.38285094,0.656729,0.8286528,1.4172568,0.806527,1.0514362,1.0433,1.0882837,0.5185516,1.2785051,0.79597414,0.6521094,1.1824324,1.3241315,1.1942348,1.0946665,1.1312304,1.0740227,1.0206462,0.4212638,0.7180825,0.7501606,1.4047339,1.3451327,1.151762,1.2695282,1.2260892,0.87762105,0.94450676,1.3442873,1.4318957,1.1808934,0.74188054,1.0952744,1.2646487,1.3465496,1.1423669,1.0445392,0.8429374,1.4272583,1.154876,0.7598768,1.1113415,0.4238066,1.1253371,0.59955144,0.67164874,0.6964883,0.9349825,0.7669687,1.3162957,0.9485989,1.3263291,0.753056,1.2360466,1.0815052,1.1820098,1.0931822,0.5161536,0.6930684,1.4019179,0.99232584,1.0868968,0.84528947,1.3790591,1.2938528,0.77955484,0.8550966,1.3261889,1.2781143,1.3143945,0.74506515
ball,1.0920006,1.1490055,0.6958292,1.1966662,0.0,0.8450055,0.96394515,0.8338647,1.1933372,1.0851032,1.1808966,1.0325538,1.0882334,1.1365814,0.9775015,1.1506262,0.91971695,0.92781335,0.77036923,0.7971658,0.9497543,0.9307455,1.0293492,0.7073493,0.8290298,1.0602645,0.89808863,1.2527914,1.0038189,1.0503074,0.79372156,1.2337441,1.0051023,1.190442,0.7829106,1.2106802,1.196402,0.93777627,1.1095067,0.9305404,1.1409111,0.9947045,0.85891354,1.0763057,1.0877774,1.1946146,0.9456117,0.87599975,1.1243804,1.2043386,1.0379908,1.1104641,0.95017016,0.8615863,1.1511658,0.8833815,0.91723526,0.9448564,0.82152104,1.0929158,0.93605375,1.084369,0.88358647,1.0447884,0.9111261,1.1478819,0.7898065,0.9479139,0.98757076,1.1105474,0.7116268,1.2384537,1.2715365,1.1024126,1.0074365,1.1280259,1.1332556,0.79966146,0.9144215,0.9377384,0.8138969,1.1897228,1.1124612,0.9343501,1.0875082,1.1328113,1.1379364,0.75512254,1.177023,0.8674854,1.153841,1.2641106,1.0503511,0.9162595,0.9820114,0.9013045,0.9393406,0.9605037,1.1067389,0.9374707,1.1000862,0.7062969,0.9715291,1.0630269,0.8209596,0.7049469,1.00648,0.8384404,1.08091,1.0033717,0.856874,1.1950828,1.0531445,0.95428944,1.2314255,0.89287084,1.2400365,1.1586361,1.1576551,1.1418219,1.0230631,0.97636247,1.0332062,1.0164552,1.08791,0.9706755,0.9740449,1.0303278,0.9393592,1.2064945,1.0588177,0.5853176,1.0145859,1.0612317,1.0047296,1.052196,0.5698872,0.91363126,1.0263115,1.0071713,0.893257,0.9585339,1.172382
balloon,1.1130577,0.9988422,0.42798662,1.2525774,0.8450055,0.0,0.7216517,0.7734847,1.2481347,1.1203985,1.2807307,0.5492724,1.3316122,1.3878934,0.7018663,1.2382836,1.1640741,1.1588999,0.38249183,0.4759217,1.2211295,1.0083948,1.0596963,0.7135206,0.82134783,0.54769623,0.96838534,0.9799011,1.1742886,0.9074203,0.46990043,1.0765795,1.0953181,1.3047789,0.7194784,1.2970849,1.2218826,0.40581846,1.3221357,0.43168724,1.26415,1.2135875,1.182259,1.1233399,1.062642,1.3177063,0.90655804,0.7539934,0.9952358,0.9002732,1.0741845,1.0008081,0.33589298,0.68283695,0.96631414,0.5420026,1.058594,1.1117234,1.1963902,0.7431427,1.3480518,1.1360025,1.1585815,1.0628988,1.192913,1.3146567,0.5267658,1.1269165,1.2255938,1.3128994,0.88001645,1.368094,1.3658779,1.255955,0.5289391,1.2011238,1.1941378,0.9338243,1.0644991,1.3406664,0.672106,1.1248808,1.1512709,0.31058776,0.67148423,0.8802028,0.9362704,0.62712777,1.0780756,1.0943604,1.3461189,1.2732642,1.2784274,0.5299548,0.5391846,1.0403247,0.8629677,0.9674642,1.0363904,1.0727961,0.75288284,0.6935762,1.1229335,1.1955358,0.97614163,0.8624698,0.785958,0.9761442,1.1061567,1.1256778,0.90270466,0.9144937,1.2599516,1.1461269,1.294455,1.1479585,1.2823521,1.315606,1.1979295,1.138764,1.1845834,0.29343426,0.9895728,0.63263917,1.2675112,0.73554987,1.056715,1.0544568,1.2652667,1.2816889,1.3025658,0.6797902,0.7486173,1.0240126,1.0564655,0.6432162,0.8833768,1.3239899,1.0559701,0.83790123,0.82530355,0.42661935,1.1208183
banana,0.7706388,0.861219,0.49109143,1.3710742,0.96394515,0.7216517,0.0,0.7423078,1.3509355,1.1346803,1.5038607,0.5668039,1.426801,1.429378,0.63993466,1.3780586,1.2504191,1.2463385,0.6399611,0.5223191,1.2408917,0.74050725,0.8820275,0.7170128,0.860644,0.62905216,0.9561425,0.9280814,1.2172606,0.8502011,0.6961992,1.0405498,1.1376792,1.2958217,0.5875524,1.4637272,1.0191972,0.4359457,1.2995589,0.61468375,1.1488355,1.260924,1.1721631,1.220363,1.0771033,1.3727467,0.9013799,0.47169435,1.0780182,0.84612715,1.1825229,0.9515145,0.49438137,0.7558938,0.7928495,0.5109693,0.84629524,1.2330296,1.284042,0.8607548,1.2212166,1.2986795,1.1294923,1.1711367,1.0691051,1.2910608,0.6190495,1.1001325,1.1687903,1.362854,0.830022,1.4052051,1.2145357,1.3137524,0.59393275,1.1528797,1.0709563,0.88401276,1.0054375,1.3396852,0.77342,1.1057825,1.1320422,0.7191867,0.71093917,0.7286157,0.8549074,0.5690354,1.1754212,1.1203188,1.4495182,1.2125047,1.3380706,0.5628074,0.5500959,1.0062416,0.37172735,0.82358,1.091462,1.1215512,0.4841047,0.6884351,0.9583823,1.163802,0.91849655,0.9060574,0.7444463,0.8254703,1.1973023,1.1483915,0.8089253,0.8237977,1.2958872,0.94442415,1.4033127,0.9987723,1.2421036,1.2731397,1.3821163,1.1842613,1.2359539,0.54070103,1.1075777,0.4751904,1.1252967,0.6374148,1.0232977,0.9446028,1.1568738,1.3851297,1.4038234,0.7075904,0.76846075,0.8093033,1.0287138,0.6588728,0.86889637,1.3694301,1.1566666,0.8815095,0.8288216,0.5719443,1.3012633
basket,1.148342,0.9125652,0.81322,1.3571023,0.8338647,0.7734847,0.7423078,0.0,1.0566826,1.2335788,1.330488,0.67097807,1.1386007,1.4156158,0.8326248,1.251771,1.0907909,0.90312034,0.5439997,0.619048,0.74168175,1.0655115,1.0400485,0.5031306,0.74904287,0.6269023,0.9294892,1.2514925,1.1199889,0.6826779,0.62826,0.8820313,1.039897,1.0290804,0.88962185,1.3223234,1.1220245,0.631539,1.0460055,0.54261696,1.1363964,1.1613225,1.068227,0.78862876,0.7537899,1.2559354,1.0548131,1.0511413,1.0939695,1.0639353,1.2355099,1.080812,0.76776266,0.79345787,1.0651098,0.5271207,1.0414171,1.1459515,1.1257137,1.0475007,1.2514471,1.2103667,0.89680606,1.1481804,1.1826429,1.2789185,0.7190024,1.049881,1.2253977,1.2275953,0.49203926,1.4383433,1.1525346,1.0302643,0.57066935,1.2060815,1.1579971,0.90025103,0.7367667,1.3375964,0.6851139,1.2309998,1.3235713,0.8974692,0.71449375,1.0457863,1.1268373,0.8803566,0.81280565,1.172024,1.3614111,1.3642702,1.1102309,0.64196914,0.6628349,1.0037385,0.8940883,1.0060112,1.0147632,1.125176,0.8895985,0.6518059,1.0248437,1.2654808,0.96566945,0.5971203,0.51657945,1.0340229,0.80222976,1.1668172,0.78879035,1.1396798,1.2305474,0.85482347,1.3710288,0.79612386,1.3286896,1.1403978,1.2034552,1.0046242,1.1174662,0.70423275,1.1411872,0.7860477,1.1350176,0.76660323,1.1771481,1.2387896,1.1586883,1.3910601,1.1262767,0.4595132,0.9695419,0.91529804,1.003175,0.69794273,0.65095544,1.0087044,1.0862452,0.6897005,0.5704186,0.7942146,1.1165441
bathtub,1.078809,1.2480874,1.4249022,0.72120404,1.1933372,1.2481347,1.3509355,1.0566826,0.0,0.84166306,0.60772616,1.2406821,0.6122669,0.8040287,1.2866595,0.82258594,0.6212974,0.8636571,1.2258387,1.1695987,0.65674454,1.2867017,1.134058,1.0663427,1.2112291,1.1005424,0.9826304,1.1993103,0.9455477,1.0441102,1.3142838,0.63390833,1.0089592,0.74071133,1.2748778,0.63855064,1.0266565,1.3756952,0.7030888,1.2118373,0.76089644,0.9531872,1.0534552,0.61631536,0.5293888,0.8452948,1.3223442,1.365427,0.7912946,1.2626648,0.9864759,1.2680354,1.3824625,1.2755105,1.3341627,1.2643818,1.18625,0.9280607,0.8041571,1.2636015,1.0869558,0.7147243,1.0599945,1.0474902,0.9885712,0.9547929,1.4690094,0.96372616,0.72541535,0.87510145,1.0056076,0.7396252,0.67160505,0.67216825,1.1403267,1.0409355,0.9449327,1.107359,1.0352728,0.89817536,1.2124524,1.0156282,0.94501054,1.3627903,1.1710202,1.3715265,1.2685959,1.3294797,0.5857417,0.9636499,0.70905864,0.8910579,0.64692783,1.2746999,1.2528496,1.0906253,1.3905628,1.2143383,1.0768002,1.005616,1.3679018,1.1511708,1.0925738,0.91187286,1.1143626,1.1370779,1.1724616,1.2419738,0.681813,0.84877586,1.264869,1.1683995,0.95968884,0.940653,0.7123938,1.2348502,0.93103015,0.62522703,0.4082029,0.28842378,0.51279086,1.3390567,0.764283,1.3343563,1.1633514,1.0213879,0.99867994,1.2415228,1.0540522,0.69128036,0.58219755,1.188219,1.4025674,1.2950692,1.0273502,1.2593529,1.1659063,0.5674665,0.7326162,1.0664878,1.03336,1.4401565,0.59552795
bear,0.8211789,1.0868034,1.1641544,0.8787267,1.0851032,1.1203985,1.1346803,1.2335788,0.84166306,0.0,0.7078732,1.0548847,0.8772173,0.8744294,1.1576637,0.7845026,0.93001455,1.1476586,1.292484,1.3446598,1.2044842,0.98005915,0.79583246,1.357518,1.0395253,1.1672821,1.0082754,0.9212443,0.82825625,1.2041645,1.2147844,0.8625626,1.0919214,0.96468043,1.0664406,0.72136146,0.96247804,1.2318839,1.1356623,1.3328872,1.0382996,0.9064895,1.171673,1.2307986,1.2097653,0.94695336,1.067647,1.0264101,0.3818913,1.01482,1.0033393,0.99931705,1.1965009,1.2350056,0.9422871,1.1778696,1.0811961,1.0163617,1.0027996,0.98558795,0.9984335,0.843572,1.2369423,1.0343106,1.0668322,0.9782739,1.1641498,0.6180996,0.874688,0.7865445,1.277571,0.62139016,0.953712,1.0996201,1.2018696,0.7731211,0.789196,1.2354612,1.1313858,1.0288752,1.1716629,1.0337222,0.7922884,1.0867333,1.1468587,0.96021634,0.90117407,1.0620297,1.1514277,0.57522404,0.80970657,0.7720845,1.0834972,1.2032359,1.2208589,1.1099386,1.0148549,1.0794089,0.9504043,0.98967546,1.214974,1.3273938,0.9861966,0.86718625,1.1264684,1.1936076,1.274987,1.0914896,1.1820536,0.17724055,1.0284065,0.9766972,0.8752751,1.1545012,0.7861934,1.0135798,0.86118156,1.1056919,0.87073755,1.0961236,0.992486,1.0525035,0.87753385,1.1471813,0.85448575,1.1896046,1.0378782,1.0349877,1.023201,0.544227,1.0143964,1.2974269,1.0455111,1.1271663,1.144501,1.0994626,1.3038068,1.0307715,0.8627685,1.2381258,1.2408223,1.0515852,0.8670978
bed,1.0639309,1.2710878,1.4249718,0.44708395,1.1808966,1.2807307,1.5038607,1.330488,0.60772616,0.7078732,0.0,1.4009023,0.3198868,0.49123347,1.3926499,0.1681915,0.7005102,0.79709053,1.426104,1.4486692,0.8362869,1.2202452,1.1389495,1.4635518,1.224798,1.4455085,1.1077757,1.1024852,0.7346501,1.0910698,1.503535,0.91916925,1.0171015,0.7675801,1.3933854,0.0677675,0.896929,1.5794432,0.6356414,1.5488918,0.8641228,0.6386344,0.8462354,0.98046184,1.0687752,0.5151685,1.2677164,1.3772532,0.85729647,1.3161675,0.83693933,1.2225513,1.5081618,1.3001902,1.3217398,1.4917709,1.1941338,0.8063464,0.8268881,1.2891066,0.835281,0.576264,1.1285886,0.90764076,0.99755037,0.8358364,1.5395982,0.90977097,0.7059431,0.47872633,1.3141086,0.26684225,0.7810259,0.63080806,1.5318073,0.7390157,0.9470927,1.1693884,1.1329651,0.6779004,1.2802129,0.9576358,0.74115634,1.3797352,1.2756815,1.3402691,1.2541586,1.4800117,0.9632143,0.7919075,0.34485358,0.6022696,0.6756225,1.5658684,1.5518353,1.1286657,1.4170566,1.1613117,0.6355917,0.9115626,1.4093562,1.4637616,1.1312907,0.7972708,1.1657653,1.2325613,1.3277817,1.2234945,0.90620416,0.6585543,1.3316481,1.1762921,0.63778555,1.1642212,0.37881255,1.1314219,0.6973321,0.7337336,0.47780633,0.8389278,0.6610926,1.4478894,0.83368707,1.4697413,0.8682186,1.4555285,1.1454668,1.1049156,0.901638,0.3243525,0.42465484,1.3899761,1.4025615,1.3812795,1.0651165,1.3121148,1.2318269,0.6004736,0.7458853,1.2537599,1.2911367,1.5119405,0.587571
belt,0.9950559,0.73142326,0.65729636,1.3561522,1.0325538,0.5492724,0.5668039,0.67097807,1.2406821,1.0548847,1.4009023,0.0,1.255551,1.4102454,0.7690623,1.2047608,1.2369282,1.253869,0.56156963,0.47783446,1.1444548,1.1200529,0.82540977,0.5761898,0.88232756,0.40899706,0.8539546,0.8450148,1.1489486,0.7862338,0.63014066,0.96799797,1.1081655,1.1981424,0.7788321,1.3394241,1.2616861,0.32673186,1.3013722,0.43125856,1.2502418,1.2974452,1.2140192,1.0581425,0.8402642,1.3346381,0.9581311,0.75576806,0.81326646,0.7999544,1.2878945,0.896254,0.43005073,0.80461854,0.7228503,0.45084321,1.0984675,1.2451049,1.2521507,0.72659093,1.1642354,1.2644262,1.3056202,1.2171358,1.317137,1.2999623,0.5119048,1.1306498,1.3291087,1.300435,0.84055316,1.3026968,1.1717274,1.2484498,0.34430587,1.0206865,0.9662286,1.0396396,1.0755365,1.4353504,0.7202063,1.2252209,1.3830327,0.6016972,0.46989614,0.47821093,0.8446121,0.56613517,0.9979792,1.2568493,1.4124486,1.1093826,1.4619174,0.30598736,0.28053612,1.0801594,0.6913679,1.0066671,0.7101214,1.2370954,0.6817194,0.7362654,1.145928,1.418294,1.0630028,0.72225106,0.52911466,1.0930644,1.1700515,1.0572788,0.8974482,0.752776,1.3802944,1.00549,1.3784015,0.8945695,1.0727799,1.3813996,1.2823699,1.0690287,1.3331515,0.3055936,1.0000165,0.38492924,0.94424665,0.56616074,0.9333051,1.0285887,1.258992,1.3547785,1.4718214,0.79030466,0.72861695,0.91876096,1.1276441,0.5014808,0.9846441,1.4898444,1.1650879,0.59267735,0.6831695,0.40768278,1.144721
bench,1.1497991,1.2629281,1.4260428,0.70716435,1.0882334,1.3316122,1.426801,1.1386007,0.6122669,0.8772173,0.3198868,1.255551,0.0,0.6698067,1.3485308,0.41498506,0.64543617,0.7269863,1.2920845,1.2218602,0.67337364,1.3073097,1.0813845,1.0918494,1.1214663,1.2648896,0.898975,1.1798384,0.8249798,0.7591194,1.4119534,1.0040213,1.0498649,0.8058406,1.3286932,0.2937739,0.99713534,1.4321868,0.40734887,1.3486948,0.87949777,0.78542817,0.77830774,0.86465466,0.95930034,0.6162663,1.2864416,1.385396,0.90840703,1.3340328,0.96513927,1.2894137,1.4150512,1.1164008,1.3344274,1.3125789,1.2106786,0.9159868,0.9433618,1.3426182,0.8479656,0.6107397,1.0664123,1.0209565,1.0145707,0.95918614,1.453191,0.9988067,0.8047242,0.60098517,1.1037997,0.52521217,0.8500357,0.42184323,1.3837897,0.7706003,0.8481014,1.1537229,1.089628,0.77307427,1.0579185,1.0496987,0.9885235,1.4682834,1.1047229,1.3078418,1.2673305,1.425408,0.88524926,0.9999377,0.5861993,0.7090646,0.68829536,1.3596177,1.3592081,1.1330476,1.3511474,1.2136806,0.63000417,0.93335223,1.3273809,1.2339041,1.1413469,0.9833796,1.1453819,1.0854307,1.0945517,1.331382,0.8276856,0.83337384,1.2417392,1.2968614,0.7638451,1.0070422,0.62081796,0.96828884,0.78214705,0.7392764,0.5970651,0.7018131,0.5519484,1.4384193,0.91489995,1.4225074,0.8516829,1.336593,1.0131937,1.1602054,0.75488394,0.5847248,0.3375523,1.18155,1.4191533,1.3475645,1.0766488,1.1589655,0.8952072,0.5967306,0.81170547,1.0133023,1.0948379,1.4845109,0.71078527
bib,1.0960627,1.146608,1.3985448,0.5159278,1.1365814,1.3878934,1.429378,1.4156158,0.8040287,0.8744294,0.49123347,1.4102454,0.6698067,0.0,1.4274545,0.54318815,0.7944842,0.88905656,1.4470506,1.4496727,0.99131954,1.0352015,1.1232703,1.4453435,1.2951307,1.5113723,1.1268938,0.93336195,0.8716914,1.3114402,1.3682072,1.041245,0.9440979,0.65716094,1.3272972,0.5446626,0.7227325,1.5927987,0.8556937,1.4724979,0.810941,0.7910052,0.47175848,1.0681016,1.1404397,0.41126359,1.0725508,1.2570388,0.99304074,1.1445906,0.81558037,1.0003147,1.4748734,1.2527366,1.1273239,1.504102,1.1897131,0.8220192,0.7842282,1.1807482,0.481434,0.79518193,0.9347749,0.8071421,0.8715297,0.5620966,1.427796,1.0373952,0.8328454,0.54569936,1.2739303,0.45457202,0.6670791,0.90261084,1.5257485,0.83035576,0.8846477,1.111846,1.0247042,0.43022197,1.3202765,0.8226352,0.62418556,1.3238051,1.2258877,1.0262184,1.0612378,1.347734,1.0593541,0.92649984,0.10480285,0.614812,0.6368439,1.5249181,1.5079218,1.152906,1.2792474,1.224735,0.8338917,0.82762367,1.3431749,1.347571,1.1629807,0.6955377,1.1036689,1.1853621,1.3846388,1.1477365,1.0191711,0.79376256,1.3293228,1.1549271,0.5577066,1.1397119,0.3789099,1.0233127,0.62153745,0.6454329,0.76775324,0.9644582,0.85369307,1.4735222,0.9878716,1.3916038,0.76989025,1.3841273,1.0150936,1.0554553,0.80298364,0.47725922,0.7376138,1.4131598,1.1993448,1.1279461,0.9176942,1.3202219,1.2082244,0.7374077,0.93930113,1.2939157,1.3937907,1.432812,0.86524224
bird,0.6394665,0.9438701,0.75314677,1.344114,0.9775015,0.7018663,0.63993466,0.8326248,1.2866595,1.1576637,1.3926499,0.7690623,1.3485308,1.4274545,0.0,1.2985302,1.1921737,1.0899326,0.73318857,0.815289,1.1257062,1.0998354,0.9282136,0.79495,0.7454252,0.7442565,0.954414,0.9893956,1.109073,0.9354819,0.7354917,1.0340092,0.9486259,1.2698784,0.6828009,1.3792955,1.2428372,0.53920245,1.2538849,0.8063766,1.1315079,1.1295996,1.2149928,1.1398845,0.99798125,1.3207526,0.91429895,0.87967175,1.1107886,0.9130309,1.1800797,1.0299726,0.3685434,0.82906383,0.92664075,0.7197798,0.5700184,1.1094582,1.2501415,0.9489652,1.2783908,1.2465483,1.0125226,1.1370546,1.1074055,1.3038116,0.73217255,0.94315535,1.0982162,1.2766578,1.0122951,1.3945413,1.2867435,1.2243557,0.6485845,1.0873573,1.0945648,1.0535073,0.9969702,1.3504329,0.855145,1.1284695,1.2974503,0.7949799,0.84550345,0.9027197,1.0269307,0.74612415,1.1107975,0.93982565,1.4244738,1.1795356,1.2641737,0.63959193,0.654559,0.60473937,0.8675866,0.68643403,1.1118537,1.0497894,0.7875218,0.8202282,0.65389717,1.2091109,0.8241325,0.9657193,0.8314432,0.92078376,1.130284,1.1989217,0.61092925,0.8298993,1.2485509,0.781603,1.3186482,1.0008117,1.2425189,1.2816966,1.2932249,1.1822699,1.1168818,0.7124532,1.0609566,0.69715595,1.1277158,0.72009003,1.0068495,0.90011585,1.170306,1.3190751,1.3052653,0.71696824,0.90270144,0.8677578,1.0753374,0.7920297,0.88897544,1.2880495,1.095752,0.9037087,0.87339437,0.73346126,1.1900398
